"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","      Gross investment \2\","A782RC1","45,359.0","43,391.0","43,601.0","40,720.0","42,797.0","42,619.0","44,078.0","44,814.0","41,664.0","41,771.0","42,330.0","41,271.0","42,290.0","42,895.0","41,093.0","44,284.0","47,510.0","46,712.0","45,630.0","47,532.0","51,482.0","56,522.0","57,978.0","59,045.0","62,642.0","58,055.0","63,888.0","67,817.0","70,448.0","65,849.0","65,307.0","63,976.0","66,879.0","69,065.0","67,598.0","66,471.0","66,420.0","77,008.0","80,671.0","84,168.0","79,107.0","85,413.0","93,692.0","95,686.0","101,744.0","99,905.0","97,871.0","101,492.0","107,597.0","105,463.0","105,208.0","109,270.0","106,746.0","112,824.0","112,275.0","117,412.0","117,879.0","119,734.0","125,803.0","127,987.0","132,963.0","137,050.0","139,129.0","148,267.0","149,149.0","157,945.0","165,010.0","163,105.0","165,054.0","170,507.0","181,109.0","176,234.0","178,888.0","183,660.0","187,910.0","186,663.0","181,507.0","186,329.0","186,317.0","190,442.0","191,117.0","195,076.0","202,181.0","202,303.0","212,443.0","213,729.0","215,821.0","221,004.0","216,444.0","221,271.0","221,978.0","221,505.0","227,096.0","224,616.0","221,310.0","219,398.0","215,943.0","220,901.0","219,033.0","221,842.0","210,567.0","217,345.0","228,955.0","226,796.0","230,960.0","235,058.0","231,388.0","232,987.0","239,296.0","242,372.0","245,915.0","249,321.0","253,774.0","253,009.0","253,897.0","248,770.0","246,615.0","258,599.0","273,044.0","273,153.0","276,526.0","283,688.0","289,073.0","300,152.0","303,417.0","300,850.0","305,278.0","307,757.0","312,432.0","330,855.0","314,237.0","330,615.0","337,855.0","340,734.0","346,787.0","348,509.0","348,977.0","351,605.0","361,777.0","360,788.0","361,341.0","372,203.0","377,938.0","378,000.0","377,639.0","387,379.0","396,641.0","406,401.0","409,677.0","427,391.0","427,573.0","435,580.0","443,822.0","455,037.0","460,219.0","466,761.0","474,976.0","495,880.0","508,018.0","509,810.0","503,103.0","511,211.0","509,551.0","497,659.0","490,769.0","506,859.0","513,111.0","510,545.0","483,629.0","478,186.0"
"23","4","        Structures","A760RC1","29,267.0","29,739.0","29,043.0","27,787.0","27,812.0","28,314.0","30,177.0","30,365.0","30,576.0","31,256.0","31,121.0","32,003.0","31,874.0","30,669.0","31,083.0","32,794.0","33,895.0","33,589.0","34,292.0","35,648.0","37,503.0","41,042.0","41,195.0","41,528.0","45,338.0","42,103.0","43,728.0","46,947.0","49,480.0","45,576.0","42,867.0","41,585.0","43,745.0","45,419.0","44,312.0","43,672.0","43,056.0","52,124.0","54,853.0","55,931.0","50,960.0","56,304.0","60,526.0","63,466.0","67,131.0","65,251.0","64,040.0","64,814.0","70,701.0","65,530.0","62,978.0","66,219.0","63,927.0","64,214.0","64,912.0","66,879.0","65,251.0","64,250.0","67,372.0","66,003.0","68,785.0","71,457.0","74,231.0","75,543.0","76,730.0","81,604.0","83,684.0","82,446.0","87,422.0","88,869.0","91,081.0","88,572.0","93,241.0","94,251.0","96,408.0","98,136.0","95,944.0","100,313.0","98,817.0","100,918.0","98,785.0","100,790.0","102,301.0","105,996.0","112,210.0","110,904.0","112,067.0","115,303.0","113,498.0","115,693.0","117,684.0","121,049.0","125,450.0","121,372.0","115,944.0","116,210.0","116,463.0","121,687.0","122,645.0","123,505.0","118,251.0","121,454.0","128,036.0","130,999.0","133,147.0","135,871.0","134,844.0","135,130.0","135,742.0","141,306.0","146,411.0","154,065.0","160,348.0","157,975.0","154,936.0","148,964.0","148,393.0","156,475.0","167,609.0","168,151.0","172,275.0","172,332.0","174,801.0","183,752.0","189,987.0","186,662.0","189,762.0","192,182.0","197,580.0","213,785.0","197,248.0","214,576.0","220,014.0","218,961.0","221,882.0","225,695.0","226,721.0","225,873.0","234,012.0","230,934.0","231,224.0","238,329.0","238,937.0","237,306.0","238,229.0","242,995.0","248,021.0","256,663.0","254,527.0","268,559.0","270,711.0","276,095.0","283,478.0","289,038.0","290,689.0","294,825.0","297,832.0","308,245.0","315,684.0","318,272.0","318,407.0","319,231.0","315,283.0","303,924.0","294,404.0","306,980.0","311,332.0","304,676.0","288,716.0","281,171.0"
"24","5","        Equipment and software","A871RC1","16,092.0","13,652.0","14,558.0","12,933.0","14,985.0","14,305.0","13,901.0","14,449.0","11,088.0","10,515.0","11,209.0","9,268.0","10,416.0","12,226.0","10,010.0","11,490.0","13,615.0","13,123.0","11,338.0","11,884.0","13,979.0","15,480.0","16,783.0","17,517.0","17,304.0","15,952.0","20,160.0","20,870.0","20,968.0","20,273.0","22,440.0","22,391.0","23,134.0","23,646.0","23,286.0","22,799.0","23,364.0","24,884.0","25,818.0","28,237.0","28,147.0","29,109.0","33,166.0","32,220.0","34,613.0","34,654.0","33,831.0","36,678.0","36,896.0","39,933.0","42,230.0","43,051.0","42,819.0","48,610.0","47,363.0","50,533.0","52,628.0","55,484.0","58,431.0","61,984.0","64,178.0","65,593.0","64,898.0","72,724.0","72,419.0","76,341.0","81,326.0","80,659.0","77,632.0","81,638.0","90,028.0","87,662.0","85,647.0","89,409.0","91,502.0","88,527.0","85,563.0","86,016.0","87,500.0","89,524.0","92,332.0","94,286.0","99,880.0","96,307.0","100,233.0","102,825.0","103,754.0","105,701.0","102,946.0","105,578.0","104,294.0","100,456.0","101,646.0","103,244.0","105,366.0","103,188.0","99,480.0","99,214.0","96,388.0","98,337.0","92,316.0","95,891.0","100,919.0","95,797.0","97,813.0","99,187.0","96,544.0","97,857.0","103,554.0","101,066.0","99,504.0","95,256.0","93,426.0","95,034.0","98,961.0","99,806.0","98,222.0","102,124.0","105,436.0","105,002.0","104,251.0","111,356.0","114,272.0","116,400.0","113,430.0","114,188.0","115,517.0","115,576.0","114,852.0","117,070.0","116,989.0","116,040.0","117,841.0","121,773.0","124,905.0","122,814.0","122,256.0","125,732.0","127,764.0","129,855.0","130,117.0","133,874.0","139,001.0","140,694.0","139,410.0","144,384.0","148,620.0","149,738.0","155,150.0","158,832.0","156,862.0","159,485.0","160,344.0","166,000.0","169,530.0","171,936.0","177,145.0","187,636.0","192,335.0","191,538.0","184,696.0","191,980.0","194,268.0","193,734.0","196,365.0","199,879.0","201,778.0","205,869.0","194,913.0","197,015.0"
"25","6","Federal","A823RC1","112,144.0","111,988.0","115,356.0","113,636.0","114,968.0","112,664.0","112,748.0","113,272.0","112,840.0","113,464.0","114,668.0","113,556.0","119,692.0","122,584.0","116,848.0","119,388.0","123,332.0","123,284.0","120,340.0","122,848.0","128,560.0","131,088.0","136,072.0","142,452.0","143,992.0","144,860.0","151,312.0","155,964.0","156,332.0","157,820.0","159,832.0","164,828.0","169,792.0","174,764.0","176,512.0","180,540.0","182,916.0","189,188.0","192,432.0","199,076.0","202,232.0","207,852.0","211,728.0","220,428.0","231,628.0","242,952.0","243,556.0","256,732.0","266,508.0","278,656.0","281,400.0","294,148.0","298,660.0","305,096.0","312,292.0","327,012.0","332,836.0","342,064.0","354,112.0","342,392.0","359,184.0","373,912.0","375,236.0","388,768.0","398,044.0","407,628.0","420,680.0","424,648.0","421,344.0","434,692.0","451,900.0","445,840.0","451,556.0","458,612.0","460,524.0","467,456.0","460,132.0","458,952.0","456,124.0","471,100.0","469,296.0","481,388.0","488,972.0","486,092.0","500,752.0","505,988.0","504,976.0","518,244.0","529,236.0","531,712.0","526,048.0","519,248.0","525,736.0","528,948.0","538,604.0","538,352.0","526,760.0","522,900.0","522,380.0","527,868.0","511,956.0","515,048.0","529,072.0","518,240.0","523,088.0","521,724.0","520,080.0","510,180.0","527,912.0","530,940.0","523,616.0","525,484.0","523,628.0","533,480.0","532,364.0","534,364.0","519,540.0","534,780.0","531,816.0","537,936.0","541,204.0","544,312.0","558,900.0","575,288.0","562,420.0","583,196.0","579,360.0","579,332.0","594,316.0","608,724.0","616,316.0","627,400.0","657,760.0","674,396.0","685,360.0","705,032.0","725,168.0","762,140.0","765,204.0","773,404.0","805,104.0","819,876.0","839,136.0","834,456.0","861,968.0","867,212.0","894,100.0","881,920.0","928,456.0","930,252.0","932,184.0","935,872.0","944,024.0","968,720.0","992,068.0","1,000,552.0","1,042,728.0","1,065,956.0","1,100,584.0","1,111,172.0","1,105,340.0","1,137,236.0","1,157,656.0","1,170,616.0","1,195,160.0","1,224,480.0","1,237,460.0","1,234,252.0","1,219,932.0","1,237,124.0"
"26","7","    Consumption expenditures","A957RC1","95,332.0","97,552.0","100,104.0","100,272.0","99,780.0","97,972.0","98,368.0","98,220.0","100,900.0","101,876.0","102,012.0","102,960.0","108,192.0","109,364.0","105,920.0","107,036.0","108,504.0","109,140.0","107,800.0","109,844.0","113,928.0","114,592.0","118,936.0","124,236.0","125,780.0","128,188.0","130,180.0","133,932.0","134,144.0","136,516.0","136,552.0","141,376.0","145,300.0","149,420.0","151,528.0","156,496.0","158,272.0","162,048.0","164,020.0","168,924.0","173,156.0","177,888.0","177,204.0","187,428.0","195,696.0","207,080.0","208,020.0","218,944.0","228,056.0","237,048.0","238,260.0","249,636.0","255,148.0","256,412.0","265,004.0","276,548.0","280,440.0","287,228.0","296,240.0","281,888.0","297,028.0","310,368.0","313,176.0","319,020.0","329,212.0","334,416.0","342,036.0","347,664.0","347,044.0","356,932.0","365,576.0","362,564.0","369,176.0","371,808.0","371,796.0","382,044.0","380,760.0","379,196.0","376,292.0","390,680.0","388,244.0","399,708.0","402,244.0","403,704.0","414,248.0","417,316.0","415,580.0","428,764.0","442,680.0","441,048.0","436,896.0","432,632.0","438,088.0","440,052.0","449,116.0","449,324.0","441,392.0","438,348.0","440,408.0","444,724.0","437,820.0","438,128.0","446,940.0","439,944.0","443,064.0","441,988.0","442,664.0","432,836.0","443,476.0","448,088.0","443,312.0","451,284.0","452,044.0","461,284.0","456,192.0","460,604.0","446,396.0","458,560.0","452,312.0","461,128.0","465,264.0","462,768.0","475,324.0","489,852.0","482,020.0","503,428.0","498,500.0","500,088.0","515,784.0","526,880.0","533,696.0","544,264.0","572,708.0","584,724.0","591,920.0","612,608.0","633,064.0","665,836.0","667,344.0","674,784.0","706,392.0","717,708.0","732,468.0","728,952.0","756,916.0","758,776.0","780,564.0","767,096.0","810,380.0","808,456.0","813,096.0","812,080.0","822,768.0","840,396.0","862,044.0","870,448.0","908,628.0","918,684.0","946,192.0","953,472.0","955,224.0","981,156.0","997,816.0","1,012,360.0","1,033,876.0","1,055,952.0","1,066,640.0","1,059,572.0","1,059,080.0","1,077,080.0"
"27","8","    Gross investment","A787RC1","16,812.0","14,436.0","15,252.0","13,364.0","15,188.0","14,692.0","14,380.0","15,052.0","11,940.0","11,588.0","12,656.0","10,596.0","11,500.0","13,220.0","10,928.0","12,352.0","14,828.0","14,144.0","12,540.0","13,004.0","14,632.0","16,496.0","17,136.0","18,216.0","18,212.0","16,672.0","21,132.0","22,032.0","22,188.0","21,304.0","23,280.0","23,452.0","24,492.0","25,344.0","24,984.0","24,044.0","24,644.0","27,140.0","28,412.0","30,152.0","29,076.0","29,964.0","34,524.0","33,000.0","35,932.0","35,872.0","35,536.0","37,788.0","38,452.0","41,608.0","43,140.0","44,512.0","43,512.0","48,684.0","47,288.0","50,464.0","52,396.0","54,836.0","57,872.0","60,504.0","62,156.0","63,544.0","62,060.0","69,748.0","68,832.0","73,212.0","78,644.0","76,984.0","74,300.0","77,760.0","86,324.0","83,276.0","82,380.0","86,804.0","88,728.0","85,412.0","79,372.0","79,756.0","79,832.0","80,420.0","81,052.0","81,680.0","86,728.0","82,388.0","86,504.0","88,672.0","89,396.0","89,480.0","86,556.0","90,664.0","89,152.0","86,616.0","87,648.0","88,896.0","89,488.0","89,028.0","85,368.0","84,552.0","81,972.0","83,144.0","74,136.0","76,920.0","82,132.0","78,296.0","80,024.0","79,736.0","77,416.0","77,344.0","84,436.0","82,852.0","80,304.0","74,200.0","71,584.0","72,196.0","76,172.0","73,760.0","73,144.0","76,220.0","79,504.0","76,808.0","75,940.0","81,544.0","83,576.0","85,436.0","80,400.0","79,768.0","80,860.0","79,244.0","78,532.0","81,844.0","82,620.0","83,136.0","85,052.0","89,672.0","93,440.0","92,424.0","92,104.0","96,304.0","97,860.0","98,620.0","98,712.0","102,168.0","106,668.0","105,504.0","105,052.0","108,436.0","113,536.0","114,824.0","118,076.0","121,796.0","119,088.0","123,792.0","121,256.0","128,324.0","130,024.0","130,104.0","134,100.0","147,272.0","154,392.0","157,700.0","150,116.0","156,080.0","159,840.0","158,256.0","161,284.0","168,528.0","170,820.0","174,680.0","160,852.0","160,044.0"
"28","9","      Structures","A801RC1","3,340.0","3,472.0","3,452.0","3,256.0","3,128.0","3,296.0","3,464.0","3,624.0","3,884.0","4,136.0","4,572.0","4,552.0","4,464.0","4,472.0","4,512.0","4,548.0","5,036.0","4,996.0","5,356.0","5,488.0","5,248.0","5,820.0","5,356.0","5,884.0","6,228.0","6,140.0","6,472.0","6,732.0","6,804.0","6,696.0","6,568.0","6,848.0","7,104.0","7,504.0","7,604.0","7,292.0","7,540.0","8,756.0","9,360.0","8,924.0","8,296.0","8,536.0","9,280.0","8,984.0","9,864.0","10,056.0","10,776.0","10,308.0","10,828.0","11,112.0","10,480.0","11,324.0","10,844.0","10,508.0","10,660.0","10,940.0","11,268.0","11,292.0","11,924.0","11,504.0","11,556.0","12,076.0","11,908.0","12,332.0","12,444.0","13,496.0","14,388.0","13,924.0","14,688.0","14,612.0","15,036.0","14,780.0","15,972.0","16,888.0","16,984.0","16,908.0","14,140.0","14,740.0","14,208.0","13,732.0","12,936.0","12,860.0","13,448.0","13,720.0","14,488.0","14,432.0","14,492.0","12,916.0","12,508.0","13,828.0","13,568.0","15,300.0","15,484.0","15,652.0","14,444.0","16,468.0","16,548.0","16,136.0","17,036.0","16,632.0","15,044.0","15,076.0","15,988.0","17,792.0","18,172.0","17,248.0","17,768.0","16,780.0","17,804.0","18,560.0","17,704.0","16,104.0","16,316.0","16,112.0","17,100.0","14,576.0","16,512.0","16,624.0","17,316.0","15,928.0","16,616.0","16,168.0","15,840.0","15,824.0","14,260.0","13,800.0","13,920.0","12,712.0","12,676.0","13,328.0","13,544.0","14,348.0","15,116.0","15,496.0","16,096.0","16,468.0","17,168.0","17,784.0","18,204.0","17,380.0","16,836.0","16,752.0","16,672.0","14,580.0","15,328.0","14,540.0","16,108.0","16,900.0","16,100.0","17,256.0","17,124.0","19,764.0","19,416.0","22,392.0","22,024.0","20,780.0","20,728.0","23,980.0","26,604.0","28,884.0","28,984.0","28,572.0","30,360.0","30,948.0","30,736.0","34,204.0","34,768.0","34,628.0","31,900.0","30,536.0"
"29","10","      Equipment and software","A872RC1","13,472.0","10,964.0","11,800.0","10,108.0","12,060.0","11,396.0","10,916.0","11,428.0","8,056.0","7,452.0","8,084.0","6,044.0","7,036.0","8,748.0","6,416.0","7,804.0","9,792.0","9,148.0","7,184.0","7,516.0","9,384.0","10,676.0","11,780.0","12,332.0","11,984.0","10,532.0","14,660.0","15,300.0","15,384.0","14,608.0","16,712.0","16,604.0","17,388.0","17,840.0","17,380.0","16,752.0","17,104.0","18,384.0","19,052.0","21,228.0","20,780.0","21,428.0","25,244.0","24,016.0","26,068.0","25,816.0","24,760.0","27,480.0","27,624.0","30,496.0","32,660.0","33,188.0","32,668.0","38,176.0","36,628.0","39,524.0","41,128.0","43,544.0","45,948.0","49,000.0","50,600.0","51,468.0","50,152.0","57,416.0","56,388.0","59,716.0","64,256.0","63,060.0","59,612.0","63,148.0","71,288.0","68,496.0","66,408.0","69,916.0","71,744.0","68,504.0","65,232.0","65,016.0","65,624.0","66,688.0","68,116.0","68,820.0","73,280.0","68,668.0","72,016.0","74,240.0","74,904.0","76,564.0","74,048.0","76,836.0","75,584.0","71,316.0","72,164.0","73,244.0","75,044.0","72,560.0","68,820.0","68,416.0","64,936.0","66,512.0","59,092.0","61,844.0","66,144.0","60,504.0","61,852.0","62,488.0","59,648.0","60,564.0","66,632.0","64,292.0","62,600.0","58,096.0","55,268.0","56,084.0","59,072.0","59,184.0","56,632.0","59,596.0","62,188.0","60,880.0","59,324.0","65,376.0","67,736.0","69,612.0","66,140.0","65,968.0","66,940.0","66,532.0","65,856.0","68,516.0","69,076.0","68,788.0","69,936.0","74,176.0","77,344.0","75,956.0","74,936.0","78,520.0","79,656.0","81,240.0","81,876.0","85,416.0","89,996.0","90,924.0","89,724.0","93,896.0","97,428.0","97,924.0","101,976.0","104,540.0","101,964.0","104,028.0","101,840.0","105,932.0","108,000.0","109,324.0","113,372.0","123,292.0","127,788.0","128,816.0","121,132.0","127,508.0","129,480.0","127,308.0","130,548.0","134,324.0","136,052.0","140,052.0","128,952.0","129,508.0"
"30","11","  National defense","A824RC1","88,892.0","88,336.0","90,792.0","89,944.0","90,004.0","86,576.0","86,732.0","87,104.0","86,076.0","84,408.0","84,024.0","83,720.0","87,660.0","89,760.0","84,048.0","86,260.0","89,236.0","89,240.0","85,944.0","88,116.0","91,748.0","94,908.0","96,048.0","99,552.0","100,692.0","100,260.0","105,980.0","108,664.0","108,656.0","109,976.0","111,520.0","114,196.0","117,936.0","121,204.0","121,688.0","122,728.0","125,144.0","129,424.0","131,752.0","135,624.0","138,320.0","143,364.0","146,092.0","152,952.0","160,468.0","165,016.0","167,728.0","178,624.0","184,828.0","193,792.0","197,772.0","208,528.0","213,784.0","222,712.0","228,528.0","238,540.0","241,256.0","248,740.0","252,380.0","259,980.0","273,864.0","279,392.0","280,180.0","292,676.0","298,228.0","306,008.0","318,028.0","322,460.0","318,356.0","329,316.0","342,332.0","333,212.0","340,724.0","349,316.0","355,388.0","354,488.0","354,420.0","353,784.0","350,808.0","359,900.0","353,868.0","362,116.0","368,716.0","363,656.0","370,948.0","372,548.0","369,544.0","382,492.0","389,196.0","388,528.0","382,000.0","372,732.0","372,100.0","375,160.0","382,900.0","376,984.0","364,704.0","361,936.0","360,068.0","365,312.0","348,500.0","352,572.0","364,580.0","349,452.0","351,728.0","352,052.0","349,344.0","342,072.0","355,400.0","358,856.0","352,628.0","352,408.0","343,884.0","351,908.0","350,196.0","353,376.0","333,992.0","347,308.0","352,292.0","350,708.0","350,976.0","352,924.0","365,012.0","375,636.0","360,552.0","376,920.0","372,712.0","374,004.0","383,700.0","389,700.0","395,604.0","402,812.0","420,292.0","431,936.0","440,408.0","458,180.0","466,356.0","507,244.0","503,052.0","515,108.0","535,904.0","545,632.0","565,400.0","556,204.0","578,488.0","586,064.0","606,112.0","585,524.0","615,484.0","624,060.0","623,304.0","636,576.0","637,616.0","656,996.0","674,692.0","679,892.0","706,020.0","724,692.0","758,436.0","762,128.0","747,668.0","771,556.0","789,040.0","791,400.0","803,520.0","817,992.0","831,308.0","823,948.0","809,048.0","830,632.0"
"31","12","    Consumption expenditures","A997RC1","75,748.0","77,588.0","79,136.0","80,104.0","78,348.0","75,632.0","76,156.0","75,988.0","78,076.0","76,956.0","75,756.0","77,424.0","80,644.0","81,152.0","77,644.0","78,416.0","79,328.0","79,924.0","78,264.0","80,080.0","81,956.0","84,224.0","84,352.0","87,460.0","88,956.0","89,864.0","91,216.0","93,436.0","93,416.0","96,040.0","95,584.0","98,120.0","100,808.0","103,640.0","105,180.0","106,980.0","109,360.0","111,848.0","113,864.0","115,668.0","119,140.0","123,512.0","122,432.0","130,056.0","136,036.0","141,012.0","144,572.0","153,056.0","159,184.0","165,016.0","167,736.0","177,244.0","182,976.0","186,964.0","193,872.0","200,768.0","203,256.0","208,152.0","209,436.0","214,020.0","227,016.0","231,644.0","233,716.0","238,968.0","246,232.0","249,048.0","256,744.0","262,676.0","261,576.0","268,644.0","273,124.0","268,192.0","276,784.0","282,232.0","286,224.0","289,020.0","293,320.0","292,420.0","289,844.0","298,220.0","292,140.0","300,756.0","302,468.0","302,204.0","307,380.0","306,832.0","302,668.0","314,992.0","325,712.0","322,460.0","317,772.0","312,868.0","311,600.0","312,884.0","320,076.0","316,360.0","308,824.0","306,060.0","306,204.0","308,964.0","299,028.0","299,480.0","307,184.0","297,564.0","299,064.0","298,640.0","298,836.0","291,368.0","299,708.0","305,336.0","301,652.0","306,000.0","300,868.0","308,388.0","302,748.0","306,044.0","291,348.0","302,316.0","303,416.0","304,208.0","306,584.0","304,672.0","314,336.0","326,252.0","311,572.0","328,184.0","322,948.0","324,652.0","335,432.0","338,484.0","343,368.0","350,776.0","368,244.0","375,156.0","380,344.0","398,900.0","406,992.0","444,932.0","439,092.0","449,712.0","470,152.0","477,724.0","492,524.0","484,436.0","507,500.0","511,724.0","529,416.0","510,708.0","538,320.0","541,248.0","543,660.0","552,304.0","555,784.0","568,996.0","585,840.0","590,856.0","614,204.0","620,876.0","648,488.0","649,568.0","641,948.0","659,500.0","674,608.0","680,496.0","690,964.0","701,560.0","713,064.0","702,720.0","701,020.0","723,276.0"
"32","13","    Gross investment","A788RC1","13,144.0","10,748.0","11,656.0","9,840.0","11,656.0","10,944.0","10,576.0","11,116.0","8,000.0","7,452.0","8,268.0","6,296.0","7,016.0","8,608.0","6,404.0","7,844.0","9,908.0","9,316.0","7,680.0","8,036.0","9,792.0","10,684.0","11,696.0","12,092.0","11,736.0","10,396.0","14,764.0","15,228.0","15,240.0","13,936.0","15,936.0","16,076.0","17,128.0","17,564.0","16,508.0","15,748.0","15,784.0","17,576.0","17,888.0","19,956.0","19,180.0","19,852.0","23,660.0","22,896.0","24,432.0","24,004.0","23,156.0","25,568.0","25,644.0","28,776.0","30,036.0","31,284.0","30,808.0","35,748.0","34,656.0","37,772.0","38,000.0","40,588.0","42,944.0","45,960.0","46,848.0","47,748.0","46,464.0","53,708.0","51,996.0","56,960.0","61,284.0","59,784.0","56,780.0","60,672.0","69,208.0","65,020.0","63,940.0","67,084.0","69,164.0","65,468.0","61,100.0","61,364.0","60,964.0","61,680.0","61,728.0","61,360.0","66,248.0","61,452.0","63,568.0","65,716.0","66,876.0","67,500.0","63,484.0","66,068.0","64,228.0","59,864.0","60,500.0","62,276.0","62,824.0","60,624.0","55,880.0","55,876.0","53,864.0","56,348.0","49,472.0","53,092.0","57,396.0","51,888.0","52,664.0","53,412.0","50,508.0","50,704.0","55,692.0","53,520.0","50,976.0","46,408.0","43,016.0","43,520.0","47,448.0","47,332.0","42,644.0","44,992.0","48,876.0","46,500.0","44,392.0","48,252.0","50,676.0","49,384.0","48,980.0","48,736.0","49,764.0","49,352.0","48,268.0","51,216.0","52,236.0","52,036.0","52,048.0","56,780.0","60,064.0","59,280.0","59,364.0","62,312.0","63,960.0","65,396.0","65,752.0","67,908.0","72,876.0","71,768.0","70,988.0","74,340.0","76,696.0","74,816.0","77,164.0","82,812.0","79,644.0","84,272.0","81,832.0","88,000.0","88,852.0","89,036.0","91,816.0","103,816.0","109,948.0","112,560.0","105,720.0","112,056.0","114,432.0","110,904.0","112,556.0","116,432.0","118,244.0","121,228.0","108,028.0","107,356.0"
"33","14","      Structures","A808RC1","1,420.0","1,556.0","1,556.0","1,432.0","1,280.0","1,272.0","1,340.0","1,392.0","1,596.0","1,724.0","1,972.0","2,016.0","1,756.0","1,728.0","1,820.0","1,852.0","1,916.0","2,040.0","2,212.0","2,280.0","2,220.0","2,300.0","2,088.0","2,100.0","2,212.0","2,176.0","2,444.0","2,448.0","2,412.0","1,972.0","1,956.0","2,240.0","2,564.0","2,652.0","2,192.0","2,104.0","2,136.0","2,772.0","2,584.0","2,544.0","2,356.0","2,404.0","2,684.0","2,640.0","3,008.0","3,040.0","3,580.0","3,080.0","3,004.0","3,416.0","2,860.0","3,560.0","3,708.0","3,696.0","3,976.0","4,436.0","4,684.0","4,672.0","4,772.0","4,924.0","4,772.0","4,820.0","5,008.0","5,136.0","5,404.0","6,428.0","6,556.0","6,488.0","6,540.0","6,656.0","7,180.0","6,720.0","7,240.0","7,532.0","7,732.0","8,124.0","7,192.0","7,916.0","7,040.0","7,280.0","6,548.0","6,208.0","6,436.0","6,240.0","6,320.0","6,308.0","6,384.0","5,348.0","4,772.0","4,768.0","4,480.0","4,512.0","5,176.0","5,460.0","4,784.0","5,460.0","5,012.0","5,232.0","5,724.0","5,420.0","5,148.0","5,664.0","6,248.0","5,992.0","6,852.0","6,564.0","6,772.0","6,596.0","6,504.0","6,508.0","6,152.0","5,984.0","5,924.0","5,992.0","6,480.0","6,072.0","5,752.0","6,064.0","6,224.0","5,296.0","5,652.0","5,592.0","5,340.0","4,960.0","5,056.0","5,244.0","5,848.0","5,436.0","5,040.0","5,580.0","5,224.0","5,488.0","5,368.0","5,724.0","6,136.0","6,164.0","6,968.0","7,184.0","7,632.0","7,472.0","7,304.0","6,968.0","7,408.0","6,900.0","7,504.0","7,240.0","7,788.0","7,276.0","7,464.0","8,008.0","7,832.0","8,920.0","8,972.0","11,476.0","10,332.0","9,456.0","10,236.0","13,084.0","14,920.0","16,408.0","16,856.0","17,024.0","17,888.0","17,396.0","16,560.0","17,168.0","18,024.0","17,500.0","15,464.0","14,404.0"
