"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"63","45","  Tax collection and financial management","G160431","1,313.0","1,686.0","2,024.0","2,288.0","2,499.0","2,793.0","2,828.0","2,905.0","3,313.0","3,556.0","3,600.0","3,946.0","4,187.0","4,427.0","5,329.0","5,176.0","5,991.0","6,301.0","6,916.0","7,956.0","8,530.0","9,251.0","10,146.0","11,247.0","9,064.0","8,881.0","9,169.0","8,598.0","9,938.0","8,987.0","10,397.0","8,795.0","12,428.0","11,630.0","11,210.0","11,844.0","11,995.0","12,990.0","13,753.0"
"64","46","  Interest payments \2\","G160441","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,294.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,454.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","212,871.0","220,962.0","255,396.0","279,198.0","313,160.0"
"65","47","  Other \6\","G160451",".....",".....","-39.0","2,134.0","7,043.0","6,636.0","6,052.0","6,877.0","8,251.0","7,627.0","6,909.0","6,824.0","4,524.0","4,584.0","5,063.0","4,357.0","4,801.0","3,997.0","77.0","0.0","0.0","-50.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"66","48","National defense","G160461","81,125.0","79,612.0","80,953.0","84,317.0","82,608.0","87,562.0","93,501.0","96,630.0","105,007.0","113,660.0","125,089.0","145,435.0","169,117.0","192,899.0","210,068.0","234,469.0","255,397.0","269,836.0","285,525.0","295,427.0","301,550.0","310,608.0","322,977.0","319,053.0","311,566.0","304,097.0","299,952.0","306,442.0","307,724.0","303,697.0","316,458.0","325,158.0","345,097.0","384,016.0","438,852.0","484,881.0","518,789.0","547,654.0","579,207.0"
"67","49","Public order and safety","G160471","657.0","859.0","1,098.0","1,496.0","1,778.0","2,112.0","2,486.0","2,686.0","2,902.0","2,946.0","3,242.0","3,584.0","3,637.0","3,656.0","4,069.0","4,531.0","4,922.0","5,417.0","6,172.0","7,315.0","8,079.0","8,828.0","10,231.0","11,773.0","13,951.0","14,889.0","16,161.0","17,644.0","19,094.0","20,721.0","23,073.0","26,664.0","29,549.0","30,478.0","32,272.0","36,750.0","40,189.0","39,960.0","44,486.0"
"68","50","  Police","G160481","386.0","493.0","650.0","925.0","1,104.0","1,140.0","1,357.0","1,395.0","1,503.0","1,556.0","1,647.0","1,791.0","1,811.0","1,769.0","2,158.0","2,406.0","2,657.0","2,810.0","3,253.0","4,022.0","4,239.0","4,563.0","5,229.0","6,030.0","8,441.0","8,379.0","8,138.0","9,592.0","11,942.0","13,522.0","14,505.0","16,887.0","18,068.0","19,777.0","22,537.0","26,941.0","29,627.0","29,730.0","33,452.0"
"69","51","  Fire","G160491",".....",".....",".....",".....",".....",".....","6.0","9.0","15.0","13.0","32.0","46.0","19.0","18.0","28.0","26.0","30.0","28.0","24.0","35.0","36.0","46.0","63.0","27.0","7.0","29.0","78.0","95.0","94.0","76.0","44.0","99.0","192.0","399.0","755.0","256.0","219.0","763.0","554.0"
"70","52","  Law courts","G160501","186.0","226.0","274.0","317.0","354.0","425.0","540.0","660.0","747.0","852.0","1,015.0","1,198.0","1,306.0","1,333.0","1,403.0","1,571.0","1,744.0","1,900.0","2,168.0","2,346.0","2,716.0","3,103.0","3,764.0","4,224.0","4,345.0","4,020.0","5,063.0","5,078.0","5,420.0","5,711.0","6,359.0","6,598.0","7,312.0","6,068.0","4,161.0","4,181.0","4,726.0","4,137.0","4,531.0"
"71","53","  Prisons","G160511","85.0","140.0","174.0","254.0","320.0","547.0","583.0","622.0","637.0","525.0","548.0","549.0","501.0","536.0","480.0","528.0","491.0","679.0","727.0","912.0","1,088.0","1,116.0","1,175.0","1,492.0","1,158.0","2,461.0","2,882.0","2,879.0","1,638.0","1,412.0","2,165.0","3,080.0","3,977.0","4,234.0","4,819.0","5,372.0","5,617.0","5,330.0","5,949.0"
"72","54","Economic affairs","G160521","17,472.0","17,639.0","19,023.0","22,522.0","21,053.0","19,584.0","25,852.0","28,202.0","34,090.0","44,210.0","42,627.0","46,527.0","50,746.0","48,610.0","57,967.0","53,910.0","57,920.0","65,370.0","67,485.0","60,119.0","64,066.0","68,311.0","69,214.0","75,079.0","80,474.0","78,482.0","77,551.0","76,761.0","80,616.0","84,070.0","96,338.0","104,492.0","111,468.0","107,874.0","118,659.0","116,952.0","129,664.0","131,603.0","127,317.0"
"73","55","  Transportation","G160571","2,264.0","2,658.0","2,988.0","3,372.0","3,645.0","4,153.0","5,184.0","5,662.0","6,672.0","7,131.0","8,005.0","9,084.0","9,192.0","9,452.0","10,224.0","10,814.0","10,967.0","10,392.0","10,700.0","11,651.0","11,930.0","12,583.0","13,675.0","14,845.0","15,301.0","16,674.0","15,627.0","15,851.0","17,382.0","17,571.0","17,477.0","18,312.0","25,131.0","25,333.0","31,774.0","29,161.0","30,661.0","33,971.0","32,312.0"
"74","56","    Highways","G160581","89.0","145.0","111.0","169.0","173.0","234.0","271.0","285.0","257.0","257.0","284.0","301.0","326.0","290.0","239.0","294.0","252.0","279.0","337.0","317.0","287.0","381.0","447.0","461.0","699.0","1,452.0","1,051.0","1,037.0","694.0","748.0","691.0","617.0","714.0","867.0","907.0","871.0","1,300.0","1,445.0","1,552.0"
"75","57","    Air","G160591","1,012.0","1,267.0","1,435.0","1,462.0","1,551.0","1,748.0","1,867.0","2,022.0","2,235.0","2,327.0","2,419.0","2,614.0","2,763.0","2,706.0","3,463.0","3,656.0","4,066.0","4,145.0","4,098.0","4,594.0","4,972.0","5,285.0","5,621.0","6,344.0","6,335.0","6,244.0","6,033.0","6,443.0","8,447.0","8,697.0","8,779.0","8,989.0","15,182.0","14,562.0","19,732.0","16,237.0","16,633.0","18,788.0","17,781.0"
"76","58","    Water","G160601","1,130.0","1,195.0","1,325.0","1,471.0","1,611.0","1,823.0","1,971.0","2,064.0","2,371.0","2,610.0","3,014.0","3,363.0","3,684.0","3,959.0","4,441.0","4,724.0","4,740.0","4,470.0","4,687.0","5,037.0","5,142.0","5,564.0","6,206.0","6,214.0","6,373.0","6,509.0","6,322.0","6,405.0","6,368.0","6,809.0","6,965.0","7,598.0","8,049.0","7,954.0","9,048.0","9,723.0","10,142.0","11,186.0","10,471.0"
"77","59","    Transit and railroad","G160611","33.0","51.0","117.0","270.0","310.0","348.0","1,075.0","1,291.0","1,809.0","1,937.0","2,288.0","2,806.0","2,419.0","2,497.0","2,081.0","2,140.0","1,909.0","1,498.0","1,578.0","1,703.0","1,529.0","1,353.0","1,401.0","1,826.0","1,894.0","2,469.0","2,221.0","1,966.0","1,873.0","1,317.0","1,042.0","1,108.0","1,186.0","1,950.0","2,087.0","2,330.0","2,586.0","2,552.0","2,508.0"
"78","60","  Space","G160631","3,532.0","3,552.0","3,589.0","3,518.0","3,227.0","3,732.0","4,081.0","3,989.0","4,082.0","4,266.0","4,641.0","5,404.0","5,933.0","6,021.0","6,519.0","6,658.0","7,030.0","6,771.0","7,488.0","8,639.0","10,225.0","11,753.0","12,333.0","12,514.0","13,074.0","12,751.0","12,797.0","13,435.0","14,110.0","13,475.0","13,025.0","13,423.0","14,153.0","13,880.0","14,778.0","15,517.0","15,403.0","16,264.0","15,791.0"
"79","61","  Other economic affairs","W692RC1","11,676.0","11,429.0","12,446.0","15,632.0","14,181.0","11,699.0","16,587.0","18,551.0","23,336.0","32,813.0","29,981.0","32,039.0","35,621.0","33,137.0","41,224.0","36,438.0","39,923.0","48,207.0","49,297.0","39,829.0","41,911.0","43,975.0","43,206.0","47,720.0","52,099.0","49,057.0","49,127.0","47,475.0","49,124.0","53,024.0","65,836.0","72,757.0","72,184.0","68,661.0","72,107.0","72,274.0","83,600.0","81,368.0","79,214.0"
"80","62","    General economic and labor affairs","G160531","2,814.0","3,156.0","4,574.0","5,914.0","6,180.0","5,314.0","7,932.0","9,261.0","11,095.0","16,997.0","14,962.0","14,571.0","12,112.0","9,110.0","8,780.0","8,478.0","9,465.0","9,757.0","10,267.0","10,379.0","12,178.0","14,831.0","12,414.0","14,084.0","11,035.0","11,431.0","12,385.0","13,018.0","13,543.0","13,801.0","14,746.0","18,346.0","16,192.0","17,881.0","17,031.0","18,921.0","18,637.0","18,910.0","21,463.0"
"81","63","    Agriculture","G160541","6,719.0","5,845.0","5,386.0","6,823.0","5,440.0","2,857.0","3,704.0","3,675.0","4,967.0","6,732.0","5,428.0","7,286.0","7,868.0","11,467.0","18,774.0","14,196.0","17,397.0","26,241.0","25,795.0","16,353.0","17,146.0","15,180.0","16,080.0","17,846.0","22,091.0","15,893.0","14,785.0","14,443.0","15,906.0","19,635.0","29,981.0","32,000.0","32,547.0","23,265.0","26,719.0","22,996.0","34,324.0","29,236.0","23,174.0"
"82","64","    Energy","G160551","1,223.0","1,134.0","1,162.0","1,324.0","1,232.0","1,923.0","2,935.0","3,517.0","4,609.0","6,334.0","5,788.0","5,975.0","10,287.0","6,988.0","7,312.0","7,324.0","6,903.0","5,876.0","6,277.0","6,340.0","5,846.0","6,497.0","6,316.0","7,045.0","11,152.0","11,208.0","12,179.0","9,889.0","9,354.0","8,410.0","9,879.0","8,995.0","9,209.0","11,678.0","12,936.0","13,837.0","12,621.0","13,411.0","14,222.0"
"83","65","    Natural resources","G160561","920.0","1,294.0","1,324.0","1,571.0","1,329.0","1,605.0","2,016.0","2,098.0","2,665.0","2,750.0","3,803.0","4,207.0","5,354.0","5,572.0","6,430.0","6,451.0","6,708.0","6,604.0","6,825.0","7,284.0","7,283.0","8,138.0","8,919.0","9,049.0","7,821.0","10,525.0","9,778.0","10,125.0","10,321.0","11,178.0","11,230.0","13,416.0","14,240.0","15,852.0","15,432.0","16,523.0","18,016.0","19,809.0","20,367.0"
"84","66","    Postal service","G160621",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-72.0","-11.0","-550.0","-271.0","133.0","-527.0","-542.0","-671.0","-523.0","-304.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-4.0","-15.0","-11.0","-3.0","2.0","2.0","-12.0"
"85","67","Housing and community services","G160651","1,365.0","2,420.0","3,249.0","3,869.0","4,207.0","4,553.0","5,328.0","6,312.0","6,858.0","7,417.0","9,102.0","10,838.0","12,111.0","13,556.0","14,259.0","15,253.0","16,548.0","17,066.0","17,019.0","18,147.0","19,219.0","20,122.0","21,602.0","23,036.0","26,146.0","27,943.0","31,296.0","32,481.0","32,635.0","34,529.0","34,830.0","33,346.0","34,985.0","40,236.0","42,593.0","44,003.0","47,699.0","47,179.0","53,642.0"
"86","68","Health","G160661","13,514.0","16,761.0","18,472.0","22,578.0","24,822.0","30,246.0","35,757.0","41,466.0","46,703.0","52,388.0","59,579.0","69,755.0","81,271.0","89,840.0","99,551.0","109,945.0","118,750.0","127,808.0","138,068.0","149,393.0","167,586.0","188,499.0","215,531.0","245,915.0","272,684.0","292,574.0","319,469.0","340,472.0","358,471.0","366,364.0","378,164.0","401,603.0","455,170.0","495,751.0","534,328.0","576,983.0","615,111.0","678,592.0","724,105.0"
"87","69","Recreation and culture","G160671","397.0","437.0","524.0","610.0","681.0","939.0","981.0","1,193.0","1,266.0","1,443.0","1,483.0","1,738.0","1,871.0","1,633.0","1,478.0","2,179.0","1,654.0","1,776.0","1,726.0","1,853.0","1,896.0","2,074.0","2,291.0","2,419.0","2,364.0","2,749.0","2,778.0","2,954.0","2,930.0","3,133.0","2,985.0","3,404.0","3,540.0","4,119.0","4,155.0","4,722.0","4,909.0","5,013.0","4,972.0"
"88","70","Education","G160681","5,049.0","6,375.0","7,206.0","8,439.0","8,484.0","10,169.0","13,173.0","11,819.0","12,228.0","12,839.0","14,410.0","16,090.0","17,080.0","15,865.0","16,035.0","16,991.0","17,768.0","17,879.0","17,580.0","19,582.0","22,433.0","22,796.0","24,700.0","27,468.0","30,588.0","31,402.0","32,017.0","33,670.0","34,412.0","37,482.0","40,509.0","41,892.0","47,701.0","54,440.0","61,295.0","67,872.0","70,780.0","71,743.0","72,249.0"
"89","71","  Elementary and secondary","G160691","1,866.0","2,173.0","2,366.0","3,049.0","2,701.0","3,506.0","4,123.0","3,208.0","4,030.0","4,512.0","5,364.0","5,836.0","5,715.0","5,617.0","4,853.0","6,586.0","6,564.0","6,581.0","6,168.0","7,426.0","8,364.0","8,631.0","10,026.0","11,122.0","11,908.0","12,274.0","11,754.0","13,441.0","13,282.0","14,600.0","16,561.0","17,811.0","19,650.0","22,916.0","28,766.0","33,607.0","35,124.0","35,475.0","34,348.0"
"90","72","  Higher","G160701","946.0","1,216.0","1,282.0","1,255.0","1,176.0","1,313.0","1,849.0","2,465.0","3,007.0","3,239.0","4,126.0","5,470.0","6,624.0","5,708.0","6,831.0","6,393.0","7,025.0","6,802.0","6,857.0","7,586.0","9,527.0","9,288.0","9,453.0","10,334.0","11,856.0","11,269.0","12,007.0","11,780.0","12,382.0","13,867.0","14,759.0","14,075.0","16,127.0","18,454.0","19,023.0","20,334.0","21,183.0","20,515.0","22,613.0"
"91","73","  Other","G160711","2,237.0","2,986.0","3,558.0","4,135.0","4,607.0","5,350.0","7,201.0","6,146.0","5,191.0","5,088.0","4,920.0","4,784.0","4,741.0","4,540.0","4,351.0","4,012.0","4,179.0","4,496.0","4,555.0","4,570.0","4,542.0","4,877.0","5,221.0","6,012.0","6,824.0","7,859.0","8,256.0","8,449.0","8,748.0","9,015.0","9,189.0","10,006.0","11,924.0","13,070.0","13,506.0","13,931.0","14,473.0","15,753.0","15,288.0"
"92","74","Income security","G160721","43,370.0","53,205.0","64,211.0","71,732.0","80,423.0","95,992.0","124,188.0","134,374.0","142,442.0","151,345.0","167,926.0","201,728.0","225,500.0","250,705.0","266,245.0","267,229.0","279,104.0","293,040.0","299,905.0","316,712.0","338,191.0","368,198.0","407,394.0","452,492.0","472,303.0","489,126.0","507,963.0","526,366.0","539,911.0","554,791.0","577,316.0","606,722.0","648,150.0","713,264.0","746,274.0","770,311.0","808,743.0","847,944.0","892,495.0"
"93","75","  Disability","G160731","8,039.0","9,103.0","10,602.0","12,039.0","13,995.0","15,915.0","18,153.0","20,479.0","22,818.0","24,464.0","27,426.0","30,087.0","33,145.0","34,360.0","35,193.0","35,627.0","36,936.0","37,935.0","38,721.0","40,215.0","41,949.0","44,377.0","47,303.0","51,064.0","57,326.0","59,435.0","62,858.0","67,930.0","70,790.0","73,468.0","75,715.0","80,706.0","89,660.0","99,153.0","104,984.0","115,410.0","126,243.0","133,528.0","142,160.0"
"94","76","  Retirement \5\","G160741","25,975.0","30,768.0","35,637.0","39,592.0","48,542.0","54,641.0","62,030.0","69,433.0","77,072.0","84,596.0","95,140.0","110,050.0","129,313.0","144,876.0","155,751.0","164,192.0","173,731.0","183,469.0","190,470.0","202,597.0","215,278.0","230,550.0","248,252.0","262,866.0","274,074.0","286,876.0","300,095.0","310,114.0","323,244.0","334,722.0","343,598.0","362,081.0","379,014.0","394,990.0","408,428.0","422,604.0","441,773.0","467,351.0","495,843.0"
"95","77","  Welfare and social services","G160751","5,995.0","7,878.0","10,710.0","12,695.0","11,545.0","16,534.0","22,367.0","24,593.0","25,668.0","28,370.0","31,040.0","37,431.0","39,989.0","40,003.0","42,651.0","45,157.0","46,284.0","48,194.0","49,200.0","52,361.0","56,203.0","63,373.0","73,017.0","82,657.0","87,597.0","93,357.0","97,090.0","97,099.0","95,989.0","95,675.0","98,785.0","102,259.0","109,407.0","119,652.0","126,771.0","129,628.0","135,917.0","137,215.0","146,462.0"
"96","78","  Unemployment","G160761","2,869.0","4,765.0","6,653.0","6,684.0","5,250.0","7,786.0","18,934.0","17,609.0","14,501.0","11,621.0","11,785.0","20,410.0","18,943.0","27,648.0","28,845.0","18,384.0","18,529.0","19,279.0","17,379.0","16,121.0","17,223.0","21,260.0","30,304.0","43,067.0","38,254.0","27,360.0","25,432.0","26,014.0","23,703.0","23,503.0","24,413.0","24,020.0","36,025.0","57,773.0","57,134.0","41,646.0","35,444.0","34,464.0","36,805.0"
"97","79","  Other","G160771","492.0","691.0","609.0","722.0","1,091.0","1,116.0","2,704.0","2,260.0","2,383.0","2,294.0","2,535.0","3,750.0","4,110.0","3,818.0","3,805.0","3,869.0","3,624.0","4,163.0","4,135.0","5,418.0","7,538.0","8,638.0","8,518.0","12,838.0","15,052.0","22,098.0","22,488.0","25,209.0","26,185.0","27,423.0","34,805.0","37,656.0","34,044.0","41,696.0","48,957.0","61,023.0","69,366.0","75,386.0","71,225.0"
"98","80","      State and local","W024RC1","97,475.0","112,973.0","128,459.0","142,807.0","158,630.0","178,749.0","207,119.0","226,296.0","246,802.0","268,900.0","295,357.0","329,386.0","362,679.0","393,631.0","423,723.0","456,215.0","498,718.0","540,911.0","578,599.0","618,295.0","667,355.0","731,772.0","795,205.0","847,629.0","889,095.0","936,607.0","982,708.0","1,022,098.0","1,063,172.0","1,117,596.0","1,198,604.0","1,281,337.0","1,389,923.0","1,466,780.0","1,535,144.0","1,609,324.0","1,704,493.0","1,778,624.0","1,910,833.0"
"99","81","General public service","G160791","12,504.0","14,580.0","16,690.0","19,515.0","22,157.0","25,934.0","30,566.0","33,517.0","37,477.0","40,273.0","44,910.0","50,055.0","55,669.0","63,032.0","72,338.0","79,666.0","89,753.0","99,284.0","106,931.0","111,778.0","118,905.0","126,310.0","133,154.0","139,863.0","141,340.0","145,866.0","149,780.0","155,088.0","163,212.0","173,350.0","184,225.0","193,278.0","203,678.0","213,435.0","219,033.0","223,086.0","233,428.0","248,995.0","261,900.0"
"100","82","  Executive and legislative","G160801","1,456.0","1,634.0","1,806.0","2,014.0","2,416.0","2,912.0","3,237.0","3,445.0","3,780.0","3,553.0","3,940.0","4,486.0","5,050.0","5,684.0","5,831.0","6,045.0","6,596.0","7,140.0","7,692.0","8,341.0","8,921.0","9,959.0","10,595.0","10,862.0","11,182.0","11,898.0","12,539.0","13,192.0","13,940.0","14,981.0","16,297.0","17,225.0","18,568.0","20,144.0","21,743.0","23,281.0","25,204.0","27,425.0","30,180.0"
"101","83","  Tax collection and financial management","G160811","3,048.0","3,337.0","3,367.0","3,591.0","3,755.0","4,349.0","5,417.0","5,414.0","6,193.0","6,656.0","6,848.0","7,110.0","7,384.0","8,995.0","10,938.0","11,220.0","16,412.0","24,361.0","20,301.0","21,500.0","20,414.0","20,790.0","21,505.0","23,897.0","25,483.0","25,491.0","25,794.0","25,174.0","25,958.0","28,074.0","30,694.0","30,936.0","30,402.0","33,450.0","35,177.0","35,562.0","36,491.0","35,429.0","36,480.0"
"102","84","  Interest payments","G160821","4,384.0","5,313.0","6,544.0","7,501.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","39,375.0","38,181.0","46,192.0","48,419.0","53,178.0","56,758.0","60,799.0","61,034.0","59,371.0","61,393.0","63,477.0","67,320.0","70,638.0","72,773.0","75,218.0","78,754.0","82,959.0","83,480.0","85,144.0","85,612.0","87,326.0","93,003.0","101,106.0"
"103","85","  Other \7\","G160831","3,617.0","4,296.0","4,973.0","6,409.0","7,530.0","9,053.0","10,848.0","12,147.0","13,822.0","15,167.0","16,881.0","19,102.0","20,391.0","21,228.0","23,275.0","25,410.0","27,369.0","29,601.0","32,747.0","33,518.0","36,392.0","38,803.0","40,255.0","44,070.0","45,304.0","47,084.0","47,970.0","49,402.0","52,676.0","57,522.0","62,016.0","66,363.0","71,749.0","76,361.0","76,969.0","78,631.0","84,407.0","93,138.0","94,134.0"
"104","86","Public order and safety","G160841","9,003.0","10,275.0","11,699.0","12,933.0","14,605.0","16,596.0","18,904.0","20,800.0","22,795.0","26,274.0","29,159.0","32,596.0","36,755.0","41,219.0","44,701.0","48,319.0","53,345.0","58,141.0","62,634.0","68,342.0","75,146.0","83,288.0","90,286.0","97,023.0","103,494.0","111,301.0","119,172.0","126,495.0","133,643.0","142,042.0","153,941.0","164,614.0","177,541.0","188,089.0","195,073.0","203,172.0","216,326.0","229,357.0","247,696.0"
"105","87","  Police","G160851","4,437.0","5,004.0","5,695.0","6,322.0","7,085.0","8,007.0","9,058.0","9,921.0","10,906.0","12,220.0","13,393.0","14,765.0","16,528.0","18,322.0","19,557.0","20,826.0","22,854.0","24,550.0","25,914.0","27,826.0","29,971.0","32,731.0","35,471.0","37,905.0","39,575.0","42,278.0","45,481.0","48,384.0","50,951.0","53,739.0","57,919.0","61,022.0","65,893.0","70,466.0","73,799.0","76,891.0","81,996.0","86,572.0","93,701.0"
"106","88","  Fire","G160861","1,952.0","2,243.0","2,505.0","2,694.0","2,982.0","3,315.0","3,820.0","4,190.0","4,486.0","5,088.0","5,568.0","6,131.0","6,935.0","7,681.0","8,285.0","8,836.0","9,641.0","10,591.0","11,319.0","11,804.0","12,734.0","13,746.0","14,576.0","15,829.0","16,370.0","17,245.0","17,878.0","18,695.0","19,402.0","20,522.0","21,955.0","23,627.0","24,953.0","26,884.0","28,399.0","30,163.0","33,135.0","35,408.0","38,624.0"
"107","89","  Law courts","G160871","1,239.0","1,416.0","1,602.0","1,792.0","2,074.0","2,320.0","2,594.0","2,809.0","3,047.0","4,151.0","4,749.0","5,485.0","6,105.0","6,807.0","7,274.0","7,757.0","8,299.0","8,906.0","9,500.0","10,808.0","12,008.0","13,383.0","14,522.0","15,522.0","17,706.0","18,923.0","20,113.0","21,096.0","22,565.0","24,599.0","26,938.0","28,966.0","31,525.0","33,342.0","34,317.0","35,569.0","37,400.0","39,348.0","42,141.0"
"108","90","  Prisons","G160881","1,376.0","1,612.0","1,896.0","2,125.0","2,463.0","2,953.0","3,432.0","3,880.0","4,356.0","4,815.0","5,449.0","6,215.0","7,187.0","8,409.0","9,585.0","10,900.0","12,551.0","14,094.0","15,901.0","17,904.0","20,433.0","23,428.0","25,717.0","27,767.0","29,843.0","32,855.0","35,700.0","38,320.0","40,725.0","43,182.0","47,129.0","50,999.0","55,170.0","57,397.0","58,558.0","60,549.0","63,795.0","68,029.0","73,230.0"
"109","91","Economic affairs","G160891","12,164.0","13,489.0","14,813.0","15,887.0","17,630.0","21,067.0","24,183.0","25,555.0","26,946.0","30,197.0","32,759.0","36,890.0","40,653.0","43,730.0","44,979.0","46,452.0","49,726.0","53,016.0","55,473.0","57,825.0","60,684.0","64,629.0","68,092.0","71,352.0","73,896.0","77,209.0","81,076.0","84,126.0","87,923.0","91,841.0","98,644.0","105,114.0","120,141.0","119,709.0","120,791.0","125,730.0","134,570.0","144,001.0","155,246.0"
"110","92","  Transportation","G160941","8,963.0","9,903.0","10,816.0","11,521.0","12,812.0","15,496.0","17,397.0","18,027.0","18,889.0","20,436.0","22,408.0","25,407.0","28,569.0","31,333.0","32,423.0","33,497.0","35,672.0","37,947.0","39,308.0","40,842.0","42,351.0","44,952.0","47,378.0","49,124.0","51,042.0","53,397.0","56,334.0","58,769.0","61,554.0","64,387.0","69,178.0","73,620.0","77,783.0","81,284.0","83,594.0","87,268.0","94,765.0","102,249.0","112,064.0"
"111","93","    Highways","G160951","8,938.0","9,879.0","10,782.0","11,468.0","12,731.0","15,380.0","17,239.0","17,838.0","18,679.0","20,197.0","22,081.0","25,053.0","28,167.0","30,879.0","31,981.0","33,112.0","35,345.0","37,641.0","39,033.0","40,490.0","41,975.0","44,578.0","46,966.0","48,736.0","50,679.0","53,057.0","56,024.0","58,438.0","61,118.0","63,941.0","68,749.0","73,086.0","77,142.0","80,760.0","83,191.0","86,898.0","94,392.0","101,875.0","111,685.0"
"112","94","    Transit and railroad","G160981","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","641.0","524.0","403.0","370.0","373.0","374.0","379.0"
"113","95","  Other economic affairs","W693RC1","3,201.0","3,586.0","3,997.0","4,367.0","4,818.0","5,571.0","6,785.0","7,528.0","8,057.0","9,761.0","10,351.0","11,483.0","12,083.0","12,397.0","12,556.0","12,955.0","14,054.0","15,070.0","16,166.0","16,983.0","18,333.0","19,677.0","20,714.0","22,228.0","22,854.0","23,812.0","24,742.0","25,357.0","26,369.0","27,454.0","29,466.0","31,494.0","42,358.0","38,425.0","37,197.0","38,462.0","39,805.0","41,752.0","43,182.0"
"114","96","    General economic and labor affairs","G160901","1,585.0","1,817.0","2,082.0","2,325.0","2,521.0","2,963.0","3,759.0","4,367.0","4,776.0","6,247.0","6,472.0","7,031.0","7,110.0","7,008.0","6,798.0","6,813.0","7,315.0","7,868.0","8,581.0","8,831.0","9,642.0","10,395.0","10,809.0","11,847.0","12,122.0","12,404.0","12,668.0","12,839.0","13,381.0","13,933.0","14,906.0","15,761.0","18,332.0","20,005.0","19,243.0","19,283.0","20,258.0","21,008.0","20,967.0"
"115","97","    Agriculture","G160911","741.0","829.0","915.0","965.0","1,038.0","1,140.0","1,272.0","1,345.0","1,369.0","1,432.0","1,562.0","1,766.0","1,946.0","2,101.0","2,298.0","2,460.0","2,650.0","2,835.0","2,927.0","3,030.0","3,253.0","3,549.0","3,694.0","3,774.0","3,835.0","3,888.0","3,955.0","4,078.0","4,263.0","4,495.0","5,127.0","5,709.0","5,936.0","5,970.0","5,896.0","5,846.0","5,801.0","5,849.0","5,913.0"
"116","98","    Energy","G160921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0"
"117","99","    Natural resources","G160931","867.0","952.0","1,033.0","1,092.0","1,255.0","1,466.0","1,764.0","1,846.0","1,924.0","2,079.0","2,335.0","2,715.0","3,058.0","3,300.0","3,484.0","3,685.0","4,064.0","4,329.0","4,652.0","5,137.0","5,434.0","5,740.0","6,219.0","6,606.0","6,960.0","7,588.0","8,116.0","8,424.0","8,706.0","8,991.0","9,378.0","9,983.0","11,031.0","12,030.0","12,339.0","13,280.0","13,673.0","14,860.0","16,296.0"
"118","100","    Other \4\","G160991","8.0","-11.0","-33.0","-15.0","3.0","3.0","-9.0","-30.0","-12.0","3.0","-18.0","-29.0","-30.0","-12.0","-24.0","-3.0","25.0","37.0","6.0","-15.0","4.0","-7.0","-8.0","1.0","-63.0","-68.0","3.0","16.0","19.0","35.0","55.0","41.0","35.0","35.0","38.0","53.0","73.0","35.0","6.0"
"119","101","Housing and community services \8\","G161001","900.0","1,006.0","1,107.0","1,175.0","1,310.0","1,429.0","1,574.0","1,683.0","1,790.0","2,100.0","2,212.0","2,479.0","2,651.0","2,698.0","2,687.0","2,742.0","2,906.0","3,091.0","3,206.0","3,678.0","4,107.0","4,595.0","5,056.0","5,149.0","5,029.0","5,305.0","5,358.0","5,625.0","5,814.0","5,873.0","6,395.0","7,054.0","7,539.0","7,807.0","7,974.0","7,955.0","8,630.0","8,229.0","14,774.0"
