"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"32","12","  Gross national income \2\","A023RX1","1,774,527.0","1,759,248.0","1,759,132.0","1,780,582.0","1,828,382.0","1,876,671.0","1,879,967.0","1,887,633.0","1,850,068.0","1,838,626.0","1,851,434.0","1,826,479.0","1,898,024.0","1,973,635.0","2,057,587.0","2,098,608.0","2,107,627.0","2,135,702.0","2,172,338.0","2,190,530.0","2,207,702.0","2,218,753.0","2,233,591.0","2,300,758.0","2,342,144.0","2,360,325.0","2,345,832.0","2,294,007.0","2,300,738.0","2,304,773.0","2,325,330.0","2,377,496.0","2,440,912.0","2,495,326.0","2,524,403.0","2,545,007.0","2,549,454.0","2,573,704.0","2,571,321.0","2,614,146.0","2,621,467.0","2,621,577.0","2,632,775.0","2,602,758.0","2,546,269.0","2,550,235.0","2,595,667.0","2,658,723.0","2,721,907.0","2,801,782.0","2,778,934.0","2,799,289.0","2,862,512.0","2,856,880.0","2,854,606.0","2,839,416.0","2,845,404.0","2,892,971.0","2,936,151.0","3,002,393.0","3,044,958.0","3,078,238.0","3,106,632.0","3,139,859.0","3,170,598.0","3,217,454.0","3,258,717.0","3,290,619.0","3,348,456.0","3,393,066.0","3,442,113.0","3,470,471.0","3,551,165.0","3,597,308.0","3,645,733.0","3,721,696.0","3,802,425.0","3,825,762.0","3,848,987.0","3,881,290.0","3,900,125.0","3,919,994.0","3,963,317.0","4,001,690.0","4,062,528.0","4,123,644.0","4,176,003.0","4,201,062.0","4,242,434.0","4,268,675.0"
"33","13","  Net domestic product","A362RX1","1,625,902.0","1,624,689.0","1,624,098.0","1,652,438.0","1,681,943.0","1,716,828.0","1,727,146.0","1,730,177.0","1,702,793.0","1,695,433.0","1,716,351.0","1,697,849.0","1,774,248.0","1,833,526.0","1,912,198.0","1,947,985.0","1,973,361.0","2,007,490.0","2,049,620.0","2,050,939.0","2,071,155.0","2,070,737.0","2,083,308.0","2,156,784.0","2,198,275.0","2,213,478.0","2,195,656.0","2,154,036.0","2,139,543.0","2,139,967.0","2,164,330.0","2,210,440.0","2,279,195.0","2,318,859.0","2,350,962.0","2,363,262.0","2,348,699.0","2,366,897.0","2,361,029.0","2,402,180.0","2,416,631.0","2,407,589.0","2,430,973.0","2,399,214.0","2,322,875.0","2,336,295.0","2,395,866.0","2,457,322.0","2,511,820.0","2,581,793.0","2,577,116.0","2,585,718.0","2,649,436.0","2,633,962.0","2,636,955.0","2,596,910.0","2,612,062.0","2,664,390.0","2,710,381.0","2,769,509.0","2,822,191.0","2,854,265.0","2,880,572.0","2,885,249.0","2,923,973.0","2,961,549.0","3,020,328.0","3,042,356.0","3,115,098.0","3,151,267.0","3,195,029.0","3,200,689.0","3,283,729.0","3,328,502.0","3,398,511.0","3,484,424.0","3,573,645.0","3,581,391.0","3,602,069.0","3,629,142.0","3,659,272.0","3,654,992.0","3,682,189.0","3,708,352.0","3,788,408.0","3,854,828.0","3,878,970.0","3,892,488.0","3,955,455.0","3,963,096.0"
"34","14","  Net domestic income \3\","W256RX1","1,619,836.0","1,605,334.0","1,605,976.0","1,628,417.0","1,676,621.0","1,726,167.0","1,729,572.0","1,737,560.0","1,698,691.0","1,686,809.0","1,699,986.0","1,674,784.0","1,747,664.0","1,824,276.0","1,907,801.0","1,948,888.0","1,956,826.0","1,981,420.0","2,016,490.0","2,032,049.0","2,048,092.0","2,056,503.0","2,069,437.0","2,136,268.0","2,176,228.0","2,190,971.0","2,174,657.0","2,117,869.0","2,120,767.0","2,122,537.0","2,140,835.0","2,190,836.0","2,253,919.0","2,308,157.0","2,335,903.0","2,354,568.0","2,354,706.0","2,377,701.0","2,372,219.0","2,416,958.0","2,419,611.0","2,415,600.0","2,425,574.0","2,395,384.0","2,332,882.0","2,334,110.0","2,379,715.0","2,443,887.0","2,508,533.0","2,590,310.0","2,564,042.0","2,582,618.0","2,647,946.0","2,639,882.0","2,634,960.0","2,615,757.0","2,618,776.0","2,666,800.0","2,709,063.0","2,774,924.0","2,816,454.0","2,846,341.0","2,872,286.0","2,900,228.0","2,930,147.0","2,976,364.0","3,015,434.0","3,044,082.0","3,098,630.0","3,142,371.0","3,188,569.0","3,215,854.0","3,291,587.0","3,333,817.0","3,381,215.0","3,457,699.0","3,534,953.0","3,553,458.0","3,572,896.0","3,599,940.0","3,614,496.0","3,630,654.0","3,667,609.0","3,703,065.0","3,760,592.0","3,818,330.0","3,866,507.0","3,887,534.0","3,925,029.0","3,948,337.0"
"35","15","  Net domestic purchases","W367RX1","1,578,067.0","1,579,740.0","1,579,341.0","1,628,184.0","1,672,032.0","1,721,983.0","1,733,556.0","1,739,321.0","1,696,691.0","1,689,198.0","1,717,226.0","1,712,989.0","1,794,166.0","1,857,440.0","1,953,070.0","1,982,714.0","2,003,994.0","2,025,295.0","2,056,607.0","2,056,683.0","2,081,474.0","2,094,193.0","2,121,545.0","2,204,643.0","2,245,927.0","2,266,111.0","2,243,473.0","2,199,132.0","2,182,881.0","2,178,534.0","2,200,451.0","2,243,629.0","2,315,575.0","2,364,505.0","2,391,952.0","2,407,974.0","2,392,383.0","2,402,096.0","2,392,790.0","2,423,242.0","2,437,752.0","2,433,953.0","2,459,597.0","2,431,784.0","2,368,951.0","2,386,981.0","2,445,734.0","2,515,015.0","2,565,933.0","2,639,290.0","2,631,582.0","2,640,666.0","2,694,082.0","2,669,778.0","2,672,890.0","2,622,624.0","2,638,597.0","2,695,820.0","2,751,941.0","2,810,830.0","2,869,233.0","2,889,954.0","2,928,211.0","2,938,185.0","2,970,847.0","2,993,785.0","3,067,089.0","3,080,678.0","3,144,100.0","3,181,292.0","3,231,502.0","3,235,827.0","3,336,364.0","3,366,977.0","3,451,286.0","3,533,340.0","3,632,898.0","3,636,337.0","3,676,111.0","3,699,127.0","3,728,901.0","3,724,924.0","3,760,705.0","3,791,875.0","3,879,803.0","3,946,803.0","3,971,419.0","3,986,383.0","4,057,610.0","4,059,862.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
