"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"12","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,673.7,674.5,680.1,680.3,683.2,685.7,679.1,674.8,672.7,667.3,666.5,667.6,667.5,669.5,668.5,662.6,666.4,666.6,661.2,663.6,667.3,673.7,681.4,676.2,670.3,669.6,668,670.2,681.7,681,689.8,696.9,701.7,706.3,705.6,711.4,711.6,715.2,719.2,713.9,715.1,717.5,721.8,725.9,726.3,729,721.7,722.7,724,726.4,727.5,732.7,732.2
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3084,3087.5,3098.2,3101.8,3103.7,3118.5,3102.8,3110.8,3115.6,3108.9,3108.6,3110.1,3117.7,3135.3,3149.7,3162,3187.5,3199.3,3219.6,3233,3238.6,3244.8,3264.1,3255.4,3291.6,3312.3,3322.3,3327.7,3353.1,3353.5,3391.3,3412.6,3446.5,3485.4,3532.6,3571.7,3552.9,3568.4,3585.2,3581.2,3596.8,3615.6,3648.9,3648.9,3674.3,3664.6,3661.4,3681.7,3711.8,3733.5,3751.8,3791.5,3789.5
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.5,842.4,841.9,845.1,848.4,846.1,845.6,846.5,841.1,842,842.9,846,850.6,853.5,852.2,855.4,856.2,857.7,862.1,863.2,870.3,871.8,864.3,868,871.6,875.7,885.1,891.5,891.8,899.9,904.3,914.7,924.5,931.2,937.6,933.8,937.6,942,946.4,950.9,955.9,963.6,961.1,963.7,961.4,963.5,966.4,971.4,974.7,977.9,987.2,982.8
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2246.3,2250.1,2255.8,2259.9,2258.7,2270.1,2256.8,2265.2,2269.1,2267.8,2266.5,2267.2,2271.7,2284.8,2296.2,2309.8,2332.1,2343.1,2361.9,2370.9,2375.4,2374.5,2392.3,2391.1,2423.7,2440.7,2446.6,2442.6,2461.6,2461.7,2491.4,2508.3,2531.8,2560.8,2601.4,2634.1,2619.1,2630.8,2643.2,2634.8,2645.9,2659.7,2685.2,2687.8,2710.6,2703.2,2698,2715.3,2740.4,2758.8,2773.9,2804.2,2806.7
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,852.2,855.9,858.1,860.1,864.6,866.3,866.3,870.1,871.4,873.6,875.1,877.4,890,894.6,896.7,898.9,903,909.2,906.1,906.5,905.5,907.7,909.6,912.3,923.1,926.9,931.9,939.6,936.3,937.4,939.6,943.2,945.8,948.4,950.1,951.5,959,962.4,964.1,965.9,967.5,968.4,971.6,974.6,978.9,980,982.6,984.2,988.4,991.6,993.3,994.7,996.2
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
