"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"19","12","Income receipts on assets","W009RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4,1.5,1.7,1.8,1.8,1.9,2.1,2.5,2.9,2.7,3.1,3.5,3.6,3.8,4.2,4.9,5.9,6.7,8.5,10.7,13.7,18.3,22.2,23.8,26.6,29.1,31.4,27.9,30,28.6,30.2,30.1,25.7,26.2,23.4,23.7,26.9,25.9,21.5,21.5,25.2,24.9,20.2,22.7,21.9,23.2
"20","13","  Interest receipts \3\","B094RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.6,1.7,1.7,1.8,2,2.3,2.7,2.5,2.8,3.1,3.3,3.4,3.6,4.3,5.2,5.8,7.4,9.2,11.3,14.8,18.3,20.4,22.8,25.7,29,25.6,28,26.5,27.6,27.4,23.1,23.5,20.6,21.2,23,21.4,17.7,18,20.1,18.4,15.4,16.2,15.3,15.9
"21","14","  Rents and royalties \4\","B1040C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1.1,1.5,2.3,3.5,3.8,3.5,3.9,3.5,2.4,2.3,2,2.1,2.6,2.8,2.6,2.7,2.7,2.5,4,4.5,3.8,3.5,5.1,6.5,4.9,6.5,6.6,7.3
"22","15","Current transfer receipts","W011RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.3,1.3,1.4,1.5,1.6,1.9,2.4,2.8,3.5,3.8,5.2,6,7.3,9.4,8.2,10.7,10.8,12.4,13.5,17.9,19.4,21.1,22.3,19.1,23.1,19.9,21.5,22.7,25.7,27.1,24.8,25.7,28.6,7.6
"23","16","  From business","W012RC1",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,1,1.1,1,1,1.1,1,1,1.1,1.2,1.3,1.4,1.5,1.7,2.2,2.6,3.3,3.5,4.5,5,6.2,8.2,6.9,8.7,8,9.3,10.1,14.1,15.3,16.1,16.7,13,16,12,12.9,12.9,14.9,16.2,14,14.7,16,-5.6
"24","17","  From persons","B233RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.1,7.1,7.9,8.6,9.8,10.8,10.9,10.8,11,12.5,13.2
"25","18","Current surplus of government enterprises \5\","B097RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.6,-0.6,-0.3,-0.5,-1.5,-1.6,-1.1,-1.8,-1.8,-3.6,-2.2,-2.9,-2.1,-2.3,-3.6,-2.5,-2.4,-2.9,-3.4,-2.4,-1.5,-2,-2.3,-1.6,-5.1,-1.4,-0.1,-1.8,-0.4,-0.6,-1.2,0.3,0.1,-0.3,-2.3,-5.5,-1.6,1.9,-0.5,-3.7
"26","19","    Current expenditures","W013RC1",2.6,2.7,4,3,3.4,5.5,5.6,7.8,6.4,7.3,8.4,8.5,12.7,31,52.6,66.9,70.5,44.5,37.6,38.8,43.5,43.3,53.3,62.1,66.8,64.2,65.3,68.3,76,81.4,83.6,86.7,92.8,101.1,106.4,110.8,117.6,135.7,156.2,173.5,183.8,201.1,220,244.4,261.7,293.3,346.2,374.3,407.5,450,497.5,585.7,672.7,748.5,815.4,877.1,948.2,1006,1041.6,1092.7,1167.5,1253.5,1315,1444.6,1496,1533.1,1603.5,1665.8,1708.9,1734.9,1787.6,1864.4,1969.5,2101.1,2251.4,2381.3,2548.4
"27","20","Consumption expenditures","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.3,61,60.8,27,20.9,21.2,23.3,22.1,34.4,44.2,48.3,43.9,43.9,45.1,49.5,50.9,50,49.8,51.6,57.8,60.8,62.8,65.7,75.9,87.1,95.4,98.4,98.6,102,107.7,108.9,118,129.6,137.2,150.7,163.3,179,207.5,238.3,263.3,286.5,310,338.4,358.2,374.3,382.5,399.2,419.8,439.5,445.2,441.9,440.8,440.5,446.3,457.7,454.6,475.1,499.3,531.9,591.5,661.9,725.7,769.6
"28","21","Current transfer payments","W014RC1",0.8,0.8,2,1,1.1,2.2,2.3,2.7,1.5,1.8,2,2.1,1.9,2.1,1.9,2.4,5.2,11.9,11.9,12.8,15.2,15.7,13.1,12.4,13,14.8,16,16.7,19.3,23.4,26.2,27.5,31.3,32.3,34.1,35.2,38.3,44.2,52.6,59.3,65.1,80,95.5,111.9,124.9,145.7,183.5,198.5,212.9,232.7,254.6,299.1,329.5,358.8,383,396.5,419.3,445.1,452.9,481.9,522,569.9,597.6,718.7,764.7,799.2,839,888.3,918.8,946.5,986.1,1038.1,1131.4,1243,1327.7,1391.2,1475
"29","22","  Government social benefits","W015RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,20.1,23.3,23.7,24.9,25.4,27.6,30.2,36.9,42.2,46.1,56.1,66.6,73.3,85.2,103.9,133,143.9,152.9,163.3,183.7,220.7,251.4,282.4,304.3,310.5,326.6,345.3,358.2,379.1,412.2,447.2,494.2,551.7,582.4,607.6,642.7,680,706.3,719.2,738,772.5,841.4,919.6,965,1017.1,1086.3
"30","23","    To persons","B087RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,19.9,23.1,23.5,24.6,25.2,27.3,29.9,36.5,41.9,45.8,55.6,66.1,72.9,84.5,103.3,132.3,143.1,152.1,162.4,182.8,219.6,250.1,281.2,303,309.2,325.4,343.7,356.7,377.5,410.6,445.4,492,549.8,580.5,605.5,640.8,677.9,704.2,716.9,735.7,770,838.7,916.9,962.2,1014,1083
"31","24","    To the rest of the world \6\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.2,1.3,1.2,1.2,1.6,1.5,1.6,1.6,1.8,2.2,1.9,1.9,2.1,1.9,2.2,2.2,2.3,2.4,2.5,2.7,2.7,2.8,3,3.3
"32","25","  Other current transfer payments","W010RC1",0.2,0.2,0.4,0.2,0.5,1.6,1.7,0.8,0.8,0.7,0.9,0.8,0.6,0.9,0.8,0.8,1.2,3.3,3.6,5.6,7,5.5,5.2,4.3,4.3,4.1,4.5,4.4,4.7,5.2,7.6,7.4,8,8.6,9.2,9.8,10.7,14,15.7,17.1,19,23.9,29,38.6,39.7,41.8,50.5,54.6,60,69.4,70.8,78.4,78.2,76.4,78.7,86,92.7,99.9,94.7,102.8,109.8,122.7,103.5,167,182.3,191.6,196.3,208.2,212.5,227.4,248,265.6,290,323.4,362.7,374.1,388.7
"33","26","    Grants-in-aid to state and local governments","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,163.7,174.7,184.1,191.2,198.6,212.8,232.9,247.3,276.1,304.6,339.1,348.3,357.6
"34","27","    To the rest of the world (net) \6\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.1,2,1.8,2.1,1.9,1.8,1.8,3.9,3.4,3.5,3.6,3.5,3.3,3.5,3.9,4,4.4,4.4,4.6,5.7,6.9,5,5.5,5.4,3.8,3.4,3.9,4.5,6,5.7,6.9,7.1,9.3,11.8,12.3,10.8,11.2,11.5,11.3,-28.1,17.8,18.7,16.9,12.1,17.1,13.9,14.6,15.1,18.3,13.9,18.8,23.6,25.9,31.1
"35","28","Interest payments \3\","A091RC1",0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.5,0.5,0.7,0.8,1,1.6,2.2,3.1,4,4.1,4.2,4.3,4.5,4.6,4.6,4.7,4.8,4.8,5.2,5.7,5.4,6.3,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,215.2,221.5,249.1
"36","29","  To persons and business \3\","B092RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.6,8.3,8.9,9.6,10.1,11.1,12.1,13.9,15,16.7,16.1,16.1,19,21.7,24.4,29.3,31.6,36.7,44.6,57,76.6,92.5,105.6,129.1,146.3,153.5,158.4,167.6,181,196.7,210.1,212.2,214,217.1,236.6,232,221.3,219.6,208.1,200.3,176.2,152.4,141.7,131.7,133.2
"37","30","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,53.8,65.3,78.6,79.3,74.5,83,82.4,76.6,73.5,89.7,115.9
"38","31","Subsidies \5\","B096RC1",0.1,0.1,0.2,0.1,0.2,0.5,0.7,0.4,0.4,0.6,0.9,0.9,0.6,0.7,0.8,1.3,1.4,1.6,0.6,0.6,0.7,1,1.2,0.9,0.7,0.6,0.6,1.2,1.6,1.8,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.5,20.8,20.6,20.9,24.5,29.9,29,26.8,26.4,26.9,29.5,36,31.8,33.7,34,32.4,35,43.8,43.8,47.6,37.5,46.5,43,54.7
"39","32","Less: Wage accruals less disbursements","B098RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.5,0.1,0.1,0.1,0.1,0,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","33","    Net Federal Government saving","A923RC1",1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-26.9,-29,-5,5.3,3.6,-5.7,5.5,9.6,3.7,1.8,-1.6,5.7,7.6,3.3,-5.4,3.3,7.2,2.6,2.5,5.4,1,3.3,2.3,-9.4,-2.3,8.7,-15.2,-28.4,-24.4,-11.3,-13.8,-69,-51.7,-44.1,-26.5,-11.3,-53.6,-53.3,-131.9,-173,-168.1,-175,-190.8,-145,-134.5,-130.1,-172,-213.7,-297.4,-273.5,-212.3,-197,-141.8,-55.8,38.8,103.6,189.5,46.7,-247.9,-382.7,-406.5,-326.5
"41","34","Social insurance funds","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.6,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.5,6,4.1,3.2,5.7,1,-3,-0.6,5.8,3.2,-16.2,-15.6,-13.8,-4.6,0.2,-15.5,-13.8,-33.8,-37.3,-8.7,1.7,6.4,15.2,39.7,43.1,43,25.7,6.5,5.6,17.9,19,13.9,30.6,59,94.1,112.3,87,48.9,40.8,52.1,54.3
"42","35","Other","B244RC1",1,0.2,-2.1,-1.4,-0.9,-2.2,-1.9,-3.5,-1.2,-2.3,-3.1,-1.3,0.6,-10.9,-17.4,-30.8,-33.2,-8.2,2.1,1.2,-7.2,5.8,7,1.1,-0.3,-2.8,4.2,5.9,2.2,-2.7,4,6.8,5,3.1,4.5,-0.2,2.9,-3.7,-13.5,-5.5,3,-16.2,-25.3,-23.8,-17.1,-17,-52.9,-36.1,-30.2,-21.9,-11.4,-38.1,-39.5,-98.1,-135.7,-159.4,-176.7,-197.2,-160.2,-174.1,-173.2,-215,-239.4,-303.9,-279.1,-230.3,-216,-155.7,-86.4,-20.2,9.6,77.1,-40.3,-296.8,-423.5,-458.6,-380.8
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W018RC1",3.8,3,2,1.7,2.6,3.5,3.9,5,7,6.4,6.6,8.5,15.3,22.7,38.9,40.6,42.2,40.2,43.6,43.3,38.6,49.4,63.6,66.6,69.5,63.4,72,77.1,80.7,77.4,88.4,95.7,97.4,105.7,114,114.3,123.8,141,149.9,174.3,196.1,189.6,196.3,225.4,255.5,284.3,282.1,328.1,370.6,428.7,491.7,538.6,626.3,624.1,648.1,715,779.6,822.2,903.8,965.9,1046.3,1093.1,1112.3,1158.5,1235.4,1335.9,1421.5,1541.5,1673.7,1798.9,1920,2081.9,2044.1,1878.5,1890.6,1999.5,2246.9
"45","37","    Current receipts","W005RC1",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76,87,93.9,95.5,103.6,111.8,111.8,120.9,137.9,146.9,171.2,192.5,186,191.7,220.1,250.4,279.5,277.2,322.5,363.4,423.5,486.2,532.1,619.4,616.6,642.3,709,773.3,815.2,896.6,958.2,1037.4,1081.5,1101.3,1147.2,1222.5,1320.8,1406.5,1524,1653.1,1773.8,1891.2,2053.8,2016.2,1853.2,1868.6,1974.8,2221.9
