"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"15","8","    Nonresidential","A008CX1",68.6,72.4,81,95.1,107,105.5,110.3,118.6,118,118,128.8,147.6,148.8,134.1,140.7,156.6,180,198.2,197.6,208.8,200.9
"16","9","      Structures","B009CX1",32.2,32.6,35.9,41.7,44.5,43.4,44,46.4,46.5,45.8,47.2,51,49.9,44.7,45.8,47.7,54.5,61.5,65,70.2,69
"17","10","      Equipment and software","B010CX1",37.5,40.7,45.9,54.3,63,62.6,66.5,72.3,71.6,72.3,81.7,96.6,99.1,89.7,95.3,109.6,126.3,137.4,132.4,138.1,130.9
"18","11","    Residential","A011CX1",41.7,46.6,49.3,47.9,43.6,42.2,48,49.4,46.4,59.2,69.7,69.2,54.9,47.8,59.1,71.7,76.2,73.5,57.9,53.3,43.6
"19","12","  Change in private inventories","A014CX1",7.7,7.1,6.1,11.6,16.6,12,10.8,10.7,2,8.8,9.1,13.8,10.2,-4.5,12.1,15.2,16.2,9.9,-3.2,13.8,-6.9
"20","13","Net exports of goods and services","A019CX1",4.5,6.3,9.3,6.7,4,1.7,-1.7,-2.2,1.5,-0.8,-3.4,6.5,15,22.8,13.6,7,9.4,18.4,37.6,36.8,27.9
"21","14","  Exports","A020CX1",38.4,41.2,46,47.3,50.6,51.7,55.8,58.5,64.8,65.9,70.8,84.2,90.9,90.3,94.2,96.5,106.7,117.2,129.9,131.5,121.4
"22","15","    Goods","A253CX1",28,30.2,34.4,34.5,36.9,37.1,40,42.1,47,46.8,51.8,63.7,68.7,67.2,70.3,71.3,79.2,88.6,99.1,98.1,89.2
"23","16","    Services","A646CX1",10.3,10.9,11.5,12.7,13.6,14.6,15.8,16.3,17.8,19.2,19,20.4,22,23.3,24,25.6,27.7,28.6,30.4,33.6,32.7
"24","17","  Imports","A021CX1",33.9,34.8,36.7,40.6,46.6,50,57.5,60.7,63.3,66.7,74.2,77.7,75.9,67.5,80.7,89.5,97.2,98.8,92.3,94.7,93.5
"25","18","    Goods","A255CX1",22.7,23.6,25.1,28.7,33.2,35,42.2,44.5,46.2,50.1,56.9,61,59.3,51.8,63.5,71.2,77.6,79,73.1,74.6,72.7
"26","19","    Services","B656CX1",11.2,11.2,11.5,11.9,13.4,15,15.3,16.2,17.1,16.6,17.3,16.7,16.7,16,17.1,17.9,19.2,19.4,19,20.1,21.2
"27","20","Government consumption expenditures and gross investment","A822CX1",213.7,219.2,224,230.7,251,270.3,278.7,278,271.3,265.4,263.5,262.5,269.1,275.2,276.4,279.5,287.7,293.1,298.8,301.5,306.8
"28","21","  Federal","A823CX1",124.5,124.6,122.9,122.9,136.4,150,151.2,146,135.2,124.8,119.7,114.6,115.6,116,116.1,118.5,121.5,124.4,130.3,136.6,141.8
"29","22","    National defense","A824CX1",102.2,99.7,95.7,93.8,107.2,121.2,123.1,117,106.4,94.4,87,82.1,81.5,80.7,80.4,81.4,82.1,84.6,88.3,93.8,100.9
"30","23","    Nondefense","A825CX1",22.9,25.3,27.5,29.4,29.7,29.4,28.7,29.5,29.2,30.6,32.7,32.5,34.2,35.4,35.7,37.2,39.5,40,42.2,42.8,40.7
"31","24","  State and local","A829CX1",90,95.4,101.8,108.7,115.5,121.3,128.5,132.8,136.5,140.7,143.8,147.9,153.5,159.1,160.3,160.8,166.1,168.5,168.4,165,165.1
"32","25","Residual","A960CX1",-8.9,-7.8,-6.3,-4.3,-3.7,-5.9,-4.9,-3.4,-1.9,-1.2,-0.1,1.5,2.5,3.8,0.7,-2.6,-2.3,-0.2,6.1,6,4.5
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Chained (1972) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","quantity index and the 1972 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
