"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"18","11","    Fuel oil and coal","A171RC1",1.6,1.5,1.3,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.9,2,2,2.2,2.5,3,3.4,3.1,3.4,3.5,3.5,3.4,3.5,3.8,3.9,4.1,4.2,4,3.8,3.8,3.8,4,4.1,4.4,4.7,4.8,4.7,4.6,4.4,4.6,5.1,6.3,7.8,8.4,10.1,11.1,11.5,14.4,15.4,15.8,14.5,13.6,13.9,13.6,11.3,11.2,11.7,11.9,12.9,12.4,12.2,12.4,12.8,13.1,14.3,13.3,11.5,11.9,15.8,15.4,14.2,17,19.5,23.3
"19","12","  Other","A172RC1",5.4,4.7,4.4,3.7,3.5,3.9,4.1,4.5,4.9,4.9,5.3,5.6,6.4,7.5,8.7,9.6,10.8,11.3,12.8,14.1,14.7,15.8,17.6,18.4,19.4,19.3,20.4,21.7,23.2,24.2,26.1,27.7,29.2,31.4,33.1,35,37.6,41.4,43.5,47,50.2,54.1,56.4,60.8,66.6,72.7,78.5,86,92.4,104.7,118,130.6,144.5,155.2,169.8,186.3,198.2,211.9,229.1,244.5,265.7,285,297.8,314.7,331.1,349.5,369.2,391.9,416.9,449,495.6,532.9,564.4,595.5,620,654.8,689.8
"20","13","Services","B005RC1",30.5,29,26.2,22.3,20.2,20.5,21.5,23,24.7,24.6,25.4,26.5,28.5,31.4,34.8,37.6,40.1,45.8,50.7,55.6,58.6,63.3,69.5,75.4,82.5,88.4,95.2,102.8,109.8,117,126.5,135.6,143.8,153.6,162.9,176.1,189,203.8,220.3,241.6,266.1,291.5,319.5,352.2,385.8,426.6,480.2,534.7,600.2,676.6,753.3,846.9,950.8,1049.4,1178.6,1292.2,1428.1,1538.3,1663.3,1816.5,1960,2115.9,2247.4,2421.2,2571.8,2723.9,2879.1,3048.7,3235.8,3445.7,3660,3928.8,4154.3,4347.2,4570.8,4858.2,5154.9
"21","14","  Housing","A174RC1",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.8,86.9,94.1,102.8,112.6,123.3,134.8,147.7,162.2,180.2,202.4,227.3,256.2,289.7,315.2,341,374.5,412.7,448.4,483.7,521.5,557.4,597.9,631.1,658.5,683.9,726.1,764.4,800.1,842.6,894.6,948.4,1006.5,1073.7,1123.1,1158,1221.1,1281.5
"22","15","  Household operation","A186RC1",4,3.9,3.5,3.1,2.8,3,3.2,3.4,3.7,3.6,3.8,4,4.3,4.8,5.2,5.9,6.4,6.8,7.5,8.1,8.6,9.5,10.4,11.2,12.1,12.7,14.2,15.4,16.4,17.5,18.7,20.3,21.2,22.4,23.6,25,26.5,28.1,30,32.3,35,37.8,41.1,45.4,49.9,55.8,64,72.5,81.8,91.2,100.3,113.7,126.8,142.5,157,169.4,181.8,187.7,195.4,207.3,221.1,227.3,238.6,250.7,269.9,286.2,298.7,318.5,337,350.5,364.8,390.1,409,407.7,428.8,446.2,481.8
"23","16","    Electricity and gas","A175RC1",1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.9,3.3,3.7,4.1,4.5,5,5.5,6.1,6.5,7.1,7.6,8.3,8.8,9.4,9.9,10.4,10.9,11.5,12.2,13,14.1,15.3,16.9,18.8,20.4,24,29.2,33.2,38.5,43,47.8,57.5,64.8,74.2,82.4,86.5,90.8,89.2,90.9,96.3,101,101,107.4,108.9,118.2,120.7,122.2,129.4,131.3,129.8,130.6,143.3,156.7,152.5,166.6,175.9,201.7
"24","17","    Other household operation","A176RC1",2.9,2.7,2.3,1.9,1.7,1.9,2,2.2,2.4,2.2,2.4,2.6,2.7,3.2,3.5,4.1,4.5,4.7,5.1,5.5,5.6,6.2,6.7,7.1,7.6,7.7,8.7,9.3,9.9,10.4,11.1,12,12.4,13,13.8,14.6,15.6,16.6,17.8,19.2,21,22.4,24.2,26.7,29.5,31.8,34.8,39.3,43.3,48.2,52.5,56.2,62,68.3,74.6,82.9,91.1,98.5,104.5,111,120,126.2,131.2,141.9,151.7,165.5,176.5,189.1,205.6,220.7,234.1,246.8,252.3,255.2,262.2,270.2,280.1
"25","18","  Transportation","A177RC1",2.6,2.2,1.9,1.6,1.5,1.6,1.7,1.9,2,1.9,2,2.1,2.4,2.8,3.4,3.7,4.1,4.9,5.2,5.7,5.8,6,7,7.4,8,8.2,8.6,9.2,9.7,9.9,10.6,11.2,11.6,12.3,12.9,13.8,14.7,15.9,17.4,19.3,21.6,24,26.8,29.6,31.6,34.1,37.9,42.5,48.7,53.4,59.9,65.2,70.3,72.9,81.1,93.2,104.5,111.1,120.9,133.4,142,147.7,145.3,157.7,172.7,190.6,207.7,226.5,245.7,259.5,276.4,291.3,292.8,288.4,296.8,306.9,321.2
"26","19","  Medical care","A494RC1",2.4,2.4,2.2,1.8,1.6,1.8,1.9,2.1,2.2,2.2,2.3,2.4,2.6,3,3.2,3.7,3.9,4.9,5.7,6.5,6.7,7.2,7.7,8.5,9.5,10.5,11.2,12.1,13.4,14.8,16.4,17.7,19,21.2,23,26.4,28.6,31.5,34.7,40.1,45.8,51.7,58.4,65.6,73.3,82.3,95.6,109.1,125.3,143.1,161,184.4,216.7,243.3,274.3,303.2,331.5,357.5,392.2,442.8,492.5,556,608.9,672.2,715.1,752.9,797.9,833.5,873,921.4,961.1,1026.8,1113.8,1206.2,1299.4,1401.1,1510
"27","20","  Recreation","A490RC1",1.7,1.7,1.6,1.2,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.7,1.9,2.1,2.4,2.7,3,3.7,3.8,3.8,3.8,3.9,4,4.3,4.5,4.8,5.2,5.6,5.6,5.8,6.4,6.9,7.4,8,8.5,9.1,9.6,10.4,11.1,12.5,13.8,15.1,16.3,17.6,19.7,22.5,25.4,28.4,31.4,34.7,38.8,43.6,50.6,56.8,63.6,69.7,77.7,83.7,90,102.1,114.3,125.9,132.9,146.6,160.4,171.4,187.9,202.5,215.1,229.3,248.6,268.3,284.1,299.1,318,338.8,355.2
"28","21","  Other","A178RC1",8,7.6,6.7,5.6,5.1,5.2,5.6,6,6.5,6.3,6.3,6.5,7,7.5,8.7,9.4,9.9,11.3,12.5,13.6,14,15,16,17.1,18.5,20,21.7,23.8,25.4,27,29.4,31.3,33.3,35,36.9,40.4,44.2,48.4,53,57.7,62.9,68.8,74,81.4,88,97.1,109.7,120.1,132.8,151.8,166.2,183.8,196.7,218.8,261.6,282.1,319.8,349.9,381.2,409.4,432.8,461,490.6,535.5,569.8,596.7,622.5,667.6,722.4,790.5,860.7,945.9,980.7,1022.7,1069.8,1144.1,1205.3
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","  Energy goods and services \1\","BA02RC1",4.6,4.5,4.1,3.8,3.8,4.1,4.2,4.6,4.9,4.8,5,5.3,5.9,5.6,5,5.2,5.9,7.9,9.3,10.9,11.3,12.2,13.4,14.3,15.4,16.4,17.9,19.4,20.8,21.8,23,24.2,24.6,25.8,26.8,28.1,30.1,32.2,34.1,36.3,39.1,41.7,44.6,48.2,54.8,68,77.3,86.4,96.4,104.6,128.4,159.6,178.5,182.8,189.1,194.9,201.5,180.6,187.5,196.3,211.5,225.1,228.3,233.5,244.7,249.7,255.5,274.2,279.1,263.7,280.4,334.8,343.7,331.2,376.2,425.9,512.4
"31","23","  Personal consumption expenditures excluding food and energy","BA03RC1",53.3,47.7,41.8,33.5,30.7,33.2,35.5,39.1,42.1,40.6,43.1,45.8,51.8,55.1,61.7,66.8,73.4,89,100.3,110,114.7,126.1,134.5,141.1,152.3,156.9,172.3,180.9,191,196.5,214,225.2,233.5,251.4,267.6,289.8,313,339.3,361.2,399.5,434.6,463,507.6,561,618,663.6,733.9,823,919.5,1034.3,1139.2,1241.5,1379,1491.2,1677.7,1861,2051.2,2227.1,2397.6,2603.9,2795.4,2978.1,3100.3,3332.4,3541.3,3773,3979.4,4214,4472.1,4786,5128.9,5479.4,5743.4,6017.6,6285.1,6653.8,7014.8
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
