"","Table 7#2#1A# Percent Change From Preceding Period in Real Auto ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","3","  Personal consumption expenditures","A135RL1",NA,33,-27.8,86.2,43.8,-31,33.5,40.5,23.6,156.8,16.2,-0.2,36.5,17.5,120.8,-23.1,-15.8,-49.9,-33.4,-32.2,4.3,25.3,-64,506.2,44.9,-6.4,-0.4,-26.9,-26.3,62.2,-14.7,48.1,104.6,46.7,11.8,-29.7,-40.5,-18.2,-13.1,35.8,30.9,-16.4,-18.2,7.3,-54.3,-10.7,-3.4,30.7,58.1,29.7,14.7,-44,55.9,16.9,9.7,-23.2,-48,12.2,12.5,48,18.5,17.6,-8.5,41.5,16,12.2,-0.6,7.2,10.5,3.4,22.4,-34.6,137,-9.8,15.2,1.7,29.5,-38.3,12,-2.9
"12","4","    New autos","B136RL1",NA,46.8,-36.1,73,45.5,-33.4,20.4,29.3,32.4,170.9,24.7,6.1,41.9,17.6,106.1,-28.7,-14.4,-53.4,-35.8,-37,0,23.7,-69.1,656,47.4,1.8,7.7,-22.7,-27.5,49,-14.5,42.6,116.1,57.9,18.3,-36.3,-42.5,-21.8,-24.7,48.3,29,-18.7,-15.7,6.1,-62.4,-20.5,-1.5,36.3,125.5,21.4,27.6,-57.3,122.7,-1.2,15.5,-29.4,-56.6,34.2,15.3,66.3,17.6,23.9,-17.1,73.6,10,16.6,-11.1,24.6,5.1,8.5,28.9,-42.8,190.3,-17.8,10,9.4,31.9,-42.8,21.8,-5.4
"13","5","    Net purchases of used autos","B137RL1",NA,-24.6,42.8,168.2,35.9,-18.5,106.1,99.6,-3.1,104.9,-19.5,-33.1,-4.6,15,264.7,27.2,-25,-21.8,-15,3.8,57,26.2,-35.1,48.7,-41,22.1,-19.2,-64.1,79.9,-88.4,57.3,2197.3,-13.3,-59.9,-61.9,4.8,41.9,26.7,130.5,-7.8,18,-3,-29,15.6,3.8,35.7,-6,17.8,-68.6,87.8,-32.8,95.9,-73.7,204,-18.1,18,11.3,-47.8,0.3,-16.2,25.3,-9.5,48,-50.4,56.2,-9.4,76.4,-50.5,45.5,-19.8,-9,32.5,-22.6,57.1,47.4,-30.7,16.6,-8.9,-28,11.4
"14","6","  Private fixed investment","B280RL1",NA,43.5,-35.4,75.7,23.4,-43.5,5.6,14.8,7.1,121.8,6.2,1.4,36.7,14.5,111.6,-28.9,-23.9,-57.4,-40.6,-41.5,-12.7,13.6,-66.9,676.2,69,48.9,38.9,-14,-33,-35.6,87.7,29.7,84.2,29.6,-2.4,-42.7,-51,-31.6,-26.9,51.2,27.3,1.9,6.4,30.1,-74.1,-28.4,-6.9,83.3,109.1,35.5,61,-53.3,131,-33.2,1.6,-39.3,-11.3,27.1,15.7,39.2,33,5.5,21.5,18.2,-20.9,-27.7,-8.4,43.3,3.7,5.4,38.8,-46.4,317.5,-24,-11.4,6.5,24.7,-38.8,-6.1,29.5
"15","7","    New autos","B139RL1",NA,44.7,-34.5,86.7,34,-40.9,8.5,15,10.8,123.2,8.2,1,31.2,11.5,120.2,-22.1,-8.9,-50.5,-32.6,-35,1,17.7,-70.9,557.1,23,12.2,20.8,-15.6,-20.3,-25.6,89.1,33.9,60.3,25.2,4.8,-38,-40.2,-19.5,-17.7,53.3,19.9,-8.9,-7.7,13,-63.6,-20.1,-4.2,44.6,79.8,27.9,30.4,-56.3,132.3,-23.4,1,-28.7,-16.3,40.6,5.1,34.2,25.2,7.7,14.4,18.8,-11.6,-21.1,-14,46.1,-3.8,8.7,29.1,-48.1,282.3,-20.4,-11.2,17.3,28.9,-32.4,-7.6,55.9
"16","8","    Net purchases of used autos","B140RL1",NA,77,-12.6,478.5,272.2,-15,26.8,11.5,40.3,133.2,20.6,0.1,3.6,-4.1,175.2,23.1,98.4,-15.9,-1,-13.2,46,28.3,-78.9,329.5,-48.3,-53.6,-24.5,-21.1,44.5,30.3,93.3,51.4,-10.3,4.6,49.8,-10.3,42.2,52.1,25.7,58.3,-6.5,-39,-45.2,-32.3,20.3,8.4,3.5,-18.8,13.4,4.8,-40.4,-67.7,138.9,34.6,-2.1,32.9,-33.4,98.1,-23.3,18.5,1.5,15.8,-7.1,21,27.7,2.9,-28.8,54.6,-22.9,19,3.1,-53.4,185.1,-6.8,-10.9,60.7,42.3,-10.2,-11.8,149.3
"17","9","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Exports","B142RL1",NA,81.6,-21,-11.5,-37.3,-49.5,-17,19.4,-39.6,-48.3,24.3,-41.3,-47.7,38.1,135.8,191.1,87.8,24.5,8.7,-67.3,-5.6,11.8,-39.2,65.7,32.6,0.4,40,-39.4,-2.1,37.2,-34.6,31.7,124.2,-3.8,48.3,-37.9,59,-47,-47.2,107.6,-45.3,13.4,-21.3,19.9,-94.5,7.7,-22,-26.2,-8.2,-6.5,3.4,-70.6,427.3,-38.4,-40.8,102.8,-14.4,-24.3,23.1,7.4,21,51.3,5.9,-20.9,-65.3,409.6,-28.1,222.9,-22.8,0,21.2,-31.8,120.7,-14.7,-49,387.4,-7.7,-38.9,433.3,136.7
"19","11","    Imports","B143RL1",NA,0,0,0,374537.2,411.3,148.1,31.9,-98.1,-98.8,416.4,0,702.6,95.4,402.9,211.9,-52,0,0,-33.2,59,277.1,172.2,52.2,0,-47.5,-65.6,-64.5,277.1,70.2,25.1,0,184.5,-44.8,257.7,73.2,0.8,216.4,107.1,145.7,131.1,138.9,152.6,84.2,8.4,4.3,263.5,12.4,70.3,65.7,37.3,-30.1,9.5,-57.7,-74.9,-53.6,-56.6,-10.7,99.3,87.8,22.9,-14.5,63.1,14.3,-28.3,19.7,44.5,-17.8,42.3,77.2,5.5,22.8,-70,258.6,-12.1,281.7,127.7,-23.5,67.4,199.9
"20","12","  Gross government investment","B144RL1",NA,48.9,-38.2,-14.3,-17.8,56.1,-48.4,11.8,-26.2,71.2,-59.1,60.6,115.9,24,-47,121.2,69.1,7.3,-17.2,55.1,0.2,-16,-9.1,-12.3,44.5,2.4,-0.3,-22.3,26.5,-33,9.5,33.9,31.8,34.9,6.9,19.6,-24.4,67.2,-25.4,-2.6,9.8,17.6,-14.6,6.6,11.4,30.6,-26.2,3.7,5,-0.5,-5.1,7.9,18.7,25.6,12.4,8.1,15.9,12.4,-0.4,8.7,8,10,4.9,19.8,24,31.3,15.8,8.2,-7.2,-6.6,-22.9,-9.2,11.1,26.7,6.7,12.5,7.1,5.8,-11.7,-12.3
"21","13","Change in private inventories of new and used autos","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Used","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Domestic output of new autos \1\","B148RL1",NA,37,-38.1,100.5,18.6,-44.1,48.1,44.1,4,151.4,52.1,-51.2,96.5,57.8,60.2,-23.4,-24.7,-40.7,-48,-10.1,-36,24.7,-59.1,774.1,9.4,16.9,25.4,-29.4,-36.6,21.2,0.3,41.2,195.9,29.2,6,-30.9,-55.3,-5.5,-58.7,153.1,39.6,-16.5,27.8,-58.3,-48.3,-56.3,42.5,76.3,115.8,19.3,8.7,-76.3,644.4,-41.1,25.4,-41.5,-73.9,165.7,27.5,65.8,5.7,1.4,54.2,3.4,10.4,1.4,17.4,19.5,-2.1,4,1.4,-41.2,305.4,-11,-11.6,10.4,26.8,-30.7,-21.5,22.9
"26","17","  Sales of imported new autos \2\","B149RL1",NA,0,0,0,1113535.4,210.5,2.7,-24,-5.6,-32.5,-30.6,-77.7,5.2,535.1,47.7,-32.3,56.3,-53.9,412,167.1,-18.2,0,161,66.6,86.3,-50.4,-67.4,3.5,0,48.5,-3.1,140.3,103,21.8,144.6,104.9,-10.4,161.2,-18.3,85.4,101.3,89.2,209.7,63.3,29.1,165.2,95,116,54.3,35.7,4.4,7.3,-27.3,-41,-24.6,-36.3,-37.1,0.7,-0.5,-29,4.9,-34.5,-9,46.2,41.2,30.2,-22.1,5.4,116.1,19.9,18.1,14.6,21.9,45.8,57.2,102.1,85.3,-33.2,75.6,96.6
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
