"","Table 2#5#6# Real Personal Consumption Expenditures by Type of E","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"89","82","    Railway (s.)","BIRRRX1",0.8,0.8,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7
"90","83","    Bus (s.)","BIBURX1",1.5,1.7,1.7,1.9,2,2.1,2.2,2.5,2.4,2.3,2.4,2.3,2.2,2.1,2,1.8,1.7,1.6
"91","84","    Airline (s.)","BIAIRX1",24.8,23.9,23.4,23.7,26.1,27.2,30.3,31.7,33.3,34.9,36.7,34,34.2,36.8,39.9,40.7,39.8,40.3
"92","85","    Other (s.) \21\","BTRORX1",5.3,5.4,6.2,6.3,6.9,7.4,7.9,7.8,8,8.3,7.8,7.2,7.9,8.6,9.2,9.3,9.2,9.3
"93","86","Recreation","A539RX1",276.5,280.9,296.6,322.9,350.9,383.6,415,447.8,488.7,540.9,585.7,612.2,647.9,689,743.7,791.4,854.1,917
"94","87","  Books and maps (d.)","BBKSRX1",19.2,18.9,19.3,20.7,22.7,24.5,25.6,27.2,28.2,31.4,33.7,34.2,35.6,37.4,39,40.5,42.9,44.8
"95","88","  Magazines, newspapers, and sheet music (n.d.)","BMAGRX1",29.3,28.2,27,28,29.7,30.8,31.7,33.2,33.4,34.1,35,34.3,33.8,34.3,36.1,37.7,40,42.3
"96","89","  Nondurable toys and sport supplies (n.d.)","BTOYRX1",28.3,29.6,30.8,32.6,35,37.4,39.1,41,45.6,51.6,56.6,60,65.3,70.7,76.8,84.7,93.8,102.5
"97","90","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","AWHGRX1",30.4,29.4,29.5,32.5,35,37.9,40.4,43.1,46.9,52,57.6,59.7,63.1,68.3,75,80,87.1,94.2
"98","91","  Video and audio goods, including musical instruments, and computer goods (d.)","BRADRX1",18.6,20.3,22.5,27.1,32.8,39.6,48.9,60.5,76.9,97,116.6,132.3,155.6,179.2,211.9,250.6,301.8,350
"99","92","    Video and audio goods, including musical instruments (d.)","BVAMRX1",32.2,32.1,33.7,37,41.9,45.9,48.8,50.8,56.5,64.4,72.8,77.5,84.5,91.5,104.5,119.4,142.1,163
"100","93","    Computers, peripherals, and software (d.) \22\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","94","  Radio and television repair (s.)","BRTVRX1",4,3.6,3.5,3.6,3.6,3.8,3.8,3.9,4,4.1,4.2,4,4,4,4.4,4.4,4.6,4.9
"102","95","  Flowers, seeds, and potted plants (n.d.)","BFLORX1",11.5,11.1,11.7,12.6,13.3,13.5,15,16.2,16.7,17.9,18,17.5,17.4,17.4,17.3,18.2,19,19
"103","96","  Admissions to specified spectator amusements","A481RX1",21.7,21.6,22.3,24.5,25.2,26.2,27.8,28.7,29.5,30.2,30.4,30.9,32.1,32.1,32.2,31.4,32.6,33.1
"104","97","    Motion picture theaters (s.)","BMOVRX1",7.4,7.1,6.7,6.7,6.8,7,7.2,7.6,8.2,8.4,8.6,8.7,9,8.8,8.5,7.6,7.6,7.5
"105","98","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics) (s.)","BLEGRX1",7.5,7.4,8.1,9.4,9.7,10,10.1,10.6,10.4,10.5,10.3,10.5,10.9,10.6,10.8,11,11.6,12
"106","99","    Spectator sports (s.) \23\","BSPERX1",6.8,7.1,7.5,8.4,8.7,9.2,10.4,10.5,10.9,11.2,11.5,11.7,12.2,12.7,12.9,12.8,13.4,13.5
"107","100","  Clubs and fraternal organizations (s.) \24\","BCLURX1",17.9,19.6,20.8,20.9,20.5,20,19.1,17.8,18.1,18.6,19,19.3,20,21.4,21,21.4,22.9,22.9
"108","101","  Commercial participant amusements (s.) \25\","ACOMRX1",33.2,33.6,38,43.3,49.5,55.7,60.2,64.5,67.3,71.4,75.8,77.2,79.6,84.4,91,94,97.3,99
"109","102","  Pari-mutuel net receipts (s.)","BPARRX1",4.6,4.4,4.1,4,4.1,4.2,4.2,4.3,4.6,5,5,4.9,5.1,4.9,5.2,5.5,5.1,5.2
"110","103","  Other (s.) \26\","AREORX1",89.3,89,95.4,99.3,102.1,109.4,113.6,116.5,121.4,128.5,133.9,138.6,140.3,144.2,151.2,154.3,158.4,170.3
"111","104","Education and research","A482RX1",125.6,127.1,130.5,132.6,134.8,138.5,142.7,145.7,151.9,157.3,163.8,170,173.5,176,173.9,175.4,177.8,182.2
"112","105","  Higher education (s.) \27\","BHEDRX1",69.6,71,72.8,73.6,74.5,76,77.3,77.8,80.5,83.3,86.4,90.6,93.2,96.2,95.3,96.1,96.7,98.3
"113","106","  Nursery, elementary, and secondary schools (s.) \28\","BEEDRX1",29,29.1,29.7,30.3,30.9,31.9,32.5,32.6,33.3,34.1,34.6,35,35.7,36.4,36.8,37.4,37.9,38.8
"114","107","  Other (s.) \29\","BOEDRX1",26.8,26.9,27.9,28.5,29.2,30.4,32.8,35.2,38.1,39.9,42.8,44.4,44.7,43.4,41.9,41.9,43.2,45.1
"115","108","Religious and welfare activities (s.) \30\","BRAWRX1",121.2,122.8,131.3,133.4,140.7,142.4,149.9,149.4,157.8,162.1,172.3,181.2,189,189.5,194.4,193.1,198.7,202.1
"116","109","Foreign travel and other, net","A540RX1",-13.1,-21.5,-27.8,-27.7,-25.2,-30.5,-33.1,-28.6,-17.7,-17.7,-13,-7.4,-8,-6.5,-7.9,-10.7,-8,-15.9
"117","110","  Foreign travel by U.S. residents (s.) \31\","BFTRRX1",53.3,48.9,51.4,54.4,57.7,57.5,59.9,65.5,73.7,76.1,84.4,79.7,74.5,72.1,77.8,78.8,81.9,80.7
"118","111","  Expenditures abroad by U.S. residents (n.d.)","AABDRX1",3.6,3.3,2.3,2.5,2.5,2.3,2.4,3.7,4.1,4.1,4.6,4.9,5.2,5.3,5.1,5,5.1,5.3
"119","112","  Less: Expenditures in the United States by nonresidents (s.) \32\","BEXFRX1",68.8,72.4,79.7,82.8,83.8,88.9,94.2,96.7,94.3,96.5,100.7,90.5,86.2,82.1,88.9,92.3,92.6,99.2
"120","113","  Less: Personal remittances in kind to nonresidents (n.d.)","BREMRX1",1.2,1.3,1.8,1.7,1.6,1.4,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.7,1.9,2.1,2.4,2.7
"121","114","Residual","A964RX1",-129.7,-128.4,-122.8,-107,-91.8,-77.6,-58.6,-40.1,-21.2,-5.4,0.2,0,-9.9,-25.2,-47.4,-77.6,-122.2,-167.4
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1. Consists of purchases (including tips) of meals and beverages from retail, service, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","amusement establishments, hotels, dining and buffet cars, schools, school fraternities,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","institutions, clubs, and industrial lunchrooms.  Includes meals and beverages consumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","both on- and off-premise.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2. Includes luggage.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","3. Consists of watch, clock, and jewelry repairs, costume and dress suit rental, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","miscellaneous personal services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","lighting fixtures, kitchen cabinets, linoleum, storm windows and doors, window screens,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","and screen doors, but excludes rent for appliances and furniture and purchases of fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","and electricity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","5. Consists of space rent (see footnote 4) and rent for appliances, furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","6. Consists of transient hotels, motels, other traveler accommodations, clubs, schools, and other group housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","7. Consists of refrigerators and freezers, cooking ranges, dishwashers, laundry equipment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","stoves, room air conditioners, sewing machines, vacuum cleaners, and other appliances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","8. Includes such house furnishings as floor coverings, picture frames, mirrors, art products,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","portable lamps, clocks, blinds, shades, drapery hardware, and telephone equipment.  Also",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","includes writing equipment and hand, power, and garden tools.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","9. Consists largely of textile house furnishings, including piece goods allocated to house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","furnishing use. Also includes lamp shades, brooms, and brushes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","10. Consists of repair and maintenance services for appliances and house furnishings, moving and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","warehouse expenses, postage and parcel delivery charges, premiums plus premium supplements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","less normal losses and dividends paid to policyholders for insurance on personal property (except",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
