"","Table 5#6#6BU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"64","53","        Miscellaneous durable goods wholesalers","KC42190",1372,2075,26,1580,-2114,-640,998,1246,935,-1723,-927,983,-2548,-120
"65","54","      Nondurable goods industries","KC42WN0",8759,5409,4687,5078,6168,867,-901,1181,3357,4578,4485,-3347,-2132,6934
"66","55","        Paper and paper products wholesalers","KC42210",763,26,-201,262,-671,-379,-27,493,310,-322,63,-149,-660,103
"67","56","        Drugs and druggists' sundries wholesalers","KC42220",1939,1262,3826,5127,7840,1502,138,-347,-2150,752,-463,-15,39,471
"68","57","        Apparel, piece goods, and notions wholesalers","KC42230",1415,282,-658,116,-29,221,-978,51,619,1359,582,851,-3610,2757
"69","58","        Grocery and related products wholesalers","KC42240",1068,-225,1359,-101,-1797,1437,-1302,-257,1576,1776,1078,730,-1874,1656
"70","59","        Farm product raw material wholesalers","KC42250",1142,1256,1090,405,154,-1193,1734,-1498,2137,1941,1070,-3506,2538,1167
"71","60","        Chemical and allied products wholesalers","KC42260",385,664,342,-375,426,448,-404,-196,-3,-407,725,-218,-1226,456
"72","61","        Petroleum amd petroleum products wholesalers","KC42270",122,1857,-2787,-690,3216,-1105,-679,1299,-38,-697,-152,-128,4003,-243
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",410,200,322,139,-276,463,147,295,396,664,764,1040,-951,740
"74","63","        Miscellaneous nondurable goods wholesalers","KC42290",1007,897,-353,-369,-1278,-913,-147,1850,510,-536,649,-15,-1754,155
"75","64","    Nonmerchant wholesale industries","KC42N0",2994,2329,3097,4650,-5039,-718,-441,2046,3800,-1374,-1289,382,-9529,9696
"76","65","      Durable goods industries","KC42ND0",1876,1878,1668,3134,-3504,633,-95,991,2398,-1092,-252,1635,-9919,5504
"77","66","      Nondurable goods industries","KC42NN0",930,42,1405,1296,-1274,-1648,-373,1066,1402,-298,-985,-1068,-82,4319
"78","67","Retail trade industries","KC440",14200,15156,25833,20649,-10649,23717,17317,23671,4618,10760,4228,-25189,-31373,10256
"79","68","  Motor vehicle and parts dealers","KC4410",5144,1941,12336,11734,-8920,17173,12921,7627,-2788,-367,2839,-11947,-13021,5779
"80","69","  Furniture, furnishings, electronics, and appliance stores","KC44230",549,1073,1491,1742,-316,1760,1823,3264,1258,1086,1248,-3290,-2789,1644
"81","70","  Building material and garden equipment and supplies dealers","KC4440",1468,2190,2204,1292,17,1643,1122,2412,2258,-26,-711,-3240,-4638,425
"82","71","  Food and beverage stores","KC4450",403,1102,1762,-638,453,173,-1279,406,-104,910,1012,-301,-586,-187
"83","72","  Clothing and clothing accessories stores","KC4480",957,1344,1483,3063,-1153,1850,501,2442,1470,3321,-1059,-2106,-4207,-197
"84","73","  General merchandise stores","KC4520",151,381,2812,1078,162,1466,1011,4525,2210,1639,-197,-2992,-3040,2579
"85","74","    Department stores","KC45210",247,-990,650,-644,-1924,-1528,-1662,717,49,-182,-418,-3271,-2905,135
"86","75","    Other general merchandise stores","KC45290",-106,1439,2208,1767,2143,3057,2712,3819,2161,1816,215,210,-207,2381
"87","76","  Other retail stores","KC44X0",5671,7565,3282,1551,-361,-1254,837,2874,314,4103,1263,-1792,-3385,626
"88","77","Other industries","KCOTH0",5654,5792,7540,12739,-227,-1036,1593,6328,2295,4648,4306,5217,-6887,1739
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
