"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"21","13","Services \2\","A341RG3",16.695,16.939,17.253,17.496,17.815,18.069,18.325,18.582,18.938,19.223,19.494,19.703,20.098,20.282,20.491,20.752,21.001,21.321,21.671,22.075,22.513,23.039,23.633,24.234,24.768,25.208,25.681,26.218,26.65,27.015,27.449,27.961,28.511,29.043,29.529,30.098,30.608,31.15,31.666,32.296,32.801,33.568,34.405,35.29,36.143,37.056,37.956,39.167,40.219,41.007,41.756,42.672,43.42,44.107,44.922,45.752,46.349,46.783,47.496,47.936,48.811,49.503,50.115,50.562,51.311,51.703,52.079,52.573,53.093,53.528,53.968,54.52,55.026,55.449,56.032,56.507,57.144,57.795,58.421,58.972,59.805,60.393,60.881,61.441,62.278,63.113,63.829,64.618,65.294,65.795,66.483,67.097,67.819,68.394,68.855,69.347,69.828,70.375,70.825,71.198,71.702,72.188,72.658,73.157,73.781,74.259,74.674,75.234,75.781,76.167,76.743,77.36,77.95,78.407,78.836,79.366,79.742,80.124,80.539,80.964,81.522,82.024,82.544,83.146,84.1,84.507,85.238,85.962,86.844,87.369,87.644,88.132,88.784,89.475,90.11,90.917,92.001,92.58,93.236,93.879,94.87,95.726,96.602,97.362,98.579,99.431,100.384,101.606,102.48,103.427,104.25,104.909,106.324,107.195,107.97,109.021,110.302,111.596,112.523,112.184,111.957,111.967,112.542,113.354,114.226,114.825,115.256,115.798,116.593,117.455,118.116,118.46,119.316,119.798,120.217,120.75
"22","14","Structures","A755RG3",15.066,15.339,15.479,15.763,15.896,16.415,16.356,16.611,16.983,17.334,17.649,17.95,18.233,18.383,18.679,19.158,19.465,19.922,20.506,20.955,21.563,22.42,23.427,24.282,24.923,25.289,25.486,25.812,25.956,26.48,26.811,27.195,27.869,28.452,29.182,29.866,30.572,31.415,32.179,32.99,33.757,34.849,35.967,36.834,37.67,38.544,39.495,40.636,41.941,43.012,43.938,45.035,45.873,46.463,46.746,46.727,46.423,46.244,46.308,46.452,46.625,47.006,47.354,47.661,47.962,48.087,48.372,48.772,49.169,49.558,50.017,50.485,50.817,51.162,51.577,52.019,52.602,53.066,53.486,54,54.381,55.019,55.348,55.727,56.2,56.55,56.951,57.141,57.408,57.641,57.834,57.499,57.389,57.781,58.108,58.695,59.266,59.788,60.231,60.632,61.232,61.596,62.304,63.146,63.918,64.322,64.792,65.249,65.485,65.766,66.492,66.874,67.332,67.826,68.453,69.149,69.629,70.156,70.816,71.459,72.072,72.774,73.349,74.006,75.063,75.858,76.561,77.337,78.325,79.244,80.385,80.98,81.248,81.877,82.348,83.398,84.858,84.954,85.468,86.729,88.495,90.465,92.75,94.789,96.403,98.403,101.324,103.87,105.814,107.712,108.896,110.869,112.287,112.605,113.252,114.181,114.894,115.501,116.563,117.68,116.98,114.523,112.679,112.819,113.122,113.384,113.968,114.819,115.555,116.812,117.987,118.992,119.417,120.209,120.851,121.41
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",34.848,35.028,35.375,35.338,35.404,35.707,35.955,37.141,38.087,38.436,37.755,36.967,37.599,37.879,38.064,37.162,37.19,37.365,37.67,37.611,38.32,39.103,40.709,42.169,42.07,43.351,44.117,44.905,45.943,46.439,47.212,48.477,48.844,49.415,49.958,51.531,52.338,52.852,53.712,54.465,55.69,57.305,57.849,58.688,60.405,61.732,62.74,63.385,64.16,66.424,67.781,68.045,68.301,69.289,70.483,70.343,71.197,71.745,72.627,73.119,73.851,74.297,75.038,74.999,75.774,76.355,76.957,77.08,76.709,77.623,78.55,79.384,79.453,80.208,81.523,81.45,80.042,80.117,81.682,82.058,82.914,83.788,84.038,84.561,84.853,84.91,85.007,85.431,86.975,87.509,88.283,88.694,88.877,89.895,90.22,90.681,91.907,92.909,94.148,94.951,96.159,97.314,98.651,99.003,99.695,100.232,100.289,100.854,101.894,102.391,102.942,103.453,103.903,103.691,103.822,103.526,102.564,101.84,102.353,102.517,102.737,102.738,102.722,102.876,102.528,103.008,102.727,102.443,101.848,101.599,101.784,101.584,101.265,101.012,100.567,101.045,99.476,98.269,98.417,98.656,98.828,99.417,98.363,99.352,100.347,100.672,99.038,99.943,100.343,99.883,99.425,99.098,98.984,99.21,99.226,98.736,97.413,96.303,95.745,93.909,94.679,96.771,97.969,100.122,100.927,101.703,102.15,102.527,103.241,104.798,106.045,106.051,106.36,106.994,106.938,106.87
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",22.273,22.578,22.91,23.213,23.545,23.888,24.076,24.364,24.719,25.053,25.333,25.569,25.988,26.137,26.381,26.734,27.1,27.568,28.108,28.613,29.206,29.862,30.779,31.723,32.484,32.94,33.556,34.148,34.515,34.878,35.34,35.929,36.549,37.141,37.659,38.27,38.903,39.671,40.36,41.195,41.942,42.954,43.863,44.741,45.71,46.731,47.806,49.181,50.497,51.369,52.309,53.246,54.012,54.678,55.432,56.042,56.516,56.928,57.505,57.921,58.646,59.181,59.661,60.029,60.719,61.024,61.305,61.694,62.033,62.324,62.702,63.146,63.661,64.009,64.491,64.975,65.566,66.221,66.986,67.535,68.241,68.919,69.397,69.835,70.706,71.557,72.242,72.844,73.606,74.122,74.68,75.105,75.539,75.975,76.315,76.75,77.202,77.607,77.948,78.343,78.753,79.111,79.53,79.956,80.431,80.787,81.14,81.555,81.981,82.28,82.686,83.062,83.487,83.88,84.12,84.462,84.625,84.866,85.179,85.406,85.776,86.152,86.467,86.83,87.53,87.976,88.525,89,89.655,90.31,90.604,90.874,91.224,91.649,92.081,92.617,93.346,93.668,94.198,94.703,95.532,96.355,97.122,97.825,98.729,99.401,100.517,101.352,102.114,103.059,103.876,104.376,105.609,106.345,106.697,107.228,107.959,108.668,109.528,109.709,109.973,109.718,109.839,110.154,110.559,111.004,111.57,112.166,112.713,113.41,114.227,114.334,114.909,115.346,116.128,116.308
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16521.767,15116.85,14045.854,13264.596,13200.724,12850.359,12165.588,11369.825,10773.484,10002.339,9337.987,8924.638,8898.386,8870.63,8687.06,8345.763,8131.861,7975.027,7776.868,7660.718,7064.582,6618.417,6199.862,5930.291,5592.985,5331.322,5087.059,4911.062,4692.237,4485.171,4313.089,4112.845,3837.523,3721.564,3763.871,3720.811,3433.25,3255.992,3133.671,3142.298,3104.255,3000.522,2954.05,2921.332,2922.085,2799.746,2755.037,2634.997,2472.887,2427.475,2426.809,2376.693,2321.285,2247.188,2091.791,2026.586,1977.098,1854.355,1736.737,1660.285,1585.557,1508.714,1439.572,1379.803,1347.7,1323.353,1287.047,1205.114,1130.567,1077.613,990.483,917.387,835.168,758.401,706.008,649.175,589.722,551.297,513.764,486.424,441.965,405.991,359.233,331.824,304.711,290.535,275.17,260.883,247.879,237.461,228.021,221.653,199.682,191.327,181.365,172.366,162.58,155.911,148.368,141.091,135.834,131.286,126.214,124.775,122.688,122.494,119.1,113.32,107.493,102.136,97.63,92.741,89.608,85.159,81.505,78.674,76.467,73.228,68.967,65.917,63.578,60.797,59.1,56.912,54.897,52.712,49.747,49.359,48.169,47.601,46.468,45.778,44.144,43.573,41.978,41.033,41.101,40.47,39.428,38.153
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.139,37.877,38.553,39.356,40.083,41.07,41.939,42.794,43.754,44.762,45.815,47.135,48.385,49.258,50.179,51.08,51.817,52.474,53.221,53.797,54.302,54.737,55.338,55.768,56.503,57.048,57.55,57.916,58.616,58.95,59.258,59.655,60.006,60.329,60.707,61.158,61.695,62.079,62.599,63.05,63.571,64.214,64.994,65.531,66.223,66.92,67.39,67.849,68.724,69.542,70.193,70.791,71.57,72.096,72.693,73.129,73.563,74.047,74.423,74.879,75.375,75.82,76.21,76.638,77.079,77.467,77.925,78.385,78.906,79.299,79.706,80.184,80.705,81.092,81.564,82.019,82.533,82.972,83.278,83.652,83.87,84.162,84.598,84.899,85.346,85.758,86.118,86.527,87.241,87.732,88.295,88.774,89.494,90.163,90.499,90.798,91.176,91.614,92.055,92.628,93.311,93.608,94.155,94.662,95.486,96.306,97.035,97.784,98.73,99.426,100.484,101.359,102.137,103.075,103.885,104.385,105.603,106.355,106.735,107.267,107.963,108.656,109.507,109.671,109.974,109.787,109.965,110.328,110.757,111.218,111.795,112.396,112.968,113.701,114.556,114.672,115.245,115.699,116.477,116.668
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",22.507,22.809,23.143,23.433,23.759,24.102,24.293,24.6,24.97,25.303,25.557,25.763,26.187,26.338,26.576,26.887,27.245,27.699,28.231,28.727,29.318,29.968,30.894,31.853,32.578,33.054,33.668,34.269,34.663,35.03,35.5,36.111,36.724,37.309,37.838,38.484,39.115,39.869,40.557,41.382,42.149,43.18,44.071,44.943,45.928,46.951,48.03,49.384,50.625,51.529,52.483,53.415,54.183,54.861,55.622,56.214,56.683,57.101,57.69,58.097,58.817,59.345,59.839,60.208,60.913,61.235,61.533,61.911,62.231,62.553,62.955,63.403,63.951,64.309,64.819,65.295,65.833,66.473,67.275,67.812,68.522,69.209,69.678,70.122,70.979,71.813,72.482,73.096,73.871,74.392,74.945,75.369,75.803,76.255,76.595,77.033,77.516,77.935,78.303,78.713,79.144,79.532,79.988,80.409,80.888,81.251,81.601,82.031,82.488,82.795,83.2,83.584,84.028,84.408,84.655,84.981,85.127,85.346,85.673,85.899,86.267,86.638,86.946,87.306,87.977,88.432,88.956,89.411,90.024,90.657,90.947,91.2,91.524,91.93,92.338,92.874,93.532,93.801,94.319,94.817,95.624,96.44,97.148,97.859,98.769,99.434,100.466,101.304,102.054,102.956,103.732,104.203,105.394,106.119,106.462,106.959,107.649,108.314,109.176,109.183,109.478,109.294,109.471,109.839,110.239,110.677,111.234,111.81,112.367,113.107,113.944,114.052,114.624,115.061,115.845,116.014
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
