"","Table 6#12D# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"31","24","  Health care and social assistance","N1822C0",64199,66057,69993,79897,84782,82751,91347,91332,96246,98231,107183,102070,110554,113950
"32","25","Arts, entertainment, recreation, accommodation, and food services","N1823C0",27722,29318,29068,28687,30674,31902,35111,37350,37790,34741,26836,25034,30845,28604
"33","26","  Arts, entertainment, and recreation","N1824C0",12383,13356,13856,14156,15713,16506,18280,18902,18451,18252,16274,15879,18387,18012
"34","27","  Accommodation and food services","N1825C0",15339,15962,15212,14531,14961,15396,16831,18448,19339,16489,10562,9155,12458,10592
"35","28","Other services, except government","N1826C0",74982,83289,90683,70832,84540,79447,81919,95981,100184,99659,88959,91886,101756,104290
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
