"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","Gross private domestic investment","B006RA3",4.667,3.113,1.956,0.59,0.869,1.57,2.906,3.726,4.653,3.076,3.956,5.51,6.729,3.555,2.099,2.594,3.424,8.778,8.433,10.775,8.226,11.615,11.649,10.534,11.029,10.517,13.072,12.894,12.333,11.312,13.603,13.6,13.512,15.227,16.249,17.589,20.058,21.825,20.827,22.039,23.323
"34","27","  Fixed investment","B007RA3",6.258,4.796,3.326,1.934,1.709,2.21,2.864,3.814,4.472,3.543,4.252,5.108,5.828,3.289,2.539,3.118,4.268,7.872,9.469,10.428,9.533,11.385,10.906,10.701,11.448,11.627,13.141,13.191,13.048,12.113,13.804,13.922,13.879,15.133,16.306,17.882,19.708,20.838,20.453,21.881,23.242
"35","28","    Nonresidential","B008RA3",5.425,4.471,2.929,1.754,1.581,2.014,2.552,3.451,4.134,3.031,3.383,4.187,4.93,2.902,2.425,3.221,4.525,6.673,7.765,8.172,7.422,8.104,8.479,8.315,9.062,8.868,9.851,10.413,10.571,9.41,10.159,10.737,10.67,11.602,12.247,13.701,16.088,18.1,17.856,18.654,20.07
"36","29","      Structures","B009RA3",33.695,28.836,18.557,11.365,8.816,9.94,11.028,14.477,18.358,14.689,15.5,17.596,20.899,12.917,9.387,12.292,16.574,32.74,29.776,31.334,30.294,32.461,34.946,34.809,37.902,39.201,42.011,46.421,46.396,43.866,44.917,48.488,49.151,51.393,51.986,57.399,66.553,71.109,69.313,70.299,74.096
"37","30","      Equipment and software","B010RA3",2.244,1.779,1.187,0.695,0.712,0.984,1.341,1.84,2.139,1.489,1.718,2.227,2.611,1.498,1.345,1.799,2.576,3.213,4.367,4.596,4.029,4.447,4.576,4.445,4.848,4.576,5.203,5.341,5.48,4.68,5.237,5.459,5.354,5.974,6.476,7.303,8.641,10.024,9.958,10.578,11.513
"38","31","        Information processing equipment and software","A679RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107,0.141,0.145,0.13,0.143,0.158,0.182,0.2,0.18,0.207,0.24,0.272,0.243,0.265,0.325,0.356,0.396,0.47,0.538,0.639,0.842,0.903,0.961,1.168
"39","32","          Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001,0.001,0.002,0.003,0.004,0.005,0.008
"40","33","          Software \4\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.039,0.052,0.072,0.146,0.181,0.232,0.359,0.421,0.473,0.636
"41","34","          Other","A937RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.533,2.028,2.084,1.862,2.061,2.27,2.613,2.877,2.59,2.977,3.446,3.902,3.485,3.793,4.36,4.628,4.937,5.121,5.595,6.328,7.453,7.489,7.685,8.902
"42","35","        Industrial equipment","A680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429,28.803,26.644,20.531,23.716,26.628,27.674,30.478,31.419,31.179,34.426,34.858,29.05,29.49,31.797,30.099,31.645,34.185,38.635,45.549,52.383,52.592,51.549,54.973
"43","36","        Transportation equipment","A681RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.069,15.582,16.217,16.125,17.849,17.145,14.155,16.843,14.749,18.773,16.868,18.026,13.147,17.422,17.947,16.965,20.917,20.248,22.907,28.697,31.56,30.517,36.694,38.16
"44","37","        Other equipment","A862RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.506,18.069,22.054,18.564,19.627,19.722,19.926,19.455,18.316,21.508,22.195,20.965,21.262,22.836,20.968,20.755,22.144,25.742,28.512,31.678,35.621,33.649,34.068,36.37
"45","38","    Residential","B011RA3",9.786,5.949,4.975,2.627,2.146,2.938,4.111,5.205,5.661,5.691,8.062,9.093,9.661,4.887,2.904,2.5,2.94,12.338,15.901,19.026,17.588,24.064,20.145,19.784,20.485,22.183,25.776,23.678,22.23,22.463,28.17,26.165,26.238,28.754,32.142,34.011,33.017,30.063,29.117,33.086,34.063
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RA3",2.906,2.402,1.996,1.564,1.574,1.749,1.845,1.938,2.441,2.414,2.549,2.899,2.973,1.964,1.655,1.778,2.491,5.379,6.133,4.831,4.786,4.19,5.135,4.913,4.584,4.806,5.319,6.197,6.737,5.826,6.427,7.543,7.583,7.965,8.535,9.54,9.807,10.487,10.728,11.572,12.131
"51","44","    Goods","B253RA3",3.119,2.562,2.119,1.643,1.635,1.802,1.889,1.987,2.499,2.538,2.678,3.077,3.156,1.938,1.515,1.626,2.439,5.636,6.482,5.018,4.987,4.309,5.247,4.977,4.64,4.903,5.419,6.354,6.857,5.817,5.777,7.131,7.167,7.486,8.074,9.18,9.228,9.87,9.916,10.701,11.262
"52","45","    Services","B646RA3",1.888,1.643,1.411,1.175,1.263,1.49,1.632,1.699,2.164,1.84,1.946,2.099,2.149,1.9,2.007,2.16,2.425,3.939,4.283,3.738,3.64,3.408,4.307,4.294,4.018,4.071,4.534,5.129,5.767,5.404,8.365,8.5,8.552,9.141,9.605,10.18,11.215,11.986,12.932,13.925,14.442
"53","46","  Imports","B021RA3",2.421,2.106,1.837,1.524,1.588,1.622,2.125,2.101,2.364,1.837,1.93,1.976,2.43,2.206,2.782,2.912,3.096,2.566,2.436,2.843,2.742,3.241,3.369,3.665,4.01,3.812,4.271,4.618,4.812,5.04,5.571,5.645,5.607,6.243,6.411,6.752,7.471,8.581,9.206,10.578,11.181
"54","47","    Goods","B255RA3",2.261,1.906,1.665,1.346,1.512,1.546,2.125,2.047,2.289,1.744,1.899,1.993,2.352,1.631,1.887,1.957,1.951,2.254,2.164,2.479,2.382,2.909,2.852,2.909,3.077,2.842,3.173,3.456,3.556,3.656,4.291,4.221,4.215,4.839,5.035,5.367,6.127,7.093,7.466,9.009,9.502
"55","48","    Services","B656RA3",3.458,3.361,2.921,2.586,2.174,2.213,2.376,2.634,3.044,2.54,2.37,2.231,3.166,5.162,7.298,7.721,8.843,4.225,3.887,4.795,4.679,4.976,6.331,8.257,9.756,9.86,11.131,11.849,12.669,13.754,13.483,14.535,14.287,14.954,14.943,15.328,15.779,17.783,19.957,20.315,21.596
"56","49","Government consumption expenditures and gross investment","B822RA3",6.181,6.812,7.095,6.86,6.633,7.482,7.687,8.971,8.592,9.252,10.067,10.35,17.205,40.483,60.224,67.771,59.168,20.344,17.281,18.542,20.755,20.779,28.386,34.178,36.627,34.132,32.885,32.912,34.379,35.484,36.688,36.751,38.6,40.977,42.032,42.958,44.25,48.149,51.844,53.472,53.347
"57","50","  Federal","B823RA3",2.851,3.158,3.266,3.34,4.13,5.541,5.639,8.514,7.666,8.465,9.077,10.163,26.817,82.37,130.288,148.703,127.726,34.335,25.367,27.378,30.046,28.399,47.155,61.369,66.331,57.637,52.422,51.508,53.343,53.32,54.992,53.496,55.739,60.488,60.526,59.725,59.697,66.303,72.903,73.491,70.969
"58","51","    National defense","B824RA3",2.207,2.368,2.376,2.385,2.311,2.045,2.497,2.973,2.994,3.127,3.444,6.023,32.57,118.968,193.814,221.237,190.581,45.571,30.703,30.979,32.534,32.108,62.009,82.391,87.671,75.095,67.893,67.389,70.237,69.881,68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556
"59","52","      Consumption expenditures","B997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286
"60","53","      Gross investment","B788RA3",0.304,0.551,0.85,0.751,0.999,1.139,1.008,2.498,2.837,2.787,2.878,6.961,56.586,207.112,295.384,300.858,208.072,12.448,6.713,13.043,19.073,15.007,53.312,77.13,86.433,70.427,56.927,54.483,51.642,55.043,65.606,59.129,65.581,67.845,58.568,53.156,46.435,53.651,60.558,53.098,47.039
"61","54","    Nondefense","B825RA3",4.065,4.661,4.974,5.183,7.785,12.621,11.986,19.712,17.132,19.265,20.48,18.747,16.69,13.315,10.481,11.891,9.15,13.158,15.392,21.082,26.152,21.973,18.679,20.945,25.293,24.081,22.706,20.938,20.768,21.42,29.138,26.83,27.642,33.377,36.946,40.157,42.878,43.32,42.913,41.897,43.019
"62","55","      Consumption expenditures","B542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77
"63","56","      Gross investment","B798RA3",2.153,2.934,4.037,5.927,8.889,12.21,16.461,14.318,13.019,13.087,11.644,11.618,18.098,12.63,11.489,6.401,8.733,5.35,10.64,12.965,17.404,19.773,17.73,17.218,15.099,13.626,9.752,12.446,13.891,16.481,16.504,19.461,23.548,27.479,32.323,37.079,42.341,43.528,35.365,30.937,28.082
"64","57","  State and local","B829RA3",10.62,11.69,12.197,11.629,10.421,10.956,11.306,11.371,11.369,12.035,13.229,12.794,11.982,10.867,9.876,9.525,9.855,10.837,12.329,13.112,15.108,16.349,16.475,16.749,17.578,19.115,20.494,21.156,22.408,24.312,25.232,26.338,27.961,28.818,30.552,32.626,34.813,36.998,38.868,41.168,42.557
"65","58","    Consumption expenditures","B991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299
"66","59","    Gross investment","B799RA3",12.683,14.837,15.082,12.363,8.125,9.325,8.772,14.688,12.707,14.801,17.219,14.113,10.338,6.074,3.219,2.647,3.068,5.498,8.446,10.703,14.459,16.406,16.973,17.374,18.883,22.555,24.486,25.074,26.875,29.544,30.41,30.818,33.232,34.418,37.446,40.157,42.992,45.858,48.691,50.888,48.766
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
