"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Less: Income payments to the rest of the world","A655RG3",12.179,12.487,12.815,13.138,13.404,13.632,13.753,13.805,13.836,13.845,13.848,13.879,13.954,14.067,14.24,14.455,14.901,15.042,15.089,14.972,14.852,14.845,14.863,14.889,15.124,15.191,15.215,15.221,15.112,15.08,15.072,15.115,15.242,15.355,15.47,15.606,15.709,15.855,15.99,16.14,16.369,16.472,16.543,16.551,16.441,16.465,16.53,16.629,16.901,17.07,17.15,17.2,17.334,17.331,17.396,17.314,17.273,17.362,17.445,17.511,17.692,17.731,17.783,17.863,17.838,17.84,17.889,18.014,18.069,18.17,18.247,18.352,18.533,18.622,18.743,18.909,19.121,19.314,19.475,19.69,19.77,19.832,20.007,20.252,20.547,20.806,21.078,21.395,21.681,22.016
"12","4","Equals: Gross national product","A001RG3",13.394,13.591,13.82,14.103,14.261,14.419,14.675,14.67,14.628,14.535,14.414,14.411,14.358,14.417,14.709,14.958,15.471,15.561,15.612,15.814,15.83,15.897,16.017,16.073,16.088,16.125,16.18,16.234,16.302,16.327,16.317,16.337,16.402,16.493,16.612,16.723,16.887,17.045,17.238,17.342,17.543,17.665,17.803,17.898,18.049,18.128,18.173,18.194,18.263,18.306,18.365,18.442,18.48,18.558,18.643,18.722,18.746,18.783,18.832,18.881,18.99,19.039,19.09,19.158,19.212,19.231,19.266,19.382,19.451,19.517,19.614,19.704,19.789,19.877,19.964,20.087,20.211,20.402,20.592,20.774,20.876,21.004,21.195,21.428,21.661,21.902,22.114,22.42,22.646,22.948
"13","5","Less: Consumption of fixed capital","A262RG3",16.378,16.945,17.563,17.983,18.172,18.401,18.709,18.852,19,18.934,18.845,18.83,18.732,18.81,19.14,19.713,20.336,20.724,21.004,21.175,21.183,21.254,21.399,21.453,21.528,21.588,21.559,21.554,21.554,21.656,21.68,21.75,21.704,21.777,22.061,22.403,22.86,23.227,23.538,23.835,24.154,24.362,24.523,24.589,24.477,24.547,24.694,24.855,24.991,25.09,25.169,25.184,25.168,25.153,25.136,25.129,25.133,25.131,25.161,25.189,25.253,25.268,25.344,25.432,25.44,25.479,25.492,25.508,25.556,25.601,25.66,25.737,25.836,25.958,26.081,26.206,26.332,26.534,26.699,26.883,27.05,27.241,27.482,27.739,28.037,28.284,28.548,28.875,29.203,29.571
"14","6","        Private","A024RG3",16.388,17.249,17.921,18.415,18.736,18.999,19.215,19.382,19.505,19.585,19.625,19.628,19.591,19.735,20.053,20.535,21.18,21.663,21.998,22.189,22.237,22.298,22.372,22.455,22.551,22.629,22.689,22.732,22.76,22.776,22.78,22.773,22.756,22.861,23.081,23.421,23.861,24.266,24.631,24.962,25.257,25.479,25.626,25.701,25.702,25.754,25.859,26.017,26.23,26.382,26.473,26.502,26.47,26.443,26.421,26.4,26.385,26.381,26.388,26.405,26.434,26.453,26.463,26.462,26.45,26.455,26.478,26.517,26.574,26.64,26.715,26.798,26.889,26.995,27.116,27.25,27.397,27.555,27.723,27.901,28.092,28.306,28.544,28.805,29.086,29.377,29.676,29.984,30.298,30.646
"15","7","        Government","A264RG3",14.953,15.101,15.592,15.864,15.827,15.976,16.412,16.508,16.709,16.379,16.047,15.991,15.756,15.68,16.011,16.764,17.304,17.455,17.594,17.713,17.628,17.72,18.015,17.998,18.021,18.038,17.821,17.713,17.658,17.933,17.998,18.224,18.122,18.124,18.523,18.848,19.316,19.579,19.754,19.958,20.31,20.475,20.659,20.7,20.341,20.448,20.683,20.84,20.796,20.77,20.817,20.802,20.82,20.836,20.83,20.852,20.899,20.901,20.978,21.031,21.164,21.172,21.384,21.659,21.709,21.822,21.812,21.777,21.801,21.799,21.818,21.878,21.99,22.14,22.261,22.358,22.428,22.721,22.869,23.058,23.159,23.284,23.521,23.755,24.082,24.207,24.372,24.734,25.079,25.479
"16","8","          General government","A265RG3",15.484,15.671,16.166,16.438,16.382,16.519,16.952,17.048,17.28,16.924,16.574,16.523,16.28,16.195,16.521,17.315,17.874,18.013,18.152,18.28,18.183,18.283,18.586,18.541,18.583,18.599,18.331,18.226,18.179,18.479,18.541,18.788,18.686,18.676,19.089,19.43,19.91,20.175,20.343,20.56,20.94,21.094,21.288,21.338,20.958,21.062,21.31,21.473,21.448,21.441,21.492,21.477,21.493,21.503,21.496,21.518,21.576,21.578,21.661,21.714,21.86,21.86,22.095,22.394,22.45,22.572,22.558,22.504,22.534,22.525,22.543,22.605,22.716,22.873,22.997,23.096,23.156,23.458,23.611,23.807,23.903,24.033,24.285,24.53,24.863,24.987,25.152,25.516,25.865,26.282
"17","9","          Government enterprises","A266RG3",11.455,10.912,11.519,11.918,12.19,12.597,13.213,13.322,13.14,13.065,12.891,12.764,12.585,12.595,13.043,13.466,13.885,14.19,14.345,14.388,14.418,14.441,14.685,14.979,14.798,14.834,15.155,15.005,14.844,14.876,14.987,15.01,14.886,15.031,15.337,15.544,15.949,16.24,16.525,16.62,16.724,17.028,17.141,17.083,16.898,17.046,17.189,17.308,17.048,16.825,16.843,16.817,16.872,16.938,16.949,16.979,16.919,16.917,16.948,17,17.031,17.114,17.135,17.212,17.208,17.249,17.273,17.417,17.395,17.448,17.477,17.532,17.666,17.761,17.867,17.96,18.119,18.362,18.473,18.625,18.78,18.873,19.007,19.168,19.467,19.611,19.788,20.162,20.505,20.797
"18","10","Equals: Net national product","A027RG3",13.013,13.174,13.365,13.633,13.788,13.937,14.186,14.169,14.11,14.015,13.892,13.89,13.842,13.898,14.184,14.404,14.903,14.967,14.999,15.201,15.218,15.284,15.4,15.456,15.466,15.501,15.562,15.62,15.693,15.712,15.699,15.714,15.788,15.879,15.984,16.074,16.211,16.351,16.532,16.618,16.808,16.92,17.055,17.153,17.326,17.404,17.44,17.448,17.51,17.548,17.605,17.686,17.729,17.814,17.907,17.993,18.018,18.057,18.108,18.159,18.27,18.321,18.369,18.435,18.492,18.51,18.546,18.669,18.739,18.806,18.905,18.995,19.078,19.162,19.245,19.367,19.489,19.677,19.867,20.046,20.142,20.263,20.449,20.677,20.902,21.14,21.345,21.646,21.861,22.155
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",13.031,13.189,13.379,13.647,13.801,13.952,14.203,14.186,14.128,14.032,13.908,13.907,13.857,13.914,14.201,14.422,14.923,14.986,15.018,15.22,15.238,15.304,15.42,15.476,15.486,15.521,15.581,15.639,15.713,15.732,15.718,15.733,15.805,15.896,16.001,16.091,16.229,16.368,16.55,16.636,16.827,16.939,17.074,17.171,17.345,17.423,17.458,17.466,17.528,17.565,17.622,17.703,17.746,17.831,17.924,18.011,18.036,18.074,18.125,18.175,18.286,18.337,18.385,18.45,18.507,18.525,18.56,18.683,18.754,18.821,18.92,19.01,19.092,19.176,19.259,19.38,19.502,19.691,19.881,20.06,20.155,20.277,20.463,20.691,20.915,21.154,21.359,21.661,21.876,22.17
"21","12","  Net domestic purchases","W367RG3",12.737,12.85,13.013,13.279,13.446,13.608,13.865,13.853,13.796,13.711,13.599,13.608,13.581,13.647,13.943,14.178,14.685,14.758,14.783,14.973,14.983,15.039,15.143,15.187,15.187,15.215,15.273,15.333,15.417,15.441,15.433,15.449,15.509,15.596,15.696,15.781,15.913,16.048,16.222,16.304,16.483,16.587,16.713,16.802,16.962,17.033,17.067,17.075,17.142,17.181,17.234,17.313,17.35,17.435,17.526,17.613,17.634,17.658,17.708,17.75,17.848,17.909,17.954,18.021,18.084,18.106,18.149,18.274,18.35,18.42,18.508,18.588,18.652,18.735,18.822,18.955,19.062,19.249,19.42,19.583,19.656,19.775,19.958,20.176,20.393,20.611,20.828,21.123,21.321,21.61
