"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","      Depreciation or amortization of intangible assets \1\","B1210C1",0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.7,2.2,2.6,3.1,3.7,7.1,8.6,10.4,13.3,16.3,18.6,21.2,22.9,24.1,27.7,32,38.5,46.8,56.1,67.2,78.8,84.4,89.7,96.1,104.1,114.7,127.3,136.1,142.2,NA,NA
"12","4","      Other \2\","B1211C1",0.1,0.3,0.1,0.2,0.1,0.3,0.5,0.6,0.8,1.8,2.1,2.4,2.8,3.3,3.9,4.5,5.2,5.9,6.6,7.1,7.9,9.2,10.1,10.9,11.8,12.2,13.3,15.4,17.5,19.3,21.7,23.7,25.8,27.4,27.2,30,28.5,30.6,36.5,40.2,42.3,NA,NA
"13","5","Plus: Normal accidental damage to fixed capital other than repairable damage","B1212C1",0.8,0.8,0.8,1.1,1,1.1,1.2,1,1.2,1.3,1.2,1.4,1.5,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.5,2.7,2.9,3,4.5,3.3,3.5,4,4,4.1,4.4,4.7,5,5.1,5.2,5.4,5.7,5.8,6,6.3,6.5,NA,NA
"14","6","      Depreciation of computer software not in IRS depreciation","B1215C1",0.7,0.9,1.1,1.4,1.7,2.1,2.6,3.1,3.6,3.9,4.6,5.4,6.3,7.6,9.2,11.1,13.3,15.7,18,20.6,23.9,28,32.7,37.5,42.1,46.4,50.7,55.4,62.2,71.8,84.3,99.4,113.9,124.1,130.6,135.6,139.3,143.3,149.8,158.2,166,NA,NA
"15","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1",1.8,1.9,2,2.1,2.1,2.2,2.5,2.9,3.2,3.8,4.7,6,7.8,10,12,13.8,15.6,16.7,17.1,17.4,17.8,18,18,16.9,15.9,14.5,13.3,12.3,12.3,12.1,12.3,12.6,13.4,14.1,14.6,15.7,17.3,19.8,23.7,28.6,32.9,NA,NA
"16","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C1",0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.7,1.9,2.1,2.2,2.3,2.6,3,3.4,3.8,4.1,4.3,4.7,5.1,5.4,5.4,5.3,5.5,5.4,5.4,5.4,5.5,5.5,5.7,5.8,5.8,5.6,5.7,6,6.3,6.2,6.1,5.5,NA,NA
"17","9","      Depreciation of railroad track charged to current expense \4\","B1628C1",0.5,0.6,0.7,0.7,0.7,0.9,0.9,1.3,1.5,1.5,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","      Other \5\","B1214C1",1.3,1.1,0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.5,0.6,0.8,0.8,2.9,2.3,0.9,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.5,1.5,1.7,1.8,1.9,2,2.1,2.2,2.3,NA,NA
"19","11","Equals: Capital consumption allowances, NIPAs","A677RC1",54.1,58.1,62.6,69.5,76,84.4,92.7,100.5,115,130.2,148.5,169.9,212.3,246,273.7,306.9,346.8,350.9,367.5,387.7,402.3,408.7,419,426.7,448.8,486.5,527,563.7,609.8,652.1,705.5,748.6,793.7,865.3,861.1,860.9,709.5,749.5,792.9,961.4,929.1,951.3,1097.3
"20","12","Less: Capital consumption adjustment","A059RC1",9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-180.5,-67.1,-101.3,-75.2,35.4
"21","13","Equals: Consumption of fixed capital, NIPAs","B128RC1",45.1,50,54.8,59.7,66.9,78.8,94.4,104.5,118,134.2,155.1,179.8,208.1,231.4,240.4,252.9,271.7,289.8,306.5,328.8,350.8,373,392.1,402,420.1,444.9,476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,973.4,1028.5,1030.4,1026.5,1061.9
"22",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","14","Depreciation and amortization, IRS","B1218C1",8.8,9.6,10.4,11.7,13.4,15.4,17.3,18.9,21.2,24.6,29.7,34.6,42.8,49.6,59.5,72.6,85,94.1,93.6,99.4,104.7,96.5,94.6,98,102.3,102.4,107.3,116.8,130.5,143.4,163.4,182.7,211.4,232,251.2,263.7,236.3,257.6,276.9,352.9,339.2,349.7,NA
"24","15","Less: Depreciation or amortization of intangible assets \1\","B1219C1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.9,2.7,5.7,6.5,7.7,8.5,9.3,10,10.6,9.4,10.3,11.1,14.1,13.6,14,NA
"25","16","      Adjustment for misreporting on income tax returns","B1220C1",0.5,0.5,0.5,0.6,0.7,0.9,1,1.2,1.5,1.9,2.5,3.1,2.9,5,5.1,6.6,7.5,8.4,8.1,8.6,9.3,8.5,8.6,9,9,9.3,9.2,9.6,10.3,11.2,12.8,14.4,16.2,17.8,19.9,20.5,18.9,20.6,22.8,27.5,26.8,27.4,NA
"26","17","      Other \6\","B2626C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,1,0.9,0.9,0.8,NA
"27","18","Plus: Normal accidental damage to fixed capital other than repairable damage","B1221C1",0.1,0.1,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.8,0.9,0.9,NA
"28","19","      Depreciation of computer software not in IRS depreciation","B1226C1",0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.7,2,2.2,2.4,2.6,2.8,3.1,3.5,4,4.7,5.5,6.3,6.9,7.3,7.6,7.8,8,8.3,8.8,9.2,9.6,NA
"29","20","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.8,2.6,3.2,3.5,3.7,3.7,3.8,3.8,3.8,3.7,3.6,3.7,3.2,2.6,2.2,2.2,2.3,2.7,3,3.2,3.5,3.9,4.4,5.1,6.1,7.4,8.7,10,10.9,11,NA
"30","21","      Depreciation of motor vehicles not in IRS depreciation \3\","B1313C1",0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,NA
"31","22","Equals: Capital consumption allowances, NIPAs","B1314C1",8.9,9.7,10.5,12,13.4,15.1,17,18.4,20.6,23.8,28.5,33.2,42.4,48,58.5,70.7,82.4,90.9,90.8,96.1,100.9,93.6,91.6,94.8,98.4,97.6,102.2,110.8,123.4,133.1,151.8,169.2,196.7,215.8,233.1,245.5,222,242.1,260.2,330.4,319.5,329.4,375.5
"32","23","Less: Capital consumption adjustment","A2205C1",-0.3,-0.4,-0.7,-0.1,0,-0.2,-0.5,-0.2,0.2,0.7,1.9,2.5,6.6,7.7,16.7,26.8,35.4,40.5,37.1,38.1,39.1,29.5,26.3,29.4,31.3,28.1,29.3,34.9,44.1,49.1,62,72.8,94.9,109.2,121.3,127.2,94.3,103.7,100.5,167.7,156.6,167.7,210
"33","24","Equals: Consumption of fixed capital, NIPAs","B1617C1",9.3,10.1,11.1,12.1,13.4,15.4,17.5,18.7,20.5,23.1,26.7,30.8,35.8,40.4,41.9,43.8,46.9,50.3,53.7,58,61.8,64.1,65.2,65.4,67,69.5,72.9,75.9,79.3,84,89.8,96.4,101.8,106.7,111.8,118.3,127.7,138.3,159.7,162.8,162.9,161.7,165.5
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","animals; motion picture films; rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists of depreciation of employees' motor vehicles reimbursed by business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","depreciation of business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","5. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","credit agencies, credit unions, and nonprofit institutions serving business; depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","interest paid by public utilities for own-account investment prior to 1987 (beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1987, included in line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","6. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
