"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"21","13","Services \2\","A341RA3",35.431,35.941,36.126,36.442,36.503,36.568,36.831,36.985,37.25,37.453,37.635,38.075,38.529,38.853,39.122,39.455,39.781,40.102,40.281,40.459,40.615,40.914,41.105,41.542,41.994,42.581,42.531,42.955,43.22,43.442,43.807,44.273,44.681,44.942,45.414,45.709,46.283,46.836,47.132,47.407,47.828,48.031,47.961,48.392,48.623,48.715,49.088,49.439,49.565,50.02,50.075,50.12,50.341,50.465,50.923,51.623,52.272,52.755,53.417,53.296,53.556,54.18,54.66,55.204,56.12,56.688,57.637,58.184,58.66,59.318,59.885,60.349,60.867,61.278,61.558,62.224,62.906,63.364,63.985,64.718,64.957,65.426,65.922,66.554,66.967,67.654,68.029,68.151,68.331,68.922,69.036,69.327,70.138,70.51,71.275,71.845,72.017,72.244,72.827,73.171,73.577,74.021,74.673,74.835,75.077,75.66,76.27,76.332,76.876,77.602,77.686,78.514,78.77,79.46,80.09,80.739,81.206,82.292,82.879,83.65,84.311,85.037,86.032,87.076,87.673,88.868,89.151,89.875,90.498,90.987,91.347,91.813,92.656,93.334,93.763,94.155,94.29,95.173,95.59,96.04,96.835,97.254,97.84,98.531,99.179,99.674,100.486,100.661,101.448,101.95,102.415,103.29,103.608,104.067,104.802,105.39,105.689,105.745,105.495,105.312,105.085,105.564,105.753,106.107,106.122,106.651,106.972,107.338,107.482,107.876,108.009,107.744,107.899,108.215,108.676,108.347
"22","14","Structures","A755RA3",52.308,52.07,52.241,49.731,49.39,47.835,49.397,50.825,51.686,53.798,54.661,55.639,57.53,57.544,57.558,59.2,60.873,59.574,58.841,57.513,55.601,54.88,52.557,49.206,47.961,46.625,48.35,50.002,53.114,52.468,51.493,53.926,55.066,58.967,58.718,58.19,58.066,63.261,65.477,66.319,64.095,64.653,65.861,65.743,64.368,58.271,58.103,60.713,60.975,60.044,58.389,58.797,56.293,54.662,53.023,53.884,55.519,56.64,59.962,61.499,64.045,66.235,67.219,67.68,68.908,69.791,69.772,70.525,71.678,70.782,70.556,70.135,70.039,70.49,71.525,72.338,70.232,71.517,70.875,71.268,71.121,69.99,70.631,70.191,71.769,70.152,68.381,66.03,63.677,63.753,63.452,64.088,65.77,66.255,65.764,66.972,66.459,67.32,68.588,70.635,69.711,72.362,72.548,72.44,72.296,71.826,72.769,73.243,74.537,77.133,77.814,79.488,80.311,80.177,80.929,80.666,80.886,84.286,86.457,87.261,87.666,87.55,87.977,89.518,90.815,91.119,91.612,91.806,91.482,93.619,92.397,90.428,90.399,89.761,89.048,89.647,89.728,91.358,94.373,95.252,95.389,97.778,97.981,97.753,99.081,100.218,100.141,100.56,100.775,100.145,97.601,94.939,93.613,94.332,93.215,90.573,87.725,87.757,85.882,81.873,75.96,71.923,70.607,67.407,64.523,67.288,65.322,65.1,62.058,63.421,64.282,65.413,66.584,66.857,67.495,68.353
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",31.5,28.836,31.611,29.094,25.489,28.08,26.71,17.572,32.239,30.33,30.947,32.423,34.667,34.609,32.049,38.761,43.361,40.519,39.281,37.869,34.277,33.092,36.992,33.274,27.081,29.676,34.183,33.705,38.702,40.45,39.455,40.738,45.668,44.92,45.743,45.571,43.683,48.166,46.702,49.6,50.52,44.386,40.98,38.132,35.677,28.83,30.857,36.668,36.089,37.557,35.801,32.535,30.563,35.076,35.382,31.294,36.213,38.574,44.923,50.465,51.559,49.085,49.818,55.473,53.597,55.836,59.341,57.722,55.227,56.569,57.903,56.442,56.244,55.41,54.993,57.11,56.078,60.449,57.622,61.23,64.032,60.142,58.585,56.734,55.512,56.347,56.557,49.217,44.943,48.644,52.121,49.566,50.501,54.22,55.008,58.418,58.095,58.999,57.236,63.283,67.431,64.753,66.294,68.283,67.289,65.51,64.769,68.91,62.272,70.459,70.726,67.734,70.474,70.147,74.887,78.363,76.917,76.8,77.133,87.22,84.931,85.476,88.201,89.969,91.325,87.847,83.589,80.672,77.343,83.19,81.915,85.767,89.684,91.027,94.165,91.082,88.607,93.309,93.466,94.444,95.186,93.716,98.085,97.783,98.115,99.667,105.077,97.14,100.471,98.498,99.465,96.827,99.215,100.286,99.782,95.909,92.328,85.801,79.572,64.017,51.785,54.915,66.966,69.752,73.911,77.866,80.709,77.963,84.472,84.902,85.21,89.922,96.182,97.893,95.704,96.052
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",33.666,33.911,33.987,33.952,34.083,34.014,34.402,34.5,34.709,35.02,35.281,35.308,35.854,36.747,37.242,37.556,38.348,38.95,38.79,39.241,39.044,39.201,38.622,38.633,38.423,38.609,39.079,39.63,40.339,40.576,40.829,41.081,41.353,42.251,43.006,43.004,43.245,44.819,45.346,45.842,45.881,46.207,46.708,46.97,47.237,46.545,46.364,46.988,48.024,47.563,48.24,47.763,47.041,47.106,46.905,47.12,47.51,48.511,49.226,50.044,51.009,52.036,52.53,52.732,53.333,53.707,54.433,54.936,55.594,55.769,56.273,56.62,56.956,57.623,58.162,59.106,59.467,60.078,60.52,61.209,61.691,62.335,62.914,63.133,63.867,64.096,64.086,63.802,63.656,63.949,64.086,64.449,65.141,65.704,66.372,66.956,67.096,67.504,67.944,68.622,69.142,70.239,70.644,71.375,71.599,71.835,72.494,72.843,73.645,74.614,75.278,76.26,76.752,77.948,78.763,79.245,80.085,80.839,81.934,82.992,83.857,84.517,85.526,87.055,87.239,89.153,89.4,90.064,89.885,90.265,90.056,90.234,90.885,91.336,91.699,91.846,92.334,92.972,94.552,95.402,96.026,96.718,97.31,98.145,99.181,99.584,100.217,101.019,102.223,102.719,102.701,103.508,103.574,104.5,105.303,105.886,105.515,106.074,105.257,103.248,102.205,102.034,102.043,102.989,103.466,103.928,104.524,105.244,105.061,105.709,106.045,106.991,107.326,107.616,108.535,108.484
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,0.095,0.113,0.13,0.141,0.15,0.17,0.197,0.212,0.247,0.294,0.318,0.346,0.353,0.386,0.447,0.472,0.45,0.461,0.472,0.561,0.641,0.735,0.777,0.871,0.982,1.126,1.25,1.257,1.365,1.314,1.419,1.509,1.602,1.547,1.628,1.78,1.891,2.028,2.061,2.176,2.294,2.381,2.489,2.401,2.692,2.723,2.703,2.83,2.758,2.734,2.859,2.863,2.973,3.199,3.515,3.522,3.892,4.146,4.283,4.64,4.674,5.089,5.34,5.643,5.769,6.082,6.741,7.829,8.804,9.719,11.354,12.919,14.077,15.585,16.995,19.327,21.715,24.567,25.494,27.871,30.674,34.222,37.511,41.88,46.174,49.509,49.012,54.969,60.669,62.422,65.582,71.509,68.981,65.728,68.969,68.356,68.448,72.403,74.494,76.596,76.1,86.08,89.214,83.588,83.227,84.249,89.868,91.292,97.833,101.757,109.118,117.059,122.731,126.308,132.408,132.349,135.546,151.247,164.312,167.237,178.566,177.293,177.797,192.307,185.194,163.569,145.615,146.095,134.553,144.916,166.103,182.974,191.92,205.511,219.91,222.335,210.355,224.403,244.3
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.91,47.669,48.095,48.696,48.757,48.786,49.101,49.188,49.321,48.252,48.098,48.965,49.957,49.548,50.119,49.427,48.587,48.874,48.673,48.701,49.235,50.287,51.218,52.256,53.217,54.077,54.526,54.91,55.434,55.858,56.764,57.153,57.67,57.867,58.451,58.705,58.979,59.575,60.054,61.082,61.366,62.128,62.427,63.239,63.863,64.269,64.777,64.925,65.582,65.861,65.865,65.256,64.935,65.354,65.589,65.793,66.52,67.173,67.834,68.535,68.614,69.052,69.368,70.264,70.92,71.885,72.318,73.06,73.138,73.21,73.757,74.156,74.565,75.798,76.378,77.146,77.632,78.689,79.571,80.151,80.832,81.476,82.461,83.819,84.472,85.047,86.071,87.642,87.763,89.395,89.443,89.933,89.552,90.182,89.973,90.25,91.032,91.516,91.942,91.952,92.319,93.111,94.569,95.406,96.085,96.711,97.427,98.187,99.195,99.596,100.367,100.842,102.079,102.466,102.462,103.132,103.272,104.191,104.891,105.286,104.806,105.113,104.137,101.728,100.316,100.26,100.686,101.737,102.325,102.926,103.564,104.126,104.105,104.726,105.03,106.061,106.574,106.934,107.728,107.648
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.576,45.921,46.351,46.839,46.888,46.929,47.026,46.967,46.992,45.543,45.074,46.167,47.216,46.809,47.393,46.853,46.118,46.3,46.491,46.536,47.073,48.377,49.554,50.691,51.911,52.854,53.35,53.801,54.191,54.87,55.73,56.187,56.549,56.926,57.548,57.691,57.902,58.456,58.843,59.801,59.797,60.307,60.648,61.476,61.896,62.09,62.495,62.651,63.263,63.439,63.389,62.564,62.137,62.426,62.676,62.872,63.482,64.205,64.779,65.575,65.767,66.224,66.632,67.564,68.284,69.241,69.6,70.357,70.491,70.514,70.722,71.081,71.669,72.887,73.655,74.065,74.745,75.717,76.687,77.439,78.346,79.271,80.391,81.661,82.566,83.311,84.455,85.993,86.463,88.105,88.332,88.878,88.485,89.012,88.976,89.311,90.128,90.761,91.298,91.621,91.879,92.818,94.141,94.979,95.712,96.664,97.457,98.317,99.193,99.533,100.33,100.944,101.997,102.351,102.488,102.663,102.807,103.585,103.875,103.674,103.097,102.885,101.801,99.652,97.751,97.066,97.557,98.469,99.222,100.183,101.047,101.301,101.284,101.688,101.964,103.088,103.536,103.815,104.535,104.454
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
