"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","Less: Income payments to the rest of the world","A655RX1",3.8,3.7,3.6,4.2,4,4,4.7,4.2,4.8,4.7,4.8,4.9,5.1,5.2,5.3,5.4,5.8,5.8,5.7,5.7,5.5,5.9,5.9,6.2,6.1,6,6.2,6.5,6.3,6.3,6.2,6.2,6.4,6.9,7.1,7,7.1,6.9,7.2,7.3,7.3,7.2,7.4,7.5,7.6,7.1,7.5,7.8,8.2,8.5,9,9.6,10.6,10.3,10.2,9.8,10,10,10.4,10.7,10.2,10.4,10.4,10.6,10.7,11.3,11.8,12.1,12.3,12.6,12.6,13.3,13.4,13.7,14.1,14.5,14.7,14.9,15.9,16.3,16.4,16.3,16.2,17,18,19.2,19.6,19.9,21.9,24.5
"12","4","Equals: Gross national product","A001RX1",1780.4,1778.1,1776.6,1804,1833.4,1867.6,1877.6,1880.5,1854,1847,1867.2,1848.8,1923.8,1982.6,2061.8,2097.8,2123.6,2160.8,2204.1,2208.7,2229.9,2232.4,2247,2320.5,2363.4,2382,2366.1,2328.9,2318.8,2321.7,2347.9,2396.4,2465.3,2505.5,2539,2553.4,2543.7,2563.4,2560.6,2599.9,2618.7,2613.8,2637.9,2606.3,2536.6,2552.4,2611.2,2671.5,2725.1,2793.6,2791.5,2802.2,2864,2851.1,2856.5,2821.2,2839,2890.6,2937.5,2997.3,3050.5,3086,3114.6,3125.4,3164.7,3203.2,3263.5,3288.9,3364.4,3401.6,3448.3,3455.9,3543.6,3592.2,3662.4,3747.6,3839.9,3852.6,3877.2,3909.5,3943.4,3943.5,3977.4,4006.7,4089.4,4158.9,4188.1,4205.9,4271.7,4283
"13","5","Less: Consumption of fixed capital","A262RX1",156.3,155.1,154.4,153.9,153.8,153.7,153.7,153.6,154,154.3,154.6,155,155.5,156.3,157.3,158.5,159.9,161.6,163.3,165.1,167.1,169.2,171.3,173.6,176,178.4,180.4,182.5,184.7,186.6,188.5,190.3,192.1,193.9,195.6,197.3,199.1,200.9,202.7,204.2,205.7,207.4,209.3,211.4,213.7,215.6,217.2,218.4,219.4,220.4,221.2,222.3,223.3,224.4,225.7,227.3,228.8,230.6,232.2,234.1,236.1,238.1,240.3,242.6,245,247.4,249.9,252.5,254.9,257.5,260.3,263.4,266.6,270.1,273.7,277.4,281.5,285.5,289.5,293.4,297.4,301.2,305.1,308.8,312.5,316.2,320.1,323.9,327.8,331.6
"14","6","        Private","A024RX1",89.1,90.9,92.7,94.5,96.3,98,99.7,101.2,102.6,104,105.4,106.7,108.1,109.5,110.9,112.4,113.8,115.1,116.3,117.3,118.2,119.1,120.2,121.4,122.7,123.9,125.2,126.4,127.5,128.8,130,131.3,132.7,134.1,135.6,137,138.5,139.9,141.3,142.5,143.7,145.1,146.7,148.4,150.4,152,153.3,154.1,154.5,155,155.4,155.8,156.2,156.8,157.6,158.6,159.8,160.9,162.1,163.3,164.5,165.8,167.3,168.9,170.6,172.4,174.2,176,177.8,179.8,182,184.5,187.2,190,193.1,196.2,199.5,202.8,205.9,209,212,215,218,220.9,223.7,226.7,229.8,233,236.3,239.7
"15","7","        Government","A264RX1",73.8,70.4,67.5,64.9,62.7,60.5,58.6,56.7,55.5,54.2,52.9,51.5,50.4,49.7,49.1,48.7,48.7,49,49.6,50.5,51.8,53.1,54.3,55.6,56.8,58.1,59,60,61.2,61.9,62.6,63.1,63.5,63.8,64.2,64.4,64.6,65,65.4,65.7,66,66.3,66.6,66.9,67.1,67.4,67.8,68.1,68.9,69.5,70,70.7,71.4,72,72.5,73.2,73.6,74.2,74.7,75.5,76.4,77,77.9,78.6,79.3,80,80.7,81.6,82.2,82.8,83.4,84,84.4,85,85.6,86.1,86.9,87.6,88.4,89.3,90.2,91.1,92,92.9,93.7,94.5,95.2,95.8,96.3,96.7
"16","8","          General government","A265RX1",68.6,65.3,62.5,59.9,57.8,55.6,53.8,51.9,50.7,49.4,48.1,46.8,45.7,44.9,44.3,43.9,43.9,44.1,44.7,45.5,46.7,47.9,49,50.2,51.4,52.6,53.4,54.4,55.4,56.1,56.7,57.2,57.5,57.8,58.1,58.2,58.4,58.7,59.1,59.3,59.5,59.8,60,60.3,60.5,60.7,61,61.3,61.9,62.4,62.8,63.5,64,64.5,65,65.6,65.9,66.4,66.8,67.5,68.3,68.8,69.6,70.2,70.9,71.4,72.1,72.8,73.3,73.8,74.3,74.8,75.1,75.6,76.1,76.5,77.1,77.7,78.5,79.2,80,80.7,81.6,82.3,83,83.6,84.2,84.6,85,85.3
"17","9","          Government enterprises","A266RX1",3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.9,3.9,4,4.1,4.1,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.9,5,5,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.6,5.6,5.7,5.7,5.8,5.9,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.5,7.6,7.7,7.9,7.9,8,8.2,8.3,8.4,8.5,8.6,8.7,8.8,9,9.1,9.2,9.3,9.4,9.6,9.7,9.9,10,10.1,10.3,10.4,10.6
"18","10","Equals: Net national product","A027RX1",1635.6,1634.9,1634.2,1663.2,1693.7,1729.2,1739.6,1742.6,1714.7,1707,1727.6,1708,1785.1,1845,1925.8,1961.6,1986.4,2022.7,2065.5,2067.7,2087,2086.6,2099,2172.2,2213.4,2229.5,2210.1,2168.5,2155,2155.4,2179.9,2227.9,2297.1,2336.5,2368.8,2381.5,2368.8,2386.8,2381.4,2420.2,2437.7,2430.2,2452.6,2416.6,2340.7,2354.4,2413.4,2474.7,2529.1,2599.1,2595.7,2605.4,2668.4,2653.3,2657.1,2618.2,2634.5,2685.8,2732.2,2791.8,2844.4,2878.6,2905.1,2913.3,2950.8,2987.4,3046.7,3069.5,3144.6,3179.7,3224.3,3228,3314.6,3360.4,3428.2,3511.6,3601.7,3609.5,3629.6,3657.9,3687.7,3682.6,3712.6,3737.9,3818.7,3885.7,3910.8,3924.1,3987.2,3993.7
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",1764.8,1749.1,1749.1,1770,1816.7,1864.5,1867.7,1875.3,1838.2,1827.2,1840.3,1816.5,1887.2,1962.3,2044.2,2085.3,2094.8,2120.7,2156.7,2174.1,2192.2,2203,2218.2,2285.6,2327.1,2344.5,2331.5,2279.8,2285.5,2289.5,2309.9,2360.3,2423.4,2477.9,2507,2527.1,2529.6,2554.1,2551.4,2596.2,2600.8,2599.3,2611.5,2585.5,2528.7,2532.4,2578.3,2641.5,2704.8,2784.7,2760.7,2779.8,2843.8,2837.8,2834.6,2818.4,2823.3,2871.8,2914.6,2980.5,3023.1,3054.4,3082.5,3112.4,3144.3,3192.1,3232.8,3263.9,3319.4,3365.1,3413.4,3443.6,3520.8,3566,3616.5,3695.1,3774.9,3798,3821.9,3853,3872.1,3892.8,3933.5,3972.5,4032.7,4093.2,4144.7,4169.9,4211.1,4238.5
"21","12","  Gross national income \2\","A023RX1",1774.5,1759.2,1759.1,1780.6,1828.4,1876.7,1880,1887.6,1850.1,1838.6,1851.4,1826.5,1898,1973.6,2057.6,2098.6,2107.6,2135.7,2172.3,2190.5,2207.7,2218.8,2233.6,2300.8,2342.1,2360.3,2345.8,2294,2300.7,2304.8,2325.3,2377.5,2440.9,2495.3,2524.4,2545,2549.5,2573.7,2571.3,2614.1,2621.5,2621.6,2632.8,2602.8,2546.3,2550.2,2595.7,2658.7,2721.9,2801.8,2778.9,2799.3,2862.5,2856.9,2854.6,2839.4,2845.4,2893,2936.2,3002.4,3045,3078.2,3106.6,3139.9,3170.6,3217.5,3258.7,3290.6,3348.5,3393.1,3442.1,3470.5,3551.2,3597.3,3645.7,3721.7,3802.4,3825.8,3849,3881.3,3900.1,3920,3963.3,4001.7,4062.5,4123.6,4176,4201.1,4242.4,4268.7
"22","13","  Net domestic product","A362RX1",1625.9,1624.7,1624.1,1652.4,1681.9,1716.8,1727.1,1730.2,1702.8,1695.4,1716.4,1697.8,1774.2,1833.5,1912.2,1948,1973.4,2007.5,2049.6,2050.9,2071.2,2070.7,2083.3,2156.8,2198.3,2213.5,2195.7,2154,2139.5,2140,2164.3,2210.4,2279.2,2318.9,2351,2363.3,2348.7,2366.9,2361,2402.2,2416.6,2407.6,2431,2399.2,2322.9,2336.3,2395.9,2457.3,2511.8,2581.8,2577.1,2585.7,2649.4,2634,2637,2596.9,2612.1,2664.4,2710.4,2769.5,2822.2,2854.3,2880.6,2885.2,2924,2961.5,3020.3,3042.4,3115.1,3151.3,3195,3200.7,3283.7,3328.5,3398.5,3484.4,3573.6,3581.4,3602.1,3629.1,3659.3,3655,3682.2,3708.4,3788.4,3854.8,3879,3892.5,3955.5,3963.1
"23","14","  Net domestic income \3\","W256RX1",1619.8,1605.3,1606,1628.4,1676.6,1726.2,1729.6,1737.6,1698.7,1686.8,1700,1674.8,1747.7,1824.3,1907.8,1948.9,1956.8,1981.4,2016.5,2032,2048.1,2056.5,2069.4,2136.3,2176.2,2191,2174.7,2117.9,2120.8,2122.5,2140.8,2190.8,2253.9,2308.2,2335.9,2354.6,2354.7,2377.7,2372.2,2417,2419.6,2415.6,2425.6,2395.4,2332.9,2334.1,2379.7,2443.9,2508.5,2590.3,2564,2582.6,2647.9,2639.9,2635,2615.8,2618.8,2666.8,2709.1,2774.9,2816.5,2846.3,2872.3,2900.2,2930.1,2976.4,3015.4,3044.1,3098.6,3142.4,3188.6,3215.9,3291.6,3333.8,3381.2,3457.7,3535,3553.5,3572.9,3599.9,3614.5,3630.7,3667.6,3703.1,3760.6,3818.3,3866.5,3887.5,3925,3948.3
"24","15","  Net domestic purchases","W367RX1",1578.1,1579.7,1579.3,1628.2,1672,1722,1733.6,1739.3,1696.7,1689.2,1717.2,1713,1794.2,1857.4,1953.1,1982.7,2004,2025.3,2056.6,2056.7,2081.5,2094.2,2121.5,2204.6,2245.9,2266.1,2243.5,2199.1,2182.9,2178.5,2200.5,2243.6,2315.6,2364.5,2392,2408,2392.4,2402.1,2392.8,2423.2,2437.8,2434,2459.6,2431.8,2369,2387,2445.7,2515,2565.9,2639.3,2631.6,2640.7,2694.1,2669.8,2672.9,2622.6,2638.6,2695.8,2751.9,2810.8,2869.2,2890,2928.2,2938.2,2970.8,2993.8,3067.1,3080.7,3144.1,3181.3,3231.5,3235.8,3336.4,3367,3451.3,3533.3,3632.9,3636.3,3676.1,3699.1,3728.9,3724.9,3760.7,3791.9,3879.8,3946.8,3971.4,3986.4,4057.6,4059.9
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
