"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"36","18","    Federal","A918RC1","25,776.0","27,578.0","28,998.0","30,080.0","31,735.0","34,677.0","37,785.0","40,629.0","43,728.0","47,458.0","51,755.0","57,892.0","65,277.0","72,668.0","78,962.0","86,403.0","93,349.0","100,314.0","107,542.0","116,303.0","124,161.0","131,148.0","137,904.0","141,426.0","145,284.0","148,309.0","151,917.0","152,402.0","153,028.0","153,577.0","156,799.0","161,488.0","163,296.0","165,031.0","170,315.0","178,622.0","189,362.0","200,705.0","212,801.0","226,347.0","234,542.0","245,325.0","257,409.0","264,335.0","267,708.0","270,724.0","272,694.0"
"37","19","    State and local","A919RC1","9,654.0","10,947.0","12,232.0","13,326.0","14,856.0","18,333.0","20,961.0","22,068.0","23,482.0","25,491.0","28,647.0","33,140.0","37,839.0","41,256.0","42,798.0","44,414.0","46,893.0","50,277.0","54,103.0","57,783.0","61,866.0","66,698.0","70,867.0","74,140.0","78,347.0","82,938.0","88,285.0","92,583.0","96,856.0","101,753.0","108,148.0","116,178.0","122,988.0","129,022.0","134,536.0","143,778.0","157,296.0","170,305.0","186,575.0","200,154.0","208,187.0","212,733.0","222,170.0","231,896.0","238,502.0","246,074.0","249,443.0"
"38","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","234,705.0","233,568.0","255,648.0","284,795.0","341,432.0","356,660.0","361,490.0","419,956.0","478,857.0","571,317.0","658,589.0","674,561.0","781,951.0","734,680.0","773,628.0","923,194.0","935,216.0","944,554.0","992,725.0","1,079,634.0","1,177,780.0","1,208,922.0","1,246,315.0","1,263,556.0","1,320,184.0","1,435,955.0","1,520,108.0","1,637,901.0","1,795,846.0","1,872,223.0","1,966,061.0","2,020,286.0","1,953,505.0","1,917,803.0","1,977,510.0","2,138,121.0","2,303,062.0","2,430,839.0","2,517,824.0","2,367,809.0","2,143,242.0","2,306,704.0","2,396,246.0","2,657,978.0","2,861,535.0","3,054,729.0","....."
"39","21","Gross domestic investment","W170RC1","233,101.0","229,843.0","255,336.0","288,836.0","332,570.0","350,689.0","341,650.0","412,862.0","489,770.0","583,944.0","659,756.0","666,050.0","778,575.0","737,980.0","808,681.0","1,013,271.0","1,049,521.0","1,087,228.0","1,146,818.0","1,195,359.0","1,270,132.0","1,283,820.0","1,238,436.0","1,309,131.0","1,398,715.0","1,550,654.0","1,625,158.0","1,752,008.0","1,925,138.0","2,076,731.0","2,252,661.0","2,424,004.0","2,342,272.0","2,368,560.0","2,493,203.0","2,765,139.0","3,040,750.0","3,232,996.0","3,235,951.0","3,059,436.0","2,525,145.0","2,752,629.0","2,877,761.0","3,126,140.0","3,257,301.0","3,455,859.0","3,629,965.0"
"40","22","  Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,511,703.0","2,665,023.0","2,860,019.0","3,017,783.0"
"41","23","    Domestic business","W987RC1","135,083.0","132,550.0","148,158.0","167,951.0","200,252.0","212,812.0","193,101.0","240,263.0","287,904.0","351,841.0","409,301.0","413,223.0","513,871.0","470,773.0","484,827.0","641,702.0","644,380.0","634,065.0","656,636.0","687,931.0","748,647.0","753,578.0","713,669.0","747,722.0","815,811.0","930,509.0","999,244.0","1,078,031.0","1,215,056.0","1,300,037.0","1,410,232.0","1,530,645.0","1,393,767.0","1,344,864.0","1,374,083.0","1,510,741.0","1,662,126.0","1,820,555.0","1,907,615.0","1,844,374.0","1,409,970.0","1,648,437.0","1,787,982.0","2,006,381.0","2,106,673.0","2,263,777.0","2,368,085.0"
"42","24","    Households and institutions","W988RC1","38,477.0","37,500.0","48,669.0","60,194.0","66,678.0","61,715.0","64,152.0","82,959.0","108,708.0","126,536.0","130,355.0","116,875.0","117,359.0","110,258.0","152,689.0","178,391.0","185,269.0","215,079.0","235,541.0","249,033.0","251,054.0","239,875.0","230,675.0","265,292.0","291,018.0","325,974.0","318,234.0","354,026.0","380,550.0","435,293.0","473,963.0","503,105.0","534,871.0","580,124.0","653,864.0","765,937.0","864,983.0","860,094.0","736,130.0","580,436.0","468,146.0","452,375.0","451,897.0","505,323.0","558,350.0","596,243.0","649,698.0"
"43","25","  Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","614,436.0","592,278.0","595,840.0","612,182.0"
"44","26","    Federal","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","284,692.0","269,362.0","264,577.0","264,261.0"
"45","27","    State and local","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","340,492.0","329,745.0","322,916.0","331,263.0","347,921.0"
"46","28","Capital account transactions (net) \1\","W167RC1","2.0","5.0","16.0","30.0","37.0","36.0","57.0","51.0","64.0","87.0","108.0","128.0","122.0","113.0","101.0","98.0","143.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,126.0","-2,788.0","-12,854.0","2,066.0","-91.0","-5,410.0","564.0","683.0","1,636.0","-6,496.0","839.0","456.0","....."
"47","29","  Private","W999RC1","3,463.0","3,810.0","4,470.0","5,668.0","7,927.0","9,872.0","4,696.0","7,680.0","8,978.0","5,882.0","8,149.0","10,392.0","12,341.0","11,382.0","10,978.0","9,748.0","7,069.0","9,369.0","6,847.0","6,929.0","8,287.0","10,806.0","9,600.0","8,251.0","11,645.0","13,973.0","21,182.0","21,882.0","30,004.0","30,818.0","29,284.0","27,647.0","15,531.0","18,063.0","2,464.0","-4,666.0","-30,846.0","20,042.0","-4,011.0","-53,198.0","-121,431.0","-58,509.0","-46,725.0","-24,471.0","6,962.0","5,453.0","....."
"48","30","    Domestic business","W989RC1","-409.0","-111.0","-78.0","135.0","2,648.0","5,014.0","-259.0","1,784.0","898.0","42.0","2,141.0","3,301.0","4,842.0","3,146.0","4,664.0","3,565.0","681.0","2,241.0","-485.0","-770.0","1,306.0","-655.0","-592.0","6,834.0","-618.0","3,050.0","7,078.0","3,417.0","7,861.0","4,318.0","-401.0","-1,178.0","-6,993.0","-2,667.0","-2,197.0","2,697.0","135.0","13,583.0","348.0","-49,867.0","-83,350.0","-29,444.0","-40,910.0","-11,546.0","-4,727.0","4,513.0","....."
"49","31","    Households and institutions","W990RC1","3,872.0","3,921.0","4,548.0","5,533.0","5,279.0","4,858.0","4,955.0","5,896.0","8,080.0","5,840.0","6,008.0","7,091.0","7,499.0","8,236.0","6,314.0","6,183.0","6,388.0","7,128.0","7,332.0","7,699.0","6,981.0","11,461.0","10,192.0","1,417.0","12,263.0","10,923.0","14,104.0","18,465.0","22,143.0","26,500.0","29,685.0","28,825.0","22,524.0","20,730.0","4,661.0","-7,363.0","-30,981.0","6,459.0","-4,359.0","-3,331.0","-38,081.0","-29,065.0","-5,815.0","-12,926.0","11,689.0","939.0","....."
"50","32","  Government","W991RC1","-3,461.0","-3,805.0","-4,453.0","-5,638.0","-7,889.0","-9,836.0","-4,639.0","-7,628.0","-8,914.0","-5,795.0","-8,041.0","-10,264.0","-12,219.0","-11,269.0","-10,877.0","-9,650.0","-6,926.0","-9,258.0","-6,710.0","-6,795.0","-7,939.0","-3,433.0","-4,301.0","-9,528.0","-10,769.0","-12,703.0","-20,753.0","-21,674.0","-29,528.0","-30,587.0","-24,815.0","-27,305.0","-28,471.0","-17,563.0","-338.0","1,879.0","17,992.0","-17,976.0","3,922.0","47,787.0","121,997.0","59,192.0","48,361.0","17,975.0","-6,123.0","-4,996.0","....."
"51","33","    Federal","W992RC1","2,401.0","1,309.0","922.0","-24.0","-2,300.0","-2,542.0","4,391.0","2,647.0","2,615.0","6,133.0","6,180.0","6,157.0","3,319.0","3,463.0","4,860.0","7,856.0","11,990.0","10,086.0","11,453.0","11,955.0","10,576.0","15,827.0","15,656.0","11,521.0","11,555.0","11,013.0","5,023.0","6,146.0","-151.0","-2,258.0","6,582.0","8,294.0","13,132.0","24,127.0","40,189.0","38,507.0","58,342.0","28,799.0","49,614.0","97,215.0","177,411.0","125,348.0","112,966.0","82,996.0","55,684.0","56,077.0","....."
