"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"60","40","Less: Netting and grossing differences","L319341","8,602.0","9,422.0","10,104.0","10,985.0","12,032.0","13,094.0","14,344.0","15,816.0","17,416.0","19,324.0","21,452.0"
"61","41","  Current expenditures of government enterprises \8\","W723RC1","5,015.0","5,430.0","5,802.0","6,106.0","6,538.0","7,051.0","7,551.0","8,092.0","8,719.0","9,560.0","10,510.0"
"62","42","  Government sales included in Census total revenue \9\","L319161","3,332.0","3,714.0","4,012.0","4,586.0","5,193.0","5,729.0","6,455.0","7,373.0","8,326.0","9,363.0","10,533.0"
"63","43","  Insurance claims included in Census total revenue","W724RC1","262.0","285.0","304.0","306.0","316.0","330.0","354.0","370.0","395.0","428.0","440.0"
"64","44","  Employer contributions to own social insurance funds","L319381","-7.0","-7.0","-14.0","-13.0","-15.0","-16.0","-16.0","-19.0","-24.0","-27.0","-31.0"
"65","45","Less: Statistical differences, expenditure \10\","LA0000321","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"66","46","Plus: Timing and other differences \11\","L319391","-821.0","-1,029.0","-1,192.0","-536.0","-1,423.0","-18.0","235.0","303.0","-649.0","1,657.0","243.0"
"67","47","Equals: State and local government current expenditures, NIPAs","L319401","37,071.0","39,846.0","43,520.0","46,951.0","49,730.0","54,114.0","58,781.0","65,043.0","72,526.0","82,519.0","93,955.0"
"68",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","48","Census total revenue less Census total expenditures (1-26)","L319411","-4,600.0","-723.0","-2,492.0","-1,055.0","-443.0","877.0","1,155.0","2,713.0","603.0","1,347.0","553.0"
"70","49","Plus: Net investment (34)","L319301","10,246.0","9,826.0","10,543.0","10,805.0","11,245.0","12,172.0","13,171.0","14,347.0","15,670.0","16,411.0","18,000.0"
"71","50","Less: Net capital transfers received (10)","L319101","2,665.0","3,006.0","2,786.0","3,041.0","3,321.0","4,016.0","4,467.0","4,498.0","4,537.0","5,518.0","6,550.0"
"72","51","Less: State and local employee retirement plans (3-28)","L319441","3,882.0","4,123.0","4,734.0","4,926.0","5,164.0","5,649.0","5,907.0","6,881.0","7,427.0","8,490.0","10,244.0"
"73","52","Less: Other coverage differences (8+9+11+12+13+14+15-33-35-36-37-38-39)","L319451","-2,292.0","-946.0","-1,807.0","-1,114.0","-602.0","-915.0","-664.0","-16.0","170.0","-1,413.0","-896.0"
"74","53","Less: Timing and other differences (21+46-22-45)","L319461","-395.0","289.0","59.0","201.0","-695.0","209.0","668.0","464.0","-7.0","-203.0","-607.0"
"75","54","Equals: State and local government net saving, national income and product accounts (25-47)","L319471","1,786.0","2,631.0","2,279.0","2,696.0","3,614.0","4,090.0","3,948.0","5,233.0","4,146.0","5,366.0","3,262.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","on behalf of households, which are the effective owners. Pensions plans are classified as financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","corporations that receive contributions and property income on behalf of plan participants but do not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","have saving or net worth of their own. Table 7.24 shows the transactions of the state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Consists of employee and employer contributions, except general government employer contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","to own retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","6. Consists of Census Bureau data on revenue received from the federal government, less NIPA federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","grants, federal capital grants, federal subsidies, and research and development sales to the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","7. Consists of estate and gift taxes, federal investment grants, and disaster-related insurance benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","8. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","9. Consists of current-account sales by general government that are classified as revenues in Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Bureau data and as reductions to current expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","10. Statistical differences result from updates to the Census Bureau state and local government finance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","estimates that have not yet been incorporated into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","11. Includes timing differences that arise from restating the Census Bureau data to a year ending June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","30. Census Bureau measures of state and local government revenue and expenditures (lines 1 and 26) primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","represent a fiscal year ending June 30, but some governments use other fiscal years. The NIPA measures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","shown in this table are for the fiscal year ending June 30, and are consistent with the not seasonally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","adjusted estimates in table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","12. Net investment is gross investment less consumption of fixed capital for government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","and general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
