"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Net private saving","W202RC1","7,601.0","4,506.0","1,184.0","-3,234.0","-3,105.0","103.0","3,242.0","5,084.0","5,785.0","2,786.0","5,309.0","8,319.0","16,902.0","36,979.0","45,016.0","49,779.0","40,341.0","23,140.0","17,597.0","29,153.0","25,266.0","29,306.0","36,017.0","39,549.0","40,361.0","40,738.0","45,860.0","51,069.0","52,901.0","52,226.0","56,364.0","56,355.0","63,526.0","71,285.0","74,585.0","86,199.0","96,299.0","102,927.0","111,680.0","110,669.0","109,233.0"
"22","4","    Domestic business","A127RC1","3,663.0","1,188.0","-1,613.0","-3,119.0","-2,734.0","-794.0","223.0","298.0","890.0","814.0","1,385.0","3,022.0","3,652.0","5,120.0","6,380.0","7,406.0","5,163.0","3,565.0","6,575.0","11,936.0","11,617.0","9,296.0","10,069.0","11,706.0","11,121.0","12,554.0","17,649.0","16,373.0","15,975.0","13,327.0","19,217.0","18,532.0","19,154.0","24,921.0","27,901.0","31,359.0","38,019.0","41,571.0","39,457.0","38,584.0","34,200.0"
"23","5","      Undistributed corporate profits","B057RC1","3,741.0","-1,751.0","-4,002.0","-4,275.0","-727.0","-96.0","576.0","1,175.0","1,467.0","409.0","2,571.0","3,786.0","6,721.0","6,807.0","7,326.0","7,220.0","5,104.0","10,885.0","15,047.0","17,045.0","12,601.0","17,018.0","14,251.0","13,323.0","13,976.0","13,887.0","18,922.0","19,352.0","18,029.0","14,500.0","19,657.0","17,705.0","17,113.0","20,082.0","21,809.0","25,097.0","31,840.0","35,833.0","33,195.0","34,743.0","32,436.0"
"24","6","      Inventory valuation adjustment, corporate","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"25","7","      Capital consumption adjustment, corporate","A059RC1","-550.0","-321.0","-25.0","109.0","136.0","-73.0","-126.0","-139.0","-546.0","-558.0","-472.0","-564.0","-598.0","-483.0","-173.0","473.0","623.0","-2,057.0","-2,573.0","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"26","8","    Households and institutions","W986RC1","3,938.0","3,318.0","2,797.0","-115.0","-371.0","897.0","3,019.0","4,786.0","4,895.0","1,972.0","3,924.0","5,297.0","13,250.0","31,859.0","38,636.0","42,373.0","35,178.0","19,575.0","11,022.0","17,217.0","13,649.0","20,010.0","25,948.0","27,843.0","29,240.0","28,184.0","28,211.0","34,696.0","36,926.0","38,899.0","37,147.0","37,823.0","44,372.0","46,364.0","46,684.0","54,840.0","58,280.0","61,356.0","72,223.0","72,085.0","75,033.0"
"27","9","      Personal saving","A071RC1","3,938.0","3,318.0","2,797.0","-115.0","-371.0","897.0","3,019.0","4,786.0","4,895.0","1,972.0","3,924.0","5,297.0","13,250.0","31,859.0","38,636.0","42,373.0","35,178.0","19,575.0","11,022.0","17,217.0","13,649.0","20,010.0","25,948.0","27,843.0","29,240.0","28,184.0","28,211.0","34,696.0","36,926.0","38,899.0","37,147.0","37,823.0","44,372.0","46,364.0","46,684.0","54,840.0","58,280.0","61,356.0","72,223.0","72,085.0","75,033.0"
"28","10","  Net government saving","A922RC1","2,130.0","1,126.0","-1,579.0","-1,103.0","-947.0","-1,485.0","-1,301.0","-1,522.0","1,593.0","-88.0","-834.0","606.0","2,181.0","-10,269.0","-16,006.0","-28,320.0","-30,975.0","-7,380.0","2,453.0","974.0","-8,041.0","2,156.0","6,006.0","-260.0","-1,860.0","-5,969.0","1,632.0","4,374.0","29.0","-10,893.0","-1,700.0","2,756.0","-2,463.0","-1,931.0","1,598.0","-2,556.0","-1,387.0","-1,781.0","-14,765.0","-9,476.0","-1,002.0"
"29","11","    Federal","A923RC1","802.0","-14.0","-2,341.0","-1,582.0","-1,164.0","-2,564.0","-2,279.0","-3,605.0","-179.0","-1,750.0","-2,543.0","-1,009.0","627.0","-11,401.0","-17,060.0","-29,454.0","-32,068.0","-8,166.0","2,383.0","919.0","-8,527.0","1,842.0","4,460.0","-2,127.0","-4,163.0","-7,999.0","-566.0","1,399.0","-2,619.0","-12,034.0","-3,883.0","186.0","-4,705.0","-5,342.0","-2,119.0","-6,862.0","-5,469.0","-6,956.0","-19,491.0","-13,737.0","-5,108.0"
"30","12","    State and local","A924RC1","1,328.0","1,140.0","762.0","479.0","217.0","1,079.0","978.0","2,083.0","1,772.0","1,662.0","1,709.0","1,615.0","1,554.0","1,132.0","1,054.0","1,134.0","1,093.0","786.0","70.0","55.0","486.0","314.0","1,546.0","1,867.0","2,303.0","2,030.0","2,198.0","2,975.0","2,648.0","1,141.0","2,183.0","2,570.0","2,242.0","3,411.0","3,717.0","4,306.0","4,082.0","5,175.0","4,726.0","4,261.0","4,106.0"
"31","13","Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"32","14","  Private","A024RC1","9,410.0","9,219.0","8,551.0","7,464.0","7,040.0","7,287.0","7,325.0","7,508.0","8,369.0","8,580.0","8,593.0","8,974.0","9,950.0","11,245.0","11,538.0","12,040.0","12,508.0","14,248.0","17,735.0","20,822.0","22,591.0","24,332.0","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"33","15","    Domestic business","W276RC1","8,107.0","7,929.0","7,374.0","6,500.0","6,101.0","6,248.0","6,290.0","6,420.0","7,156.0","7,326.0","7,321.0","7,640.0","8,471.0","9,639.0","9,806.0","10,161.0","10,493.0","11,948.0","14,764.0","17,397.0","18,933.0","20,358.0","23,178.0","24,585.0","26,070.0","27,368.0","28,931.0","32,160.0","35,193.0","37,532.0","39,029.0","40,034.0","41,286.0","42,946.0","44,870.0","47,393.0","50,904.0","55,637.0","60,881.0","66,962.0","74,198.0"
"34","16","    Households and institutions","W279RC1","1,303.0","1,290.0","1,177.0","964.0","939.0","1,039.0","1,035.0","1,088.0","1,213.0","1,254.0","1,272.0","1,334.0","1,479.0","1,606.0","1,732.0","1,879.0","2,015.0","2,300.0","2,971.0","3,425.0","3,658.0","3,974.0","4,568.0","4,957.0","5,276.0","5,590.0","6,061.0","6,649.0","7,064.0","7,379.0","7,789.0","8,174.0","8,496.0","8,846.0","9,288.0","9,882.0","10,662.0","11,533.0","12,445.0","13,640.0","15,235.0"
"35","17","  Government","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"36","18","    Federal","A918RC1","214.0","205.0","207.0","200.0","214.0","255.0","288.0","338.0","384.0","421.0","442.0","491.0","866.0","2,206.0","4,952.0","7,876.0","9,250.0","9,952.0","9,591.0","8,433.0","7,570.0","6,920.0","7,391.0","8,280.0","9,242.0","10,066.0","10,736.0","11,689.0","12,712.0","13,402.0","14,269.0","15,138.0","16,011.0","17,148.0","18,316.0","19,174.0","19,970.0","21,018.0","22,418.0","24,113.0","25,776.0"
"37","19","    State and local","A919RC1","754.0","762.0","734.0","650.0","737.0","864.0","849.0","937.0","995.0","1,029.0","1,056.0","1,102.0","1,238.0","1,442.0","1,523.0","1,464.0","1,436.0","1,571.0","1,874.0","2,138.0","2,176.0","2,178.0","2,621.0","2,796.0","2,892.0","2,957.0","3,157.0","3,627.0","3,944.0","4,112.0","4,351.0","4,547.0","4,814.0","5,161.0","5,529.0","5,930.0","6,444.0","7,105.0","7,775.0","8,609.0","9,654.0"
"38","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","20,842.0","15,371.0","9,831.0","4,247.0","4,452.0","7,396.0","10,168.0","13,525.0","17,076.0","13,401.0","15,852.0","20,557.0","31,452.0","40,695.0","45,183.0","45,362.0","36,385.0","42,754.0","52,102.0","61,250.0","51,283.0","66,141.0","83,201.0","82,476.0","85,749.0","83,629.0","98,488.0","107,500.0","111,453.0","104,372.0","120,249.0","125,648.0","130,692.0","143,373.0","152,668.0","166,009.0","183,664.0","201,563.0","203,842.0","217,690.0","234,705.0"
"39","21","Gross domestic investment","W170RC1","20,070.0","14,681.0","9,634.0","4,078.0","4,302.0","6,966.0","10,221.0","13,617.0","16,862.0","12,236.0","14,822.0","19,014.0","30,166.0","40,748.0","47,292.0","47,329.0","37,708.0","37,837.0","42,813.0","58,833.0","50,404.0","67,984.0","82,324.0","81,886.0","87,070.0","83,459.0","98,116.0","104,818.0","106,736.0","103,570.0","121,522.0","122,476.0","126,478.0","139,575.0","147,720.0","158,542.0","177,506.0","197,753.0","200,360.0","216,156.0","233,101.0"
"40","22","  Gross private domestic investment","A006RC1","17,168.0","11,428.0","6,549.0","1,818.0","2,273.0","4,296.0","7,370.0","9,391.0","12,964.0","7,943.0","10,228.0","14,577.0","19,370.0","11,763.0","7,400.0","9,180.0","12,400.0","33,129.0","37,130.0","50,345.0","39,095.0","56,532.0","62,753.0","57,267.0","60,415.0","58,068.0","73,760.0","77,682.0","76,505.0","70,949.0","85,666.0","86,477.0","86,579.0","96,976.0","103,281.0","112,153.0","129,643.0","144,186.0","142,699.0","156,922.0","173,560.0"
"41","23","    Domestic business","W987RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60,747.0","61,495.0","70,229.0","74,484.0","81,483.0","97,545.0","113,022.0","111,016.0","121,062.0","135,083.0"
"42","24","    Households and institutions","W988RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","25,730.0","25,084.0","26,747.0","28,797.0","30,670.0","32,098.0","31,164.0","31,683.0","35,860.0","38,477.0"
"43","25","  Gross government investment","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"44","26","    Federal","A787RC1","230.0","315.0","404.0","463.0","675.0","870.0","1,216.0","1,289.0","1,296.0","1,285.0","1,184.0","1,639.0","8,517.0","27,409.0","38,984.0","37,409.0","24,457.0","3,079.0","2,793.0","4,419.0","5,912.0","5,527.0","12,533.0","17,221.0","18,659.0","16,097.0","14,211.0","15,752.0","17,575.0","18,937.0","21,770.0","21,892.0","24,647.0","26,502.0","26,670.0","27,115.0","26,698.0","30,088.0","31,939.0","31,106.0","30,723.0"
"45","27","    State and local","A799RC1","2,672.0","2,938.0","2,681.0","1,797.0","1,354.0","1,800.0","1,635.0","2,937.0","2,602.0","3,008.0","3,410.0","2,798.0","2,279.0","1,576.0","908.0","740.0","851.0","1,629.0","2,890.0","4,069.0","5,397.0","5,925.0","7,038.0","7,398.0","7,996.0","9,294.0","10,145.0","11,384.0","12,656.0","13,684.0","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"46","28","Capital account transactions (net) \1\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2.0"
"47","29","  Private","W999RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","833.0","902.0","860.0","1,121.0","1,340.0","1,762.0","1,791.0","2,742.0","3,476.0","3,463.0"
"48","30","    Domestic business","W989RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-745.0","-846.0","-966.0","-881.0","-1,000.0","-853.0","-1,043.0","-176.0","473.0","-409.0"
"49","31","    Households and institutions","W990RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,578.0","1,748.0","1,826.0","2,002.0","2,340.0","2,615.0","2,834.0","2,918.0","3,003.0","3,872.0"
"50","32","  Government","W991RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-833.0","-901.0","-861.0","-1,121.0","-1,340.0","-1,762.0","-1,790.0","-2,743.0","-3,476.0","-3,461.0"
"51","33","    Federal","W992RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,308.0","1,397.0","1,607.0","1,870.0","2,123.0","1,691.0","1,983.0","964.0","1,951.0","2,401.0"
"52","34","    State and local","W993RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,141.0","-2,298.0","-2,468.0","-2,991.0","-3,463.0","-3,453.0","-3,773.0","-3,707.0","-5,427.0","-5,862.0"
"53","35","Net lending or net borrowing (-), NIPAs","W162RC1","772.0","690.0","197.0","169.0","150.0","430.0","-53.0","-92.0","214.0","1,165.0","1,030.0","1,543.0","1,286.0","-53.0","-2,109.0","-1,967.0","-1,323.0","4,917.0","9,289.0","2,417.0","879.0","-1,843.0","877.0","590.0","-1,321.0","170.0","372.0","2,682.0","4,717.0","802.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,158.0","3,810.0","3,482.0","1,534.0","1,602.0"
"54","36","  Private","W994RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","15,897.0","24,849.0","25,159.0","22,823.0","29,968.0","27,232.0","29,244.0","42,973.0","34,046.0","23,253.0"
"55","37","    Domestic business","W995RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,792.0","-1,187.0","-1,478.0","-2,350.0","-1,744.0","-6,997.0","-9,647.0","-7,094.0","-12,816.0","-24,666.0"
"56","38","    Households and institutions","W996RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,689.0","26,036.0","26,637.0","25,173.0","31,712.0","34,229.0","38,891.0","50,067.0","46,862.0","47,919.0"
"57","39","  Government","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-12,725.0","-20,636.0","-21,360.0","-17,875.0","-22,501.0","-21,074.0","-25,435.0","-39,490.0","-32,512.0","-21,652.0"
"58","40","    Federal","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,876.0","-14,738.0","-16,303.0","-12,343.0","-16,926.0","-13,888.0","-18,009.0","-29,976.0","-22,681.0","-12,456.0"
"59","41","    State and local","AD03RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-4,849.0","-5,898.0","-5,057.0","-5,532.0","-5,575.0","-7,186.0","-7,426.0","-9,514.0","-9,831.0","-9,196.0"
"60","42","    Statistical discrepancy","A030RC1","733.0","-447.0","735.0","270.0","513.0","372.0","-234.0","1,180.0","-50.0","674.0","1,286.0","1,066.0","315.0","-908.0","-1,840.0","2,523.0","3,826.0","1,223.0","2,852.0","-270.0","1,721.0","1,249.0","3,420.0","2,569.0","3,767.0","2,879.0","2,111.0","-2,068.0","-391.0","614.0","147.0","-1,356.0","-978.0","-82.0","-1,518.0","-13.0","772.0","5,124.0","3,408.0","3,173.0","1,610.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","43","  Gross private saving","A126RC1","17,011.0","13,725.0","9,735.0","4,230.0","3,935.0","7,390.0","10,567.0","12,592.0","14,154.0","11,366.0","13,902.0","17,293.0","26,852.0","48,224.0","56,554.0","61,819.0","52,849.0","37,388.0","35,332.0","49,975.0","47,857.0","53,638.0","63,763.0","69,091.0","71,707.0","73,696.0","80,852.0","89,878.0","95,158.0","97,137.0","103,182.0","104,563.0","113,308.0","123,077.0","128,743.0","143,474.0","157,865.0","170,097.0","185,006.0","191,271.0","198,666.0"
"63","44","    Domestic business","W997RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","58,566.0","60,440.0","67,867.0","72,771.0","78,752.0","88,923.0","97,208.0","100,338.0","105,546.0","108,398.0"
"64","45","    Households and institutions","W998RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","45,997.0","52,868.0","55,210.0","55,972.0","64,722.0","68,942.0","72,889.0","84,668.0","85,725.0","90,268.0"
"65","46","  Gross government saving","A927RC1","3,098.0","2,093.0","-638.0","-253.0","4.0","-366.0","-164.0","-247.0","2,972.0","1,362.0","664.0","2,199.0","4,285.0","-6,621.0","-9,531.0","-18,980.0","-20,289.0","4,143.0","13,918.0","11,545.0","1,705.0","11,254.0","16,018.0","10,816.0","10,274.0","7,054.0","15,525.0","19,690.0","16,685.0","6,621.0","16,920.0","22,441.0","18,362.0","20,378.0","25,443.0","22,548.0","25,027.0","26,342.0","15,428.0","23,246.0","34,428.0"
"66","47","    Federal","A926RC1","1,016.0","191.0","-2,134.0","-1,382.0","-950.0","-2,309.0","-1,991.0","-3,267.0","205.0","-1,329.0","-2,101.0","-518.0","1,493.0","-9,195.0","-12,108.0","-21,578.0","-22,818.0","1,786.0","11,974.0","9,352.0","-957.0","8,762.0","11,851.0","6,153.0","5,079.0","2,067.0","10,170.0","13,088.0","10,093.0","1,368.0","10,386.0","15,324.0","11,306.0","11,806.0","16,197.0","12,312.0","14,501.0","14,062.0","2,927.0","10,376.0","20,668.0"
