"","Table 1#9#5# Net Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Nonfarm \2\","A364RC1","73,574.0","63,594.0","51,391.0","37,477.0","35,777.0","44,239.0","48,811.0","58,126.0","63,629.0","58,624.0","64,741.0","73,054.0","92,870.0","114,881.0","135,131.0","145,812.0","143,276.0","150,397.0","172,607.0","191,092.0","189,668.0","211,916.0","242,664.0","255,035.0","273,207.0","270,169.0","299,334.0","313,993.0","329,080.0","324,854.0","359,537.0","370,159.0","380,983.0","412,040.0","434,724.0","470,631.0","511,612.0","560,981.0","586,855.0","641,536.0","688,554.0"
"22","4","  Farm","A365RC1","8,213.0","6,240.0","5,002.0","3,357.0","3,556.0","3,618.0","5,903.0","5,305.0","7,060.0","5,326.0","5,089.0","5,231.0","7,621.0","11,563.0","13,796.0","13,710.0","14,253.0","16,853.0","17,839.0","20,556.0","15,772.0","16,693.0","19,329.0","18,281.0","16,071.0","15,534.0","14,570.0","14,241.0","13,994.0","16,021.0","14,176.0","15,065.0","15,221.0","15,244.0","15,234.0","13,951.0","16,334.0","16,943.0","15,929.0","16,023.0","18,059.0"
"23","5","Households and institutions","W503RC1","7,776.0","7,303.0","6,563.0","5,681.0","4,929.0","4,756.0","4,858.0","5,043.0","5,359.0","5,404.0","5,550.0","5,748.0","6,063.0","6,848.0","7,556.0","8,416.0","9,147.0","9,635.0","10,430.0","11,459.0","12,567.0","14,039.0","15,651.0","17,506.0","19,708.0","21,614.0","23,840.0","25,843.0","28,133.0","30,768.0","33,550.0","37,111.0","39,619.0","43,025.0","45,872.0","48,845.0","52,339.0","56,489.0","60,961.0","65,738.0","72,351.0"
"24","6","  Households","W504RC1","6,474.0","5,973.0","5,273.0","4,485.0","3,831.0","3,652.0","3,732.0","3,858.0","4,120.0","4,121.0","4,250.0","4,378.0","4,616.0","5,259.0","5,766.0","6,438.0","7,030.0","7,118.0","7,478.0","8,047.0","8,803.0","9,956.0","11,176.0","12,646.0","14,354.0","15,811.0","17,501.0","18,950.0","20,552.0","22,387.0","24,350.0","26,625.0","28,453.0","30,723.0","32,508.0","34,275.0","36,286.0","38,437.0","40,806.0","42,928.0","46,041.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","1,302.0","1,330.0","1,290.0","1,196.0","1,098.0","1,104.0","1,126.0","1,185.0","1,239.0","1,283.0","1,300.0","1,370.0","1,447.0","1,589.0","1,790.0","1,978.0","2,117.0","2,517.0","2,952.0","3,412.0","3,764.0","4,083.0","4,475.0","4,860.0","5,354.0","5,803.0","6,339.0","6,893.0","7,581.0","8,381.0","9,200.0","10,486.0","11,166.0","12,302.0","13,364.0","14,570.0","16,053.0","18,052.0","20,155.0","22,810.0","26,310.0"
"26","8","General government \4\","A194RC1","4,619.0","4,844.0","4,958.0","4,703.0","4,912.0","5,793.0","6,225.0","7,597.0","7,233.0","8,003.0","8,002.0","8,346.0","10,748.0","17,812.0","28,626.0","35,232.0","38,303.0","25,156.0","19,869.0","20,307.0","22,483.0","24,120.0","31,892.0","36,288.0","37,273.0","37,848.0","39,546.0","41,928.0","44,731.0","47,977.0","49,750.0","53,055.0","56,873.0","60,705.0","64,749.0","69,980.0","75,463.0","85,333.0","94,467.0","105,859.0","116,051.0"
"27","9","  Federal","B568RC1","1,053.0","1,096.0","1,101.0","1,042.0","1,316.0","1,853.0","1,956.0","3,779.0","3,201.0","3,694.0","3,628.0","3,858.0","6,154.0","13,130.0","23,739.0","30,040.0","32,635.0","18,593.0","12,060.0","11,240.0","12,436.0","13,383.0","20,160.0","23,406.0","23,255.0","22,464.0","22,937.0","23,466.0","24,267.0","25,339.0","25,750.0","26,622.0","27,743.0","29,484.0","30,800.0","32,980.0","34,775.0","39,798.0","43,843.0","48,255.0","51,433.0"
"28","10","  State and local","B251RC1","3,566.0","3,748.0","3,857.0","3,661.0","3,596.0","3,940.0","4,269.0","3,818.0","4,032.0","4,309.0","4,374.0","4,488.0","4,594.0","4,682.0","4,887.0","5,192.0","5,668.0","6,563.0","7,809.0","9,067.0","10,047.0","10,737.0","11,732.0","12,882.0","14,018.0","15,384.0","16,609.0","18,462.0","20,464.0","22,638.0","24,000.0","26,433.0","29,130.0","31,221.0","33,949.0","37,000.0","40,688.0","45,535.0","50,624.0","57,604.0","64,618.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of fixed capital on fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
