"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","2","  Depreciation of assets of foreign branches","B1209C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","95.0","108.0","119.0","135.0","143.0","166.0","188.0","210.0","245.0","282.0","327.0","367.0","400.0","383.0","369.0","358.0","345.0","334.0","359.0","390.0","424.0","465.0","621.0","782.0"
"23","3","  Depreciation or amortization of intangible assets \1\","B1210C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","63.0","102.0","141.0","149.0","147.0","190.0","197.0","196.0","227.0","283.0","367.0"
"24","4","  Other \2\","B1211C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","  Normal accidental damage to fixed capital other than repairable damage","B1212C1","196.0","187.0","174.0","160.0","136.0","115.0","113.0","167.0","134.0","168.0","103.0","114.0","139.0","337.0","226.0","184.0","198.0","148.0","216.0","218.0","188.0","232.0","368.0","263.0","309.0","376.0","434.0","306.0","339.0","317.0","349.0","357.0","389.0","430.0","518.0","572.0","685.0","561.0","655.0","725.0","845.0"
"27","6","  Depreciation of intellectual property products not in IRS depreciation \3\","Y373RC1","96.0","132.0","164.0","191.0","214.0","235.0","262.0","295.0","335.0","380.0","406.0","429.0","472.0","530.0","594.0","646.0","713.0","788.0","894.0","1,007.0","1,109.0","1,217.0","1,329.0","1,446.0","1,641.0","1,858.0","2,108.0","2,396.0","2,727.0","3,072.0","3,462.0","3,895.0","4,384.0","4,880.0","5,383.0","5,905.0","6,496.0","7,168.0","7,935.0","8,805.0","9,782.0"
"28","7","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1","135.0","144.0","150.0","153.0","155.0","155.0","158.0","162.0","169.0","179.0","188.0","195.0","204.0","211.0","217.0","227.0","242.0","285.0","306.0","338.0","377.0","419.0","471.0","533.0","604.0","684.0","770.0","863.0","958.0","1,044.0","1,124.0","1,190.0","1,257.0","1,331.0","1,397.0","1,453.0","1,516.0","1,558.0","1,596.0","1,677.0","1,773.0"
"29","8","  Depreciation of motor vehicles not in IRS depreciation \4\","B1315C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64.0","127.0","209.0","288.0","380.0","435.0","423.0","413.0","418.0","433.0","440.0","427.0","381.0","473.0","528.0","569.0","617.0","666.0","657.0","684.0","724.0","718.0","737.0","798.0"
"30","9","  Depreciation of railroad track charged to current expense \5\","B1628C1","373.0","303.0","231.0","147.0","137.0","155.0","167.0","194.0","212.0","178.0","206.0","212.0","260.0","323.0","418.0","512.0","507.0","460.0","480.0","523.0","503.0","500.0","560.0","580.0","622.0","501.0","501.0","498.0","505.0","389.0","396.0","364.0","323.0","336.0","349.0","377.0","380.0","415.0","406.0","481.0","507.0"
"31","10","  Other \6\","B1214C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","4.0","4.0","3.0","4.0","4.0","17.0","20.0","25.0","35.0","141.0","169.0","247.0","50.0","47.0","28.0","-1.0","39.0","248.0","212.0","315.0","569.0","730.0","993.0","1,218.0","1,244.0","1,303.0","1,310.0"
"32","11","Equals: Capital consumption allowances, NIPAs","A677RC1","4,678.0","4,759.0","4,727.0","4,349.0","4,144.0","4,031.0","4,058.0","4,109.0","4,198.0","4,262.0","4,352.0","4,476.0","4,986.0","5,905.0","6,379.0","7,221.0","7,591.0","5,943.0","7,223.0","8,531.0","9,572.0","10,531.0","12,153.0","13,518.0","15,442.0","17,325.0","20,023.0","21,802.0","24,049.0","25,478.0","27,457.0","29,488.0","31,294.0","35,649.0","38,454.0","41,168.0","44,564.0","48,705.0","52,912.0","57,484.0","63,338.0"
"33","12","Less: Capital consumption adjustment","A059RC1","-550.0","-321.0","-25.0","109.0","136.0","-73.0","-126.0","-139.0","-546.0","-558.0","-472.0","-564.0","-598.0","-483.0","-173.0","473.0","623.0","-2,057.0","-2,573.0","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"34","13","Equals: Consumption of fixed capital, NIPAs","A438RC1","5,228.0","5,080.0","4,752.0","4,240.0","4,008.0","4,104.0","4,184.0","4,248.0","4,744.0","4,820.0","4,824.0","5,040.0","5,584.0","6,388.0","6,552.0","6,748.0","6,968.0","8,000.0","9,796.0","11,488.0","12,412.0","13,288.0","15,136.0","16,116.0","17,300.0","18,340.0","19,560.0","22,088.0","24,564.0","26,396.0","27,620.0","28,488.0","29,524.0","30,836.0","32,416.0","34,412.0","37,140.0","40,860.0","45,096.0","49,992.0","55,704.0"
"35",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","14","Depreciation and amortization, IRS","B1218C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,880.0","5,890.0","5,783.0","6,025.0","6,183.0","6,534.0","6,774.0","7,080.0","7,530.0","7,904.0","8,833.0"
"37",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","15","  Depreciation or amortization of intangible assets \1\","B1219C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","47.0","88.0","90.0","64.0","53.0","42.0","77.0"
"39","16","  Adjustment for misreporting on income tax returns","B1220C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","121.0","148.0","164.0","339.0","362.0","375.0","407.0","464.0"
"40","17","  Other \7\","B2626C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"41",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","18","  Normal accidental damage to fixed capital other than repairable damage","B1221C1",".....",".....",".....","20.0","16.0","15.0","15.0","26.0","22.0","27.0","15.0","18.0","19.0","20.0","24.0","21.0","22.0","36.0","54.0","54.0","45.0","57.0","89.0","63.0","74.0","92.0","106.0","72.0","85.0","46.0","66.0","34.0","46.0","51.0","85.0","82.0","107.0","86.0","107.0","113.0","145.0"
"43","19","  Depreciation of intellectual property products not in IRS depreciation \3\","Y374RC1","7.0","18.0","28.0","36.0","43.0","50.0","56.0","67.0","79.0","96.0","106.0","111.0","114.0","123.0","133.0","142.0","154.0","169.0","190.0","211.0","236.0","262.0","281.0","297.0","315.0","337.0","359.0","379.0","400.0","427.0","457.0","487.0","529.0","575.0","612.0","639.0","661.0","680.0","694.0","712.0","739.0"
"44","20","  Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1","12.0","13.0","13.0","13.0","13.0","14.0","14.0","14.0","15.0","16.0","16.0","17.0","18.0","18.0","19.0","20.0","21.0","25.0","27.0","29.0","32.0","36.0","40.0","46.0","52.0","59.0","67.0","75.0","83.0","90.0","98.0","114.0","124.0","128.0","130.0","136.0","135.0","148.0","157.0","187.0","202.0"
"45","21","  Depreciation of motor vehicles not in IRS depreciation \4\","B1313C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","121.0","131.0","130.0","138.0","159.0","140.0","143.0","154.0"
"46","22","  Other \8\","Y380RC1","56.0","42.0","34.0","24.0","24.0","33.0","30.0","32.0","35.0","32.0","35.0","35.0","35.0","37.0","49.0","48.0","37.0","44.0","47.0","51.0","60.0","56.0","52.0","56.0","62.0","66.0","65.0","68.0","84.0","129.0","42.0","42.0","55.0","78.0","95.0","104.0","102.0","101.0","101.0","476.0","605.0"
"47","23","Equals: Capital consumption allowances, NIPAs","B1314C1","896.0","886.0","886.0","847.0","762.0","781.0","802.0","859.0","906.0","948.0","952.0","1,018.0","1,151.0","1,326.0","1,433.0","1,499.0","1,572.0","1,832.0","2,497.0","2,965.0","3,513.0","3,824.0","4,259.0","4,570.0","4,836.0","5,049.0","5,223.0","5,880.0","6,252.0","6,415.0","6,543.0","6,567.0","6,537.0","6,773.0","7,041.0","7,373.0","7,488.0","7,828.0","8,301.0","9,086.0","10,137.0"
"48","24","Less: Capital consumption adjustment","A2205C1","-795.0","-787.0","-653.0","-483.0","-443.0","-446.0","-399.0","-363.0","-449.0","-449.0","-436.0","-434.0","-457.0","-472.0","-340.0","-338.0","-311.0","-316.0","-263.0","-312.0","-74.0","-49.0","-174.0","-67.0","23.0","66.0","-17.0","142.0","90.0","-87.0","-119.0","-122.0","-216.0","-104.0","-11.0","43.0","-240.0","-416.0","-470.0","-375.0","-295.0"
"49","25","Equals: Consumption of fixed capital, NIPAs","B1617C1","1,691.0","1,673.0","1,539.0","1,330.0","1,205.0","1,227.0","1,201.0","1,222.0","1,355.0","1,397.0","1,388.0","1,452.0","1,608.0","1,798.0","1,773.0","1,837.0","1,883.0","2,148.0","2,760.0","3,277.0","3,587.0","3,873.0","4,433.0","4,637.0","4,813.0","4,983.0","5,240.0","5,738.0","6,162.0","6,502.0","6,662.0","6,689.0","6,753.0","6,877.0","7,052.0","7,330.0","7,728.0","8,244.0","8,771.0","9,461.0","10,432.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work animals;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Consists of depreciation of software, research and development, and entertainment, literary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","artistic originals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Consists of depreciation of employees' motor vehicles reimbursed by business and depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","5. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","6. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored credit agencies,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","credit unions, and nonprofit institutions serving business; depreciation of interest paid by public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","utilities for own-account investment prior to 1987 (beginning with 1987, included in line 1); and capitalization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","8. Consists of capitalization of residential real estate disposal costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
