"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"31","12","    General government","A265RC1","32,277.0","32,953.0","33,494.0","34,196.0","34,938.0","35,692.0","36,427.0","37,166.0","37,809.0","38,306.0","38,661.0","38,997.0","39,706.0","39,994.0","40,473.0","40,986.0","41,738.0","42,598.0","43,449.0","44,551.0","45,972.0","47,783.0","49,800.0","51,437.0","52,493.0","53,322.0","54,015.0","54,890.0","55,851.0","56,653.0","57,586.0","58,619.0","59,660.0","60,711.0","61,595.0","62,859.0","64,216.0","65,637.0","67,038.0","68,284.0","69,821.0","71,717.0","73,834.0","75,934.0","78,246.0","80,838.0","83,581.0","86,359.0","89,073.0","91,978.0","94,440.0","97,095.0","99,695.0","102,290.0","104,257.0","106,019.0","107,713.0","109,148.0","111,155.0","113,033.0","115,557.0","117,638.0","119,717.0","121,710.0","124,019.0","126,074.0","128,450.0","130,725.0","132,924.0","135,522.0","137,976.0","140,881.0","143,195.0","145,583.0","148,243.0","151,107.0","154,338.0","157,155.0","159,825.0","162,555.0","165,290.0","168,021.0","170,654.0","173,263.0","176,052.0","178,654.0","181,433.0","183,775.0","186,645.0","189,188.0","191,378.0","192,551.0","193,314.0","194,961.0","196,333.0","198,532.0","200,143.0","201,767.0","203,138.0","205,004.0","206,066.0","207,654.0","209,716.0","212,009.0","214,740.0","215,993.0","217,414.0","218,199.0","219,410.0","219,921.0","220,748.0","221,321.0","222,706.0","224,250.0","225,172.0","226,146.0","226,541.0","227,945.0","229,612.0","231,678.0","233,340.0","235,824.0","237,697.0","240,855.0","243,755.0","246,614.0","249,186.0","251,252.0","252,814.0","254,295.0","255,450.0","256,906.0","258,531.0","260,198.0","262,132.0","263,917.0","266,442.0","268,901.0","271,640.0","274,122.0","277,286.0","281,826.0","287,364.0","293,125.0","297,410.0","302,739.0","308,546.0","313,778.0","317,956.0","323,935.0","328,950.0","335,466.0","343,156.0","348,682.0","354,174.0","359,685.0","366,141.0","372,182.0","378,819.0","385,050.0","388,776.0","389,869.0","390,133.0","392,237.0","396,904.0","402,053.0","405,848.0","410,211.0","415,399.0","420,358.0","424,810.0","427,936.0","431,775.0","435,382.0","438,152.0","439,161.0","440,768.0","443,106.0","445,014.0","447,725.0","449,826.0","451,590.0","453,847.0","455,178.0","455,523.0","454,933.0","456,172.0","460,216.0"
"32","13","    Government enterprises","A266RC1","2,112.0","2,167.0","2,223.0","2,297.0","2,358.0","2,432.0","2,507.0","2,579.0","2,656.0","2,743.0","2,830.0","2,921.0","3,008.0","3,072.0","3,153.0","3,232.0","3,341.0","3,453.0","3,560.0","3,673.0","3,852.0","4,096.0","4,428.0","4,672.0","4,876.0","5,007.0","5,126.0","5,255.0","5,349.0","5,483.0","5,572.0","5,677.0","5,791.0","5,915.0","6,093.0","6,216.0","6,342.0","6,555.0","6,767.0","6,955.0","7,156.0","7,417.0","7,711.0","8,016.0","8,299.0","8,596.0","8,947.0","9,265.0","9,559.0","9,840.0","10,147.0","10,330.0","10,489.0","10,767.0","11,023.0","11,156.0","11,298.0","11,437.0","11,577.0","11,678.0","11,848.0","12,066.0","12,271.0","12,459.0","12,683.0","12,846.0","12,977.0","13,195.0","13,401.0","13,657.0","13,874.0","14,127.0","14,281.0","14,494.0","14,741.0","14,937.0","15,167.0","15,481.0","15,780.0","16,043.0","16,259.0","16,573.0","16,912.0","17,137.0","17,385.0","17,741.0","18,084.0","18,259.0","18,465.0","18,716.0","18,999.0","19,143.0","19,301.0","19,626.0","19,933.0","20,266.0","20,663.0","21,041.0","21,214.0","21,556.0","21,969.0","22,253.0","22,527.0","22,795.0","23,128.0","23,447.0","23,771.0","24,119.0","24,307.0","24,499.0","24,739.0","24,994.0","24,952.0","25,225.0","25,422.0","25,660.0","25,893.0","26,167.0","26,532.0","26,952.0","27,361.0","27,807.0","28,184.0","28,721.0","29,195.0","29,782.0","30,228.0","30,651.0","30,970.0","31,260.0","31,556.0","31,885.0","32,295.0","32,695.0","33,061.0","33,387.0","33,912.0","34,347.0","34,770.0","35,270.0","35,872.0","36,895.0","38,058.0","39,176.0","39,679.0","40,587.0","41,587.0","42,307.0","42,905.0","44,053.0","44,830.0","45,944.0","46,777.0","47,533.0","48,329.0","49,169.0","49,903.0","50,502.0","51,278.0","52,130.0","52,424.0","52,251.0","52,402.0","52,823.0","53,262.0","53,949.0","54,682.0","55,324.0","56,182.0","57,042.0","57,933.0","58,655.0","59,253.0","59,892.0","60,446.0","60,862.0","61,322.0","61,856.0","62,291.0","62,757.0","63,318.0","63,871.0","64,532.0","65,031.0","65,263.0","65,343.0","65,509.0","65,587.0"
"33","14","Equals: Net national product","A027RC1","881,296.0","894,060.0","911,676.0","917,513.0","927,633.0","941,534.0","956,752.0","956,083.0","1,000,657.0","1,019,802.0","1,037,260.0","1,048,261.0","1,085,855.0","1,119,216.0","1,140,368.0","1,174,997.0","1,221,108.0","1,254,144.0","1,270,260.0","1,306,802.0","1,318,095.0","1,349,011.0","1,368,326.0","1,397,253.0","1,403,269.0","1,433,141.0","1,485,715.0","1,535,424.0","1,589,484.0","1,617,784.0","1,645,900.0","1,687,746.0","1,737,123.0","1,796,813.0","1,851,086.0","1,886,614.0","1,920,856.0","2,035,626.0","2,089,773.0","2,166,091.0","2,205,041.0","2,260,884.0","2,329,144.0","2,376,684.0","2,430,296.0","2,417,281.0","2,461,273.0","2,573,887.0","2,699,883.0","2,719,004.0","2,801,501.0","2,814,958.0","2,790,250.0","2,841,142.0","2,862,106.0","2,895,251.0","2,963,064.0","3,063,979.0","3,166,744.0","3,264,912.0","3,369,799.0","3,463,289.0","3,525,761.0","3,571,732.0","3,642,625.0","3,699,078.0","3,774,922.0","3,825,195.0","3,873,550.0","3,894,141.0","3,949,987.0","3,982,109.0","4,040,783.0","4,118,363.0","4,184,577.0","4,295,288.0","4,354,021.0","4,454,896.0","4,530,286.0","4,632,400.0","4,733,342.0","4,820,363.0","4,893,062.0","4,938,730.0","5,052,110.0","5,125,538.0","5,163,369.0","5,168,771.0","5,177,088.0","5,244,404.0","5,306,936.0","5,369,617.0","5,466,102.0","5,569,774.0","5,652,743.0","5,753,988.0","5,800,412.0","5,863,333.0","5,931,939.0","6,032,756.0","6,131,351.0","6,246,855.0","6,312,013.0","6,417,973.0","6,476,425.0","6,522,272.0","6,594,910.0","6,686,531.0","6,775,294.0","6,923,118.0","7,003,453.0","7,121,986.0","7,211,760.0","7,351,752.0","7,467,147.0","7,540,007.0","7,633,963.0","7,717,923.0","7,837,567.0","7,999,042.0","8,108,993.0","8,199,308.0","8,324,044.0","8,515,226.0","8,580,634.0","8,803,244.0","8,858,593.0","8,987,699.0","8,977,814.0","9,089,369.0","9,050,360.0","9,161,065.0","9,245,464.0","9,314,785.0","9,414,611.0","9,481,348.0","9,578,190.0","9,718,044.0","9,954,093.0","10,151,942.0","10,314,083.0","10,452,122.0","10,616,298.0","10,746,937.0","10,994,591.0","11,106,507.0","11,306,850.0","11,409,390.0","11,642,127.0","11,751,087.0","11,812,801.0","11,943,879.0","12,074,415.0","12,259,279.0","12,441,344.0","12,580,429.0","12,520,974.0","12,644,475.0","12,665,489.0","12,277,962.0","12,126,663.0","12,098,135.0","12,208,454.0","12,372,373.0","12,514,832.0","12,718,966.0","12,874,921.0","13,046,319.0","13,047,112.0","13,249,091.0","13,380,089.0","13,579,422.0","13,723,846.0","13,828,885.0","13,918,475.0","13,963,283.0","14,072,057.0","14,155,677.0","14,345,729.0","14,549,301.0","14,534,767.0","14,794,262.0","15,032,507.0","15,096,349.0","15,084,054.0","15,339,965.0","15,431,229.0","....."
"34","15","Less: Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,901.0","41,317.0","58,422.0","55,501.0","63,738.0","59,263.0","35,609.0","17,114.0","57,265.0","34,795.0","27,885.0","26,882.0","-1,685.0","3,064.0","4,102.0","21,550.0","28,641.0","49,667.0","72,209.0","66,112.0","38,456.0","44,969.0","41,108.0","29,976.0","35,190.0","43,649.0","58,720.0","67,491.0","64,466.0","73,711.0","90,101.0","78,693.0","65,610.0","44,918.0","17,301.0","34,398.0","2,364.0","10,396.0","-5,792.0","-8,848.0","10,150.0","65,126.0","86,515.0","94,922.0","99,888.0","90,740.0","98,642.0","76,126.0","56,205.0","88,047.0","102,229.0","107,073.0","73,739.0","93,179.0","136,509.0","140,186.0","180,528.0","140,640.0","163,455.0","124,679.0","157,191.0","145,468.0","121,828.0","122,780.0","114,381.0","98,172.0","71,600.0","78,089.0","45,479.0","65,542.0","64,905.0","50,358.0","19,327.0","47,491.0","14,196.0","-31,823.0","-39,182.0","-81,104.0","-92,631.0","-27,747.0","-69,573.0","-50,809.0","-19,513.0","-10,135.0","-185,564.0","-53,078.0","-118,256.0","-41,002.0","-193,681.0","-119,424.0","-115,154.0","-31,658.0","-72,140.0","-79,683.0","-40,856.0","-98,388.0","-58,998.0","-60,014.0","21,096.0","43,397.0","21,767.0","-14,400.0","-42,984.0","1,271.0","12,966.0","-12,037.0","-17,548.0","-125,315.0","-222,094.0","-203,943.0","-248,721.0","-194,352.0","-151,384.0","-63,535.0","113,281.0","171,606.0","46,512.0","129,612.0","124,242.0","97,255.0","117,260.0","96,185.0","74,243.0","13,614.0","57,814.0","98,178.0","6,118.0","34,772.0","-44,086.0","-6,777.0","-74,696.0","-27,749.0","-218,681.0","-168,328.0","-143,816.0","-282,198.0","-185,536.0","-260,349.0","-155,081.0","-109,607.0","-175,308.0","-186,994.0","-224,021.0","-261,828.0","-252,332.0","-180,367.0","-211,948.0","....."
"35","16","Equals: National income","A032RC1","875,726.0","892,125.0","910,846.0","919,384.0","923,921.0","935,815.0","950,264.0","950,586.0","987,389.0","1,007,290.0","1,025,462.0","1,047,915.0","1,081,235.0","1,101,651.0","1,131,417.0","1,177,605.0","1,214,687.0","1,239,404.0","1,267,823.0","1,306,011.0","1,318,165.0","1,338,927.0","1,364,949.0","1,381,079.0","1,387,990.0","1,418,787.0","1,477,005.0","1,520,846.0","1,571,297.0","1,596,930.0","1,628,948.0","1,661,888.0","1,705,572.0","1,775,956.0","1,832,791.0","1,880,299.0","1,920,344.0","2,014,328.0","2,060,317.0","2,124,751.0","2,181,140.0","2,219,567.0","2,270,722.0","2,321,183.0","2,366,558.0","2,358,018.0","2,425,664.0","2,556,773.0","2,642,618.0","2,684,209.0","2,773,616.0","2,788,076.0","2,791,935.0","2,838,078.0","2,858,004.0","2,873,701.0","2,934,423.0","3,014,312.0","3,094,535.0","3,198,800.0","3,331,343.0","3,418,320.0","3,484,653.0","3,541,756.0","3,607,435.0","3,655,429.0","3,716,202.0","3,757,704.0","3,809,084.0","3,820,430.0","3,859,886.0","3,903,416.0","3,975,173.0","4,073,445.0","4,167,276.0","4,260,890.0","4,351,657.0","4,444,500.0","4,536,078.0","4,641,248.0","4,723,192.0","4,755,237.0","4,806,547.0","4,843,808.0","4,952,222.0","5,034,798.0","5,064,727.0","5,092,645.0","5,120,883.0","5,156,357.0","5,204,707.0","5,262,544.0","5,392,363.0","5,476,595.0","5,516,234.0","5,613,802.0","5,619,884.0","5,722,693.0","5,768,484.0","5,908,077.0","5,974,160.0","6,101,387.0","6,190,185.0","6,295,193.0","6,362,044.0","6,424,100.0","6,523,310.0","6,608,442.0","6,729,815.0","6,857,576.0","6,938,548.0","7,071,628.0","7,192,433.0","7,304,261.0","7,452,951.0","7,571,830.0","7,673,145.0","7,799,027.0","7,930,198.0","8,026,789.0","8,178,566.0","8,250,117.0","8,343,557.0","8,525,361.0","8,766,198.0","8,856,322.0","8,976,849.0","9,028,701.0","9,171,495.0","9,208,793.0","9,165,514.0","9,192,723.0","9,317,604.0","9,394,468.0","9,455,467.0","9,579,736.0","9,637,188.0","9,778,058.0","9,932,997.0","10,108,545.0","10,292,316.0","10,466,522.0","10,659,282.0","10,745,666.0","10,981,625.0","11,118,544.0","11,324,398.0","11,534,705.0","11,864,221.0","11,955,030.0","12,061,522.0","12,138,231.0","12,225,799.0","12,322,814.0","12,328,063.0","12,408,823.0","12,474,462.0","12,514,863.0","12,541,247.0","12,180,707.0","12,009,403.0","12,001,950.0","12,134,211.0","12,358,759.0","12,457,018.0","12,620,788.0","12,868,803.0","13,011,547.0","13,091,198.0","13,255,868.0","13,454,785.0","13,607,171.0","13,942,526.0","13,997,214.0","14,062,292.0","14,245,481.0","14,257,594.0","14,416,026.0","14,500,811.0","14,658,908.0","14,710,075.0","14,981,256.0","15,256,528.0","15,358,176.0","15,336,386.0","15,520,332.0","15,643,177.0","....."
"36",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","103,476.0","100,332.0","97,418.0","92,440.0","84,663.0","88,470.0","88,383.0","83,458.0","96,622.0","98,738.0","101,436.0","105,790.0","111,518.0","113,410.0","118,171.0","125,749.0","133,496.0","131,250.0","133,028.0","135,784.0","130,296.0","128,925.0","124,284.0","119,314.0","117,750.0","128,940.0","149,762.0","158,982.0","175,111.0","173,151.0","174,747.0","174,343.0","184,122.0","204,910.0","219,642.0","214,458.0","209,938.0","239,724.0","246,224.0","258,389.0","249,692.0","252,142.0","250,072.0","244,013.0","237,466.0","207,046.0","214,614.0","235,113.0","244,352.0","240,843.0","257,842.0","246,938.0","221,847.0","236,213.0","233,675.0","227,695.0","244,581.0","274,689.0","291,244.0","308,555.0","336,608.0","338,227.0","333,584.0","343,107.0","347,882.0","351,531.0","368,854.0","349,685.0","340,696.0","326,569.0","315,553.0","314,677.0","325,851.0","362,888.0","386,385.0","388,804.0","394,495.0","409,066.0","415,729.0","440,227.0","423,892.0","415,852.0","416,482.0","400,739.0","413,498.0","433,404.0","407,100.0","414,607.0","453,969.0","451,488.0","449,372.0","450,488.0","476,546.0","477,827.0","463,208.0","483,503.0","481,265.0","509,386.0","523,613.0","573,729.0","581,572.0","604,480.0","638,544.0","663,060.0","664,687.0","689,236.0","723,155.0","734,986.0","768,943.0","781,398.0","786,566.0","807,306.0","835,260.0","857,730.0","892,617.0","877,468.0","808,482.0","805,150.0","813,248.0","789,562.0","842,186.0","835,620.0","819,168.0","823,944.0","803,288.0","792,760.0","775,771.0","752,991.0","743,624.0","774,045.0","742,296.0","756,190.0","850,714.0","881,025.0","910,082.0","986,845.0","988,174.0","1,028,859.0","1,076,363.0","1,132,103.0","1,238,712.0","1,266,792.0","1,325,678.0","1,302,198.0","1,427,763.0","1,445,994.0","1,474,257.0","1,562,902.0","1,627,434.0","1,649,195.0","1,693,540.0","1,615,854.0","1,530,945.0","1,596,852.0","1,518,143.0","1,470,026.0","1,383,409.0","1,367,634.0","1,371,310.0","1,017,895.0","1,258,954.0","1,301,012.0","1,463,252.0","1,564,670.0","1,658,485.0","1,666,427.0","1,814,036.0","1,846,731.0","1,677,381.0","1,790,002.0","1,826,643.0","1,972,487.0","2,015,988.0","1,993,595.0","1,999,046.0","1,984,030.0","1,997,337.0","2,045,384.0","2,042,139.0","2,064,696.0","1,924,745.0","2,070,499.0","2,161,037.0","2,135,494.0","2,012,539.0","2,082,952.0","2,049,913.0","....."
"38","18","  Taxes on production and imports less subsidies \1\","W254RC1","76,249.0","78,437.0","80,549.0","82,053.0","83,730.0","85,715.0","87,772.0","89,327.0","92,888.0","94,135.0","97,162.0","99,087.0","98,457.0","100,583.0","101,687.0","104,441.0","108,656.0","110,481.0","113,680.0","115,143.0","117,250.0","121,176.0","123,882.0","124,072.0","124,601.0","128,747.0","133,635.0","136,209.0","136,538.0","140,020.0","142,625.0","145,869.0","149,016.0","152,172.0","155,116.0","153,952.0","158,232.0","164,691.0","161,423.0","163,502.0","168,089.0","169,717.0","172,770.0","175,704.0","180,313.0","187,272.0","194,222.0","200,313.0","220,286.0","224,792.0","226,346.0","225,260.0","223,405.0","224,658.0","228,737.0","226,864.0","230,764.0","239,655.0","245,298.0","252,191.0","260,420.0","266,752.0","271,292.0","276,368.0","279,928.0","284,707.0","290,518.0","291,939.0","294,390.0","295,288.0","300,704.0","303,530.0","307,754.0","313,926.0","321,072.0","326,300.0","334,724.0","342,745.0","348,398.0","353,981.0","363,143.0","369,983.0","376,749.0","375,881.0","392,238.0","392,552.0","399,948.0","407,250.0","417,134.0","424,390.0","433,663.0","443,225.0","447,672.0","451,842.0","455,517.0","458,121.0","454,336.0","460,386.0","467,298.0","483,756.0","498,333.0","511,798.0","518,224.0","522,545.0","520,918.0","519,061.0","524,019.0","528,366.0","535,255.0","542,279.0","546,436.0","558,110.0","561,270.0","576,613.0","583,128.0","590,209.0","595,315.0","600,518.0","606,207.0","610,380.0","615,044.0","622,031.0","632,570.0","643,859.0","653,496.0","661,831.0","665,489.0","670,048.0","668,840.0","662,060.0","654,238.0","690,734.0","702,329.0","716,765.0","730,475.0","735,279.0","743,599.0","743,614.0","767,837.0","780,736.0","798,630.0","811,824.0","823,443.0","836,318.0","851,868.0","868,762.0","882,542.0","891,310.0","919,950.0","936,723.0","946,939.0","958,300.0","972,474.0","973,794.0","982,817.0","990,826.0","986,243.0","996,295.0","997,191.0","977,708.0","958,866.0","963,947.0","963,079.0","985,301.0","987,341.0","998,721.0","1,006,877.0","1,012,057.0","1,029,088.0","1,044,282.0","1,043,026.0","1,053,847.0","1,070,702.0","1,071,287.0","1,070,565.0","1,083,521.0","1,109,424.0","1,111,600.0","1,123,684.0","1,129,830.0","1,137,944.0","1,152,311.0","1,163,504.0","1,169,474.0","1,169,175.0","1,175,659.0","1,179,026.0","1,188,184.0"
"39","19","  Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,600.0","227,212.0","232,632.0","250,972.0","255,828.0","259,944.0","263,136.0","275,416.0","278,840.0","282,832.0","288,392.0","297,932.0","300,712.0","305,048.0","310,060.0","316,452.0","320,220.0","324,532.0","331,248.0","352,108.0","359,128.0","364,396.0","370,296.0","379,840.0","382,832.0","386,388.0","391,864.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","745,360.0","752,148.0","753,484.0","754,996.0","764,352.0","774,192.0","783,440.0","795,040.0","810,376.0","823,936.0","838,704.0","843,696.0","859,808.0","867,128.0","879,124.0","887,320.0","915,364.0","918,804.0","921,928.0","934,268.0","957,688.0","957,980.0","959,844.0","970,080.0","986,488.0","987,200.0","990,700.0","988,560.0","961,272.0","966,288.0","963,432.0","966,636.0","972,016.0","984,012.0","988,372.0","992,032.0","913,606.0","916,289.0","924,068.0","917,229.0","941,571.0","944,900.0","948,026.0","971,801.0","1,088,491.0","1,105,021.0","1,111,761.0","1,121,963.0","1,144,513.0","1,151,246.0","1,162,879.0","1,177,198.0","1,185,812.0","1,198,889.0","1,211,395.0","1,222,120.0"
"40","20","  Net interest and miscellaneous payments on assets","W255RC1","31,168.0","32,871.0","34,600.0","35,694.0","37,370.0","39,484.0","41,771.0","43,237.0","44,318.0","45,292.0","45,527.0","45,769.0","46,644.0","47,887.0","50,183.0","52,441.0","53,019.0","54,794.0","58,863.0","62,317.0","66,762.0","71,596.0","75,229.0","80,423.0","84,428.0","85,087.0","86,691.0","87,300.0","86,849.0","89,307.0","90,902.0","92,560.0","95,238.0","103,630.0","110,142.0","114,544.0","115,652.0","117,823.0","118,892.0","122,710.0","128,696.0","134,901.0","143,153.0","157,338.0","172,994.0","180,130.0","186,598.0","205,016.0","208,572.0","228,368.0","255,621.0","260,887.0","272,667.0","283,231.0","277,973.0","276,068.0","281,139.0","282,913.0","295,788.0","307,193.0","313,846.0","332,572.0","348,301.0","349,719.0","349,314.0","346,852.0","344,479.0","351,525.0","366,350.0","367,167.0","366,440.0","360,847.0","359,876.0","366,111.0","373,116.0","378,920.0","386,321.0","383,635.0","396,874.0","412,119.0","432,855.0","442,511.0","449,238.0","446,037.0","451,016.0","449,336.0","446,964.0","452,927.0","424,187.0","410,283.0","407,276.0","392,277.0","387,767.0","385,595.0","379,087.0","382,439.0","382,510.0","375,071.0","367,505.0","360,365.0","358,476.0","361,804.0","364,929.0","378,585.0","383,136.0","376,596.0","373,143.0","373,098.0","370,251.0","378,505.0","384,668.0","393,966.0","403,778.0","409,877.0","415,972.0","429,123.0","460,739.0","479,552.0","489,026.0","482,085.0","473,184.0","478,725.0","490,329.0","509,597.0","547,128.0","565,329.0","573,339.0","574,138.0","577,426.0","575,540.0","564,782.0","548,029.0","521,344.0","490,507.0","475,465.0","474,827.0","487,988.0","477,920.0","458,863.0","439,937.0","409,588.0","398,518.0","394,372.0","411,487.0","460,418.0","481,251.0","516,471.0","528,907.0","553,133.0","571,070.0","583,516.0","616,059.0","634,180.0","639,890.0","682,085.0","697,627.0","691,708.0","689,150.0","676,808.0","715,932.0","671,070.0","561,984.0","514,392.0","506,120.0","503,331.0","482,712.0","483,575.0","487,975.0","493,548.0","465,639.0","493,433.0","499,625.0","524,982.0","530,701.0","553,057.0","502,181.0","526,066.0","505,229.0","504,645.0","518,251.0","555,587.0","535,859.0","515,799.0","521,876.0","561,257.0","506,631.0","508,316.0","524,002.0"
"41","21","  Business current transfer payments (net)","B029RC1","4,716.0","4,827.0","4,837.0","4,812.0","4,617.0","4,463.0","4,225.0","4,123.0","4,131.0","4,104.0","4,153.0","4,240.0","4,540.0","4,695.0","4,874.0","5,007.0","5,576.0","5,889.0","5,647.0","5,848.0","6,298.0","6,570.0","6,972.0","7,312.0","8,356.0","9,097.0","9,276.0","9,415.0","9,549.0","9,394.0","9,050.0","8,551.0","8,160.0","7,823.0","8,029.0","8,312.0","9,352.0","10,034.0","10,731.0","11,379.0","12,282.0","12,699.0","12,958.0","13,069.0","13,159.0","13,392.0","13,709.0","15,728.0","16,441.0","16,559.0","17,105.0","17,547.0","18,640.0","19,151.0","19,520.0","19,953.0","20,300.0","20,905.0","21,883.0","23,636.0","26,684.0","28,647.0","30,140.0","31,161.0","32,203.0","38,146.0","32,787.0","33,104.0","42,051.0","34,517.0","33,249.0","34,028.0","34,013.0","34,352.0","32,482.0","32,328.0","31,116.0","31,674.0","33,165.0","35,064.0","37,232.0","37,664.0","39,129.0","39,038.0","39,374.0","38,969.0","38,872.0","39,501.0","39,752.0","38,654.0","38,482.0","38,666.0","38,624.0","38,362.0","38,879.0","43,011.0","40,205.0","39,303.0","38,701.0","39,347.0","40,709.0","39,701.0","41,264.0","41,180.0","43,616.0","44,899.0","45,834.0","45,510.0","46,812.0","48,199.0","48,927.0","66,659.0","46,901.0","47,356.0","53,498.0","52,490.0","58,940.0","60,415.0","62,614.0","74,347.0","65,241.0","66,388.0","67,863.0","71,765.0","79,077.0","83,277.0","87,208.0","91,698.0","98,485.0","100,489.0","100,127.0","97,483.0","87,767.0","81,411.0","77,489.0","75,983.0","77,740.0","76,370.0","75,946.0","74,979.0","77,841.0","79,467.0","78,523.0","89,568.0","94,525.0","97,437.0","92,968.0","90,703.0","80,803.0","79,107.0","84,029.0","86,425.0","101,484.0","98,804.0","99,635.0","94,317.0","112,304.0","109,801.0","108,121.0","127,254.0","125,024.0","135,235.0","117,735.0","121,513.0","129,320.0","126,495.0","131,081.0","126,962.0","142,637.0","127,912.0","130,967.0","124,584.0","117,577.0","107,850.0","97,180.0","96,029.0","108,948.0","115,908.0","116,234.0","136,453.0","110,003.0","111,955.0","168,493.0","118,730.0","115,649.0","124,948.0","121,198.0","207,065.0"
