"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"20","2","Less: Exports of goods and services","A020RX1","40,492.0","33,466.0","27,812.0","21,795.0","21,929.0","24,375.0","25,701.0","27,000.0","34,008.0","33,635.0","35,505.0","40,391.0","41,410.0","27,342.0","23,046.0","24,754.0","34,688.0","74,932.0","85,439.0","67,293.0","66,670.0","58,379.0","71,537.0","68,443.0","63,857.0","66,949.0","74,098.0","86,330.0","93,857.0","81,168.0","89,534.0","105,064.0","105,622.0","110,950.0","118,883.0","132,886.0","136,603.0","146,047.0","149,386.0","161,175.0","169,036.0"
"21","3","Plus: Imports of goods and services","A021RX1","52,654.0","45,801.0","39,952.0","33,148.0","34,534.0","35,282.0","46,226.0","45,694.0","51,419.0","39,966.0","41,972.0","42,988.0","52,856.0","47,992.0","60,513.0","63,331.0","67,340.0","55,812.0","52,992.0","61,833.0","59,647.0","70,500.0","73,270.0","79,718.0","87,211.0","82,912.0","92,902.0","100,444.0","104,661.0","109,633.0","121,170.0","122,782.0","121,959.0","135,799.0","139,460.0","146,870.0","162,503.0","186,653.0","200,252.0","230,094.0","243,205.0"
"22","4","Equals: Gross domestic purchases","A712RX1","1,076,771.0","987,984.0","926,830.0","809,009.0","799,724.0","883,439.0","969,904.0","1,092,618.0","1,143,268.0","1,095,277.0","1,182,710.0","1,281,652.0","1,520,359.0","1,828,509.0","2,160,864.0","2,331,505.0","2,293,907.0","1,944,909.0","1,901,737.0","2,026,545.0","2,013,696.0","2,218,507.0","2,379,824.0","2,491,289.0","2,625,654.0","2,600,607.0","2,787,173.0","2,836,634.0","2,889,832.0","2,893,702.0","3,093,530.0","3,151,324.0","3,230,753.0","3,436,814.0","3,579,492.0","3,774,770.0","4,033,758.0","4,313,354.0","4,441,555.0","4,673,320.0","4,821,778.0"
"23","5","Less: Change in private inventories","A014RX1","11,353.0","-5,022.0","-11,655.0","-26,247.0","-13,444.0","-6,433.0","8,339.0","8,548.0","14,284.0","-3,360.0","1,711.0","17,758.0","29,072.0","11,327.0","-3,978.0","-4,725.0","-8,869.0","28,008.0","-3,924.0","21,290.0","-11,233.0","21,234.0","29,461.0","11,851.0","7,387.0","-7,078.0","17,571.0","13,127.0","3,226.0","-819.0","15,340.0","13,033.0","11,693.0","24,110.0","22,308.0","19,011.0","36,239.0","51,924.0","37,321.0","33,908.0","33,346.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","1,088,274.0","1,017,803.0","960,871.0","854,546.0","829,902.0","905,719.0","970,194.0","1,094,531.0","1,135,004.0","1,109,744.0","1,190,777.0","1,266,876.0","1,490,281.0","1,828,389.0","2,189,414.0","2,362,797.0","2,331,715.0","1,915,733.0","1,930,234.0","2,007,285.0","2,052,470.0","2,201,641.0","2,347,991.0","2,492,971.0","2,635,457.0","2,633,664.0","2,782,431.0","2,840,143.0","2,908,913.0","2,917,913.0","3,094,999.0","3,157,194.0","3,238,870.0","3,428,400.0","3,574,716.0","3,775,894.0","4,012,263.0","4,270,989.0","4,420,608.0","4,658,139.0","4,807,532.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","1,067,510.0","995,442.0","937,714.0","832,292.0","807,417.0","883,690.0","939,031.0","1,062,094.0","1,106,311.0","1,091,648.0","1,171,369.0","1,251,645.0","1,460,768.0","1,771,123.0","2,100,598.0","2,268,860.0","2,253,731.0","1,932,668.0","1,967,730.0","2,001,158.0","2,046,868.0","2,167,094.0","2,328,526.0","2,457,451.0","2,580,541.0","2,588,918.0","2,733,949.0","2,800,521.0","2,874,668.0","2,858,560.0","3,031,905.0","3,114,104.0","3,195,718.0","3,374,428.0","3,525,346.0","3,734,813.0","3,955,174.0","4,196,906.0","4,334,063.0","4,553,371.0","4,697,682.0"
"27","8","  Final sales to private domestic purchasers \1\","LB0000031","926,409.0","850,406.0","792,064.0","694,936.0","675,474.0","733,408.0","791,141.0","887,826.0","933,655.0","897,091.0","960,131.0","1,026,777.0","1,111,341.0","1,019,415.0","1,023,656.0","1,065,219.0","1,155,400.0","1,378,182.0","1,442,334.0","1,494,658.0","1,502,135.0","1,633,997.0","1,640,235.0","1,679,370.0","1,769,544.0","1,805,914.0","1,958,348.0","2,009,284.0","2,045,352.0","2,032,974.0","2,179,056.0","2,231,949.0","2,271,753.0","2,400,204.0","2,516,354.0","2,682,431.0","2,874,877.0","3,041,013.0","3,106,386.0","3,293,032.0","3,431,133.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
