"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"26","7","      Recreational goods and vehicles","DREQRX1","105,317.0","110,333.0","115,722.0","121,013.0","128,519.0","130,169.0","133,360.0","136,137.0","138,161.0","141,899.0","144,888.0","151,863.0","157,112.0","159,357.0","161,397.0","164,740.0","167,480.0","175,943.0","187,619.0","195,297.0","200,794.0","206,231.0","212,565.0","217,717.0","227,723.0","236,189.0","240,097.0","246,538.0","261,175.0","263,603.0","269,375.0","281,000.0","286,066.0","293,508.0","304,723.0","311,590.0","308,154.0","318,108.0","312,767.0","295,939.0","298,585.0","294,740.0","305,759.0","316,017.0","324,073.0","333,828.0","340,970.0","348,343.0","357,850.0","364,947.0","373,747.0","384,102.0","399,151.0","407,996.0","418,091.0","427,797.0","440,558.0","446,924.0","453,547.0","458,012.0","460,548.0","475,439.0","490,103.0","500,426.0","508,154.0","518,619.0","531,424.0","546,637.0"
"27","8","      Other durable goods","DODGRX1","102,032.0","103,403.0","106,508.0","111,979.0","112,550.0","116,150.0","116,813.0","116,075.0","114,495.0","111,745.0","110,988.0","114,444.0","117,372.0","119,371.0","120,239.0","122,541.0","122,724.0","128,563.0","134,538.0","138,700.0","142,074.0","141,313.0","142,603.0","145,103.0","149,543.0","152,350.0","152,976.0","158,434.0","163,838.0","163,156.0","163,951.0","166,763.0","167,661.0","172,113.0","174,619.0","174,392.0","170,591.0","169,746.0","167,615.0","158,034.0","156,921.0","157,765.0","158,909.0","159,102.0","162,206.0","162,489.0","165,418.0","169,391.0","171,255.0","173,761.0","176,247.0","174,505.0","176,953.0","178,395.0","181,678.0","184,803.0","185,781.0","185,670.0","185,580.0","189,274.0","189,802.0","192,943.0","193,271.0","195,721.0","196,792.0","200,855.0","203,337.0","208,705.0"
"28","9","    Nondurable goods","DNDGRX1","1,780,218.0","1,796,766.0","1,805,080.0","1,841,834.0","1,825,701.0","1,862,049.0","1,874,305.0","1,892,339.0","1,881,040.0","1,889,822.0","1,898,574.0","1,914,659.0","1,921,736.0","1,922,707.0","1,927,430.0","1,952,556.0","1,965,967.0","1,980,296.0","2,016,969.0","2,030,935.0","2,046,289.0","2,052,617.0","2,068,522.0","2,087,172.0","2,114,017.0","2,123,202.0","2,127,909.0","2,164,197.0","2,182,086.0","2,189,304.0","2,200,274.0","2,237,006.0","2,241,568.0","2,237,132.0","2,240,189.0","2,238,413.0","2,226,156.0","2,241,750.0","2,212,166.0","2,178,566.0","2,180,158.0","2,164,376.0","2,172,498.0","2,183,471.0","2,201,628.0","2,212,076.0","2,225,986.0","2,254,452.0","2,265,077.0","2,265,580.0","2,259,731.0","2,262,357.0","2,273,860.0","2,275,881.0","2,281,098.0","2,279,352.0","2,306,270.0","2,310,411.0","2,323,804.0","2,338,853.0","2,341,286.0","2,361,019.0","2,375,204.0","2,393,674.0","2,397,815.0","2,422,993.0","2,447,867.0","2,456,833.0"
"29","10","      Food and beverages purchased for off-premises consumption","DFXARX1","657,368.0","664,160.0","670,148.0","680,818.0","674,406.0","684,742.0","686,015.0","693,031.0","690,910.0","695,842.0","693,794.0","695,352.0","692,995.0","694,443.0","697,314.0","703,373.0","708,922.0","707,928.0","718,735.0","717,442.0","724,510.0","725,121.0","730,823.0","738,611.0","749,982.0","752,813.0","759,337.0","768,319.0","771,637.0","779,102.0","780,806.0","791,738.0","793,152.0","789,122.0","789,788.0","793,064.0","789,279.0","792,690.0","782,239.0","763,257.0","761,448.0","767,189.0","771,896.0","779,300.0","786,130.0","780,569.0","783,831.0","795,354.0","797,522.0","797,115.0","793,899.0","792,043.0","794,564.0","795,181.0","795,896.0","797,005.0","802,818.0","799,369.0","803,806.0","807,764.0","808,832.0","808,497.0","807,123.0","805,680.0","804,078.0","809,510.0","810,075.0","806,619.0"
"30","11","      Clothing and footwear","DCLORX1","240,668.0","242,744.0","244,358.0","244,989.0","248,981.0","254,374.0","257,151.0","259,325.0","255,164.0","256,830.0","256,528.0","260,953.0","263,899.0","263,976.0","262,420.0","270,618.0","269,692.0","276,913.0","283,003.0","283,664.0","290,795.0","287,376.0","290,329.0","296,149.0","300,171.0","306,489.0","305,668.0","314,753.0","316,629.0","314,417.0","317,703.0","321,032.0","323,087.0","322,893.0","325,434.0","324,191.0","321,616.0","331,113.0","324,243.0","312,274.0","308,498.0","302,726.0","305,931.0","308,840.0","315,859.0","321,042.0","321,801.0","331,955.0","334,840.0","338,048.0","332,855.0","335,431.0","340,970.0","335,564.0","341,030.0","337,903.0","342,563.0","344,787.0","342,696.0","343,800.0","341,273.0","347,153.0","349,463.0","355,753.0","354,812.0","360,507.0","361,685.0","363,205.0"
"31","12","      Gasoline and other energy goods","DGOERX1","299,488.0","305,757.0","301,565.0","302,474.0","290,983.0","295,950.0","296,593.0","294,216.0","294,966.0","290,628.0","295,398.0","295,615.0","293,942.0","296,397.0","297,524.0","297,910.0","294,844.0","293,973.0","297,378.0","300,837.0","299,788.0","300,271.0","298,364.0","298,738.0","304,202.0","296,762.0","292,330.0","298,692.0","296,252.0","294,056.0","296,101.0","303,307.0","301,631.0","297,659.0","295,463.0","292,599.0","290,164.0","285,759.0","275,861.0","281,827.0","291,862.0","284,742.0","282,297.0","279,098.0","279,326.0","282,543.0","284,191.0","282,822.0","280,155.0","273,070.0","272,692.0","271,463.0","267,052.0","272,860.0","272,371.0","267,766.0","272,194.0","274,348.0","275,749.0","276,615.0","276,274.0","274,896.0","275,127.0","280,766.0","284,807.0","284,482.0","288,132.0","287,915.0"
"32","13","      Other nondurable goods","DONGRX1","596,017.0","599,230.0","601,932.0","626,123.0","618,857.0","634,054.0","640,738.0","650,819.0","646,455.0","651,524.0","658,886.0","667,322.0","673,774.0","671,748.0","674,635.0","682,835.0","693,778.0","700,677.0","716,141.0","727,595.0","728,404.0","737,655.0","746,132.0","750,186.0","756,258.0","762,684.0","766,780.0","777,918.0","793,810.0","799,046.0","802,717.0","817,797.0","820,779.0","825,101.0","827,531.0","827,194.0","823,730.0","833,296.0","834,300.0","821,943.0","818,972.0","809,401.0","811,931.0","816,373.0","821,028.0","828,417.0","836,621.0","845,831.0","855,110.0","862,872.0","865,468.0","869,382.0","880,066.0","878,501.0","878,596.0","885,512.0","897,071.0","899,656.0","909,379.0","918,904.0","923,324.0","940,600.0","954,372.0","961,651.0","964,055.0","978,632.0","998,278.0","1,009,559.0"
"33","14","  Services","DSERRX1","5,245,389.0","5,297,451.0","5,356,195.0","5,427,430.0","5,510,763.0","5,577,287.0","5,629,228.0","5,679,888.0","5,709,575.0","5,723,745.0","5,733,702.0","5,756,818.0","5,791,933.0","5,825,165.0","5,848,159.0","5,887,428.0","5,909,399.0","5,942,311.0","5,986,872.0","6,028,993.0","6,083,984.0","6,126,762.0","6,177,086.0","6,238,426.0","6,271,489.0","6,331,814.0","6,388,449.0","6,421,912.0","6,464,403.0","6,511,278.0","6,541,209.0","6,589,501.0","6,623,820.0","6,644,894.0","6,673,418.0","6,683,577.0","6,710,521.0","6,715,490.0","6,708,062.0","6,700,304.0","6,662,509.0","6,639,488.0","6,642,706.0","6,649,398.0","6,670,610.0","6,710,336.0","6,743,979.0","6,785,643.0","6,811,987.0","6,839,240.0","6,876,640.0","6,877,739.0","6,898,047.0","6,905,967.0","6,909,712.0","6,918,754.0","6,931,443.0","6,956,829.0","6,978,141.0","7,041,709.0","7,065,672.0","7,108,528.0","7,163,844.0","7,240,386.0","7,277,393.0","7,325,326.0","7,363,376.0","7,400,313.0"
"34","15","    Household consumption expenditures (for services)","DHCERX1","5,108,068.0","5,159,012.0","5,216,795.0","5,286,215.0","5,363,834.0","5,429,973.0","5,474,635.0","5,519,394.0","5,548,089.0","5,557,575.0","5,563,566.0","5,581,933.0","5,612,964.0","5,639,596.0","5,653,063.0","5,686,527.0","5,708,416.0","5,737,980.0","5,781,754.0","5,823,742.0","5,875,141.0","5,918,994.0","5,970,277.0","6,032,092.0","6,073,180.0","6,127,909.0","6,183,445.0","6,204,812.0","6,237,802.0","6,276,049.0","6,301,551.0","6,351,754.0","6,385,121.0","6,409,527.0","6,434,137.0","6,432,120.0","6,451,724.0","6,446,232.0","6,430,148.0","6,412,289.0","6,383,430.0","6,366,600.0","6,369,522.0","6,370,484.0","6,391,466.0","6,428,732.0","6,466,500.0","6,510,678.0","6,539,342.0","6,565,757.0","6,596,541.0","6,602,132.0","6,616,889.0","6,611,671.0","6,614,688.0","6,614,035.0","6,633,844.0","6,661,268.0","6,679,288.0","6,737,253.0","6,762,640.0","6,804,246.0","6,856,181.0","6,934,910.0","6,977,604.0","7,024,304.0","7,052,375.0","7,084,536.0"
"35","16","      Housing and utilities","DHUTRX1","1,531,197.0","1,546,073.0","1,562,209.0","1,562,348.0","1,570,511.0","1,592,101.0","1,606,656.0","1,632,833.0","1,641,322.0","1,639,633.0","1,646,294.0","1,644,905.0","1,644,706.0","1,651,617.0","1,654,422.0","1,664,544.0","1,668,048.0","1,673,011.0","1,675,315.0","1,687,556.0","1,698,335.0","1,710,582.0","1,720,338.0","1,742,366.0","1,760,857.0","1,782,259.0","1,802,123.0","1,808,224.0","1,803,771.0","1,824,542.0","1,835,961.0","1,828,474.0","1,837,500.0","1,840,125.0","1,845,439.0","1,840,048.0","1,854,624.0","1,860,228.0","1,854,743.0","1,870,817.0","1,874,043.0","1,877,955.0","1,881,417.0","1,890,556.0","1,897,157.0","1,896,528.0","1,906,495.0","1,916,842.0","1,918,306.0","1,924,406.0","1,937,367.0","1,931,909.0","1,915,992.0","1,933,564.0","1,939,510.0","1,927,531.0","1,938,507.0","1,938,837.0","1,933,031.0","1,944,951.0","1,966,475.0","1,959,982.0","1,954,788.0","1,963,456.0","1,980,542.0","1,976,707.0","1,980,675.0","1,973,857.0"
"36","17","      Health care","DHLCRX1","1,167,289.0","1,171,920.0","1,181,428.0","1,192,613.0","1,199,568.0","1,215,413.0","1,223,682.0","1,236,585.0","1,254,419.0","1,268,636.0","1,287,347.0","1,307,909.0","1,333,862.0","1,353,259.0","1,363,879.0","1,371,309.0","1,379,637.0","1,386,684.0","1,397,204.0","1,406,561.0","1,416,198.0","1,432,786.0","1,453,037.0","1,467,043.0","1,473,802.0","1,483,295.0","1,501,563.0","1,503,115.0","1,511,958.0","1,519,805.0","1,527,960.0","1,541,257.0","1,549,487.0","1,556,273.0","1,570,401.0","1,576,769.0","1,593,680.0","1,596,752.0","1,600,080.0","1,604,790.0","1,616,025.0","1,628,555.0","1,634,899.0","1,630,042.0","1,626,026.0","1,640,900.0","1,657,072.0","1,672,761.0","1,680,036.0","1,688,193.0","1,687,178.0","1,705,950.0","1,728,325.0","1,723,444.0","1,728,198.0","1,727,923.0","1,723,025.0","1,739,796.0","1,748,989.0","1,763,676.0","1,753,954.0","1,778,517.0","1,801,016.0","1,832,923.0","1,853,761.0","1,867,535.0","1,884,046.0","1,901,481.0"
"37","18","      Transportation services","DTRSRX1","310,529.0","314,364.0","320,654.0","324,309.0","328,635.0","332,272.0","334,500.0","335,721.0","336,180.0","334,717.0","328,462.0","322,770.0","323,324.0","320,300.0","319,786.0","319,871.0","321,660.0","320,561.0","323,811.0","325,761.0","329,028.0","331,804.0","331,776.0","333,485.0","333,905.0","334,982.0","335,934.0","333,987.0","333,245.0","335,219.0","335,063.0","338,587.0","340,306.0","340,336.0","338,947.0","336,445.0","332,118.0","326,510.0","319,565.0","306,938.0","296,540.0","291,074.0","286,952.0","284,213.0","284,593.0","286,171.0","288,039.0","289,634.0","290,180.0","293,497.0","295,983.0","296,857.0","293,920.0","300,051.0","301,979.0","300,836.0","304,462.0","308,043.0","311,153.0","311,136.0","317,420.0","320,557.0","326,152.0","331,279.0","334,003.0","339,767.0","342,865.0","345,010.0"
