"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"33","14","  Change in private inventories","A014DX1","-25,287.0","-4,967.0","5,522.0","-48,226.0","-44,937.0","-7,068.0","-2,444.0","25,532.0","81,308.0","76,439.0","79,804.0","50,251.0","15,531.0","22,766.0","19,139.0","35,205.0","31,229.0","15,194.0","-8,726.0","-7,391.0","33,667.0","18,878.0","-1,627.0","70,920.0","15,591.0","21,631.0","17,998.0","24,724.0","48,868.0","37,426.0","10,342.0","15,009.0","13,769.0","34,488.0","22,579.0","-10,611.0","-16,765.0","-19,890.0","839.0","29,224.0","2,212.0","21,251.0","19,490.0","22,358.0","38,595.0","26,041.0","1,725.0","14,480.0","45,885.0","82,836.0","51,721.0","72,682.0","60,783.0","34,683.0","7,888.0","12,686.0","1,709.0","24,887.0","54,967.0","32,038.0","43,150.0","94,756.0","67,899.0","78,939.0","107,350.0","41,670.0","56,548.0","59,644.0","81,853.0","38,001.0","43,232.0","90,244.0","19,823.0","91,255.0","57,671.0","53,611.0","-31,807.0","-10,748.0","-30,969.0","-81,752.0","-3,228.0","22,225.0","27,215.0","29,463.0"
"34","15","Net exports of goods and services","A019DX1","-12,595.0","-5,426.0","-34,115.0","-34,736.0","-37,458.0","-61,795.0","-84,916.0","-97,631.0","-123,434.0","-133,852.0","-138,519.0","-145,480.0","-134,152.0","-157,676.0","-157,770.0","-166,958.0","-155,978.0","-173,565.0","-180,054.0","-170,897.0","-167,400.0","-165,604.0","-159,622.0","-157,543.0","-131,684.0","-112,766.0","-117,188.0","-120,734.0","-109,311.0","-90,717.0","-84,681.0","-87,741.0","-84,383.0","-76,524.0","-69,788.0","-48,044.0","-37,644.0","-27,733.0","-31,136.0","-31,568.0","-25,155.0","-35,546.0","-32,698.0","-45,554.0","-58,985.0","-65,788.0","-76,966.0","-85,207.0","-96,226.0","-102,177.0","-98,535.0","-104,978.0","-109,279.0","-106,892.0","-76,663.0","-76,437.0","-95,540.0","-102,702.0","-126,362.0","-92,937.0","-118,122.0","-116,238.0","-133,516.0","-158,716.0","-196,515.0","-234,071.0","-254,645.0","-258,339.0","-300,780.0","-327,404.0","-347,317.0","-355,253.0","-395,283.0","-409,219.0","-434,206.0","-443,013.0","-434,432.0","-425,377.0","-446,685.0","-457,819.0","-478,945.0","-497,868.0","-513,004.0","-559,090.0"
"35","16","  Exports","A020DX1","311,628.0","313,500.0","299,608.0","285,888.0","290,508.0","291,385.0","295,774.0","301,733.0","308,039.0","315,696.0","322,665.0","329,216.0","330,067.0","329,355.0","324,563.0","334,277.0","344,795.0","348,531.0","356,505.0","369,794.0","370,063.0","385,264.0","401,960.0","416,948.0","440,116.0","452,459.0","461,379.0","475,459.0","489,649.0","511,080.0","516,296.0","524,109.0","546,872.0","553,674.0","557,865.0","562,777.0","566,215.0","586,859.0","600,752.0","614,279.0","625,384.0","625,687.0","638,959.0","642,181.0","643,640.0","651,354.0","649,619.0","670,569.0","677,157.0","700,022.0","726,223.0","742,984.0","757,289.0","767,906.0","801,141.0","812,588.0","822,386.0","835,767.0","842,533.0","895,065.0","912,076.0","948,542.0","970,514.0","969,160.0","973,694.0","962,948.0","958,478.0","993,957.0","969,821.0","979,700.0","1,008,482.0","1,033,926.0","1,049,650.0","1,080,290.0","1,106,782.0","1,097,136.0","1,080,075.0","1,044,386.0","993,615.0","962,551.0","982,234.0","1,009,131.0","1,016,325.0","1,002,568.0"
"36","17","    Goods","A253DX1","226,404.0","229,028.0","216,883.0","206,120.0","210,128.0","208,724.0","212,594.0","218,506.0","218,818.0","223,129.0","231,126.0","237,185.0","236,754.0","235,130.0","231,837.0","238,509.0","238,736.0","244,227.0","248,644.0","261,420.0","259,641.0","272,069.0","285,742.0","296,483.0","315,630.0","324,669.0","329,677.0","341,988.0","349,022.0","367,790.0","370,796.0","374,294.0","392,000.0","395,876.0","399,665.0","399,589.0","409,637.0","418,442.0","428,066.0","437,519.0","447,847.0","447,607.0","461,186.0","464,593.0","462,556.0","468,515.0","464,859.0","484,452.0","484,736.0","503,707.0","529,976.0","542,171.0","555,870.0","563,203.0","587,068.0","594,252.0","605,475.0","612,946.0","625,966.0","660,835.0","681,304.0","715,991.0","735,718.0","735,128.0","739,534.0","719,436.0","719,911.0","751,659.0","739,431.0","749,903.0","769,419.0","794,175.0","809,697.0","834,135.0","864,770.0","852,922.0","840,247.0","806,710.0","762,281.0","745,435.0","744,097.0","770,247.0","775,229.0","757,400.0"
"37","18","    Services","A646DX1","83,969.0","82,707.0","81,782.0","79,154.0","79,559.0","82,450.0","82,726.0","82,219.0","89,538.0","93,242.0","91,266.0","91,403.0","93,008.0","94,209.0","92,703.0","95,789.0","107,121.0","104,990.0","108,691.0","108,851.0","111,123.0","113,719.0","116,538.0","120,774.0","124,423.0","127,682.0","131,823.0","133,206.0","140,892.0","143,009.0","145,334.0","149,934.0","154,840.0","157,874.0","158,208.0","163,448.0","156,415.0","168,557.0","172,822.0","176,872.0","177,557.0","178,077.0","177,757.0","177,587.0","181,055.0","182,831.0","184,707.0","186,186.0","192,364.0","196,314.0","196,421.0","200,986.0","201,647.0","204,925.0","214,290.0","218,522.0","217,227.0","223,018.0","217,212.0","234,553.0","231,757.0","234,234.0","236,825.0","236,129.0","236,423.0","244,391.0","239,888.0","244,283.0","233,072.0","233,049.0","241,838.0","243,698.0","244,706.0","251,238.0","249,394.0","250,614.0","246,245.0","242,656.0","234,967.0","222,110.0","239,692.0","241,733.0","243,852.0","246,335.0"
"38","19","  Imports","A021DX1","324,224.0","318,926.0","333,723.0","320,624.0","327,966.0","353,180.0","380,690.0","399,365.0","431,473.0","449,548.0","461,183.0","474,696.0","464,219.0","487,030.0","482,333.0","501,235.0","500,773.0","522,096.0","536,560.0","540,691.0","537,463.0","550,867.0","561,582.0","574,491.0","571,801.0","565,225.0","578,567.0","596,192.0","598,960.0","601,797.0","600,977.0","611,851.0","631,255.0","630,198.0","627,653.0","610,820.0","603,859.0","614,592.0","631,888.0","645,846.0","650,538.0","661,233.0","671,657.0","687,735.0","702,625.0","717,141.0","726,586.0","755,776.0","773,383.0","802,199.0","824,758.0","847,963.0","866,568.0","874,798.0","877,804.0","889,025.0","917,926.0","938,469.0","968,895.0","988,002.0","1,030,199.0","1,064,781.0","1,104,029.0","1,127,876.0","1,170,209.0","1,197,018.0","1,213,123.0","1,252,296.0","1,270,601.0","1,307,104.0","1,355,799.0","1,389,179.0","1,444,933.0","1,489,509.0","1,540,987.0","1,540,149.0","1,514,506.0","1,469,764.0","1,440,300.0","1,420,369.0","1,461,179.0","1,506,999.0","1,529,329.0","1,561,658.0"
"39","20","    Goods","A255DX1","258,393.0","251,168.0","265,626.0","251,571.0","259,101.0","280,666.0","304,706.0","321,749.0","345,354.0","359,480.0","367,010.0","376,526.0","364,741.0","386,226.0","384,864.0","403,152.0","400,024.0","425,349.0","434,256.0","437,104.0","430,139.0","438,750.0","449,285.0","457,217.0","455,794.0","451,258.0","462,459.0","477,786.0","479,233.0","481,223.0","478,241.0","488,152.0","502,661.0","500,790.0","497,187.0","482,315.0","479,343.0","487,294.0","506,578.0","518,714.0","526,134.0","539,135.0","550,100.0","564,338.0","579,617.0","592,761.0","600,292.0","625,165.0","640,566.0","668,915.0","692,081.0","716,473.0","730,287.0","740,360.0","741,945.0","750,290.0","776,985.0","796,529.0","823,533.0","843,565.0","879,899.0","913,361.0","946,575.0","967,801.0","1,003,466.0","1,027,019.0","1,038,932.0","1,077,497.0","1,110,928.0","1,149,564.0","1,194,260.0","1,223,301.0","1,271,641.0","1,308,071.0","1,352,931.0","1,357,862.0","1,333,248.0","1,281,810.0","1,257,454.0","1,247,167.0","1,270,541.0","1,324,588.0","1,348,429.0","1,367,621.0"
"40","21","    Services","B656DX1","65,927.0","68,666.0","68,305.0","70,198.0","69,556.0","72,840.0","75,809.0","76,959.0","85,961.0","89,987.0","94,488.0","98,747.0","100,838.0","101,329.0","97,503.0","97,607.0","100,685.0","96,108.0","101,800.0","103,124.0","107,200.0","112,235.0","112,185.0","117,456.0","116,106.0","113,978.0","116,043.0","118,177.0","119,574.0","120,452.0","122,986.0","123,785.0","128,833.0","129,760.0","130,930.0","129,064.0","124,837.0","127,616.0","125,422.0","127,214.0","124,423.0","122,077.0","121,548.0","123,408.0","123,056.0","124,454.0","126,363.0","130,693.0","132,909.0","133,495.0","133,012.0","132,010.0","136,786.0","135,027.0","136,409.0","139,220.0","141,543.0","142,675.0","146,197.0","145,640.0","151,577.0","153,206.0","159,274.0","162,073.0","168,795.0","172,160.0","175,977.0","177,319.0","165,275.0","164,740.0","169,347.0","173,760.0","181,369.0","189,244.0","196,078.0","191,350.0","189,781.0","193,842.0","188,863.0","180,677.0","195,404.0","190,640.0","190,272.0","201,445.0"
"41","22","Government consumption expenditures and gross investment","A822DX1","974,314.0","980,676.0","986,847.0","1,002,612.0","1,012,213.0","1,022,424.0","1,039,200.0","1,021,799.0","1,033,756.0","1,056,916.0","1,065,656.0","1,086,005.0","1,099,064.0","1,124,644.0","1,151,081.0","1,154,857.0","1,164,491.0","1,188,204.0","1,215,306.0","1,208,220.0","1,215,861.0","1,226,910.0","1,229,752.0","1,244,679.0","1,236,269.0","1,240,686.0","1,241,565.0","1,264,901.0","1,259,170.0","1,279,772.0","1,290,492.0","1,297,439.0","1,317,837.0","1,321,035.0","1,320,265.0","1,332,383.0","1,338,901.0","1,343,633.0","1,338,686.0","1,333,595.0","1,343,937.0","1,342,205.0","1,349,124.0","1,346,218.0","1,330,953.0","1,332,440.0","1,335,266.0","1,338,153.0","1,321,609.0","1,329,347.0","1,351,680.0","1,339,490.0","1,342,236.0","1,349,270.0","1,345,578.0","1,333,482.0","1,336,265.0","1,357,672.0","1,359,104.0","1,369,054.0","1,368,713.0","1,382,939.0","1,385,188.0","1,387,233.0","1,379,193.0","1,407,202.0","1,420,000.0","1,432,988.0","1,438,186.0","1,446,219.0","1,463,229.0","1,484,927.0","1,472,727.0","1,490,671.0","1,487,593.0","1,492,201.0","1,514,388.0","1,544,205.0","1,543,123.0","1,565,594.0","1,588,732.0","1,603,960.0","1,616,380.0","1,627,909.0"
"42","23","  Federal","A823DX1","436,328.0","440,600.0","446,350.0","457,475.0","464,692.0","475,164.0","486,702.0","470,189.0","475,276.0","490,407.0","490,112.0","504,029.0","509,792.0","524,388.0","540,820.0","540,214.0","539,127.0","556,112.0","576,631.0","567,851.0","572,136.0","581,433.0","582,116.0","588,373.0","573,448.0","569,824.0","567,682.0","582,669.0","571,797.0","584,661.0","588,742.0","586,380.0","595,876.0","597,674.0","592,014.0","595,801.0","601,152.0","602,834.0","593,579.0","583,375.0","584,277.0","583,699.0","590,382.0","588,061.0","570,387.0","565,739.0","564,600.0","563,839.0","544,159.0","543,056.0","556,216.0","540,957.0","537,434.0","538,175.0","533,766.0","517,575.0","521,888.0","531,543.0","525,533.0","522,926.0","514,046.0","524,910.0","523,727.0","522,345.0","507,549.0","520,012.0","516,834.0","522,814.0","517,904.0","520,506.0","529,674.0","540,135.0","520,109.0","538,349.0","529,355.0","526,543.0","538,005.0","548,595.0","553,240.0","557,570.0","571,406.0","584,835.0","594,065.0","604,832.0"
"43","24","    National defense","A824DX1","300,132.0","308,649.0","313,615.0","320,615.0","323,361.0","332,637.0","335,129.0","342,118.0","344,031.0","349,082.0","348,713.0","361,354.0","364,498.0","376,994.0","391,583.0","393,465.0","391,432.0","406,927.0","423,225.0","410,808.0","417,888.0","429,071.0","435,095.0","433,117.0","427,964.0","426,887.0","423,881.0","432,159.0","419,059.0","428,429.0","431,956.0","427,271.0","430,650.0","430,064.0","422,116.0","428,268.0","431,964.0","432,001.0","422,210.0","408,094.0","403,886.0","403,430.0","408,945.0","402,612.0","387,355.0","383,963.0","383,020.0","382,765.0","362,978.0","364,926.0","376,702.0","357,858.0","354,505.0","356,283.0","351,153.0","342,266.0","343,231.0","350,733.0","345,774.0","342,676.0","330,140.0","339,206.0","336,794.0","338,714.0","319,348.0","330,740.0","334,546.0","332,061.0","325,622.0","329,031.0","337,900.0","344,503.0","323,917.0","338,043.0","331,453.0","331,499.0","335,979.0","341,651.0","345,393.0","347,778.0","355,548.0","363,938.0","370,111.0","377,705.0"
"44","25","    Nondefense","A825DX1","136,790.0","132,418.0","133,193.0","137,356.0","141,901.0","143,053.0","152,268.0","128,156.0","131,374.0","141,672.0","141,735.0","142,912.0","145,551.0","147,612.0","149,412.0","146,876.0","147,845.0","149,307.0","153,532.0","157,192.0","154,379.0","152,451.0","147,069.0","155,349.0","145,551.0","143,002.0","143,867.0","150,591.0","152,821.0","156,310.0","156,861.0","159,172.0","165,293.0","167,686.0","169,993.0","167,623.0","169,287.0","170,926.0","171,429.0","175,301.0","180,405.0","180,276.0","181,436.0","185,432.0","182,971.0","181,710.0","181,512.0","181,016.0","180,972.0","177,993.0","179,443.0","182,819.0","182,612.0","181,601.0","182,265.0","175,036.0","178,312.0","180,497.0","179,420.0","179,868.0","183,318.0","185,163.0","186,335.0","183,138.0","187,378.0","188,556.0","181,779.0","190,026.0","191,445.0","190,687.0","191,076.0","194,924.0","195,234.0","199,412.0","196,995.0","194,209.0","201,074.0","205,940.0","206,861.0","208,786.0","214,795.0","219,814.0","222,876.0","226,058.0"
"45","26","  State and local","A829DX1","540,208.0","542,088.0","542,070.0","546,127.0","548,090.0","546,993.0","551,707.0","552,008.0","558,945.0","566,352.0","575,987.0","581,811.0","589,136.0","599,767.0","609,286.0","613,914.0","625,203.0","631,326.0","637,162.0","639,322.0","642,643.0","644,168.0","646,363.0","655,057.0","662,105.0","670,438.0","673,584.0","681,741.0","687,187.0","694,802.0","701,463.0","710,887.0","721,791.0","723,193.0","728,138.0","736,485.0","737,633.0","740,688.0","745,065.0","750,229.0","759,664.0","758,497.0","758,737.0","758,166.0","760,551.0","766,671.0","770,633.0","774,273.0","777,366.0","786,188.0","795,366.0","798,378.0","804,651.0","810,952.0","811,668.0","815,790.0","814,251.0","826,006.0","833,399.0","845,887.0","854,346.0","857,764.0","861,179.0","864,582.0","871,168.0","886,734.0","902,537.0","909,552.0","919,462.0","924,869.0","932,804.0","944,140.0","951,351.0","951,579.0","957,107.0","964,282.0","975,175.0","994,369.0","988,974.0","1,006,882.0","1,016,505.0","1,018,717.0","1,022,180.0","1,023,313.0"
"46","27","Residual","A960DX1","-9,500.0","-5,300.0","-17,700.0","-27,800.0","-26,000.0","-27,400.0","-26,900.0","-14,400.0","-10,200.0","-6,300.0","-5,400.0","-4,600.0","-6,500.0","-11,400.0","-10,700.0","-10,400.0","-9,200.0","-11,600.0","-7,900.0","-14,500.0","-16,100.0","-12,900.0","-6,800.0","-10,800.0","-5,000.0","-4,200.0","-1,600.0","-3,200.0","300.0","2,300.0","2,700.0","1,000.0","1,900.0","700.0","100.0","1,000.0","1,500.0","1,500.0","-1,800.0","-200.0","-1,900.0","1,800.0","400.0","-700.0","200.0","300.0","1,200.0","1,200.0","-600.0","-2,000.0","-1,200.0","-2,600.0","-3,600.0","-2,700.0","-700.0","-800.0","-1,500.0","-4,000.0","-4,800.0","-5,600.0","-12,100.0","-15,300.0","-15,900.0","-14,300.0","-17,600.0","-8,700.0","-11,100.0","-22,200.0","-22,000.0","-19,600.0","-23,400.0","-25,500.0","-25,400.0","-33,500.0","-28,600.0","-22,600.0","-11,100.0","-4,000.0","9,100.0","-2,100.0","600.0","4,400.0","-500.0","19,800.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Chained (1992) dollar series are calculated as the product of the chain-type quantity index rebased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","with the reference year 1992 equal to 100 and of the 1992 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
