"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","            Compensation of general government employees","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.4,499.1,531.7,566.2,608.5,645.6,674.6,698.6,721.1,740.3,763.3,788.5,818.4,854.3,903.2,953.7,1023.6,1092.8,1147.7
"12","5","            Consumption of general government fixed capital \2\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.5,10.3,9.2,8.2,7.5,8.1,8.9,9.8,10.4,11,11.9,12.7,12.9,13.5,13.9,14.4,15.3,16.2,16.7,17.4,18.5,19.8,21.1,22.6,24.2,25.5,26.4,27.8,31.6,34.9,37.1,39.7,42.8,46.9,53.1,60.2,66.3,70.2,74.8,79.8,85.7,92.1,98.4,105.3,113.1,120.2,124.8,130.6,135.9,141.4,144.6,148.2,151.9,158.4,166.4,172.7,178.3,183.5,192
"13","6","          Intermediate goods and services purchased \3\","W104RC1",2,2.1,2.1,2,2.3,3.2,3.1,3.7,3.5,4,4.4,4.1,7,18,26.4,30.7,28.5,8,5.8,8.1,10.6,10.6,17.5,23.6,27.2,23.3,23.7,23,27.3,28.6,27.6,26.7,27.9,32.5,34.3,35.3,38,45.2,53.2,59,61.6,61.3,64.9,70.6,73.1,84.5,95.9,101.4,113.5,125.1,141.1,164.4,188.7,208.8,230.9,243.5,274.2,304,314.9,322.3,340.9,365.2,384.3,398.4,406.3,423.6,441.2,458.4,484.4,502.9,547.3,592.8,643.7,700.9,766.6,837.2
"14","7","            Durable goods","W105RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.4,0.4,0.4,1.8,7.4,13.3,13.6,13.8,0.7,0.5,1,1.2,2,4.7,8.3,9.4,7.2,6.3,6.4,7.1,7.5,5.6,4.9,4.2,5.3,5.6,5,5.3,7.5,7.5,8.9,8.1,7.9,6.7,8.1,8.2,8.3,9.5,9.8,12.3,14.4,16.8,18.8,22.9,26.8,33.1,35.8,38.6,42.1,44.7,45.1,44.7,45.1,45.3,43.3,41.8,39,38.2,38.6,39.6,40.8,43,44.1,45.8,47.4,49.4,53.8
"15","8","            Nondurable goods","W106RC1",0.9,1,1,1,1.1,1.5,1.5,1.7,1.6,1.8,2.1,2,2.4,7.5,9.8,11.8,8.7,2.4,2.2,3.2,4.8,3.7,4.6,5.4,8.7,7.6,6.6,4.9,5.5,5.9,8.7,6.9,6.9,8.8,8.4,8.9,9.7,10.9,14.7,17.3,18.4,16.4,16.7,18.1,18.6,23.3,26.7,29.3,33.2,36,41.5,51.2,60.2,59,61.8,59.6,65.1,68.3,66.5,62.3,74.3,80.5,83,85.4,88.6,92,98.1,105.4,110.1,112.1,122.9,145.3,153.7,160,174.2,193.4
"16","9","            Services","W107RC1",1,1,1,0.9,1.1,1.4,1.4,1.6,1.5,1.8,1.9,1.8,2.7,3.2,3.3,5.3,5.9,4.9,3,3.9,4.5,4.9,8.3,9.9,9.1,8.5,10.7,11.7,14.6,15.2,13.3,14.9,16.8,18.4,20.4,21.4,22.9,26.8,31,32.8,35.1,37.1,41.5,44.4,46.3,52.9,59.7,62.4,68.1,74.7,82.9,94.4,105.5,123,135.9,148.1,170.4,193.7,203.8,214.9,221.9,239.6,256,269.6,276,292.6,304.9,314.4,334.7,350,381.4,403.4,444.2,493.5,542.9,590
"17","10","        Less: Own-account investment \4\","W108RC1",0.1,0.1,0.1,0.1,0.6,1.3,1.3,2.6,2,2.7,2.4,2,1.7,1.2,0.4,0.2,0.3,0.1,0.2,0.3,0.3,0.4,0.6,0.8,0.8,0.8,0.7,0.8,0.9,1,1.3,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.8,1.9,2.1,2.2,2.3,2.4,2.7,2.8,2.8,2.7,3.1,3.9,4.5,4.8,5.2,5.7,6.6,7.5,8.1,8.8,9.6,11.2,12.3,13.3,13.7,13.9,14.2,14.8,15,16.2,16.7,17.3,18.1,20.8,21.5,21.6,22.3
"18","11","              Sales to other sectors","W109RC1",0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.8,1.1,1.8,2.7,4.4,4.7,1.7,1.6,1.6,1.9,2.3,2,2.1,2.3,3.2,2.9,3.5,3.9,3.9,4.1,4.4,5,5.6,6.2,7.1,8.3,9,10.3,11.5,12.7,14.4,16.9,19.2,21.4,22.9,25.5,28.9,32.9,38,42.5,48.6,54.3,60.1,64.5,70,75.9,82.1,90,99.8,110.1,122.7,136.3,149.5,162.3,171.5,180.3,188.3,200.5,208.6,227.2,247.7,264.3,284.6,311.2
"19","12","Federal consumption expenditures \1\","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.3,61,60.8,27,20.9,21.2,23.3,22.1,34.4,44.2,48.3,43.9,43.9,45.1,49.5,50.9,50,49.8,51.6,57.8,60.8,62.8,65.7,75.9,87.1,95.4,98.4,98.6,102,107.7,108.9,118,129.6,137.2,150.7,163.3,179,207.5,238.3,263.3,286.5,310,338.4,358.2,374.3,382.5,399.2,419.8,439.5,445.2,441.9,440.8,440.5,446.3,457.7,454.6,475.1,499.3,531.9,591.5,661.9,725.7
"20","13","      Gross output of general government","W110RC1",1.6,1.6,1.6,1.5,2,2.8,2.9,4.9,4.3,4.9,5.3,5.3,10,28,49.6,63,64.6,30.7,21.6,21.7,23.6,22.6,35.2,44.8,48.9,44.6,45.2,45.9,50.7,52.2,51.1,50.8,52.6,58.9,62,64,67,77.6,88.4,96.7,99.8,100,103.5,110,111.7,121.3,132.5,140,154.5,167.9,184.5,213.6,244.5,269.5,292.6,316.6,345.3,365.1,382.1,391.3,408.7,430.1,450.8,456.5,452.9,453.8,451.1,457.4,466.8,464.6,483.6,509.2,541,600.9,671.8,736.2
"21","14","        Value added","W111RC1",1.1,1.1,1.1,1.1,1.4,2,2.1,3.9,3.4,3.9,3.9,4,5.9,12.8,25.7,34.8,38.7,25.5,19.1,17.1,17.3,16.9,22.6,26.1,26.6,26.5,27.6,28.8,29.9,31.1,31.9,33.1,34.4,36.5,38.4,40.7,42.4,47.3,51.7,56.4,60,64.1,67.8,71.6,74,79.6,87.3,93.8,102.1,109.7,117.6,131.3,147.4,161.3,171.3,192.1,205.1,212.6,223.4,234.9,246.6,258.9,275,282.1,286.3,286.2,284.7,288.6,290.9,293.1,300.9,315.4,325.7,352.9,382.6,408.2
"22","15","          Compensation of general government employees","B568RC1",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,211.9,209.8,206.8,210.7,212.9,215.1,221.3,233.8,242.9,269.4,297.7,319.8
"23","16","          Consumption of general government fixed capital \2\","B995RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,2.1,4.7,7.5,8.7,9.3,8.8,7.6,6.6,5.8,6.1,6.8,7.6,8.2,8.6,9.2,9.7,9.8,10.1,10.5,10.7,11.3,11.9,12.2,12.5,13,13.8,14.5,15.2,15.8,16.1,16.2,16.5,17.6,19,20.5,22.1,24,25.8,28.7,32.3,36,39,42.8,46.1,49.6,53.1,56.9,60.9,65.1,69.1,71.4,74.4,76.4,77.9,78,78,78,79.6,81.6,82.8,83.5,84.9,88.4
"24","17","        Intermediate goods and services purchased \3\","W113RC1",0.5,0.5,0.4,0.4,0.7,0.8,0.8,1,0.9,1,1.5,1.3,4.1,15.2,23.9,28.2,25.9,5.3,2.5,4.6,6.4,5.7,12.6,18.7,22.3,18.1,17.7,17.1,20.8,21.1,19.3,17.8,18.2,22.4,23.5,23.3,24.6,30.3,36.8,40.3,39.8,35.9,35.7,38.4,37.7,41.7,45.2,46.2,52.4,58.2,66.9,82.3,97,108.2,121.3,124.5,140.2,152.4,158.7,156.4,162.1,171.2,175.9,174.3,166.6,167.6,166.4,168.8,175.9,171.5,182.7,193.8,215.3,248,289.2,327.9
"25","18","          Durable goods","W114RC1",0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,1.7,7.3,13.2,13.6,13.7,0.6,0.4,0.9,1,1.8,4.5,8.1,9.2,6.9,6.1,6.1,6.7,7.1,5.2,4.5,3.7,4.8,5,4.3,4.6,6.6,6.6,7.8,6.8,6.3,4.8,6,5.7,5.4,6.2,6.1,8.3,10,11.9,13.4,16.8,20.1,25.9,28,30.2,32.8,34.9,34.6,33.3,33.1,32.5,30.1,28,24.6,22.6,22.6,22.7,22.7,24,24,24.4,25.6,27.6,31.3
"26","19","          Nondurable goods","W115RC1",0.1,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.7,0.6,1,6,8.5,10.5,7.5,1.1,0.7,1.5,2.9,1.4,2.4,3.3,6.6,5.5,4.1,2.5,3,2.8,5,3,2.7,4.4,3.8,4,4.3,5.1,8.5,10.4,10.6,7.4,6.5,7.1,6.2,7.8,7.9,8,9,9.7,11.4,17.4,23,20.6,21.9,16.8,19.5,22.6,17.2,10.5,16.6,16.7,17,16.3,15.8,14.5,13.6,14.9,15.7,15.2,14.9,18.9,20.2,22.8,25.8,29.2
"27","20","          Services","W116RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.6,1.4,1.9,2.1,4.1,4.7,3.5,1.4,2.2,2.5,2.4,5.7,7.4,6.5,5.7,7.5,8.5,11.1,11.1,9,10.3,11.8,13.2,14.7,15,15.6,18.6,21.7,22.1,22.4,22.2,24.3,25.3,25.8,28.6,31.1,32.1,35.2,38.4,43.6,51.5,57.2,67.5,73.5,79.6,90.5,97,106.7,111.2,112.2,121.4,126.3,128,122.7,128.5,130.2,131.4,137.5,133.6,143.9,150.9,170.8,199.6,235.8,267.5
"28","21","      Less: Own-account investment \4\","W117RC1",0,0,0,0,0.4,0.4,0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.3,0.2,0.2,0,0,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.2,1.3,1.5,1.7,2,2.3,2.4,2.7,2.9,3.4,3.7,4,4.1,4.2,4,4.1,4,4,4.1,3.8,3.2,4.1,4.5,4.4,4.5
"29","22","            Sales to other sectors","W118RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,1.8,3.6,3.7,0.6,0.4,0.2,0.3,0.6,0.2,0.2,0.3,1,0.5,0.9,0.9,0.7,0.6,0.5,0.6,0.7,0.7,0.8,1.1,0.8,0.8,0.9,0.9,0.9,1.7,2.2,2.8,2.3,2.1,3.1,3.7,4.6,5,4.9,4.6,4.4,4.7,4.6,4.5,5.2,5.8,6,6.6,7.3,7.2,6.8,9,6.5,7.1,5.1,5.8,4.7,6.6,5,4.9,5.5,6
"30","23","    Defense consumption expenditures \1\","A997RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1,1.2,1.7,7.1,25.1,46.8,59.1,59.3,23.7,17.3,16.3,16.9,17.2,30.1,38.9,41.2,37.1,36.9,38.8,43.2,44.1,40.1,41,42.7,46.6,48.3,48.8,50.6,60,70,77.2,78.2,76.6,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.2,208.8,232.9,253.7,268,283.6,293.6,299.5,308.1,319.8,315.3,307.6,300.7,297.3,302.5,304.7,300.7,312.9,321.5,342.4,381.7,436.6,484.2
"31","24","      Gross output of general government","W085RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1.1,1.2,1.7,7.3,25.7,47.8,60.6,62.1,26.4,17.3,16.4,17,17.3,30.6,39.1,41.5,37.3,37.3,39.1,43.7,44.7,40.5,41.5,43.1,47,48.7,49.3,51.2,60.9,70.4,77.4,78.4,76.8,77.3,80.2,80.5,86.1,92.1,96.4,105,113.6,124.8,145,168.9,193.1,210.1,234.6,255.5,269.8,285.8,296,302,311.4,323.2,319.4,311.9,306.7,301,306.6,308.1,303.9,315.9,324.6,345.9,386,441.1,488.8
"32","25","        Value added","W086RC1",0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.4,4.1,11.9,24.7,34,37.6,22.9,16,13.9,13.8,13.2,18.9,22.3,23,23,23.7,24.7,25.5,26.1,26.7,27.4,28.3,30,31.1,32.7,33.9,37.9,41.4,45.1,47.9,50.3,52,54.3,55.4,58.8,63.7,67.3,72.1,77.5,83,92.1,105.1,116.7,124.2,142.4,152.8,159,166.6,172.9,180.8,186.9,197.3,200.3,198.2,195.7,192.6,194.6,193.2,191.3,193.3,199.2,206,223.6,244.6,262.6
"33","26","          Compensation of general government employees","B237RC1",0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,1.1,3.6,10.1,20.3,27,29.3,14.1,7.8,6.9,7.8,8,13.5,16.1,16,15.4,15.8,16.1,16.5,17,17.3,17.7,18.3,19.4,20.1,21.6,22.6,26.3,29.3,32.4,34.7,36.6,38.2,40.5,41.4,44.1,47.9,50.3,53.6,57.5,61.7,68.6,78.8,87.4,92.4,107.5,115.3,118.8,123.5,126.9,131.7,134.5,141.8,143,138.7,134.7,130.8,133.3,132.8,131.6,133.5,138.9,145.7,163.1,183,198.2
"34","27","          Consumption of general government fixed capital \2\","B432RC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1.7,4.4,7,8.3,8.8,8.2,7,6,5.2,5.4,6.2,6.9,7.6,8,8.5,9,9.1,9.5,9.8,10,10.6,11.1,11.2,11.3,11.6,12.1,12.7,13.2,13.6,13.8,13.8,14,14.7,15.7,17.1,18.4,20,21.3,23.5,26.3,29.2,31.7,34.8,37.5,40.2,43,46,49.1,52.4,55.5,57.3,59.5,61,61.8,61.2,60.4,59.6,59.8,60.2,60.4,60.5,61.6,64.5
"35","28","        Intermediate goods and services purchased \3\","W087RC1",0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,3.2,13.8,23.2,26.6,24.4,3.5,1.3,2.6,3.2,4.1,11.7,16.9,18.5,14.3,13.6,14.5,18.1,18.6,13.8,14,14.7,17,17.6,16.5,17.3,23,29,32.3,30.5,26.6,25.3,25.8,25.1,27.3,28.5,29.1,32.9,36.2,41.8,52.9,63.8,76.4,85.9,92.2,102.7,110.8,119.2,123.1,121.1,124.5,125.9,119.1,113.7,111,108.3,112,115,112.6,122.7,125.4,139.9,162.4,196.5,226.1
"36","29","          Durable goods","A998RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,1.4,7.2,13.1,13.5,13.6,0.5,0.3,0.8,1,1.7,4.4,8,9.1,6.8,6,6.1,6.7,7.1,5.1,4.4,3.6,4.6,4.7,4,4.2,6.2,6.2,7.5,6.5,6.1,4.6,5.7,5.5,5.2,6,5.8,8,9.6,11.3,12.8,16.2,19.6,25.1,27.1,29.3,31.9,33.8,33.5,32,31.6,31,28.4,26.4,22.9,20.9,20.8,20.9,21,22.3,22.3,22.5,23.4,25.5,28.8
"37","30","          Nondurable goods","A725RC1",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.6,5.2,8.7,9.7,7.3,0.7,0.3,0.7,0.8,0.9,2.3,2.8,4.2,3.2,1.7,1.7,2.2,2.1,1.8,1.9,2.3,2.9,2.7,2.9,3.2,4.7,7.3,8.4,7.6,5.4,4.4,4.7,4.3,5.2,5.1,4.5,4.5,4.9,6.2,10,11.8,11.5,11.3,10.4,10,10.2,10.3,10.6,10.8,11,10.7,9.4,8.5,7.6,6.3,7.6,7.6,7,8.2,10.4,10.3,11.5,13.1,15
"38","31","          Services","A489RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.1,1.4,1.4,3.4,3.6,2.2,0.7,1.1,1.5,1.5,5,6.1,5.1,4.2,5.9,6.7,9.3,9.5,6.9,7.7,8.8,9.6,10.2,9.7,9.9,12.2,15.5,16.4,16.5,15.2,16.3,15.5,15.3,16.9,17.4,18.8,20.4,21.7,24.2,30.2,35.8,45.4,49.5,54.7,63.4,68.7,75.1,79,78.3,81.8,84.3,81.3,78.8,80.5,81.1,83.6,86.5,84.7,92.2,92.7,107.2,127.4,157.9,182.2
"39","32","      Less: Own-account investment \4\","W088RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1,1.2,1.2,1.5,1.5,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.4,1.3,1.1,1.5,2.1,2.1,2.1
"40","33","            Sales to other sectors","W089RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.9,1.5,2.7,2.7,0,0.1,0,0,0.4,0,0,0,0.3,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.7,0.3,0.2,0.2,0.2,0.1,0.5,0.9,1.4,1,0.4,0.6,0.6,0.6,0.9,1.1,1.3,0.6,0.9,0.8,0.8,1,1.2,1,1.8,1.7,2.4,2.6,4.4,2.1,2.6,2,1.7,1.7,1.9,2,2.2,2.4,2.5
"41","34","    Nondefense consumption expenditures \1\","A542RC1",0.7,0.7,0.7,0.6,0.9,1.7,1.3,3.3,2.9,3.5,3.7,3.2,2.3,2,1.5,1.9,1.5,3.3,3.6,4.9,6.4,4.9,4.3,5.3,7.1,6.9,7.1,6.3,6.3,6.8,9.8,8.7,9,11.3,12.4,14,15.1,15.9,17.1,18.3,20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.3,90.6,88.9,99.7,111.7,119.7,129.8,134.2,140.1,143.2,143.8,153,153.9,162.2,177.8,189.5,209.9,225.3,241.4
"42","35","      Gross output of general government","W128RC1",0.7,0.7,0.7,0.6,1.2,2.1,2,3.9,3.3,3.9,4.2,3.6,2.7,2.3,1.7,2.4,2.5,4.4,4.3,5.2,6.6,5.3,4.6,5.7,7.5,7.3,7.9,6.7,7.1,7.4,10.6,9.4,9.6,11.9,13.2,14.8,15.9,16.7,18,19.3,21.3,23.2,26.1,29.8,31.2,35.2,40.4,43.6,49.5,54.3,59.7,68.6,75.5,76.4,82.5,82,89.8,95.3,96.4,95.3,106.7,118.7,127.7,137.1,141,147.1,150.2,150.9,158.6,160.7,167.6,184.6,195.1,214.9,230.7,247.4
"43","36","        Value added","W129RC1",0.4,0.4,0.4,0.4,0.8,1.4,1.4,3.2,2.6,3.1,3,2.6,1.8,0.9,1,0.7,1,2.6,3.1,3.2,3.5,3.7,3.7,3.8,3.7,3.5,3.8,4.1,4.4,5,5.1,5.6,6.1,6.6,7.3,8,8.6,9.5,10.2,11.3,12.1,13.8,15.7,17.2,18.6,20.8,23.7,26.5,30,32.3,34.7,39.2,42.3,44.6,47.1,49.8,52.3,53.7,56.8,62,65.8,72,77.7,81.8,88.1,90.5,92.1,94.1,97.7,101.8,107.6,116.2,119.6,129.3,138,145.6
"44","37","          Compensation of general government employees","W130RC1",0.4,0.4,0.4,0.4,0.7,1.3,1.2,3,2.4,2.9,2.7,2.4,1.5,0.6,0.6,0.3,0.6,2.1,2.5,2.6,2.9,3.1,3.1,3.2,3.1,2.9,3.2,3.5,3.7,4.3,4.4,5,5.4,5.8,6.4,7,7.4,8,8.6,9.5,10.1,11.7,13.4,14.8,16,18,20.5,23.1,26.3,28.3,30.1,34,36.3,37.9,39.9,41.8,43.6,44.3,46.8,51.1,54,59.3,64,67.7,73.3,75.1,76,77.3,80.1,83.5,87.8,94.8,97.2,106.3,114.6,121.7
