"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151"
"11","2","Less: Coverage differences","M318021",1.1,1.4,1.1,1.1,1.5,1.5,1.2,1.2,1.4,1.8,1.2,1.3,1.5,1.8,1.4,2.1,2.5,2,1.7,1.9,2.2,1.8,1.9,1.9,2.1,1.8,2,1.8,1.9,2,2.3,0.9,1.7,3.9,2.4,2.4,4,2.3,2.4,2.3,2.4,2.2,2.4,2.3,2.4,2.4,2.5,2.5,2.6,2.7,3,2.8,2.8,3.5,2.8,3,3.9,3.2,3.4,2.7,2.7,2.4,2.7,2.3,3.3,2.5,2.7,3,2.8,3.1,3.5,3.1,3.4,3.5,3.6,3.3,3.1,3.8,3.1,3.6,3.1,3.7,3.3,3.5,3.5,4.3,3.6,3.8,3.8,5.8,4.2,4.2,4.1,4.7,4.4,4.2,4.3,4.8,4.4,4.5,4.3,5.5,4.8,5,5.2,6.5,5.3,5.1,4.9,6,5.5,5.5,5.4,7,7.1,6.2,6.3,8.3,7,7.2,7.6,10.6,8.5,9.1,8.7,11.8,9.2,10.6,9.4,12,9.4,9.2,9.9,12.3,9.2,9.7,9.7,10.6,9.6,8.6,8.8,9.1,8.7,9.2,9.4,10.1,10.4,9.1
"12","3","        Geographic \1\","M318031",0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.7,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.7,0.7,0.8,0.9,0.7,0.7,0.9,0.9,0.8,0.8,1,1,0.8,0.8,1,1,0.8,0.8,1,1,0.8,0.8,1,1,0.8,0.8,1,1,0.8,0.8
"13","4","        Contributions received by Federal employee retirement plans \2\","M318041",0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,1,1,1.1,1,1.1,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.3,1.1,1.2,1.1,1.3,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1,1.1,1,1.2,1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.1,1.2,1.1,1.2,1.1
"14","5","        Capital transfers received \3\","M318051",0.7,1,0.7,0.7,0.8,1.3,0.7,0.8,0.9,1.3,0.8,0.8,0.9,1.3,0.9,1.5,1.8,1.2,1.1,1.3,1.5,1.1,1.3,1.2,1.3,1.2,1.2,1.1,1.1,1.2,1.4,1.2,1.3,1.3,1.5,1.5,3,1.3,1.5,1.3,1.3,1.2,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.5,1.6,1.9,1.8,2,1.9,2,1.5,1.4,1.4,1.6,1.4,1.5,1.5,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.7,2,1.8,1.7,1.6,2.1,1.9,2,1.9,2.6,2,2.3,2.2,4.2,2.6,2.6,2.5,3,2.8,2.6,2.5,3.1,2.7,2.9,2.6,3.7,3.1,3.4,3.4,4.8,3.5,3.5,3.1,4.2,3.8,3.8,3.5,5.2,4.5,4.3,4.2,6.2,5,5.2,5.1,7.8,5.9,6.4,5.9,8.9,6.4,7.6,6.2,8.8,6.3,6.8,6.5,8.9,6,6.5,6.3,7.2,6.3,5.5,5.4,5.7,5.1,5.7,5.7,6.5,6.7,5.7
"15","6","        Financial transactions","M318061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","7","        Other \4\","M318071",0.1,-0.1,0,0,0.2,-0.2,0,0,0,0,-0.1,-0.1,0,-0.1,0,0,0,0.1,0,0,0,0,0,0,0,-0.1,0,0,-0.1,0,0.1,-1.2,-0.5,1.6,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.6,-0.5,0,0,0,0.1,-0.1,-0.1,-0.5,-0.3,-0.5,0.2,-0.5,-0.3,0,-0.3,-0.1,0.3,-0.1,0.2,0,0.3,-0.1,-0.1,0.3,-0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.2,0.2,0.2,0.2,0.2,0.6,0.8,0.9,0.9,0.9,0.8,1,1.1,1.1,1.1,1.1,0.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.4,1.7,1.6,1.5,1.5,1.6,1.5
"17","8","Less: Netting and grossing differences","M318081",-1.2,-1.1,-1.1,-1.3,-1.4,-0.9,-0.9,-1.3,-1.3,-1.1,-0.7,-1.2,-1.1,-1.1,-0.8,-1.6,-1.3,-1.5,-1.1,-1.3,-1.5,-1.4,-1,-1,-1.6,-0.9,-1.5,-1.5,-1.2,-0.9,-1.6,-1.7,-2.3,-0.9,-2.4,-2.4,-3,-2.7,-0.6,-2.6,-2.6,-2.9,-1.1,-3.8,-3.7,-3.6,-1.1,-4.2,-4,-3.9,-0.9,-5.1,-5.5,-5.6,-1.9,-8.4,-8.3,-8.3,-3.6,-8.6,-8.6,-8.9,-4.1,-9.4,-10.1,-10.1,-5.3,-10.7,-10.5,-12.5,-6.9,-12.1,-12.4,-12.3,-7.5,-12.4,-11.9,-11.5,-7,-12.2,-13.6,-13.4,-6.6,-12.6,-13.9,-13.6,-9.6,-12.8,-12.7,-13,-7.4,-16.3,-16.1,-16,-9.4,-15.6,-16.7,-16.4,-9.2,-18.5,-16.9,-17.6,-11.2,-16.6,-17.6,-17.3,-10.6,-17.2,-18,-17.4,-10.7,-16.2,-17.6,-17.3,-11.7,-21.6,-18.5,-17.7,-11.7,-17.4,-18.1,-17.6,-11.4,-18.8,-16.5,-18.1,-12.2,-18.5,-19.2,-19.6,-13.2,-18.4,-19.5,-19.8,-12.2,-19.4,-18.5,-20,-19.1,-19.6,-21.8,-22.6,-20.9,-21.1,-23.4,-23.5,-20.9,-23.2
"18","9","        Supplementary medical insurance premiums","M318091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,-0.7,-0.9,-1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.7,-1.7,-1.7,-2.4,-1.7,-2.4,-2.4,-2.4,-3,-3.1,-3.1,-3.1,-2.8,-2.8,-2.9,-2.9,-3.1,-3.1,-3.1,-3.1,-3.3,-3.4,-3.4,-4.5,-2.8,-4,-4,-4.1,-4.5,-4.6,-4.6,-4.6,-5.2,-5.2,-5.3,-5,-5.1,-4.9,-5,-5,-5.2,-5.1,-5.2,-5.2,-5.2,-5.2,-5.2,-6.7,-4.1,-5.4,-5.4,-5.5,-5.4,-5.5,-5.5,-5.5,-6.1,-6,-6.1,-6.1,-6.6,-6.6,-6.6,-6.7,-7.2,-7.2,-7.3,-7.3,-8.2,-8.2,-8.4,-8.5
"19","10","        Interest receipts","W704MC1",-0.6,-0.6,-0.7,-0.7,-0.5,-0.6,-0.6,-0.7,-0.6,-0.7,-0.6,-0.7,-0.6,-0.7,-0.7,-0.9,-0.7,-0.7,-0.7,-0.9,-0.7,-0.8,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-0.8,-0.9,-0.9,-1.1,-1,-1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.6,-1.6,-1.8,-1.7,-1.8,-1.9,-2.1,-1.9,-2.1,-2.3,-2.7,-2.6,-2.7,-3.1,-3.5,-3.6,-3.6,-3.8,-3.8,-3.8,-3.8,-3.9,-4,-4,-4.3,-4.2,-4.1,-4.2,-4.4,-4.9,-5.3,-5.6,-5.5,-5.9,-4.9,-4.4,-4.3,-4.1,-4,-6,-4.6,-4.4,-4.6,-4.1,-4,-4.6,-4.2,-4.3,-4.2,-4.3,-7.1,-5.7,-5.2,-5.3,-4.8,-4.7,-4.6,-4.4,-4.4,-4.1,-3.7,-3.9,-3.4,-3.2,-2.7,-2.9,-2.8,-3,-2.9,-3.1,-3.3,-3.8,-3.4,-4,-3.4,-3.4,-3.1,-3.3,-3,-3,-2.8,-3.1,-3.1,-3.3,-3.2,-3.4,-3.3,-3.8,-3.6,-3.5,-3.3,-3.4,-2.9,-3,-2.9,-2.8,-2.5,-2.8,-2.8,-2.7,-2.8,-2.9,-2.7,-2.2,-1.8,-2.2,-2.2
"20","11","        Current surplus of government enterprises","W705MC1",0.1,0.1,0.2,0,0.1,0.1,0.2,0,0.2,0.5,0.5,0.2,0.5,0.4,0.6,0.1,0.2,0.4,0.4,0.2,0.3,0.6,0.4,0.5,0.4,0.8,0.2,0.3,0.7,1.7,0.6,0.6,0.2,1.7,0.2,0.1,0.2,0.3,2.2,0.2,0.3,0.2,2.1,-0.4,-0.2,-0.1,2.7,-0.1,0,0.1,3.5,-0.1,0,-0.3,3.7,-0.9,-0.7,-0.4,4.2,-0.6,-0.4,-0.4,4.3,-0.5,-0.3,-0.3,4.4,-0.5,-0.4,-0.6,4.4,-1.1,-0.8,-0.9,4.5,-1.2,-0.7,-0.6,4,-0.8,-0.8,-1,4.9,-0.8,-0.9,-1,3.7,-0.3,0.1,-0.2,5.3,-0.1,-1.3,-1.6,5.6,-1.3,-1.6,-1.7,5.7,-2.3,-1.3,-1.4,5.5,-1,-1.1,-1.6,5.5,-2.4,-1.8,-1.8,5.8,-1.5,-1.1,-1.6,6.1,-2.2,-1.8,-2.2,5.9,-2.3,-1.7,-2.2,6.2,-2.4,-1.6,-2.2,5.9,-1.8,-1.1,-2,6.1,-0.8,0.3,-0.7,7.7,-1.8,-0.3,-0.3,3.5,-1.3,-1.4,-1.4,2,-1.2,-1.2,-1.1,3.2,-0.5
"21","12","        Other \5\","M318111",-0.7,-0.5,-0.6,-0.5,-1,-0.5,-0.5,-0.6,-0.9,-0.9,-0.6,-0.7,-0.9,-0.8,-0.8,-0.8,-0.8,-1.2,-0.8,-0.6,-1.1,-1.2,-0.8,-0.7,-1.2,-1,-1,-1,-1.1,-1.8,-1.3,-1.3,-1.4,-1.5,-1.5,-1.4,-2.1,-1.8,-1.6,-1.4,-1.6,-1.5,-1.6,-1.5,-1.9,-1.8,-1.9,-2,-2.1,-2,-2.1,-2.3,-2.9,-2.7,-2.5,-2.8,-3.3,-3.3,-3,-3.1,-3.4,-3.6,-3.4,-3.7,-4.6,-4.3,-4.2,-4.8,-4.5,-6.2,-5,-4.3,-4.5,-4.4,-4.6,-4.9,-5,-5,-5.2,-5.1,-5.1,-5.5,-4.7,-4.8,-5.9,-5.5,-5.5,-5.2,-5.7,-5.8,-5.5,-6.2,-6,-6.2,-6.6,-6.4,-7,-6.8,-7.1,-7.3,-8.6,-8.4,-8.8,-8.2,-8.7,-8.5,-8.6,-7.5,-8,-7.5,-8.2,-6.3,-7.6,-7.4,-8.9,-11.1,-8.2,-7.3,-9.1,-6.9,-8.3,-7.4,-9.4,-6.8,-7.6,-7.3,-9.3,-7.9,-8.9,-8.6,-10.4,-8.8,-10.4,-10.2,-10.7,-8.6,-8.7,-10.6,-13.2,-8.8,-10.5,-11.2,-12.7,-10,-11.9,-12.4,-13.5,-12.1
"22","13","Plus: Timing differences","M318121",3.4,-3.1,0.1,1.6,2.5,-5.4,0.1,0.6,1.9,-5.4,0.3,0.2,2.6,-3.4,0.6,0.1,5.2,-5.6,0.4,1.4,6.2,-5.5,1.2,1,4.5,-5.4,2.1,0.1,1.4,-7.2,2.6,1.4,7.2,-4.8,2.8,1.3,5.3,-9.1,3,1,8.7,-8.1,1.8,3.1,9.5,-10.9,2.1,2.1,9,-14.8,-1.1,3.3,7.6,-14.2,-3.5,-1.3,3.5,-12.2,1.6,-0.7,11,-4.6,1.7,0.4,15.5,-7,-1.4,-2.3,10.7,-10.3,1.3,-2.7,11.1,-6.8,0.6,-2.8,9.6,-5.1,-1.7,-3.8,16.6,-13.6,0.4,-3,20.9,-15.7,1.4,-1.4,15.8,-15.7,3.9,-6.2,14.6,-8.3,1.9,-5.9,21.5,-13.9,-2.5,-1.6,23.8,-20.4,0.6,-1,23.4,-22.8,2.6,-1.8,28.6,-29.4,4.9,-5.9,30.7,-25,1.9,-1.4,29.7,-31.5,8.7,-9.8,31.6,-30.3,9.6,-15.3,32.4,-21.8,0.9,-3.7,30.8,-34.1,-6.2,-10.2,22.1,-26.3,21,-26.3,15.5,-14.6,-0.2,-0.5,42,-24.4,6,-1.3,40.8,-32.2,-2.4,-10
"23","14","        Taxes on corporate income","M318131",2,-3.4,0.5,2,0.9,-5.9,0.7,1.3,0.3,-5.4,1.2,1.1,2.4,-2.9,1.8,1.6,0.9,-5.3,1.4,2.2,2.1,-4.9,2.4,2.2,0.6,-5,3.2,1.3,-1.8,-6.5,3.1,2.8,3,-4,4.1,2.8,-0.2,-8,4.6,2.4,2,-7.1,4.1,4.4,2.8,-9.4,3.8,3.6,2,-13,2.3,4.1,2.6,-12.5,1.6,-0.5,-3.4,-9.9,2.9,1.9,2.2,-2.3,3.9,3,4.6,-3.3,0.3,1,0.8,-5.6,3.4,0.1,3.2,-2.8,1.7,1,1.3,-0.4,0.5,0.6,3.8,-7.7,2.8,-0.1,11,-9.9,1.3,0.4,5.4,-7.5,5.6,-2.5,3.9,-5.4,4.6,-3.1,10.1,-8.3,-1.8,2.6,10.9,-13,3.6,2.7,8.6,-16.9,4.5,1.5,15.8,-21.3,6.9,-2.3,17.9,-17.7,2.5,0.8,17.9,-24.1,8.4,-5.7,18.8,-22.6,5.9,-5.3,19,-15.2,1.8,-1.4,19.1,-26,-4.4,-8.6,10.3,-16.2,21.5,-25.4,5,-5.5,1.9,2.4,27,-12.8,10.7,0.7,22.2,-19.1,1.3,-8.5
