"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Capital consumption adjustment \1\","Y0004C1","5,500.0","4,074.0","2,932.0","5,179.0","3,718.0","-2,167.0","-11,985.0","-14,803.0","-14,528.0","-16,165.0","-20,222.0","-26,940.0","-12,312.0","-4,378.0","22,829.0","52,919.0","83,226.0","73,895.0","68,594.0","65,287.0","57,695.0","32,110.0","19,837.0","20,515.0","24,676.0","32,606.0","36,152.0","49,973.0","69,094.0","80,991.0","98,854.0","89,545.0","112,608.0","183,475.0","173,853.0","149,426.0","-99,012.0","-118,775.0","-121,236.0","62,371.0","36,168.0","76,893.0","250,599.0","18,841.0","35,584.0","40,419.0"
"20","2","    For consistent accounting at historical cost","A1400C1","17,633.0","18,614.0","19,928.0","23,765.0","25,099.0","28,466.0","31,849.0","33,686.0","40,743.0","47,319.0","54,427.0","62,753.0","94,653.0","110,488.0","129,562.0","153,515.0","180,085.0","170,229.0","163,520.0","167,434.0","164,751.0","142,953.0","134,066.0","128,364.0","131,810.0","141,136.0","153,564.0","161,728.0","177,130.0","181,144.0","197,179.0","197,800.0","222,396.0","290,096.0","282,598.0","279,661.0","75,087.0","94,876.0","112,374.0","312,343.0","261,467.0","292,175.0","481,447.0","260,754.0","282,196.0","294,967.0"
"21","3","    For current-cost valuation","A1401C1","-12,132.0","-14,540.0","-16,996.0","-18,586.0","-21,381.0","-30,633.0","-43,835.0","-48,489.0","-55,271.0","-63,484.0","-74,649.0","-89,693.0","-106,965.0","-114,867.0","-106,733.0","-100,596.0","-96,859.0","-96,334.0","-94,926.0","-102,148.0","-107,056.0","-110,843.0","-114,229.0","-107,849.0","-107,134.0","-108,529.0","-117,412.0","-111,755.0","-108,036.0","-100,153.0","-98,325.0","-108,255.0","-109,788.0","-106,621.0","-108,745.0","-130,235.0","-174,099.0","-213,651.0","-233,610.0","-249,971.0","-225,299.0","-215,282.0","-230,847.0","-241,913.0","-246,612.0","-254,548.0"
"22","4","Domestic corporate business","A2201C1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-118,458.0","-127,471.0","-131,906.0"
"23","5","    For consistent accounting at historical cost","A1402C1","16,144.0","16,951.0","18,149.0","21,192.0","22,083.0","24,733.0","27,290.0","28,361.0","34,079.0","38,741.0","43,087.0","49,267.0","75,168.0","90,458.0","101,919.0","116,914.0","134,927.0","120,096.0","118,805.0","122,242.0","118,623.0","106,686.0","100,810.0","93,614.0","96,828.0","110,014.0","120,890.0","123,615.0","130,488.0","127,906.0","133,060.0","123,848.0","128,129.0","181,431.0","166,447.0","154,764.0","-21,594.0","-15,556.0","-9,215.0","125,891.0","84,805.0","106,859.0","251,980.0","64,744.0","57,460.0","57,334.0"
"24","6","    For current-cost valuation","A1403C1","-8,510.0","-10,418.0","-12,189.0","-13,255.0","-15,255.0","-22,334.0","-32,660.0","-36,124.0","-41,091.0","-46,873.0","-55,111.0","-66,332.0","-79,673.0","-85,423.0","-78,594.0","-73,294.0","-70,109.0","-68,977.0","-67,374.0","-73,545.0","-77,438.0","-80,693.0","-83,725.0","-78,083.0","-76,753.0","-77,368.0","-84,841.0","-79,373.0","-75,696.0","-67,616.0","-65,024.0","-72,923.0","-72,769.0","-69,339.0","-69,966.0","-86,576.0","-121,869.0","-153,686.0","-170,687.0","-186,315.0","-167,045.0","-160,121.0","-173,869.0","-183,202.0","-184,931.0","-189,240.0"
"25","7","  Financial","B393RC1","-121.0","-210.0","-243.0","-85.0","149.0","40.0","-468.0","-855.0","-1,067.0","-813.0","-1,427.0","-2,819.0","-2,396.0","-3,203.0","-2,035.0","-2,300.0","-1,183.0","-1,660.0","-1,686.0","-3,476.0","-5,316.0","-10,700.0","-12,728.0","-15,791.0","-14,444.0","-12,683.0","-8,155.0","-6,077.0","2,928.0","4,601.0","7,219.0","5,240.0","6,698.0","9,329.0","-217.0","-13,278.0","-41,944.0","-39,822.0","-40,541.0","-31,369.0","-41,170.0","-38,109.0","-20,224.0","-40,867.0","-37,851.0","-39,828.0"
"26","8","    For consistent accounting at historical cost","B1404C1","39.0","6.0","3.0","168.0","491.0","588.0","430.0","85.0","34.0","309.0","10.0","-912.0","-48.0","-545.0","391.0","-357.0","471.0","121.0","395.0","-744.0","-2,337.0","-7,385.0","-8,966.0","-12,968.0","-11,631.0","-9,953.0","-4,917.0","-4,313.0","3,396.0","3,485.0","6,109.0","5,756.0","7,032.0","9,080.0","-412.0","-11,535.0","-36,700.0","-31,639.0","-30,913.0","-20,426.0","-29,855.0","-27,161.0","-2,985.0","-22,657.0","-18,847.0","-20,322.0"
"27","9","    For current-cost valuation","B1405C1","-160.0","-216.0","-246.0","-253.0","-342.0","-548.0","-898.0","-940.0","-1,101.0","-1,122.0","-1,437.0","-1,907.0","-2,348.0","-2,658.0","-2,426.0","-1,943.0","-1,654.0","-1,781.0","-2,081.0","-2,732.0","-2,979.0","-3,315.0","-3,762.0","-2,823.0","-2,813.0","-2,730.0","-3,238.0","-1,764.0","-468.0","1,116.0","1,110.0","-516.0","-334.0","249.0","195.0","-1,743.0","-5,244.0","-8,183.0","-9,628.0","-10,943.0","-11,315.0","-10,948.0","-17,239.0","-18,210.0","-19,004.0","-19,506.0"
"28","10","  Nonfinancial","A2203C1","7,755.0","6,743.0","6,203.0","8,022.0","6,679.0","2,359.0","-4,902.0","-6,908.0","-5,945.0","-7,319.0","-10,597.0","-14,246.0","-2,109.0","8,238.0","25,360.0","45,920.0","66,001.0","52,779.0","53,117.0","52,173.0","46,501.0","36,693.0","29,813.0","31,322.0","34,519.0","45,329.0","44,204.0","50,319.0","51,864.0","55,689.0","60,817.0","45,685.0","48,662.0","102,763.0","96,698.0","81,466.0","-101,519.0","-129,420.0","-139,361.0","-29,055.0","-41,070.0","-15,153.0","98,335.0","-77,591.0","-89,620.0","-92,078.0"
"29","11","    For consistent accounting at historical cost","B1406C1","16,105.0","16,945.0","18,146.0","21,024.0","21,592.0","24,145.0","26,860.0","28,276.0","34,045.0","38,433.0","43,077.0","50,180.0","75,216.0","91,002.0","101,528.0","117,272.0","134,456.0","119,975.0","118,410.0","122,985.0","120,960.0","114,072.0","109,775.0","106,582.0","108,459.0","119,968.0","125,807.0","127,927.0","127,092.0","124,421.0","126,952.0","118,092.0","121,097.0","172,351.0","166,859.0","166,299.0","15,107.0","16,084.0","21,697.0","146,317.0","114,661.0","134,020.0","254,966.0","87,401.0","76,307.0","77,655.0"
"30","12","    For current-cost valuation","B1407C1","-8,350.0","-10,202.0","-11,943.0","-13,002.0","-14,913.0","-21,786.0","-31,762.0","-35,184.0","-39,990.0","-45,752.0","-53,674.0","-64,426.0","-77,325.0","-82,764.0","-76,168.0","-71,352.0","-68,455.0","-67,196.0","-65,293.0","-70,812.0","-74,459.0","-77,379.0","-79,962.0","-75,260.0","-73,940.0","-74,639.0","-81,603.0","-77,608.0","-75,228.0","-68,732.0","-66,135.0","-72,407.0","-72,435.0","-69,588.0","-70,161.0","-84,833.0","-116,626.0","-145,504.0","-161,058.0","-175,372.0","-155,731.0","-149,173.0","-156,631.0","-164,992.0","-165,927.0","-169,733.0"
"31","13","Domestic noncorporate business","W282RC1","-2,134.0","-2,459.0","-3,028.0","-2,758.0","-3,110.0","-4,566.0","-6,615.0","-7,040.0","-7,516.0","-8,033.0","-8,198.0","-9,875.0","-7,807.0","-9,413.0","-496.0","9,299.0","18,408.0","22,776.0","17,163.0","16,590.0","16,510.0","6,117.0","2,752.0","4,984.0","4,601.0","-40.0","103.0","5,731.0","14,302.0","20,701.0","30,818.0","38,620.0","57,248.0","71,383.0","77,372.0","81,238.0","44,451.0","50,467.0","58,666.0","122,795.0","118,408.0","130,155.0","172,488.0","137,299.0","163,055.0","172,325.0"
"32","14","  Sole proprietorships and partnerships","A2204C1","-1,091.0","-1,332.0","-1,724.0","-1,270.0","-1,322.0","-2,347.0","-3,930.0","-4,049.0","-4,005.0","-3,805.0","-3,210.0","-4,024.0","-1,282.0","-2,502.0","6,453.0","16,368.0","25,571.0","30,273.0","25,030.0","24,735.0","24,915.0","14,652.0","11,262.0","13,436.0","13,438.0","9,121.0","9,626.0","15,394.0","24,150.0","30,807.0","41,379.0","49,917.0","69,337.0","83,733.0","90,504.0","95,852.0","60,870.0","68,393.0","76,722.0","139,984.0","133,890.0","145,121.0","187,960.0","152,983.0","180,104.0","191,024.0"
"33","15","    Farm \1\","B044RC1","-796.0","-907.0","-1,068.0","-1,187.0","-1,260.0","-1,832.0","-2,640.0","-2,938.0","-3,310.0","-3,767.0","-4,451.0","-5,591.0","-6,578.0","-7,133.0","-6,962.0","-6,667.0","-6,175.0","-6,105.0","-5,863.0","-5,728.0","-5,741.0","-5,689.0","-5,687.0","-5,624.0","-5,480.0","-5,424.0","-5,432.0","-5,268.0","-5,000.0","-4,787.0","-4,744.0","-4,661.0","-4,636.0","-4,519.0","-4,524.0","-4,845.0","-5,450.0","-5,868.0","-6,135.0","-6,513.0","-6,360.0","-5,847.0","-5,862.0","-5,855.0","-5,807.0","-5,963.0"
"34","16","    Nonfarm","A2205C1","-295.0","-425.0","-656.0","-83.0","-62.0","-515.0","-1,290.0","-1,111.0","-695.0","-38.0","1,241.0","1,567.0","5,296.0","4,631.0","13,415.0","23,035.0","31,746.0","36,378.0","30,893.0","30,463.0","30,656.0","20,341.0","16,949.0","19,060.0","18,918.0","14,545.0","15,058.0","20,662.0","29,150.0","35,594.0","46,123.0","54,578.0","73,973.0","88,252.0","95,028.0","100,697.0","66,320.0","74,261.0","82,857.0","146,497.0","140,250.0","150,968.0","193,822.0","158,838.0","185,911.0","196,987.0"
"35","17","      For consistent accounting at historical cost","B1409C1","1,488.0","1,663.0","1,779.0","2,573.0","3,016.0","3,733.0","4,560.0","5,325.0","6,664.0","8,578.0","11,340.0","13,486.0","19,485.0","20,031.0","27,643.0","36,601.0","45,158.0","50,133.0","44,715.0","45,193.0","46,128.0","36,267.0","33,256.0","34,750.0","34,982.0","31,121.0","32,674.0","38,113.0","46,642.0","53,238.0","64,119.0","73,952.0","94,267.0","108,665.0","116,151.0","124,897.0","96,681.0","110,432.0","121,589.0","186,451.0","176,662.0","185,316.0","229,466.0","196,010.0","224,735.0","237,634.0"
"36","18","      For current-cost valuation","B1410C1","-1,783.0","-2,088.0","-2,435.0","-2,656.0","-3,078.0","-4,248.0","-5,850.0","-6,436.0","-7,359.0","-8,616.0","-10,099.0","-11,919.0","-14,189.0","-15,400.0","-14,228.0","-13,566.0","-13,412.0","-13,755.0","-13,822.0","-14,730.0","-15,472.0","-15,926.0","-16,307.0","-15,690.0","-16,064.0","-16,576.0","-17,616.0","-17,451.0","-17,492.0","-17,644.0","-17,996.0","-19,374.0","-20,294.0","-20,413.0","-21,123.0","-24,200.0","-30,361.0","-36,171.0","-38,732.0","-39,954.0","-36,412.0","-34,348.0","-35,644.0","-37,172.0","-38,824.0","-40,647.0"
"37","19","  Other private business \1\","A2206C1","-1,043.0","-1,127.0","-1,304.0","-1,488.0","-1,788.0","-2,219.0","-2,685.0","-2,991.0","-3,511.0","-4,228.0","-4,988.0","-5,851.0","-6,525.0","-6,911.0","-6,949.0","-7,069.0","-7,163.0","-7,497.0","-7,867.0","-8,145.0","-8,405.0","-8,535.0","-8,510.0","-8,452.0","-8,837.0","-9,161.0","-9,523.0","-9,663.0","-9,848.0","-10,106.0","-10,561.0","-11,297.0","-12,089.0","-12,350.0","-13,132.0","-14,614.0","-16,419.0","-17,926.0","-18,056.0","-17,189.0","-15,482.0","-14,966.0","-15,472.0","-15,684.0","-17,049.0","-18,699.0"
"38","20","    Rental income of persons","B050RC1","-980.0","-1,047.0","-1,205.0","-1,382.0","-1,668.0","-2,050.0","-2,437.0","-2,707.0","-3,189.0","-3,864.0","-4,570.0","-5,334.0","-5,932.0","-6,291.0","-6,331.0","-6,465.0","-6,575.0","-6,914.0","-7,283.0","-7,529.0","-7,762.0","-7,861.0","-7,835.0","-7,793.0","-8,179.0","-8,499.0","-8,836.0","-8,997.0","-9,202.0","-9,502.0","-9,982.0","-10,698.0","-11,494.0","-11,762.0","-12,555.0","-13,994.0","-15,729.0","-17,159.0","-17,210.0","-16,261.0","-14,572.0","-14,050.0","-14,002.0","-14,166.0","-15,540.0","-17,190.0"
"39","21","      Nonfarm tenant-occupied housing","B2611C1","-898.0","-960.0","-1,108.0","-1,276.0","-1,548.0","-1,905.0","-2,263.0","-2,519.0","-2,983.0","-3,630.0","-4,303.0","-5,027.0","-5,595.0","-5,937.0","-5,980.0","-6,110.0","-6,216.0","-6,540.0","-6,892.0","-7,119.0","-7,330.0","-7,413.0","-7,383.0","-7,343.0","-7,707.0","-8,001.0","-8,309.0","-8,462.0","-8,654.0","-8,934.0","-9,388.0","-10,073.0","-10,839.0","-11,094.0","-11,865.0","-13,221.0","-14,839.0","-16,165.0","-16,164.0","-15,195.0","-13,535.0","-13,077.0","-13,009.0","-13,143.0","-14,470.0","-16,055.0"
"40","22","      Farm tenant-occupied housing","W283RC1","-29.0","-30.0","-32.0","-35.0","-39.0","-44.0","-50.0","-54.0","-60.0","-70.0","-79.0","-90.0","-97.0","-101.0","-101.0","-103.0","-103.0","-107.0","-111.0","-115.0","-119.0","-121.0","-122.0","-121.0","-128.0","-134.0","-141.0","-142.0","-146.0","-148.0","-156.0","-162.0","-169.0","-173.0","-183.0","-203.0","-223.0","-237.0","-237.0","-229.0","-219.0","-215.0","-216.0","-218.0","-231.0","-245.0"
"41","23","      Farms owned by nonoperator landlords","B2614C1","-35.0","-36.0","-39.0","-42.0","-47.0","-53.0","-58.0","-63.0","-70.0","-81.0","-92.0","-104.0","-112.0","-116.0","-115.0","-117.0","-119.0","-123.0","-128.0","-132.0","-135.0","-138.0","-137.0","-137.0","-144.0","-149.0","-155.0","-156.0","-160.0","-163.0","-169.0","-176.0","-183.0","-188.0","-197.0","-214.0","-230.0","-243.0","-243.0","-232.0","-219.0","-213.0","-211.0","-211.0","-222.0","-238.0"
"42","24","      Nonfarm nonresidential properties","B2615C1","-17.0","-21.0","-26.0","-29.0","-33.0","-47.0","-66.0","-71.0","-75.0","-84.0","-95.0","-113.0","-128.0","-136.0","-135.0","-136.0","-136.0","-144.0","-153.0","-163.0","-176.0","-188.0","-194.0","-191.0","-201.0","-214.0","-232.0","-237.0","-243.0","-257.0","-270.0","-288.0","-302.0","-307.0","-311.0","-357.0","-438.0","-514.0","-566.0","-606.0","-600.0","-546.0","-565.0","-594.0","-617.0","-652.0"
"43","25","    Proprietors' income","B1411C1","-64.0","-80.0","-99.0","-106.0","-121.0","-170.0","-248.0","-284.0","-323.0","-363.0","-419.0","-517.0","-593.0","-621.0","-618.0","-603.0","-589.0","-583.0","-583.0","-616.0","-645.0","-675.0","-674.0","-660.0","-657.0","-663.0","-686.0","-666.0","-645.0","-604.0","-578.0","-598.0","-596.0","-588.0","-576.0","-619.0","-689.0","-767.0","-846.0","-927.0","-909.0","-915.0","-1,471.0","-1,518.0","-1,509.0","-1,509.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Except for farm proprietorships and partnerships (line 15) and other private business (line 19),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","the capital consumption adjustment is calculated in two parts. The adjustment for consistent accounting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","at historical cost converts depreciation, based on the service lives and depreciation schedules employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","by firms when filing their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","schedules. The adjustment for current-cost valuation converts the historical-cost series with consistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","accounting to a series valued at current cost. For farm proprietorships and partnerships and for other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","private business, the historical-cost series is based on consistent service lives and empirically based",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","depreciation schedules, so the adjustment reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
