"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"32","12","  Average of GDP and GDI \2\","LB0000091","1,923,502.0","1,921,627.0","1,922,109.0","1,946,337.0","1,987,009.0","2,026,004.0","2,032,313.0","2,038,452.0","2,004,493.0","1,998,335.0","2,015,334.0","1,992,096.0","2,072,319.0","2,146,005.0","2,228,135.0","2,271,170.0","2,292,755.0","2,332,888.0","2,377,320.0","2,390,354.0","2,410,891.0","2,420,517.0","2,440,493.0","2,517,962.0","2,563,818.0","2,582,835.0","2,567,273.0","2,521,960.0","2,519,072.0","2,522,557.0","2,548,181.0","2,599,877.0","2,672,680.0","2,721,745.0","2,757,828.0","2,776,654.0","2,772,729.0","2,798,337.0","2,798,628.0","2,845,609.0","2,858,210.0","2,853,803.0","2,874,052.0","2,843,743.0","2,776,275.0","2,789,381.0","2,852,471.0","2,916,089.0","2,976,560.0","3,053,237.0","3,037,953.0","3,054,452.0","3,122,453.0","3,115,969.0","3,119,635.0","3,092,241.0","3,106,050.0","3,161,201.0","3,212,829.0","3,283,417.0","3,332,692.0","3,369,143.0","3,402,359.0","3,428,993.0","3,462,586.0","3,510,511.0","3,568,488.0","3,596,818.0","3,665,657.0","3,714,353.0","3,765,756.0","3,790,494.0","3,879,477.0","3,930,925.0","3,998,581.0","4,089,515.0","4,184,779.0","4,207,250.0","4,236,713.0","4,273,597.0","4,305,738.0","4,319,447.0","4,360,760.0","4,400,327.0","4,478,154.0","4,550,167.0","4,596,178.0","4,620,549.0","4,678,519.0","4,702,192.0","4,734,268.0","4,719,726.0"
"33","13","  Gross national income \3\","A023RX1","1,925,010.0","1,923,915.0","1,926,862.0","1,945,580.0","1,999,176.0","2,045,597.0","2,046,901.0","2,057,084.0","2,016,288.0","2,010,311.0","2,021,969.0","1,992,704.0","2,074,003.0","2,159,073.0","2,242,725.0","2,285,835.0","2,297,308.0","2,339,980.0","2,381,201.0","2,402,980.0","2,417,650.0","2,432,063.0","2,454,160.0","2,528,685.0","2,573,259.0","2,592,080.0","2,573,713.0","2,522,250.0","2,529,339.0","2,533,532.0","2,556,407.0","2,611,949.0","2,683,403.0","2,737,699.0","2,773,449.0","2,794,894.0","2,799,704.0","2,828,076.0","2,831,431.0","2,877,217.0","2,887,347.0","2,886,379.0","2,898,188.0","2,862,760.0","2,801,899.0","2,810,040.0","2,871,289.0","2,931,519.0","2,998,190.0","3,079,337.0","3,055,740.0","3,078,031.0","3,145,369.0","3,144,677.0","3,145,071.0","3,129,194.0","3,136,993.0","3,188,564.0","3,239,728.0","3,316,479.0","3,355,798.0","3,395,025.0","3,429,632.0","3,473,299.0","3,501,335.0","3,551,133.0","3,599,224.0","3,631,410.0","3,693,716.0","3,746,425.0","3,799,591.0","3,833,814.0","3,922,328.0","3,973,474.0","4,026,752.0","4,111,697.0","4,202,117.0","4,229,788.0","4,258,133.0","4,296,703.0","4,321,398.0","4,344,150.0","4,392,428.0","4,435,663.0","4,502,750.0","4,571,592.0","4,631,783.0","4,659,914.0","4,704,080.0","4,735,334.0","4,768,651.0","4,760,221.0"
"34","14","  Net domestic product","A362RX1","1,764,683.0","1,760,589.0","1,757,346.0","1,788,841.0","1,819,173.0","1,852,812.0","1,864,367.0","1,866,125.0","1,836,291.0","1,828,495.0","1,850,202.0","1,830,704.0","1,912,385.0","1,976,285.0","2,060,455.0","2,102,874.0","2,132,733.0","2,171,478.0","2,218,742.0","2,220,962.0","2,243,987.0","2,245,590.0","2,260,005.0","2,339,413.0","2,383,977.0","2,400,654.0","2,381,487.0","2,336,833.0","2,320,473.0","2,319,564.0","2,345,770.0","2,394,201.0","2,468,062.0","2,509,792.0","2,544,391.0","2,558,222.0","2,543,133.0","2,563,112.0","2,556,923.0","2,600,941.0","2,616,166.0","2,605,640.0","2,630,329.0","2,594,951.0","2,513,176.0","2,527,963.0","2,591,361.0","2,657,701.0","2,711,588.0","2,784,198.0","2,775,273.0","2,784,699.0","2,852,633.0","2,837,131.0","2,841,740.0","2,798,715.0","2,816,520.0","2,872,487.0","2,923,255.0","2,986,746.0","3,043,501.0","3,076,470.0","3,105,007.0","3,113,672.0","3,147,991.0","3,189,659.0","3,255,377.0","3,276,427.0","3,351,957.0","3,391,850.0","3,438,402.0","3,446,353.0","3,536,710.0","3,584,914.0","3,660,664.0","3,751,454.0","3,848,745.0","3,859,042.0","3,882,556.0","3,912,644.0","3,945,829.0","3,942,130.0","3,973,344.0","4,002,335.0","4,087,637.0","4,158,611.0","4,185,097.0","4,198,845.0","4,265,243.0","4,273,576.0","4,296,896.0","4,268,687.0"
"35","15","  Net domestic income \4\","W256RX1","1,742,124.0","1,738,660.0","1,740,376.0","1,759,150.0","1,813,996.0","1,861,447.0","1,862,619.0","1,872,657.0","1,829,989.0","1,823,434.0","1,834,803.0","1,804,704.0","1,887,045.0","1,972,970.0","2,055,876.0","2,098,283.0","2,108,244.0","2,147,355.0","2,186,601.0","2,204,820.0","2,217,860.0","2,228,992.0","2,248,394.0","2,321,889.0","2,364,142.0","2,378,546.0","2,357,297.0","2,299,863.0","2,301,912.0","2,302,782.0","2,322,458.0","2,374,715.0","2,445,007.0","2,498,000.0","2,531,264.0","2,549,689.0","2,548,687.0","2,574,607.0","2,573,701.0","2,620,448.0","2,623,846.0","2,617,347.0","2,626,439.0","2,589,276.0","2,520,745.0","2,524,749.0","2,585,078.0","2,644,899.0","2,711,396.0","2,792,996.0","2,764,450.0","2,783,404.0","2,851,285.0","2,846,880.0","2,842,976.0","2,821,478.0","2,824,397.0","2,875,186.0","2,923,761.0","2,998,670.0","3,035,168.0","3,069,070.0","3,099,808.0","3,136,477.0","3,161,510.0","3,209,126.0","3,253,339.0","3,280,392.0","3,337,286.0","3,387,650.0","3,436,060.0","3,467,669.0","3,549,160.0","3,594,344.0","3,644,867.0","3,728,351.0","3,813,424.0","3,834,528.0","3,856,883.0","3,887,883.0","3,906,079.0","3,922,998.0","3,962,203.0","4,000,541.0","4,061,806.0","4,124,839.0","4,178,635.0","4,200,448.0","4,238,042.0","4,264,363.0","4,292,889.0","4,277,465.0"
"36","16","  Net domestic purchases","W367RX1","1,716,211.0","1,715,120.0","1,711,998.0","1,765,463.0","1,811,119.0","1,860,799.0","1,873,721.0","1,878,367.0","1,832,183.0","1,824,237.0","1,853,560.0","1,849,296.0","1,936,185.0","2,004,438.0","2,106,799.0","2,142,791.0","2,168,372.0","2,193,498.0","2,229,289.0","2,230,194.0","2,258,160.0","2,273,843.0","2,304,095.0","2,393,897.0","2,438,293.0","2,460,319.0","2,435,982.0","2,388,365.0","2,370,089.0","2,364,055.0","2,387,680.0","2,433,022.0","2,510,381.0","2,562,045.0","2,591,717.0","2,609,558.0","2,593,367.0","2,604,316.0","2,594,447.0","2,627,084.0","2,642,388.0","2,637,435.0","2,664,559.0","2,633,325.0","2,565,886.0","2,585,627.0","2,648,218.0","2,723,009.0","2,773,027.0","2,849,283.0","2,837,038.0","2,846,997.0","2,904,042.0","2,879,139.0","2,883,914.0","2,829,938.0","2,848,677.0","2,909,925.0","2,971,589.0","3,034,907.0","3,097,845.0","3,118,708.0","3,160,039.0","3,174,448.0","3,202,174.0","3,228,318.0","3,309,664.0","3,321,679.0","3,387,310.0","3,428,366.0","3,481,833.0","3,488,415.0","3,597,588.0","3,630,758.0","3,721,860.0","3,808,616.0","3,917,095.0","3,922,869.0","3,966,831.0","3,992,682.0","4,025,594.0","4,022,200.0","4,062,643.0","4,097,035.0","4,190,807.0","4,262,492.0","4,289,478.0","4,304,734.0","4,379,942.0","4,382,530.0","4,409,537.0","4,368,769.0"
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated as the product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
