"","Table 5#8#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"24","5","  Durable goods industries","N377RC1",".....",".....",".....","260,713.0","261,382.0","262,723.0","264,117.0","267,184.0","271,028.0","273,512.0","273,581.0","272,899.0","273,990.0","273,811.0","278,506.0","284,245.0","287,585.0","288,743.0","291,605.0","292,544.0","290,346.0","284,841.0","277,906.0","269,598.0","266,778.0","265,444.0","264,476.0","265,910.0","266,489.0","263,868.0","259,918.0","263,100.0","268,445.0","275,628.0","283,514.0","286,725.0","296,096.0","295,987.0","303,364.0","310,210.0","320,427.0","331,543.0","338,529.0","341,520.0","347,096.0","351,571.0","350,199.0","358,088.0","371,977.0","381,031.0","378,917.0","355,127.0","344,443.0","335,990.0","333,467.0","334,756.0","343,900.0","350,370.0","356,478.0","367,821.0","384,736.0","394,611.0","395,855.0","397,849.0","387,428.0","391,353.0","401,647.0","409,377.0","408,575.0","407,058.0","411,311.0","415,475.0","423,924.0","429,353.0","434,436.0","438,829.0","459,861.0","460,803.0","454,985.0"
"25","6","  Nondurable goods industries","N378RC1",".....",".....",".....","160,297.0","159,662.0","161,166.0","162,218.0","164,269.0","162,685.0","161,860.0","160,465.0","159,037.0","159,629.0","162,766.0","167,192.0","172,967.0","176,415.0","179,577.0","181,543.0","183,451.0","183,474.0","180,720.0","176,056.0","170,715.0","170,170.0","171,623.0","177,736.0","180,205.0","185,288.0","183,825.0","184,115.0","188,285.0","191,474.0","196,842.0","202,399.0","206,059.0","215,067.0","215,558.0","223,677.0","229,670.0","232,857.0","241,389.0","242,265.0","241,257.0","245,774.0","255,902.0","264,708.0","285,127.0","307,864.0","333,471.0","312,045.0","245,935.0","239,457.0","245,113.0","247,428.0","257,151.0","269,781.0","260,747.0","270,232.0","290,741.0","313,236.0","321,772.0","315,491.0","316,881.0","317,556.0","303,072.0","314,889.0","315,908.0","322,797.0","315,694.0","318,456.0","316,027.0","324,545.0","322,675.0","314,751.0","290,838.0","287,678.0","290,822.0","282,864.0"
"26","7","Wholesale trade","N379RC1",".....",".....",".....","285,111.0","289,445.0","294,712.0","297,442.0","302,950.0","306,918.0","306,834.0","309,233.0","312,170.0","316,181.0","318,798.0","326,225.0","334,847.0","342,203.0","348,252.0","351,243.0","357,698.0","353,881.0","350,980.0","343,449.0","335,714.0","334,816.0","337,757.0","344,234.0","343,398.0","345,671.0","342,333.0","345,060.0","355,012.0","364,637.0","372,489.0","383,702.0","393,448.0","409,266.0","414,647.0","425,977.0","437,952.0","447,275.0","463,431.0","471,729.0","480,782.0","492,090.0","498,478.0","509,256.0","532,719.0","555,491.0","582,044.0","580,423.0","534,863.0","509,462.0","494,720.0","480,938.0","491,763.0","498,391.0","501,862.0","525,962.0","554,659.0","576,219.0","596,325.0","595,085.0","603,182.0","611,486.0","611,626.0","637,547.0","640,641.0","644,446.0","642,198.0","645,572.0","657,856.0","670,231.0","679,317.0","680,700.0","678,334.0","677,771.0","693,607.0","686,140.0"
"27","8","  Durable goods industries","N380RC1",".....",".....",".....","178,085.0","181,453.0","186,448.0","187,106.0","190,185.0","194,178.0","194,066.0","197,138.0","198,634.0","201,341.0","203,557.0","206,056.0","211,504.0","214,265.0","219,350.0","220,702.0","222,637.0","219,053.0","213,398.0","207,059.0","201,276.0","198,939.0","199,637.0","201,723.0","199,985.0","201,175.0","200,733.0","200,018.0","204,792.0","212,222.0","219,227.0","229,269.0","235,056.0","243,709.0","247,534.0","250,800.0","259,619.0","265,477.0","277,087.0","285,081.0","289,075.0","295,520.0","295,303.0","294,781.0","299,582.0","309,687.0","319,632.0","324,487.0","309,582.0","289,463.0","274,340.0","265,881.0","263,588.0","268,215.0","269,365.0","275,269.0","282,767.0","292,116.0","303,290.0","310,955.0","315,237.0","321,403.0","326,990.0","332,301.0","338,450.0","341,310.0","339,619.0","345,445.0","353,760.0","359,508.0","366,297.0","374,821.0","376,151.0","380,519.0","383,131.0","382,700.0"
"28","9","  Nondurable goods industries","N381RC1",".....",".....",".....","107,026.0","107,992.0","108,264.0","110,336.0","112,765.0","112,740.0","112,768.0","112,095.0","113,536.0","114,840.0","115,241.0","120,169.0","123,343.0","127,938.0","128,902.0","130,541.0","135,061.0","134,828.0","137,582.0","136,390.0","134,438.0","135,877.0","138,120.0","142,511.0","143,413.0","144,496.0","141,600.0","145,042.0","150,220.0","152,415.0","153,262.0","154,433.0","158,392.0","165,557.0","167,113.0","175,177.0","178,333.0","181,798.0","186,344.0","186,648.0","191,707.0","196,570.0","203,175.0","214,475.0","233,137.0","245,804.0","262,412.0","255,936.0","225,281.0","219,999.0","220,380.0","215,057.0","228,175.0","230,176.0","232,497.0","250,693.0","271,892.0","284,103.0","293,035.0","284,130.0","287,945.0","290,083.0","284,636.0","305,246.0","302,191.0","303,136.0","302,579.0","300,127.0","304,096.0","310,723.0","313,020.0","305,879.0","302,183.0","297,252.0","310,476.0","303,440.0"
"29","10","Retail trade","N382RC1",".....",".....",".....","328,746.0","329,293.0","332,460.0","335,020.0","336,519.0","343,014.0","343,541.0","344,856.0","349,918.0","358,232.0","363,161.0","367,726.0","378,611.0","381,762.0","391,353.0","396,413.0","401,620.0","396,139.0","396,942.0","398,456.0","386,748.0","391,197.0","397,067.0","402,358.0","410,737.0","418,894.0","419,227.0","423,234.0","428,779.0","439,021.0","449,015.0","455,364.0","464,892.0","471,347.0","468,729.0","471,177.0","477,222.0","480,839.0","485,579.0","489,459.0","492,212.0","493,768.0","498,526.0","505,782.0","513,406.0","509,063.0","508,930.0","505,999.0","486,796.0","468,748.0","457,339.0","443,542.0","445,849.0","452,212.0","459,509.0","470,133.0","475,806.0","485,233.0","488,152.0","492,538.0","494,708.0","505,319.0","515,551.0","524,005.0","528,630.0","534,805.0","540,322.0","548,581.0","560,132.0","565,320.0","571,351.0","575,911.0","573,861.0","578,503.0","590,560.0","594,200.0"
"30","11","  Motor vehicle and parts dealers","N864RC1",".....",".....",".....","101,866.0","101,646.0","102,387.0","102,988.0","104,186.0","106,714.0","105,353.0","104,568.0","106,772.0","112,103.0","112,817.0","114,347.0","119,945.0","120,253.0","126,691.0","130,633.0","133,204.0","126,628.0","128,212.0","130,079.0","122,348.0","126,458.0","130,579.0","131,081.0","137,293.0","142,376.0","144,296.0","144,242.0","146,457.0","150,509.0","154,235.0","156,388.0","158,263.0","159,072.0","154,658.0","153,491.0","155,341.0","155,983.0","156,375.0","155,932.0","154,420.0","151,337.0","152,766.0","158,201.0","158,447.0","155,874.0","153,325.0","149,533.0","145,197.0","132,944.0","124,776.0","115,108.0","115,425.0","119,383.0","124,899.0","131,857.0","129,901.0","131,878.0","133,152.0","134,523.0","135,644.0","144,368.0","152,413.0","157,177.0","158,677.0","162,048.0","165,448.0","169,660.0","176,980.0","177,347.0","180,992.0","183,473.0","181,645.0","185,570.0","190,659.0","194,713.0"
"31","12","  Food and beverage stores","N239RC1",".....",".....",".....","27,523.0","27,676.0","27,627.0","28,066.0","27,832.0","28,121.0","28,602.0","28,713.0","29,228.0","29,611.0","30,106.0","30,866.0","30,925.0","31,016.0","30,763.0","30,881.0","30,999.0","31,719.0","31,909.0","32,105.0","32,104.0","32,496.0","31,988.0","32,639.0","32,797.0","32,966.0","32,531.0","33,655.0","33,772.0","33,909.0","34,560.0","34,810.0","35,095.0","35,416.0","35,240.0","34,889.0","35,828.0","35,544.0","36,002.0","37,107.0","37,449.0","38,609.0","38,616.0","39,798.0","41,569.0","42,219.0","43,098.0","43,319.0","42,384.0","42,343.0","42,150.0","41,939.0","42,653.0","43,892.0","42,890.0","43,220.0","44,711.0","45,775.0","45,796.0","46,624.0","46,847.0","47,346.0","47,145.0","47,969.0","48,584.0","48,687.0","49,284.0","49,466.0","49,709.0","50,771.0","51,698.0","52,051.0","52,568.0","52,173.0","52,137.0","52,137.0"
"32","13","  General merchandise stores","N240RC1",".....",".....",".....","57,980.0","57,874.0","58,684.0","58,429.0","58,252.0","58,528.0","58,686.0","59,451.0","59,404.0","60,106.0","60,726.0","61,443.0","62,433.0","62,659.0","63,352.0","63,146.0","63,730.0","65,353.0","65,635.0","65,615.0","64,166.0","63,589.0","63,541.0","64,691.0","66,115.0","66,483.0","67,024.0","67,950.0","68,562.0","70,441.0","71,775.0","71,955.0","74,201.0","76,213.0","76,514.0","77,352.0","78,037.0","77,524.0","77,274.0","78,892.0","80,222.0","81,191.0","81,701.0","81,455.0","82,431.0","81,781.0","82,182.0","82,838.0","80,879.0","79,773.0","79,268.0","77,846.0","78,282.0","78,745.0","79,691.0","81,055.0","82,197.0","84,901.0","85,628.0","86,741.0","87,382.0","87,135.0","87,888.0","87,920.0","89,883.0","89,816.0","89,722.0","89,710.0","89,962.0","91,226.0","90,775.0","91,509.0","91,061.0","90,607.0","93,167.0","92,758.0"
"33","14","  Other retail stores","N865RC1",".....",".....",".....","141,377.0","142,097.0","143,762.0","145,537.0","146,249.0","149,651.0","150,900.0","152,124.0","154,514.0","156,412.0","159,512.0","161,070.0","165,308.0","167,834.0","170,547.0","171,753.0","173,687.0","172,439.0","171,186.0","170,657.0","168,130.0","168,654.0","170,959.0","173,947.0","174,532.0","177,069.0","175,376.0","177,387.0","179,988.0","184,162.0","188,445.0","192,211.0","197,333.0","200,646.0","202,317.0","205,445.0","208,016.0","211,788.0","215,928.0","217,528.0","220,121.0","222,631.0","225,443.0","226,328.0","230,959.0","229,189.0","230,325.0","230,309.0","218,336.0","213,688.0","211,145.0","208,649.0","209,489.0","210,192.0","212,029.0","214,001.0","218,997.0","222,679.0","223,576.0","224,650.0","224,835.0","226,470.0","228,105.0","230,939.0","231,486.0","234,254.0","235,868.0","239,745.0","243,481.0","245,976.0","247,886.0","248,878.0","248,587.0","250,153.0","254,597.0","254,592.0"
"34","15","Other industries","N385RC1",".....",".....",".....","82,126.0","83,824.0","84,669.0","85,644.0","87,101.0","87,482.0","88,503.0","89,767.0","91,373.0","92,787.0","95,426.0","97,940.0","100,168.0","103,995.0","107,761.0","112,861.0","115,301.0","116,125.0","116,047.0","114,965.0","113,562.0","112,065.0","112,393.0","112,245.0","112,746.0","113,885.0","114,241.0","114,516.0","115,005.0","116,146.0","117,878.0","119,803.0","122,167.0","124,002.0","125,356.0","127,007.0","128,868.0","129,740.0","132,687.0","134,631.0","135,899.0","137,851.0","139,352.0","139,431.0","142,782.0","146,324.0","148,618.0","151,076.0","147,609.0","142,407.0","140,049.0","139,556.0","140,809.0","141,904.0","141,750.0","142,149.0","144,668.0","149,331.0","152,216.0","152,941.0","154,838.0","152,624.0","155,869.0","157,663.0","159,480.0","158,519.0","159,472.0","162,195.0","161,640.0","162,759.0","165,533.0","168,639.0","168,725.0","167,418.0","168,315.0","169,965.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16","  Private inventories","A371RC1",".....",".....",".....","1,284,666.0","1,293,925.0","1,305,129.0","1,315,106.0","1,327,909.0","1,337,985.0","1,336,671.0","1,334,576.0","1,342,317.0","1,360,078.0","1,373,962.0","1,397,567.0","1,433,439.0","1,457,453.0","1,480,625.0","1,496,846.0","1,524,807.0","1,523,083.0","1,509,937.0","1,485,237.0","1,447,654.0","1,448,757.0","1,456,460.0","1,475,033.0","1,495,234.0","1,518,180.0","1,512,607.0","1,530,150.0","1,556,616.0","1,594,397.0","1,636,579.0","1,665,157.0","1,697,938.0","1,744,992.0","1,750,731.0","1,792,148.0","1,842,344.0","1,857,199.0","1,900,419.0","1,934,130.0","1,953,352.0","1,993,812.0","2,022,914.0","2,050,835.0","2,118,964.0","2,194,473.0","2,285,376.0","2,251,788.0","2,050,105.0","1,974,039.0","1,933,410.0","1,899,049.0","1,927,176.0","1,975,218.0","1,979,347.0","2,042,135.0","2,129,545.0","2,229,610.0","2,273,965.0","2,279,261.0","2,300,926.0","2,308,839.0","2,308,041.0","2,369,029.0","2,389,357.0","2,400,259.0","2,396,631.0","2,412,920.0","2,439,972.0","2,495,060.0","2,517,955.0","2,521,266.0","2,501,069.0","2,500,956.0","2,530,546.0","2,511,623.0"
