"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,743,702.0","1,866,479.0","1,893,282.0","1,877,515.0","1,968,510.0","2,077,250.0","2,215,981.0","2,343,225.0","2,489,961.0","2,490,346.0","2,332,840.0","2,425,263.0","2,567,899.0","2,709,282.0","2,795,848.0","2,894,552.0"
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","41,969.0","39,718.0","-49,881.0","19,970.0","16,377.0","42,166.0","44,675.0","35,557.0","16,055.0","-24,265.0","-116,999.0","37,732.0","40,532.0","52,822.0","42,052.0","52,559.0"
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,508,525.0","1,531,684.0","1,533,587.0","1,551,745.0","1,595,258.0","1,650,127.0","1,691,041.0","1,784,675.0","1,820,168.0","1,829,691.0","1,841,512.0","1,943,008.0","1,965,326.0","2,039,511.0","2,149,174.0","2,224,814.0"
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,483,725.0","1,510,973.0","1,527,071.0","1,550,796.0","1,589,191.0","1,622,892.0","1,672,104.0","1,750,284.0","1,800,209.0","1,843,108.0","1,872,082.0","1,921,708.0","1,967,244.0","2,033,695.0","2,122,791.0","2,200,949.0"
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","31,583.0","24,746.0","7,995.0","1,236.0","5,648.0","28,567.0","19,055.0","35,959.0","19,470.0","-9,655.0","-30,570.0","21,051.0","-560.0","5,591.0","21,397.0","18,198.0"
"32","14","Services \2\","A341RX1","3,041,000.0","3,111,364.0","3,189,216.0","3,304,289.0","3,398,566.0","3,473,266.0","3,599,263.0","3,694,198.0","3,816,898.0","3,963,137.0","4,062,911.0","4,136,752.0","4,213,571.0","4,288,765.0","4,471,507.0","4,596,620.0","4,826,254.0","5,024,001.0","5,205,235.0","5,418,355.0","5,605,366.0","5,778,357.0","5,896,529.0","6,095,722.0","6,231,258.0","6,387,178.0","6,544,155.0","6,700,186.0","6,885,711.0","7,134,659.0","7,389,934.0","7,675,261.0","7,858,336.0","8,043,712.0","8,210,442.0","8,442,623.0","8,658,270.0","8,860,793.0","9,061,369.0","9,181,776.0","9,220,327.0","9,322,687.0","9,406,567.0","9,447,341.0","9,467,360.0","9,624,080.0"
"33","15","Structures","A755RX1","807,022.0","774,433.0","846,549.0","909,527.0","928,558.0","835,081.0","761,665.0","831,251.0","908,452.0","996,779.0","1,023,355.0","947,176.0","932,454.0","851,493.0","919,076.0","1,043,170.0","1,099,882.0","1,119,964.0","1,125,248.0","1,123,703.0","1,114,019.0","1,090,362.0","1,008,804.0","1,050,452.0","1,086,309.0","1,140,048.0","1,149,853.0","1,226,094.0","1,280,433.0","1,354,003.0","1,410,268.0","1,457,435.0","1,470,000.0","1,444,999.0","1,500,658.0","1,574,344.0","1,626,771.0","1,583,579.0","1,476,469.0","1,346,747.0","1,141,059.0","1,052,404.0","1,040,258.0","1,110,990.0","1,138,963.0","1,179,917.0"
"34","16","Residual","A959RX1","-188,600.0","-205,400.0","-227,800.0","-220,800.0","-160,100.0","-158,300.0","-191,700.0","-162,300.0","-165,700.0","-159,600.0","-147,600.0","-153,100.0","-120,200.0","-166,500.0","-180,600.0","-125,800.0","-154,100.0","-162,900.0","-155,200.0","-135,800.0","-111,100.0","-118,700.0","-128,900.0","-132,200.0","-127,300.0","-102,500.0","-90,000.0","-76,500.0","-42,900.0","-34,300.0","-35,300.0","-14,900.0","-24,600.0","-29,400.0","-19,700.0","-14,400.0","-2,800.0","4,300.0","10,000.0","2,500.0","0.0","2,900.0","-1,300.0","-5,094.0","-5,073.0","-8,585.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","350,040.0","345,347.0","329,252.0","366,777.0","371,416.0","386,709.0","401,549.0","396,375.0","397,449.0","326,258.0","246,824.0","321,485.0","353,504.0","398,770.0","418,315.0","448,578.0"
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,708,724.0","12,213,220.0","12,357,655.0","12,538,446.0","12,897,276.0","13,384,092.0","13,829,646.0","14,216,048.0","14,475,285.0","14,504,536.0","14,171,915.0","14,461,228.0","14,665,073.0","14,952,477.0","15,161,126.0","15,508,511.0"
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,726.0","24,459.0","27,635.0","28,488.0","33,389.0","35,000.0","41,097.0","51,268.0","59,626.0","69,919.0","72,489.0","69,260.0","75,509.0","86,982.0","99,810.0","101,877.0"
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,112,041.0","12,576,800.0","12,684,873.0","12,909,917.0","13,259,133.0","13,760,122.0","14,208,810.0","14,570,243.0","14,817,647.0","14,760,822.0","14,346,249.0","14,714,298.0","14,945,555.0","15,270,338.0","15,489,673.0","15,865,957.0"
"40","21","  Research and development","Y694RX1","123,664.0","118,414.0","116,339.0","120,600.0","123,024.0","119,789.0","118,413.0","124,784.0","130,462.0","138,165.0","145,791.0","152,129.0","159,587.0","165,701.0","175,000.0","190,181.0","208,806.0","217,251.0","226,341.0","228,959.0","233,291.0","239,784.0","240,874.0","238,027.0","234,430.0","233,303.0","238,728.0","251,171.0","259,680.0","268,627.0","280,368.0","292,033.0","300,417.0","304,171.0","312,595.0","320,706.0","336,557.0","352,572.0","368,797.0","378,404.0","374,807.0","381,969.0","382,573.0","383,517.0","393,032.0","400,154.0"
"41","22","  Gross domestic product excluding research and development","Y695RX1","4,588,542.0","4,603,606.0","4,761,586.0","5,014,143.0","5,301,659.0","5,276,975.0","5,267,746.0","5,551,479.0","5,807,401.0","6,129,928.0","6,321,268.0","6,298,905.0","6,458,701.0","6,325,763.0","6,617,101.0","7,094,830.0","7,384,442.0","7,642,593.0","7,905,531.0","8,245,051.0","8,552,780.0","8,714,859.0","8,707,104.0","9,028,353.0","9,286,591.0","9,672,315.0","9,936,246.0","10,309,896.0","10,775,380.0","11,257,610.0","11,785,941.0","12,268,037.0","12,381,912.0","12,604,742.0","12,958,647.0","13,453,031.0","13,897,863.0","14,261,385.0","14,505,063.0","14,451,992.0","14,043,932.0","14,401,856.0","14,638,111.0","14,971,411.0","15,190,530.0","15,561,796.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","are usually not additive. The residual line following change in private inventories is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","between gross domestic product and the sum of final sales of domestic product and of change in private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","inventories; the residual line following structures is the difference between gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
