"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"26","8","  Fixed investment","A007BX1","18,012.0","14,161.0","16,858.0","22,443.0","39,816.0","47,296.0","51,760.0","47,462.0","56,394.0","54,108.0","53,759.0","57,959.0","59,045.0","66,513.0","67,453.0","66,984.0","62,814.0","71,287.0","72,140.0","72,619.0","78,841.0"
"27","9","    Nonresidential","A008BX1","13,333.0","11,207.0","14,222.0","19,413.0","28,051.0","32,215.0","33,710.0","30,737.0","33,539.0","34,934.0","34,901.0","38,400.0","37,848.0","41,914.0","44,747.0","45,535.0","41,287.0","44,617.0","47,078.0","47,446.0","51,284.0"
"28","10","      Structures","B009BX1","4,536.0","3,297.0","4,317.0","5,821.0","11,497.0","10,457.0","11,004.0","10,639.0","11,400.0","12,272.0","12,224.0","13,310.0","13,766.0","14,753.0","16,302.0","16,293.0","15,404.0","15,773.0","17,027.0","17,260.0","18,048.0"
"29","11","      Equipment","Y033BX1","6,644.0","5,969.0","7,979.0","11,428.0","14,252.0","19,374.0","20,388.0","17,851.0","19,700.0","20,275.0","19,694.0","21,485.0","20,282.0","23,054.0","23,664.0","24,288.0","20,744.0","23,212.0","24,101.0","23,600.0","26,298.0"
"30","12","      Intellectual property products","Y001BX1","2,006.0","1,734.0","1,729.0","1,949.0","2,372.0","2,375.0","2,320.0","2,244.0","2,431.0","2,389.0","2,983.0","3,604.0","3,797.0","4,096.0","4,772.0","4,944.0","5,173.0","5,626.0","5,970.0","6,627.0","6,941.0"
"31","13","    Residential","A011BX1","4,857.0","2,991.0","2,602.0","2,970.0","11,809.0","15,131.0","18,074.0","16,745.0","22,842.0","19,174.0","18,858.0","19,559.0","21,203.0","24,610.0","22,659.0","21,322.0","21,555.0","26,959.0","25,119.0","25,226.0","27,639.0"
"32","14","  Change in private inventories","A014BX1","3,359.0","-1,180.0","-1,401.0","-2,630.0","8,306.0","-1,164.0","6,314.0","-3,331.0","6,297.0","8,737.0","3,514.0","2,191.0","-2,099.0","5,211.0","3,893.0","957.0","-243.0","4,549.0","3,865.0","3,468.0","7,150.0"
"33","15","Net exports of goods and services","A019BX1","-2,633.0","-6,068.0","-6,198.0","-4,578.0","7,311.0","10,379.0","4,319.0","4,589.0","513.0","3,145.0","1,164.0","-1,376.0","192.0","-6.0","1,489.0","2,490.0","-1,515.0","-1,717.0","1,708.0","2,000.0","626.0"
"34","16","  Exports","A020BX1","6,575.0","5,542.0","5,953.0","8,342.0","18,019.0","20,546.0","16,182.0","16,033.0","14,039.0","17,203.0","16,459.0","15,356.0","16,100.0","17,819.0","20,760.0","22,570.0","19,519.0","21,531.0","25,266.0","25,400.0","26,681.0"
"35","17","    Goods","A253BX1","5,236.0","4,092.0","4,392.0","6,592.0","15,230.0","17,516.0","13,560.0","13,476.0","11,646.0","14,180.0","13,449.0","12,539.0","13,250.0","14,644.0","17,172.0","18,531.0","15,721.0","15,611.0","19,271.0","19,368.0","20,230.0"
"36","18","    Services","A646BX1","1,332.0","1,407.0","1,514.0","1,700.0","2,761.0","3,002.0","2,621.0","2,552.0","2,389.0","3,019.0","3,010.0","2,817.0","2,854.0","3,179.0","3,596.0","4,043.0","3,788.0","5,864.0","5,956.0","5,992.0","6,404.0"
"37","19","  Imports","A021BX1","9,208.0","11,610.0","12,151.0","12,920.0","10,708.0","10,167.0","11,863.0","11,444.0","13,526.0","14,058.0","15,295.0","16,733.0","15,908.0","17,824.0","19,271.0","20,081.0","21,034.0","23,248.0","23,557.0","23,399.0","26,055.0"
"38","20","    Goods","A255BX1","6,078.0","7,030.0","7,293.0","7,268.0","8,397.0","8,061.0","9,236.0","8,875.0","10,839.0","10,625.0","10,838.0","11,466.0","10,589.0","11,822.0","12,878.0","13,250.0","13,623.0","15,988.0","15,727.0","15,704.0","18,029.0"
"39","21","    Services","B656BX1","2,787.0","3,939.0","4,168.0","4,773.0","2,281.0","2,098.0","2,588.0","2,526.0","2,686.0","3,417.0","4,457.0","5,266.0","5,322.0","6,008.0","6,396.0","6,838.0","7,424.0","7,278.0","7,847.0","7,713.0","8,073.0"
"40","22","Government consumption expenditures and gross investment","A822BX1","104,525.0","156,761.0","176,074.0","154,693.0","54,644.0","46,514.0","49,227.0","54,579.0","54,911.0","75,089.0","89,826.0","95,905.0","89,767.0","86,866.0","87,081.0","91,089.0","94,163.0","96,498.0","97,082.0","102,254.0","108,896.0"
"41","23","  Federal","A823BX1","85,091.0","135,530.0","154,327.0","133,478.0","37,494.0","28,150.0","29,764.0","32,270.0","30,926.0","50,552.0","64,822.0","69,680.0","61,250.0","56,355.0","55,590.0","57,751.0","58,048.0","59,184.0","58,172.0","60,979.0","66,421.0"
"42","24","    National defense","A824BX1","81,683.0","134,167.0","153,355.0","132,767.0","33,067.0","22,846.0","22,697.0","23,590.0","23,495.0","44,000.0","57,448.0","60,895.0","52,859.0","48,379.0","48,137.0","50,286.0","50,290.0","48,898.0","48,501.0","50,913.0","54,285.0"
"43","25","    Nondefense","A825BX1","4,699.0","3,768.0","3,807.0","3,187.0","4,602.0","5,401.0","7,302.0","9,020.0","7,693.0","6,571.0","7,374.0","8,768.0","8,361.0","7,947.0","7,416.0","7,414.0","7,717.0","10,261.0","9,641.0","10,033.0","12,088.0"
"44","26","  State and local","A829BX1","16,255.0","14,895.0","14,392.0","14,896.0","16,352.0","18,546.0","19,661.0","22,584.0","24,405.0","24,600.0","25,004.0","26,227.0","28,493.0","30,524.0","31,519.0","33,372.0","36,191.0","37,401.0","39,024.0","41,398.0","42,613.0"
"45","27","Residual","A960BX1","-2,500.0","100.0","-100.0","1,600.0","0.0","0.0","-1,400.0","0.0","-1,100.0","-700.0","100.0","400.0","1,000.0","-900.0","-600.0","700.0","1,400.0","-200.0","-200.0","600.0","-100.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1952) dollar series are calculated as the product of the chain-type quantity index rebased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","with the reference year 1952 equal to 100 and of the 1952 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
