"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"          Gross domestic product"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Gross domestic product","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,155,255.0","16,663,160.0","17,348,071.0"
"21","2","    Imputations (154-157+166+171+172+174+ 176+177+180+182+183+186-187+188+191+200+203+212+213)","A2023C1","128,058.0","140,325.0","153,344.0","166,765.0","179,834.0","200,477.0","224,364.0","241,650.0","264,290.0","300,430.0","334,590.0","373,603.0","418,682.0","461,273.0","516,218.0","548,585.0","611,299.0","655,448.0","697,848.0","761,848.0","825,818.0","883,984.0","938,032.0","1,017,228.0","1,089,293.0","1,155,375.0","1,202,039.0","1,245,731.0","1,303,177.0","1,385,383.0","1,485,362.0","1,609,758.0","1,704,925.0","1,782,591.0","1,872,319.0","2,007,088.0","2,154,618.0","2,258,110.0","2,334,350.0","2,425,206.0","2,453,876.0","2,510,504.0","2,561,266.0","2,610,131.0","2,689,212.0","2,790,079.0"
"22","3","    Excluding imputations (1-2)","A2026C1","891,820.0","935,559.0","1,014,426.0","1,115,684.0","1,248,715.0","1,348,348.0","1,464,559.0","1,635,937.0","1,821,661.0","2,056,141.0","2,297,553.0","2,488,902.0","2,792,274.0","2,883,718.0","3,121,919.0","3,492,108.0","3,735,435.0","3,934,707.0","4,172,369.0","4,490,781.0","4,831,875.0","5,095,605.0","5,236,011.0","5,522,071.0","5,789,425.0","6,153,380.0","6,462,021.0","6,854,470.0","7,305,338.0","7,703,785.0","8,175,262.0","8,675,021.0","8,916,899.0","9,194,923.0","9,638,351.0","10,267,840.0","10,939,108.0","11,597,778.0","12,143,285.0","12,293,376.0","11,964,863.0","12,453,868.0","12,956,660.0","13,545,124.0","13,973,948.0","14,557,992.0"
"23","4","  Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,050,627.0","11,392,289.0","11,865,941.0"
"24","5","    Imputations (154-157+166+171+176+182+ 188+200+204+205+206+207-210-211)","A2042C1","46,577.0","56,147.0","54,178.0","53,292.0","58,503.0","79,284.0","96,147.0","94,408.0","89,658.0","104,220.0","129,638.0","175,891.0","210,919.0","251,109.0","256,396.0","264,303.0","308,566.0","315,571.0","332,158.0","369,125.0","413,895.0","470,363.0","519,439.0","547,950.0","589,595.0","613,153.0","658,191.0","667,130.0","693,419.0","715,020.0","764,964.0","843,623.0","870,517.0","895,279.0","906,268.0","902,739.0","931,528.0","1,025,489.0","1,224,516.0","1,456,039.0","1,586,806.0","1,631,039.0","1,681,283.0","1,666,078.0","1,699,941.0","1,760,529.0"
"25","6","    Excluding imputations (4-5)","A2086C1","557,909.0","591,541.0","646,812.0","716,139.0","792,640.0","852,715.0","936,608.0","1,055,764.0","1,187,015.0","1,321,953.0","1,459,858.0","1,578,725.0","1,726,593.0","1,822,804.0","2,030,123.0","2,233,852.0","2,414,108.0","2,582,840.0","2,759,892.0","2,977,764.0","3,178,919.0","3,355,267.0","3,440,712.0","3,667,704.0","3,881,407.0","4,127,865.0","4,325,987.0","4,600,941.0","4,867,301.0","5,188,013.0","5,542,058.0","5,948,773.0","6,232,587.0","6,488,774.0","6,859,261.0","7,357,279.0","7,862,584.0","8,278,503.0","8,525,989.0","8,557,609.0","8,260,162.0","8,571,152.0","9,008,016.0","9,384,549.0","9,692,347.0","10,105,412.0"
"26","7","  Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,511,703.0","2,665,023.0","2,860,019.0"
"27","8","    Imputations (210+211+212)","A2087C1","36,805.0","35,764.0","46,678.0","57,856.0","64,351.0","59,186.0","61,270.0","80,427.0","106,017.0","122,639.0","126,077.0","112,505.0","112,807.0","106,495.0","147,338.0","171,822.0","177,396.0","205,522.0","224,506.0","237,341.0","239,318.0","228,621.0","220,681.0","253,937.0","277,286.0","311,932.0","304,001.0","338,058.0","361,994.0","411,938.0","448,201.0","475,919.0","533,017.0","578,256.0","651,337.0","763,654.0","862,990.0","857,003.0","731,149.0","573,588.0","462,853.0","448,907.0","447,816.0","500,557.0","552,239.0","590,315.0"
"28","9","    Excluding imputations (7-8)","A2088C1","136,755.0","134,286.0","150,149.0","170,289.0","202,579.0","215,341.0","195,983.0","242,795.0","290,595.0","355,738.0","413,579.0","417,593.0","518,423.0","474,536.0","490,178.0","648,271.0","652,253.0","643,622.0","667,671.0","699,623.0","760,383.0","764,832.0","723,663.0","759,077.0","829,543.0","944,551.0","1,013,477.0","1,093,999.0","1,233,612.0","1,323,392.0","1,435,994.0","1,557,831.0","1,395,621.0","1,346,732.0","1,376,610.0","1,513,024.0","1,664,119.0","1,823,646.0","1,912,596.0","1,851,222.0","1,415,263.0","1,651,905.0","1,792,063.0","2,011,146.0","2,112,784.0","2,269,704.0"
"29","10","  Net exports of goods and services","A019RC1","1,431.0","3,950.0","622.0","-3,372.0","4,111.0","-814.0","15,978.0","-1,631.0","-23,093.0","-25,366.0","-22,546.0","-13,056.0","-12,520.0","-19,974.0","-51,642.0","-102,724.0","-114,019.0","-131,867.0","-144,770.0","-109,392.0","-86,741.0","-77,855.0","-28,615.0","-34,740.0","-65,174.0","-92,486.0","-89,758.0","-96,376.0","-101,970.0","-162,709.0","-256,631.0","-375,795.0","-368,683.0","-426,464.0","-503,655.0","-619,170.0","-721,185.0","-770,947.0","-718,542.0","-723,067.0","-395,436.0","-512,657.0","-579,995.0","-565,662.0","-508,399.0","-529,995.0"
"30","11","    Imputations (14-17)","W510RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","6,193.0","5,294.0","4,410.0","4,475.0","4,189.0","3,580.0","3,279.0","4,286.0","5,402.0","6,356.0","6,243.0","5,662.0","5,583.0","4,475.0","3,676.0","3,479.0","1,143.0","659.0","595.0","199.0","2,642.0","859.0","10.0","-801.0","-905.0","653.0","3,262.0","2,657.0","1,930.0","3,213.0"
"31","12","    Excluding imputations (10-11)","W511RC1","888.0","3,328.0","5.0","-4,090.0","3,172.0","-2,201.0","14,261.0","-3,327.0","-24,976.0","-27,683.0","-25,631.0","-16,541.0","-16,616.0","-22,893.0","-55,690.0","-106,792.0","-120,212.0","-137,161.0","-149,180.0","-113,867.0","-90,930.0","-81,435.0","-31,894.0","-39,026.0","-70,576.0","-98,842.0","-96,001.0","-102,038.0","-107,553.0","-167,184.0","-260,307.0","-379,274.0","-369,826.0","-427,123.0","-504,250.0","-619,369.0","-723,827.0","-771,806.0","-718,552.0","-722,266.0","-394,531.0","-513,310.0","-583,257.0","-568,319.0","-510,329.0","-533,208.0"
"32","13","    Exports of goods and services","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,198,182.0","2,263,254.0","2,341,933.0"
"33","14","      Imputations (174+180+186)","W512RC1","543.0","622.0","617.0","718.0","939.0","1,387.0","1,717.0","1,696.0","1,883.0","2,317.0","3,085.0","3,485.0","4,096.0","2,919.0","4,048.0","4,068.0","6,193.0","5,976.0","5,252.0","5,257.0","5,188.0","4,641.0","4,522.0","5,621.0","6,918.0","8,175.0","8,097.0","7,457.0","7,491.0","7,135.0","6,699.0","7,166.0","6,054.0","6,224.0","6,639.0","7,169.0","7,078.0","8,305.0","8,312.0","9,572.0","9,404.0","9,342.0","11,489.0","12,456.0","12,478.0","13,861.0"
"34","15","      Excluding imputations (13-14)","W513RC1","51,379.0","59,088.0","62,347.0","70,126.0","94,331.0","125,264.0","136,990.0","147,819.0","157,467.0","184,568.0","227,044.0","277,288.0","301,143.0","280,290.0","272,948.0","298,315.0","297,016.0","315,024.0","358,692.0","439,344.0","499,103.0","547,233.0","590,410.0","627,432.0","647,882.0","712,764.0","804,716.0","860,133.0","946,315.0","945,846.0","985,281.0","1,089,669.0","1,020,659.0","996,285.0","1,033,640.0","1,174,338.0","1,301,823.0","1,468,011.0","1,656,313.0","1,832,370.0","1,578,338.0","1,842,993.0","2,094,882.0","2,185,726.0","2,250,775.0","2,328,072.0"
"35","16","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,763,844.0","2,771,653.0","2,871,928.0"
"36","17","      Imputations (187)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,044.0","6,970.0","4,436.0","7,446.0","8,302.0","10,373.0","10,309.0","8,689.0","8,227.0","9,799.0","10,549.0","10,648.0"
"37","18","      Excluding imputations (16-17)","W515RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,211.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,245,588.0","1,468,943.0","1,390,485.0","1,423,408.0","1,537,890.0","1,793,707.0","2,025,650.0","2,239,817.0","2,374,865.0","2,554,636.0","1,972,869.0","2,356,303.0","2,678,139.0","2,754,045.0","2,761,105.0","2,861,280.0"
"38","19","  Government consumption expenditures and gross investment","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,168,743.0","3,158,586.0","3,114,247.0","3,152,106.0"
"39","20","    Imputations (172+177+183+191+208+213)","A1684C1","44,133.0","47,792.0","51,871.0","54,899.0","56,041.0","60,620.0","65,230.0","65,119.0","66,732.0","71,254.0","75,790.0","81,722.0","90,860.0","100,750.0","108,436.0","108,392.0","119,144.0","129,061.0","136,774.0","150,907.0","168,416.0","181,420.0","194,633.0","211,055.0","217,010.0","223,934.0","233,604.0","234,881.0","242,181.0","253,950.0","268,521.0","286,737.0","300,248.0","308,397.0","314,119.0","340,496.0","357,458.0","374,759.0","378,675.0","396,380.0","405,122.0","429,905.0","428,905.0","440,839.0","435,102.0","436,023.0"
"40","21","    Excluding imputations (19-20)","A2089C1","196,268.0","206,404.0","217,460.0","233,346.0","250,324.0","282,493.0","317,707.0","340,705.0","369,027.0","406,133.0","449,747.0","509,125.0","563,874.0","609,271.0","657,308.0","716,777.0","789,286.0","845,406.0","893,986.0","927,261.0","983,503.0","1,056,941.0","1,103,530.0","1,134,316.0","1,149,051.0","1,179,806.0","1,218,558.0","1,261,568.0","1,311,978.0","1,359,564.0","1,457,517.0","1,547,691.0","1,658,517.0","1,786,540.0","1,906,730.0","2,016,906.0","2,136,232.0","2,267,435.0","2,423,252.0","2,606,811.0","2,683,969.0","2,744,121.0","2,739,838.0","2,717,747.0","2,679,146.0","2,716,084.0"
"41","22","    Government consumption expenditures","A955RC1","180,861.0","194,403.0","210,822.0","227,554.0","240,724.0","266,951.0","298,540.0","316,184.0","342,602.0","371,821.0","405,437.0","454,895.0","507,389.0","553,072.0","594,579.0","631,991.0","688,558.0","736,383.0","776,119.0","819,773.0","881,488.0","947,994.0","1,004,071.0","1,049,253.0","1,074,176.0","1,109,568.0","1,144,482.0","1,176,498.0","1,224,627.0","1,272,113.0","1,357,572.0","1,444,173.0","1,545,131.0","1,651,364.0","1,755,592.0","1,868,942.0","1,980,048.0","2,089,846.0","2,209,721.0","2,368,565.0","2,442,062.0","2,522,209.0","2,530,861.0","2,544,150.0","2,521,969.0","2,556,267.0"
"42","23","      Imputations (172+177+183+191+208+213-214)","A2097C1","-15,408.0","-12,001.0","-6,638.0","-5,792.0","-9,599.0","-15,542.0","-19,167.0","-24,521.0","-26,426.0","-34,313.0","-44,310.0","-54,230.0","-56,485.0","-56,199.0","-62,729.0","-84,786.0","-100,728.0","-109,023.0","-117,867.0","-107,488.0","-102,015.0","-108,947.0","-99,459.0","-85,062.0","-74,876.0","-70,237.0","-74,076.0","-85,070.0","-87,351.0","-87,451.0","-99,945.0","-103,517.0","-113,386.0","-135,175.0","-151,137.0","-147,965.0","-156,183.0","-177,588.0","-213,531.0","-238,246.0","-241,907.0","-221,912.0","-208,977.0","-173,597.0","-157,176.0","-159,817.0"
"43","24","      Excluding imputations (22-23)","A2098C1","196,269.0","206,404.0","217,460.0","233,346.0","250,323.0","282,493.0","317,707.0","340,705.0","369,028.0","406,134.0","449,747.0","509,125.0","563,874.0","609,271.0","657,308.0","716,777.0","789,286.0","845,406.0","893,986.0","927,261.0","983,503.0","1,056,941.0","1,103,530.0","1,134,315.0","1,149,052.0","1,179,805.0","1,218,558.0","1,261,568.0","1,311,978.0","1,359,564.0","1,457,517.0","1,547,690.0","1,658,517.0","1,786,539.0","1,906,729.0","2,016,907.0","2,136,231.0","2,267,434.0","2,423,252.0","2,606,811.0","2,683,969.0","2,744,121.0","2,739,838.0","2,717,747.0","2,679,146.0","2,716,084.0"
"44","25","    Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","614,436.0","592,278.0","595,840.0"
"45","26","      Imputations (214)","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","614,436.0","592,278.0","595,840.0"
"46","27","      Excluding imputations (25-26)","A1680C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","Gross domestic income","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,294.0","12,283,513.0","13,129,207.0","14,073,170.0","14,460,142.0","14,619,183.0","14,343,412.0","14,915,164.0","15,556,259.0","16,358,511.0","16,840,801.0","17,560,109.0"
"49","29","    Imputations (154-157+166+171+172+174+ 176+177+180+182+183+186-187+188+191+200+203+212+213)","Q2023C1","128,058.0","140,325.0","153,344.0","166,765.0","179,834.0","200,477.0","224,364.0","241,650.0","264,290.0","300,430.0","334,590.0","373,603.0","418,682.0","461,273.0","516,218.0","548,585.0","611,299.0","655,448.0","697,848.0","761,848.0","825,818.0","883,984.0","938,032.0","1,017,228.0","1,089,293.0","1,155,375.0","1,202,039.0","1,245,731.0","1,303,177.0","1,385,383.0","1,485,362.0","1,609,758.0","1,704,925.0","1,782,591.0","1,872,319.0","2,007,088.0","2,154,618.0","2,258,110.0","2,334,350.0","2,425,206.0","2,453,876.0","2,510,504.0","2,561,266.0","2,610,131.0","2,689,212.0","2,790,079.0"
"50","30","    Excluding imputations (28-29)","W516RC1","890,210.0","930,214.0","1,004,943.0","1,108,550.0","1,242,607.0","1,340,940.0","1,451,317.0","1,615,479.0","1,802,405.0","2,032,991.0","2,252,765.0","2,444,971.0","2,755,561.0","2,876,945.0","3,067,757.0","3,453,446.0","3,684,178.0","3,857,961.0","4,131,814.0","4,491,254.0","4,767,697.0","5,004,248.0","5,147,632.0","5,411,168.0","5,637,091.0","6,016,561.0","6,371,462.0","6,797,901.0","7,293,046.0","7,763,934.0","8,212,767.0","8,774,494.0","9,031,884.0","9,267,701.0","9,651,975.0","10,276,425.0","10,974,589.0","11,815,060.0","12,125,792.0","12,193,977.0","11,889,536.0","12,404,660.0","12,994,993.0","13,748,380.0","14,151,589.0","14,770,029.0"
