"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"35","16","        Primary metal industries","A407RBC1","1,316.0","1,479.0","1,689.0","1,871.0","2,071.0","1,621.0","1,493.0","894.0","1,601.0","2,174.0","2,667.0","2,927.0","3,098.0","3,298.0","3,164.0","2,895.0","2,716.0","1,212.0","1,576.0","2,307.0","2,721.0","2,843.0","2,950.0","1,640.0","1,582.0","1,607.0","1,693.0","2,054.0","2,577.0","2,847.0","3,096.0","3,147.0","3,425.0","3,289.0","2,387.0","3,174.0","3,548.0","3,302.0","3,132.0","2,431.0","1,498.0","1,594.0","2,067.0","2,422.0","3,173.0","4,353.0","-167.0","2,105.0","3,361.0","1,959.0","1,674.0","1,291.0","897.0","1,616.0","1,923.0","2,104.0","1,938.0","1,217.0","1,404.0","1,913.0","1,583.0","2,404.0","1,925.0","2,202.0","2,179.0","2,276.0","2,721.0","2,974.0","3,380.0","3,263.0","3,197.0","2,808.0","3,332.0","3,760.0","3,833.0","3,644.0","3,259.0","2,611.0","2,501.0","2,632.0","2,219.0","2,819.0","1,483.0","1,575.0","1,627.0","1,548.0","1,226.0","1,661.0"
"36","17","        Fabricated metal products","A408RBC1","950.0","866.0","748.0","842.0","748.0","610.0","858.0","691.0","693.0","950.0","1,351.0","1,579.0","1,486.0","1,451.0","1,206.0","1,313.0","1,179.0","1,075.0","946.0","973.0","1,310.0","940.0","947.0","865.0","828.0","1,049.0","1,076.0","1,001.0","1,085.0","1,090.0","1,010.0","1,207.0","1,179.0","1,130.0","1,075.0","1,099.0","1,283.0","1,234.0","1,154.0","973.0","881.0","896.0","953.0","1,142.0","1,038.0","1,148.0","1,353.0","1,016.0","934.0","924.0","930.0","772.0","785.0","1,171.0","1,090.0","1,225.0","1,278.0","1,232.0","1,175.0","1,181.0","1,304.0","1,259.0","1,382.0","1,525.0","1,376.0","1,350.0","1,596.0","1,657.0","1,969.0","2,031.0","2,051.0","2,285.0","2,461.0","2,372.0","2,631.0","2,336.0","2,624.0","2,521.0","2,258.0","2,675.0","2,108.0","2,410.0","2,505.0","2,676.0","2,336.0","2,192.0","1,694.0","2,129.0"
"37","18","        Machinery,except electrical","A409RBC1","1,454.0","1,323.0","1,197.0","1,288.0","1,324.0","1,341.0","1,452.0","1,268.0","1,297.0","1,508.0","1,867.0","2,124.0","2,114.0","2,157.0","2,319.0","2,849.0","2,628.0","2,446.0","2,227.0","2,332.0","2,429.0","2,297.0","2,000.0","1,382.0","1,968.0","1,915.0","1,789.0","1,660.0","1,769.0","1,810.0","1,622.0","2,006.0","2,109.0","2,205.0","2,312.0","2,348.0","2,425.0","2,287.0","2,068.0","1,586.0","1,357.0","1,383.0","1,541.0","1,711.0","1,785.0","2,360.0","2,521.0","2,206.0","2,145.0","1,995.0","1,724.0","1,641.0","1,644.0","1,888.0","1,942.0","2,253.0","2,311.0","2,454.0","2,500.0","2,450.0","2,523.0","2,658.0","2,623.0","2,628.0","3,302.0","3,218.0","3,495.0","3,553.0","3,651.0","3,992.0","4,166.0","4,463.0","4,685.0","4,644.0","4,787.0","4,734.0","4,378.0","4,473.0","4,191.0","4,460.0","3,891.0","4,224.0","4,699.0","4,839.0","4,281.0","4,288.0","3,800.0","3,413.0"
"38","19","        Electric and electronic equipment","A410RBC1","823.0","768.0","608.0","676.0","652.0","739.0","881.0","934.0","1,002.0","1,078.0","1,443.0","1,665.0","1,468.0","1,288.0","1,293.0","1,427.0","1,514.0","1,593.0","1,571.0","1,733.0","1,870.0","1,723.0","1,504.0","1,101.0","1,354.0","1,354.0","1,270.0","1,417.0","1,332.0","1,326.0","1,358.0","1,285.0","1,371.0","1,670.0","1,841.0","1,665.0","2,117.0","1,994.0","1,895.0","1,904.0","1,646.0","1,683.0","1,817.0","2,015.0","2,121.0","2,235.0","2,297.0","2,166.0","2,140.0","1,958.0","1,901.0","1,688.0","1,681.0","1,829.0","1,958.0","2,307.0","2,224.0","2,034.0","1,881.0","2,105.0","2,194.0","2,319.0","2,283.0","2,199.0","2,198.0","2,138.0","2,342.0","2,623.0","2,961.0","3,209.0","3,453.0","3,935.0","4,041.0","3,948.0","3,875.0","3,475.0","3,655.0","3,736.0","3,791.0","4,034.0","3,946.0","3,732.0","3,917.0","4,003.0","4,284.0","3,733.0","3,447.0","2,673.0"
"39","20","        Motor vehicles and equipment","A411RBC1","1,244.0","1,238.0","1,495.0","1,994.0","1,848.0","1,931.0","2,752.0","1,962.0","2,587.0","3,074.0","3,613.0","3,575.0","2,752.0","2,432.0","2,403.0","2,501.0","2,330.0","2,552.0","2,133.0","3,260.0","3,230.0","3,089.0","3,375.0","1,839.0","2,137.0","2,378.0","2,145.0","2,714.0","3,753.0","4,177.0","4,687.0","4,506.0","2,947.0","2,363.0","2,054.0","2,698.0","3,380.0","2,774.0","2,787.0","2,080.0","1,307.0","841.0","257.0","2,058.0","3,222.0","4,015.0","3,441.0","2,137.0","4,054.0","3,178.0","3,054.0","2,544.0","1,586.0","2,418.0","3,199.0","3,714.0","3,760.0","3,856.0","4,489.0","4,707.0","4,646.0","4,930.0","5,306.0","5,735.0","5,777.0","5,388.0","4,947.0","3,460.0","6,638.0","6,345.0","6,262.0","6,617.0","6,733.0","5,243.0","4,503.0","5,473.0","4,125.0","4,801.0","4,109.0","4,036.0","5,432.0","6,127.0","5,526.0","6,560.0","6,214.0","4,869.0","5,447.0","4,487.0"
"40","21","        Other","A412RC1","1,795.0","1,901.0","1,891.0","1,864.0","1,781.0","1,563.0","1,833.0","1,756.0","1,759.0","2,248.0","2,943.0","3,425.0","3,264.0","2,983.0","2,460.0","2,555.0","2,729.0","2,636.0","2,772.0","2,733.0","3,091.0","3,018.0","2,626.0","2,151.0","2,598.0","2,855.0","3,026.0","3,259.0","3,734.0","3,653.0","3,432.0","3,350.0","3,388.0","3,453.0","3,228.0","3,610.0","3,282.0","3,493.0","3,340.0","3,218.0","2,443.0","2,812.0","3,672.0","3,708.0","3,715.0","3,885.0","3,937.0","3,288.0","3,510.0","2,877.0","2,905.0","2,471.0","2,678.0","3,036.0","3,243.0","3,777.0","3,601.0","3,682.0","3,753.0","3,752.0","3,714.0","4,400.0","4,404.0","4,222.0","4,568.0","4,653.0","4,510.0","4,857.0","5,389.0","5,248.0","5,485.0","6,010.0","6,345.0","5,924.0","5,365.0","5,276.0","5,307.0","5,462.0","5,720.0","6,319.0","6,242.0","6,229.0","6,550.0","7,192.0","7,239.0","6,120.0","5,396.0","4,519.0"
"41","22","      Nondurable goods","Q401RBC1","9,908.0","10,436.0","10,180.0","10,439.0","9,040.0","8,151.0","8,202.0","7,671.0","8,009.0","8,725.0","9,326.0","10,492.0","10,584.0","11,575.0","12,572.0","11,786.0","10,602.0","10,100.0","9,943.0","10,499.0","10,994.0","10,830.0","10,660.0","9,384.0","9,922.0","9,748.0","9,547.0","10,440.0","11,280.0","12,073.0","12,332.0","13,234.0","12,941.0","12,719.0","12,313.0","12,159.0","11,902.0","11,593.0","11,254.0","10,733.0","9,743.0","9,878.0","11,267.0","12,207.0","13,126.0","13,856.0","13,811.0","13,287.0","13,624.0","12,835.0","12,873.0","12,127.0","11,876.0","12,831.0","13,112.0","13,154.0","12,894.0","12,779.0","12,649.0","13,581.0","13,299.0","13,736.0","14,570.0","14,411.0","15,064.0","15,199.0","15,331.0","15,637.0","16,751.0","17,142.0","17,418.0","18,320.0","19,389.0","19,800.0","19,175.0","19,591.0","19,270.0","18,026.0","18,742.0","19,704.0","19,881.0","20,786.0","21,186.0","20,642.0","19,938.0","19,759.0","19,678.0","18,369.0"
"42","23","        Food and kindred products","A402RBC1","1,509.0","1,880.0","1,935.0","2,158.0","1,719.0","1,770.0","1,646.0","1,367.0","1,493.0","1,522.0","1,671.0","1,719.0","1,806.0","1,358.0","1,239.0","1,454.0","1,582.0","1,645.0","1,888.0","2,027.0","1,909.0","1,847.0","1,861.0","1,670.0","1,675.0","1,703.0","1,590.0","1,766.0","2,009.0","2,254.0","2,320.0","2,208.0","2,098.0","1,895.0","1,668.0","1,613.0","1,781.0","1,753.0","1,964.0","1,954.0","1,895.0","2,021.0","2,133.0","2,398.0","2,416.0","2,389.0","2,537.0","2,681.0","2,313.0","2,214.0","2,336.0","2,141.0","2,204.0","2,639.0","2,388.0","2,407.0","2,222.0","2,475.0","2,393.0","2,629.0","2,693.0","2,515.0","2,929.0","2,783.0","2,922.0","2,816.0","2,647.0","2,789.0","2,874.0","2,831.0","3,027.0","2,898.0","3,332.0","3,574.0","2,906.0","3,687.0","3,661.0","3,068.0","3,265.0","3,304.0","2,969.0","3,393.0","3,634.0","3,247.0","2,948.0","2,938.0","3,519.0","3,133.0"
"43","24","        Chemicals and allied products","A403RBC1","1,792.0","1,740.0","1,723.0","2,015.0","1,923.0","1,689.0","1,723.0","1,936.0","1,955.0","2,264.0","2,550.0","2,741.0","2,725.0","2,962.0","3,043.0","2,762.0","2,729.0","2,512.0","2,050.0","2,404.0","2,698.0","2,543.0","2,486.0","1,912.0","2,193.0","2,349.0","2,431.0","2,644.0","2,891.0","3,241.0","3,248.0","3,557.0","3,355.0","3,032.0","3,068.0","3,154.0","3,218.0","3,217.0","3,058.0","2,990.0","2,585.0","2,625.0","2,938.0","3,359.0","3,654.0","4,111.0","4,031.0","3,649.0","3,905.0","3,499.0","3,404.0","3,187.0","3,230.0","3,672.0","3,843.0","3,925.0","3,709.0","3,550.0","3,504.0","3,702.0","3,689.0","4,006.0","4,266.0","4,275.0","4,542.0","4,426.0","4,457.0","4,481.0","4,781.0","5,070.0","5,063.0","5,365.0","5,550.0","5,518.0","5,337.0","5,036.0","4,814.0","4,474.0","4,670.0","5,207.0","5,644.0","5,855.0","5,887.0","5,849.0","5,495.0","5,264.0","5,084.0","4,834.0"
"44","25","        Petroleum and coal products","A404RBC1","2,598.0","3,017.0","2,890.0","2,646.0","2,288.0","2,033.0","1,848.0","1,622.0","1,631.0","2,071.0","2,541.0","3,137.0","2,829.0","2,838.0","2,821.0","2,663.0","2,578.0","2,141.0","2,411.0","2,344.0","2,609.0","2,753.0","2,873.0","2,925.0","2,964.0","2,801.0","2,730.0","2,821.0","2,949.0","2,985.0","3,109.0","3,396.0","3,228.0","3,578.0","3,391.0","3,183.0","2,997.0","2,873.0","2,534.0","2,281.0","2,126.0","1,864.0","2,366.0","2,665.0","2,857.0","2,791.0","2,703.0","2,437.0","2,522.0","2,755.0","2,870.0","2,745.0","2,630.0","2,421.0","2,229.0","2,187.0","2,366.0","2,260.0","2,196.0","2,419.0","2,308.0","2,253.0","2,338.0","2,283.0","2,304.0","2,462.0","2,445.0","2,810.0","2,740.0","3,169.0","3,022.0","3,107.0","3,276.0","3,359.0","3,600.0","3,795.0","3,893.0","4,040.0","4,020.0","4,122.0","4,121.0","4,021.0","4,047.0","3,597.0","3,656.0","3,752.0","3,544.0","3,390.0"
"45","26","        Other","A405RC1","4,009.0","3,799.0","3,632.0","3,620.0","3,110.0","2,659.0","2,985.0","2,746.0","2,930.0","2,868.0","2,564.0","2,895.0","3,224.0","4,417.0","5,469.0","4,907.0","3,713.0","3,802.0","3,594.0","3,724.0","3,778.0","3,687.0","3,440.0","2,877.0","3,090.0","2,895.0","2,796.0","3,209.0","3,431.0","3,593.0","3,655.0","4,073.0","4,260.0","4,214.0","4,186.0","4,209.0","3,906.0","3,750.0","3,698.0","3,508.0","3,137.0","3,368.0","3,830.0","3,785.0","4,199.0","4,565.0","4,540.0","4,520.0","4,884.0","4,367.0","4,263.0","4,054.0","3,812.0","4,099.0","4,652.0","4,635.0","4,597.0","4,494.0","4,556.0","4,831.0","4,609.0","4,962.0","5,037.0","5,070.0","5,296.0","5,495.0","5,782.0","5,557.0","6,356.0","6,072.0","6,306.0","6,950.0","7,231.0","7,349.0","7,332.0","7,073.0","6,902.0","6,444.0","6,787.0","7,071.0","7,147.0","7,517.0","7,618.0","7,949.0","7,839.0","7,805.0","7,531.0","7,012.0"
"46","27","    Transportation and public utilities","Q416RBC1","2,794.0","3,263.0","3,034.0","3,071.0","2,964.0","3,139.0","3,208.0","2,962.0","3,371.0","3,870.0","4,542.0","4,801.0","4,402.0","4,730.0","4,731.0","5,256.0","5,425.0","4,785.0","5,023.0","5,358.0","5,483.0","5,387.0","5,258.0","4,849.0","4,784.0","5,003.0","5,067.0","5,192.0","5,810.0","6,139.0","5,979.0","6,143.0","6,274.0","6,380.0","6,315.0","6,237.0","6,450.0","6,223.0","6,288.0","5,939.0","5,586.0","6,012.0","6,458.0","6,851.0","7,410.0","7,622.0","7,054.0","7,371.0","7,867.0","7,901.0","7,665.0","7,826.0","7,612.0","8,070.0","8,225.0","8,855.0","8,745.0","8,657.0","8,885.0","8,651.0","9,294.0","9,655.0","9,910.0","10,127.0","10,474.0","10,368.0","10,353.0","10,377.0","10,709.0","11,181.0","11,589.0","12,170.0","12,442.0","12,909.0","12,587.0","12,338.0","11,438.0","11,137.0","11,269.0","11,607.0","11,421.0","11,341.0","11,513.0","11,490.0","11,774.0","11,646.0","10,717.0","10,261.0"
"47","28","      Transportation","A417RBC1","1,345.0","1,721.0","1,560.0","1,432.0","1,268.0","1,272.0","1,188.0","1,044.0","1,380.0","1,676.0","2,212.0","2,393.0","1,801.0","1,925.0","1,777.0","2,113.0","2,157.0","1,573.0","1,781.0","1,921.0","1,957.0","1,821.0","1,565.0","1,125.0","941.0","973.0","941.0","1,065.0","1,473.0","1,549.0","1,513.0","1,393.0","1,449.0","1,541.0","1,345.0","1,413.0","1,337.0","1,161.0","1,241.0","845.0","500.0","724.0","1,016.0","1,264.0","1,432.0","1,476.0","728.0","928.0","1,164.0","920.0","672.0","764.0","613.0","873.0","1,025.0","1,305.0","1,132.0","972.0","1,020.0","1,044.0","1,048.0","1,456.0","1,416.0","1,672.0","1,772.0","1,616.0","1,628.0","1,376.0","1,705.0","2,093.0","2,321.0","2,361.0","2,428.0","2,524.0","1,997.0","2,061.0","1,453.0","1,169.0","1,305.0","1,340.0","1,182.0","951.0","829.0","813.0","835.0","756.0","359.0","306.0"
"48","29","      Communication","A418RBC1","435.0","464.0","416.0","433.0","383.0","486.0","551.0","597.0","629.0","712.0","876.0","886.0","975.0","1,051.0","1,108.0","1,181.0","1,238.0","1,245.0","1,215.0","1,294.0","1,383.0","1,439.0","1,489.0","1,548.0","1,527.0","1,618.0","1,670.0","1,711.0","1,905.0","2,023.0","2,023.0","2,107.0","2,158.0","2,148.0","2,259.0","2,245.0","2,394.0","2,351.0","2,357.0","2,396.0","2,384.0","2,579.0","2,709.0","2,794.0","2,989.0","3,097.0","3,117.0","3,114.0","3,170.0","3,312.0","3,356.0","3,389.0","3,413.0","3,435.0","3,462.0","3,632.0","3,751.0","3,795.0","3,888.0","3,854.0","4,017.0","4,118.0","4,269.0","4,218.0","4,201.0","4,251.0","4,156.0","4,344.0","4,443.0","4,402.0","4,718.0","5,042.0","5,150.0","5,414.0","5,584.0","5,397.0","5,157.0","5,134.0","5,308.0","5,396.0","5,493.0","5,502.0","5,592.0","5,678.0","5,980.0","6,054.0","5,676.0","5,731.0"
"49","30","      Electric, gas, and sanitary services","A419RBC1","1,014.0","1,078.0","1,058.0","1,206.0","1,313.0","1,381.0","1,469.0","1,321.0","1,362.0","1,482.0","1,454.0","1,522.0","1,626.0","1,754.0","1,846.0","1,962.0","2,030.0","1,967.0","2,027.0","2,143.0","2,143.0","2,127.0","2,204.0","2,176.0","2,316.0","2,412.0","2,456.0","2,416.0","2,432.0","2,567.0","2,443.0","2,643.0","2,667.0","2,691.0","2,711.0","2,579.0","2,719.0","2,711.0","2,690.0","2,698.0","2,702.0","2,709.0","2,733.0","2,793.0","2,989.0","3,049.0","3,209.0","3,329.0","3,533.0","3,669.0","3,637.0","3,673.0","3,586.0","3,762.0","3,738.0","3,918.0","3,862.0","3,890.0","3,977.0","3,753.0","4,229.0","4,081.0","4,225.0","4,237.0","4,501.0","4,501.0","4,569.0","4,657.0","4,561.0","4,686.0","4,550.0","4,767.0","4,864.0","4,971.0","5,006.0","4,880.0","4,828.0","4,834.0","4,656.0","4,871.0","4,746.0","4,888.0","5,092.0","4,999.0","4,959.0","4,836.0","4,682.0","4,224.0"
"50","31","    Wholesale trade","A414RBC1","2,399.0","2,467.0","2,271.0","2,319.0","2,215.0","1,962.0","1,950.0","1,555.0","1,919.0","1,835.0","2,135.0","2,415.0","2,571.0","2,584.0","2,560.0","2,600.0","2,377.0","2,226.0","2,298.0","2,231.0","2,040.0","2,024.0","1,725.0","1,321.0","1,393.0","1,413.0","1,693.0","2,292.0","2,399.0","2,402.0","2,514.0","2,230.0","1,906.0","2,138.0","2,498.0","2,129.0","2,288.0","2,183.0","2,154.0","2,045.0","1,784.0","1,759.0","2,427.0","2,938.0","2,826.0","3,154.0","2,930.0","2,486.0","2,782.0","2,427.0","2,407.0","2,376.0","2,177.0","2,370.0","2,486.0","2,910.0","2,981.0","2,704.0","2,904.0","2,768.0","2,541.0","2,749.0","2,941.0","3,081.0","3,470.0","3,494.0","3,562.0","3,063.0","3,655.0","4,076.0","3,481.0","3,887.0","4,225.0","3,888.0","3,703.0","4,055.0","4,085.0","4,060.0","4,015.0","4,145.0","4,421.0","4,671.0","4,825.0","4,770.0","4,834.0","4,953.0","4,800.0","5,186.0"
"51","32","    Retail trade","A415RBC1","3,242.0","3,454.0","3,142.0","3,162.0","3,242.0","2,729.0","2,653.0","2,449.0","2,966.0","3,234.0","2,782.0","3,026.0","3,446.0","2,134.0","2,334.0","2,622.0","1,975.0","2,895.0","2,523.0","3,487.0","2,640.0","2,660.0","2,384.0","1,472.0","1,524.0","1,573.0","3,144.0","3,052.0","3,664.0","2,852.0","2,556.0","2,392.0","1,848.0","2,344.0","3,176.0","2,924.0","2,643.0","2,535.0","2,707.0","2,326.0","1,634.0","2,349.0","2,853.0","3,693.0","3,245.0","3,373.0","2,953.0","3,729.0","2,805.0","2,921.0","2,826.0","2,498.0","2,659.0","2,963.0","2,991.0","3,375.0","3,575.0","3,474.0","3,362.0","3,310.0","3,678.0","3,630.0","3,470.0","3,602.0","4,210.0","4,530.0","4,650.0","4,654.0","4,719.0","4,815.0","4,971.0","5,068.0","4,865.0","4,853.0","4,676.0","5,073.0","5,225.0","5,459.0","5,950.0","6,060.0","6,130.0","6,361.0","6,675.0","6,476.0","6,370.0","6,861.0","6,693.0","5,835.0"
"52","33","    Other","A420RC1","3,315.0","3,602.0","3,776.0","3,769.0","3,565.0","3,279.0","3,006.0","2,936.0","3,160.0","3,550.0","3,814.0","3,827.0","3,570.0","3,705.0","3,535.0","3,369.0","3,454.0","3,117.0","3,123.0","3,223.0","3,102.0","2,975.0","2,954.0","2,946.0","3,041.0","3,248.0","3,332.0","3,461.0","3,679.0","3,605.0","3,210.0","3,715.0","3,864.0","3,832.0","3,842.0","3,870.0","3,801.0","3,963.0","3,801.0","3,733.0","3,556.0","3,451.0","3,552.0","3,500.0","3,719.0","3,559.0","3,369.0","3,171.0","3,174.0","3,184.0","3,269.0","3,421.0","3,572.0","3,486.0","3,617.0","3,825.0","3,700.0","3,514.0","3,536.0","3,881.0","4,082.0","4,317.0","4,464.0","4,442.0","4,743.0","4,896.0","4,809.0","4,866.0","5,370.0","5,563.0","5,757.0","5,971.0","5,993.0","6,101.0","6,410.0","6,547.0","6,478.0","6,472.0","6,665.0","6,836.0","7,134.0","7,468.0","7,452.0","7,379.0","6,901.0","6,779.0","6,721.0","5,507.0"
"53","34","Rest of the world","B394RC1","1,208.0","1,284.0","1,272.0","1,280.0","1,224.0","1,168.0","1,116.0","992.0","1,128.0","1,084.0","1,424.0","1,440.0","1,484.0","1,692.0","1,804.0","1,996.0","1,904.0","1,880.0","1,916.0","1,852.0","1,872.0","1,900.0","1,732.0","1,688.0","1,840.0","1,856.0","1,924.0","2,228.0","2,236.0","2,240.0","2,404.0","2,536.0","2,720.0","2,760.0","2,904.0","2,900.0","3,012.0","3,288.0","3,212.0","2,856.0","2,580.0","2,548.0","2,504.0","2,460.0","2,500.0","2,540.0","2,792.0","3,040.0","3,060.0","3,168.0","3,076.0","3,244.0","3,388.0","3,176.0","3,344.0","3,356.0","3,372.0","3,624.0","3,716.0","4,376.0","4,144.0","3,956.0","4,012.0","4,212.0","4,560.0","4,408.0","4,472.0","4,436.0","4,772.0","4,944.0","4,616.0","4,492.0","4,348.0","4,488.0","4,548.0","4,728.0","4,688.0","4,452.0","5,020.0","4,940.0","5,220.0","5,492.0","5,728.0","6,104.0","6,260.0","6,436.0","6,748.0","6,936.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
