"","Table 1#3#5# Gross Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Nonfarm \2\","A358RC1","81,087.0","70,940.0","58,233.0","43,510.0","41,459.0","50,117.0","54,737.0","64,188.0","70,399.0","65,547.0","71,675.0","80,311.0","100,917.0","123,996.0","144,411.0","155,417.0","153,181.0","161,696.0","186,550.0","207,409.0","207,274.0","230,753.0","264,099.0","277,756.0","297,360.0","295,593.0","326,329.0","344,182.0","362,283.0","360,304.0","396,451.0","408,177.0","420,312.0","453,055.0","477,647.0","516,033.0","560,413.0","614,371.0","645,321.0","705,985.0","760,186.0"
"22","4","  Farm","B359RC1","8,935.0","6,956.0","5,667.0","3,949.0","4,111.0","4,163.0","6,432.0","5,851.0","7,658.0","5,956.0","5,708.0","5,859.0","8,318.0","12,383.0","14,612.0","14,575.0","15,149.0","17,842.0","19,059.0","22,099.0","17,585.0","18,725.0","21,660.0","20,788.0","18,673.0","18,196.0","17,270.0","17,069.0","16,919.0","19,087.0","17,315.0","18,170.0","18,333.0","18,410.0","18,494.0","17,340.0","19,940.0","20,825.0","20,120.0","20,497.0","22,825.0"
"23","5","Households and institutions","A193RC1","9,079.0","8,593.0","7,740.0","6,645.0","5,868.0","5,795.0","5,893.0","6,131.0","6,572.0","6,658.0","6,822.0","7,082.0","7,542.0","8,454.0","9,288.0","10,295.0","11,162.0","11,935.0","13,401.0","14,884.0","16,225.0","18,013.0","20,219.0","22,463.0","24,984.0","27,204.0","29,901.0","32,492.0","35,197.0","38,147.0","41,339.0","45,285.0","48,115.0","51,871.0","55,160.0","58,727.0","63,001.0","68,022.0","73,406.0","79,378.0","87,586.0"
"24","6","  Households","B701RC1","7,502.0","6,988.0","6,196.0","5,228.0","4,557.0","4,460.0","4,536.0","4,702.0","5,058.0","5,092.0","5,233.0","5,410.0","5,764.0","6,502.0","7,111.0","7,912.0","8,622.0","8,922.0","9,812.0","10,754.0","11,717.0","13,135.0","14,813.0","16,609.0","18,579.0","20,304.0","22,386.0","24,288.0","26,182.0","28,264.0","30,544.0","33,101.0","35,150.0","37,635.0","39,715.0","41,904.0","44,483.0","47,250.0","50,276.0","53,292.0","57,617.0"
"25","7","  Nonprofit institutions serving households \3\","B702RC1","1,577.0","1,605.0","1,544.0","1,417.0","1,311.0","1,335.0","1,357.0","1,429.0","1,514.0","1,566.0","1,589.0","1,672.0","1,778.0","1,952.0","2,177.0","2,383.0","2,540.0","3,013.0","3,589.0","4,130.0","4,508.0","4,878.0","5,406.0","5,854.0","6,405.0","6,900.0","7,515.0","8,204.0","9,015.0","9,883.0","10,795.0","12,184.0","12,965.0","14,236.0","15,445.0","16,823.0","18,518.0","20,772.0","23,130.0","26,086.0","29,969.0"
"26","8","General government \4\","A765RC1","5,459.0","5,678.0","5,766.0","5,428.0","5,727.0","6,737.0","7,197.0","8,684.0","8,400.0","9,226.0","9,268.0","9,694.0","12,579.0","21,164.0","34,811.0","44,263.0","48,681.0","36,339.0","30,935.0","30,415.0","31,743.0","32,707.0","41,316.0","46,721.0","48,722.0","50,153.0","52,675.0","56,387.0","60,452.0","64,507.0","67,346.0","71,651.0","76,543.0","81,779.0","87,281.0","93,686.0","100,374.0","111,821.0","122,884.0","136,620.0","149,281.0"
"27","9","  Federal","A766RC1","1,266.0","1,300.0","1,307.0","1,240.0","1,527.0","2,104.0","2,240.0","4,113.0","3,580.0","4,109.0","4,064.0","4,342.0","7,010.0","15,324.0","28,677.0","37,898.0","41,867.0","28,523.0","21,626.0","19,643.0","19,974.0","20,264.0","27,505.0","31,626.0","32,432.0","32,458.0","33,596.0","35,068.0","36,884.0","38,643.0","39,903.0","41,627.0","43,610.0","46,473.0","48,946.0","51,973.0","54,549.0","60,601.0","66,019.0","72,094.0","76,900.0"
"28","10","  State and local","A767RC1","4,193.0","4,378.0","4,459.0","4,188.0","4,200.0","4,633.0","4,957.0","4,571.0","4,820.0","5,117.0","5,204.0","5,352.0","5,569.0","5,840.0","6,134.0","6,365.0","6,814.0","7,816.0","9,309.0","10,772.0","11,769.0","12,443.0","13,811.0","15,095.0","16,290.0","17,695.0","19,079.0","21,319.0","23,568.0","25,864.0","27,443.0","30,024.0","32,933.0","35,306.0","38,335.0","41,713.0","45,825.0","51,220.0","56,865.0","64,526.0","72,381.0"
"29",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross housing value added","A2009C1","9,889.0","9,563.0","8,978.0","7,980.0","6,972.0","6,567.0","6,600.0","6,737.0","7,154.0","7,636.0","7,745.0","7,971.0","8,502.0","9,333.0","9,909.0","10,423.0","10,766.0","11,299.0","12,311.0","13,746.0","15,139.0","16,753.0","18,820.0","21,143.0","23,569.0","25,814.0","27,678.0","29,660.0","32,070.0","34,570.0","37,649.0","40,663.0","43,589.0","46,882.0","49,813.0","52,705.0","56,138.0","59,698.0","63,780.0","67,891.0","73,589.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
