"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"32","13","    Rents and royalties","Y704RC1","1,085.0","1,084.0","1,094.0","1,108.0","1,182.0","1,202.0","1,230.0","1,260.0","1,385.0","1,409.0","1,420.0","1,429.0","1,494.0","1,492.0","1,492.0","1,510.0","1,692.0","1,750.0","1,822.0","1,887.0","2,076.0","2,118.0","2,155.0","2,181.0","2,272.0","2,286.0","2,314.0","2,338.0","2,381.0","2,408.0","2,426.0","2,439.0","2,445.0","2,511.0","2,572.0","2,620.0","2,738.0","2,796.0","2,873.0","2,966.0","3,700.0","3,866.0","4,073.0","4,319.0","5,753.0","6,019.0","6,291.0","6,579.0","7,174.0","7,551.0","7,932.0","8,315.0","8,694.0","8,726.0","8,575.0","8,241.0","8,394.0","8,433.0","8,626.0","8,963.0","9,491.0","9,797.0","10,009.0","10,121.0","10,005.0","9,964.0","9,895.0","9,801.0","9,814.0","9,630.0","9,417.0","9,180.0","9,070.0","8,704.0","8,222.0","7,617.0","7,688.0","7,292.0","7,065.0","6,974.0","7,052.0","7,077.0","7,111.0","7,134.0","7,077.0","7,218.0","8,574.0","7,725.0","8,138.0","8,319.0","8,380.0","8,330.0","8,828.0","8,014.0","7,996.0","8,029.0","8,163.0","8,242.0","8,321.0","8,456.0","8,472.0","8,320.0","8,036.0","7,521.0","7,344.0","7,240.0","7,689.0","7,704.0","8,433.0","8,538.0","9,054.0","8,932.0","9,373.0","9,247.0","9,447.0","9,150.0","9,101.0","8,666.0","8,980.0","8,665.0","8,437.0","8,749.0","9,409.0","10,026.0","10,983.0","11,563.0","13,245.0","14,378.0","15,545.0","15,544.0","15,293.0","13,046.0","13,062.0","12,905.0","13,211.0","13,059.0","12,966.0","14,647.0","15,003.0","15,981.0","16,099.0","16,957.0","16,995.0","18,472.0","18,807.0","19,355.0","19,957.0","19,641.0","20,625.0","21,272.0","19,572.0","19,759.0","20,750.0","20,983.0","23,450.0","25,396.0","26,772.0","28,752.0","26,376.0","21,523.0","19,724.0","18,587.0","16,871.0","17,819.0","17,828.0","19,023.0","19,581.0","20,367.0","20,866.0","21,327.0","22,360.0","22,120.0","22,253.0","22,562.0","22,505.0","22,732.0","21,250.0","21,204.0","22,010.0","22,255.0","22,772.0","23,664.0","24,539.0","24,042.0","22,420.0","22,273.0","22,982.0"
"33","14","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","28.0","28.0","28.0","28.0","32.0","32.0","36.0","36.0","36.0","40.0","40.0","40.0","44.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","64.0","68.0","76.0","80.0","84.0","84.0","84.0","88.0","92.0","100.0","108.0","116.0","124.0","128.0","136.0","144.0","152.0","156.0","164.0","172.0","176.0","180.0","176.0","172.0","164.0","160.0","160.0","160.0","156.0","156.0","152.0","152.0","148.0","148.0","152.0","156.0","160.0","164.0","168.0","172.0","176.0","176.0","180.0","176.0","176.0","176.0","180.0","181.0","206.0","254.0","311.0","303.0","327.0","349.0","393.0","403.0","448.0","484.0","525.0","533.0","571.0","597.0","643.0","681.0","743.0","755.0","845.0","843.0","839.0","1,026.0","1,144.0","1,172.0","1,326.0","1,495.0","1,419.0","1,410.0","1,504.0","1,579.0","1,607.0","1,570.0","1,649.0","1,674.0","1,627.0","1,552.0","1,491.0","1,475.0","1,470.0","1,472.0","1,337.0","1,228.0","1,383.0","1,416.0","1,351.0","1,470.0","1,451.0","1,463.0","1,489.0","1,642.0","1,610.0","1,826.0","1,650.0","1,710.0","1,694.0","1,659.0","1,749.0","1,938.0","2,719.0","2,116.0","2,228.0","2,245.0","2,275.0","2,275.0","2,365.0","2,349.0","2,344.0","2,388.0","2,295.0","2,421.0","2,470.0","2,766.0","2,697.0","2,762.0","4,474.0","14,982.0","22,831.0","21,128.0","24,616.0","17,252.0","18,649.0","20,847.0","20,586.0","20,996.0","20,739.0","21,553.0","22,430.0","24,023.0","24,587.0","24,571.0","24,589.0","45,233.0","270,394.0","63,265.0","161,044.0","74,814.0","45,228.0","26,743.0","31,415.0","15,500.0","14,707.0","38,093.0"
"34","15","Current transfer receipts","W060RC1","2,531.0","2,577.0","2,613.0","2,659.0","2,715.0","2,754.0","2,676.0","2,703.0","2,826.0","2,870.0","2,936.0","3,032.0","3,297.0","3,424.0","3,517.0","3,574.0","3,779.0","3,845.0","3,411.0","3,505.0","3,906.0","4,073.0","4,200.0","4,293.0","4,512.0","4,621.0","4,736.0","4,871.0","5,329.0","5,373.0","5,476.0","5,662.0","5,999.0","6,240.0","6,685.0","6,904.0","7,413.0","7,660.0","7,891.0","8,104.0","8,569.0","8,766.0","8,948.0","9,137.0","9,625.0","9,894.0","10,044.0","11,713.0","11,697.0","11,443.0","11,696.0","11,920.0","13,299.0","13,779.0","14,227.0","14,679.0","15,240.0","15,721.0","16,180.0","16,919.0","17,855.0","18,454.0","18,878.0","19,209.0","20,118.0","26,218.0","21,062.0","21,502.0","30,055.0","22,780.0","22,296.0","24,757.0","25,401.0","26,703.0","26,260.0","26,676.0","25,669.0","26,323.0","27,474.0","28,554.0","29,882.0","30,826.0","32,613.0","33,031.0","33,369.0","33,902.0","35,658.0","38,423.0","41,525.0","42,790.0","44,567.0","46,414.0","47,358.0","47,807.0","49,055.0","53,972.0","53,191.0","53,477.0","54,088.0","56,076.0","58,811.0","58,377.0","59,629.0","58,363.0","57,758.0","57,453.0","57,452.0","57,357.0","58,745.0","60,438.0","62,080.0","81,365.0","65,033.0","66,544.0","71,968.0","68,575.0","70,196.0","69,744.0","71,796.0","84,916.0","77,936.0","79,716.0","81,274.0","83,552.0","89,773.0","90,018.0","92,202.0","93,642.0","95,096.0","96,082.0","98,281.0","99,918.0","102,014.0","102,479.0","103,615.0","104,334.0","106,322.0","108,402.0","110,309.0","112,872.0","116,756.0","119,561.0","121,648.0","121,295.0","123,263.0","125,320.0","126,268.0","127,997.0","132,807.0","135,554.0","137,356.0","138,256.0","141,808.0","142,633.0","144,693.0","146,840.0","150,132.0","152,824.0","152,135.0","170,948.0","175,536.0","186,687.0","167,277.0","171,452.0","172,354.0","174,087.0","177,031.0","175,744.0","176,682.0","178,870.0","176,811.0","174,584.0","172,591.0","169,106.0","164,302.0","174,520.0","185,713.0","185,212.0","184,046.0","213,770.0","187,771.0","223,994.0","231,957.0","185,285.0","184,291.0","198,375.0","180,796.0"
"35","16","  From business (net)","W061RC1","1,456.0","1,471.0","1,469.0","1,472.0","1,493.0","1,495.0","1,377.0","1,359.0","1,455.0","1,448.0","1,457.0","1,484.0","1,624.0","1,659.0","1,686.0","1,699.0","1,948.0","2,025.0","1,583.0","1,644.0","1,966.0","2,058.0","2,092.0","2,084.0","2,208.0","2,197.0","2,180.0","2,183.0","2,501.0","2,414.0","2,394.0","2,459.0","2,692.0","2,819.0","3,169.0","3,284.0","3,708.0","3,858.0","3,983.0","4,095.0","4,430.0","4,507.0","4,562.0","4,609.0","4,983.0","5,064.0","4,997.0","6,424.0","6,085.0","5,587.0","5,621.0","5,659.0","6,608.0","6,855.0","7,040.0","7,217.0","7,520.0","7,733.0","7,903.0","8,384.0","9,076.0","9,399.0","9,572.0","9,677.0","10,255.0","15,998.0","10,455.0","10,492.0","18,711.0","11,060.0","10,241.0","12,040.0","12,739.0","13,792.0","12,753.0","12,980.0","11,516.0","11,564.0","12,403.0","13,153.0","13,961.0","14,533.0","15,936.0","15,950.0","16,094.0","16,026.0","17,000.0","18,824.0","20,598.0","20,722.0","21,456.0","22,236.0","22,371.0","22,030.0","22,672.0","27,139.0","25,149.0","25,146.0","25,406.0","26,855.0","28,697.0","27,681.0","28,447.0","26,787.0","25,875.0","25,110.0","24,566.0","23,877.0","24,718.0","25,805.0","26,845.0","45,536.0","27,793.0","28,525.0","33,385.0","29,621.0","31,144.0","30,404.0","31,800.0","43,852.0","35,648.0","36,200.0","36,176.0","37,780.0","40,956.0","41,844.0","42,044.0","42,832.0","42,828.0","43,244.0","44,232.0","45,224.0","46,608.0","45,856.0","45,856.0","46,592.0","47,224.0","47,644.0","48,644.0","49,712.0","51,483.0","52,464.0","53,011.0","52,518.0","52,159.0","53,099.0","53,405.0","54,926.0","56,669.0","57,721.0","58,826.0","59,940.0","60,861.0","60,922.0","61,639.0","64,503.0","67,143.0","67,165.0","66,017.0","81,950.0","85,774.0","100,250.0","82,872.0","84,926.0","85,381.0","84,472.0","89,206.0","89,710.0","91,799.0","89,603.0","89,984.0","85,535.0","80,486.0","73,545.0","66,586.0","69,582.0","86,426.0","88,808.0","84,860.0","107,587.0","82,248.0","79,514.0","133,136.0","84,295.0","80,085.0","86,325.0","81,245.0"
"36","17","  From persons","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,508.0","59,692.0","61,092.0","62,744.0","64,848.0","66,358.0","67,653.0","68,738.0","70,264.0","71,154.0","72,067.0","73,015.0","75,099.0","76,137.0","77,153.0","78,149.0","79,822.0","80,635.0","81,366.0","81,997.0","82,206.0","82,668.0","82,978.0","83,158.0","83,302.0","83,513.0","83,645.0","83,702.0","84,013.0","83,883.0","83,797.0","83,740.0","84,163.0","84,826.0","85,791.0","87,064.0","89,005.0","90,870.0","92,007.0","92,424.0","92,204.0","92,262.0","92,650.0","93,401.0","94,413.0","95,206.0","95,690.0","95,867.0","97,000.0","97,207.0","97,759.0"
"37","18","  From the rest of the world \3\","LA0000141",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","426.0","0.0","1,881.0","46.0","818.0","214.0","732.0","382.0","661.0","390.0","234.0","627.0","971.0","178.0","590.0","1,066.0","573.0","416.0","424.0","740.0","984.0","40.0","840.0","1,068.0","796.0","56.0","1,040.0","1,696.0","1,376.0","168.0","1,124.0","1,076.0","1,688.0","340.0","784.0","2,992.0","3,140.0","5,840.0","6,460.0","2,924.0","760.0","2,824.0","2,960.0","5,732.0","4,028.0","2,294.0","721.0","4,441.0","1,037.0","1,985.0","3,099.0","4,691.0","5,709.0","12,514.0","7,084.0","4,142.0","6,535.0","12,782.0","11,110.0","49,274.0","3,131.0","5,123.0","7,205.0","14,843.0","1,792.0"
"38","19","Current surplus of government enterprises \4\","A108RC1","13.0","-4.0","-32.0","42.0","-677.0","-1,294.0","-1,276.0","-1,549.0","-1,942.0","-1,425.0","-1,754.0","-1,671.0","-1,589.0","-1,256.0","-1,124.0","-654.0","-1,597.0","-2,004.0","-2,423.0","-2,792.0","-2,704.0","-2,134.0","-2,688.0","-3,205.0","-3,952.0","-4,169.0","-4,569.0","-4,729.0","-2,734.0","-2,738.0","-2,634.0","-2,717.0","-2,955.0","-3,082.0","-3,604.0","-3,695.0","-3,646.0","-3,184.0","-1,861.0","-2,698.0","-2,781.0","-2,939.0","-3,117.0","-4,011.0","-4,126.0","-4,768.0","-5,092.0","-6,218.0","-6,649.0","-4,601.0","-5,078.0","-4,358.0","-3,823.0","-3,720.0","-3,871.0","-3,764.0","-2,986.0","-2,490.0","-2,145.0","-1,628.0","-2,118.0","-1,611.0","-1,291.0","-483.0","228.0","1,544.0","1,843.0","1,613.0","1,888.0","1,950.0","1,953.0","2,062.0","2,463.0","2,248.0","1,994.0","1,961.0","1,687.0","5,925.0","6,046.0","6,503.0","6,544.0","6,724.0","6,624.0","6,799.0","4,648.0","3,255.0","2,841.0","2,190.0","5,535.0","7,969.0","8,216.0","9,635.0","9,409.0","10,193.0","10,724.0","9,387.0","9,113.0","11,329.0","11,050.0","11,592.0","12,172.0","12,111.0","11,742.0","11,292.0","15,663.0","15,434.0","15,564.0","15,812.0","16,486.0","16,658.0","17,155.0","17,260.0","17,364.0","18,058.0","17,306.0","17,086.0","16,399.0","16,662.0","16,569.0","15,416.0","17,320.0","16,664.0","16,158.0","14,542.0","14,212.0","12,796.0","9,396.0","6,507.0","5,767.0","3,961.0","8,767.0","2,151.0","4,326.0","4,806.0","9,777.0","9,061.0","6,082.0","4,493.0","2,980.0","2,000.0","107.0","-937.0","-2,706.0","-3,652.0","-4,932.0","-5,729.0","-7,341.0","-7,591.0","-5,923.0","-8,107.0","-10,395.0","-12,825.0","-15,682.0","-15,749.0","-15,587.0","-18,750.0","-20,217.0","-21,204.0","-21,458.0","-21,948.0","-21,830.0","-20,415.0","-19,531.0","-20,743.0","-21,179.0","-22,587.0","-23,466.0","-24,313.0","-24,461.0","-24,094.0","-24,641.0","-24,851.0","-21,266.0","-19,399.0","-18,225.0","-18,261.0","-17,692.0","-18,722.0","-18,808.0","-19,925.0","-17,582.0","-18,408.0","-18,423.0","-18,626.0","-16,576.0","-16,102.0","-16,018.0"
"39","20","    Current expenditures","W022RC1","271,170.0","280,157.0","287,428.0","295,344.0","301,755.0","315,869.0","322,206.0","330,085.0","339,750.0","352,006.0","355,295.0","362,453.0","377,559.0","381,800.0","385,226.0","398,858.0","405,266.0","414,939.0","418,378.0","427,768.0","441,327.0","460,500.0","475,778.0","495,706.0","517,786.0","544,555.0","549,523.0","562,071.0","569,776.0","573,923.0","588,276.0","597,722.0","609,422.0","621,000.0","636,048.0","655,475.0","669,347.0","681,405.0","699,626.0","717,770.0","734,663.0","749,997.0","774,151.0","801,728.0","833,913.0","859,653.0","899,540.0","927,695.0","960,150.0","982,008.0","1,014,903.0","1,044,297.0","1,066,635.0","1,086,758.0","1,122,130.0","1,165,567.0","1,178,899.0","1,202,359.0","1,219,615.0","1,220,754.0","1,244,537.0","1,272,969.0","1,297,573.0","1,328,370.0","1,355,087.0","1,377,898.0","1,406,065.0","1,428,251.0","1,446,679.0","1,476,481.0","1,502,679.0","1,512,190.0","1,526,104.0","1,547,719.0","1,560,209.0","1,594,576.0","1,618,153.0","1,629,394.0","1,648,818.0","1,691,248.0","1,730,371.0","1,768,726.0","1,795,356.0","1,828,084.0","1,872,152.0","1,904,749.0","1,931,370.0","1,972,617.0","1,943,412.0","2,019,202.0","2,063,579.0","2,112,291.0","2,166,517.0","2,206,189.0","2,238,042.0","2,262,829.0","2,271,363.0","2,285,982.0","2,314,972.0","2,333,110.0","2,330,460.0","2,355,030.0","2,390,285.0","2,432,929.0","2,468,971.0","2,496,370.0","2,511,673.0","2,503,543.0","2,550,783.0","2,575,406.0","2,578,925.0","2,608,280.0","2,622,041.0","2,644,799.0","2,658,453.0","2,692,636.0","2,682,813.0","2,709,778.0","2,721,787.0","2,763,913.0","2,781,591.0","2,806,661.0","2,844,524.0","2,896,023.0","2,901,833.0","2,964,148.0","2,987,973.0","3,033,073.0","3,103,992.0","3,163,344.0","3,196,629.0","3,232,229.0","3,296,004.0","3,342,406.0","3,377,411.0","3,437,269.0","3,502,313.0","3,572,649.0","3,591,088.0","3,622,904.0","3,716,007.0","3,748,432.0","3,798,115.0","3,848,858.0","3,953,326.0","4,002,972.0","4,070,080.0","4,134,767.0","4,195,613.0","4,256,640.0","4,320,850.0","4,324,046.0","4,467,689.0","4,526,530.0","4,567,497.0","4,626,916.0","4,712,978.0","5,094,089.0","4,968,043.0","4,891,263.0","4,985,930.0","5,262,863.0","5,315,991.0","5,316,393.0","5,443,496.0","5,491,071.0","5,525,839.0","5,549,711.0","5,558,948.0","5,642,124.0","5,587,145.0","5,580,658.0","5,589,869.0","5,616,698.0","5,602,706.0","5,683,067.0","5,630,378.0","5,645,506.0","5,671,751.0","5,675,094.0","5,723,050.0","5,777,327.0","5,847,767.0","5,830,253.0","5,842,689.0","5,944,701.0","6,017,828.0"
"40","21","Consumption expenditures","A955RC1","173,531.0","178,513.0","184,078.0","187,322.0","190,445.0","191,893.0","195,998.0","199,275.0","205,644.0","209,635.0","212,512.0","215,497.0","224,233.0","227,994.0","227,127.0","230,862.0","235,136.0","239,305.0","241,007.0","247,449.0","255,171.0","261,148.0","270,172.0","281,315.0","288,626.0","296,543.0","301,543.0","307,446.0","309,981.0","314,167.0","316,232.0","324,356.0","331,269.0","338,813.0","345,487.0","354,839.0","361,211.0","368,316.0","374,295.0","383,461.0","393,100.0","400,263.0","406,450.0","421,936.0","435,466.0","452,202.0","457,463.0","474,448.0","489,534.0","503,629.0","509,496.0","526,896.0","537,179.0","544,397.0","557,042.0","573,669.0","584,240.0","593,697.0","606,222.0","594,156.0","610,344.0","629,424.0","638,592.0","649,602.0","666,692.0","679,823.0","697,823.0","709,893.0","715,587.0","731,176.0","746,703.0","752,065.0","760,586.0","771,342.0","776,965.0","795,586.0","803,498.0","812,328.0","819,698.0","843,570.0","853,437.0","878,563.0","889,558.0","904,395.0","927,401.0","940,147.0","949,690.0","974,739.0","996,436.0","1,001,420.0","1,006,826.0","1,011,602.0","1,026,589.0","1,040,935.0","1,061,145.0","1,068,344.0","1,063,065.0","1,067,530.0","1,079,164.0","1,086,944.0","1,090,651.0","1,102,101.0","1,122,062.0","1,123,457.0","1,134,487.0","1,145,550.0","1,150,607.0","1,147,284.0","1,158,186.0","1,174,637.0","1,178,798.0","1,194,373.0","1,201,856.0","1,222,184.0","1,228,505.0","1,245,961.0","1,242,132.0","1,267,556.0","1,276,794.0","1,301,970.0","1,319,681.0","1,339,432.0","1,369,690.0","1,401,483.0","1,407,422.0","1,442,939.0","1,453,412.0","1,472,921.0","1,510,212.0","1,536,912.0","1,558,750.0","1,574,650.0","1,613,936.0","1,641,193.0","1,659,750.0","1,690,579.0","1,722,603.0","1,755,845.0","1,759,000.0","1,784,922.0","1,827,830.0","1,855,996.0","1,887,353.0","1,904,589.0","1,944,049.0","1,960,108.0","2,002,172.0","2,013,863.0","2,057,934.0","2,076,942.0","2,099,605.0","2,124,904.0","2,160,068.0","2,191,751.0","2,227,091.0","2,259,974.0","2,312,458.0","2,350,620.0","2,410,125.0","2,401,056.0","2,392,633.0","2,434,599.0","2,461,099.0","2,479,916.0","2,500,301.0","2,526,141.0","2,534,178.0","2,528,218.0","2,516,172.0","2,544,744.0","2,539,388.0","2,523,141.0","2,548,002.0","2,536,795.0","2,546,678.0","2,545,123.0","2,528,454.0","2,521,072.0","2,515,993.0","2,522,359.0","2,538,726.0","2,549,042.0","2,578,710.0","2,558,588.0","2,556,211.0","2,565,629.0","2,582,654.0"
"41","22","Current transfer payments","A084RC1","61,388.0","64,072.0","64,196.0","66,760.0","67,860.0","78,780.0","79,348.0","83,116.0","85,804.0","93,620.0","93,256.0","96,260.0","100,140.0","99,452.0","101,728.0","110,480.0","111,520.0","115,332.0","116,180.0","117,676.0","123,148.0","135,220.0","139,064.0","146,060.0","158,664.0","175,656.0","173,328.0","177,376.0","180,523.0","179,451.0","189,931.0","188,763.0","191,820.0","193,588.0","198,892.0","200,932.0","205,228.0","206,712.0","214,872.0","217,832.0","223,019.0","227,835.0","243,483.0","250,579.0","262,349.0","265,377.0","298,061.0","303,697.0","306,331.0","309,423.0","328,747.0","330,535.0","336,473.0","344,369.0","361,305.0","379,145.0","378,142.0","384,898.0","380,994.0","388,186.0","388,320.0","391,444.0","395,704.0","407,724.0","413,510.0","417,310.0","424,542.0","428,266.0","434,969.0","445,337.0","453,465.0","455,041.0","456,953.0","463,277.0","465,157.0","474,245.0","486,625.0","488,541.0","495,701.0","507,685.0","525,371.0","531,195.0","544,003.0","558,427.0","575,472.0","591,328.0","599,992.0","610,676.0","554,288.0","619,852.0","656,368.0","694,108.0","732,531.0","754,443.0","764,535.0","782,595.0","788,750.0","796,518.0","813,770.0","828,266.0","826,232.0","832,964.0","840,428.0","870,300.0","880,336.0","887,052.0","893,020.0","887,188.0","923,915.0","935,635.0","932,207.0","945,351.0","951,848.0","952,840.0","959,408.0","976,800.0","974,153.0","977,737.0","981,873.0","1,002,597.0","1,006,732.0","1,010,520.0","1,020,952.0","1,039,603.0","1,042,309.0","1,069,108.0","1,084,210.0","1,108,032.0","1,132,826.0","1,164,412.0","1,172,757.0","1,224,101.0","1,262,213.0","1,275,416.0","1,287,930.0","1,308,352.0","1,334,077.0","1,352,888.0","1,374,915.0","1,377,172.0","1,429,839.0","1,438,410.0","1,446,991.0","1,468,614.0","1,522,057.0","1,529,314.0","1,550,094.0","1,570,962.0","1,609,715.0","1,633,364.0","1,659,942.0","1,659,095.0","1,744,061.0","1,723,765.0","1,751,463.0","1,793,095.0","1,832,936.0","2,171,671.0","1,963,712.0","1,953,580.0","2,061,893.0","2,212,377.0","2,217,754.0","2,218,020.0","2,334,423.0","2,331,612.0","2,362,429.0","2,378,554.0","2,386,727.0","2,392,275.0","2,374,894.0","2,385,776.0","2,372,294.0","2,394,424.0","2,401,625.0","2,419,142.0","2,436,428.0","2,447,459.0","2,473,590.0","2,475,266.0","2,506,715.0","2,541,406.0","2,586,047.0","2,601,724.0","2,661,601.0","2,675,675.0","2,708,555.0"
"42","23","  Government social benefits","W063RC1","57,740.0","58,756.0","60,124.0","61,612.0","63,616.0","73,848.0","74,256.0","78,112.0","80,108.0","87,760.0","87,692.0","89,332.0","92,348.0","92,808.0","93,752.0","104,184.0","106,560.0","108,732.0","110,400.0","113,452.0","118,496.0","126,696.0","133,704.0","140,616.0","151,564.0","166,592.0","169,768.0","172,560.0","177,087.0","175,511.0","182,635.0","185,299.0","188,004.0","188,924.0","194,352.0","196,964.0","200,356.0","201,648.0","209,908.0","212,764.0","217,719.0","222,187.0","237,735.0","243,891.0","254,489.0","259,637.0","291,517.0","294,521.0","300,175.0","303,151.0","321,431.0","323,631.0","328,285.0","337,473.0","353,801.0","369,169.0","371,662.0","377,374.0","372,082.0","375,378.0","379,816.0","382,696.0","384,088.0","391,728.0","402,070.0","404,446.0","409,670.0","412,374.0","424,221.0","429,909.0","437,217.0","440,673.0","446,093.0","451,749.0","453,773.0","457,157.0","474,805.0","477,965.0","483,457.0","489,549.0","513,031.0","520,555.0","529,991.0","541,231.0","562,164.0","573,740.0","584,444.0","603,004.0","628,596.0","649,452.0","659,684.0","689,384.0","716,187.0","736,087.0","747,643.0","751,983.0","772,154.0","778,018.0","792,662.0","797,702.0","811,976.0","816,792.0","820,440.0","840,928.0","864,056.0","872,600.0","877,744.0","871,680.0","900,871.0","920,351.0","916,143.0","918,231.0","938,292.0","939,232.0","944,996.0","950,552.0","960,029.0","964,269.0","965,525.0","974,669.0","991,806.0","993,498.0","1,004,702.0","1,012,914.0","1,025,409.0","1,050,949.0","1,063,449.0","1,074,369.0","1,117,140.0","1,148,428.0","1,154,720.0","1,200,784.0","1,230,400.0","1,256,111.0","1,268,997.0","1,285,045.0","1,304,024.0","1,322,486.0","1,346,283.0","1,351,820.0","1,391,719.0","1,411,447.0","1,419,418.0","1,438,257.0","1,476,839.0","1,497,753.0","1,511,597.0","1,522,829.0","1,579,455.0","1,596,366.0","1,620,887.0","1,625,455.0","1,693,381.0","1,692,058.0","1,714,090.0","1,743,661.0","1,782,554.0","2,131,202.0","1,920,335.0","1,907,626.0","2,017,292.0","2,156,115.0","2,155,245.0","2,170,772.0","2,276,799.0","2,283,243.0","2,309,553.0","2,323,433.0","2,331,609.0","2,327,785.0","2,319,795.0","2,330,001.0","2,315,375.0","2,339,167.0","2,345,112.0","2,366,540.0","2,383,748.0","2,393,676.0","2,415,965.0","2,423,832.0","2,453,525.0","2,490,579.0","2,533,965.0","2,548,522.0","2,603,213.0","2,628,554.0","2,652,620.0"
