"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6"
"32","14","  Consumer goods, except food and automotive","A642RC1","2,111.0","2,334.0","2,604.0"
"33","15","    Durable goods","B690RC1","890.0","990.0","1,190.0"
"34","16","    Nondurable goods","B691RC1","1,221.0","1,344.0","1,414.0"
"35","17","  Other \2\","A643RC1","2,720.0","2,972.0","3,408.0"
"36","18","Exports of services \1\","A646RC1","10,920.0","12,185.0","13,178.0"
"37","19","  Transport","Y800RC1","2,797.0","2,960.0","3,102.0"
"38","20","  Travel (for all purposes including education)","Y801RC1","1,646.0","1,775.0","2,043.0"
"39","21","  Charges for the use of intellectual property n.e.c.","B684RC1","1,747.0","1,867.0","2,019.0"
"40","22","  Other business services \3\","Y802RC1","738.0","801.0","924.0"
"41","23","  Government goods and services n.e.c.","Y803RC1","3,154.0","3,834.0","3,998.0"
"42","24","  Other","B980RC1","838.0","948.0","1,092.0"
"43","25","    Imports of goods and services","B021RC1","39,912.0","46,556.0","50,491.0"
"44","26","Imports of goods \1\","A255RC1","27,761.0","33,946.0","36,813.0"
"45","27","  Foods, feeds, and beverages","B647RC1","4,586.0","5,271.0","5,236.0"
"46","28","  Industrial supplies and materials","LA0000041","12,040.0","14,411.0","14,307.0"
"47","29","    Durable goods","A820RC1","6,004.0","7,644.0","7,147.0"
"48","30","    Nondurable goods","LA0000071","6,036.0","6,767.0","7,160.0"
"49","31","      Petroleum and products","B648RC1","2,091.0","2,384.0","2,649.0"
"50","32","      Nondurable goods, excluding petroleum and products","B696RC1","3,945.0","4,383.0","4,511.0"
"51","33","  Capital goods, except automotive","A650RC1","2,454.0","2,840.0","3,422.0"
"52","34","    Civilian aircraft, engines, and parts","B932RC1","130.0","188.0","177.0"
"53","35","    Computers, peripherals, and parts","B852RC1",".....",".....","....."
"54","36","    Other","B853RC1","2,249.0","2,562.0","3,110.0"
"55","37","  Automotive vehicles, engines, and parts","B651RC1","2,442.0","3,956.0","5,057.0"
"56","38","  Consumer goods, except food and automotive","A652RC1","4,213.0","5,375.0","6,487.0"
"57","39","    Durable goods","B697RC1","2,633.0","3,339.0","3,979.0"
"58","40","    Nondurable goods","B698RC1","1,580.0","2,036.0","2,508.0"
"59","41","  Other","A653RC1","2,026.0","2,093.0","2,304.0"
"60","42","Imports of services \1\","B656RC1","12,151.0","12,610.0","13,678.0"
"61","43","  Transport","Y804RC1","2,987.0","3,252.0","3,536.0"
"62","44","  Travel (for all purposes including education)","Y805RC1","3,207.0","3,030.0","3,373.0"
"63","45","  Charges for the use of intellectual property n.e.c.","B908RC1","167.0","186.0","223.0"
"64","46","  Other business services \3\","Y806RC1","410.0","487.0","569.0"
"65","47","  Government goods and services n.e.c.","Y807RC1","4,939.0","5,165.0","5,442.0"
"66","48","  Other","B910RC1","441.0","490.0","535.0"
"67",NA,"Addenda:"," ",NA,NA,NA
"68","49","  Exports of durable goods","A332RC1","18,625.0","21,222.0","23,927.0"
"69","50","  Exports of nondurable goods","A339RC1","13,921.0","14,500.0","14,817.0"
"70","51","  Exports of agricultural goods \4\","B181RC1","6,453.0","6,297.0","6,095.0"
"71","52","  Exports of nonagricultural goods","A182RC1","26,093.0","29,425.0","32,649.0"
"72","53","  Imports of durable goods","A333RC1","14,546.0","18,826.0","20,757.0"
"73","54","  Imports of nondurable goods","A340RC1","13,215.0","15,120.0","16,056.0"
"74","55","  Imports of nonpetroleum goods","A187RC1","25,670.0","31,562.0","34,164.0"
"75",NA,NA,NA,NA,NA,NA
"76","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA
"77","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA
"78","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA
"79","reclassified from goods to services.",NA,NA,NA,NA,NA
"80","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to",NA,NA,NA,NA,NA
"81","goods.",NA,NA,NA,NA,NA
"82","3. Includes maintenance and repair services, insurance services, financial services, telecommunication,",NA,NA,NA,NA,NA
"83","computer and information services and other other business services.",NA,NA,NA,NA,NA
"84","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and",NA,NA,NA,NA,NA
"85","of nondurable nonautomotive consumer goods.",NA,NA,NA,NA,NA
