"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"33","10","    Command-basis gross domestic product","C191RX1","1,806,713.0","1,810,232.0","1,813,170.0","1,847,583.0","1,868,032.0","1,895,125.0","1,905,811.0","1,914,968.0","1,884,259.0","1,869,041.0","1,893,852.0","1,875,437.0","1,950,967.0","2,007,394.0","2,085,927.0","2,126,066.0","2,155,867.0","2,192,171.0","2,230,482.0","2,231,672.0","2,251,233.0","2,248,834.0","2,273,772.0","2,348,670.0","2,392,111.0","2,410,125.0","2,396,757.0","2,355,739.0","2,340,335.0","2,340,343.0","2,371,164.0","2,421,998.0","2,495,573.0","2,533,450.0","2,568,038.0","2,591,317.0","2,580,427.0","2,591,790.0","2,593,025.0","2,629,983.0","2,653,531.0","2,647,711.0","2,669,424.0","2,628,221.0","2,564,808.0","2,577,587.0","2,648,050.0","2,719,379.0","2,766,882.0","2,832,501.0","2,828,360.0","2,838,518.0","2,909,094.0","2,892,179.0","2,894,266.0","2,852,733.0","2,873,092.0","2,929,856.0","2,978,470.0","3,042,862.0","3,099,573.0","3,128,450.0","3,156,753.0","3,162,678.0","3,201,280.0","3,243,515.0","3,304,007.0","3,333,688.0","3,405,390.0","3,441,303.0","3,486,249.0","3,498,374.0","3,589,657.0","3,637,868.0","3,708,082.0","3,795,874.0","3,892,597.0","3,901,550.0","3,933,716.0","3,969,356.0","4,006,669.0","4,004,402.0","4,038,606.0","4,070,618.0","4,155,137.0","4,225,633.0","4,252,231.0","4,271,353.0","4,342,406.0","4,352,503.0"
"34","11","    Command-basis net domestic product \1\","C362RX1","1,660,949.0","1,666,440.0","1,670,654.0","1,707,003.0","1,728,175.0","1,756,403.0","1,767,439.0","1,777,018.0","1,744,718.0","1,728,537.0","1,753,884.0","1,734,306.0","1,812,071.0","1,869,547.0","1,949,745.0","1,989,802.0","2,018,772.0","2,054,277.0","2,091,822.0","2,090,458.0","2,108,036.0","2,102,527.0","2,125,565.0","2,200,295.0","2,242,095.0","2,257,510.0","2,240,676.0","2,195,002.0","2,175,901.0","2,173,281.0","2,202,643.0","2,253,067.0","2,327,109.0","2,364,057.0","2,397,559.0","2,419,427.0","2,405,531.0","2,414,866.0","2,413,576.0","2,449,993.0","2,472,440.0","2,463,805.0","2,483,763.0","2,437,601.0","2,368,054.0","2,378,647.0","2,449,820.0","2,522,668.0","2,570,760.0","2,637,920.0","2,632,339.0","2,641,393.0","2,713,677.0","2,694,354.0","2,694,646.0","2,649,101.0","2,668,101.0","2,724,687.0","2,773,032.0","2,837,446.0","2,893,645.0","2,920,964.0","2,947,238.0","2,950,199.0","2,986,934.0","3,027,524.0","3,087,002.0","3,114,246.0","3,185,457.0","3,219,115.0","3,261,928.0","3,270,254.0","3,360,666.0","3,405,974.0","3,473,863.0","3,559,950.0","3,654,811.0","3,658,584.0","3,686,461.0","3,718,079.0","3,751,382.0","3,743,775.0","3,773,973.0","3,802,029.0","3,884,757.0","3,952,810.0","3,975,174.0","3,989,761.0","4,058,239.0","4,063,440.0"
"35","12","    Command-basis gross national product","CB22RX1","1,814,164.0","1,818,478.0","1,821,558.0","1,856,563.0","1,878,015.0","1,905,613.0","1,916,134.0","1,925,207.0","1,893,934.0","1,878,373.0","1,902,861.0","1,883,450.0","1,959,673.0","2,016,679.0","2,097,029.0","2,136,984.0","2,165,940.0","2,204,434.0","2,243,442.0","2,245,476.0","2,264,060.0","2,261,727.0","2,286,343.0","2,360,934.0","2,404,174.0","2,423,073.0","2,408,134.0","2,367,195.0","2,352,808.0","2,352,781.0","2,383,854.0","2,436,570.0","2,510,593.0","2,548,236.0","2,583,019.0","2,606,689.0","2,597,605.0","2,608,732.0","2,610,348.0","2,645,009.0","2,671,437.0","2,667,126.0","2,687,928.0","2,642,652.0","2,579,668.0","2,592,748.0","2,662,674.0","2,733,874.0","2,781,307.0","2,846,984.0","2,844,076.0","2,855,276.0","2,925,252.0","2,908,691.0","2,911,578.0","2,871,016.0","2,892,553.0","2,948,336.0","2,997,454.0","3,062,317.0","3,118,949.0","3,149,864.0","3,178,426.0","3,187,891.0","3,225,228.0","3,266,531.0","3,327,508.0","3,358,027.0","3,431,905.0","3,466,766.0","3,512,497.0","3,522,700.0","3,617,702.0","3,666,846.0","3,734,941.0","3,820,184.0","3,917,838.0","3,926,823.0","3,958,350.0","3,995,245.0","4,032,249.0","4,029,140.0","4,066,056.0","4,097,275.0","4,182,610.0","4,253,677.0","4,281,151.0","4,299,964.0","4,371,031.0","4,379,976.0"
"36","13","    Command-basis net national product \1\","C027RX1","1,668,627.0","1,674,962.0","1,679,346.0","1,716,311.0","1,738,520.0","1,767,272.0","1,778,135.0","1,787,636.0","1,754,764.0","1,738,230.0","1,763,245.0","1,742,632.0","1,821,113.0","1,879,190.0","1,961,271.0","2,001,151.0","2,029,238.0","2,067,036.0","2,105,323.0","2,104,831.0","2,121,392.0","2,115,952.0","2,138,653.0","2,213,063.0","2,254,659.0","2,270,997.0","2,252,520.0","2,206,924.0","2,188,874.0","2,186,221.0","2,215,848.0","2,268,233.0","2,342,732.0","2,379,434.0","2,413,149.0","2,435,440.0","2,423,447.0","2,432,551.0","2,431,663.0","2,465,694.0","2,491,156.0","2,484,105.0","2,503,108.0","2,452,683.0","2,383,560.0","2,394,463.0","2,465,084.0","2,537,808.0","2,585,828.0","2,653,053.0","2,648,760.0","2,658,894.0","2,730,547.0","2,711,584.0","2,712,700.0","2,668,156.0","2,688,380.0","2,743,942.0","2,792,808.0","2,857,711.0","2,913,821.0","2,943,254.0","2,969,801.0","2,976,446.0","3,011,857.0","3,051,477.0","3,111,454.0","3,139,555.0","3,213,021.0","3,245,580.0","3,289,202.0","3,295,528.0","3,389,805.0","3,436,084.0","3,501,772.0","3,585,204.0","3,681,030.0","3,684,830.0","3,712,038.0","3,744,954.0","3,777,944.0","3,769,465.0","3,802,478.0","3,829,705.0","3,913,281.0","3,981,921.0","4,005,190.0","4,019,449.0","4,087,947.0","4,091,949.0"
"37",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","14","    Disposable personal income","A067RX1","1,218,054.0","1,192,054.0","1,225,060.0","1,210,671.0","1,230,513.0","1,273,361.0","1,298,721.0","1,302,334.0","1,275,622.0","1,279,525.0","1,287,082.0","1,296,376.0","1,392,779.0","1,385,295.0","1,406,748.0","1,419,660.0","1,420,245.0","1,442,291.0","1,451,638.0","1,454,288.0","1,453,232.0","1,471,522.0","1,500,763.0","1,530,294.0","1,550,820.0","1,572,145.0","1,565,827.0","1,555,928.0","1,564,881.0","1,565,819.0","1,583,420.0","1,614,854.0","1,638,801.0","1,678,295.0","1,709,990.0","1,729,816.0","1,747,583.0","1,764,980.0","1,772,397.0","1,800,706.0","1,803,727.0","1,815,852.0","1,824,435.0","1,814,109.0","1,798,689.0","1,810,647.0","1,847,972.0","1,871,383.0","1,885,926.0","1,918,766.0","1,915,429.0","1,930,338.0","1,954,525.0","1,965,261.0","1,966,817.0","1,965,677.0","1,983,566.0","2,013,397.0","2,040,874.0","2,081,143.0","2,100,819.0","2,124,220.0","2,136,008.0","2,153,659.0","2,171,575.0","2,192,108.0","2,216,815.0","2,253,507.0","2,298,560.0","2,361,117.0","2,391,606.0","2,419,306.0","2,446,268.0","2,473,363.0","2,541,449.0","2,592,828.0","2,617,273.0","2,623,533.0","2,656,615.0","2,686,927.0","2,727,230.0","2,749,597.0","2,775,888.0","2,796,227.0","2,844,853.0","2,892,204.0","2,897,998.0","2,917,088.0","2,921,985.0","2,951,553.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
