"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"30","9","    Final sales to domestic purchasers \2\","A713RX1","1,005,188.0","939,162.0","885,898.0","786,536.0","763,397.0","833,703.0","892,698.0","1,008,144.0","1,045,495.0","1,021,037.0","1,096,530.0","1,165,749.0","1,363,738.0","1,667,999.0","1,987,039.0","2,146,050.0","2,114,405.0","1,746,766.0","1,764,577.0","1,839,468.0","1,882,619.0","2,019,356.0","2,146,326.0","2,274,541.0","2,403,162.0","2,400,206.0","2,536,588.0","2,585,179.0","2,645,638.0","2,650,162.0","2,817,433.0","2,871,089.0","2,938,837.0","3,108,859.0","3,241,980.0","3,424,949.0","3,636,389.0","3,867,695.0","3,995,592.0","4,208,262.0","4,342,026.0"
"31",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10","    Command-basis gross domestic product","C191RX1","999,851.0","918,126.0","853,688.0","741,625.0","732,486.0","817,802.0","891,171.0","1,005,835.0","1,061,993.0","1,015,878.0","1,098,691.0","1,200,290.0","1,410,087.0","1,667,586.0","1,937,133.0","2,095,810.0","2,072,228.0","1,839,408.0","1,819,699.0","1,896,203.0","1,880,635.0","2,043,742.0","2,202,756.0","2,280,812.0","2,388,634.0","2,368,489.0","2,547,348.0","2,598,970.0","2,649,682.0","2,627,620.0","2,816,641.0","2,886,970.0","2,956,215.0","3,136,947.0","3,270,792.0","3,457,985.0","3,683,322.0","3,924,594.0","4,030,343.0","4,226,634.0","4,359,341.0"
"33","11","    Command-basis net domestic product \1\","C362RX1","918,864.0","833,905.0","768,664.0","657,059.0","650,397.0","739,673.0","814,575.0","930,388.0","984,839.0","935,655.0","1,019,769.0","1,121,913.0","1,331,851.0","1,583,177.0","1,838,093.0","1,974,446.0","1,933,233.0","1,692,100.0","1,676,526.0","1,757,487.0","1,740,353.0","1,906,465.0","2,064,003.0","2,134,271.0","2,233,754.0","2,201,240.0","2,377,264.0","2,421,128.0","2,464,346.0","2,429,947.0","2,620,670.0","2,687,832.0","2,750,975.0","2,928,082.0","3,054,103.0","3,234,332.0","3,450,561.0","3,679,723.0","3,768,010.0","3,951,124.0","4,067,708.0"
"34","12","    Command-basis gross national product","CB22RX1","1,007,244.0","925,263.0","859,436.0","746,222.0","736,382.0","821,260.0","895,316.0","1,008,981.0","1,066,259.0","1,020,348.0","1,103,138.0","1,203,604.0","1,414,715.0","1,671,819.0","1,940,362.0","2,098,900.0","2,074,690.0","1,844,805.0","1,827,974.0","1,906,462.0","1,889,645.0","2,053,761.0","2,215,041.0","2,293,450.0","2,400,594.0","2,381,533.0","2,562,389.0","2,615,581.0","2,667,238.0","2,642,404.0","2,831,989.0","2,904,040.0","2,975,310.0","3,158,873.0","3,294,495.0","3,483,620.0","3,710,362.0","3,949,855.0","4,056,456.0","4,254,901.0","4,386,420.0"
"35","13","    Command-basis net national product \1\","C027RX1","926,356.0","841,136.0","774,511.0","661,745.0","654,380.0","743,219.0","818,816.0","933,609.0","989,223.0","940,266.0","1,024,357.0","1,125,337.0","1,336,640.0","1,587,567.0","1,841,434.0","1,977,641.0","1,935,770.0","1,697,641.0","1,685,085.0","1,768,120.0","1,749,713.0","1,916,871.0","2,076,787.0","2,147,429.0","2,246,206.0","2,214,812.0","2,392,915.0","2,438,469.0","2,482,698.0","2,445,378.0","2,636,705.0","2,705,638.0","2,770,869.0","2,950,908.0","3,078,764.0","3,260,974.0","3,478,654.0","3,705,954.0","3,795,125.0","3,980,465.0","4,095,806.0"
"36",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","14","    Disposable personal income","A067RX1","791,637.0","740,801.0","714,516.0","619,614.0","601,360.0","659,957.0","723,681.0","814,753.0","842,382.0","794,731.0","860,965.0","918,194.0","1,055,846.0","1,187,208.0","1,242,028.0","1,286,501.0","1,269,717.0","1,258,832.0","1,211,372.0","1,276,419.0","1,284,711.0","1,400,928.0","1,442,228.0","1,488,986.0","1,561,237.0","1,582,316.0","1,689,273.0","1,771,510.0","1,814,480.0","1,832,137.0","1,912,643.0","1,963,054.0","2,029,785.0","2,128,591.0","2,208,455.0","2,367,614.0","2,513,556.0","2,646,127.0","2,762,168.0","2,887,851.0","2,979,927.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
