"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Nonfarm \2\","A364RC1","73,493.0","63,555.0","51,368.0","37,471.0","35,741.0","44,159.0","48,684.0","57,959.0","63,453.0","58,418.0","64,558.0","72,875.0","92,467.0","114,572.0","135,058.0","145,739.0","143,092.0","150,107.0","171,367.0","190,351.0","189,371.0","211,590.0","242,471.0","254,396.0","272,194.0","269,254.0","298,381.0","312,618.0","327,881.0","323,778.0","358,182.0","369,118.0","379,626.0","410,826.0","433,403.0","469,512.0","509,898.0","558,860.0","584,735.0","639,412.0","686,903.0"
"22","4","  Farm","A365RC1","8,213.0","6,240.0","5,002.0","3,357.0","3,556.0","3,618.0","5,903.0","5,305.0","7,060.0","5,326.0","5,089.0","5,231.0","7,621.0","11,563.0","13,796.0","13,710.0","14,253.0","16,888.0","17,797.0","20,524.0","15,748.0","16,674.0","19,315.0","18,270.0","16,063.0","15,527.0","14,565.0","14,236.0","13,991.0","16,018.0","14,161.0","15,072.0","15,228.0","15,252.0","15,240.0","13,957.0","16,341.0","16,949.0","15,937.0","16,031.0","18,066.0"
"23","5","Households and institutions","W503RC1","7,872.0","7,392.0","6,636.0","5,730.0","4,974.0","4,816.0","4,921.0","5,108.0","5,432.0","5,474.0","5,614.0","5,813.0","6,136.0","6,926.0","7,638.0","8,514.0","9,256.0","9,754.0","10,639.0","11,701.0","12,812.0","14,298.0","15,941.0","17,820.0","20,024.0","21,933.0","24,192.0","26,246.0","28,556.0","31,215.0","34,010.0","37,590.0","40,131.0","43,566.0","46,445.0","49,396.0","52,877.0","57,010.0","61,433.0","66,181.0","72,810.0"
"24","6","  Households","W504RC1","6,570.0","6,062.0","5,346.0","4,534.0","3,876.0","3,712.0","3,795.0","3,923.0","4,193.0","4,191.0","4,314.0","4,443.0","4,689.0","5,337.0","5,848.0","6,536.0","7,139.0","7,237.0","7,687.0","8,290.0","9,048.0","10,214.0","11,465.0","12,959.0","14,668.0","16,129.0","17,852.0","19,352.0","20,975.0","22,834.0","24,809.0","27,103.0","28,965.0","31,264.0","33,081.0","34,825.0","36,825.0","38,961.0","41,280.0","43,371.0","46,500.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","1,302.0","1,330.0","1,290.0","1,196.0","1,098.0","1,104.0","1,126.0","1,185.0","1,239.0","1,283.0","1,300.0","1,370.0","1,447.0","1,589.0","1,790.0","1,978.0","2,117.0","2,517.0","2,952.0","3,411.0","3,764.0","4,084.0","4,476.0","4,861.0","5,356.0","5,804.0","6,340.0","6,894.0","7,581.0","8,381.0","9,201.0","10,487.0","11,166.0","12,302.0","13,364.0","14,571.0","16,052.0","18,049.0","20,153.0","22,810.0","26,310.0"
"26","8","General government \4\","A194RC1","4,363.0","4,575.0","4,689.0","4,477.0","4,726.0","5,613.0","5,984.0","7,308.0","6,946.0","7,673.0","7,649.0","7,831.0","9,467.0","15,167.0","25,616.0","32,252.0","35,339.0","22,383.0","17,643.0","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0"
"27","9","  Federal","B568RC1","907.0","945.0","952.0","912.0","1,195.0","1,729.0","1,806.0","3,612.0","3,057.0","3,552.0","3,464.0","3,542.0","5,079.0","10,694.0","20,953.0","27,314.0","29,969.0","16,188.0","10,305.0","9,556.0","10,679.0","11,095.0","16,582.0","19,275.0","19,075.0","18,346.0","18,958.0","19,604.0","20,227.0","21,325.0","21,728.0","22,604.0","23,657.0","25,211.0","26,483.0","28,535.0","29,986.0","34,304.0","37,875.0","41,903.0","44,862.0"
"28","10","  State and local","B251RC1","3,456.0","3,630.0","3,737.0","3,565.0","3,531.0","3,884.0","4,178.0","3,696.0","3,889.0","4,121.0","4,185.0","4,289.0","4,388.0","4,473.0","4,663.0","4,938.0","5,370.0","6,195.0","7,338.0","8,521.0","9,442.0","10,145.0","11,159.0","12,252.0","13,334.0","14,698.0","15,838.0","17,620.0","19,556.0","21,578.0","23,133.0","25,470.0","27,934.0","30,243.0","32,857.0","35,873.0","39,294.0","44,115.0","49,530.0","55,898.0","62,599.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
