"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"11","3","Manufacturing industries","C300",15539,22745,20016,25971,31610,15634,6873,7575,12168,4617,15454,23310,-3591,14056,5926,11136,-20117,-19162,-24049,-30696,-25255,-2951,5916,5557,1058,-9255,-18264,-3226,-1455,6509,2401,15471,41368,2213,11742,28860,19450,23773,20371,7051,7769,22759,13696,22717,29542,-24757,-24487,-25585,-35279,-42174,-37058,-7043,23644,-2120,26220
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","C30D0",8981,15785,14349,17470,29679,16509,9253,8629,5708,-3619,10540,12644,-1944,9486,4408,12927,-14588,-12762,-22483,-28224,-15397,-6249,-2680,4550,1924,-9611,-15420,3926,-2844,6167,3038,9573,27769,5739,13312,19520,8019,12387,17563,10566,11580,7393,6909,22144,-5355,-18629,-8528,8956,-36612,-37024,-41309,-21806,9904,24980,18404
"14","5","      Wood product manufacturing","C3210",-593,4,1855,187,-448,698,1286,428,279,331,221,1701,423,338,-449,365,-1005,1333,-394,-1921,1036,112,622,-582,907,-1305,-1033,951,1891,350,1486,-748,3658,-840,-459,769,-522,1496,52,-1182,-660,-392,-1206,-590,-3434,-586,-278,-2156,-1916,-2120,-748,-741,1656,-20,-540
"15","6","      Nonmetallic mineral product manufacturing","C3270",419,521,-401,180,150,-240,39,-108,-503,-45,952,552,-539,316,117,654,-468,-367,-368,-833,-730,503,158,703,1049,460,-730,-1363,358,75,-16,787,220,87,-187,316,86,502,1126,277,305,234,357,594,31,-826,-739,-571,-1109,-1444,-1761,-1500,-48,-304,280
"16","7","      Primary metal manufacturing","C3310",-1068,374,963,1554,245,2178,2819,306,-1057,755,-28,1430,-809,-300,-312,-877,-2184,-3207,-1469,-1549,-2629,523,857,878,-124,-3153,-2644,-1255,1317,1145,3553,4319,5210,541,-822,1324,357,-192,4761,502,983,-405,-1502,1492,-554,455,-618,-4911,-6766,-7264,-5660,-2241,4748,7500,-1712
"17","8","      Fabricated metal product manufacturing","C3320",1040,1718,215,2267,494,2737,-48,293,306,-348,1221,1692,-108,2464,224,574,-862,-511,-790,-2634,-897,409,-290,-409,4358,-3752,-3595,384,-193,-118,319,-206,3868,2438,923,1923,2030,393,1889,2408,1543,-574,-684,2921,-1741,-3599,15,3088,-3507,-5397,-5931,-3618,1124,728,-4
"18","9","      Machinery manufacturing","C3330",672,2849,-705,2997,2670,-768,3239,-631,-84,-1589,-146,2163,505,3379,2665,3675,-1364,-5272,-5043,-5838,-762,-2752,-771,1878,-3434,-1812,-2844,481,-1231,903,-568,596,2674,2187,3392,2159,1894,1818,3532,3191,-99,602,2904,-178,1740,-5819,245,3984,-5188,-7119,-8781,-6539,-3192,1812,5876
"19","10","      Computer and electronic product manufacturing","C3340",5886,9317,11010,6395,9015,74,-5475,-1659,9018,2229,1068,3538,3271,13271,6688,19422,-1560,-3132,-14206,-11618,-2513,-3895,-2918,-3630,2170,486,-174,4783,-138,4819,1274,2738,1698,1433,4643,4765,785,1122,545,-828,3273,393,-367,2470,4848,1137,4466,4218,-6946,-4099,-2054,-722,-864,8000,2120
"20","11","      Electrical equipment, appliance, and component manufacturing","C3350",-308,1649,603,8,866,-517,719,536,-700,343,414,-168,9,499,2155,600,-352,-1887,-1295,-342,-431,-134,-226,-657,-267,-561,-1112,168,-1085,303,461,-1052,374,-211,167,-258,909,-170,470,1723,281,-603,146,3265,-256,-269,-478,-70,-3077,-2429,-2367,-2270,368,1516,1832
"21","12","      Transportation equipment manufacturing","C3360",2978,-734,868,2330,15522,11969,5741,9835,-2324,-5514,5611,32,-6234,-11620,-9163,-11319,-8653,1206,2475,-1829,-7536,-2011,-1752,6671,-3619,-85,-2612,-1901,-3106,-1201,-3601,1954,10005,-1545,2715,6177,2503,7467,2510,3697,6542,8016,7146,11222,-4810,-9046,-10893,4361,-6829,-4524,-10494,-1747,6752,4768,8468
"22","13","        Motor vehicle and parts manufacturing","C336MV0",2492,-204,1651,-1713,2733,-721,-1941,2343,1527,-739,949,4336,-1481,1252,351,-1066,-4655,-96,-2718,-2686,-1363,3438,2553,-300,100,504,423,1161,749,-31,885,-949,3590,189,-2765,2034,559,1057,-1050,2102,-652,-482,-624,-2134,-3165,-2827,-5382,-4014,-3776,-5789,-2575,-1039,5788,2632,1764
"23","14","        Other transportation equipment manufacturing","C336OT0",486,-530,-782,4043,12789,12689,7682,7492,-3851,-4775,4662,-4304,-4753,-12872,-9514,-10253,-3999,1303,5194,858,-6173,-5450,-4305,6971,-3719,-589,-3034,-3062,-3855,-1170,-4486,2903,6416,-1734,5480,4143,1944,6410,3560,1594,7194,8498,7770,13355,-1646,-6219,-5511,8376,-3054,1266,-7919,-708,964,2136,6704
"24","15","      Furniture and related product manufacturing","C3370",-164,523,-84,285,23,292,27,70,166,43,118,968,492,309,521,-240,993,-1318,-578,-805,-144,336,1255,127,-57,-529,-1205,287,-400,725,427,377,78,167,511,584,302,-165,297,-314,-437,148,-323,59,-1013,-558,-414,-912,-1525,-1740,-1158,-666,-128,720,456
"25","16","      Miscellaneous durable goods manufacturing","C3390",119,-435,25,1267,1143,87,906,-439,607,175,1110,736,1047,829,1963,73,868,392,-816,-856,-791,661,384,-427,941,640,528,1390,-257,-834,-296,807,-16,1481,2430,1761,-324,116,2379,1093,-150,-26,437,889,-167,482,167,1925,251,-889,-2354,-1762,-512,260,1628
"26","17","    Nondurable goods industries","C30N0",6557,6959,5668,8501,1931,-875,-2380,-1054,6460,8236,4914,10666,-1647,4570,1518,-1792,-5529,-6400,-1566,-2472,-9858,3298,8596,1007,-865,356,-2843,-7152,1389,342,-637,5898,13599,-3526,-1569,9340,11431,11386,2808,-3515,-3812,15366,6787,573,34897,-6128,-15959,-34542,1333,-5149,4251,14763,13740,-27100,7816
"27","18","      Food manufacturing","C3110",-33,1500,506,1303,156,-592,-878,-30,1132,723,1754,1705,2517,-674,124,-15,-2298,-435,-159,984,-1028,3616,77,220,1295,-1775,-1947,-976,-2408,-2988,2535,-996,926,2218,1758,627,2534,-305,-2438,505,-4449,5709,326,-4724,-2883,-815,-2316,5469,2982,-1571,79,2546,-4064,-360,-1780
"28","19","      Beverage and tobacco product manufacturing","C3120",475,984,911,430,776,-1255,-807,1159,-726,408,-1828,1418,111,276,-118,-425,402,427,706,846,-605,672,186,-54,-1221,718,-18,-383,-694,275,1479,-1452,-55,107,112,1373,-382,-423,335,490,-387,27,-1120,-193,-78,-250,-224,-141,1159,-100,-236,-69,-1652,-88,-1520
"29","20","      Textile mills","C3130",195,-14,-3,-111,159,-51,166,-1,348,162,67,134,-838,-253,-404,-342,-748,90,-273,-765,-338,-594,-23,-169,70,352,-382,-619,-25,-213,58,-92,-198,124,-331,193,-23,-310,207,-496,-509,95,16,-247,-343,-1063,236,-470,-734,-679,-897,-340,-108,96,380
"30","21","      Textile product mills","C3140",284,529,252,99,9,-377,-169,-374,515,455,108,278,380,513,427,368,165,502,-41,82,-1463,-695,-604,-1142,430,14,-81,161,-55,-83,231,-156,439,-150,-134,605,-132,117,222,-118,-432,173,-142,-2,-2,-370,89,-264,-1084,-606,-108,2,116,292,196
"31","22","      Apparel manufacturing","C3150",413,1177,490,-257,294,-349,92,-57,937,901,619,-1,-603,-897,-212,464,-1250,-1349,-2395,-1725,-1199,-282,91,133,874,121,-671,-332,-926,-230,177,-86,194,-302,32,-473,-37,-351,-629,929,-363,-96,-206,-136,-341,-218,-257,-506,-838,-658,-469,-394,88,372,636
"32","23","      Leather and allied product manufacturing","C3160",-191,356,-50,64,76,132,-39,-134,-99,140,37,-62,-107,-13,12,-292,13,-203,-87,-359,-559,-144,-9,112,-76,-22,-147,18,-117,-102,-36,218,93,8,76,42,-132,187,280,177,-51,-14,-39,-56,138,519,-337,-282,140,-207,-173,-91,-36,-72,40
"33","24","      Paper manufacturing","C3220",1615,-1678,961,1334,-647,156,-371,-1176,1101,877,1729,-67,-118,-215,-733,-1426,-1268,-116,348,694,656,1271,829,1300,-1521,500,-635,-1000,-435,347,361,219,189,13,-674,377,323,-574,343,-204,-83,-111,-93,519,-792,-161,-964,-1207,-580,-598,204,-1672,-1152,-572,-648
"34","25","      Printing and related support activities","C3230",-20,472,-383,811,-1215,-342,571,-1350,877,652,32,936,-37,-1036,-48,-204,217,-645,-527,-246,400,1232,-812,474,-437,-996,87,94,-236,149,434,-183,0,76,-41,-111,-179,455,253,-94,212,421,319,903,-20,-1454,-1751,189,-1394,-807,-71,-235,-208,-296,-812
"35","26","      Petroleum and coal product manufacturing","C3240",2010,249,942,610,-576,287,-1042,-483,19,-987,1372,28,-448,2243,-1477,-578,1614,625,-18,482,-1946,1637,312,-2036,646,1315,778,-2899,3116,1264,-3424,2013,5033,-5832,2015,2740,1516,9344,-2146,-3994,911,3254,6562,6629,41697,7664,-4845,-29092,6188,9219,8224,23361,15340,-25208,14060
"36","27","      Chemical manufacturing","C3250",1035,2488,2044,3704,2460,499,-40,787,1575,4291,-231,5477,-1046,3389,4006,410,-1721,-3244,220,-1879,-1628,-712,6065,-1123,-1457,-994,1709,-457,3065,1958,-3682,6371,4600,1047,-2545,2655,5393,1286,5369,70,377,5187,1147,-2275,-3022,-9293,-4514,-3047,-1930,-8188,-366,-6078,2292,-1748,-1756
"37","28","      Plastics and rubber product manufacturing","C3260",774,897,-4,514,439,1017,137,607,779,614,1254,821,-1458,1236,-60,247,-655,-2053,660,-585,-2148,-2704,2484,3292,532,1122,-1536,-759,105,-37,1229,42,2381,-835,-1838,1312,2550,1959,1012,-779,961,720,15,155,544,-686,-1077,-5191,-2574,-954,-1937,-2268,3124,484,-980
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","C30M0",11242,7342,13209,7844,10627,2829,2500,-2020,9733,3684,4581,12090,-1900,12652,5611,4388,-8327,-12317,-11278,-4944,-5343,-3461,2364,-530,643,-5538,-9749,-3333,5374,1874,4178,6509,13246,2793,1849,7563,7336,8073,12882,-4189,-1395,8309,-454,1489,5254,-6753,293,-11900,-7840,-17092,-16002,-6615,4008,-9004,2168
"40","30","      Durable goods industries","C30DM0",7138,7281,11118,5887,8574,5589,2617,-415,7158,1182,3121,7872,82,13874,6200,8855,-6915,-10849,-10897,-3806,-2385,-4970,-1079,-605,474,-4103,-7840,-352,4491,4593,2716,5412,8303,4141,3097,5176,5038,3447,9279,2479,1245,4600,-2228,6692,-4465,-5883,416,4676,-5852,-16971,-18236,-15459,-528,6140,-960
"41","31","      Nondurable goods industries","C30NM0",4104,61,2090,1957,2053,-2760,-116,-1605,2575,2502,1460,4218,-1982,-1222,-589,-4466,-1412,-1468,-382,-1138,-2958,1509,3443,76,169,-1435,-1909,-2982,883,-2718,1462,1097,4943,-1347,-1247,2387,2298,4626,3602,-6669,-2640,3709,1774,-5204,9719,-869,-123,-16575,-1988,-120,2234,8844,4536,-15144,3128
"42","32","    Work-in-process","C30W0",1857,723,950,9355,8748,13275,661,4232,-2589,-3147,2866,3951,-3505,-4607,-10574,217,-8927,-5240,-1307,-19954,-6936,-1903,2385,4076,960,-2814,-3475,2635,-2442,-945,-9580,5470,11178,-1562,10295,10121,1246,11144,-3701,6766,8610,10369,8607,24949,16830,-14423,-7002,-5887,-4336,-4269,-6478,7771,9256,4412,11804
"43","33","      Durable goods industries","C30DW0",1547,-1423,-2077,6836,10377,12171,2900,3922,-3809,-6398,5649,365,-2329,-6696,-9868,-277,-7132,-4190,-3270,-16687,-7287,-1031,-1302,6068,-209,-2724,-4287,4469,-5198,-863,-5784,2824,8426,1252,7245,9473,387,3890,-482,4289,5608,6923,9425,15407,1271,-7766,-7995,7409,-11118,-4376,-11365,960,6908,12044,11184
"44","34","      Nondurable goods industries","C30NW0",310,2146,3027,2519,-1629,1105,-2239,310,1220,3251,-2783,3586,-1176,2089,-706,494,-1795,-1050,1963,-3267,351,-872,3688,-1992,1169,-90,812,-1834,2755,-82,-3795,2646,2752,-2814,3050,648,859,7254,-3219,2477,3002,3446,-818,9542,15558,-6657,994,-13296,6782,107,4886,6811,2348,-7632,620
"45","35","    Finished goods","C30F0",2440,14679,5858,8773,12235,-470,3712,5363,5024,4079,8007,7269,1814,6011,10889,6530,-2863,-1605,-11463,-5798,-12976,2413,1167,2010,-544,-903,-5040,-2528,-4387,5580,7803,3491,16944,982,-402,11176,10867,4556,11190,4474,554,4081,5542,-3721,7458,-3582,-17779,-7799,-23103,-20813,-14578,-8199,10380,2472,12248
"46","36","      Durable goods industries","C30DF0",297,9927,5307,4747,10729,-1250,3737,5121,2360,1597,1770,4407,303,2308,8077,4349,-541,2276,-8316,-7731,-5725,-248,-299,-913,1659,-2784,-3294,-192,-2137,2437,6107,1336,11040,347,2970,4872,2595,5050,8765,3798,4728,-4129,-288,44,-2161,-4980,-949,-3128,-19642,-15677,-11709,-7307,3524,6796,8180
"47","37","      Nondurable goods industries","C30NF0",2143,4752,551,4025,1507,781,-25,241,2664,2482,6237,2862,1511,3703,2813,2181,-2322,-3882,-3147,1933,-7251,2661,1466,2923,-2203,1881,-1746,-2336,-2249,3143,1696,2154,5904,635,-3372,6304,8273,-494,2424,676,-4174,8211,5831,-3766,9619,1398,-16830,-4671,-3460,-5136,-2870,-892,6856,-4324,4068
"48","38","Wholesale trade industries","CWT0",20378,33799,16684,30457,30552,13383,27140,14653,21786,7729,21038,25090,16294,24324,13616,21182,-5842,-6194,-22765,-14543,-7274,4163,4020,-1339,-6294,-7039,-2250,13228,13681,15842,27444,22100,35202,12497,2105,22712,18413,21041,17131,-1827,1672,6744,18811,-8048,908,21642,12522,-28065,-60114,-84906,-68152,-10931,15652,36512,58480
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","CWTD0",15647,26292,8339,18728,25365,8677,21948,12093,15613,11076,10354,19247,11360,21856,8573,12307,-6458,-20777,-21355,-18061,-6649,3301,9413,-4509,3423,-3169,-7536,10401,14647,16897,26775,12732,22522,11826,1165,17967,5943,16627,17406,-2390,11903,-6774,-3535,1668,13610,11187,26580,-18253,-66928,-63148,-53084,-27508,9304,12712,29772
"51","40","    Nondurable goods industries","CWTN0",4731,7507,8345,11729,5187,4706,5192,2559,6174,-3346,10683,5843,4933,2469,5043,8875,616,14584,-1410,3519,-624,862,-5393,3171,-9718,-3869,5287,2827,-966,-1055,669,9368,12680,672,940,4744,12470,4415,-275,563,-10231,13518,22346,-9716,-12702,10455,-14058,-9812,6813,-21758,-15068,16577,6348,23800,28708
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","C42W0",19163,30825,15399,25229,26954,13084,25464,12314,19850,4295,17956,23136,12918,19099,8839,18243,-3127,-2494,-15083,-11474,-3373,1973,3371,95,-3922,-6179,-1848,11138,12740,12839,23303,22498,26505,12421,2631,15759,16517,24677,15327,4205,3149,6136,17009,-1442,-12163,15587,21358,-22677,-44688,-67840,-60061,-8028,7224,21964,46712
"54","42","      Durable goods industries","C42WD0",14641,24245,7675,14329,21988,8757,19560,10016,14304,8385,9267,17684,8718,18725,4818,9443,-3706,-18601,-15869,-15073,-5203,1737,7453,-4834,4697,-2157,-6083,7021,14118,16056,22869,14041,16980,12322,792,13795,8695,19435,12650,1406,8230,-4321,-1991,2412,8751,8010,23870,-15476,-53107,-47474,-44671,-23190,6332,7804,22420
"55","43","        Motor vehicles, parts, and supplies wholesalers","C42110",798,4110,1821,-985,4357,-3779,2542,23,2110,2690,4257,2171,3418,2999,-3155,1930,-1908,-2532,76,-288,521,3981,3884,1374,676,3099,-3599,3392,811,-1463,6111,-704,603,8544,-1100,3289,4712,2818,-2005,-1685,4160,297,375,-964,-542,5387,4030,2672,-22790,-11024,-8019,-1011,116,1032,2624
"56","44","        Furniture and home furnishings wholesalers","C42120",-755,747,365,151,-126,905,251,198,492,385,56,456,214,1094,105,803,213,-1100,-144,-665,-333,597,563,2,210,317,-339,653,384,-186,246,76,252,-423,683,453,-524,1045,229,226,430,-204,-119,-684,321,-898,-815,-765,-2411,-2106,-1264,-909,-388,1036,1040
"57","45","        Lumber and other construction materials wholesalers","C42130",569,742,495,810,-307,-19,-658,415,109,496,159,824,472,623,-303,1032,-314,-1777,1229,633,63,169,876,550,1531,615,519,2572,1797,2611,2359,1409,4115,-1640,-1742,2035,60,1712,1056,-1462,-246,-2643,-518,-165,-2279,1945,-932,-3933,-2697,-4223,-1832,-512,1964,304,-1416
"58","46","        Professional and commercial equipment wholesalers","C42140",4465,10256,5653,3338,7533,-179,2223,1503,5615,2231,1135,5415,-945,236,3629,715,-1682,-1763,-2258,170,-332,2991,2040,718,1395,-1714,1552,1287,1958,2784,1963,2567,603,2857,242,2811,3143,2698,4735,3099,1472,2009,1700,862,2825,2325,2255,-2711,-5480,-4178,-1633,3521,1520,3176,1116
"59","47","          Computers and software wholesalers","C421430",3773,9046,5297,2668,6384,723,1662,4220,3574,3167,722,4141,-2085,-393,3296,-1033,122,-2221,-425,568,455,1703,1093,37,2135,622,132,2471,988,2557,189,1799,1695,972,1312,737,2048,624,2672,1356,161,1614,2138,-440,1603,697,1357,-1755,-1828,104,392,3805,1736,3372,1164
"60","48","          Other professional and commercial equipment wholesalers","C4214X0",692,1211,356,670,1149,-902,561,-2717,2041,-936,413,1275,1141,629,333,1749,-1804,458,-1833,-398,-787,1288,947,681,-741,-2336,1420,-1183,970,227,1775,768,-1092,1885,-1070,2074,1095,2074,2063,1744,1311,396,-438,1303,1223,1628,899,-955,-3653,-4282,-2024,-285,-216,-196,-48
"61","49","        Metal and mineral (except petroleum) wholesalers","C42150",1518,1108,47,339,1505,498,1866,940,-818,1545,-703,172,2005,705,-617,-1425,-1331,-567,-1040,-966,-481,-214,1248,-1572,-729,-712,-1004,939,4453,162,2791,5130,2032,-531,-1232,-1537,1167,4534,5308,-325,-886,-3126,-3672,-728,4883,2534,-634,202,-850,-8855,-9280,-8619,5036,-2068,2436
"62","50","        Electrical goods wholesalers","C42160",1886,-168,-228,562,2281,2852,1841,1346,1370,1876,3719,5844,2100,4669,4110,4041,809,-4068,-6950,-7129,-2287,-968,1742,-2488,178,44,-999,-1644,2975,3120,990,1540,2361,1048,575,909,1601,2030,3858,1482,1228,2406,-63,3966,-120,2460,4202,-4706,-9624,-6824,-2467,1395,4880,5828,6444
"63","51","        Hardware and plumbing and heating equipment wholesalers","C42170",-569,1087,218,-113,1196,965,-60,1062,277,39,-174,455,360,1999,189,948,-934,-873,137,-1382,-305,162,345,-370,1600,-1356,-862,506,342,1095,1389,342,752,119,-556,1074,834,249,455,646,509,1086,99,-369,-2382,-1552,1175,-3561,-1027,-1962,-3827,-1431,-552,-480,2128
"64","52","        Machinery, equipment, and supplies wholesalers","C42180",5174,8083,-2841,7316,4517,5574,7190,4731,3378,826,809,2338,-544,3678,1488,-506,1618,-1613,-4819,-4599,-1519,-4628,-2193,-2708,-1423,-3505,-1912,-1452,2736,5299,2931,4242,4101,2455,3707,3293,-1260,6544,2510,234,449,-1339,712,2646,3462,-4175,11425,-1804,-4560,-8733,-11309,-11587,-7196,1916,5744
"65","53","        Miscellaneous durable goods wholesalers","C42190",1556,-1719,2144,2911,1031,1938,4365,-202,1773,-1702,9,9,1637,2721,-628,1905,-177,-4309,-2102,-848,-529,-353,-1051,-338,1261,1054,561,768,-1338,2634,4088,-560,2162,-107,215,1470,-1039,-2197,-3495,-810,1116,-2807,-505,-2151,2582,-15,3162,-869,-3667,430,-5038,-4035,952,-2940,2304
"66","54","      Nondurable goods industries","C42WN0",4521,6579,7724,10899,4966,4327,5904,2299,5546,-4089,8688,5452,4200,375,4022,8800,579,16107,786,3599,1830,236,-4083,4929,-8620,-4021,4235,4117,-1378,-3217,434,8458,9525,99,1839,1965,7822,5243,2677,2799,-5081,10457,19000,-3854,-20914,7576,-2512,-7201,8420,-20366,-15390,15162,892,14160,24292
"67","55","        Paper and paper products wholesalers","C42210",576,-28,1495,573,600,-308,-478,278,-127,-418,3,-155,480,-583,143,964,-840,-439,-880,-377,-1181,461,-954,294,-575,437,-598,636,273,918,406,287,-1014,1241,388,624,-558,-197,-144,-481,-1045,746,456,123,-123,-417,-164,-4,-1745,-467,-639,-228,-1064,548,-408
"68","56","        Drugs and druggists' sundries wholesalers","C42220",1237,1318,3012,661,1357,-830,635,3149,1778,4820,2539,4271,5108,3807,3308,6014,2335,10800,8660,6225,2998,973,-1986,3462,778,-2264,1170,806,456,-2723,314,625,-1387,-3525,-3308,-380,2061,2786,430,-2177,-3340,3854,-1386,-1096,-1498,-2103,3412,121,1413,-2762,-442,1975,-1240,2228,1100
"69","57","        Apparel, piece goods, and notions wholesalers","C42230",1632,1310,-82,2857,65,789,-136,426,-165,-3041,-1085,1639,-335,-491,946,348,2401,676,-2058,-1135,-435,-125,2798,-1363,-253,23,-2679,-987,-763,-1550,2468,48,1354,947,-186,361,1403,839,1788,1431,347,1103,1028,-129,2975,-1467,987,986,-3478,-4089,-3699,-3539,748,2584,7032
"70","58","        Grocery and related products wholesalers","C42240",122,863,-479,3218,-1325,1771,-748,-482,1443,-1758,2739,2345,-1072,-1157,1592,281,-2307,-1022,-2453,-717,1021,5582,-1254,-197,-319,-3612,667,-1561,21,-477,-1213,669,1478,30,2567,2228,1046,1924,1772,2462,3074,3042,-1666,201,-567,2594,2242,-937,-3446,-271,-2145,-2567,392,5744,756
"71","59","        Farm product raw material wholesalers","C42250",1356,943,706,2468,936,1716,3973,-1661,559,1087,3548,-1306,1022,-149,-43,638,-820,1299,-331,348,-984,-3104,-2356,1648,-2783,1859,3090,5398,2350,-4390,-4645,-163,8478,1383,-40,-1273,2422,2699,-2926,6549,-9910,1415,19521,-4345,-13770,1977,-11823,-6128,5451,-6132,-401,17305,-2980,-3968,12992
"72","60","        Chemical and allied products wholesalers","C42260",828,375,-493,430,130,447,686,669,761,126,-282,379,19,-397,-1058,296,-61,748,133,471,547,137,180,479,-1042,-275,-718,730,-1077,839,-59,-398,326,75,-633,220,-313,35,-904,-621,2044,408,168,739,-1385,-2050,1208,1039,-1440,-1436,-1246,-1826,-132,1476,2160
