"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"11","2","Goods","DGDSRX0",1873190,1885825,1908669,1926694,1942124,1979994,1994068,2018253,2045475,2043912,2097370,2126013,2142537,2198851,2232409,2300578,2329122,2384235,2412947,2454919,2492384,2506054,2532806,2555407,2562088,2569460,2588786,2683143,2677802,2690558,2725136,2732806,2752373,2800046,2876425,2890558,2919441,2931764,2966380,3003557,3032628,3075095,3098428,3089519,3145693,3150807,3176403,3222544,3241058,3252436,3271871,3281013,3232609,3235155,3171381,3082250,3095707,3084002,3138235,3151778,3195392,3222606,3250592
"12","3","  Durable goods","DDURRX0",498482,503551,517766,526759,532479,549419,553309,564115,579399,577529,603280,618674,623858,655668,674597,714640,716407,750861,769145,778710,822514,807711,821678,827720,841751,841332,851518,923052,912481,922077,949075,936563,937463,974111,1013204,1019750,1031036,1038271,1058712,1076082,1083293,1113592,1126681,1098405,1142277,1139363,1152103,1167921,1181156,1194470,1205662,1212910,1178646,1169997,1133162,1063913,1076587,1068226,1118302,1115113,1138938,1157837,1178608
"13","4","    Motor vehicles and parts","DMOTRX0",251556,251355,257576,261959,264665,268791,268168,270409,282487,272853,290710,298486,289822,312171,316426,345792,329626,353105,354161,343691,372892,346111,352246,353263,363115,356996,361259,415944,386312,388460,412909,388463,388800,405349,417484,409494,409223,407482,412305,416266,408832,423677,427561,378518,393252,393247,400344,399688,401608,407423,404437,401991,383024,362109,339781,307883,317059,313531,342692,322726,320636,326011,330425
"14","5","    Furnishings and durable household equipment","DFDHRX0",130801,131964,133899,135471,134376,139208,139282,142326,142803,143356,146549,148492,152416,154810,158382,163520,168283,172269,177958,183558,188171,191791,194335,195478,198400,200181,202107,208226,214816,216659,216344,220055,219031,227063,236217,240197,243389,246708,252300,254841,257001,261003,265377,272188,279286,276175,277555,278776,282369,280023,281334,282131,275709,279128,271437,259135,253585,249287,253534,259285,267866,273721,277407
"15","6","    Recreational goods and vehicles","DREQRX0",71255,73429,77850,79880,81867,86392,88897,92058,94977,98946,103038,106571,111805,117349,124911,130680,136676,143326,150527,157644,167679,170086,174488,178376,181361,186489,190826,200566,207845,211173,214013,218457,221077,230641,244483,251638,258664,264282,273400,281388,291578,299773,305339,316720,334541,336602,342961,358806,366580,374404,387193,396714,391268,402950,398941,381496,389430,387245,402831,417866,430701,440337,452639
"16","7","    Other durable goods","DODGRX0",69390,70050,70314,71130,72534,74834,75336,76843,77184,77170,79049,81138,82900,85778,87440,89322,93064,94315,97146,102137,102658,105942,106546,105873,104431,101923,101233,104388,107258,109304,110089,112561,111182,113682,117241,119959,120926,120649,121303,123944,125890,129090,128310,131115,135526,133821,131947,132203,132543,134860,135964,136237,133349,132551,130532,123331,125131,126549,128074,127804,133427,132695,134477
"17","8","  Nondurable goods","DNDGRX0",1428144,1435165,1440261,1447690,1457063,1475787,1486286,1498322,1507432,1508261,1532540,1543316,1554719,1573924,1585529,1607217,1636906,1652274,1660134,1694136,1679513,1713067,1724719,1741570,1731414,1739683,1748107,1763233,1770395,1772672,1777696,1800221,1819521,1827959,1863817,1871298,1888935,1893954,1907813,1927578,1949629,1961527,1971843,1990700,2003718,2011559,2024538,2054704,2060218,2058983,2067748,2070345,2054493,2064619,2035625,2010114,2012022,2008290,2016855,2032344,2053486,2063360,2072426
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",549903,547214,547280,549664,552158,554754,553710,555476,559389,556466,559770,559777,559257,563788,567602,571544,578277,584041,589071,598146,592174,600935,601719,607591,605418,609411,607286,608320,605797,606778,609159,614364,622626,617172,626488,623340,634515,635653,639118,647628,656622,658632,669936,674869,676664,684161,686608,697545,697277,693466,696380,702742,700262,699755,691232,675146,675183,681163,687798,696340,702737,697570,702323
"19","10","    Clothing and footwear","DCLORX0",197633,199726,203309,203504,204899,209958,213485,214833,214928,213011,220091,222877,227638,231464,229780,235117,243615,245717,247351,247989,252029,257489,260300,262501,258289,259975,259669,264148,267139,267262,265636,273949,274219,281794,288811,288860,296406,292867,296860,302960,307428,314657,315051,325032,329488,327163,331715,337539,341650,342867,345724,345003,343094,351624,341448,330814,328205,324551,324944,329526,339005,344298,343007
"20","11","    Gasoline and other energy goods","DGOERX0",264068,266206,263230,263802,267371,269082,269164,268408,270173,273937,275142,276449,278797,283252,285925,287099,289031,295483,291922,293390,282878,288297,289538,287789,289056,285392,290727,291617,290597,294052,295722,295562,296103,299370,304944,308198,306857,307539,305594,306119,309849,306406,302697,300343,296425,297229,299991,299866,298367,296372,296123,292774,287179,284008,274737,282206,286954,286473,285092,283472,283958,286091,284108
"21","12","    Other nondurable goods","DONGRX0",437033,442328,444138,448464,451157,459126,465725,474540,478424,482279,492753,498865,502925,509626,517719,527188,537197,540209,542846,564807,558481,572202,578493,587795,584002,588775,595512,603304,609769,608818,611925,619313,628952,632017,645768,653625,652720,659542,667035,671235,676082,681578,683836,690681,701891,703742,706926,721078,724726,728510,732052,732842,727656,735219,736090,726059,725555,719188,721687,726037,731867,739987,747419
"22","13","Services","DSERRX0",4159078,4196680,4226589,4250476,4292089,4320635,4343731,4369278,4404824,4434714,4487445,4533125,4583542,4639433,4695808,4728508,4768458,4822355,4880272,4940089,5014818,5073095,5120121,5165054,5189338,5211370,5225401,5248639,5282654,5310536,5329179,5350101,5371800,5398686,5435671,5467466,5518285,5551657,5589600,5650789,5686394,5727869,5767133,5798930,5841003,5884155,5914292,5959424,5994433,6018302,6038655,6061742,6090605,6090165,6069953,6078490,6053575,6027709,6020685,6028663,6029578,6053382,6090491
"23","14","  Household consumption expenditures (for services)","DHCERX0",4021404,4057729,4087029,4108096,4144878,4171621,4193570,4222969,4266660,4297578,4350491,4394203,4440021,4491227,4542026,4569212,4608022,4660761,4717478,4775319,4844563,4902226,4942497,4981966,5005271,5023261,5033927,5052900,5083183,5106094,5116358,5131755,5154058,5178049,5215609,5248249,5298271,5333604,5372649,5432666,5472950,5514202,5554371,5582499,5618225,5652112,5671356,5716036,5753672,5780794,5792388,5805887,5830237,5828546,5802073,5803619,5793526,5778438,5766451,5769694,5769918,5791660,5826379
"24","15","    Housing and utilities","DHUTRX0",1217392,1232075,1244330,1245685,1258351,1260797,1258171,1269436,1273687,1284918,1292791,1310215,1312299,1328557,1339298,1338877,1354235,1368196,1382573,1382096,1388134,1406273,1418621,1441671,1449479,1448343,1454553,1453623,1453722,1460036,1462640,1471609,1475503,1478436,1478498,1488364,1496417,1504493,1512700,1537448,1556600,1577724,1594259,1602782,1598937,1617838,1627553,1622547,1625786,1624797,1628587,1626248,1636329,1637559,1630855,1649737,1650125,1651961,1659366,1666335,1664307,1668898,1682689
"25","16","    Health care","DHLCRX0",940271,944618,950302,954786,955212,964612,968194,980327,985602,990926,1001207,1010711,1023330,1028197,1032908,1033582,1035805,1039915,1048352,1058277,1064448,1078508,1085846,1097297,1113123,1125738,1142340,1160584,1183462,1200320,1209591,1215908,1221576,1224842,1232232,1239023,1247420,1260890,1277597,1288676,1304449,1311084,1321320,1326953,1337317,1339244,1335776,1347689,1362929,1368234,1372881,1382252,1401504,1411002,1410120,1417435,1430028,1442058,1441585,1447916,1446655,1457627,1467710
"26","17","    Transportation services","DTRSRX0",208687,211022,215507,220144,225620,229159,233005,237676,244442,247417,251187,252225,254514,257658,260585,263938,267619,270856,276212,279269,282904,285901,287638,288451,288533,287114,281737,276963,277732,275346,275053,275237,275834,274508,277717,278880,280848,283171,283664,285226,285199,286112,287206,285082,283166,284714,284534,287530,289175,289132,287836,285903,282188,277215,271329,261533,254394,251284,249282,248634,250763,253312,255752
"27","18","    Recreation services","DRCARX0",237769,243976,247685,251581,252259,254920,258825,259351,261870,263727,264792,267518,270809,271050,274425,276869,279325,283815,289996,293350,293193,295784,296280,295639,298020,294980,293392,293181,295163,295631,296420,299747,299053,303158,307649,312039,317279,320556,322197,322811,326015,326176,326516,328440,332410,334043,338117,345239,346854,350231,353926,353965,353667,352559,348532,345404,345838,343338,339477,338583,338500,338217,341361
"28","19","    Food services and accommodations","DFSARX0",415429,416122,416695,415890,415966,418050,418654,422444,426618,426489,431021,428039,432814,438160,439822,445973,444474,447165,448970,459520,467011,471122,472786,471265,474781,470171,467635,466969,473813,477498,478406,479198,482629,489917,499188,502517,506072,506163,508988,513780,516512,524470,527202,533049,544661,538694,538660,544388,544139,549133,553119,558429,550950,552918,548052,538290,532238,527241,525356,526094,534965,538315,541768
"29","20","    Financial services and insurance","DIFSRX0",482049,487645,492351,495642,503882,508631,506550,511976,517152,518274,531323,534155,540330,553031,564536,576640,582862,597946,610437,631246,662395,664188,666501,668440,659133,658860,656552,668383,662323,657894,659368,653750,647872,653188,660848,669271,683138,686708,690639,706619,703197,710751,717195,719335,726034,731311,735629,748770,755853,765654,769809,774235,774904,772133,772792,763906,753915,746218,739400,732523,727396,729465,725313
"30","21","    Other services","DOTSRX0",522491,525137,522797,526638,535681,537262,551801,543027,558163,566808,578790,592441,606988,615327,631059,633268,643581,652483,660338,670513,684968,699256,713893,718487,721300,737731,737606,733815,737250,739544,735081,736239,751374,753856,759408,758123,767171,771662,776877,778098,780987,777895,780672,786841,795817,806273,811043,820070,829263,834079,826667,825285,831199,825750,821132,828072,827904,817201,812662,810127,807661,806079,811970
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",140280,141595,142229,145070,149953,151774,152936,149053,140868,139861,139734,141766,146379,151028,156482,161810,162953,164153,165422,167442,172792,173560,179926,185093,186076,189811,192895,196843,200357,204994,212785,218058,217617,220498,220023,219242,220045,218078,216979,218154,213432,213662,212771,216437,222784,232101,243135,243571,240861,237500,246505,256433,261094,262421,269143,276668,260708,248954,254577,259872,260649,262859,265363
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",632622,634784,636945,641400,644231,651513,655538,662385,657822,659632,665505,672230,684939,691945,701409,708605,713334,717185,722795,730551,736946,744153,752607,762258,770912,779144,789801,801353,815289,827978,838386,842786,841867,843335,844433,846425,851501,856348,864109,870456,871616,872179,874456,880278,891474,899019,903741,909823,919101,919191,921522,930421,940346,943758,946376,956743,952805,951017,950274,954114,952003,959857,968838
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",495377,496201,497734,499279,497067,502545,505413,516397,520335,523250,529385,534114,542167,544280,547979,549462,553033,555648,560008,565748,566321,572927,574416,578519,586376,590602,598101,605538,615938,623791,625778,624526,624136,622618,624272,627121,631421,638264,647145,652326,658180,658519,661691,663837,668686,666991,660886,666514,678357,681704,675347,674674,680045,682165,678458,681689,692427,701196,695569,694678,691975,697634,704123
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",5058960,5101831,5150867,5193816,5237385,5305107,5350290,5394956,5456586,5480664,5585353,5650548,5720124,5819316,5901699,6010468,6066598,6163184,6240433,6339590,6464291,6513036,6582584,6634427,6670665,6709351,6740878,6861894,6890541,6920759,6969476,6986919,7020437,7099263,7203534,7244725,7310946,7355659,7431101,7512554,7565776,7647291,7699770,7722338,7837778,7868031,7914293,8002799,8053656,8095108,8129763,8165740,8152014,8162884,8113731,8028231,8015226,7973692,8007148,8015428,8055181,8106816,8157293
"36","26","  Energy goods and services \5\","DNRGRX0",418194,429457,435019,430393,443450,441553,431468,437116,433735,439770,439479,451605,445415,459497,463130,448629,456307,466856,470773,460486,448731,465033,468584,480045,475069,457822,463009,460544,461456,473521,476436,483761,482937,484226,483255,492357,494063,493303,485375,494248,496832,496936,495677,491315,474008,483809,490249,482776,485996,484145,486037,477363,475171,468567,449071,468201,468736,466491,470822,474799,471635,475636,484661
"37","27","  Market-based PCE \6\","DPCMRX0",5248659,5293864,5350226,5387805,5430457,5495800,5520256,5584936,5639271,5661970,5761890,5828518,5878714,5982414,6053910,6145176,6213765,6309034,6383514,6473524,6556393,6621545,6679753,6744153,6776123,6786782,6818343,6930600,6954755,6998103,7052148,7075716,7107646,7182685,7282949,7323555,7387562,7419380,7484270,7574698,7637202,7725463,7784822,7796158,7874123,7910176,7948548,8025091,8080304,8109115,8144678,8169364,8144296,8152927,8068875,7979851,7986542,7975260,8022962,8047183,8092039,8141232,8194351
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",4306373,4345151,4396105,4433533,4463761,4526334,4558260,4615696,4667458,4688122,4782669,4839323,4893035,4980504,5044028,5137889,5193149,5273533,5338717,5424949,5520457,5563877,5617595,5666147,5703401,5723566,5752429,5863210,5888657,5921704,5970115,5982630,6006408,6084513,6174653,6210541,6261251,6292250,6359931,6433410,6484360,6570119,6619363,6630354,6725660,6743585,6772489,6846619,6899111,6934066,6964735,6993138,6972401,6989975,6939368,6841702,6847845,6832381,6869046,6880349,6922491,6973108,7012025
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",6004292,6053528,6107635,6150578,6206855,6277064,6314643,6366068,6430182,6456248,6566010,6641141,6707194,6822555,6913080,7019060,7088328,7199865,7286395,7389184,7501254,7571777,7645877,7713539,7744296,7773540,7807721,7929993,7957326,7997762,8051982,8080550,8122288,8197799,8312136,8358011,8437640,8483216,8555838,8654230,8718987,8802947,8865580,8888481,8986625,9035047,9090711,9181617,9235175,9270456,9310002,9342251,9324067,9326226,9243479,9166282,9154133,9116975,9161603,9182858,9225371,9275656,9340297
"41","30","Household consumption expenditures \7\","DPHCRX0",5865726,5913683,5967123,6007390,6059111,6127527,6163978,6218871,6290417,6317393,6427155,6500335,6561969,6672786,6757924,6858611,6926712,7037045,7122324,7223133,7329849,7399668,7467249,7529609,7559368,7584684,7615628,7733901,7757538,7793103,7839163,7862289,7904598,7977254,8092166,8138862,8217678,8265195,8338904,8436119,8505542,8589279,8652819,8672052,8763845,8802971,8847689,8938143,8994366,9032945,9063609,9086143,9063462,9064337,8975289,8891059,8894038,8867914,8907278,8923641,8965341,9013495,9075698
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",549903,547214,547280,549664,552158,554754,553710,555476,559389,556466,559770,559777,559257,563788,567602,571544,578277,584041,589071,598146,592174,600935,601719,607591,605418,609411,607286,608320,605797,606778,609159,614364,622626,617172,626488,623340,634515,635653,639118,647628,656622,658632,669936,674869,676664,684161,686608,697545,697277,693466,696380,702742,700262,699755,691232,675146,675183,681163,687798,696340,702737,697570,702323
"43","32","  Clothing, footwear, and related services","DCAFRX0",213322,215515,219209,219417,220721,225925,229633,231196,231633,229964,237393,240364,245268,249216,247579,253096,261824,264052,265804,266539,270700,276230,279000,281070,276580,278078,277611,282014,284948,284943,283122,291238,291212,298565,305436,305374,312854,309249,313195,319243,323650,330866,331310,341396,345911,343630,348246,354150,358258,359444,362207,361360,359266,367517,357162,346346,343314,339300,339376,343696,352635,357853,356622
"44","33","  Housing, utilities, and fuels","DHUFRX0",1243465,1259611,1271559,1273689,1286516,1287227,1284909,1295285,1298450,1310612,1318776,1336280,1337381,1354605,1365111,1364766,1381116,1395742,1409391,1408004,1412366,1431598,1443557,1466416,1474925,1473240,1479267,1478058,1478392,1485598,1488243,1497742,1499878,1502883,1504106,1514436,1521195,1528846,1536978,1560388,1579670,1599333,1614543,1621923,1616900,1637679,1647685,1642366,1646416,1644158,1646978,1643865,1653169,1652088,1644824,1667874,1670481,1671875,1678364,1686215,1683911,1687059,1701249
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",246319,248445,251213,253443,252378,259432,260888,265459,267373,268899,274234,278093,283407,286926,291327,298325,304532,308415,314835,322635,328923,332111,333805,334703,337598,339196,340095,345722,353042,354851,355073,360987,362417,371626,383743,390104,395207,400126,407490,411195,414057,420121,426249,435010,444088,440618,442922,446433,452022,450704,454007,455841,448502,451708,442242,425156,416149,409370,412396,419234,429678,436922,441417
"46","35","  Health","DHLTRX0",1079391,1086037,1093147,1099954,1102332,1115424,1121941,1137624,1145302,1153724,1169574,1184168,1200778,1211196,1221140,1227104,1235549,1242277,1250903,1276193,1274065,1302516,1313126,1331755,1344352,1359406,1384645,1409422,1435127,1451194,1463537,1473362,1484901,1489445,1503630,1515613,1519587,1539136,1558572,1571871,1589008,1596807,1607077,1612932,1627518,1634307,1632213,1650443,1669221,1677344,1681560,1689932,1709997,1722286,1723840,1731896,1744941,1757634,1758731,1764581,1761267,1774650,1788665
"47","36","  Transportation","DTRNRX0",675701,677973,688768,698633,709734,721091,723993,731922,755780,748704,775060,786476,780573,813375,823631,864396,848434,884109,889669,882027,914504,889417,899530,900428,912064,901400,904935,965064,929769,931217,960573,931968,935214,954787,974807,969449,971654,973287,977271,984747,980134,994515,996901,945828,955007,955430,964664,967275,968358,972740,969250,961773,935179,910587,874701,842080,844618,837418,861965,840315,841456,852794,856877
"48","37","  Communication","DCMCRX0",87305,88951,91309,93496,95291,97755,99190,101413,104110,106171,109965,113260,115173,116794,120539,122842,126442,132508,138049,141974,147267,154491,159149,161774,163129,166483,168351,168618,169801,172451,172174,172725,174131,176007,177511,178998,181458,185355,188040,188766,189839,192052,193714,195429,201019,206057,209898,216861,220996,227025,229126,232695,235296,234309,233450,232214,236339,235086,232651,232149,233855,233093,234688
"49","38","  Recreation","DRRLRX0",376707,386030,395762,402704,406113,416989,425525,433374,439572,447239,456542,465027,475694,486356,502721,515665,528155,542055,558795,576307,590601,596150,604549,611022,615807,620016,623036,635572,647780,653997,659462,669789,672467,688147,711173,724638,739230,748370,762733,773897,790733,802173,809887,826793,851662,855180,866845,892961,905191,917357,935797,946040,938598,950822,942002,916440,924283,918976,928870,944888,959395,972174,991266
"50","39","  Education","DEDURX0",163756,164217,164932,165439,166414,167981,169522,170727,171653,172069,173257,175010,176484,177366,178221,179891,181133,181848,182137,184555,185604,187869,189165,190156,191238,191826,190940,189999,188067,186539,186834,185474,185243,185956,185689,184291,183503,181727,180522,180409,180874,180311,180611,180834,181034,181368,180462,181830,182234,182947,183651,184524,184300,184990,185954,185313,185552,185203,185206,184972,185853,186151,186390
"51","40","  Food services and accommodations","DFSARX0",415429,416122,416695,415890,415966,418050,418654,422444,426618,426489,431021,428039,432814,438160,439822,445973,444474,447165,448970,459520,467011,471122,472786,471265,474781,470171,467635,466969,473813,477498,478406,479198,482629,489917,499188,502517,506072,506163,508988,513780,516512,524470,527202,533049,544661,538694,538660,544388,544139,549133,553119,558429,550950,552918,548052,538290,532238,527241,525356,526094,534965,538315,541768
"52","41","  Financial services and insurance","DIFSRX0",482049,487645,492351,495642,503882,508631,506550,511976,517152,518274,531323,534155,540330,553031,564536,576640,582862,597946,610437,631246,662395,664188,666501,668440,659133,658860,656552,668383,662323,657894,659368,653750,647872,653188,660848,669271,683138,686708,690639,706619,703197,710751,717195,719335,726034,731311,735629,748770,755853,765654,769809,774235,774904,772133,772792,763906,753915,746218,739400,732523,727396,729465,725313
"53","42","  Other goods and services","DOISRX0",428155,431080,433237,436152,441140,446387,448301,453287,454222,457095,462629,467169,473003,478149,482388,486171,494530,496267,500282,508116,511266,517129,522252,523780,524969,525383,526966,530516,534467,536328,537088,542698,547091,552442,559007,564890,567755,569303,574571,577653,580434,582665,577933,582669,589768,589866,590818,597221,596563,597665,598878,598573,595224,597934,595197,585042,581880,575140,573722,572184,577556,576156,576610
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-21345,-23344,-30887,-31868,-27571,-32096,-22516,-37115,-27238,-25480,-22653,-19226,-13437,-11870,-5281,-9875,-8803,-9458,-10441,-9531,-7165,-4624,438,-455,-2402,9139,4784,1421,6995,5371,-1274,-2516,6882,3030,5244,-762,3896,3257,1857,617,792,-3698,-278,2829,4794,5616,4294,898,1770,212,-10344,-15754,-14246,-20656,-23303,-11209,-7823,-12294,-10697,-11369,-13873,-14718,-11629
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",140280,141595,142229,145070,149953,151774,152936,149053,140868,139861,139734,141766,146379,151028,156482,161810,162953,164153,165422,167442,172792,173560,179926,185093,186076,189811,192895,196843,200357,204994,212785,218058,217617,220498,220023,219242,220045,218078,216979,218154,213432,213662,212771,216437,222784,232101,243135,243571,240861,237500,246505,256433,261094,262421,269143,276668,260708,248954,254577,259872,260649,262859,265363
"56","45","  Gross output of nonprofit institutions \2\","DNPERX0",632622,634784,636945,641400,644231,651513,655538,662385,657822,659632,665505,672230,684939,691945,701409,708605,713334,717185,722795,730551,736946,744153,752607,762258,770912,779144,789801,801353,815289,827978,838386,842786,841867,843335,844433,846425,851501,856348,864109,870456,871616,872179,874456,880278,891474,899019,903741,909823,919101,919191,921522,930421,940346,943758,946376,956743,952805,951017,950274,954114,952003,959857,968838
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",495377,496201,497734,499279,497067,502545,505413,516397,520335,523250,529385,534114,542167,544280,547979,549462,553033,555648,560008,565748,566321,572927,574416,578519,586376,590602,598101,605538,615938,623791,625778,624526,624136,622618,624272,627121,631421,638264,647145,652326,658180,658519,661691,663837,668686,666991,660886,666514,678357,681704,675347,674674,680045,682165,678458,681689,692427,701196,695569,694678,691975,697634,704123
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
