"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"25","16","      Miscellaneous durable goods manufacturing","I3390",307,-51,-7,-373,215,127,322,365,11,-301,-222,-124,-777,285,-237,13,-288,108,180,176,233,265,312,241,-1039,208,-100,-50,-873,-986,-1116,-585,-1048,-987,-474,313,-924,-1236,-973,-511,-1350,-694,-503,21,-843,-1222,-1665,653,1431,1011,442,-358,-580,-1128,-176,-656
"26","17","    Nondurable goods industries","I30N0",6477,2731,772,-243,3495,2917,2984,4146,7752,828,-3846,-7690,-11027,-8102,-4534,-3352,-4229,2052,5970,5004,7189,2316,-5972,-8144,-12001,-4916,-4363,-6156,-10155,-13422,-8597,-8526,-12793,-9446,-11545,-13680,-8761,-8658,-4916,257,-12124,-10854,-14309,-27711,-21659,-25752,-11363,58738,26093,13887,9591,-10589,-6172,1684,-12116,-27672
"27","18","      Food manufacturing","I3110",379,392,450,-633,924,124,54,502,1288,319,-738,-483,-1487,-1198,688,-983,-2070,-659,253,632,-816,856,-1639,376,-2617,-2383,-3075,-2004,-3280,-4080,3351,-1184,-470,342,118,-597,878,-313,-3178,-3843,-5829,-4471,-3790,-6144,-9595,-4059,184,8693,6170,429,3347,-3798,-1940,-324,-5780,-9554
"28","19","      Beverage and tobacco product manufacturing","I3120",559,-84,-565,-654,-256,5,-159,-145,290,296,-136,-670,-377,-308,-150,23,-18,31,198,70,-777,-72,122,326,51,-206,-230,133,-854,-889,-693,-28,1241,1143,1092,921,282,73,-409,-618,-991,-853,-488,-129,-826,-626,-512,-553,-49,136,104,15,-364,-176,-256,-292
"29","20","      Textile mills","I3130",115,-2,69,53,-145,-67,74,231,784,254,27,-214,-214,-85,20,62,-628,590,775,895,406,246,-79,-165,-242,48,-62,77,139,-165,154,84,-54,12,-219,-299,-287,-42,7,128,-77,-81,-156,-263,-223,-291,-252,18,398,-31,-65,-128,-92,-84,-44,-158
"30","21","      Textile product mills","I3140",24,65,12,-5,9,99,123,86,343,135,88,10,-184,-199,-25,176,173,362,267,102,-43,-131,8,94,62,126,75,41,41,-167,-29,-16,-265,-26,-38,101,-224,-103,50,162,-128,-71,-62,-10,-110,-150,-239,0,268,-54,-12,-50,-28,-88,-36,-21
"31","22","      Apparel manufacturing","I3150",133,37,38,-57,2,203,212,191,1205,365,-273,-201,-47,-65,-16,12,-674,83,609,491,193,-50,-145,-119,102,-71,-255,468,-74,-118,-203,-106,-410,-226,232,243,-353,-307,103,181,-95,-168,-214,-128,-353,-258,-185,-266,-198,-162,-9,70,-64,-56,-80,-36
"32","23","      Leather and allied product manufacturing","I3160",-131,32,70,44,72,12,1,162,69,4,-51,-42,-139,23,-44,-76,-139,-27,45,109,-143,-28,-69,96,-76,14,-47,-22,7,-26,44,-74,29,-56,-24,62,60,-69,-12,-55,-91,-46,-35,-20,266,-177,-89,-106,0,41,39,9,-52,-52,-28,-27
"33","24","      Paper manufacturing","I3220",1623,26,5,-14,-935,-232,93,444,1097,869,597,-299,-1362,-1223,-577,-22,-260,408,632,-98,1360,1295,541,-172,-261,-560,-235,-128,269,-821,-1003,-1125,-1607,-1043,-122,757,-1289,-746,-249,96,-187,401,-33,-685,-1812,-1853,-1408,185,1748,1442,656,-508,-472,-1616,-1080,-331
"34","25","      Printing and related support activities","I3230",1116,-452,-363,-313,-391,-142,-193,22,917,660,248,-56,-753,-552,-340,112,-467,-125,409,578,1580,512,-200,-442,-365,-304,-17,142,36,-275,-194,-527,-364,-328,-429,17,-639,-273,-63,158,528,545,95,55,-672,-1110,-823,85,826,1009,549,-267,52,-488,-508,-81
"35","26","      Petroleum and coal product manufacturing","I3240",1654,2061,1022,1142,4316,2143,1078,213,-177,-2255,-2416,-3860,-3148,-861,-1157,-954,906,685,822,1778,30,-1403,-2320,-4920,-3850,1147,-1150,-4055,-2728,-2752,-4684,-1451,-7959,-6656,-8817,-3540,-2696,-4024,1922,1346,-3565,-3694,-6762,-13303,6597,-2296,3023,43160,11120,7195,4212,-3447,-12,8220,-1920,-12148
"36","27","      Chemical manufacturing","I3250",847,752,-144,-124,-596,119,1060,2111,1031,219,-491,-1099,-1962,-2115,-2514,-1922,-1069,208,612,-87,1744,480,-463,-635,-3445,-1970,313,-373,-3147,-2878,-3754,-2165,-800,-1613,-2717,-9233,-3739,-3514,-1595,1706,-2143,-1817,-2397,-6327,-12634,-12425,-7822,5369,3150,3348,942,-2398,-2136,-1880,-1888,-4292
"37","28","      Plastics and rubber product manufacturing","I3260",158,-95,176,318,495,653,641,331,903,-38,-702,-775,-1354,-1520,-420,219,17,495,1348,535,3655,611,-1728,-2583,-1360,-758,320,-435,-563,-1253,-1587,-1934,-2131,-995,-622,-2112,-754,659,-1492,997,453,-600,-469,-757,-2296,-2506,-3241,2153,2662,534,-173,-88,-1064,-1772,-496,-732
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","I30M0",3406,1954,2325,3820,-1169,1557,5556,10288,9145,3908,-1963,-8642,-1082,-4236,-4229,-3014,-1715,207,4646,6336,5909,1888,-3150,-3886,-3605,-1054,-2285,-6349,-8682,-10470,-10658,-11303,-8590,-3419,-5479,-11141,-6400,-10631,-7662,-3497,-8107,-10411,-5962,-6387,-19134,-25649,-12571,32500,24040,18300,742,-15059,-7212,-6620,-5688,-13269
"40","30","      Durable goods industries","I30DM0",1122,1525,1942,2947,-1386,657,4025,7553,4714,2474,-411,-4316,2776,-1286,-3076,-1756,-243,-57,2855,3910,1730,354,-175,-264,586,901,-116,-3444,-4013,-6139,-7560,-7748,-5253,-1227,-803,-3680,-2762,-7853,-7381,-2641,-2175,-5524,-472,-1364,-11133,-17279,-9644,13280,12492,12237,-1704,-8187,-4720,-6204,-356,-3032
"41","31","      Nondurable goods industries","I30NM0",2284,429,382,873,217,900,1532,2735,4431,1434,-1552,-4326,-3858,-2950,-1153,-1258,-1472,264,1790,2426,4179,1534,-2975,-3622,-4191,-1955,-2169,-2906,-4669,-4330,-3098,-3555,-3337,-2191,-4675,-7461,-3638,-2778,-282,-857,-5932,-4887,-5490,-5024,-8001,-8369,-2927,19221,11548,6064,2446,-6872,-2492,-416,-5332,-10237
"42","32","    Work-in-process","I30W0",3281,2999,1454,2787,2328,2207,3133,4580,1475,-1151,-90,-1001,-1042,-4851,-1830,-3930,1949,3400,461,-874,3861,-638,-720,-1744,-4008,1138,-1739,939,-4558,-6377,-7176,-5222,-4022,-1822,-4073,-5899,-2166,-8820,-9129,-2486,-4086,-4951,-4025,-7899,-10470,-15175,-6118,19337,7272,5591,1530,-3005,-3028,-1024,-2444,-8282
"43","33","      Durable goods industries","I30DW0",2455,2325,1427,2932,1449,1907,2168,3618,1751,-514,25,-915,-218,-3716,-648,-2796,1216,2198,174,-499,5903,785,-710,-3618,-1225,1180,-1123,633,-2702,-4735,-5380,-3972,-1938,308,-1443,-3175,-2561,-5994,-5258,-3879,-1608,-2657,-831,-477,-8393,-10962,-4979,5029,6546,3388,-821,-2000,-2012,-2736,-492,-2380
"44","34","      Nondurable goods industries","I30NW0",826,674,27,-145,879,301,965,962,-276,-637,-115,-86,-824,-1135,-1182,-1134,733,1202,287,-375,-2042,-1423,-10,1874,-2783,-42,-616,306,-1857,-1642,-1795,-1250,-2084,-2130,-2630,-2724,395,-2826,-3871,1393,-2478,-2294,-3194,-7422,-2078,-4213,-1138,14308,726,2203,2350,-1005,-1016,1712,-1952,-5902
"45","35","    Finished goods","I30F0",1704,1827,3742,1513,4707,3194,2524,1155,4336,-1237,-2181,-2967,-7492,-4889,-2819,-2252,-8479,2399,6353,5610,7650,4489,-1922,-7880,-5872,-2347,-1460,-5056,-6059,-12468,-9613,-7309,-12400,-7610,-3250,-2700,-10425,-8832,-6278,-706,-6510,-5371,-6486,-16865,-15522,-24566,-17395,29605,22333,9795,5070,-5103,-3464,-2044,-5408,-14140
"46","36","      Durable goods industries","I30DF0",-1663,199,3379,2483,2309,1478,2037,705,740,-1267,-2,311,-1147,-872,-619,-1293,-4989,1812,2460,2657,2598,2284,1065,-1484,-845,572,118,-1500,-2429,-5019,-5909,-3588,-5028,-2485,990,796,-4905,-5778,-5515,-426,-2796,-1697,-860,-1600,-3941,-11396,-10097,4396,8514,4175,275,-2391,-800,-2432,-576,-2608
"47","37","      Nondurable goods industries","I30NF0",3367,1628,363,-971,2399,1717,487,449,3596,30,-2179,-3278,-6345,-4017,-2199,-959,-3490,586,3893,2953,5052,2205,-2987,-6396,-5027,-2919,-1578,-3556,-3629,-7449,-3704,-3722,-7372,-5125,-4240,-3496,-5519,-3054,-764,-280,-3714,-3673,-5625,-15266,-11581,-13170,-7298,25209,13820,5620,4794,-2712,-2664,388,-4832,-11532
"48","38","Wholesale trade industries","IWT0",5099,8961,7815,4057,10106,12576,10024,302,7842,2511,-3104,-9168,-16002,-4989,-245,2411,-6619,-2274,4565,21950,13639,2601,-15417,-15297,-11358,1769,-492,-15654,-14504,-15045,-10029,-16814,-9875,-7067,-7889,-20233,-11871,-16915,-22065,-23523,-24487,-13572,-13591,-44458,-56335,-50121,-19266,68743,41440,1784,-5201,-24088,-12024,6572,-19860,-59212
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","IWTD0",5773,3757,6083,5333,5864,9609,8216,676,8116,4105,-1561,-4608,-6610,-1727,2162,6587,-3694,-985,3083,14003,11709,4649,-3339,-8522,-571,4487,2641,-9919,-9362,-10880,-7543,-7803,-4060,-290,3044,-13793,-8081,-9925,-14046,-7034,-5158,-5945,-4415,-8012,-18369,-27870,-13358,24176,17325,4870,-6963,-10350,-5448,-5248,232,-7256
"51","40","    Nondurable goods industries","IWTN0",-675,5203,1732,-1277,4242,2967,1808,-373,-274,-1593,-1544,-4560,-9392,-3261,-2406,-4176,-2925,-1289,1482,7947,1930,-2048,-12079,-6775,-10788,-2717,-3133,-5735,-5142,-4165,-2486,-9010,-5815,-6777,-10933,-6439,-3790,-6989,-8019,-16489,-19329,-7627,-9176,-36446,-37966,-22252,-5908,44567,24116,-3086,1762,-13738,-6576,11820,-20092,-51956
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","I42W0",3287,7369,6603,3341,8222,12032,8936,-1226,7034,2347,-2184,-8036,-12258,-5041,1479,3075,-5907,-2226,3537,20274,10711,2177,-13225,-9153,-9738,2621,-1380,-11574,-9640,-8653,-6549,-14650,-3555,-2759,-5945,-18369,-6047,-10455,-15073,-17859,-20307,-10568,-9571,-35686,-51783,-40253,-14474,51215,31072,-4328,-9477,-22576,-10580,5940,-17580,-50640
"54","42","      Durable goods industries","I42WD0",4429,2477,4807,4521,4812,9517,7488,-404,7504,3569,-1297,-4404,-4670,-2651,2826,6031,-3542,-1045,2899,13623,10081,4085,-3663,-7130,-1075,3811,1293,-7611,-6290,-7396,-6419,-7891,-1456,926,2324,-14393,-5829,-7097,-11218,-5382,-3650,-5009,-3675,-7240,-18357,-23618,-11378,17424,13925,2958,-7719,-9510,-5268,-4316,244,-5884
"55","43","        Motor vehicles, parts, and supplies wholesalers","I42110",-550,346,1281,1799,-423,3269,862,-3965,154,-170,-103,-733,-86,-645,-407,-122,-952,132,-1836,3892,2917,1601,-1204,-1514,-812,3187,1341,-3932,-3437,-983,411,3564,1007,384,692,-1143,580,1586,-3013,43,2524,1645,-2597,-4068,-3898,-2677,-494,1672,3474,-564,-3751,-267,-144,-116,-192,418
"56","44","        Furniture and home furnishings wholesalers","I42120",69,103,5,-1,-210,65,-185,98,352,109,-164,-424,-454,-234,49,311,-59,12,56,-5,211,233,-265,-442,-226,-123,-35,101,-188,-174,-174,96,-140,-215,-149,-263,-40,109,-183,-554,-566,-296,-91,108,-695,-594,-295,-5,41,-218,-172,-313,60,4,-124,-73
"57","45","        Lumber and other construction materials wholesalers","I42130",-371,-922,67,1002,25,285,330,387,-607,-648,-621,372,-552,199,869,436,622,-905,-399,581,347,-159,-84,-122,559,363,-609,-1240,-1311,-1733,-629,373,499,444,662,-2853,-1884,-752,900,1310,1074,-755,274,-869,-267,-511,-1096,-109,519,-175,-584,-80,-504,-1080,324,157
"58","46","        Professional and commercial equipment wholesalers","I42140",4245,2416,3117,1526,2553,3365,4231,4895,4919,2851,1487,311,467,664,1717,2443,1694,545,2826,3730,0,459,1636,1902,-325,-14,888,2399,1246,824,591,-413,1267,1117,1110,1027,1663,1286,735,187,-48,697,1244,1498,-1575,-491,1207,2029,1696,386,67,169,560,528,312,432
"59","47","          Computers and software wholesalers","I421430",2985,2926,2985,2804,2156,3583,4610,4820,4854,2983,1646,405,2407,1547,920,987,2374,943,2699,3240,-161,271,1945,2753,611,574,1072,1503,1336,1025,765,95,2075,1540,940,529,1808,1448,1004,412,717,1106,1382,1184,-225,213,1229,1725,1540,916,332,277,336,528,528,378
"60","48","          Other professional and commercial equipment wholesalers","I4214X0",1260,-509,132,-1278,397,-218,-379,75,65,-132,-159,-93,-1939,-883,797,1457,-680,-398,127,490,161,188,-309,-851,-937,-588,-184,897,-90,-201,-173,-508,-808,-423,170,498,-145,-162,-269,-224,-765,-408,-138,315,-1349,-704,-21,305,155,-530,-264,-109,224,0,-216,54
"61","49","        Metal and mineral (except petroleum) wholesalers","I42150",-566,16,315,311,621,582,646,720,1738,1149,-67,-2260,-1219,-1035,-513,1319,465,489,412,386,1219,-202,-1216,-1288,-113,140,-96,-1865,-2819,-4830,-3389,-3738,-2708,1057,2288,-3409,-1005,-2218,-3232,-3165,-398,-2190,228,832,-1481,-9422,-6782,11242,10134,5525,-1932,-7583,-2696,-2900,328,-1087
"62","50","        Electrical goods wholesalers","I42160",-582,-100,428,2218,-123,208,809,486,1522,812,-49,-960,1548,825,-86,-1323,-1691,136,1482,2095,2513,876,-186,-1520,1658,1144,-23,-1824,-633,-40,982,408,-95,356,43,-691,-323,-1002,-598,-346,-832,674,109,-914,-3548,-1788,354,1238,228,84,-75,-329,340,268,-36,213
"63","51","        Hardware and plumbing and heating equipment wholesalers","I42170",111,19,-98,-265,-428,-231,-32,666,49,-13,-242,-285,-544,-209,61,232,-58,-149,-243,-362,147,98,-195,-442,-464,-284,-42,422,174,-185,-587,-970,392,-281,-540,-1482,-1322,-691,-113,594,-51,-662,-525,-689,-1278,-1064,-601,-65,465,18,-911,-375,-52,-8,-136,-87
"64","52","        Machinery, equipment, and supplies wholesalers","I42180",2002,1107,-481,-2256,1229,754,10,-3693,-1366,-790,-435,1778,-1856,-1002,292,1266,-4046,-1497,629,3341,2185,1336,-1301,-2892,-1875,-1005,-56,1256,1764,-465,-2377,-4682,-1587,-2597,-2205,-2007,-4288,-3304,-1954,-998,-3011,-2679,-1864,-1270,-2662,-3551,-4255,-4548,-3712,-1213,1427,1037,-296,-836,-964,-796
"65","53","        Miscellaneous durable goods wholesalers","I42190",72,-507,172,187,1567,1218,817,2,745,270,-1103,-2203,-1975,-1215,844,1469,483,191,-30,-36,543,-157,-847,-810,525,402,-75,-2928,-1086,190,-1248,-2528,-90,661,423,-3570,789,-2113,-3759,-2454,-2340,-1443,-453,-1867,-2954,-3519,582,5971,1081,-886,-1786,-1767,-2536,-176,732,-5061
"66","54","      Nondurable goods industries","I42WN0",-1143,4891,1796,-1181,3410,2515,1448,-821,-470,-1221,-888,-3632,-7588,-2389,-1346,-2956,-2365,-1181,638,6651,630,-1908,-9563,-2023,-8664,-1189,-2673,-3963,-3350,-1257,-130,-6758,-2099,-3685,-8269,-3975,-218,-3357,-3855,-12477,-16657,-5559,-5896,-28446,-33426,-16636,-3096,33791,17148,-7286,-1758,-13066,-5312,10256,-17824,-44756
"67","55","        Paper and paper products wholesalers","I42210",104,24,-157,85,-76,280,122,34,-99,-374,-325,41,-872,-851,-101,116,72,305,348,67,263,217,-134,-74,13,513,30,-588,817,-166,-990,-733,-390,-183,236,-288,606,-417,-1112,-865,-69,-82,-140,-265,-615,-565,-1028,-488,1195,605,-79,-488,-396,-916,-484,-32
"68","56","        Drugs and druggists' sundries wholesalers","I42220",81,394,-68,-667,-2655,-1814,-189,201,-1466,-952,395,1555,800,719,-1112,-1026,51,-76,-68,465,3410,1821,-1722,-4542,-4226,-2036,650,3986,-3620,-963,250,3149,1521,63,-1488,-1868,-739,-398,-194,247,592,-18,-1938,-3652,-4254,-2039,160,2069,665,-158,-1202,-2481,-888,-576,-644,-411
"69","57","        Apparel, piece goods, and notions wholesalers","I42230",-432,-246,18,225,729,185,-280,-666,1371,-165,-321,-633,-1227,-251,570,968,-143,-2192,-330,2477,669,171,-138,-67,263,-189,105,-483,-143,282,396,-676,-130,-1017,266,1025,1235,219,-688,-789,-1185,-613,-20,779,-97,-259,-409,-570,-1198,-209,297,1157,136,-144,-384,-503
