"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"21","14","          Employee reimbursement","DREERC0",-142,-151,-168,-190,-206,-219,-241,-271,-291,-303,-314,-321,-327,-328,-329,-370,-391,-413,-448,-540,-631,-721,-812,-899,-899,-899,-899,-899,-899,-1066,-1233,-1401,-1568,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735,-1735
"22","15","        Used light trucks","DUTRRC0",73,74,60,90,108,119,142,168,184,176,187,204,246,273,345,349,344,502,679,894,1109,1325,1540,1755,2335,3318,4328,6146,7055,8742,10504,12888,13664,14987,16656,18059,22387,28701,34683,41921,49098,50723,53271,56880,53296,54237,57033,59289,63675,57841,59671,66210
"23","16","          Net transactions in used trucks","DUTNRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,1394,1930,3274,3709,4853,5545,7725,8788,11555,12051,11608,14386,18918,22991,29489,35120,36256,37867,40207,36695,35628,38015,40201,43383,40937,41896,46283
"24","17","          Used truck margin","DUTMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,1924,2398,2872,3346,3889,4959,5163,4876,3432,4605,6451,8001,9783,11692,12432,13978,14467,15404,16673,16601,18609,19018,19088,20292,16904,17775,19926
"25","18","      Motor vehicle parts and accessories (58)","DMVPRC0",2383,2487,2569,2825,3012,3237,3450,3765,4001,4613,5403,6087,7136,8004,8898,9507,10287,11367,12877,14417,16335,17926,19574,20430,22117,22794,23483,23544,23940,26311,26966,28254,27803,28727,30797,33737,35366,37647,39133,39477,41069,41788,41260,41674,43288,45188,48046,50561,52644,52237,50330,53373
"26","19","        Tires","DTATRC0",1518,1568,1608,1749,1854,1968,2120,2366,2523,2935,3442,3912,4651,5347,5698,5834,6029,6343,6842,7545,8518,9435,10123,10366,11208,11576,11936,12098,12257,13449,13680,14364,14047,14200,14684,15508,15657,16039,16019,15759,15754,15708,15979,16211,17152,18333,20209,21867,23317,23985,23800,25063
"27","20","        Accessories and parts","DPAARC0",865,919,961,1076,1158,1269,1330,1399,1478,1678,1961,2175,2485,2657,3200,3673,4258,5024,6035,6872,7817,8491,9451,10064,10909,11217,11547,11446,11683,12862,13286,13890,13757,14527,16113,18229,19708,21608,23114,23718,25315,26080,25281,25463,26136,26855,27836,28695,29327,28252,26530,28309
"28","21","    Furnishings and durable household equipment","DFDHRC0",15517,15424,15572,16423,17510,19517,20661,22643,23679,26089,27588,28152,29944,33522,37961,40891,42612,47172,53355,59004,65254,67843,71461,71811,79770,88832,94619,103455,109536,115154,121387,120941,118786,124288,131367,140510,146742,153535,160491,173579,191185,208105,214939,225868,233340,249154,263892,276511,277691,266037,248105,258454
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRC0",8663,8662,8763,9390,10193,11520,12263,13265,13809,15085,15745,15765,16591,18597,21183,22883,23527,25967,29617,32632,36055,36934,38422,37827,43158,49334,53133,59392,64509,67473,70795,69228,67120,69274,73535,79384,83382,88322,93791,101193,111282,121676,124482,130213,134187,144032,152838,160061,160080,151029,139133,144400
"30","23","        Furniture","DFNRRC0",4887,4858,4870,5214,5609,6271,6651,7192,7436,8084,8609,8706,9308,10534,11905,12623,12920,14153,16401,18129,20339,20789,21763,21045,23930,27471,29771,33099,35242,36775,40418,39312,38632,39980,42991,46683,49508,53174,57411,62138,68167,75106,77086,80692,82519,88376,93300,97026,97185,91308,84018,87642
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRC0",1205,1257,1338,1452,1572,1742,1905,2133,2269,2551,2751,2901,3113,3464,3949,4301,4635,5159,5753,6444,7029,7470,7932,8309,8624,9013,9091,9615,10156,10808,11526,11984,12061,12865,13750,15081,16054,17101,17980,19035,20682,22143,22347,23175,24141,25600,27035,28533,29441,28824,27884,29669
"32","25","        Carpets and other floor coverings","DFLRRC0",1747,1730,1728,1864,2145,2552,2679,2809,2913,3179,3102,2876,2870,3234,3795,4299,4197,4691,5293,5718,6192,6071,5983,5665,7086,8482,9173,10524,12122,12983,12413,12072,11163,11321,11347,11694,11553,11392,11446,12575,14174,15597,16181,16977,17842,19642,21269,22670,21745,19662,16933,16690
"33","26","        Window coverings","DWCTRC0",825,817,826,860,866,955,1028,1132,1191,1271,1283,1281,1300,1366,1533,1659,1774,1965,2171,2342,2496,2604,2744,2808,3518,4367,5099,6152,6989,6908,6438,5859,5264,5108,5446,5926,6266,6654,6954,7445,8259,8830,8869,9369,9685,10415,11234,11831,11710,11235,10297,10399
"34","27","      Household appliances (part of 33)","DAPPRC0",4420,4291,4284,4323,4511,4873,4900,5344,5537,6225,6808,7257,7944,8997,9895,10334,10581,11506,12725,13605,14806,15104,15518,15177,16795,18375,19819,21243,21781,22696,23852,23660,23262,24287,25195,25819,26571,26798,26532,28638,31616,34078,35739,37605,38625,40971,43383,45271,45470,44439,41605,43892
"35","28","        Major household appliances","DMHARC0",4113,3979,3946,3944,4087,4357,4265,4643,4895,5446,5923,6322,6964,7839,8486,8880,9023,9548,10523,11309,12464,12799,13222,13012,14728,16447,18105,19738,20472,20969,21671,21080,20305,20891,21657,22172,22860,23077,22823,24816,27600,29927,31526,33322,34197,36374,38554,40182,40180,39075,36322,38394
"36","29","        Small electric household appliances","DSEARC0",307,312,338,379,424,516,635,701,642,779,885,935,980,1158,1409,1454,1558,1958,2202,2296,2342,2305,2296,2165,2067,1928,1714,1505,1309,1727,2181,2580,2957,3396,3538,3648,3711,3720,3709,3822,4016,4151,4213,4284,4428,4597,4829,5088,5290,5364,5283,5498
"37","30","      Glassware, tableware, and household utensils (34)","DUTERC0",1780,1780,1800,1906,1951,2182,2434,2808,3022,3337,3505,3561,3735,4083,4715,5213,5732,6511,7321,8558,9537,10550,11815,12809,13351,14084,14397,15142,15123,16271,17502,18360,18537,20050,21145,22766,23743,24772,25682,28326,31909,35274,37115,39973,41415,43376,45361,47759,48945,47970,46572,49031
"38","31","        Dishes and flatware","DCHNRC0",718,719,728,772,792,886,987,1138,1224,1387,1524,1617,1768,1975,2286,2540,2807,3203,3611,4118,4388,4629,4929,5195,5587,6228,6705,7414,7610,8248,8993,9560,9781,10653,11092,11642,11821,11986,12229,13791,15849,17816,19117,20979,21666,22605,23546,24688,25201,24663,23870,24861
"39","32","        Nonelectric cookware and tableware","DNECRC0",1062,1061,1071,1134,1159,1296,1446,1670,1798,1950,1982,1944,1967,2108,2429,2673,2926,3308,3710,4440,5150,5922,6886,7614,7764,7857,7692,7728,7513,8023,8509,8800,8755,9397,10053,11124,11922,12785,13453,14535,16060,17458,17998,18995,19749,20771,21816,23071,23745,23307,22702,24170
"40","33","      Tools and equipment for house and garden (35)","DTOORC0",654,691,725,804,855,942,1064,1226,1311,1442,1530,1569,1674,1845,2168,2461,2772,3188,3692,4209,4856,5255,5706,5998,6466,7039,7270,7678,8123,8714,9238,9693,9867,10677,11492,12541,13046,13643,14486,15422,16378,17077,17603,18077,19113,20775,22310,23420,23196,22599,20795,21131
"41","34","        Tools, hardware, and supplies","DHDWRC0",587,628,661,732,774,853,967,1109,1185,1284,1348,1378,1446,1595,1874,2089,2372,2744,3206,3669,4257,4626,5038,5318,5733,6218,6392,6713,7046,7519,7937,8306,8395,8994,9690,10536,10902,11290,11918,12711,13586,14261,14773,15277,16154,17622,18964,19919,19629,18972,17366,17197
"42","35","        Outdoor equipment and supplies","DLWNRC0",67,63,65,72,81,89,98,117,127,158,182,191,228,250,294,372,400,444,486,540,599,629,668,679,734,821,879,965,1077,1195,1301,1387,1472,1684,1802,2005,2144,2353,2567,2711,2792,2816,2831,2801,2959,3154,3346,3500,3567,3627,3429,3933
"43","36","    Recreational goods and vehicles","DREQRC0",6369,6365,6581,6943,7565,8772,10086,12278,13578,15333,16732,17924,19197,22591,25346,26585,30363,34172,37730,41702,45835,46490,49879,51287,58655,67844,74074,83016,91802,99877,103905,105558,107716,110995,123473,140340,153723,164929,174632,192072,212709,234066,239766,251507,262565,284309,303352,323424,336404,331597,317531,335476
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC0",3272,3237,3359,3541,3916,4556,5372,6547,7331,7941,8323,8806,9233,10637,12089,12951,14346,15858,17016,18602,20717,21930,23487,24477,30202,34235,38464,44778,49502,54248,55764,56095,58085,59695,66711,76705,84728,91118,96173,106971,118993,130886,133442,140803,144149,156265,167743,179192,186031,185764,175733,183963
"45","38","        Video and audio equipment","DVAARC0",2835,2813,2955,3124,3410,3975,4715,5818,6531,7069,7435,7955,8313,9381,10531,11307,12621,13903,14841,16241,18226,19254,20603,20575,24485,28050,32322,36096,39543,42319,43772,43695,42994,44574,48138,53475,56844,58494,58756,66091,74757,83074,87661,92672,93746,100866,107766,114648,115999,115585,107144,108572
"46","39","          Televisions","DTVSRC0",1577,1555,1622,1702,1842,2204,2682,3394,3901,4042,4040,4102,4060,4360,4702,4844,5180,5453,5391,5729,6465,6798,7274,7245,8540,9582,10777,11635,12279,12525,12530,11808,10894,10797,11313,12106,12464,12211,11683,12653,14139,15766,16669,17865,19227,21200,23543,26925,27574,28249,25656,25493
"47","40","          Other video equipment","DOVARC0",453,447,467,490,533,604,696,834,909,1036,1133,1258,1359,1597,1850,2048,2351,2664,2943,3225,3560,3726,3946,3913,4607,5239,6029,6784,7549,8093,8324,8194,7859,8156,8836,9947,10554,10749,10682,12156,14025,15936,16868,18061,18399,19358,19599,19722,19659,20562,19718,20514
"48","41","          Audio equipment","DAUDRC0",626,616,644,677,735,834,961,1150,1254,1429,1564,1736,1875,2204,2553,2825,3245,3675,3936,4191,4470,4500,4556,4292,4960,5647,6478,7247,7905,8741,9203,9351,9184,9847,10767,12338,13242,13750,13846,14821,16277,17751,17944,18573,18972,20929,24324,26426,26827,25406,23199,23502
"49","42","          Recording media","DRECRC0",179,195,222,255,300,333,376,440,467,562,698,859,1019,1220,1426,1590,1845,2111,2572,3096,3731,4230,4827,5125,6379,7582,9038,10429,11810,12961,13715,14341,15057,15774,17222,19084,20584,21785,22545,26461,30315,33621,36179,38174,37148,39379,40301,41575,41939,41367,38571,39062
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRC0",179,195,222,255,300,333,376,440,467,562,698,859,1019,1220,1426,1590,1845,2111,2379,2695,3044,3236,3447,3406,3979,4447,4989,5460,5898,6946,7785,8748,9879,10807,11903,13327,14546,15631,16353,17493,18513,19123,19288,19007,18669,19425,19934,20314,20595,20504,19723,20229
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,401,687,994,1380,1719,2400,3135,4049,4969,5911,6015,5930,5594,5178,4968,5319,5757,6038,6153,6192,8968,11802,14499,16890,19167,18479,19954,20367,21261,21344,20863,18849,18833
"52","45","        Photographic equipment","DCAMRC0",333,313,282,284,361,417,477,521,578,615,586,508,534,821,1095,1159,1219,1431,1592,1762,1897,2035,2100,2198,2437,2722,2813,2997,3236,3154,3051,2826,2582,2383,2534,2696,2856,3018,3192,3330,3551,3726,3638,3641,3777,3886,4034,4192,4426,4420,3935,4025
"53","46","        Information processing equipment","DIPERC0",104,111,122,134,145,164,180,208,222,257,302,343,385,434,463,485,506,524,582,599,594,641,784,1704,3280,3463,3330,5685,6723,8774,8941,9574,12510,12738,16039,20534,25028,29606,34225,37550,40686,44086,42143,44490,46626,51513,55943,60353,65606,65759,64655,71366
"54","47","          Personal computers and peripheral equipment","DCPPRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,40,80,160,320,1090,2349,2457,2322,4205,5007,6546,6557,6946,9095,9112,11681,15220,18801,22381,25962,28030,29794,31652,29936,31213,32932,36458,39597,42550,46260,46969,47026,52554
"55","48","          Computer software and accessories","DCPSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,20,40,80,274,553,578,548,991,1176,1651,1768,1998,2785,2964,3666,4595,5501,6494,7507,8537,9676,11002,10773,11762,12180,13470,14694,16093,17599,17099,16017,17124
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRC0",104,111,122,134,145,164,180,208,222,257,302,343,385,434,463,485,506,524,557,549,494,441,384,340,378,428,460,489,540,578,616,631,630,662,693,719,726,732,755,983,1217,1433,1434,1515,1514,1585,1652,1709,1747,1691,1612,1688
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC0",1219,1284,1376,1392,1391,1525,1723,2169,2413,2715,2868,2876,2961,3604,3830,4282,5068,6173,6788,7577,8120,8893,9460,9509,9967,11439,12156,13147,15381,17149,18778,19943,20452,21743,23603,25924,27167,28529,29522,32081,35276,39092,41266,43075,45445,48833,52228,56830,60224,61041,60681,65534
"58","51","      Sports and recreational vehicles (79)","DWHLRC0",842,766,697,783,907,1150,1371,1721,1945,2631,3258,3472,4178,5479,6409,6199,7451,8578,9983,10845,11706,9826,10424,10346,10748,13759,14622,15714,16434,17024,17310,16617,15963,15864,17979,20379,22491,24076,26034,28655,31824,34917,35377,36547,40639,45012,47741,49660,50351,44836,41712,43878
"59","52","        Motorcycles","DMCYRC0",75,65,64,77,89,133,178,242,280,404,516,684,848,1024,1408,1743,2122,1774,1768,2119,2936,2755,3047,2892,2550,2902,3029,2766,1940,2107,2049,1927,2141,2368,2932,3467,3850,4323,4646,5540,6329,7811,9179,9542,11491,13365,14228,14980,15331,14795,12549,12752
"60","53","        Bicycles and accessories","DBCYRC0",196,172,167,201,233,276,303,349,348,463,556,701,833,969,1224,1269,839,853,1041,1166,1252,1375,1466,1478,1562,1809,1938,2114,2491,2615,2684,2660,2531,2484,2652,2860,2941,3029,3073,3046,3059,3064,3030,2957,3063,3223,3414,3716,3927,4040,4047,4269
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRC0",571,529,466,505,585,741,890,1130,1317,1764,2185,2088,2497,3486,3777,3187,4490,5951,7174,7560,7518,5696,5911,5976,6636,9048,9655,10834,12003,12301,12577,12030,11290,11012,12395,14051,15700,16725,18315,20070,22436,24041,23167,24048,26085,28424,30099,30964,31094,26001,25117,26857
"62","55","          Pleasure boats","DBOARC0",426,392,326,353,409,507,564,721,870,987,1172,1009,1092,1632,1793,1578,1995,2444,2938,3089,3640,2703,2719,2718,2866,4058,4082,4828,5786,5866,5762,5185,4428,3790,4321,4870,6276,7096,8146,8654,9769,10820,10687,10909,11617,12684,13627,14794,14656,13462,13459,13798
"63","56","          Pleasure aircraft","DAIRRC0",63,55,50,53,52,49,46,54,54,88,102,109,118,127,203,248,337,422,512,510,575,405,384,353,363,501,488,561,653,741,826,840,811,768,791,790,902,901,924,1004,1026,1106,1009,958,994,1120,1219,1293,1419,1269,1321,1571
"64","57","          Other recreational vehicles","DREVRC0",82,82,90,99,124,185,280,355,393,689,912,970,1287,1727,1781,1361,2158,3086,3725,3961,3303,2588,2808,2905,3408,4489,5085,5446,5564,5694,5989,6005,6051,6454,7282,8391,8522,8728,9244,10411,11641,12115,11471,12181,13474,14620,15253,14877,15020,11270,10336,11488
"65","58","      Recreational books (part of 90)","DRBKRC0",816,853,907,963,1056,1207,1235,1380,1387,1507,1726,2185,2225,2201,2275,2365,2630,2619,2974,3638,4173,4704,5346,5850,6496,7061,7348,7771,8757,9565,10112,10853,11041,11507,12795,14632,16410,18116,19691,20884,22690,24423,24749,25902,27151,28599,29845,31435,33290,33699,33818,36005
"66","59","      Musical instruments (part of 80)","DMSCRC0",220,225,242,264,295,334,385,461,502,539,557,585,600,670,743,788,868,944,969,1040,1119,1137,1162,1105,1242,1350,1484,1606,1728,1891,1941,2050,2175,2186,2385,2700,2927,3090,3212,3481,3926,4748,4932,5180,5181,5600,5795,6307,6508,6257,5587,6096
"67","60","    Other durable goods","DODGRC0",4212,4255,4331,4712,4907,5466,5999,6897,7123,7991,8714,9374,10073,10966,12862,14535,16547,19108,21082,23470,25076,27627,29583,29920,33659,38288,41605,47450,52502,57808,61265,65462,64935,68001,71977,76478,79564,84347,87324,94150,102733,110380,108352,113380,117369,123390,128601,135959,142830,142604,141145,150440
"68","61","      Jewelry and watches (part of 119)","DJRYRC0",1951,1933,1903,2044,2159,2424,2699,3200,3463,3827,4016,4096,4412,4784,6012,6996,8098,9844,10985,12316,13032,14978,16041,15635,17395,19759,21056,24333,26237,28288,29175,30279,30192,31645,33854,36014,37842,39892,39908,42557,46539,49088,47577,49111,50862,54112,56194,59649,61959,60448,58831,63357
"69","62","        Jewelry","DJLYRC0",1561,1546,1522,1635,1727,1939,2159,2560,2770,3093,3304,3430,3760,4114,5146,5937,6812,8209,9118,10272,10966,12712,13731,13446,15007,17143,18371,21351,23088,24894,25674,26646,26569,27848,29863,31924,33712,35713,35814,37994,41328,43471,42103,43249,44791,47622,49571,52640,54763,53590,52283,56352
"70","63","        Watches","DWTCRC0",390,387,381,409,432,485,540,640,693,734,712,666,652,670,866,1059,1286,1635,1867,2044,2066,2266,2310,2189,2388,2616,2685,2982,3148,3395,3501,3634,3623,3797,3991,4090,4131,4179,4094,4563,5211,5617,5475,5862,6071,6490,6623,7009,7196,6858,6548,7006
"71","64","      Therapeutic appliances and equipment (42)","DTAERC0",838,860,888,1057,1047,1157,1263,1409,1270,1466,1666,1904,1939,2167,2410,2702,3037,3257,3514,3949,4527,5072,5661,6243,7136,8359,9618,11011,12601,14768,15869,18405,17513,18097,18882,20375,21013,23005,25261,27814,29704,32169,31833,34043,34996,36427,38236,40211,43264,44262,43924,47038
"72","65","        Therapeutic medical equipment","DTMERC0",360,387,404,466,415,468,509,569,493,567,640,739,755,819,910,1069,1198,1269,1377,1607,1930,2268,2644,3014,3391,3887,4364,4887,5469,6048,6287,6921,6395,6393,6533,6859,6947,7417,8016,9447,10815,12260,13030,13781,14376,15374,16208,17497,18725,19341,19477,20689
"73","66","        Corrective eyeglasses and contact lenses","DEYERC0",478,473,485,592,631,688,754,839,777,899,1025,1165,1184,1348,1501,1633,1838,1989,2137,2342,2597,2805,3017,3230,3745,4471,5254,6124,7132,8719,9581,11485,11118,11704,12349,13516,14066,15588,17245,18367,18889,19909,18803,20262,20620,21052,22028,22714,24539,24921,24447,26349
"74","67","      Educational books (96)","DEBKRC0",275,288,306,325,357,407,417,466,468,509,583,737,751,743,778,827,940,957,1100,1346,1546,1746,1986,2175,2508,2913,3235,3646,4246,4645,4923,5298,5404,5641,6054,6484,6802,7007,7335,7855,8564,9043,9230,9702,10148,10367,10235,10222,10489,10286,10125,9973
"75","68","      Luggage and similar personal items (part of 119)","DLUGRC0",1139,1164,1224,1275,1332,1465,1605,1806,1905,2170,2429,2616,2949,3248,3634,3979,4438,5011,5439,5707,5593,5178,4916,4668,5396,6013,6476,7204,8112,8671,9673,9698,9952,10569,10885,10929,10896,11054,11084,11747,13120,14565,13873,14281,14898,15402,16393,17665,18401,18624,18560,19621
"76","69","      Telephone and facsimile equipment (67)","DTCERC0",9,10,10,11,12,13,15,16,17,19,20,21,22,24,28,31,34,39,44,152,378,653,979,1199,1224,1244,1220,1256,1306,1436,1625,1782,1874,2049,2302,2676,3011,3389,3736,4177,4806,5515,5839,6243,6465,7082,7543,8212,8717,8984,9705,10451
"77","70","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1330015,1432638,1543354,1587659,1617855,1712604,1830667,1968426,2088697,2198244,2296045,2204227,2338022
