"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","    Motor vehicles and parts","DMOTRA3",6.807,4.736,3.695,2.363,2.816,3.504,4.854,5.994,6.091,3.94,5.368,6.764,7.689,1.232,1.265,1.17,1.449,4.882,7.078,7.998,10.252,13.256,11.185,10.071,12.522,11.942,16.351,13.917,14.567,12.061,14.373,15.265,13.738,16.312,18.349,19.369,22.437,22.805,22.253,25.736,26.677,23.883,28.517,32.48,35.603,29.717,29.559,35.559,39.325,41.097,38.645,33.687,34.448,35.363,42.16,49.072,55.414,59.461,57.061,60.367,60.246,59.286,52.218,56.508,59.654,63.382,62.398,65.424,69.849,77.153,84.254,86.935,91.378,96.189,98.934,100.408,100,96.823,98.225,84.82,77.435
"12","5","    Furnishings and durable household equipment","DFDHRA3",5.809,4.805,4.683,3.868,3.629,3.941,4.469,5.517,5.708,5.161,5.778,6.332,7.343,6.087,4.814,4.264,4.625,7.821,9.092,9.621,9.409,10.845,10.312,10.27,10.582,10.582,11.925,12.506,12.268,12.115,12.903,12.713,12.791,13.508,14.394,16.026,17.075,18.56,18.982,20.123,20.546,20.519,21.437,23.663,26.179,26.075,24.715,26.232,28.615,30.12,31.355,30.15,29.572,28.26,30.677,33.753,35.562,38.477,40.106,41.57,43.69,43.093,42.085,43.519,45.755,48.196,50.412,52.596,55.06,59.601,66.511,72.925,76.633,82.219,87.394,94.474,100,105.326,107.476,104.398,98.282
"13","6","    Recreational goods and vehicles","DREQRA3",0.252,0.266,0.219,0.161,0.142,0.16,0.18,0.228,0.26,0.24,0.28,0.311,0.368,0.331,0.274,0.259,0.296,0.596,0.604,0.596,0.6,0.768,0.751,0.818,0.901,0.969,1.093,1.152,1.125,1.12,1.248,1.239,1.288,1.374,1.5,1.76,2.052,2.526,2.777,3.076,3.281,3.51,3.63,4.211,4.653,4.673,5.006,5.447,5.812,6.201,6.525,6.27,6.439,6.471,7.49,8.788,9.767,11.304,12.661,13.863,14.461,14.811,15.308,16.274,18.778,21.797,24.923,28.78,33.256,39.949,48.473,56.916,62.571,70.173,78.114,88.819,100,113.145,126.07,132.849,135.724
"14","7","    Other durable goods","DODGRA3",4.335,3.999,3.148,2.596,2.128,2.445,2.779,3.037,3.516,3.534,3.774,4.016,4.618,4.979,5.98,5.864,6.436,7.607,7.161,7.305,7.132,7.466,7.71,8.279,8.509,8.838,9.422,9.86,9.942,10.05,10.372,10.447,10.658,11.643,12.06,13.101,14.448,16.618,16.765,18.402,19.12,20.049,20.966,22.11,25.114,26.353,27.881,30.701,32.449,34.225,33.78,30.897,31.359,31.414,34.236,38.129,40.985,45.664,47.306,48.894,49.515,49.771,47.608,48.572,51.02,53.358,54.604,58.232,61.147,67.153,75.167,81.846,80.088,85.383,89.825,94.638,100,103.712,104.591,99.569,96.575
"15","8","  Nondurable goods","DNDGRA3",14.105,13.368,13.222,12.053,12.007,12.988,13.741,15.312,15.688,15.912,16.635,17.347,18.396,18.448,18.565,18.955,20.131,21.947,21.816,21.978,22.3,23.041,23.393,24.272,25.024,25.419,26.739,27.678,28.232,28.608,29.895,30.391,31.005,31.96,32.648,34.181,35.903,37.898,38.712,40.35,41.466,42.388,43.183,44.931,46.221,45.096,45.483,47.646,48.731,50.491,51.793,51.706,52.354,52.898,54.62,56.881,58.598,60.685,61.727,63.351,65.062,65.821,65.628,66.903,68.604,71.279,73.044,75.155,77.366,80.285,84.375,87.111,88.681,90.44,93.763,96.756,100,102.805,105.405,104.513,103.482
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,105.363,105.371,104.867
"17","10","    Clothing and footwear","DCLORA3",10.398,9.354,9.239,8.216,7.395,7.811,8.442,9.178,9.081,9.207,9.943,10.264,11.036,11.507,12.526,12.123,12.527,12.775,12.188,12.308,12.382,12.694,12.63,13.289,13.407,13.42,14.073,14.442,14.34,14.485,15.232,15.37,15.654,16.363,16.663,17.931,18.676,19.928,20.067,20.872,21.274,21.029,21.914,23.474,25.163,24.682,25.305,26.47,27.889,30.827,32.623,33.634,35.776,36.371,38.861,42.078,43.954,47.248,49.001,50.441,53.112,52.745,52.782,55.585,57.953,61.2,63.714,66.804,69.001,73.207,78.014,81.789,82.563,85.091,89.82,94.21,100,105.05,109.63,109.341,104.606
"18","11","    Gasoline and other energy goods","DGOERA3",16.491,16.397,16.022,15.015,15.366,16.158,16.976,18.35,19.088,18.871,20.237,21.583,23.338,20.074,16.386,16.493,19.279,27.169,28.785,29.897,29.968,31.489,33.163,34.574,35.457,36.448,39.348,41.03,42.047,43.931,45.001,45.718,45.416,46.89,48.513,51.099,53.533,56.455,57.903,60.348,62.97,65.375,67.657,71.087,75.172,69.053,70.659,74.442,75.778,77,74.777,68.166,67.282,67.392,68.875,70.737,72.106,75.773,77.221,79.419,80.689,79.241,78.598,81.737,83.786,85.127,86.714,88.086,89.863,93.093,95.943,94.194,94.874,96.444,99.124,100.559,100,97.885,98.643,94.298,96.03
"19","12","    Other nondurable goods","DONGRA3",6.798,6.23,6.128,5.434,5.362,5.868,6.152,6.792,7.153,7.234,7.833,8.168,9.039,9.633,10.445,10.942,11.933,11.866,11.894,12.321,13.111,14.007,14.657,15.323,15.959,15.907,16.679,17.438,18.083,18.451,19.564,20.489,21.554,23.072,24.123,25.193,26.715,28.84,29.689,30.889,31.739,32.796,32.935,34.531,36.869,36.741,35.547,37.044,37.625,40.288,42.622,43.369,44.349,44.191,45.314,47.785,49.069,50.177,52.032,53.225,55.007,56.406,56.096,57.229,59.309,62.309,64.855,67.732,71.457,75.305,79.975,84.071,86.802,89.666,93.711,97.012,100,103.714,106.788,106.686,105.42
"20","13","Services","DSERRA3",7.52,7.363,7.175,6.742,6.491,6.809,7.047,7.48,7.831,7.769,8.071,8.382,8.88,9.369,10.118,10.683,11.256,11.768,11.817,12.131,12.423,12.969,13.735,14.352,14.957,15.48,16.258,17.039,17.627,18.2,19.102,19.85,20.581,21.554,22.47,23.807,25.122,26.367,27.451,28.915,30.204,31.385,32.469,34.346,35.974,36.664,38.04,39.672,41.312,43.234,44.555,45.241,46.053,46.95,49.407,51.341,53.996,55.602,57.818,60.272,62.098,63.942,64.899,67.212,69.363,71.433,73.249,75.394,77.719,81.145,84.469,88.654,90.837,92.568,94.314,97.084,100,102.692,105.147,105.883,105.966
"21","14","  Household consumption expenditures (for services)","DHCERA3",7.786,7.602,7.393,6.952,6.709,7.07,7.331,7.795,8.183,8.101,8.424,8.741,9.276,9.791,10.569,11.151,11.769,12.309,12.397,12.732,13.047,13.635,14.474,15.093,15.736,16.281,17.115,17.922,18.55,19.14,20.051,20.784,21.558,22.591,23.556,24.918,26.303,27.616,28.74,30.257,31.638,32.858,33.97,35.931,37.683,38.456,39.944,41.64,43.397,45.405,46.787,47.457,48.21,48.929,51.333,53.153,55.854,57.332,59.552,61.875,63.526,65.06,65.771,67.766,69.828,71.786,73.559,75.633,78.236,81.552,84.802,88.914,90.921,92.376,93.997,96.896,100,102.412,104.793,105.181,105.425
"22","15","    Housing and utilities","DHUTRA3",6.221,6.204,6.168,6.063,5.946,6.265,6.342,6.48,6.617,6.734,6.923,7.17,7.561,7.959,8.25,8.583,8.808,9.604,10.426,11.121,11.89,12.815,13.823,14.764,15.614,16.479,17.386,18.353,19.308,20.287,21.45,22.596,23.706,25.078,26.25,27.523,28.98,30.304,31.669,33.257,35.085,36.432,38.001,40.033,41.905,43.886,45.291,46.573,47.87,50.148,51.929,53.611,54.498,54.861,56.08,58.067,60.266,61.552,63.423,65.557,67.238,68.444,69.974,71.374,73.265,75.977,78.016,79.71,81.524,84.011,86.665,89.312,91.702,92.366,93.515,95.573,100,102.14,103.093,104.069,104.668
"23","16","    Health care","DHLCRA3",5.816,5.687,5.58,5.274,4.888,5.023,5.048,5.377,5.509,5.395,5.678,5.831,6.019,6.294,6.283,6.701,6.843,8.023,8.39,9.144,9.347,9.791,10.074,10.622,11.145,11.967,12.33,13.08,13.811,14.893,16.02,16.224,16.945,18.471,19.693,21.923,22.923,24.172,25.3,27.263,29.284,30.856,33.076,35.341,37.883,39.185,41.203,43.007,45.092,47.159,48.747,50.149,52.567,52.694,54.268,55.147,56.831,58.605,61.042,63.442,64.167,66.327,67.598,69.639,69.992,70.54,72.001,73.49,75.771,78.233,79.455,82.186,86.283,91.365,93.424,96.405,100,101.828,104.524,107.635,109.95
"24","17","    Transportation services","DTRSRA3",9.376,8.269,7.305,6.393,6.406,6.796,6.956,7.786,8.203,7.819,8.426,8.995,10.03,11.05,13.711,14.898,16.014,18.891,18.482,18.409,17.522,17.008,17.609,17.82,18.274,17.699,18.276,18.782,19.122,18.844,19.585,20.222,20.469,21.234,22.159,23.372,24.561,25.979,27.36,29.107,31.055,32.142,33.502,35.426,36.015,36.216,36.704,38.538,41.26,42.256,43.532,40.952,39.427,38.57,41.476,46.339,51.195,53.422,55.613,58.825,60.148,60.085,57.231,60.126,63.53,69.552,74.795,80.925,87.03,90.652,95.659,100.113,99.191,96.482,96.794,99.065,100,99.68,100.853,95.765,92.248
"25","18","    Recreation services","DRCARA3",6.322,6.222,6.054,4.924,4.719,5.18,5.508,6.095,6.512,6.168,6.36,6.86,7.266,7.901,8.52,8.398,8.902,10.283,9.741,9.45,9.241,9.258,9.364,9.521,9.631,9.827,10.279,10.779,10.422,10.338,11.076,11.688,12.188,12.779,13.299,13.84,14.357,15.224,15.738,16.728,17.722,18.352,18.979,19.988,21.689,23.157,24.351,26.03,27.676,29.019,30.432,31.461,34.13,35.785,38.841,41.422,44.417,46.472,48.583,53.197,56.516,58.966,58.544,62.416,66.352,69.744,75.05,78.442,80.933,83.629,87.709,90.342,90.24,90.806,93.478,98.141,100,103.264,107.094,107.045,105.655
"26","19","    Food services and accommodations","DFSARA3",9.04,9.214,9.64,9.429,8.503,9.662,10.382,11.801,13.387,13.499,14.695,15.549,17.284,19.023,22.539,25.736,28.952,26.089,22.965,22.212,22.447,22.666,24.76,25.944,26.903,26.824,27.497,28.303,28.63,28.204,28.793,29.095,29.189,30.238,30.993,32.578,34.906,36.642,36.265,38.517,39.353,40.717,40.673,43.779,45.963,45.541,47.435,50.297,51.641,53.83,55.499,55.524,56.078,56.448,58.304,59.918,60.716,62.471,65.718,69.627,71.551,74.098,74.145,76.033,77.772,79.006,79.198,79.721,81.484,83.607,85.67,89.575,89.45,90.847,93.957,96.848,100,103.102,104.253,103.825,100.833
"27","20","    Financial services and insurance","DIFSRA3",7.213,6.591,6.157,5.894,6.322,5.802,6.3,6.544,6.649,6.439,6.614,6.636,6.774,6.558,6.946,6.981,7.209,7.725,8.33,8.737,8.972,10.032,11.208,11.235,11.678,12.487,13.501,14.191,14.601,15.053,15.358,15.972,16.835,16.809,17.4,18.626,19.856,20.54,21.561,22.672,22.993,23.842,24.714,26.151,27.654,28.321,31.029,32.72,34.759,36.524,37.643,38.12,37.813,40.771,46.634,47.072,52.061,53.708,53.952,53.877,55.931,57.218,61.03,62.744,67.875,68.344,68.679,71.253,73.704,78.392,84.985,93.371,92.719,92.382,92.307,97.075,100,103.202,108.372,106.615,106.162
"28","21","    Other services","DOTSRA3",13.107,12.768,11.946,10.481,9.687,10.381,10.941,11.814,12.586,12.112,12.356,12.65,13.226,13.675,14.121,14.202,14.604,15.115,15.64,16.014,16.188,16.768,17.091,17.454,17.997,18.424,19.755,20.606,21.34,22.046,23.008,23.734,24.504,25.474,26.404,27.584,29.158,30.873,32.69,33.59,34.58,35.693,35.839,37.398,38.456,37.221,37.526,38.957,40.869,43.032,43.413,43.17,42.955,43.849,46.708,49.051,52.454,53.034,56.761,59.068,60.919,61.983,59.749,62.071,63.377,65.789,67.076,69.338,73.446,79.537,84.024,90.091,93.733,94.298,96.685,98.958,100,103.416,106.326,105.64,106.611
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.712,2.84,2.904,2.68,2.447,2.304,2.272,2.306,2.233,2.349,2.377,2.536,2.554,2.666,2.913,3.14,3.159,3.261,3.01,3.051,3.072,3.105,3.062,3.404,3.508,3.66,3.738,4.018,4.1,4.32,4.779,5.325,5.46,5.623,5.818,6.462,6.754,7.021,7.389,7.897,8.021,8.454,8.911,9.454,9.545,9.369,9.419,9.946,10.107,10.648,11.011,11.536,12.457,14.438,16.607,19.178,20.697,23.461,25.214,28.998,33.139,39.906,45.4,54.418,58.683,63.546,66.469,70.503,65.658,71.902,77.072,83.075,89.411,97.652,102.462,101.98,100,109.96,114.383,124.554,120.076
"30","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.915,15.528,16.207,17.06,18.027,19.441,20.548,21.929,23.278,24.986,26.301,27.582,29.507,31.268,32.164,32.544,33.773,35.549,36.891,38.971,40.08,41.257,42.955,44.75,46.413,48.003,49.69,52.172,54.248,57.239,59.301,62.8,65.128,68.634,70.323,71.81,72.766,74.708,75.894,79.659,82.431,85.635,89.787,95.024,96.499,98.396,100,103.016,105.709,109.383,109.572
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.085,21.155,22.288,23.722,25.327,26.929,28.615,30.915,32.947,35.429,37.861,39.624,42.64,45.165,46.799,47.901,50.296,52.883,55.277,58.447,60,61.402,63.168,63.604,63.877,63.824,65.206,66.838,68.788,70.671,71.032,72.334,72.955,74.008,74.704,74.983,75.262,76.504,79.747,82.653,84.566,86.752,90.099,94.24,94.547,97.235,100,100.789,102.937,104.611,106.175
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Energy goods and services \4\","DNRGRA3",10.427,10.572,10.482,9.992,10.015,10.494,11.018,11.83,12.351,12.377,13.199,14.114,15.111,13.818,12.162,12.459,14.107,18.603,20.052,21.22,21.774,23.373,25.028,26.459,27.604,28.999,31.425,33.275,34.555,36.47,37.925,39.02,39.537,41.341,42.982,45.284,47.443,50.041,51.862,54.255,56.859,59.127,61.01,64.153,67.142,63.881,66.083,69.175,71.207,73.125,72.015,68.559,67.562,67.936,69.598,70.838,72.44,73.985,75.955,78.926,80.372,78.942,79.685,81.177,84.121,85.332,86.485,88.531,89.086,91.716,93.622,94.024,93.724,95.679,98.082,99.305,100,97.48,98.731,95.235,95.668
"34","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRA3",6.961,6.493,6.23,5.619,5.382,5.739,6.113,6.68,6.945,6.733,7.2,7.582,8.212,8.017,8.501,8.704,9.224,10.263,10.482,10.801,11.185,12.046,12.215,12.589,13.232,13.452,14.532,14.9,15.253,15.336,16.298,16.831,17.218,18.261,19.158,20.421,21.801,23.127,23.842,25.309,26.286,26.842,28.022,29.996,31.885,31.809,32.525,34.405,36.07,38.037,39.155,39.118,39.977,40.537,43.207,45.867,48.531,50.71,52.538,54.751,56.443,57.745,57.82,60.112,62.427,64.973,66.934,69.488,72.378,76.551,80.985,85.504,88.078,90.64,93.252,96.654,100,103.224,106.104,106.069,105.337
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
