"","Table 2#3#1# Percent Change From Preceding Period in Real Person","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","4","    Motor vehicles and parts","DMOTRL1",-30.4,-22,-36,19.2,24.4,38.5,23.5,1.6,-35.3,36.2,26,13.7,-84,2.7,-7.5,23.8,236.9,45,13,28.2,29.3,-15.6,-10,24.3,-4.6,36.9,-14.9,4.7,-17.2,19.2,6.2,-10,18.7,12.5,5.6,15.8,1.6,-2.4,15.7,3.7,-10.5,19.4,13.9,9.6,-16.5,-0.5,20.3,10.6,4.5,-6,-12.8,2.3,2.7,19.2,16.4,12.9,7.3,-4,5.8,-0.2,-1.6,-11.9,8.2,5.6,6.2,-1.6,4.8,6.8,10.5,9.2,3.2,5.1,5.3,2.9,1.5,-0.4,-3.2,1.4,-13.6,-8.7
"12","5","    Furnishings and durable household equipment","DFDHRL1",-17.3,-2.5,-17.4,-6.2,8.6,13.4,23.5,3.5,-9.6,12,9.6,16,-17.1,-20.9,-11.4,8.5,69.1,16.3,5.8,-2.2,15.3,-4.9,-0.4,3,0,12.7,4.9,-1.9,-1.2,6.5,-1.5,0.6,5.6,6.6,11.3,6.5,8.7,2.3,6,2.1,-0.1,4.5,10.4,10.6,-0.4,-5.2,6.1,9.1,5.3,4.1,-3.8,-1.9,-4.4,8.6,10,5.4,8.2,4.2,3.7,5.1,-1.4,-2.3,3.4,5.1,5.3,4.6,4.3,4.7,8.2,11.6,9.6,5.1,7.3,6.3,8.1,5.8,5.3,2,-2.9,-5.9
"13","6","    Recreational goods and vehicles","DREQRL1",5.6,-17.7,-26.5,-11.8,12.7,12.5,26.7,14,-7.7,16.7,11.1,18.3,-10.1,-17.2,-5.5,14.3,101.4,1.3,-1.3,0.7,28,-2.2,8.9,10.1,7.5,12.8,5.4,-2.3,-0.4,11.4,-0.7,4,6.7,9.2,17.3,16.6,23.1,9.9,10.8,6.7,7,3.4,16,10.5,0.4,7.1,8.8,6.7,6.7,5.2,-3.9,2.7,0.5,15.7,17.3,11.1,15.7,12,9.5,4.3,2.4,3.4,6.3,15.4,16.1,14.3,15.5,15.6,20.1,21.3,17.4,9.9,12.1,11.3,13.7,12.6,13.1,11.4,5.4,2.2
"14","7","    Other durable goods","DODGRL1",-7.8,-21.3,-17.5,-18,14.9,13.7,9.3,15.8,0.5,6.8,6.4,15,7.8,20.1,-1.9,9.8,18.2,-5.9,2,-2.4,4.7,3.3,7.4,2.8,3.9,6.6,4.6,0.8,1.1,3.2,0.7,2,9.2,3.6,8.6,10.3,15,0.9,9.8,3.9,4.9,4.6,5.5,13.6,4.9,5.8,10.1,5.7,5.5,-1.3,-8.5,1.5,0.2,9,11.4,7.5,11.4,3.6,3.4,1.3,0.5,-4.3,2,5,4.6,2.3,6.6,5,9.8,11.9,8.9,-2.1,6.6,5.2,5.4,5.7,3.7,0.8,-4.8,-3
"15","8","  Nondurable goods","DNDGRL1",-5.2,-1.1,-8.8,-0.4,8.2,5.8,11.4,2.5,1.4,4.5,4.3,6,0.3,0.6,2.1,6.2,9,-0.6,0.7,1.5,3.3,1.5,3.8,3.1,1.6,5.2,3.5,2,1.3,4.5,1.7,2,3.1,2.2,4.7,5,5.6,2.1,4.2,2.8,2.2,1.9,4,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1,3.3,4.1,3,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.8,5.1,3.2,1.8,2,3.7,3.2,3.4,2.8,2.5,-0.8,-1
"16","9","    Food and beverages purchased for off-premises consumption","DFXARL1",-2.5,-0.6,-7.3,4.5,9.7,5.3,13.7,2.8,2.1,1.3,4.2,3.4,-0.5,-2.6,4.3,5.4,12,0,-0.8,0.5,2.1,0.5,2.7,3.8,2.7,4.8,3.3,2.4,0.4,4.1,0.7,1.4,0.7,0.8,3.4,5,3.9,2.3,4.4,2.8,2.8,1.2,2,-1.7,-2,1.8,4.9,1.5,-0.4,1.4,1,-0.3,1.9,2.5,2,3,2,-0.6,2.6,1.2,2.1,-0.1,-0.4,0.8,2.8,0.5,1,0.9,1.2,3.9,2.3,1.2,0.2,2.2,2.7,4,3.2,2.1,0,-0.5
"17","10","    Clothing and footwear","DCLORL1",-10,-1.2,-11.1,-10,5.6,8.1,8.7,-1.1,1.4,8,3.2,7.5,4.3,8.9,-3.2,3.3,2,-4.6,1,0.6,2.5,-0.5,5.2,0.9,0.1,4.9,2.6,-0.7,1,5.2,0.9,1.8,4.5,1.8,7.6,4.2,6.7,0.7,4,1.9,-1.2,4.2,7.1,7.2,-1.9,2.5,4.6,5.4,10.5,5.8,3.1,6.4,1.7,6.8,8.3,4.5,7.5,3.7,2.9,5.3,-0.7,0.1,5.3,4.3,5.6,4.1,4.8,3.3,6.1,6.6,4.8,0.9,3.1,5.6,4.9,6.1,5.1,4.4,-0.3,-4.3
"18","11","    Gasoline and other energy goods","DGOERL1",-0.6,-2.3,-6.3,2.3,5.2,5.1,8.1,4,-1.1,7.2,6.7,8.1,-14,-18.4,0.7,16.9,40.9,5.9,3.9,0.2,5.1,5.3,4.3,2.6,2.8,8,4.3,2.5,4.5,2.4,1.6,-0.7,3.2,3.5,5.3,4.8,5.5,2.6,4.2,4.3,3.8,3.5,5.1,5.7,-8.1,2.3,5.4,1.8,1.6,-2.9,-8.8,-1.3,0.2,2.2,2.7,1.9,5.1,1.9,2.8,1.6,-1.8,-0.8,4,2.5,1.6,1.9,1.6,2,3.6,3.1,-1.8,0.7,1.7,2.8,1.4,-0.6,-2.1,0.8,-4.4,1.8
"19","12","    Other nondurable goods","DONGRL1",-8.4,-1.6,-11.3,-1.3,9.4,4.8,10.4,5.3,1.1,8.3,4.3,10.7,6.6,8.4,4.8,9.1,-0.6,0.2,3.6,6.4,6.8,4.6,4.5,4.2,-0.3,4.9,4.6,3.7,2,6,4.7,5.2,7,4.6,4.4,6,8,2.9,4,2.8,3.3,0.4,4.8,6.8,-0.3,-3.2,4.2,1.6,7.1,5.8,1.8,2.3,-0.4,2.5,5.5,2.7,2.3,3.7,2.3,3.3,2.5,-0.5,2,3.6,5.1,4.1,4.4,5.5,5.4,6.2,5.1,3.2,3.3,4.5,3.5,3.1,3.7,3,-0.1,-1.2
"20","13","Services","DSERRL1",-2.1,-2.6,-6,-3.7,4.9,3.5,6.1,4.7,-0.8,3.9,3.9,5.9,5.5,8,5.6,5.4,4.5,0.4,2.7,2.4,4.4,5.9,4.5,4.2,3.5,5,4.8,3.5,3.3,5,3.9,3.7,4.7,4.2,6,5.5,5,4.1,5.3,4.5,3.9,3.5,5.8,4.7,1.9,3.8,4.3,4.1,4.7,3.1,1.5,1.8,1.9,5.2,3.9,5.2,3,4,4.2,3,3,1.5,3.6,3.2,3,2.5,2.9,3.1,4.4,4.1,5,2.5,1.9,1.9,2.9,3,2.7,2.4,0.7,0.1
"21","14","  Household consumption expenditures (for services)","DHCERL1",-2.4,-2.7,-6,-3.5,5.4,3.7,6.3,5,-1,4,3.8,6.1,5.6,7.9,5.5,5.5,4.6,0.7,2.7,2.5,4.5,6.2,4.3,4.3,3.5,5.1,4.7,3.5,3.2,4.8,3.7,3.7,4.8,4.3,5.8,5.6,5,4.1,5.3,4.6,3.9,3.4,5.8,4.9,2.1,3.9,4.2,4.2,4.6,3,1.4,1.6,1.5,4.9,3.5,5.1,2.6,3.9,3.9,2.7,2.4,1.1,3,3,2.8,2.5,2.8,3.4,4.2,4,4.8,2.3,1.6,1.8,3.1,3.2,2.4,2.3,0.4,0.2
"22","15","    Housing and utilities","DHUTRL1",-0.3,-0.6,-1.7,-1.9,5.4,1.2,2.2,2.1,1.8,2.8,3.6,5.5,5.3,3.7,4,2.6,9,8.6,6.7,6.9,7.8,7.9,6.8,5.8,5.5,5.5,5.6,5.2,5.1,5.7,5.3,4.9,5.8,4.7,4.8,5.3,4.6,4.5,5,5.5,3.8,4.3,5.3,4.7,4.7,3.2,2.8,2.8,4.8,3.6,3.2,1.7,0.7,2.2,3.5,3.8,2.1,3,3.4,2.6,1.8,2.2,2,2.6,3.7,2.7,2.2,2.3,3.1,3.2,3.1,2.7,0.7,1.2,2.2,4.6,2.1,0.9,0.9,0.6
"23","16","    Health care","DHLCRL1",-2.2,-1.9,-5.5,-7.3,2.8,0.5,6.5,2.5,-2.1,5.2,2.7,3.2,4.6,-0.2,6.7,2.1,17.2,4.6,9,2.2,4.8,2.9,5.4,4.9,7.4,3,6.1,5.6,7.8,7.6,1.3,4.4,9,6.6,11.3,4.6,5.4,4.7,7.8,7.4,5.4,7.2,6.8,7.2,3.4,5.1,4.4,4.8,4.6,3.4,2.9,4.8,0.2,3,1.6,3.1,3.1,4.2,3.9,1.1,3.4,1.9,3,0.5,0.8,2.1,2.1,3.1,3.2,1.6,3.4,5,5.9,2.3,3.2,3.7,1.8,2.6,3,2.2
"24","17","    Transportation services","DTRSRL1",-11.8,-11.7,-12.5,0.2,6.1,2.4,11.9,5.4,-4.7,7.8,6.8,11.5,10.2,24.1,8.7,7.5,18,-2.2,-0.4,-4.8,-2.9,3.5,1.2,2.5,-3.1,3.3,2.8,1.8,-1.5,3.9,3.3,1.2,3.7,4.4,5.5,5.1,5.8,5.3,6.4,6.7,3.5,4.2,5.7,1.7,0.6,1.3,5,7.1,2.4,3,-5.9,-3.7,-2.2,7.5,11.7,10.5,4.4,4.1,5.8,2.2,-0.1,-4.7,5.1,5.7,9.5,7.5,8.2,7.5,4.2,5.5,4.7,-0.9,-2.7,0.3,2.3,0.9,-0.3,1.2,-5,-3.7
"25","18","    Recreation services","DRCARL1",-1.6,-2.7,-18.7,-4.2,9.8,6.3,10.7,6.8,-5.3,3.1,7.9,5.9,8.7,7.8,-1.4,6,15.5,-5.3,-3,-2.2,0.2,1.1,1.7,1.2,2,4.6,4.9,-3.3,-0.8,7.1,5.5,4.3,4.8,4.1,4.1,3.7,6,3.4,6.3,5.9,3.6,3.4,5.3,8.5,6.8,5.2,6.9,6.3,4.9,4.9,3.4,8.5,4.8,8.5,6.6,7.2,4.6,4.5,9.5,6.2,4.3,-0.7,6.6,6.3,5.1,7.6,4.5,3.2,3.3,4.9,3,-0.1,0.6,2.9,5,1.9,3.3,3.7,0,-1.3
"26","19","    Food services and accommodations","DFSARL1",1.9,4.6,-2.2,-9.8,13.6,7.5,13.7,13.4,0.8,8.9,5.8,11.2,10.1,18.5,14.2,12.5,-9.9,-12,-3.3,1.1,1,9.2,4.8,3.7,-0.3,2.5,2.9,1.2,-1.5,2.1,1,0.3,3.6,2.5,5.1,7.1,5,-1,6.2,2.2,3.5,-0.1,7.6,5,-0.9,4.2,6,2.7,4.2,3.1,0,1,0.7,3.3,2.8,1.3,2.9,5.2,5.9,2.8,3.6,0.1,2.5,2.3,1.6,0.2,0.7,2.2,2.6,2.5,4.6,-0.1,1.6,3.4,3.1,3.3,3.1,1.1,-0.4,-2.9
"27","20","    Financial services and insurance","DIFSRL1",-8.6,-6.6,-4.3,7.3,-8.2,8.6,3.9,1.6,-3.2,2.7,0.3,2.1,-3.2,5.9,0.5,3.3,7.2,7.8,4.9,2.7,11.8,11.7,0.2,3.9,6.9,8.1,5.1,2.9,3.1,2,4,5.4,-0.2,3.5,7,6.6,3.4,5,5.2,1.4,3.7,3.7,5.8,5.7,2.4,9.6,5.4,6.2,5.1,3.1,1.3,-0.8,7.8,14.4,0.9,10.6,3.2,0.5,-0.1,3.8,2.3,6.7,2.8,8.2,0.7,0.5,3.7,3.4,6.4,8.4,9.9,-0.7,-0.4,-0.1,5.2,3,3.2,5,-1.6,-0.4
"28","21","    Other services","DOTSRL1",-2.6,-6.4,-12.3,-7.6,7.2,5.4,8,6.5,-3.8,2,2.4,4.6,3.4,3.3,0.6,2.8,3.5,3.5,2.4,1.1,3.6,1.9,2.1,3.1,2.4,7.2,4.3,3.6,3.3,4.4,3.2,3.2,4,3.7,4.5,5.7,5.9,5.9,2.8,2.9,3.2,0.4,4.4,2.8,-3.2,0.8,3.8,4.9,5.3,0.9,-0.6,-0.5,2.1,6.5,5,6.9,1.1,7,4.1,3.1,1.7,-3.6,3.9,2.1,3.8,2,3.4,5.9,8.3,5.6,7.2,4,0.6,2.5,2.4,1.1,3.4,2.8,-0.6,0.9
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",4.7,2.3,-7.7,-8.7,-5.8,-1.4,1.5,-3.2,5.2,1.2,6.7,0.7,4.4,9.3,7.8,0.6,3.2,-7.7,1.4,0.7,1.1,-1.4,11.2,3.1,4.3,2.1,7.5,2,5.4,10.6,11.4,2.5,3,3.5,11.1,4.5,4,5.2,6.9,1.6,5.4,5.4,6.1,1,-1.8,0.5,5.6,1.6,5.4,3.4,4.8,8,15.9,15,15.5,7.9,13.4,7.5,15,14.3,20.4,13.8,19.9,7.8,8.3,4.6,6.1,-6.9,9.5,7.2,7.8,7.6,9.2,4.9,-0.5,-1.9,10,4,8.9,-3.6
"30","23","    Gross output of nonprofit institutions \2\","DNPERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,4.4,5.3,5.7,7.8,5.7,6.7,6.2,7.3,5.3,4.9,7,6,2.9,1.2,3.8,5.3,3.8,5.6,2.8,2.9,4.1,4.2,3.7,3.4,3.5,5,4,5.5,3.6,5.9,3.7,5.4,2.5,2.1,1.3,2.7,1.6,5,3.5,3.9,4.8,5.8,1.6,2,1.6,3,2.6,3.5,0.2
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,5.4,6.4,6.8,6.3,6.3,8,6.6,7.5,6.9,4.7,7.6,5.9,3.6,2.4,5,5.1,4.5,5.7,2.7,2.3,2.9,0.7,0.4,-0.1,2.2,2.5,2.9,2.7,0.5,1.8,0.9,1.4,0.9,0.4,0.4,1.7,4.2,3.6,2.3,2.6,3.9,4.6,0.3,2.8,2.8,0.8,2.1,1.6,1.5
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Energy goods and services \4\","DNRGRL1",1.4,-0.9,-4.7,0.2,4.8,5,7.4,4.4,0.2,6.6,6.9,7.1,-8.6,-12,2.4,13.2,31.9,7.8,5.8,2.6,7.3,7.1,5.7,4.3,5.1,8.4,5.9,3.8,5.5,4,2.9,1.3,4.6,4,5.4,4.8,5.5,3.6,4.6,4.8,4,3.2,5.2,4.7,-4.9,3.4,4.7,2.9,2.7,-1.5,-4.8,-1.5,0.6,2.4,1.8,2.3,2.1,2.7,3.9,1.8,-1.8,0.9,1.9,3.6,1.4,1.4,2.4,0.6,3,2.1,0.4,-0.3,2.1,2.5,1.2,0.7,-2.5,1.3,-3.5,0.5
"34","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRL1",-6.7,-4.1,-9.8,-4.2,6.6,6.5,9.3,4,-3.1,6.9,5.3,8.3,-2.4,6,2.4,6,11.3,2.1,3,3.6,7.7,1.4,3.1,5.1,1.7,8,2.5,2.4,0.5,6.3,3.3,2.3,6.1,4.9,6.6,6.8,6.1,3.1,6.2,3.9,2.1,4.4,7,6.3,-0.2,2.3,5.8,4.8,5.5,2.9,-0.1,2.2,1.4,6.6,6.2,5.8,4.5,3.6,4.2,3.1,2.3,0.1,4,3.9,4.1,3,3.8,4.2,5.8,5.8,5.6,3,2.9,2.9,3.6,3.5,3.2,2.8,0,-0.7
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
