"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1",2.3,1.8,1.5,1.1,0.9,1.1,1.3,1.7,1.8,1.6,1.8,2,2.5,2.6,2.7,2.8,3.1,4.4,4.9,5.4,5.3,6.1,6.5,6.5,6.7,6.7,7.6,8.1,8.1,8.1,8.7,8.7,8.8,9.4,10.2,11.5,12.3,13.3,13.8,15.1,15.7,15.8,16.6,18.6,21.2,22.9,23.5,26,29.6,32.6,36.1,36.9,38.4,37.8,43.2,49.3,53.1,59.4,64.5,67.5,70.8,69.2,67.1,69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,134.2,144,152.8,160.1,161.2,153.5
"17","10","      Household appliances (part of 33)","DAPPRC1",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.6,41,43.4,45.3,46,45.2
"18","11","      Glassware, tableware, and household utensils (34)","DUTERC1",0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.3,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2,2.2,2.4,2.8,3,3.3,3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40,41.4,43.4,45.4,47.8,49.1,48.2
"19","12","      Tools and equipment for house and garden (35)","DTOORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6,6.5,7,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13,13.6,14.5,15.4,16.4,17.1,17.6,18.1,19.1,20.8,22.3,23.4,23.5,23.2
"20","13","    Recreational goods and vehicles","DREQRC1",1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1.2,1.2,1,1,1.2,2.5,3,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,192.1,212.7,234.1,239.8,251.5,262.6,284.3,303.4,323.4,337.7,339.9
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1",1,0.9,0.5,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.4,0.4,0.4,1.2,1.5,1.6,1.7,2.5,2.3,2.4,2.7,2.8,3,3.1,3,3,3.3,3.2,3.4,3.5,3.9,4.6,5.4,6.5,7.3,7.9,8.3,8.8,9.2,10.6,12.1,13,14.3,15.9,17,18.6,20.7,21.9,23.5,24.5,30.2,34.2,38.5,44.8,49.5,54.2,55.8,56.1,58.1,59.7,66.7,76.7,84.7,91.1,96.2,107,119,130.9,133.4,140.8,144.1,156.3,167.7,179.2,186.3,188.5
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.5,1.7,2.2,2.4,2.7,2.9,2.9,3,3.6,3.8,4.3,5.1,6.2,6.8,7.6,8.1,8.9,9.5,9.5,10,11.4,12.2,13.1,15.4,17.1,18.8,19.9,20.5,21.7,23.6,25.9,27.2,28.5,29.5,32.1,35.3,39.1,41.3,43.1,45.4,48.8,52.2,56.8,60.5,62.3
"23","16","      Sports and recreational vehicles (79)","DWHLRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.9,1.2,1.4,1.7,1.9,2.6,3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17,17.3,16.6,16,15.9,18,20.4,22.5,24.1,26,28.7,31.8,34.9,35.4,36.5,40.6,45,47.7,49.7,51.1,49
"24","17","      Recreational books (part of 90)","DRBKRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.4,1.4,1.5,1.7,2.2,2.2,2.2,2.3,2.4,2.6,2.6,3,3.6,4.2,4.7,5.3,5.9,6.5,7.1,7.3,7.8,8.8,9.6,10.1,10.9,11,11.5,12.8,14.6,16.4,18.1,19.7,20.9,22.7,24.4,24.7,25.9,27.2,28.6,29.8,31.4,33.2,33.9
"25","18","      Musical instruments (part of 80)","DMSCRC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.1,1.2,1.4,1.5,1.6,1.7,1.9,1.9,2.1,2.2,2.2,2.4,2.7,2.9,3.1,3.2,3.5,3.9,4.7,4.9,5.2,5.2,5.6,5.8,6.3,6.6,6.3
"26","19","    Other durable goods","DODGRC1",1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4,4,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6,6.9,7.1,8,8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,117.4,123.4,128.6,136,142.7,142.8
"27","20","      Jewelry and watches (part of 119)","DJRYRC1",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,1.9,1.9,2,2.2,2.4,2.7,3.2,3.5,3.8,4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,33.9,36,37.8,39.9,39.9,42.6,46.5,49.1,47.6,49.1,50.9,54.1,56.2,59.6,61.6,60
"28","21","      Therapeutic appliances and equipment (42)","DTAERC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1,1.2,1.3,1.4,1.3,1.5,1.7,1.9,1.9,2.2,2.4,2.7,3,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21,23,25.3,27.8,29.7,32.2,31.8,34,35,36.4,38.2,40.2,43.2,44.6
"29","22","      Educational books (96)","DEBKRC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7,7.3,7.9,8.6,9,9.2,9.7,10.1,10.4,10.2,10.2,10.4,10.3
"30","23","      Luggage and similar personal items (part of 119)","DLUGRC1",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.6,1.8,1.9,2.2,2.4,2.6,2.9,3.2,3.6,4,4.4,5,5.4,5.7,5.6,5.2,4.9,4.7,5.4,6,6.5,7.2,8.1,8.7,9.7,9.7,10,10.6,10.9,10.9,10.9,11.1,11.1,11.7,13.1,14.6,13.9,14.3,14.9,15.4,16.4,17.7,18.7,19
"31","24","      Telephone and facsimile equipment (67)","DTCERC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.3,2.7,3,3.4,3.7,4.2,4.8,5.5,5.8,6.2,6.5,7.1,7.5,8.2,8.7,9
"32","25","  Nondurable goods","DNDGRC1",33.9,30.5,25.8,20.2,20,23.9,26.1,29.2,31,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83,81.5,84.4,93,97.5,100.2,102.1,106.7,112,117.6,122,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1712.6,1830.7,1968.4,2088.7,2204.5,2308
"33","26","    Food and beverages purchased for off-premises consumption","DFXARC1",16.3,14.8,11.9,9,9.5,11.7,13.3,15.1,16,15.1,15.2,15.9,18.2,21.6,24.3,26,28.2,34.9,40.2,41.8,40.4,41.4,46,48.4,49.3,50.6,52,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,593.1,628.2,665,698,740.1,784.3
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1",14.7,13.4,10.7,8.1,8.4,9.2,10.1,11.4,12.1,11.6,11.6,12.2,13.9,16.4,18.1,19.2,20.9,26.8,31.7,34.1,33.3,34.4,38.7,40.8,41.8,43.3,44.8,46.8,49.8,52.4,54,54.9,56.1,56.7,57.7,61,65.7,71.3,73,78.2,83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,510.7,539.3,569.5,594.3,629.9,669.4
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",NA,NA,NA,NA,0.2,1.5,2,2.5,2.6,2.4,2.4,2.6,3,3.6,4,4.7,5.1,5.7,5.9,5.2,5,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6,6.4,6.5,6.6,7,7.3,7.6,7.9,8.5,8.9,9.9,11,12.3,13.8,14.9,16,17.7,19.2,20.5,22.1,23.8,26.8,30,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55,58.7,61.6,64,68.3,74,77.2,78.9,82.2,88.6,95.1,103.3,109.8,114.5
"36","29","      Food produced and consumed on farms (6)","DFFDRC1",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"37","30","    Clothing and footwear","DCLORC1",9,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,287,300,315.5,330.1,341.2,337.5
"38","31","      Garments","DGARRC1",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12,13.8,14.3,15.4,14.7,14.8,16.1,17,17.2,17.3,18,18.8,18.9,19,20.2,20.6,21.2,22.2,22.9,25,26.4,28.8,30.2,33.1,35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121,129.5,138.2,146.9,156.2,160,164,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230,227.2,228,235,246.4,259,270.5,280.5,276.5
"39","32","        Women's and girls' clothing (10)","DWGCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3,21.9,24,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119,126.5,132.7,132.1,133.3,137.4,144.5,151.9,158.9,165.2,162.2
"40","33","        Men's and boys' clothing (11)","DMBCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,7.6,7.8,8.1,8.2,9,9.6,10.6,11.4,12.4,13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48,51.7,55.6,57.4,59.4,63,66.1,70.1,72.2,75.8,80,82.2,84.6,85.9,83.2,82.4,85.1,89.1,93.6,97.4,100.6,99.5
"41","34","        Children's and infants' clothing (12)","DCICRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8,1,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3,3.4,3.9,4.6,5.1,5.5,6,6.3,6.7,7,7.6,8,8.1,8.1,8.2,8.4,8.8,9,9.1,9.4,10,10.8,11.4,11.9,12.3,12.4,12.9,13.5,14.1,14.6,14.8
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1",1.9,1.6,1.4,1.2,1,1.2,1.2,1.3,1.5,1.5,1.4,1.5,1.9,2.7,3.3,3.4,3.8,3.7,3.7,3.9,3.9,4.2,4.4,4.2,4.1,4.1,4.4,4.6,4.6,4.9,5.2,5.3,5.4,5.7,5.7,6,6.3,7,7.4,8.1,8.9,8.8,9.4,10.3,11.4,11.6,12,13,14.2,16.2,18.1,19.7,21.8,21.8,23.1,24.5,25.9,27.7,29.6,31.3,34.2,35.3,35.1,36.8,38.2,40.2,41.2,43.2,44.3,46.7,49.2,50.8,50.7,50.8,52.1,53.6,56.6,59.6,60.8,61
