"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","15","    Household consumption expenditures","DHCERG3",8.633,8.68,8.883,9.083,9.134,9.221,9.36,9.395,9.391,9.411,9.441,9.509,9.548,9.583,9.727,9.846,10.022,10.093,10.147,10.305,10.38,10.466,10.581,10.667,10.778,10.862,11.005,11.115,11.177,11.199,11.218,11.267,11.332,11.373,11.426,11.492,11.556,11.623,11.719,11.788,11.894,11.949,12.049,12.135,12.222,12.266,12.323,12.389,12.488,12.571,12.683,12.8,12.88,12.969,13.067,13.139,13.168,13.221,13.282,13.339,13.421,13.487,13.538,13.582,13.644,13.682,13.728,13.801,13.871,13.944,14.014,14.078,14.133,14.19,14.263,14.351,14.441,14.573,14.707,14.852,14.957,15.063,15.18,15.325,15.509,15.696,15.878,16.07,16.272,16.492,16.71,16.943,17.176,17.419,17.638,17.897,18.136,18.377,18.634,18.811,19.018,19.177,19.364,19.541,19.713,20.012,20.345,20.727,21.138,21.617,22.124,22.613,23.126,23.515,23.939,24.424,24.822,25.156,25.615,26.051,26.555,27.1,27.612,28.062,28.609,29.19,29.726,30.344,30.761,31.558,32.286,33.06,33.887,34.709,35.649,36.672,37.673,38.414,39.293,40.149,40.929,41.607,42.478,43.329,44.055,44.453,45.304,45.822,46.433,47.162,47.763,48.21,48.898,49.381,49.906,50.356,51.154,51.79,52.304,52.853,53.302,53.755,54.38,54.986,55.746,56.484,57.27,57.947,58.751,59.431,60.032,60.739,61.569,62.597,63.426,64.129,64.904,65.487,66.291,67.038,67.932,68.588,69.149,69.805,70.315,70.927,71.412,71.81,72.329,72.805,73.359,73.852,74.491,75.098,75.588,76.116,76.537,77.115,77.764,78.412,78.981,79.572,80.018,80.489,80.865,81.301,81.728,82.223,82.688,83.062,83.477,83.998,84.812,85.098,85.759,86.423,87.341,87.901,88.171,88.843,89.377,90.117,90.898,91.629,92.359,93.274,93.962,94.692,95.525,96.319,97.184,97.8,98.726,99.554,100.282,101.437,102.177,103.028,103.916,104.731,105.772,106.561,107.455,108.632,109.44,110.544,111.528,111.837,112.113,112.341,112.705,113.412
"24","16","      Housing and utilities","DHUTRG3",10.846,10.903,11.119,11.431,11.535,11.609,11.709,11.811,11.919,11.96,12.015,12.121,12.26,12.311,12.414,12.487,12.65,12.758,12.884,13.083,13.193,13.286,13.361,13.522,13.7,13.828,14.036,14.223,14.305,14.297,14.322,14.381,14.471,14.535,14.567,14.616,14.672,14.712,14.823,14.86,14.928,14.962,15.058,15.17,15.198,15.285,15.357,15.431,15.418,15.524,15.608,15.712,15.769,15.819,15.894,15.953,15.988,16.068,16.108,16.117,16.187,16.212,16.278,16.294,16.359,16.402,16.418,16.484,16.496,16.544,16.592,16.614,16.643,16.679,16.714,16.775,16.847,16.909,16.939,17.039,17.123,17.178,17.252,17.346,17.447,17.565,17.667,17.796,17.923,18.077,18.273,18.461,18.653,18.843,19.064,19.341,19.601,19.85,20.092,20.245,20.441,20.591,20.792,20.987,21.282,21.512,21.728,22.007,22.325,22.625,22.965,23.401,24.019,24.394,24.778,25.304,25.742,26.118,26.577,27.188,27.91,28.466,29.042,29.565,30.003,30.532,30.974,31.59,32.125,32.723,33.608,34.596,35.318,36.207,37.213,38.245,39.21,40.207,41.368,42.417,43.341,44.061,44.909,45.94,46.621,47.238,47.667,48.258,48.773,49.509,50.311,50.847,51.457,52.184,52.836,53.467,54.182,54.836,55.291,55.624,56.118,56.716,57.205,57.8,58.391,58.856,59.492,60.121,60.638,61.233,61.903,62.629,63.218,63.935,64.766,65.189,65.837,66.163,66.507,67.131,67.625,68.056,68.407,68.963,69.46,70.092,70.496,70.895,71.435,71.877,72.236,72.649,73.225,73.716,74.228,74.823,75.404,75.958,76.458,76.929,77.57,77.936,78.495,79.05,79.326,79.88,80.366,80.858,81.303,81.724,82.238,82.79,83.551,84.237,85.175,86.169,87.702,88.469,89.08,89.621,90.322,90.99,91.565,92.312,93.272,93.988,94.454,94.944,95.548,96.299,97.109,97.685,98.445,99.278,100.271,102.005,102.942,103.663,104.806,105.719,106.882,107.708,108.311,109.287,110.223,111.617,112.836,113.029,113.4,113.283,113.213,113.345
"25","17","      Health care","DHLCRG3",4.318,4.412,4.651,4.752,4.721,4.771,4.84,4.822,4.826,4.85,4.865,4.882,4.896,4.902,4.972,5.064,5.146,5.178,5.172,5.246,5.337,5.407,5.492,5.527,5.643,5.657,5.725,5.773,5.857,5.88,5.907,5.942,6.046,6.076,6.106,6.189,6.274,6.286,6.327,6.399,6.488,6.529,6.62,6.7,6.772,6.782,6.868,6.937,6.908,6.981,7.056,7.196,7.263,7.462,7.612,7.696,7.68,7.656,7.67,7.704,7.767,7.845,7.905,7.973,8.012,8.055,8.13,8.181,8.269,8.334,8.397,8.483,8.538,8.608,8.659,8.721,8.808,8.933,9.08,9.241,9.382,9.507,9.66,9.812,9.971,10.117,10.262,10.429,10.61,10.826,11.003,11.215,11.433,11.667,11.845,12.008,12.125,12.278,12.419,12.55,12.687,12.781,12.946,13.055,13.188,13.365,13.553,13.794,14.09,14.491,14.986,15.452,15.832,16.178,16.588,17.059,17.453,17.814,18.181,18.537,18.919,19.362,19.692,20.012,20.475,20.847,21.333,21.911,22.488,22.867,23.4,24.055,24.913,25.603,26.355,27.175,28.014,28.615,29.568,30.557,31.382,32,32.879,33.633,34.469,35.013,35.778,36.518,37.216,37.829,38.371,38.974,39.565,40.173,40.689,41.204,41.855,42.496,43.085,43.804,44.44,45.211,45.952,46.654,47.583,48.63,49.628,50.624,51.769,52.856,53.993,55.12,56.148,57.351,58.635,59.846,60.942,61.913,62.965,64.083,65.287,66.362,67.372,68.45,69.319,70.099,70.875,71.475,72.262,72.931,73.677,74.348,75.28,75.756,76.144,76.731,77.091,77.55,77.963,78.461,78.773,79.261,79.556,79.706,80.149,80.659,81.01,81.462,81.956,82.331,82.783,83.305,83.978,84.386,85.352,85.962,86.811,87.512,88.086,88.665,88.936,89.56,90.469,91.295,92,93.103,93.932,94.889,95.857,96.658,97.287,97.929,98.885,99.594,100.264,101.257,101.742,102.626,103.58,104.209,105.706,106.327,107.095,108.23,108.707,109.364,110.113,110.721,111.416,112.045,112.73,113.598
"26","18","      Transportation services","DTRSRG3",9.294,9.268,9.271,9.296,9.38,9.63,10.203,10.614,10.562,10.564,10.609,10.83,10.917,10.941,11.167,11.455,11.669,11.836,11.999,12.151,12.079,12.216,12.486,12.65,12.681,12.847,13.031,13.184,13.215,13.341,13.409,13.519,13.573,13.654,13.721,13.814,14.007,14.154,14.211,14.249,14.438,14.608,14.744,14.932,14.962,15.032,15.141,15.264,15.367,15.498,15.615,15.692,15.791,15.82,15.91,16.043,16.173,16.326,16.427,16.493,16.587,16.717,16.765,16.758,16.748,16.759,16.779,16.829,16.946,16.966,17.014,17.074,17.145,17.257,17.338,17.434,17.416,17.474,17.677,17.865,18.009,18.185,18.36,18.51,18.747,18.98,19.175,19.455,19.772,20.152,20.419,20.715,21.35,21.599,21.978,22.397,22.707,23.202,23.707,23.84,24.054,24.137,24.294,24.53,24.817,25.153,25.464,25.87,26.311,27.021,27.866,28.79,29.604,30.243,30.838,31.462,32.042,32.547,33.091,33.578,34.195,34.843,35.403,35.926,36.61,37.037,37.69,38.319,38.878,39.886,41.138,43.062,44.847,46.395,48.135,49.78,51.587,52.432,53.714,54.432,54.826,55.765,56.678,56.647,56.445,57.729,58.822,59.418,60.348,60.507,60.012,60.723,61.355,61.383,61.671,61.946,61.735,62.052,62.048,62.987,63.786,64.203,65.196,66.184,66.698,67.523,68.354,68.917,70.484,70.857,70.819,71.267,72.37,73.387,73.757,74.747,74.643,74.996,76.161,76.537,77.627,77.265,77.011,79.025,80.171,80.203,80.553,80.819,81.07,81.488,81.628,81.482,81.776,83.184,83.895,84.003,83.123,83.886,84.563,85.482,85.278,85.997,86.234,87.013,87.347,87.309,87.911,88.024,88.2,88.843,89.112,89.671,90.334,91.208,92.023,92.934,92.944,92.768,92.471,92.39,92.384,93.253,93.119,93.532,94.04,94.73,95.516,95.993,96.089,95.796,96.603,97.347,98.314,99.207,100.334,102.145,103.31,104.184,104.668,104.697,105.43,105.848,106.984,108.225,109.686,111.795,113.545,114.588,115.115,114.643,115.515,116.573
"27","19","      Recreation services","DRCARG3",11.128,11.153,11.364,11.579,11.453,11.583,11.835,12.002,11.72,11.887,12.015,12.085,11.804,11.948,12.139,12.204,12.103,12.358,12.565,12.666,12.514,12.797,13.098,13.095,12.94,13.321,13.68,13.919,13.689,13.91,14.179,14.422,14.044,14.333,14.754,14.944,14.683,14.916,15.031,15.176,15.264,15.433,15.529,15.793,16.137,16.201,16.073,15.95,16.09,16.358,16.624,16.829,16.938,17.018,17.153,17.237,17.401,17.485,17.616,17.738,17.84,17.933,18.012,18.127,18.162,18.264,18.433,18.61,18.719,18.802,18.965,19.036,19.109,19.22,19.335,19.399,19.568,19.737,19.795,19.992,20.13,20.313,20.552,20.866,21.202,21.443,21.702,21.894,22.096,22.361,22.604,22.844,23.089,23.364,23.642,23.959,24.252,24.468,24.682,24.788,24.984,25.091,25.238,25.396,25.565,25.929,26.204,26.586,26.961,27.566,28.164,28.824,29.451,29.732,30.065,30.49,30.885,31.189,31.592,31.999,32.368,32.728,33.08,33.499,34.02,34.599,35.149,35.781,36.298,37.01,37.532,37.926,38.64,39.766,40.543,41.065,41.912,42.233,42.677,43.391,44.003,44.494,45.228,45.768,46.209,46.734,46.837,47.506,47.991,48.586,49.153,49.65,50.25,50.775,51.162,51.625,52.368,52.704,53.09,53.528,54.111,54.719,55.27,55.794,56.223,56.746,57.195,58.166,59.025,59.547,60.307,60.804,61.821,62.678,63.783,64.486,65.339,66.257,66.935,67.38,67.546,68.426,68.925,69.265,69.787,70.472,71.021,71.664,72.127,72.069,72.195,72.594,73.056,73.623,74.016,74.66,75.258,75.964,76.642,77.33,77.948,78.603,79.125,79.387,79.966,80.446,80.912,81.539,82.214,82.976,83.621,84.433,85.348,85.949,87.131,87.716,88.389,89.222,89.635,90.242,90.767,91.69,92.29,93.026,93.938,94.429,95.098,95.578,96.34,96.958,97.557,98.226,98.822,99.346,100.344,101.489,102.13,103.055,103.949,104.346,105.09,105.996,106.291,107.475,108.433,109.207,110.389,110.038,110.27,110.165,111.325,111.38
"28","20","      Food services and accommodations","DFSARG3",10.125,10.147,10.352,10.707,10.787,10.828,10.903,10.695,10.59,10.53,10.466,10.467,10.435,10.529,10.842,10.988,11.47,11.489,11.409,11.641,11.711,11.729,11.814,11.784,11.654,11.609,11.666,11.703,11.755,11.86,11.785,11.755,11.803,11.77,11.758,11.717,11.7,11.849,11.989,12.046,12.197,12.245,12.373,12.336,12.557,12.622,12.576,12.644,12.829,13.006,13.142,13.223,13.345,13.381,13.428,13.457,13.537,13.624,13.713,13.814,13.874,13.965,14.066,14.143,14.229,14.301,14.318,14.41,14.46,14.542,14.556,14.589,14.685,14.733,14.865,15.01,15.105,15.282,15.5,15.696,15.946,16.176,16.339,16.538,16.746,16.965,17.224,17.454,17.677,17.933,18.245,18.628,18.951,19.384,19.635,19.872,20.195,20.386,20.627,20.786,20.928,21.16,21.361,21.579,21.808,22.333,22.905,23.793,24.289,24.942,25.723,26.392,26.995,27.376,27.776,28.329,28.761,29.213,29.704,30.108,30.604,31.367,31.925,32.419,33.007,33.879,34.828,35.646,36.591,37.644,38.504,39.447,40.43,41.311,42.119,43.07,44.25,45.128,45.918,46.542,47.128,47.728,48.434,48.946,49.417,49.913,50.273,50.934,51.589,52.187,52.685,53.122,53.679,54.408,54.959,55.549,55.982,56.617,57.181,57.773,58.409,58.9,59.513,59.989,60.734,61.463,62.1,62.695,63.424,64.183,64.938,65.632,66.433,67.191,67.898,68.473,69.352,69.991,70.55,70.881,71.083,71.492,71.943,72.218,72.431,73.011,73.313,73.607,73.8,74.273,74.498,74.922,75.269,75.983,76.436,76.823,77.181,77.888,78.475,79.173,79.703,80.209,80.681,81.394,81.835,82.358,82.834,83.589,83.956,84.51,85.09,85.602,86.28,86.813,87.513,88.033,88.702,89.385,90.042,90.447,91.115,91.513,92.055,92.589,92.91,93.381,94.026,94.776,95.5,96.511,97.403,98.14,99.058,99.7,100.128,101.114,102.058,103.021,103.763,104.557,105.612,106.771,108.082,108.927,109.916,110.857,112.317,113.305,113.783,114.201,114.358,114.917
"29","21","      Financial services and insurance","DIFSRG3",7.117,7.17,7.404,7.522,7.543,7.637,7.767,7.793,7.775,7.794,7.832,7.894,7.944,7.923,7.984,8.054,8.059,8.038,8.052,8.148,8.275,8.435,8.669,8.883,9.243,9.458,9.668,9.786,9.847,9.849,9.88,9.95,10.077,10.127,10.197,10.304,10.401,10.445,10.524,10.625,10.768,10.822,10.89,10.921,10.92,10.911,11.037,11.209,11.628,11.58,11.629,11.762,11.937,12.072,12.239,12.389,12.392,12.438,12.628,12.821,13.05,13.137,13.094,13.071,13.103,13.028,13.086,13.193,13.392,13.576,13.743,13.893,13.876,13.909,14.023,14.186,14.499,14.76,14.982,15.129,15.073,15.06,15.176,15.423,15.716,16.118,16.526,16.87,17.309,17.637,17.906,18.208,18.39,18.555,18.739,19.025,19.265,19.611,20.008,20.303,20.725,20.932,21.142,21.241,21.038,21.343,21.647,21.996,22.521,22.974,23.469,23.953,24.379,24.83,25.049,25.534,25.722,25.546,26.102,26.45,26.613,27.445,28.487,29.25,30.497,31.547,31.881,32.626,31.412,33.705,34.153,34.174,34.493,35.211,36.146,37.918,38.996,38.868,38.465,38.304,39.116,39.917,41.523,43.003,44.224,43.055,46.243,45.804,45.75,47.48,48.723,48.711,50.344,49.574,49.639,49.243,51.392,52.119,52.833,53.574,53.698,53.143,54.065,54.585,55.881,56.63,58.001,58.075,59.031,59.367,58.926,59.262,60.3,62.311,62.729,63.068,63.532,63.82,65.546,66.448,68.676,69.626,70.12,70.479,70.215,70.551,70.724,70.523,70.668,71.091,72.163,72.735,73.524,74.112,74.851,75.569,76.122,76.752,78.101,79.118,80.583,81.814,82.518,83.552,84.005,83.797,84.094,84.388,84.899,84.815,84.843,85.083,86.689,85.47,85.141,85.339,85.932,85.849,83.749,85.178,85.833,87.179,87.992,89.072,89.482,91.222,92.154,93.063,94.644,95.969,97.398,97.941,99.095,99.956,100.181,100.768,101.027,101.882,102.378,103.927,104.792,105.515,107.213,109.385,109.591,110.252,110.389,109.713,108.695,109.1,109.27,110.71
"30","22","      Other services","DOTSRG3",9.432,9.489,9.746,9.88,9.956,10.071,10.205,10.245,10.265,10.301,10.369,10.442,10.476,10.471,10.623,10.809,10.987,11.074,11.156,11.335,11.433,11.5,11.595,11.658,11.853,11.907,12.028,12.107,12.206,12.135,12.149,12.206,12.273,12.29,12.383,12.511,12.657,12.713,12.837,12.96,13.081,13.144,13.263,13.401,13.529,13.537,13.611,13.62,13.815,13.829,14.032,14.18,14.226,14.314,14.406,14.468,14.454,14.499,14.531,14.586,14.653,14.74,14.767,14.859,14.974,15.037,15.104,15.18,15.272,15.354,15.46,15.553,15.669,15.751,15.85,15.952,15.967,16.166,16.377,16.539,16.61,16.74,16.835,16.943,17.21,17.429,17.617,17.84,18.048,18.268,18.489,18.685,18.864,19.139,19.361,19.67,19.961,20.225,20.556,20.836,21.103,21.34,21.528,21.783,21.909,22.354,23.032,23.501,24.185,24.985,25.56,25.884,26.232,26.634,27.323,27.64,28.013,28.421,28.942,29.191,29.67,29.987,30.281,30.515,30.865,31.417,32.031,32.461,33.004,33.657,34.351,34.963,35.931,36.524,37.54,38.332,39.287,40.313,41.376,42.537,43.177,43.811,44.27,44.983,45.742,46.285,46.81,47.351,48.488,48.894,49.031,49.249,49.619,50.348,51.106,51.72,52.442,53.172,53.697,54.118,54.07,54.422,54.788,55.302,55.9,56.729,57.201,57.903,58.364,58.903,59.322,59.734,60.412,61.278,61.772,62.49,63.419,64.041,64.734,65.511,66.315,66.887,67.551,67.879,68.491,69.212,69.811,70.443,71.164,71.668,72.453,73.085,73.651,74.401,74.772,75.092,75.63,76.189,76.966,77.771,78.131,78.8,79.056,79.158,79.449,80.208,80.622,81.299,81.819,82.112,82.46,83.037,83.528,83.711,83.985,84.543,85.275,85.892,87.055,87.934,88.566,89.189,90.707,91.186,92.059,92.884,93.569,94.423,95.188,95.91,96.884,97.451,98.578,99.796,100.486,101.14,102.105,103.043,103.911,104.632,105.069,105.963,106.777,107.687,108.958,110.567,111.614,112.136,112.478,112.771,113.259,114.41
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",31.905,32.17,33.457,34.295,34.71,35.35,35.97,35.979,35.664,35.666,35.815,36.08,36.338,36.543,37.423,38.627,39.776,40.319,40.584,40.728,40.608,40.433,40.469,40.245,40.8,40.896,41.32,41.649,42.076,42.081,42.215,42.454,42.815,42.951,43.368,44.041,44.611,44.963,45.503,46.124,46.817,47.12,47.577,47.87,48.115,48.214,48.891,49.092,48.437,49.287,50.182,49.903,47.897,46.327,45.493,45.419,45.992,46.551,47.166,47.286,47.298,47.428,47.421,47.499,47.907,48.118,48.288,48.378,48.286,48.249,48.477,48.558,49.203,49.633,49.83,50.306,50.764,51.31,51.814,52.39,52.498,53.123,53.454,53.895,54.457,54.912,55.494,56.258,57.313,58.35,59.248,59.973,60.463,60.881,61.331,62.395,63.523,64.216,65.151,65.62,66.28,66.664,67.575,68.571,68.195,70.397,73.221,74.567,77.746,81.834,83.258,84.882,87.181,88.206,91.097,91.579,93.793,93.536,93.793,95.907,98.963,98.814,101.928,103.167,104.545,105.952,109.08,109.902,112.539,115.428,120.364,123.377,125.909,130.428,129.019,131.167,133.384,138.088,136.852,135.636,132.685,130.2,129.27,126.647,122.535,122.522,120.091,117.637,117.162,117.103,115.547,113.872,113.605,112.761,113.212,114.943,112.915,110.173,109.199,108.669,108.604,107.985,108.58,108.578,108.502,107.999,107.248,106.426,104.944,102.582,99.883,96.951,96.454,94.085,91.722,90.508,88.274,87.941,86.103,84.406,81.752,79.853,78.709,76.758,75.657,75.754,74.878,74.99,74.764,74.874,75.325,76.044,74.971,75.221,75.631,75.44,75.604,76.527,76.943,77.599,78.631,78.708,80.118,81.978,83.474,85.091,85.901,85.949,86.152,87.314,88.735,90.315,90.699,93.124,93.32,94.797,96.66,97.428,97.91,97.13,97.964,98.922,98.087,97.289,97.32,96.239,96.474,96.235,95.225,96.181,96.94,96.446,98.14,98.633,100.936,102.291,101.99,102.217,102.057,102.152,103.114,103.29,104.194,103.504,103.793,104.415,105.276,104.641,103.349,103.043,103.269,103.337
"32","24","Gross private domestic investment","B006RG3",17.93,18.643,19.28,19.495,19.758,20.188,20.757,20.885,20.818,20.78,20.552,20.461,20.435,20.741,21.32,21.803,22.613,22.966,23.06,23.274,23.36,23.438,23.45,23.336,23.292,23.382,23.556,23.5,23.53,23.628,23.61,23.619,23.6,23.752,24.043,24.367,24.877,25.146,25.584,25.772,26.016,26.121,26.285,26.376,26.119,26.244,26.273,26.339,26.348,26.456,26.53,26.572,26.598,26.639,26.62,26.571,26.526,26.54,26.53,26.533,26.548,26.561,26.556,26.526,26.534,26.478,26.388,26.453,26.368,26.581,26.615,26.886,26.9,26.954,26.993,27.301,27.18,27.614,27.621,27.952,28.072,28.188,28.343,28.676,28.945,29.206,29.364,29.996,30.303,30.625,30.872,31.281,31.512,32.198,32.101,32.479,33.05,33.532,33.905,34.194,34.594,34.823,35.191,35.701,36.012,36.649,37.41,37.816,38.572,39.736,41.345,42.937,44.467,45.498,46.035,46.664,47.079,47.87,48.538,49.273,50.317,51.271,52.289,53.342,54.36,55.48,56.561,57.719,58.907,60.406,61.91,63.174,64.642,66.166,67.539,68.996,71.038,72.638,73.815,75.126,76.056,76.878,77.3,77.36,77.035,76.649,76.481,76.659,76.813,77.21,77.435,77.565,77.733,77.801,78.079,78.573,78.884,79.392,80.03,80.643,80.949,81.086,81.22,81.798,82.417,82.882,83.168,84.014,84.445,84.945,85.312,85.725,86.191,86.427,86.981,87.389,88.085,88.015,88.055,87.768,87.536,87.564,87.691,87.898,88.321,88.614,88.826,88.929,89.444,89.689,89.977,90.202,90.592,90.881,90.974,90.913,90.55,90.265,90.549,90.457,90.302,90.147,90.096,89.933,89.387,89.103,89,88.945,89.059,89.019,88.882,88.997,89.516,89.783,90.184,90.334,90.337,90.622,91.02,91.012,90.975,90.962,90.928,91.608,92.191,92.035,92.303,93.115,94.059,95.181,96.194,97.092,98.208,99.258,100.57,101.964,103.139,104.026,104.666,105.653,106.375,106.547,106.761,107.024,106.586,106.745,107.35,108.738,108.245,107.019,105.465,105.278
"33","25","  Fixed investment","B007RG3",16.817,17.476,17.917,18.28,18.469,18.879,19.467,19.692,19.652,19.623,19.399,19.326,19.324,19.64,20.193,20.573,21.273,21.592,21.76,21.987,22.098,22.204,22.237,22.188,22.2,22.316,22.497,22.453,22.46,22.554,22.553,22.574,22.568,22.724,23.008,23.316,23.804,24.06,24.48,24.663,24.898,25.011,25.183,25.286,25.052,25.155,25.182,25.236,25.278,25.374,25.443,25.48,25.512,25.562,25.547,25.498,25.443,25.462,25.445,25.444,25.461,25.481,25.474,25.443,25.457,25.411,25.319,25.377,25.292,25.517,25.546,25.828,25.843,25.896,25.937,26.246,26.107,26.561,26.556,26.889,27.005,27.133,27.305,27.64,27.921,28.19,28.358,28.998,29.306,29.623,29.874,30.265,30.489,31.178,31.08,31.443,31.994,32.456,32.845,33.147,33.556,33.772,34.108,34.599,34.943,35.555,36.302,36.751,37.442,38.525,40.045,41.677,43.161,44.19,44.712,45.383,45.831,46.62,47.27,48.008,49.062,50.003,51.144,52.253,53.252,54.371,55.417,56.525,57.718,59.209,60.659,61.88,63.31,64.775,66.174,67.613,69.431,70.997,72.191,73.588,74.591,75.452,75.859,75.968,75.61,75.301,75.193,75.292,75.367,75.702,75.94,76.149,76.377,76.485,76.807,77.305,77.661,78.253,78.933,79.469,79.723,79.824,79.969,80.628,81.349,81.848,82.225,83.023,83.436,83.942,84.289,84.729,85.199,85.473,86.013,86.546,87.178,87.168,87.134,86.846,86.689,86.725,86.85,87.06,87.517,87.768,87.97,88.096,88.591,88.871,89.215,89.415,89.779,90.074,90.194,90.194,89.903,89.63,89.893,89.841,89.696,89.587,89.608,89.466,88.999,88.745,88.671,88.611,88.74,88.729,88.606,88.727,89.282,89.58,89.988,90.151,90.121,90.443,90.837,90.813,90.743,90.748,90.752,91.453,92.084,91.915,92.189,93.016,93.957,95.088,96.113,97.006,98.146,99.237,100.605,102.012,103.195,104.089,104.713,105.677,106.38,106.591,106.803,107.096,106.909,107.21,107.866,108.217,107.668,106.463,105.265,105.13
"34","26","    Nonresidential","B008RG3",21.416,22.101,22.695,23.093,23.225,23.896,24.753,25.121,24.934,24.892,24.786,24.632,24.665,24.902,25.422,26.288,27.2,27.662,27.911,28.222,28.365,28.442,28.349,28.353,28.365,28.58,28.802,28.78,28.885,29.033,28.828,28.881,28.778,28.95,29.424,30.049,30.901,31.159,31.968,32.402,32.91,33.089,33.318,33.575,33.196,33.381,33.436,33.532,33.589,33.781,33.931,33.996,34.002,34.033,33.999,33.878,33.824,33.792,33.751,33.767,33.77,33.813,33.804,33.766,33.789,33.768,33.794,33.785,33.784,33.944,33.953,34.137,34.188,34.274,34.369,34.539,34.485,34.823,34.895,35.215,35.399,35.583,35.819,36.165,36.431,36.789,37.098,37.677,37.944,38.295,38.696,39.174,39.586,40.272,40.499,41.037,41.616,42.119,42.495,42.755,43.235,43.553,43.828,44.077,44.436,45.055,45.729,46.199,47.01,48.493,50.555,52.874,54.947,56.38,57.098,57.898,58.569,59.287,60.067,60.952,62.238,63.198,64.323,65.46,66.396,67.518,68.613,69.783,71.297,72.88,74.433,75.816,77.491,79.283,80.966,82.653,85.016,87.119,88.687,90.504,91.706,92.687,93.115,93.172,92.477,91.904,91.564,91.429,91.348,91.634,91.705,91.798,92.005,92.11,92.41,92.836,92.999,93.633,94.279,94.722,94.726,94.581,94.476,95.227,96.076,96.546,96.925,97.882,98.278,98.636,99.078,99.567,100.02,100.312,101.008,101.791,102.684,102.516,102.248,101.918,101.793,101.493,101.421,101.246,101.528,101.562,101.523,101.547,101.87,102.085,102.188,101.971,102.067,102.352,102.387,102.18,101.583,100.978,100.961,100.695,100.289,99.948,99.672,99.193,98.388,97.768,97.306,96.885,96.731,96.334,95.859,95.768,95.988,96.095,96.421,96.371,95.864,95.893,95.85,95.547,95.524,95.307,95.148,95.472,95.412,95.127,95.247,95.632,95.927,96.603,97.111,97.696,98.78,99.572,100.248,101.401,102.279,103.112,103.878,104.868,105.686,106.104,106.354,106.693,106.617,107.161,108.314,109.498,109.154,107.993,106.656,106.294
