"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RC1","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,212.0","11,853,254.0","12,622,959.0","13,377,215.0","14,028,675.0","14,291,543.0","13,973,681.0","14,498,922.0","15,075,667.0"
"21","2","    Gross domestic income","A261RC1","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,040,664.0","14,293,978.0","13,855,394.0","14,475,577.0","15,043,781.0"
"22","3","    Net domestic product \1\","A362RC1","885,240.0","930,013.0","1,009,044.0","1,110,734.0","1,241,487.0","1,335,766.0","1,447,321.0","1,616,413.0","1,798,354.0","2,032,348.0","2,263,327.0","2,444,058.0","2,733,495.0","2,819,652.0","3,083,501.0","3,456,548.0","3,712,027.0","3,921,592.0","4,165,260.0","4,489,408.0","4,830,694.0","5,109,325.0","5,267,734.0","5,597,955.0","5,889,335.0","6,265,993.0","6,545,195.0","6,925,939.0","7,368,557.0","7,772,948.0","8,259,094.0","8,767,158.0","9,029,946.0","9,337,337.0","9,788,160.0","10,420,489.0","11,081,584.0","11,716,538.0","12,261,164.0","12,437,466.0","12,107,362.0","12,625,481.0","13,138,889.0"
"23","4","    Net domestic income \1\","W256RC1","882,369.0","923,136.0","998,030.0","1,101,788.0","1,233,468.0","1,325,952.0","1,431,015.0","1,592,943.0","1,777,141.0","2,006,293.0","2,216,354.0","2,398,766.0","2,696,914.0","2,814,902.0","3,033,806.0","3,425,009.0","3,669,726.0","3,853,848.0","4,132,387.0","4,498,941.0","4,774,589.0","5,025,125.0","5,187,997.0","5,487,963.0","5,753,540.0","6,157,184.0","6,492,673.0","6,900,019.0","7,382,531.0","7,858,269.0","8,330,161.0","8,901,144.0","9,133,300.0","9,359,409.0","9,771,480.0","10,442,837.0","11,176,666.0","11,958,812.0","12,273,153.0","12,439,901.0","11,989,075.0","12,602,136.0","13,107,003.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RC1","990,546.0","1,044,719.0","1,134,411.0","1,246,443.0","1,394,888.0","1,514,972.0","1,650,704.0","1,841,430.0","2,050,422.0","2,315,343.0","2,594,159.0","2,822,328.0","3,159,772.0","3,289,704.0","3,571,691.0","3,967,185.0","4,244,016.0","4,477,679.0","4,754,009.0","5,123,784.0","5,508,070.0","5,834,950.0","6,022,004.0","6,371,446.0","6,698,532.0","7,109,236.0","7,444,311.0","7,870,126.0","8,355,812.0","8,810,812.0","9,381,286.0","9,989,227.0","10,338,076.0","10,691,426.0","11,210,902.0","11,944,463.0","12,720,107.0","13,449,631.0","14,151,946.0","14,460,707.0","14,117,227.0","14,708,227.0","15,327,549.0"
"26","6","    Gross national income","A023RC1","987,675.0","1,037,842.0","1,123,397.0","1,237,497.0","1,386,869.0","1,505,158.0","1,634,398.0","1,817,960.0","2,029,209.0","2,289,288.0","2,547,186.0","2,777,036.0","3,123,191.0","3,284,954.0","3,521,996.0","3,935,646.0","4,201,715.0","4,409,935.0","4,721,136.0","5,133,317.0","5,451,965.0","5,750,750.0","5,942,267.0","6,261,454.0","6,562,737.0","7,000,427.0","7,391,789.0","7,844,206.0","8,369,786.0","8,896,133.0","9,452,353.0","10,123,213.0","10,441,430.0","10,713,498.0","11,194,222.0","11,966,811.0","12,815,189.0","13,691,905.0","14,163,935.0","14,463,142.0","13,998,940.0","14,684,882.0","15,295,663.0"
"27","7","    Net national product \1\","A027RC1","891,355.0","936,406.0","1,016,638.0","1,119,292.0","1,254,106.0","1,351,286.0","1,460,325.0","1,633,260.0","1,818,646.0","2,053,929.0","2,295,258.0","2,478,243.0","2,766,430.0","2,856,162.0","3,120,586.0","3,492,838.0","3,738,573.0","3,939,204.0","4,182,915.0","4,512,770.0","4,856,618.0","5,143,748.0","5,297,644.0","5,627,095.0","5,920,517.0","6,290,069.0","6,574,851.0","6,957,609.0","7,392,007.0","7,790,265.0","8,286,896.0","8,804,903.0","9,081,855.0","9,386,447.0","9,856,850.0","10,511,698.0","11,178,732.0","11,788,954.0","12,384,435.0","12,606,630.0","12,250,908.0","12,834,786.0","13,390,771.0"
"28","8","    National income \2\","A032RC1","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,396,424.0","12,609,065.0","12,132,621.0","12,811,441.0","13,358,885.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","9","    Gross domestic purchases","A712RC1","982,999.0","1,034,376.0","1,126,196.0","1,241,257.0","1,378,159.0","1,500,267.0","1,621,723.0","1,826,214.0","2,053,223.0","2,319,128.0","2,584,774.0","2,801,199.0","3,139,364.0","3,273,174.0","3,586,256.0","4,033,626.0","4,332,679.0","4,592,600.0","4,881,304.0","5,210,530.0","5,570,035.0","5,878,133.0","6,019,054.0","6,375,138.0","6,731,738.0","7,177,885.0","7,505,345.0","7,934,757.0","8,433,717.0","8,955,322.0","9,615,562.0","10,333,532.0","10,657,155.0","11,069,491.0","11,646,326.0","12,471,949.0","13,345,690.0","14,146,530.0","14,741,746.0","15,001,255.0","14,362,408.0","15,010,565.0","15,643,737.0"
"31","10","    Final sales to domestic purchasers \3\","A713RC1","973,826.0","1,032,375.0","1,117,940.0","1,232,150.0","1,362,281.0","1,486,277.0","1,627,979.0","1,809,098.0","2,030,899.0","2,293,337.0","2,566,790.0","2,807,530.0","3,109,555.0","3,288,088.0","3,592,007.0","3,968,221.0","4,310,855.0","4,586,029.0","4,854,155.0","5,192,048.0","5,542,342.0","5,863,586.0","6,019,448.0","6,358,810.0","6,710,924.0","7,114,101.0","7,474,188.0","7,903,990.0","8,362,718.0","8,891,603.0","9,554,746.0","10,278,988.0","10,695,438.0","11,057,464.0","11,629,951.0","12,407,039.0","13,295,737.0","14,086,575.0","14,712,623.0","15,042,374.0","14,516,581.0","14,952,205.0","15,607,108.0"
"32",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","11","    Disposable personal income","A067RC1","673,821.0","735,509.0","801,392.0","868,998.0","978,138.0","1,071,696.0","1,187,254.0","1,302,347.0","1,434,984.0","1,607,330.0","1,790,861.0","2,002,661.0","2,237,111.0","2,412,707.0","2,599,844.0","2,891,456.0","3,079,348.0","3,258,809.0","3,435,308.0","3,726,305.0","3,991,377.0","4,254,015.0","4,444,876.0","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,416.0","9,277,293.0","9,915,675.0","10,423,601.0","11,024,504.0","10,722,429.0","11,127,052.0","11,549,297.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
