"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"22","3","Less: Income payments to the rest of the world","A655RX1","21,944.0","24,450.0","27,387.0","28,439.0","28,794.0","28,140.0","27,547.0","26,246.0","24,451.0","25,037.0","27,163.0","28,244.0","27,888.0","30,065.0","30,383.0","32,672.0","36,733.0","40,500.0","41,767.0","42,737.0","44,294.0","47,955.0","50,798.0","50,655.0","49,505.0","46,874.0","46,690.0","44,545.0","47,361.0","46,808.0","45,663.0","44,798.0","43,162.0","45,664.0","47,744.0","52,175.0","54,665.0","62,280.0","64,962.0","73,019.0","78,554.0","83,471.0","87,927.0","96,168.0","102,819.0","96,572.0","87,198.0","104,473.0","110,917.0","120,014.0","124,184.0","113,697.0","118,290.0","124,391.0","123,101.0","115,447.0","109,105.0","112,326.0","120,999.0","124,890.0","137,336.0","150,011.0","156,220.0","153,125.0","146,634.0","145,157.0","145,032.0","144,559.0","153,805.0","157,707.0","147,844.0","154,069.0","157,307.0","163,720.0","169,984.0","177,188.0","186,134.0","188,880.0","200,832.0","209,697.0","219,894.0","230,657.0","224,322.0","216,834.0","220,284.0","217,391.0","221,425.0","210,576.0","204,028.0","192,239.0","186,505.0","168,782.0","164,751.0","166,990.0","159,414.0","154,900.0","149,377.0","160,217.0","155,620.0","175,783.0","174,585.0","192,052.0","212,099.0","229,645.0","235,423.0","243,460.0","257,430.0","250,293.0","246,094.0","254,309.0","265,035.0","274,572.0","295,101.0","300,323.0","312,441.0","312,904.0","312,809.0","319,223.0","320,728.0","317,436.0","316,787.0","327,702.0","352,313.0","359,634.0","377,847.0","397,462.0","392,358.0","387,074.0","355,186.0","317,798.0","311,811.0","221,205.0","272,364.0","305,762.0","306,176.0","273,110.0","300,430.0","297,266.0","308,535.0","311,083.0","323,418.0","362,835.0","371,593.0","423,976.0","435,252.0","458,531.0","473,043.0","536,729.0","566,350.0","621,896.0","654,885.0","668,942.0","692,419.0","739,579.0","714,817.0","669,676.0","670,013.0","654,197.0","610,350.0","571,685.0","467,218.0","457,285.0","434,223.0","462,376.0","446,085.0","439,419.0","456,164.0","476,905.0","464,870.0","479,896.0","462,802.0","455,115.0","479,734.0","455,729.0","452,917.0"
"23","4","Equals: Gross national product","A001RX1","4,271,749.0","4,283,002.0","4,308,617.0","4,288,495.0","4,282,541.0","4,291,212.0","4,328,746.0","4,280,700.0","4,402,911.0","4,429,435.0","4,461,351.0","4,475,289.0","4,556,119.0","4,662,883.0","4,709,978.0","4,786,772.0","4,913,736.0","4,972,809.0","4,953,682.0","5,000,814.0","4,966,282.0","4,975,622.0","4,921,853.0","4,895,515.0","4,829,326.0","4,866,235.0","4,950,642.0","5,022,622.0","5,134,269.0","5,174,393.0","5,199,991.0","5,238,594.0","5,306,064.0","5,409,190.0","5,504,340.0","5,496,871.0","5,523,363.0","5,728,670.0","5,788,818.0","5,872,560.0","5,883,773.0","5,896,771.0","5,952,268.0","5,967,803.0","5,988,275.0","5,860,853.0","5,845,599.0","5,938,631.0","6,064,764.0","6,013,195.0","6,089,267.0","6,022,089.0","5,920,600.0","5,960,626.0","5,926,343.0","5,928,554.0","6,000,813.0","6,138,307.0","6,259,332.0","6,389,855.0","6,507,230.0","6,618,818.0","6,681,861.0","6,728,665.0","6,779,966.0","6,839,999.0","6,937,620.0","6,994,524.0","7,055,901.0","7,072,959.0","7,144,326.0","7,168,545.0","7,210,903.0","7,293,453.0","7,355,634.0","7,483,793.0","7,530,334.0","7,623,090.0","7,658,642.0","7,763,729.0","7,835,634.0","7,892,572.0","7,957,719.0","7,983,318.0","8,063,457.0","8,096,638.0","8,089,623.0","8,050,129.0","7,994,739.0","8,033,390.0","8,062,642.0","8,104,357.0","8,192,304.0","8,278,277.0","8,359,053.0","8,447,826.0","8,472,841.0","8,517,956.0","8,570,095.0","8,663,000.0","8,755,869.0","8,870,016.0","8,923,958.0","9,022,059.0","9,056,080.0","9,078,682.0","9,137,267.0","9,214,633.0","9,284,978.0","9,434,107.0","9,511,878.0","9,621,425.0","9,684,989.0","9,837,443.0","9,951,254.0","10,019,821.0","10,124,719.0","10,212,507.0","10,331,547.0","10,512,237.0","10,618,967.0","10,707,514.0","10,839,693.0","11,045,593.0","11,069,165.0","11,288,142.0","11,292,827.0","11,386,813.0","11,333,857.0","11,416,917.0","11,360,265.0","11,468,840.0","11,523,331.0","11,564,508.0","11,638,726.0","11,661,655.0","11,694,874.0","11,808,089.0","12,000,815.0","12,135,970.0","12,233,974.0","12,285,085.0","12,386,677.0","12,460,655.0","12,623,441.0","12,667,676.0","12,776,859.0","12,812,440.0","12,974,685.0","13,021,594.0","13,009,618.0","13,107,304.0","13,122,572.0","13,248,392.0","13,405,824.0","13,511,032.0","13,431,733.0","13,476,579.0","13,367,429.0","12,991,905.0","12,819,456.0","12,806,791.0","12,895,341.0","13,034,499.0","13,121,892.0","13,216,485.0","13,301,067.0","13,374,168.0","13,394,316.0","13,486,118.0","13,534,703.0","13,672,890.0","13,693,844.0","13,763,617.0","13,854,391.0"
"24","5","Less: Consumption of fixed capital","A262RX1","327,770.0","331,629.0","335,567.0","339,537.0","343,450.0","346,584.0","348,850.0","350,133.0","353,884.0","357,250.0","360,490.0","363,230.0","366,101.0","369,557.0","373,830.0","378,715.0","384,160.0","389,429.0","394,370.0","399,152.0","403,597.0","407,785.0","411,774.0","415,417.0","418,825.0","422,156.0","425,398.0","428,674.0","431,852.0","435,290.0","439,058.0","443,102.0","447,508.0","452,107.0","456,875.0","461,819.0","466,838.0","472,289.0","478,018.0","484,043.0","490,402.0","496,673.0","502,830.0","508,772.0","514,631.0","520,279.0","525,674.0","530,825.0","535,754.0","540,933.0","546,429.0","552,210.0","558,310.0","563,920.0","569,015.0","573,655.0","577,795.0","582,381.0","587,328.0","592,777.0","598,651.0","605,315.0","612,839.0","621,160.0","630,387.0","639,155.0","647,471.0","655,369.0","662,643.0","670,138.0","677,859.0","685,803.0","693,945.0","701,777.0","709,406.0","716,812.0","723,964.0","731,300.0","738,798.0","746,485.0","754,335.0","762,218.0","770,146.0","778,024.0","786,002.0","793,403.0","800,245.0","806,536.0","812,283.0","818,157.0","824,137.0","830,244.0","836,498.0","841,984.0","846,763.0","850,777.0","859,591.0","868,192.0","876,636.0","884,908.0","893,021.0","901,681.0","910,818.0","920,470.0","930,627.0","941,236.0","952,292.0","963,751.0","975,682.0","988,036.0","1,000,967.0","1,014,385.0","1,028,248.0","1,043,088.0","1,058,806.0","1,075,362.0","1,092,799.0","1,110,870.0","1,129,500.0","1,148,708.0","1,168,502.0","1,188,807.0","1,209,537.0","1,230,772.0","1,250,630.0","1,272,857.0","1,293,721.0","1,312,338.0","1,329,908.0","1,345,169.0","1,358,183.0","1,370,017.0","1,383,142.0","1,394,181.0","1,405,607.0","1,416,232.0","1,426,363.0","1,435,468.0","1,445,669.0","1,457,509.0","1,470,196.0","1,481,627.0","1,493,957.0","1,507,298.0","1,520,822.0","1,534,030.0","1,548,170.0","1,562,480.0","1,574,959.0","1,590,610.0","1,606,223.0","1,621,961.0","1,638,610.0","1,654,087.0","1,668,527.0","1,682,302.0","1,692,496.0","1,704,788.0","1,716,560.0","1,726,335.0","1,733,411.0","1,736,153.0","1,737,750.0","1,739,235.0","1,741,495.0","1,745,770.0","1,751,899.0","1,759,001.0","1,764,586.0","1,771,259.0","1,779,728.0","1,789,786.0","1,799,319.0","1,809,039.0","1,818,478.0"
"25","6","        Private","A024RX1","236,316.0","239,690.0","243,120.0","246,606.0","250,147.0","252,939.0","254,977.0","256,256.0","259,916.0","263,382.0","266,655.0","269,736.0","272,627.0","276,183.0","280,395.0","285,252.0","290,727.0","295,866.0","300,694.0","305,228.0","309,484.0","313,436.0","317,077.0","320,401.0","323,401.0","326,318.0","329,152.0","331,904.0","334,575.0","337,553.0","340,842.0","344,444.0","348,359.0","352,433.0","356,668.0","361,064.0","365,624.0","370,463.0","375,581.0","380,981.0","386,664.0","392,179.0","397,526.0","402,706.0","407,720.0","412,508.0","417,068.0","421,398.0","425,495.0","429,856.0","434,486.0","439,388.0","444,567.0","449,243.0","453,410.0","457,061.0","460,192.0","463,652.0","467,444.0","471,572.0","476,043.0","481,218.0","487,110.0","493,726.0","501,081.0","507,949.0","514,321.0","520,187.0","525,540.0","531,081.0","536,814.0","542,743.0","548,870.0","554,823.0","560,597.0","566,190.0","571,597.0","577,175.0","582,928.0","588,857.0","594,964.0","601,056.0","607,131.0","613,189.0","619,225.0","624,787.0","629,866.0","634,455.0","638,551.0","642,825.0","647,278.0","651,913.0","656,733.0","660,908.0","664,430.0","667,296.0","674,839.0","682,313.0","689,719.0","697,055.0","704,322.0","712,107.0","720,417.0","729,261.0","738,649.0","748,413.0","758,559.0","769,093.0","780,023.0","791,436.0","803,339.0","815,739.0","828,643.0","842,347.0","856,865.0","872,209.0","888,395.0","905,056.0","922,192.0","939,804.0","957,891.0","976,468.0","995,535.0","1,015,088.0","1,033,256.0","1,053,878.0","1,073,194.0","1,090,376.0","1,106,668.0","1,120,519.0","1,132,171.0","1,142,628.0","1,154,351.0","1,163,986.0","1,173,999.0","1,183,201.0","1,191,887.0","1,199,469.0","1,208,189.0","1,218,431.0","1,229,065.0","1,238,563.0","1,249,079.0","1,260,768.0","1,272,751.0","1,284,365.0","1,296,798.0","1,309,329.0","1,320,362.0","1,334,126.0","1,347,838.0","1,361,722.0","1,376,401.0","1,389,858.0","1,402,217.0","1,413,763.0","1,422,938.0","1,432,939.0","1,442,488.0","1,450,059.0","1,454,857.0","1,455,453.0","1,454,946.0","1,454,375.0","1,454,367.0","1,456,491.0","1,460,650.0","1,465,971.0","1,469,852.0","1,474,954.0","1,481,987.0","1,490,746.0","1,499,174.0","1,507,732.0","1,515,936.0"
"26","7","        Government","A264RX1","96,274.0","96,693.0","97,137.0","97,554.0","97,841.0","98,124.0","98,307.0","98,261.0","98,236.0","98,001.0","97,851.0","97,357.0","97,246.0","97,028.0","96,972.0","96,868.0","96,686.0","96,699.0","96,708.0","96,879.0","97,004.0","97,192.0","97,512.0","97,804.0","98,187.0","98,574.0","98,955.0","99,468.0","99,968.0","100,404.0","100,852.0","101,245.0","101,682.0","102,150.0","102,616.0","103,090.0","103,456.0","103,986.0","104,502.0","105,019.0","105,578.0","106,237.0","106,966.0","107,647.0","108,430.0","109,241.0","110,032.0","110,816.0","111,623.0","112,404.0","113,230.0","114,062.0","114,932.0","115,837.0","116,757.0","117,764.0","118,812.0","119,983.0","121,175.0","122,542.0","123,993.0","125,517.0","127,181.0","128,906.0","130,796.0","132,734.0","134,737.0","136,854.0","138,863.0","140,910.0","142,988.0","145,090.0","147,183.0","149,126.0","151,047.0","152,930.0","154,743.0","156,563.0","158,365.0","160,174.0","161,959.0","163,800.0","165,714.0","167,590.0","169,606.0","171,520.0","173,363.0","175,151.0","176,900.0","178,582.0","180,175.0","181,699.0","183,174.0","184,530.0","185,842.0","187,046.0","188,254.0","189,308.0","190,268.0","191,119.0","191,878.0","192,660.0","193,379.0","194,071.0","194,713.0","195,434.0","196,222.0","197,025.0","197,909.0","198,722.0","199,625.0","200,511.0","201,330.0","202,335.0","203,403.0","204,479.0","205,597.0","206,882.0","208,260.0","209,749.0","211,356.0","212,988.0","214,560.0","216,153.0","217,773.0","219,299.0","220,785.0","222,171.0","223,398.0","224,772.0","226,110.0","227,470.0","228,853.0","230,248.0","231,650.0","233,066.0","234,506.0","236,029.0","237,505.0","239,096.0","241,149.0","243,084.0","244,893.0","246,539.0","248,074.0","249,665.0","251,370.0","253,151.0","254,596.0","256,488.0","258,396.0","260,265.0","262,253.0","264,288.0","266,378.0","268,607.0","269,657.0","271,934.0","274,143.0","276,315.0","278,520.0","280,544.0","282,504.0","284,415.0","286,528.0","288,556.0","290,441.0","292,165.0","293,798.0","295,324.0","296,753.0","298,083.0","299,228.0","300,430.0","301,694.0"
"27","8","          General government","A265RX1","84,993.0","85,291.0","85,614.0","85,906.0","86,090.0","86,255.0","86,309.0","86,177.0","86,056.0","85,728.0","85,454.0","84,891.0","84,639.0","84,327.0","84,121.0","83,909.0","83,592.0","83,458.0","83,334.0","83,362.0","83,333.0","83,401.0","83,562.0","83,713.0","83,943.0","84,207.0","84,440.0","84,814.0","85,190.0","85,480.0","85,803.0","86,093.0","86,421.0","86,771.0","87,120.0","87,471.0","87,732.0","88,141.0","88,523.0","88,911.0","89,307.0","89,822.0","90,388.0","90,891.0","91,502.0","92,143.0","92,763.0","93,380.0","94,006.0","94,612.0","95,264.0","95,907.0","96,604.0","97,339.0","98,082.0","98,919.0","99,795.0","100,778.0","101,793.0","102,967.0","104,219.0","105,544.0","106,990.0","108,491.0","110,140.0","111,836.0","113,608.0","115,473.0","117,248.0","119,069.0","120,910.0","122,776.0","124,640.0","126,371.0","128,061.0","129,715.0","131,314.0","132,907.0","134,490.0","136,083.0","137,634.0","139,242.0","140,916.0","142,566.0","144,320.0","145,994.0","147,590.0","149,120.0","150,622.0","152,040.0","153,372.0","154,637.0","155,853.0","156,934.0","157,976.0","158,911.0","159,839.0","160,629.0","161,350.0","161,971.0","162,504.0","163,081.0","163,587.0","164,088.0","164,546.0","165,075.0","165,655.0","166,247.0","166,897.0","167,508.0","168,223.0","168,926.0","169,641.0","170,449.0","171,285.0","172,140.0","173,025.0","174,046.0","175,130.0","176,310.0","177,574.0","178,859.0","180,115.0","181,383.0","182,673.0","183,894.0","185,096.0","186,208.0","187,187.0","188,311.0","189,397.0","190,488.0","191,614.0","192,728.0","193,816.0","194,893.0","195,965.0","197,112.0","198,221.0","199,429.0","201,062.0","202,594.0","204,049.0","205,376.0","206,615.0","207,931.0","209,358.0","210,855.0","212,436.0","214,055.0","215,691.0","217,289.0","219,006.0","220,781.0","222,611.0","224,579.0","225,464.0","227,497.0","229,442.0","231,325.0","233,229.0","234,937.0","236,572.0","238,159.0","239,933.0","241,622.0","243,199.0","244,617.0","245,962.0","247,222.0","248,381.0","249,460.0","250,373.0","251,325.0","252,323.0"
"28","9","          Government enterprises","A266RX1","10,447.0","10,584.0","10,721.0","10,863.0","10,983.0","11,122.0","11,278.0","11,388.0","11,510.0","11,637.0","11,797.0","11,902.0","12,080.0","12,205.0","12,392.0","12,529.0","12,702.0","12,883.0","13,047.0","13,216.0","13,400.0","13,540.0","13,722.0","13,882.0","14,051.0","14,185.0","14,347.0","14,496.0","14,627.0","14,786.0","14,920.0","15,029.0","15,146.0","15,270.0","15,396.0","15,526.0","15,638.0","15,764.0","15,907.0","16,043.0","16,217.0","16,366.0","16,536.0","16,723.0","16,901.0","17,076.0","17,253.0","17,424.0","17,612.0","17,793.0","17,973.0","18,170.0","18,350.0","18,525.0","18,705.0","18,878.0","19,050.0","19,239.0","19,414.0","19,604.0","19,797.0","19,989.0","20,200.0","20,417.0","20,649.0","20,879.0","21,098.0","21,338.0","21,559.0","21,772.0","21,997.0","22,219.0","22,435.0","22,634.0","22,857.0","23,077.0","23,282.0","23,501.0","23,712.0","23,921.0","24,150.0","24,375.0","24,609.0","24,828.0","25,084.0","25,317.0","25,559.0","25,814.0","26,057.0","26,321.0","26,583.0","26,842.0","27,104.0","27,385.0","27,662.0","27,938.0","28,226.0","28,498.0","28,747.0","28,986.0","29,223.0","29,435.0","29,658.0","29,857.0","30,048.0","30,248.0","30,464.0","30,682.0","30,924.0","31,133.0","31,325.0","31,513.0","31,614.0","31,814.0","32,049.0","32,274.0","32,510.0","32,776.0","33,076.0","33,388.0","33,734.0","34,087.0","34,405.0","34,735.0","35,068.0","35,375.0","35,661.0","35,936.0","36,186.0","36,438.0","36,691.0","36,962.0","37,221.0","37,502.0","37,819.0","38,161.0","38,532.0","38,911.0","39,281.0","39,665.0","40,086.0","40,489.0","40,844.0","41,163.0","41,459.0","41,733.0","42,013.0","42,295.0","42,160.0","42,433.0","42,705.0","42,976.0","43,247.0","43,508.0","43,768.0","44,030.0","44,195.0","44,441.0","44,706.0","44,997.0","45,298.0","45,614.0","45,940.0","46,263.0","46,603.0","46,942.0","47,250.0","47,555.0","47,842.0","48,108.0","48,377.0","48,627.0","48,857.0","49,104.0","49,369.0"
"29","10","Equals: Net national product","A027RX1","3,987,193.0","3,993,694.0","4,014,970.0","3,988,847.0","3,977,472.0","3,982,289.0","4,018,144.0","3,966,725.0","4,088,236.0","4,111,228.0","4,139,974.0","4,150,773.0","4,230,666.0","4,336,586.0","4,379,649.0","4,452,657.0","4,576,866.0","4,631,023.0","4,604,696.0","4,647,132.0","4,605,487.0","4,609,553.0","4,548,378.0","4,516,032.0","4,442,477.0","4,476,175.0","4,559,495.0","4,629,855.0","4,741,644.0","4,778,610.0","4,799,994.0","4,834,534.0","4,898,620.0","4,999,579.0","5,091,999.0","5,077,217.0","5,097,735.0","5,304,094.0","5,358,676.0","5,437,465.0","5,440,145.0","5,444,795.0","5,493,919.0","5,501,624.0","5,514,580.0","5,373,437.0","5,349,788.0","5,439,591.0","5,564,242.0","5,502,862.0","5,574,413.0","5,495,753.0","5,380,766.0","5,414,566.0","5,371,483.0","5,367,304.0","5,436,932.0","5,573,734.0","5,692,723.0","5,820,758.0","5,934,443.0","6,041,019.0","6,096,133.0","6,133,415.0","6,174,225.0","6,224,695.0","6,314,594.0","6,362,968.0","6,416,785.0","6,424,558.0","6,488,137.0","6,502,776.0","6,535,913.0","6,610,895.0","6,665,145.0","6,787,624.0","6,826,371.0","6,912,483.0","6,939,506.0","7,037,840.0","7,101,827.0","7,150,389.0","7,207,330.0","7,223,736.0","7,296,026.0","7,320,870.0","7,305,253.0","7,257,105.0","7,193,434.0","7,225,891.0","7,248,627.0","7,283,967.0","7,366,329.0","7,447,550.0","7,524,255.0","7,609,930.0","7,625,104.0","7,661,013.0","7,704,279.0","7,789,235.0","7,874,337.0","7,980,423.0","8,024,747.0","8,113,360.0","8,136,266.0","8,147,085.0","8,193,989.0","8,259,530.0","8,317,428.0","8,454,746.0","8,519,075.0","8,615,061.0","8,664,029.0","8,801,883.0","8,899,715.0","8,950,974.0","9,038,046.0","9,107,115.0","9,207,053.0","9,368,425.0","9,454,550.0","9,522,270.0","9,633,920.0","9,819,691.0","9,821,912.0","10,018,456.0","10,001,113.0","10,076,118.0","10,004,804.0","10,072,507.0","10,002,330.0","10,099,111.0","10,140,309.0","10,170,338.0","10,233,112.0","10,245,382.0","10,268,500.0","10,372,637.0","10,555,154.0","10,678,446.0","10,763,738.0","10,803,439.0","10,892,694.0","10,953,355.0","11,102,606.0","11,133,663.0","11,228,705.0","11,249,940.0","11,399,738.0","11,430,932.0","11,403,260.0","11,485,229.0","11,483,819.0","11,594,163.0","11,737,104.0","11,828,414.0","11,738,757.0","11,771,343.0","11,650,694.0","11,265,787.0","11,086,765.0","11,071,670.0","11,158,555.0","11,295,782.0","11,380,533.0","11,470,490.0","11,548,694.0","11,614,566.0","11,629,280.0","11,714,179.0","11,754,393.0","11,882,170.0","11,893,878.0","11,953,952.0","12,035,170.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","4,211,112.0","4,238,485.0","4,269,506.0","4,262,962.0","4,231,737.0","4,229,789.0","4,266,470.0","4,224,075.0","4,310,368.0","4,341,603.0","4,378,885.0","4,433,853.0","4,495,372.0","4,555,381.0","4,631,869.0","4,757,272.0","4,844,524.0","4,870,587.0","4,883,063.0","4,938,259.0","4,895,693.0","4,875,626.0","4,854,940.0","4,790,583.0","4,732,915.0","4,775,656.0","4,874,604.0","4,923,559.0","5,024,764.0","5,056,413.0","5,092,428.0","5,109,769.0","5,158,555.0","5,289,181.0","5,392,699.0","5,425,440.0","5,453,034.0","5,620,217.0","5,657,444.0","5,705,313.0","5,754,187.0","5,721,060.0","5,729,058.0","5,768,839.0","5,769,014.0","5,658,943.0","5,689,885.0","5,835,221.0","5,885,754.0","5,883,454.0","5,975,697.0","5,901,591.0","5,857,917.0","5,885,209.0","5,857,602.0","5,829,593.0","5,898,078.0","5,995,529.0","6,079,891.0","6,206,464.0","6,372,934.0","6,492,973.0","6,567,304.0","6,641,257.0","6,695,252.0","6,736,153.0","6,813,451.0","6,854,543.0","6,927,037.0","6,944,086.0","6,985,710.0","7,035,086.0","7,093,812.0","7,203,868.0","7,311,499.0","7,415,359.0","7,500,717.0","7,586,110.0","7,647,764.0","7,751,428.0","7,794,006.0","7,774,203.0","7,808,364.0","7,819,072.0","7,884,494.0","7,938,404.0","7,929,625.0","7,889,058.0","7,872,261.0","7,892,958.0","7,908,143.0","7,934,257.0","8,056,636.0","8,119,159.0","8,144,096.0","8,226,662.0","8,228,338.0","8,319,673.0","8,343,109.0","8,479,436.0","8,576,441.0","8,680,750.0","8,772,789.0","8,877,586.0","8,923,446.0","8,966,243.0","9,070,419.0","9,125,969.0","9,211,149.0","9,354,780.0","9,445,706.0","9,566,933.0","9,668,946.0","9,780,896.0","9,940,371.0","10,059,158.0","10,166,227.0","10,309,606.0","10,460,109.0","10,561,799.0","10,703,281.0","10,775,012.0","10,872,550.0","11,059,552.0","11,284,543.0","11,347,100.0","11,430,815.0","11,408,322.0","11,522,747.0","11,482,003.0","11,428,846.0","11,373,590.0","11,514,326.0","11,577,439.0","11,564,255.0","11,612,539.0","11,647,607.0","11,765,323.0","11,866,207.0","11,996,416.0","12,094,223.0","12,211,928.0","12,341,102.0","12,431,796.0","12,562,192.0","12,655,747.0","12,750,733.0","12,902,171.0","13,106,324.0","13,150,828.0","13,214,197.0","13,300,731.0","13,214,187.0","13,232,166.0","13,189,439.0","13,236,898.0","13,321,445.0","13,283,539.0","13,194,795.0","12,857,447.0","12,660,271.0","12,579,865.0","12,601,815.0","12,757,765.0","12,933,373.0","12,983,741.0","13,106,901.0","13,143,730.0","13,228,630.0","13,242,501.0","13,234,475.0","13,379,343.0","13,505,480.0","13,481,034.0","13,537,268.0"
"32","12","  Gross national income \2\","A023RX1","4,242,434.0","4,268,675.0","4,298,379.0","4,291,936.0","4,261,234.0","4,260,324.0","4,296,577.0","4,251,838.0","4,342,986.0","4,376,027.0","4,410,037.0","4,466,772.0","4,529,531.0","4,589,156.0","4,668,379.0","4,793,420.0","4,886,136.0","4,915,015.0","4,934,761.0","4,990,279.0","4,956,597.0","4,933,203.0","4,907,401.0","4,835,873.0","4,771,055.0","4,814,048.0","4,916,036.0","4,972,917.0","5,072,730.0","5,106,300.0","5,142,705.0","5,161,247.0","5,217,305.0","5,346,839.0","5,449,777.0","5,476,127.0","5,511,595.0","5,669,154.0","5,710,855.0","5,766,542.0","5,816,933.0","5,791,383.0","5,812,894.0","5,852,187.0","5,853,752.0","5,737,403.0","5,763,709.0","5,895,356.0","5,949,850.0","5,943,903.0","6,039,876.0","5,973,676.0","5,926,122.0","5,961,788.0","5,922,635.0","5,892,158.0","5,959,985.0","6,061,396.0","6,146,957.0","6,276,075.0","6,437,463.0","6,557,827.0","6,631,467.0","6,698,309.0","6,740,668.0","6,784,528.0","6,853,425.0","6,899,066.0","6,966,133.0","6,972,102.0","7,017,093.0","7,056,371.0","7,117,843.0","7,233,990.0","7,340,805.0","7,447,398.0","7,540,814.0","7,622,818.0","7,680,834.0","7,787,761.0","7,829,788.0","7,808,402.0","7,845,498.0","7,864,381.0","7,927,047.0","7,982,312.0","7,966,624.0","7,957,153.0","7,923,565.0","7,929,281.0","7,940,076.0","7,976,423.0","8,098,295.0","8,160,080.0","8,180,839.0","8,264,578.0","8,275,878.0","8,358,423.0","8,389,411.0","8,506,085.0","8,611,794.0","8,711,103.0","8,800,085.0","8,904,159.0","8,961,870.0","9,007,970.0","9,094,751.0","9,164,225.0","9,256,758.0","9,389,846.0","9,476,833.0","9,604,128.0","9,695,851.0","9,817,120.0","9,967,522.0","10,078,739.0","10,196,169.0","10,336,608.0","10,471,697.0","10,575,408.0","10,730,070.0","10,807,544.0","10,901,498.0","11,100,405.0","11,320,129.0","11,386,502.0","11,465,399.0","11,470,271.0","11,568,812.0","11,537,218.0","11,458,756.0","11,472,409.0","11,570,555.0","11,613,714.0","11,616,458.0","11,683,648.0","11,703,632.0","11,835,828.0","11,936,349.0","12,093,760.0","12,210,369.0","12,301,160.0","12,441,123.0","12,505,233.0","12,670,597.0","12,752,647.0","12,856,973.0","12,979,079.0","13,184,566.0","13,223,668.0","13,273,264.0","13,369,555.0","13,280,613.0","13,307,069.0","13,325,416.0","13,421,947.0","13,486,339.0","13,449,698.0","13,375,351.0","12,965,782.0","12,768,811.0","12,685,596.0","12,750,363.0","12,919,311.0","13,107,766.0","13,180,585.0","13,304,435.0","13,336,687.0","13,439,178.0","13,463,905.0","13,462,301.0","13,611,178.0","13,692,895.0","13,696,049.0","13,753,531.0"
