"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"45","27","  Fixed investment","A007RX1","1,231,160.0","1,341,584.0","1,465,355.0","1,624,368.0","1,775,490.0","1,906,769.0","1,870,658.0","1,791,496.0","1,854,712.0","1,992,451.0","2,122,330.0","2,172,730.0","2,130,607.0","1,978,597.0","1,602,236.0","1,598,660.0","1,704,458.0"
"46","28","    Nonresidential","A008RX1","787,887.0","861,477.0","965,460.0","1,081,411.0","1,194,270.0","1,311,306.0","1,274,763.0","1,173,684.0","1,189,553.0","1,262,985.0","1,347,325.0","1,455,476.0","1,549,952.0","1,537,637.0","1,259,845.0","1,268,478.0","1,378,156.0"
"47","29","      Structures","B009RX1","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","438,208.0","466,409.0","368,141.0","310,626.0","319,156.0"
"48","30","      Equipment and software","B010RX1","489,402.0","541,419.0","615,869.0","705,233.0","804,986.0","889,245.0","860,550.0","824,223.0","849,991.0","917,298.0","995,571.0","1,071,137.0","1,106,761.0","1,059,396.0","885,167.0","963,936.0","1,069,966.0"
"49","31","        Information processing equipment and software","A679RX1","147,331.0","176,512.0","217,625.0","267,148.0","327,220.0","386,191.0","384,510.0","373,861.0","403,683.0","443,054.0","475,269.0","516,338.0","558,185.0","569,677.0","546,373.0","571,667.0","600,235.0"
"50","32","          Computers and peripheral equipment \4\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"51","33","          Software \5\","B985RX1","66,916.0","78,510.0","101,659.0","122,834.0","151,497.0","172,441.0","173,681.0","173,445.0","185,576.0","204,620.0","218,004.0","227,127.0","240,853.0","250,760.0","252,850.0","259,359.0","277,201.0"
"52","34","          Other","A937RX1","90,125.0","98,737.0","107,228.0","120,719.0","134,586.0","161,967.0","157,010.0","142,736.0","155,087.0","168,052.0","178,376.0","192,797.0","208,381.0","202,444.0","182,381.0","197,643.0","196,657.0"
"53","35","        Industrial equipment","A680RX1","145,468.0","150,866.0","154,122.0","160,830.0","161,822.0","175,799.0","162,836.0","151,898.0","151,638.0","147,385.0","159,643.0","172,900.0","179,860.0","172,852.0","136,219.0","134,641.0","152,559.0"
"54","36","        Transportation equipment","A681RX1","131,532.0","136,815.0","148,216.0","162,024.0","190,298.0","186,197.0","169,559.0","154,206.0","140,429.0","162,347.0","181,716.0","196,497.0","185,756.0","142,690.0","69,070.0","119,591.0","156,725.0"
"55","37","        Other equipment","A862RX1","110,581.0","114,795.0","125,890.0","138,761.0","142,418.0","150,422.0","149,274.0","148,157.0","155,037.0","164,425.0","178,943.0","185,491.0","184,237.0","177,821.0","145,487.0","149,934.0","168,578.0"
"56","38","    Residential","A011RX1","456,087.0","492,512.0","501,825.0","540,427.0","574,219.0","579,963.0","583,251.0","613,836.0","664,271.0","729,511.0","775,004.0","718,175.0","584,188.0","444,429.0","344,794.0","332,182.0","327,577.0"
"57","39","  Change in private inventories","A014RX1","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-139,013.0","50,914.0","31,022.0"
"58","40","    Farm","B018RX1","-13,034.0","8,294.0","3,679.0","1,639.0","-3,700.0","-1,775.0","115.0","-3,058.0","147.0","7,894.0","117.0","-3,687.0","-825.0","999.0","-1,381.0","-6,201.0","-3,820.0"
"59","41","    Nonfarm","A015RX1","44,263.0","23,183.0","73,563.0","69,460.0","70,789.0","61,248.0","-41,530.0","15,572.0","17,239.0","58,345.0","49,836.0","63,180.0","28,713.0","-37,588.0","-137,938.0","58,020.0","36,498.0"
"60","42","Net exports of goods and services","A019RX1","-98,776.0","-110,689.0","-139,794.0","-252,483.0","-356,417.0","-451,319.0","-471,841.0","-548,484.0","-603,677.0","-687,877.0","-722,733.0","-729,360.0","-648,812.0","-494,760.0","-355,181.0","-419,659.0","-408,007.0"
"61","43","  Exports","B020RX1","845,093.0","915,270.0","1,024,346.0","1,047,719.0","1,093,443.0","1,187,406.0","1,120,789.0","1,098,339.0","1,116,007.0","1,222,538.0","1,305,057.0","1,422,104.0","1,554,433.0","1,649,274.0","1,498,658.0","1,665,553.0","1,776,855.0"
"62","44","    Goods","A253RX1","574,783.0","625,478.0","715,402.0","731,363.0","759,190.0","843,388.0","791,179.0","762,706.0","776,396.0","842,616.0","906,086.0","991,484.0","1,088,118.0","1,156,989.0","1,018,565.0","1,164,128.0","1,247,632.0"
"63","45","    Services","A646RX1","272,560.0","291,652.0","308,946.0","316,397.0","334,564.0","343,522.0","329,288.0","335,595.0","339,553.0","379,968.0","398,971.0","430,629.0","466,339.0","492,310.0","479,578.0","501,926.0","529,806.0"
"64","46","  Imports","B021RX1","943,868.0","1,025,959.0","1,164,139.0","1,300,202.0","1,449,861.0","1,638,724.0","1,592,630.0","1,646,823.0","1,719,684.0","1,910,415.0","2,027,790.0","2,151,464.0","2,203,245.0","2,144,034.0","1,853,839.0","2,085,212.0","2,184,862.0"
"65","47","    Goods","A255RX1","765,468.0","837,221.0","957,877.0","1,071,366.0","1,204,955.0","1,366,695.0","1,323,078.0","1,372,202.0","1,439,859.0","1,599,307.0","1,707,980.0","1,809,086.0","1,856,127.0","1,784,844.0","1,506,442.0","1,730,330.0","1,820,037.0"
"66","48","    Services","B656RX1","180,873.0","190,331.0","206,876.0","229,372.0","244,877.0","271,694.0","269,573.0","274,514.0","279,752.0","311,022.0","319,810.0","342,387.0","347,120.0","359,750.0","347,761.0","356,611.0","366,598.0"
"67","49","Government consumption expenditures and gross investment","A822RX1","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,434,169.0","2,497,412.0","2,589,370.0","2,605,813.0","2,523,851.0"
"68","50","  Federal","A823RX1","704,137.0","695,980.0","689,135.0","681,396.0","694,644.0","698,070.0","726,459.0","779,491.0","831,073.0","864,998.0","876,300.0","894,939.0","906,088.0","971,105.0","1,030,644.0","1,076,821.0","1,047,003.0"
"69","51","    National defense","A824RX1","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,827.0","657,667.0","696,906.0","717,630.0","699,097.0"
"70","52","      Consumption expenditures","A997RX1","424,520.0","418,534.0","412,239.0","401,241.0","407,575.0","403,866.0","418,541.0","445,831.0","484,084.0","509,357.0","514,837.0","519,076.0","527,986.0","559,636.0","592,050.0","609,999.0","598,953.0"
"71","53","      Gross investment","A788RX1","52,770.0","52,298.0","46,766.0","47,534.0","49,273.0","50,299.0","52,744.0","59,641.0","65,306.0","71,103.0","74,210.0","79,374.0","84,002.0","98,679.0","105,606.0","108,379.0","100,446.0"
"72","54","    Nondefense","A825RX1","227,526.0","225,714.0","231,921.0","233,749.0","238,692.0","244,355.0","255,497.0","273,915.0","281,713.0","284,574.0","287,253.0","296,550.0","294,205.0","313,338.0","333,656.0","359,206.0","347,903.0"
"73","55","      Consumption expenditures","A542RX1","201,194.0","196,230.0","203,152.0","201,237.0","202,872.0","212,442.0","224,186.0","239,694.0","247,130.0","250,158.0","251,001.0","257,472.0","254,703.0","270,951.0","289,778.0","308,771.0","298,401.0"
"74","56","      Gross investment","A798RX1","27,103.0","29,340.0","28,988.0","31,981.0","34,774.0","31,643.0","31,337.0","34,171.0","34,579.0","34,432.0","36,252.0","39,095.0","39,544.0","42,450.0","43,850.0","50,722.0","49,859.0"
"75","57","  State and local","A829RX1","1,183,618.0","1,211,140.0","1,254,306.0","1,303,762.0","1,361,832.0","1,400,145.0","1,452,302.0","1,500,641.0","1,499,670.0","1,497,074.0","1,493,582.0","1,507,180.0","1,528,100.0","1,528,083.0","1,561,811.0","1,534,070.0","1,481,985.0"
"76","58","    Consumption expenditures","A991RX1","983,022.0","1,001,044.0","1,027,731.0","1,070,761.0","1,109,470.0","1,133,700.0","1,172,639.0","1,211,273.0","1,207,520.0","1,207,374.0","1,212,029.0","1,220,722.0","1,239,822.0","1,237,085.0","1,275,919.0","1,258,881.0","1,229,412.0"
"77","59","    Gross investment","A799RX1","201,907.0","211,133.0","227,125.0","233,711.0","252,697.0","266,578.0","279,740.0","289,443.0","292,241.0","289,753.0","281,553.0","286,445.0","288,319.0","290,963.0","286,312.0","275,846.0","253,550.0"
"78","60","Residual","AR05RX1","-291,300.0","-249,700.0","-199,500.0","-151,200.0","-92,800.0","-49,200.0","-49,800.0","-34,500.0","-19,700.0","-6,100.0","0.0","-4,400.0","-10,800.0","-4,500.0","11,400.0","-17,500.0","-57,400.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
