"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"45","35","Q1TRN1 C Transportation","Q1TRN10",590145,548976,581099,607632,643220,654605,687112,727445,779291,831555,853428,872041,890876,905316,921463,924391,916897
"46","36","Q1USE1 C   User-operated transportation","Q1USE10",546578,506072,538347,564422,596348,606135,635267,673892,723233,773447,793776,815692,834203,845935,859009,861199,853365
"47","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10909,10810,10665,10776,11229,11235,10959,10954,11819,12093,12227,12107,11717,11541,11565,11703,12124
"48","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",32539,31853,31965,32396,35523,37098,40812,42537,44182,46015,47425,44112,44831,48065,51544,52245,52197
"49","39","Q1RCR1 C Recreation","Q1RCR10",276538,280890,296605,322926,350906,383571,415047,447806,488671,540940,585712,612221,647850,688991,743720,792949,847795
"50","40","Q1TED1 C Education and research","Q1TED10",125594,127140,130509,132553,134784,138457,142730,145678,151899,157286,163771,170029,173507,176044,173923,175068,176871
"51","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",121229,122763,131339,133425,140703,142427,149909,149417,157771,162090,172284,181227,188963,189452,194383,193689,199370
"52","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-13133,-21452,-27770,-27714,-25202,-30483,-33131,-28618,-17740,-17654,-13023,-7424,-7972,-6508,-7898,-9666,-4799
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
