"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","3","B Manufacturing industries","KC300",14816,23204,21556,23396,33608,19388,11220,10332,13724,8112,15936,30036,-2720,20052,3572,10624,-8488,-23808,-28660,-24340,-14832,-11424,3396,-600,-2208,-14940,-16700,-3844,-708,6060,-1164,6020,31428,336,3480,11264,3836,12412,8912,-1792,-4984,-4180,3084
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","B     Durable goods industries","KC30D0",10016,16412,15088,12960,29196,19512,12680,10300,8668,-56,9224,16360,-5264,14844,3348,16100,-4364,-16244,-26924,-25284,-17568,-11504,-4104,5888,-4296,-15768,-13856,8164,-4488,2780,2232,6036,22276,2724,9688,9468,-2628,5416,11704,9704,752,-7460,1776
"14","5","D       Wood product manufacturing","KC3210",-652,188,1528,320,-524,320,912,1176,912,128,-560,1656,196,-16,-28,1004,-856,828,-148,-1320,1416,-140,-48,88,252,-956,-812,996,2196,-76,1164,-492,3520,-1000,-600,896,-2360,564,-416,-2108,-1552,-652,-448
"15","6","D       Nonmetallic mineral product manufacturing","KC3270",536,788,-420,-160,280,-84,-80,88,-180,-92,1040,568,-420,248,96,676,-128,-388,-560,-804,-504,-68,340,492,924,468,-372,-2064,-20,-208,104,644,400,-4,-488,-236,504,500,1084,556,-488,-784,-184
"16","7","D       Primary metal manufacturing","KC3310",-1064,-116,856,1972,828,2128,2808,664,-264,676,-316,1748,476,856,-1204,-1768,-1148,-2720,-1728,-1668,-2416,-688,532,1128,-652,-3852,-3116,-1860,-1680,1348,1416,3392,5700,1620,-1516,-1544,464,-72,3252,1224,-1164,-564,-856
"17","8","D       Fabricated metal product manufacturing","KC3320",544,1932,320,2376,780,3684,300,284,-32,336,1464,2040,-700,3876,-240,-392,236,-368,-1028,-3260,-740,-972,904,-328,5252,-3512,-3144,-1676,-2036,-1524,1316,1060,2676,1636,224,308,744,-240,80,1616,-232,-3080,284
"18","9","D       Machinery manufacturing","KC3330",1276,3652,-688,1740,3828,-444,3064,-1776,824,-908,-672,2572,-1024,3704,2720,5188,348,-4924,-5992,-6192,-1452,-4060,-1572,440,-4832,-2688,-2224,2284,-532,-516,-596,12,2052,2236,4268,-296,1416,296,1388,1992,1248,-484,2236
"19","10","D       Computer and electronic product manufacturing","KC3340",5616,7584,9428,4680,6072,104,-1372,-1884,7280,3584,4348,3860,1836,15332,7520,20012,2840,-4992,-15616,-11032,-3172,-6512,-52,-2508,-2860,-4060,1292,11356,352,5976,1384,2416,-1828,-612,4280,6680,6964,4732,4352,2552,-592,-1468,-760
"20","11","D       Electrical equipment, appliance, and component manufacturing","KC3350",-408,2052,556,-276,900,-760,756,1108,-444,684,184,-464,-464,1084,1220,1392,244,-1480,-1656,-880,-532,252,-320,-616,-580,-676,-968,284,-1100,152,556,-1020,80,-276,76,-132,820,-672,-56,1408,-492,-880,-16
"21","12","D       Transportation equipment manufacturing","KC3360",3500,-872,2728,28,15764,14300,5768,11336,-1296,-5596,3080,2904,-6536,-11868,-8672,-9424,-6552,-1248,12,512,-9200,-1008,-4144,6904,-4564,-352,-3484,-472,-436,-804,-2924,-1236,7728,-3456,1400,5504,-8624,2924,-188,1016,4164,2760,1792
"22","13","D         Motor vehicle and parts manufacturing","KC3MV0",2268,236,2124,-2496,3280,-716,-1708,3776,3024,-400,-124,4116,-552,1180,352,-1700,-3196,-488,-2904,-3300,-508,2772,1824,-8,-376,240,580,952,3076,-228,260,-2700,3876,-124,-2644,-268,-676,-344,-936,1156,-440,-3356,-1020
"23","14","D         Other transportation equipment manufacturing","KC3OT0",1192,-1124,564,2600,12500,15172,7548,7520,-4336,-5204,3208,-1220,-5996,-13056,-9004,-7724,-3368,-764,2904,3768,-8656,-3700,-5912,6808,-4172,-592,-4024,-1396,-3424,-584,-3184,1428,3848,-3344,4064,5836,-8032,3308,784,-172,4676,6296,2880
"24","15","D       Furniture and related product manufacturing","KC3370",72,576,-212,140,280,196,40,112,464,132,-40,824,540,552,332,-488,520,-472,-516,-1156,-228,572,400,520,732,40,-988,-644,-424,504,168,372,-164,276,544,236,228,-164,64,40,-408,-768,-384
"25","16","D       Miscellaneous durable goods manufacturing","KC3390",-156,-232,-260,1620,1156,420,796,-468,992,892,644,584,716,984,1620,92,160,-576,212,388,-568,968,8,-576,1864,-452,412,1544,-232,-1260,-392,356,-268,1492,2508,-92,-1544,-1096,1568,824,728,-908,252
"26","17","B     Nondurable goods industries","KC30N0",4748,6664,6364,10532,3932,-572,-1780,-184,5036,8456,6728,13736,2576,5140,172,-5388,-4088,-7592,-1880,1024,2820,48,7400,-6480,1952,484,-3028,-11476,3556,3224,-3232,124,9392,-2164,-5316,2156,5872,6828,-1984,-10268,-5340,2724,1296
"27","18","D       Food manufacturing","KC3110",-788,1452,716,1780,812,-400,-564,600,1872,800,1860,1988,3484,-1372,-352,160,-1152,-96,-1320,1324,412,2512,-8,-1492,40,-1128,-1096,-1656,-300,-2028,-200,-996,-816,688,468,-1392,1592,296,772,1892,-2108,264,1772
"28","19","D       Beverage and tobacco product manufacturing","KC3120",-324,936,1340,932,912,-1508,-680,956,-952,40,-1472,1720,516,100,228,-1284,744,52,1160,308,684,244,288,-1072,-1048,336,-540,-364,-52,1064,1368,-1944,-224,52,-548,988,-1228,-796,-292,72,64,524,-808
"29","20","D       Textile mills","KC3130",248,-16,-72,-80,312,-20,164,60,-152,196,100,608,-648,-268,-436,-340,-584,-200,-640,-1044,-1020,-516,216,208,380,328,-176,-552,-140,-212,-116,-244,-456,-92,-340,264,-24,-456,96,-756,-772,-260,96
"30","21","D       Textile product mills","KC3140",116,512,288,156,-52,-412,-180,-236,292,552,124,404,436,716,324,192,36,-140,188,588,-1680,-596,-808,-1252,300,-72,-88,372,-124,-4,204,-240,592,-176,-148,344,-184,156,28,-488,-316,-108,-112
"31","22","D       Apparel manufacturing","KC3150",32,1208,552,-64,-60,-576,200,196,-28,908,1336,344,-644,-724,-228,468,-940,-996,-2328,-2220,-1420,-212,804,652,884,92,-436,-488,-948,-72,360,-48,304,-188,-528,-852,-248,-340,-1320,344,-256,580,-408
"32","23","D       Leather and allied product manufacturing","KC3160",-264,308,-20,156,144,76,-16,-108,-156,76,64,56,-56,-108,-48,-196,-24,-508,60,-196,-420,-52,32,144,-392,-80,-48,288,-116,-68,-88,196,100,68,56,-4,-380,64,108,8,44,-8,-32
"33","24","D       Paper manufacturing","KC3220",1740,-1680,860,1344,8,724,-544,-1652,808,1232,2144,4,1204,288,-972,-2696,-1828,-1304,384,1996,1696,1708,1096,1100,-1312,284,-912,-1220,-1332,8,748,816,1300,612,-1556,-484,452,-620,48,-380,-656,104,1100
"34","25","D       Printing and related support activities","KC3230",-300,528,-268,900,-1024,-84,588,-1472,576,948,348,932,456,-712,-228,-952,-276,-988,-184,384,-416,1752,-364,812,-52,-972,-88,-180,-540,-16,420,-40,80,36,-400,-424,-224,176,-32,-360,52,140,268
"35","26","D       Petroleum and coal product manufacturing","KC3240",3164,144,1136,552,-3100,-488,-1292,1704,-1544,-2916,2168,1104,-656,2052,-1500,-1124,1120,2028,1212,452,-632,-1228,708,-1272,608,804,1012,-2044,3016,1640,-1924,-52,4384,-2572,1912,188,1072,5032,-1740,-4012,-380,1216,948
"36","27","D       Chemical manufacturing","KC3250",800,2284,2232,4296,4664,1048,-400,-692,2776,4864,-616,5580,-668,3856,3952,276,-656,-3016,-272,-680,556,-1228,4500,-2600,2120,-204,708,-4784,3404,2372,-4400,2760,1804,704,-3720,2584,3144,-572,672,-3380,-1576,-908,-2684
"37","28","D       Plastics and rubber product manufacturing","KC3260",928,828,-156,564,172,920,352,1452,832,548,1224,1136,-876,1268,-564,176,-388,-2064,0,84,4960,-2568,864,-1564,372,1080,-1436,-784,-8,316,1048,-412,1324,-464,-1852,624,1104,752,464,-1176,456,836,848
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","KC30M0",11032,8000,12616,6688,14776,6852,2708,-5720,8428,3044,5480,18064,-988,13956,7176,2472,-1008,-10864,-13996,-8072,2052,-5636,-2016,-6524,-1848,-7584,-10464,-1936,4228,-212,1992,4724,8228,940,-460,3048,-168,848,4380,-6200,-416,-3220,148
"40","30","D       Durable goods industries","KC30DM0",6536,7392,10404,5292,10676,8476,3080,-2996,7112,644,3440,11248,-1556,14668,8820,8588,-1312,-8032,-13324,-7912,-1300,-6440,-3004,-3720,-2744,-6188,-8488,2068,2232,2432,1644,4936,6104,2944,1520,188,-848,160,5028,1652,-1048,-4808,-3548
"41","31","D       Nondurable goods industries","KC30NM0",4500,404,2008,1320,3988,-1892,-448,-2732,1200,2468,2036,6796,560,-780,-1652,-6032,312,-2848,-764,-144,3352,800,944,-2824,824,-1484,-2084,-3832,1988,-2520,384,-100,2212,-1792,-1780,2672,648,704,-412,-7428,572,1372,3356
"42","32","D     Work-in-process","KC30W0",-44,-956,5296,8620,8608,13132,3560,4936,-80,-2264,3060,3844,-4800,-2976,-11528,3028,-7664,-9756,-3148,-12532,-8680,-404,2352,5312,4000,-6032,-3304,1004,-200,-1132,-10232,2316,8912,-2016,8796,9380,-748,12012,-452,7568,-164,2556,-48
"43","33","D       Durable goods industries","KC30DW0",568,-2636,1464,5528,10060,12148,5212,4752,-2188,-5320,5516,1204,-3084,-4564,-11512,2300,-5268,-7888,-5448,-11032,-10432,-1844,-1684,10392,-552,-5200,-3600,5084,-4224,-1168,-6092,920,6292,296,7380,9736,248,5820,1760,8864,-348,3300,4272
"44","34","D       Nondurable goods industries","KC30NW0",-652,1784,3992,3152,-1656,864,-1816,132,2252,3280,-2644,2684,-1732,1612,-24,728,-2380,-1868,2272,-1472,1808,1412,3992,-5056,4400,-872,240,-3876,3784,8,-4032,1324,2552,-2140,1472,32,-844,5700,-1900,-868,156,-544,-3580
"45","35","D     Finished goods","KC30F0",3708,16312,3464,8104,10156,-684,4996,11308,5364,7388,7408,8116,3084,9072,7912,5120,160,-3232,-11496,-3724,-8112,-5436,3032,588,-4332,-1336,-2920,-2884,-4800,7432,6896,-1068,14328,1320,-4584,-888,4708,-20,4848,-2700,-4392,-3332,2964
"46","36","D       Durable goods industries","KC30DF0",2800,11588,3028,2108,8440,-1144,4420,8664,3700,4616,260,3876,-632,4732,6048,5220,2212,-356,-8172,-6324,-5744,-3276,572,-852,-996,-4372,-1756,1012,-2560,1496,6700,84,9948,-592,848,-280,-2024,-440,4832,-668,2220,-5740,1340
"47","37","D       Nondurable goods industries","KC30NF0",856,4508,364,6112,1524,508,464,2472,1608,2720,7308,4252,3744,4308,1852,-84,-2032,-2876,-3372,2624,-2336,-2160,2452,1408,-3288,2848,-1180,-3764,-2252,5808,404,-1104,4640,1804,-5040,-568,6108,384,348,-1932,-6112,1912,1608
"48","38","B Wholesale trade industries","KCWT0",22304,32736,15820,29372,28844,10180,30244,20888,19968,9136,23996,25740,19448,24792,14572,11612,904,2784,-18184,-28412,-15444,4,12452,8256,-1892,-6228,2020,9480,8008,12488,28420,23008,26228,14052,6528,19212,17552,23080,36132,6532,4420,-192,15320
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","B     Durable goods industries","KCWTD0",15284,27152,7172,15544,24524,4556,20272,17316,13028,10032,11544,18792,12688,23080,5876,6188,100,-17160,-21264,-26728,-16392,-2440,12392,4772,3228,-5112,-6420,13468,14912,14872,25524,14064,18376,8988,2164,21404,8748,15808,31956,5388,8720,-13304,1360
"51","40","B     Nondurable goods industries","KCWTN0",6864,4848,8920,14088,3684,5796,9828,3172,6900,-1196,12640,6844,6760,1692,8712,5428,856,19420,2884,-1772,796,2340,212,3428,-4836,-1236,7888,-3376,-6012,-1732,3576,8932,8040,5076,4100,-916,8568,7536,5540,1348,-3368,10848,12516
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","B     Merchant wholesale industries","KC42W0",18704,28620,15396,26404,25784,10196,28412,16976,17796,5976,21560,24848,18172,22000,11232,8864,576,3368,-12340,-25188,-12480,1676,10272,7916,1956,-6964,2060,8188,7080,9824,26200,25168,18772,14304,8064,20588,13804,24768,28820,1856,3268,3276,17104
"54","42","B       Durable goods industries","KC42WD0",12420,24188,7444,13980,21576,5032,18452,14232,11240,7144,10864,18624,11824,21272,3104,3832,-200,-16700,-16556,-23700,-14308,-1520,10996,4916,5804,-5060,-5992,11460,13212,14832,22404,15964,12628,9852,2316,21744,7572,17268,23080,-220,4260,-9416,3644
"55","43","D         Motor vehicles, parts, and supplies wholesalers","KC42110",1794,4474,1394,-1977,4753,-7114,1114,3022,1733,2276,3608,1664,3038,2549,-3874,1184,-1179,-2796,660,-3421,-2069,3584,5282,4599,1807,702,-4493,7727,5201,42,5886,-3870,-346,9129,-1891,6062,4634,996,2682,-3436,-1000,-3186,2403
"56","44","D         Furniture and home furnishings wholesalers","KC42120",-717,784,412,236,-134,617,203,-101,130,186,44,751,551,1050,-274,365,87,-1159,-238,-667,-571,404,773,433,542,466,-343,717,691,-138,161,-249,208,-508,573,443,-435,871,385,619,604,-165,11
"57","45","D         Lumber and other construction materials wholesalers","KC42130",196,923,414,-28,-193,91,-182,80,116,365,433,633,782,536,-302,776,-559,-1179,1390,523,-536,84,1095,1148,758,178,765,3378,1794,1790,1469,2043,2323,-2316,-1923,4291,49,1495,1083,-368,-1525,-1706,-356
"58","46","D         Professional and commercial equipment wholesalers","KC42140",1744,7052,3932,3492,6712,188,1312,-448,3620,1868,1972,6276,-4,692,3156,-288,-184,-1324,-3720,-2444,512,4160,2036,-44,3792,-696,2576,-488,1312,3292,3292,5292,1204,4196,872,3360,4304,4272,8388,3772,6208,1640,4132
"59","47","D           Computers and software wholesalers","K421430",1660,4597,2823,1686,4719,513,198,1613,1277,2310,854,4330,-3125,-895,2886,-546,871,-2418,-1634,-1244,2539,3066,884,-2215,4942,1383,638,3044,524,4349,1465,5377,1988,1725,4279,1692,3421,1546,8980,1428,4223,4229,9163
"60","48","D           Other professional and commercial equipment wholesalers","K4214X0",-795,1380,401,1952,1133,-552,1332,-2677,2475,-707,1117,1835,3241,1565,239,191,-942,825,-2031,-1197,-1367,1421,1150,1476,-51,-1423,1678,-2185,724,107,1723,1147,-125,2232,-1412,1622,1503,2307,2005,1984,2500,-552,-731
"61","49","D         Metal and mineral (except petroleum) wholesalers","KC42150",2067,1047,-117,193,1385,469,2191,1624,-1432,1044,-611,2167,2602,1388,-78,-2529,-1118,-161,-781,-1503,-1312,-385,1786,-1165,-1209,-609,-601,1507,3337,348,2185,3317,1648,-249,-1672,-1117,143,3765,3823,977,-1259,-1250,-2254
"62","50","D         Electrical goods wholesalers","KC42160",3129,560,-99,-496,2802,2606,1405,872,473,1507,4402,6680,1350,3693,4267,4598,495,-3903,-7621,-7737,-4593,-1895,2666,161,-923,-926,-252,520,4586,3774,587,1592,1882,547,1546,2591,1838,1810,4964,1708,-186,197,-37
"63","51","D         Hardware and plumbing and heating equipment wholesalers","KC42170",-684,939,217,-12,1608,1227,61,383,289,61,-93,614,868,1990,48,745,-894,-802,328,-1004,-630,55,409,58,1671,-1020,-703,-50,-174,899,1592,788,-221,-26,20,2135,1587,825,541,-1257,-200,438,1102
"64","52","D         Machinery, equipment, and supplies wholesalers","KC42180",3283,7707,-2098,9282,3043,4892,7248,7480,3874,727,928,-1133,841,4433,638,-2924,2201,-1155,-5692,-7037,-3763,-5900,-942,-489,-208,-2711,-2333,-3157,-213,3747,3196,6863,3189,1848,4570,4585,1533,5910,3532,571,2611,-1523,2115
"65","53","D         Miscellaneous durable goods wholesalers","KC42190",1197,-1125,1949,2725,379,2217,5513,1885,2125,-1080,-37,726,1807,4924,-479,1912,947,-4245,-1060,-236,-1089,-1007,-1951,234,85,-340,-29,1215,-2993,1570,3916,-218,2167,-682,847,725,-3834,-2843,-777,-1822,1371,-2301,-391
"66","54","B       Nondurable goods industries","KC42WN0",6216,3888,8140,12616,3820,5264,9916,2512,6548,-1340,10808,6120,6356,716,8144,5020,816,19496,4000,-1636,1612,3080,-540,2964,-3544,-1976,7520,-2752,-5384,-4280,4224,9184,6200,4516,5472,-252,6164,7732,6296,1944,-700,11056,12420
"67","55","D         Paper and paper products wholesalers","KC42210",789,308,1717,132,349,-134,-137,527,528,228,290,-861,1343,-302,406,469,-356,-267,-375,-688,-624,614,-678,-192,258,-257,-355,849,480,432,810,182,60,856,173,-56,-581,-608,221,-80,576,922,33
"68","56","D         Drugs and druggists' sundries wholesalers","KC42220",1246,1233,3241,1206,3124,-1181,-8,1906,3434,5772,1893,1609,4418,2870,4542,5151,1897,10197,8719,4878,-882,-1607,-974,6762,4158,-198,495,-4219,2564,-1666,-179,-2890,-3178,-2034,-1113,1759,2071,4402,927,-502,-2680,3066,-521
"69","57","D         Apparel, piece goods, and notions wholesalers","KC42230",2180,1569,-107,2009,-854,492,4,413,-1339,-2763,-791,1735,735,-183,240,-932,2267,2108,-1377,-3441,-320,229,3930,-1568,-227,207,-2262,-518,-492,-1652,2465,729,1652,2152,-157,-1082,-796,-530,1799,545,462,817,1259
"70","58","D         Grocery and related products wholesalers","KC42240",-31,764,-289,3384,-431,2018,-417,-1253,2676,-703,3542,2502,-361,-1609,3090,676,-2525,-702,-1560,-16,489,5537,182,440,-46,-3225,2136,-1391,496,-175,-637,-55,1665,705,2622,1798,765,2533,1272,2331,2397,3198,-857
"71","59","D         Farm product raw material wholesalers","KC42250",893,-33,809,2779,-1276,1379,6471,1059,290,1149,4077,-1742,1117,-573,1568,371,-963,3290,134,-1065,1421,383,-2867,-2162,-3675,1175,2913,3824,-1104,-4650,-1658,1868,5474,1534,1347,-1502,845,2436,1554,2812,-4211,3024,9856
"72","60","D         Chemical and allied products wholesalers","KC42260",466,729,38,-29,-376,508,1244,288,168,-222,56,620,5,-335,-836,-430,-158,586,440,-88,321,52,575,211,-919,-118,-300,443,-2052,42,378,505,689,537,-181,-916,410,67,-312,159,695,-430,155
"73","61","D         Petroleum amd petroleum products wholesalers","KC42270",-940,469,-69,953,1485,1658,2050,-2258,391,-2198,-1486,-2436,-1402,200,-843,129,321,644,494,3921,1483,-2284,-582,-628,-3895,3080,501,-792,-1838,-493,2359,2839,1523,-844,1416,-1018,1489,-454,460,-1075,-590,401,-727
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",-1260,900,410,1355,1351,-476,495,-555,2503,-908,-311,127,352,-242,178,659,-798,542,-271,-292,1113,-270,376,713,725,-239,391,-28,-1179,1545,-233,1250,119,68,818,221,473,148,903,498,1376,822,519
"75","63","D         Miscellaneous nondurable goods wholesalers","KC42290",2640,-1903,2614,248,1468,1180,52,1146,-2121,-2551,2875,3819,40,925,-151,-1050,1061,3024,-2177,-4117,-1177,-196,-365,-541,706,-2675,3461,-1549,-1871,3239,793,3760,-2236,2203,-204,1301,216,375,-345,-2220,2846,-813,964
"76","64","B     Nonmerchant wholesale industries","KC42N0",3624,4108,360,2932,3004,-96,1688,3964,2124,3236,2380,820,1268,2796,3348,2744,320,-600,-5884,-3212,-2984,-1720,2196,324,-3844,732,-52,1288,904,2632,2232,-1980,7200,-168,-1388,-1040,3596,-1208,7044,4360,1108,-3172,-1448
"77","65","D       Durable goods industries","KC42ND0",2848,2976,-248,1568,2952,-468,1824,3080,1788,2884,684,172,864,1808,2772,2356,300,-456,-4712,-3028,-2084,-920,1396,-148,-2600,-48,-424,2004,1704,16,3116,-1956,5800,-892,-164,-396,1176,-1544,8980,5720,4544,-3944,-2352
"78","66","D       Nondurable goods industries","KC42NN0",616,988,716,1388,-232,472,-340,692,232,192,1820,704,392,984,572,408,20,-148,-1184,-144,-888,-796,796,464,-1284,744,344,-616,-668,2448,-620,-152,1736,560,-1056,-580,2160,60,-456,-480,-2328,108,408
"79","67","B Retail trade industries","KC440",-1900,21476,18988,20016,39356,11092,10168,8576,33956,12660,16628,47388,8168,36368,23084,18844,-17096,5888,5316,-37396,21012,28504,18676,28920,23544,9548,19404,10936,24624,28640,16868,18460,10292,-9488,-2792,24984,15792,8176,1060,120,-13512,3300,14484
"80","68","D   Motor vehicle and parts dealers","KC4410",-3932,4456,7228,12560,15116,-300,-3780,-1964,21272,424,7708,22836,4212,24352,15992,4660,-21084,9508,6968,-30704,21908,20064,4036,27676,18988,15712,8252,7656,14944,15112,7604,-6684,-956,-20644,-4360,17592,6132,320,-8680,-11156,-15356,-5248,13308
"81","69","D   Furniture, furnishings, electronics, and appliance stores","KC44230",1383,1254,640,777,2440,999,2133,2138,1366,2718,2062,2325,2362,3173,-521,3389,-35,-2498,-1360,1523,3904,1352,2825,-983,-143,1817,1647,3124,2519,2386,3312,5695,-1908,3665,-283,2944,2140,1410,581,-1094,1787,589,3010
"82","70","D   Building material and garden equipment and supplies dealers","KC4440",165,1968,2468,921,3061,276,3112,2907,2109,1202,1575,4276,881,3483,2231,-1074,177,360,-291,-344,2876,-738,1635,2138,1040,-805,4407,-91,1640,2535,-430,4493,1795,451,1831,3856,1406,-233,-521,-4638,77,3666,-985
"83","71","D   Food and beverage stores","KC4450",280,40,1896,-780,2300,1980,8,696,1768,880,2812,1920,208,-1700,736,144,1544,696,-464,1136,-1216,340,1348,168,144,-1756,1384,-3628,284,848,496,-148,-32,80,-1548,1464,1332,996,52,-288,-140,680,1784
"84","72","D   Clothing and clothing accessories stores","KC4480",-1854,3462,1652,1417,1795,1940,2090,-1226,2217,1704,-2857,4027,165,2279,3254,4427,-516,-682,141,-3209,-2603,3210,3556,2220,2625,-1897,270,690,846,3664,2192,3183,4443,1774,1117,-462,2849,3162,1833,6988,-2080,-1781,-804
"85","73","D   General merchandise stores","KC4520",-2900,3212,-1220,1592,1948,472,2688,-1612,2112,936,2424,5316,704,2004,-1028,2576,6216,316,-1856,-5200,-3448,504,4072,3752,-832,-56,2172,2068,5184,3496,1132,7068,6036,1552,1452,-944,-3524,-312,5668,5016,2252,2468,-1732
"86","74","D     Department stores","KC45210",-1396,1965,-1448,1915,230,-697,823,-3169,626,-469,0,2465,-1296,48,-2232,980,1543,-1379,-1412,-7134,-5016,-1809,88,508,-2169,-1112,-1220,-2289,1381,426,-996,1689,4023,-3119,-171,-1121,-5045,-1958,2949,2314,-896,1681,-398
"87","75","D     Other general merchandise stores","KC45290",-1513,1253,233,-335,1737,1183,1879,1580,1495,1416,2435,2858,2008,1956,1202,1590,4660,1682,-443,1879,1524,2278,3938,3212,1309,1032,3331,4259,3756,3010,2067,5296,2034,4501,1583,155,1392,1563,2699,2669,3032,806,-1298
"88","76","D   Other retail stores","KC44X0",4604,7056,6464,3604,12772,5700,3700,7700,3108,4740,2912,6648,-396,2792,2408,4752,-3344,-1920,2144,-584,-116,3984,1268,-5620,2120,-2780,1440,1884,-144,1156,3036,4444,492,2628,-1212,1292,5408,2708,1512,4320,-940,1948,1288
"89","77","B Other industries","KCOTH0",8628,4596,3072,5360,2992,5264,5620,9596,7832,9428,7208,4916,12868,14196,17492,5028,2204,-556,-256,-756,-3028,1492,-1568,-2332,-1176,4000,1056,1384,5684,4716,6596,5732,-2228,-1924,-3864,-1344,3116,5852,4972,1992,2308,620,316
