"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9
"12","5","  Taxes on corporate income","W025RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7
"13","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"14","7","Contributions for government social insurance","W782RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.7,6.9,7.1,8.1,9.1,10,11.4,11.4,13.9,16.5,17.1,19.2,21.7,22.5,23.5,31.4,35,38.8,44.3
"15","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,2.7,2.9,3.2,3.4,3.7,4.1,4.7,5.5,6.4,7
"16","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,2.7,2.9,3.2,3.4,3.7,4.1,4.7,5.5,6.4,7
"17","10","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","Current transfer receipts","W060RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,0.8,0.9,1.1,1.2,1.3,1.6,1.9,2.2,2.5,2.6,2.7
"19","12","  From business (net)","W061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6
"20","13","  From persons","W062RC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1
"21","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1
"22","15","    Current expenditures","W022RC1",8,8.4,9.8,8.8,9.2,10.7,11.2,12.8,12,13.2,14.3,15,19.6,38.4,60.2,74.7,78.7,53.9,48.7,51.9,57.7,59.2,69.7,79.7,85.5,84.4,87.5,92.2,102.4,110.7,115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267
"23","16","Consumption expenditures","A955RC1",6.5,6.8,6.9,6.6,6.7,7.8,8.1,9,9,9.6,10.3,10.7,15.7,34.2,55.8,68.7,68.9,36.1,31.7,33.5,36.9,36.9,50.4,61.3,66.5,63.6,65.5,68.5,75.3,79.5,80.7,83.3,88.2,96.8,102.7,108.6,115.9,131.8,149.5,165.7,178.2
"24","17","Current transfer payments","A084RC1",0.8,0.9,2,1.3,1.3,1.4,1.6,2.7,1.7,2.2,2.3,2.4,2.3,2.4,2,2.6,5.5,12.4,12.4,13.7,16,17,13.7,13.2,13.7,15.6,16.9,17.6,20.1,24.2,26.9,28.1,31.9,32.8,34.3,35.1,38,42,50.3,58.4,64.1
"25","18","  Government social benefits","W063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6
"26","19","    To persons","A063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59
"27","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6
"28","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.2,2.2,2.1,1.9,2.2,2,2,2,4,3.5,3.5,3.6,3.6,3.4,3.6,4,4,4.5,4.5
"29","22","Interest payments \1\","A180RC1",0.7,0.7,0.9,0.9,1,1.1,1,0.9,1.1,1.1,1.1,1.3,1.3,1.5,2,2.6,3.3,4.2,4.3,4.4,4.5,4.7,4.8,4.9,5,5.2,5.3,5.8,6.3,6.1,7.3,10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.2
"30","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,9.9,10.7,11.6,12.5,13.2,14.5,15.8,18.1,19.4
"31","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"32","25","Subsidies \2\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5
"33","26","Less: Wage accruals less disbursements","A184RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5
"35","28","Social insurance funds","A221RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.3,3.2,2.5,1.6,-0.2,2.7,2.7,2.2,1.3,1.6,1.8,1.2,-2.6,-0.7,0.4,-2.3,-0.6,0.9,1.3,0.5,6.1,4.2,3.3,5.9
"36","29","Other","A391RC1",2.5,1.5,-1.2,-0.7,-0.6,-1,-0.8,-1.2,0.9,-0.4,-1.1,0.6,2.5,-9.4,-15.9,-29.2,-31.6,-6.8,3.5,2.4,-5.7,7.1,9.5,4,3.1,0.3,7.5,10.1,6.2,0.1,7.7,11,9.2,8.2,10.1,6,9.2,3.9,-6.6,1.7,10.7
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W066RC1",10.8,10.2,8.9,8.3,8.8,9.9,10.8,12.4,14.8,14.4,14.7,17.1,24.3,31.8,48.2,50.1,52.2,51.3,56.4,57.8,54.5,66.9,82.9,87.5,92,87.1,97.9,105.8,111.6,109.9,124.8,136.6,141.5,153.2,165.1,169.9,183.9,206.7,221.7,256.2,288.2
"39","31","    Current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.2,109.8,108.2,123,134.4,139,150.6,162.2,166.6,180.3,202.8,217.7,252.1,283.5
"40","32","    Capital transfer receipts","W067RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.6,1.8,1.7,1.8,2.2,2.5,2.6,2.9,3.3,3.6,3.9,4,4.1,4.6
"41","33","  Total expenditures","W068RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.7,149.6,161.5,169.1,177.8,189.1,214.7,242.9,268.3,286.7
"42","34","    Current expenditures","W022RC1",8,8.4,9.8,8.8,9.2,10.7,11.2,12.8,12,13.2,14.3,15,19.6,38.4,60.2,74.7,78.7,53.9,48.7,51.9,57.7,59.2,69.7,79.7,85.5,84.4,87.5,92.2,102.4,110.7,115.9,123,132.2,142.9,151.2,159.3,170.6,192.8,220,247,267
"43","35","    Gross government investment","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3
"44","36","    Capital transfer payments","W069RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"45","37","    Net purchases of nonproduced assets","AD07RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.5,1.7,1.7,1.9,1.8,2,1.2,0.5,1.1
"46","38","    Less: Consumption of fixed capital","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7
"47","39","  Net lending or net borrowing (-)","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-8,-8.3,-4.1,-7.9,-5.2,-8,-21.2,-12.1,1.4
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
