"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Metal mining","B1726C0",132,130,110,128,146,171,195,183,167,226,285,330,304,545,371,463,720,604,533
"14","7","  Coal mining","B1727C0",125,212,214,275,283,428,599,744,799,874,913,949,1081,1250,1210,1143,1260,1376,1124
"15","8","  Oil and gas extraction","B1728C0",508,512,504,655,597,689,950,1176,1447,1608,2059,2647,4233,6402,6412,6260,7855,5524,4571
"16","9","  Nonmetallic minerals, except fuels","B1729C0",252,249,273,303,365,365,387,372,450,486,572,749,708,564,703,866,925,1004,1050
"17","10","Construction","B1730C0",1645,1818,1897,2163,2489,2756,3043,3069,3282,3988,4785,5395,6533,7183,6837,7831,8597,8487,9120
"18","11","Manufacturing","B1731C0",24770,26251,27736,29477,31412,34748,37904,41280,48277,52670,60525,69976,88901,106008,115556,133009,143785,143031,144874
"19","12","  Durable goods","A1732C0",13223,14031,14571,15410,16375,18749,20311,21666,24549,26816,30697,35530,44829,51650,54614,65940,69241,69922,71877
"20","13","    Lumber and wood products","B1733C0",469,537,585,694,895,1114,1221,1301,1459,1670,1954,2270,2531,2684,2754,2801,3115,3201,3283
"21","14","    Furniture and fixtures","B1734C0",152,135,146,160,194,206,218,227,241,292,352,385,454,555,606,723,938,853,975
"22","15","    Stone, clay, and glass products","B1735C0",899,907,929,1025,1121,1284,1382,1417,1484,1781,2106,2415,2755,3053,3065,3411,4039,3771,3704
"23","16","    Primary metal industries","B1736C0",2528,2575,2535,2497,2719,3216,3328,3758,4107,4624,5119,5635,6671,6763,6306,6394,5031,4970,4512
"24","17","    Fabricated metal products","B1737C0",1081,1148,1136,1213,1291,1440,1610,1778,1961,2272,2626,3050,4050,4837,5104,5389,6271,5845,5948
"25","18","    Machinery, except electrical","B1738C0",2137,2694,2861,3060,3273,3591,3882,4359,4984,5234,5995,7201,9270,11340,11258,11984,11850,11232,11669
"26","19","    Electric and electronic equipment","B1739C0",1508,1711,1935,2123,2344,2691,2949,3207,3579,3488,4064,4922,6716,8093,8884,10821,13955,12354,13261
"27","20","    Motor vehicles and equipment","B1740C0",2674,2399,2396,2534,2587,2962,3209,3355,4145,4894,5509,6414,7235,7825,8744,15084,13477,17240,18781
"28","21","    Other transportation equipment","B1741C0",949,1188,1241,1203,972,1104,1185,1049,1233,1109,1247,1174,2356,2899,3784,4488,5299,5350,5643
"29","22","    Instruments and related products","B1742C0",587,477,531,613,668,749,855,783,857,944,1107,1268,1754,2205,2680,3092,3428,3266,2364
"30","23","    Miscellaneous manufacturing industries","B1743C0",239,260,276,288,311,392,472,432,499,508,618,796,1037,1396,1429,1753,1838,1840,1737
"31","24","  Nondurable goods","A1744C0",11547,12220,13165,14067,15037,15999,17593,19614,23728,25854,29828,34446,44072,54358,60942,67069,74544,73109,72997
"32","25","    Food and kindred products","B1745C0",1971,2120,2266,2378,2643,2812,3050,3256,3997,4290,4757,5360,6829,8352,9164,9807,10527,12252,11984
"33","26","    Tobacco manufactures","B1746C0",117,157,174,201,238,286,313,335,386,438,507,586,877,1090,1241,1509,2025,434,476
"34","27","    Textile mill products","B1747C0",629,692,730,802,903,923,939,909,1006,1042,1185,1245,1384,1537,1479,1841,1802,1807,1841
"35","28","    Apparel and other textile products","B1748C0",214,229,226,297,296,306,318,347,415,423,457,516,665,738,774,987,1027,1137,1102
"36","29","    Paper and allied products","B1749C0",960,1014,1070,1167,1266,1302,1463,1703,1932,2172,2183,2631,2971,3467,3616,4414,5266,5428,5892
"37","30","    Printing and publishing","B1750C0",740,729,818,844,988,1028,1143,1227,1382,1097,1413,1738,2539,3359,3617,4130,4814,4848,4878
"38","31","    Chemicals and allied products","B1751C0",2494,2679,2896,3197,3215,3506,3936,4590,5276,5535,6476,7253,8990,10420,11446,11421,13742,11675,13005
"39","32","    Petroleum and coal products","B1752C0",3803,3926,4237,4406,4610,4888,5379,6174,8095,9692,11416,13693,18098,23478,27464,30639,32692,32663,30883
"40","33","    Rubber and miscellaneous plastics products","B1753C0",536,588,661,675,761,841,929,940,1100,1020,1285,1271,1526,1703,1955,2093,2365,2624,2724
"41","34","    Leather and leather products","B1754C0",83,86,87,100,117,107,123,133,139,145,149,153,193,214,186,228,284,241,212
"42","35","Transportation and public utilities","A1755C0",12774,13870,15654,17971,19680,21759,23930,25625,28295,31439,34655,38832,48673,51485,61963,65549,77643,78096,85530
"43","36","  Transportation","A1756C0",5339,5687,5921,6222,6333,7031,7255,7598,8345,9323,10491,11912,15516,14215,16159,17598,20963,20460,20885
"44","37","    Railroad transportation","B1757C0",2022,2170,2291,2359,2243,2465,2546,2885,2967,3394,3680,3984,6335,4637,5355,4983,5452,4583,4586
"45","38","    Local and interurban passenger transit","B1758C0",230,251,292,282,166,177,172,187,186,225,238,301,318,363,400,651,819,831,857
"46","39","    Trucking and warehousing","B1759C0",1008,1092,1174,1335,1532,1785,1823,1782,2123,2379,2773,3133,3094,3304,3649,4220,5403,5605,6168
"47","40","    Water transportation","B1760C0",317,322,327,331,358,369,439,492,562,537,744,828,1023,1019,1338,1510,1822,1515,1045
"48","41","    Transportation by air","B1761C0",1334,1397,1421,1431,1517,1676,1697,1642,1714,1857,2055,2431,2853,3150,3607,4115,5392,5994,6213
"49","42","    Pipelines, except natural gas","B1762C0",219,247,247,296,284,166,162,161,307,386,377,420,550,665,666,746,498,376,332
"50","43","    Transportation services","B1763C0",209,208,169,188,233,393,416,449,486,545,624,815,1343,1077,1144,1373,1577,1556,1684
"51","44","  Communication","A1764C0",3062,3471,4438,5667,6471,7098,8088,8861,9930,10809,11993,13624,16564,19264,24574,24306,28596,27159,31160
"52","45","    Telephone and telegraph","B1765C0",2838,3254,4218,5420,6217,6833,7803,8554,9538,10315,11402,12934,15453,17812,22760,22619,27035,26012,29774
"53","46","    Radio and television","B1766C0",224,217,220,247,254,265,285,307,392,494,591,690,1111,1452,1814,1687,1561,1147,1386
"54","47","  Electric, gas, and sanitary services","B1767C0",4373,4712,5295,6082,6876,7630,8587,9166,10020,11307,12171,13296,16593,18006,21230,23645,28084,30477,33485
"55","48","Wholesale trade","B1768C0",1855,2040,2207,2619,2897,3482,3863,4514,5120,6527,7880,9245,11192,12675,12907,14826,16880,17165,17758
"56","49","Retail trade","B1769C0",3049,3372,3767,4400,4783,5250,5867,6378,7244,8707,10446,12055,14544,16633,18298,21033,24152,25276,26400
"57","50","Finance, insurance, and real estate","A1770C0",4666,4837,5186,5826,6651,7409,8121,8684,9740,11417,12582,13771,17232,19814,23959,27111,32491,36408,40788
"58","51","  Banking","A1771C0",1258,1348,1524,1857,2334,2929,3402,3795,4420,5406,6109,6749,8484,9076,10887,12516,15511,18507,20382
"59","52","    Federal Reserve banks","B1772C0",5,5,6,6,9,9,11,10,12,10,13,18,20,50,76,84,95,110,122
"60","53","    Commercial and mutual banks","B1773C0",1253,1343,1518,1851,2325,2920,3391,3785,4408,5396,6096,6731,8464,9026,10811,12432,15416,18397,20260
"61","54","  Credit agencies other than banks","B1774C0",97,104,118,143,180,226,263,293,341,417,471,522,655,698,837,962,1194,1426,1570
"62","55","  Security and commodity brokers","B1775C0",47,62,66,76,94,90,112,124,162,193,257,288,558,829,1173,1411,1774,1372,1572
"63","56","  Insurance carriers","B1776C0",518,594,676,770,924,1028,1101,1186,1365,1727,1924,1987,2344,2586,3803,4370,4716,5213,6798
"64","57","  Insurance agents, brokers, and service","B1777C0",67,71,79,91,100,122,143,162,216,239,299,350,493,750,849,1001,1099,1201,1212
"65","58","  Real estate","B1778C0",2567,2503,2541,2660,2704,2716,2801,2789,2919,3117,3115,3381,3857,4410,4779,5253,5862,6168,6000
"66","59","  Holding and other investment offices","B1779C0",112,155,182,229,315,298,299,335,317,318,407,494,841,1465,1631,1598,2335,2521,3254
"67","60","Services","A1780C0",3877,4256,4517,5100,5968,6398,6771,7229,8660,10759,12181,14204,16737,21027,23019,26126,29601,31180,33000
"68","61","  Hotels and other lodging places","B1781C0",485,568,554,610,667,707,695,660,774,859,998,1062,1385,1701,1640,1826,1996,2238,2181
"69","62","  Personal services","B1782C0",293,313,350,381,362,411,406,432,467,489,537,635,648,911,911,1064,1159,1133,1200
"70","63","  Business services","B1783C0",1267,1326,1337,1451,1804,1931,2052,2089,2624,3013,3644,4482,5266,6258,7480,9159,10313,10698,10911
"71","64","  Auto repair, services, and parking","B1784C0",1007,1048,1194,1340,1541,1658,1656,1798,2052,2749,3343,3451,3373,3966,4044,4056,5202,5714,6167
"72","65","  Miscellaneous repair services","B1785C0",39,55,42,50,57,72,81,100,120,126,159,226,291,350,367,435,475,478,457
"73","66","  Motion pictures","B1786C0",212,280,243,267,343,334,327,342,406,978,757,758,879,1032,1047,901,962,922,1243
"74","67","  Amusement and recreation services","B1787C0",280,285,320,379,467,471,512,570,649,570,663,856,1041,1642,1732,1957,2082,1790,2274
"75","68","  Other services","A1788C0",294,381,477,622,727,814,1042,1238,1568,1975,2080,2734,3854,5167,5798,6728,7412,8207,8567
"76","69","    Health services","B1789C0",136,190,231,286,377,446,544,680,830,975,1114,1405,1989,2735,3278,4135,4667,5174,5469
"77","70","    Legal services","B1790C0",0,5,11,16,23,51,41,48,61,87,108,144,200,347,396,430,522,579,581
"78","71","    Educational services","B1791C0",35,44,46,54,61,45,62,87,88,107,134,147,187,263,313,366,452,438,519
"79","72","    Other \1\","B1792C0",123,142,189,266,266,272,395,423,589,806,724,1038,1478,1822,1811,1797,1771,2016,1998
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
