"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129"
"11","3","D Manufacturing industries","X300",8352,6312,1872,24780,14112,6348,10344,21828,12264,27864,1308,24996,17904,26676,15336,9132,10140,7740,-576,-36,-3492,11352,3156,-32352,-30252,1788,24960,-6648,20844,-8268,23184,1500,29532,15780,46164,49020,228,34704,8160,33612,-36,45264,22656,14808,1236,25428,26760,-5088,35460,-9612,-42504,-3024,-27684,-47700,-33336,-41748,-46776,-29664,-46428,-49644,-38244,-29136,-9540,-8520,-18768,-4548,3888,4200,10704,984,-11052,21756,-8736,61920,-12264,2472,-8496,-23232,-22956,-2136,-13524,16560,-1572,10812,3468,30624,24864,21624,41664,46584,41148,38868,8412,44544,58728,7788,88908,51012,47736,18324,5028,14664,48936,-912,18000,52164,32736,52044,47952,-14580,47280,52104,41316,53028,46548,23916,41328,9972,7248,1908,204,5052,9132,26412,23016,13392
"12","4","D   Durable goods industries","X30D0",11148,10236,-4728,21072,9768,2952,16596,10644,2580,14412,-7908,19764,22944,24252,16464,16056,12828,11388,-3144,10152,4116,12216,-4152,-10512,-32412,8304,21948,-14484,8160,-7956,19392,-7584,15852,-960,26280,31512,-12276,21660,636,22572,-7380,28176,7308,18120,-4800,20340,23436,948,27840,-3984,-42348,-1248,-21588,-32940,-27816,-30720,-40164,-19020,-33288,-43236,-24156,-18216,-27012,-10236,-12528,-8724,-5184,-4464,-3120,-2424,-8928,27972,-19500,30996,-14664,-4464,-7872,-31068,-20112,-9024,-10332,16932,-9396,29508,-2436,10380,15384,13608,20064,30780,26952,26028,12024,27564,33984,11052,50580,33264,25740,5688,16428,-7860,34464,-2880,6264,27144,32904,14592,2688,-8064,33468,33840,24936,26868,44148,13056,42768,31740,5880,11868,15204,3552,2664,14304,3072,-144
"13","5","D   Nondurable goods industries","X30N0",-2796,-3924,6600,3708,4344,3396,-6252,11184,9684,13452,9216,5232,-5040,2424,-1128,-6924,-2688,-3648,2568,-10188,-7608,-864,7308,-21840,2160,-6516,3012,7836,12684,-312,3792,9084,13680,16740,19884,17508,12504,13044,7524,11040,7344,17088,15348,-3312,6036,5088,3324,-6036,7620,-5628,-156,-1776,-6096,-14760,-5520,-11028,-6612,-10644,-13140,-6408,-14088,-10920,17472,1716,-6240,4176,9072,8664,13824,3408,-2124,-6216,10764,30924,2400,6936,-624,7836,-2844,6888,-3192,-372,7824,-18696,5904,20244,9480,8016,21600,15804,14196,12840,-3612,16980,24744,-3264,38328,17748,21996,12636,-11400,22524,14472,1968,11736,25020,-168,37452,45264,-6516,13812,18264,16380,26160,2400,10860,-1440,-21768,1368,-9960,-15000,1500,6468,12108,19944,13536
"14","6","D Wholesale trade industries","XWT0",38700,3444,10944,12876,15732,51972,-11388,12108,24444,18900,25176,26640,4680,35784,18624,-7176,21984,-6396,2892,30012,22080,12324,21984,6564,1812,27300,14280,4776,7896,7140,32748,21432,20568,35832,40680,14112,38844,26136,26628,34428,15936,34344,14328,16764,5748,24756,24552,-5748,4056,-1872,-5712,13068,12000,-29136,-38700,-7368,-24504,-34596,-48228,-31512,-22776,-38076,8544,-15516,3984,12456,32724,9276,19812,-7728,2148,36048,-7188,16248,7080,8832,-20748,-4548,1776,-1284,13500,29580,12540,24864,6048,42288,19140,-4644,52368,40116,55032,43764,13596,49608,50316,6372,68940,25956,27600,40176,-1548,21636,11424,15228,16188,28008,19884,49968,31404,52704,9444,55260,44052,40632,42492,63576,46512,28452,51624,-17124,26400,27756,19992,11460,21624,24252
"15",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","D     Durable goods industries","XWTD0",21204,5232,9876,15792,16968,40104,-19284,2796,21912,876,6216,25188,14172,25752,18264,-1680,10104,-11256,1020,25260,14376,14784,5064,14556,1032,14220,8184,-8292,16332,12084,12540,5016,15756,20292,30096,10728,16956,18708,13056,26004,10428,30324,6972,11400,-6528,11016,9912,-12036,11328,-11892,-16824,-7632,-9156,-41328,-25656,-20112,-26172,-10560,-49776,-29856,-26340,-28800,-2040,-6672,-1848,540,19536,9024,6240,-5832,7368,10788,-7428,16512,-228,7560,-13704,-7032,-10692,-6420,-24,9516,5748,33996,13896,26640,23160,2736,37764,35868,27492,49392,25752,22380,28116,13344,37560,22920,12744,9756,4824,15924,6480,4116,-7164,36156,24576,22176,20460,28092,1716,44904,14640,20028,30624,38988,59796,26280,20124,-18168,27648,12924,4860,-25356,12768,972
"17","8","D     Nondurable goods industries","XWTN0",17496,-1788,1068,-2916,-1236,11868,7896,9312,2532,18024,18960,1452,-9492,10032,360,-5496,11880,4860,1872,4752,7704,-2460,16920,-7992,780,13080,6096,13068,-8436,-4944,20208,16416,4812,15540,10584,3384,21888,7428,13572,8424,5508,4020,7356,5364,12276,13740,14640,6288,-7272,10020,11112,20700,21156,12192,-13044,12744,1668,-24036,1548,-1656,3564,-9276,10584,-8844,5832,11916,13188,252,13572,-1896,-5220,25260,240,-264,7308,1272,-7044,2484,12468,5136,13524,20064,6792,-9132,-7848,15648,-4020,-7380,14604,4248,27540,-5628,-12156,27228,22200,-6972,31380,3036,14856,30420,-6372,5712,4944,11112,23352,-8148,-4692,27792,10944,24612,7728,10356,29412,20604,11868,24588,-13284,2172,31500,1044,-1248,14832,15132,36816,8856,23280
"18",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","D     Merchant wholesale industries","X42W0",28956,2256,16296,5808,13512,54000,-9396,11760,25608,14064,24360,26220,5196,32928,17136,-5592,22008,-5400,3780,30108,19956,7752,16104,11352,4140,26280,10356,1452,5988,4068,33612,11352,20892,32592,40956,11520,33384,21108,24792,28668,21396,26040,6912,10812,5124,17724,22044,-5556,-3540,-2088,192,9948,16056,-26820,-31140,-4452,-14472,-29676,-40680,-29196,-10020,-33600,2616,-15840,4740,15516,26520,13080,15000,-9660,4500,31572,-3936,13572,11988,7224,-19632,-7860,1164,-5940,18672,27816,12624,17808,-1068,44124,17520,-2172,37776,31116,58452,33180,1728,52152,38988,10320,53196,16944,16140,32328,1704,20148,5220,12372,22092,20580,11232,56724,12996,42576,17220,56748,39216,36852,34224,48432,33216,15444,40080,-12156,23748,21624,18600,15252,20748,22572
"20","10","D       Durable goods industries","X42WD0",10992,3180,16452,8376,14484,43812,-17940,4248,23484,-2976,7872,24696,11424,22524,17400,456,9876,-10872,1464,24900,11160,11796,-300,17232,3360,11280,6096,-11868,15864,9396,15528,-1800,17160,19116,31668,9108,13224,16332,12072,21504,16812,24696,1500,5652,-5160,5160,7968,-10260,4980,-12492,-10920,-9768,-5940,-40344,-20580,-17796,-18516,-6828,-44496,-27792,-15528,-26316,-6024,-7152,-2400,4632,15312,12684,3984,-5820,7368,11004,-7740,17784,5748,7812,-13128,-8064,-11364,-8676,5148,8184,5736,28452,6996,29328,21960,4800,35232,28344,31860,42144,13200,26352,23712,13452,32892,14592,2868,7548,3936,20652,4428,-2112,1440,32784,15204,31140,6972,24156,12456,47724,14124,16536,23736,24624,45240,13668,6948,-11988,17904,5532,3828,-19440,14424,744
"21","11","D       Nondurable goods industries","X42WN0",17964,-924,-156,-2568,-972,10188,8544,7512,2124,17040,16488,1524,-6228,10404,-264,-6048,12132,5472,2316,5208,8796,-4044,16404,-5880,780,15000,4260,13320,-9876,-5328,18084,13152,3732,13476,9288,2412,20160,4776,12720,7164,4584,1344,5412,5160,10284,12564,14076,4704,-8520,10404,11112,19716,21996,13524,-10560,13344,4044,-22848,3816,-1404,5508,-7284,8640,-8688,7140,10884,11208,396,11016,-3840,-2868,20568,3804,-4212,6240,-588,-6504,204,12528,2736,13524,19632,6888,-10644,-8064,14796,-4440,-6972,2544,2772,26592,-8964,-11472,25800,15276,-3132,20304,2352,13272,24780,-2232,-504,792,14484,20652,-12204,-3972,25584,6024,18420,4764,9024,25092,20316,10488,23808,-12024,1776,33132,-168,5844,16092,14772,34692,6324,21828
"22","12","D     Nonmerchant wholesale industries","X42N0",9744,1188,-5352,7068,2220,-2028,-1992,348,-1164,4836,816,420,-516,2856,1488,-1584,-24,-996,-888,-96,2124,4572,5880,-4788,-2328,1020,3924,3324,1908,3072,-864,10080,-324,3240,-276,2592,5460,5028,1836,5760,-5460,8304,7416,5952,624,7032,2508,-192,7596,216,-5904,3120,-4056,-2316,-7560,-2916,-10032,-4920,-7548,-2316,-12756,-4476,5928,324,-756,-3060,6204,-3804,4812,1932,-2352,4476,-3252,2676,-4908,1608,-1116,3312,612,4656,-5172,1764,-84,7056,7116,-1836,1620,-2472,14592,9000,-3420,10584,11868,-2544,11328,-3948,15744,9012,11460,7848,-3252,1488,6204,2856,-5904,7428,8652,-6756,18408,10128,-7776,-1488,4836,3780,8268,15144,13296,13008,11544,-4968,2652,6132,1392,-3792,876,1680
"23","13","D       Durable goods industries","X42ND0",10212,2052,-6576,7416,2484,-3708,-1344,-1452,-1572,3852,-1656,492,2748,3228,864,-2136,228,-384,-444,360,3216,2988,5364,-2676,-2328,2940,2088,3576,468,2688,-2988,6816,-1404,1176,-1572,1620,3732,2376,984,4500,-6384,5628,5472,5748,-1368,5856,1944,-1776,6348,600,-5904,2136,-3216,-984,-5076,-2316,-7656,-3732,-5280,-2064,-10812,-2484,3984,480,552,-4092,4224,-3660,2256,-12,0,-216,312,-1272,-5976,-252,-576,1032,672,2256,-5172,1332,12,5544,6900,-2688,1200,-2064,2532,7524,-4368,7248,12552,-3972,4404,-108,4668,8328,9876,2208,888,-4728,2052,6228,-8604,3372,9372,-8964,13488,3936,-10740,-2820,516,3492,6888,14364,14556,12612,13176,-6180,9744,7392,1032,-5916,-1656,228
"24","14","D       Nondurable goods industries","X42NN0",-468,-864,1224,-348,-264,1680,-648,1800,408,984,2472,-72,-3264,-372,624,552,-252,-612,-444,-456,-1092,1584,516,-2112,0,-1920,1836,-252,1440,384,2124,3264,1080,2064,1296,972,1728,2652,852,1260,924,2676,1944,204,1992,1176,564,1584,1248,-384,0,984,-840,-1332,-2484,-600,-2376,-1188,-2268,-252,-1944,-1992,1944,-156,-1308,1032,1980,-144,2556,1944,-2352,4692,-3564,3948,1068,1860,-540,2280,-60,2400,0,432,-96,1512,216,852,420,-408,12060,1476,948,3336,-684,1428,6924,-3840,11076,684,1584,5640,-4140,6216,4152,-3372,2700,4056,-720,2208,4920,6192,2964,1332,4320,288,1380,780,-1260,396,-1632,1212,-7092,-1260,360,2124,2532,1452
"25","15","D Retail trade industries","X440",-12252,23856,-30552,42792,13788,-4440,28584,-14844,28536,19428,18840,11064,19668,31440,47928,44280,-18492,312,13356,-8100,14736,-108,20772,1368,45000,15576,32904,11628,5304,20256,19596,15936,29736,45180,47232,63156,-9636,10788,27612,26040,49728,40500,29352,34812,6588,36516,21420,5460,-6768,-33576,-8640,20100,14832,-9624,-2964,17628,-4224,-115416,-61764,49440,34488,14220,8040,8880,39240,30144,14880,-11196,52920,20064,54276,14160,21228,28584,30648,17100,-7452,16716,26016,-29628,60816,9432,28356,-6924,10272,23304,42732,61812,27204,24960,23040,42300,5448,42192,29880,16032,20148,39732,-1884,-8568,2628,-5604,-79044,38280,59100,43788,21096,22128,12840,-13884,57912,-35772,59664,29520,-1212,22824,-8988,-41304,1980,46560,-32784,34080,-26304,29148,-2712,8772
"26","16","D   Motor vehicle dealers","X4410",-7812,7812,-12780,23436,-2484,-9588,18012,-1428,-1416,20304,16824,-2280,6312,13728,20016,32388,-48,-35160,-5316,-15420,9672,3312,4992,-11988,27036,12384,19380,-4224,264,5508,13596,1452,14964,29748,20904,27108,4992,-6444,12960,27420,20124,29964,28584,12456,10248,13824,4476,2256,-13500,-32496,-14148,18072,14220,-876,14316,-3852,6888,-120996,-35268,58200,31500,17868,12408,5904,22092,25176,-5964,-11340,25980,32136,48120,-624,23136,11388,20952,20628,12132,13164,5760,-20316,30288,-3816,18204,-4140,11040,7056,15924,36564,5580,6852,14436,19008,-4116,18156,-6180,-17928,-5556,22872,-13236,-18384,-16764,-23364,-73272,16560,50556,46956,7428,-5064,-5520,-9588,29700,-36084,31560,12240,-9336,-1908,-13812,-52260,-6828,24276,-33132,-1392,-14580,14196,-31800,-1128
"27","17","D   Food and beverage stores","X4450",-1128,60,1008,-960,1176,-144,0,3576,1224,-1728,1512,-1968,2856,0,3012,3672,-96,2508,2532,-1056,-1116,180,3204,-816,4692,996,780,-1920,3060,1500,2208,3216,4248,2448,1236,2844,-984,240,300,540,2100,-6516,-1080,432,2220,192,-1788,2568,3132,3240,1476,2628,144,1944,120,708,-912,4044,1368,-1284,-2184,-348,-1908,-696,-732,-432,-1956,2160,3024,-6816,1644,4416,-1668,1716,1260,-1176,-1188,-1236,2604,-648,3864,-5244,-1896,-996,1536,-1212,1524,1836,3624,1320,600,-576,804,984,2304,-1248,2172,-636,-84,636,960,696,-2004,1656,-4740,4248,2424,948,2376,780,660,168,2508,1200,408,864,1200,564,-636,-948,-300,1620,2328,-2988,3432,2544
"28","18","D   General merchandise stores","X4520",-7368,3060,-4584,7344,900,1176,-1848,-4200,2292,-3540,744,7392,3708,720,1152,804,-9480,10368,4944,36,3120,-1284,-1860,-1716,-552,1404,5520,4080,-420,-1308,1596,4188,1584,-1620,12576,5400,3516,2676,-5052,-1212,2508,4068,-4524,828,-216,5628,-732,1944,5184,1428,12996,-4224,5244,1092,-9408,10848,-6432,-876,-7848,-6924,-4584,120,-5940,-1512,7392,-4032,10608,660,1608,708,10524,768,-2184,-2436,2328,10080,-10164,72,3912,-8664,11496,8544,-4992,3144,3180,4452,8280,2748,2280,6912,-1824,4248,744,1392,12408,7704,3096,3036,13752,3000,3204,-528,-5604,9432,804,-7020,48,4272,-5364,-5952,840,-11520,9144,1932,8856,6600,3492,8964,3312,4488,6096,6228,-3408,6816,3924,1596
"29","19","D   Other retail stores","X44Y0",4056,12924,-14196,12972,14196,4116,12420,-12792,26436,4392,-240,7920,6792,16992,23748,7416,-8868,22596,11196,8340,3060,-2316,14436,15888,13824,792,7224,13692,2400,14556,2196,7080,8940,14604,12516,27804,-17160,14316,19404,-708,24996,12984,6372,21096,-5664,16872,19464,-1308,-1584,-5748,-8964,3624,-4776,-11784,-7992,9924,-3768,2412,-20016,-552,9756,-3420,3480,5184,10488,9432,12192,-2676,22308,-5964,-6012,9600,1944,17916,6108,-12432,-8232,4716,13740,0,15168,9948,17040,-4932,-5484,13008,17004,20664,15720,9876,9828,19620,8016,21660,21348,27504,20436,14460,-2316,6180,15228,17592,1836,10632,12480,-396,11196,21972,21348,876,26712,11664,16452,14148,-1140,17268,132,1428,6132,18744,-5448,27624,-10644,11124,21732,5760
"30","20","D Other industries","XOTH0",7544,7544,7544,3364,3364,3364,3068,3068,3068,5468,5468,5468,1916,1916,1916,4716,4716,4716,4840,4840,4840,7924,7924,7924,6504,6504,6504,9512,9512,9512,8136,8136,8136,6228,6228,6228,14948,14948,14948,14700,14700,14700,17876,17876,17876,6076,6076,6076,3024,3024,3024,192,192,192,-1868,-1868,-1868,-4332,-4332,-4332,-4316,-4316,-4316,1208,1208,1208,-1676,-1676,-1676,-1656,-1656,-1656,584,584,584,3084,3084,3084,1740,1740,1740,1376,1376,1376,6168,6168,6168,5856,5856,5856,7200,7200,7200,8336,8336,8336,388,388,388,-180,-180,-180,24,24,24,-324,-324,-324,4504,4504,4504,10256,10256,10256,6040,6040,6040,4396,4396,4396,5928,5928,5928,4432,4432,4432
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
