"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Personal consumption expenditures (PCE)","DPCERC1","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0","9,806,312.0","10,104,487.0","10,001,328.0","10,351,935.0"
"20","2","Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,110,021.0","2,289,994.0","2,459,132.0","2,534,006.0","2,609,957.0","2,727,406.0","2,892,254.0","3,073,918.0","3,221,723.0","3,357,677.0","3,379,521.0","3,230,719.0","3,427,600.0"
"21","3","  Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","780,006.0","857,356.0","915,778.0","946,347.0","992,102.0","1,014,802.0","1,061,587.0","1,105,492.0","1,133,026.0","1,159,433.0","1,083,476.0","1,026,492.0","1,089,578.0"
"22","4","    Motor vehicles and parts","DMOTRC1","37,448.0","34,538.0","43,233.0","49,365.0","54,358.0","48,166.0","52,643.0","68,172.0","79,796.0","89,173.0","90,175.0","84,430.0","93,017.0","100,014.0","122,945.0","147,192.0","170,065.0","187,519.0","188,181.0","202,213.0","207,771.0","205,119.0","185,748.0","204,798.0","224,715.0","249,843.0","255,709.0","273,486.0","293,083.0","320,205.0","350,729.0","363,227.0","383,290.0","401,347.0","401,528.0","404,734.0","409,647.0","397,132.0","402,508.0","343,238.0","319,711.0","345,208.0"
"23","5","    Furnishings and durable household equipment","DFDHRC1","27,588.0","28,152.0","29,944.0","33,522.0","37,961.0","40,891.0","42,612.0","47,172.0","53,355.0","59,004.0","65,254.0","67,843.0","71,461.0","71,811.0","79,770.0","88,832.0","94,619.0","103,455.0","109,536.0","115,154.0","121,387.0","120,941.0","118,786.0","124,288.0","131,367.0","140,510.0","146,742.0","153,535.0","160,491.0","173,579.0","191,185.0","208,105.0","214,939.0","225,868.0","233,340.0","249,154.0","263,892.0","276,511.0","277,691.0","266,037.0","248,105.0","258,454.0"
"24","6","    Recreational goods and vehicles","DREQRC1","16,732.0","17,924.0","19,197.0","22,591.0","25,346.0","26,585.0","30,363.0","34,172.0","37,730.0","41,702.0","45,835.0","46,490.0","49,879.0","51,287.0","58,655.0","67,844.0","74,074.0","83,016.0","91,802.0","99,877.0","103,905.0","105,558.0","107,716.0","110,995.0","123,473.0","140,340.0","153,723.0","164,929.0","174,632.0","192,072.0","212,709.0","234,066.0","239,766.0","251,507.0","262,565.0","284,309.0","303,352.0","323,424.0","336,404.0","331,597.0","317,531.0","335,476.0"
"25","7","    Other durable goods","DODGRC1","8,714.0","9,374.0","10,073.0","10,966.0","12,862.0","14,535.0","16,547.0","19,108.0","21,082.0","23,470.0","25,076.0","27,627.0","29,583.0","29,920.0","33,659.0","38,288.0","41,605.0","47,450.0","52,502.0","57,808.0","61,265.0","65,462.0","64,935.0","68,001.0","71,977.0","76,478.0","79,564.0","84,347.0","87,324.0","94,150.0","102,733.0","110,380.0","108,352.0","113,380.0","117,369.0","123,390.0","128,601.0","135,959.0","142,830.0","142,604.0","141,145.0","150,440.0"
"26","8","  Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,330,015.0","1,432,638.0","1,543,354.0","1,587,659.0","1,617,855.0","1,712,604.0","1,830,667.0","1,968,426.0","2,088,697.0","2,198,244.0","2,296,045.0","2,204,227.0","2,338,022.0"
"27","9","    Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","593,127.0","628,152.0","665,015.0","697,973.0","737,420.0","775,209.0","777,875.0","801,851.0"
"28","10","    Clothing and footwear","DCLORC1","44,331.0","45,450.0","49,046.0","53,491.0","59,243.0","62,423.0","66,867.0","72,191.0","79,305.0","89,317.0","96,371.0","103,002.0","113,178.0","116,745.0","126,445.0","137,621.0","146,845.0","157,201.0","167,726.0","178,213.0","190,397.0","195,245.0","199,098.0","211,234.0","219,054.0","227,435.0","231,245.0","239,542.0","247,496.0","257,805.0","271,097.0","280,831.0","277,868.0","278,836.0","287,021.0","300,025.0","315,543.0","330,060.0","338,908.0","334,069.0","322,193.0","338,118.0"
"29","11","    Gasoline and other energy goods","DGOERC1","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","133,359.0","148,811.0","188,836.0","183,583.0","174,562.0","209,603.0","249,933.0","304,824.0","336,945.0","366,581.0","411,402.0","303,733.0","358,315.0"
"30","12","    Other nondurable goods","DONGRC1","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","452,345.0","499,161.0","536,230.0","566,501.0","594,850.0","622,853.0","652,557.0","683,044.0","723,719.0","755,335.0","775,365.0","800,426.0","839,738.0"
"31","13","Services","DSERRC1","300,447.0","329,507.0","359,497.0","396,415.0","435,377.0","481,393.0","542,454.0","604,949.0","677,440.0","764,054.0","853,229.0","956,034.0","1,070,133.0","1,176,203.0","1,314,796.0","1,437,383.0","1,580,002.0","1,701,117.0","1,840,664.0","2,012,748.0","2,170,687.0","2,344,151.0","2,482,638.0","2,673,622.0","2,841,247.0","3,004,252.0","3,171,748.0","3,355,935.0","3,563,862.0","3,808,467.0","4,052,790.0","4,371,239.0","4,614,801.0","4,829,234.0","5,076,607.0","5,392,826.0","5,745,084.0","6,100,939.0","6,448,635.0","6,724,966.0","6,770,609.0","6,924,335.0"
"32","14","  Household consumption expenditures (for services)","DHCERC1","290,365.0","318,418.0","347,168.0","382,800.0","420,748.0","464,960.0","524,404.0","584,880.0","655,649.0","739,581.0","825,430.0","924,146.0","1,033,869.0","1,136,113.0","1,271,888.0","1,389,792.0","1,529,656.0","1,645,750.0","1,782,132.0","1,945,987.0","2,098,971.0","2,264,537.0","2,398,393.0","2,581,279.0","2,746,625.0","2,901,883.0","3,064,578.0","3,240,220.0","3,451,614.0","3,677,472.0","3,907,383.0","4,205,871.0","4,428,597.0","4,624,229.0","4,864,792.0","5,182,813.0","5,531,009.0","5,860,589.0","6,194,465.0","6,446,144.0","6,511,751.0","6,658,167.0"
"33","15","    Housing and utilities","DHUTRC1","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","311,818.0","351,952.0","386,968.0","421,162.0","458,269.0","500,668.0","535,685.0","571,808.0","614,452.0","655,601.0","696,356.0","735,540.0","771,188.0","814,503.0","866,466.0","913,779.0","961,246.0","1,009,908.0","1,065,238.0","1,125,044.0","1,198,555.0","1,287,742.0","1,334,765.0","1,393,820.0","1,462,240.0","1,582,842.0","1,685,953.0","1,755,779.0","1,833,145.0","1,876,325.0","1,901,861.0"
"34","16","    Health care","DHLCRC1","42,059.0","47,663.0","53,725.0","59,842.0","67,175.0","76,083.0","89,000.0","101,849.0","115,691.0","131,202.0","148,840.0","171,661.0","201,914.0","225,182.0","253,125.0","276,478.0","302,195.0","330,160.0","366,011.0","410,051.0","451,209.0","506,202.0","555,759.0","612,785.0","648,809.0","680,461.0","719,886.0","752,067.0","790,949.0","832,046.0","863,590.0","918,425.0","996,565.0","1,082,873.0","1,149,269.0","1,229,730.0","1,315,952.0","1,380,732.0","1,465,418.0","1,547,210.0","1,623,224.0","1,686,497.0"
"35","17","    Transportation services","DTRSRC1","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,160.0","243,284.0","262,252.0","262,724.0","256,730.0","263,091.0","273,199.0","285,900.0","296,998.0","307,109.0","306,942.0","290,120.0","299,909.0"
"36","18","    Recreation services","DRCARC1","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,587.0","238,788.0","255,475.0","263,552.0","272,833.0","289,471.0","311,957.0","326,787.0","348,824.0","373,153.0","383,440.0","378,773.0","380,818.0"
"37","19","    Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,607.0","308,668.0","316,717.0","327,398.0","344,560.0","363,009.0","381,580.0","410,126.0","421,228.0","438,183.0","462,830.0","492,923.0","525,309.0","559,744.0","591,959.0","611,309.0","603,592.0","626,835.0"
"38","20","    Financial services and insurance","DIFSRC1","28,501.0","31,071.0","34,137.0","38,337.0","41,497.0","45,903.0","54,014.0","59,257.0","67,786.0","80,627.0","87,623.0","95,599.0","101,995.0","116,322.0","145,873.0","156,555.0","180,539.0","196,665.0","207,127.0","219,409.0","235,741.0","253,218.0","281,979.0","311,759.0","341,016.0","349,027.0","364,689.0","393,631.0","431,297.0","469,649.0","514,234.0","569,962.0","562,791.0","576,166.0","601,753.0","667,481.0","712,619.0","752,375.0","818,884.0","848,139.0","813,847.0","820,654.0"
"39","21","    Other services","DOTSRC1","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,849.0","187,441.0","207,851.0","221,175.0","242,433.0","262,845.0","281,310.0","297,888.0","300,866.0","325,813.0","344,216.0","370,704.0","390,469.0","415,340.0","452,274.0","499,783.0","540,863.0","591,076.0","633,995.0","662,679.0","704,558.0","745,283.0","781,600.0","835,963.0","882,163.0","915,959.0","925,870.0","941,593.0"
"40","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0","254,170.0","278,822.0","258,858.0","266,168.0"
"41","23","    Gross output of nonprofit institutions \2\","DNPERC1","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0","985,585.0","1,037,638.0","1,058,079.0","1,092,072.0"
"42","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0","731,415.0","758,816.0","799,221.0","825,904.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","25","  PCE excluding food and energy \4\","DPCCRC1","470,768.0","503,290.0","550,144.0","607,921.0","670,915.0","722,431.0","800,555.0","898,320.0","1,002,452.0","1,127,803.0","1,245,441.0","1,358,257.0","1,507,078.0","1,627,173.0","1,824,192.0","2,016,891.0","2,215,115.0","2,401,761.0","2,587,295.0","2,813,173.0","3,019,792.0","3,221,309.0","3,351,058.0","3,601,058.0","3,828,183.0","4,072,316.0","4,291,858.0","4,542,041.0","4,821,620.0","5,173,532.0","5,554,590.0","5,966,449.0","6,255,913.0","6,549,383.0","6,840,888.0","7,238,839.0","7,658,797.0","8,086,888.0","8,491,934.0","8,694,444.0","8,705,043.0","8,966,702.0"
"45","26","  Energy goods and services \5\","DNRGRC1","38,985.0","41,505.0","44,344.0","47,837.0","54,383.0","67,463.0","76,667.0","85,637.0","95,601.0","103,706.0","127,356.0","158,402.0","177,089.0","181,181.0","187,348.0","193,090.0","199,540.0","178,570.0","185,353.0","194,076.0","209,310.0","222,968.0","226,062.0","231,368.0","241,939.0","246,381.0","251,675.0","269,688.0","274,230.0","258,450.0","274,625.0","326,465.0","333,187.0","320,201.0","369,998.0","418,089.0","495,190.0","537,801.0","576,958.0","634,834.0","518,410.0","583,372.0"
"46","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,783,488.0","3,012,341.0","3,238,216.0","3,454,082.0","3,572,698.0","3,794,036.0","4,003,927.0","4,236,824.0","4,449,953.0","4,696,572.0","4,952,890.0","5,237,523.0","5,602,979.0","6,013,418.0","6,291,231.0","6,539,813.0","6,861,770.0","7,260,885.0","7,735,911.0","8,158,735.0","8,565,031.0","8,815,558.0","8,758,533.0","9,083,258.0"
"47","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,274,565.0","2,476,190.0","2,664,190.0","2,840,578.0","2,944,291.0","3,158,778.0","3,349,060.0","3,558,845.0","3,755,009.0","3,965,451.0","4,204,298.0","4,492,949.0","4,815,136.0","5,149,815.0","5,398,623.0","5,650,286.0","5,898,919.0","6,214,945.0","6,576,049.0","6,923,374.0","7,251,007.0","7,405,941.0","7,462,661.0","7,698,464.0"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
