"","Table 3#13# Subsidies                                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Subsidies","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,783.0","60,344.0"
"20","2","Federal","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,016.0","60,540.0","50,978.0","47,441.0","49,811.0","58,941.0"
"21","3","  Agricultural","L312041","3,789.0","3,717.0","3,145.0","3,961.0","2,607.0","530.0","807.0","734.0","1,819.0","3,030.0","1,376.0","1,285.0","1,933.0","3,492.0","9,295.0","8,430.0","7,704.0","11,813.0","16,747.0","14,480.0","10,887.0","9,298.0","8,214.0","9,169.0","13,401.0","7,879.0","7,279.0","7,340.0","7,496.0","12,380.0","21,513.0","23,222.0","22,431.0","12,414.0","16,524.0","12,969.0","24,397.0","15,788.0","11,903.0","12,238.0","12,897.0"
"22","4","  Housing","L312051","420.0","606.0","944.0","1,419.0","1,591.0","2,081.0","2,288.0","2,639.0","3,059.0","3,670.0","4,586.0","5,469.0","6,788.0","8,691.0","9,465.0","10,068.0","11,246.0","11,096.0","11,506.0","12,743.0","14,215.0","15,487.0","17,055.0","18,420.0","20,607.0","21,764.0","24,396.0","25,075.0","23,506.0","21,577.0","21,072.0","19,690.0","20,573.0","24,184.0","25,929.0","27,201.0","27,651.0","28,607.0","29,504.0","29,803.0","32,758.0"
"23","5","  Maritime","L312061","198.0","203.0","266.0","246.0","283.0","255.0","272.0","303.0","338.0","369.0","331.0","302.0","357.0","306.0","338.0","370.0","335.0","288.0","251.0","247.0","268.0","257.0","275.0","226.0","282.0","248.0","264.0","187.0","117.0","52.0","25.0","57.0","198.0","437.0","337.0","889.0","482.0","531.0","473.0","280.0","449.0"
"24","6","  Air carriers","L312071","40.0","30.0","75.0","68.0","67.0","75.0","63.0","73.0","83.0","72.0","77.0","91.0","117.0","75.0","0.0","6.0","34.0","23.0","26.0","26.0","28.0","24.0","24.0","36.0","36.0","31.0","28.0","20.0","20.0","-1.0","0.0","1.0","5,028.0","161.0","2,515.0","17.0","62.0","101.0","93.0","141.0","172.0"
"25","7","  Other \1\","L312081","62.0","197.0","211.0","889.0","601.0","250.0","906.0","1,187.0","1,591.0","1,556.0","1,834.0","2,299.0","1,876.0","1,999.0","1,764.0","1,806.0","1,714.0","1,369.0","1,477.0","1,654.0","1,654.0","1,553.0","1,508.0","1,849.0","1,992.0","2,261.0","2,535.0","2,281.0","2,235.0","1,914.0","2,170.0","2,336.0","2,827.0","3,285.0","3,668.0","4,940.0","7,948.0","5,951.0","5,468.0","7,349.0","12,665.0"
"26","8","State and local","B114RC1","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","370.0","373.0","374.0","7,134.0","2,972.0","1,403.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists largely of subsidies to railroads, mass transit systems, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","the Federal Crop Insurance Corporation (FCIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
