"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"33","13","  Net domestic product","A362RX1","3,959,305.0","3,966,954.0","3,989,583.0","3,963,459.0","3,951,322.0","3,955,151.0","3,991,464.0","3,942,543.0","4,059,075.0","4,080,300.0","4,112,362.0","4,121,487.0","4,200,023.0","4,306,552.0","4,346,836.0","4,420,118.0","4,538,821.0","4,590,225.0","4,556,443.0","4,598,533.0","4,547,651.0","4,555,062.0","4,499,165.0","4,474,245.0","4,408,104.0","4,441,542.0","4,521,740.0","4,583,999.0","4,697,386.0","4,732,445.0","4,753,339.0","4,786,660.0","4,843,255.0","4,945,537.0","5,038,649.0","5,030,471.0","5,042,775.0","5,259,479.0","5,309,467.0","5,380,118.0","5,381,247.0","5,378,035.0","5,412,999.0","5,421,353.0","5,432,737.0","5,298,151.0","5,279,191.0","5,383,453.0","5,504,097.0","5,446,509.0","5,514,229.0","5,427,229.0","5,316,134.0","5,341,276.0","5,310,283.0","5,308,620.0","5,379,052.0","5,511,833.0","5,629,629.0","5,755,187.0","5,874,421.0","5,980,758.0","6,036,616.0","6,081,275.0","6,134,201.0","6,181,608.0","6,280,366.0","6,324,087.0","6,383,558.0","6,402,851.0","6,462,940.0","6,488,092.0","6,518,442.0","6,587,186.0","6,642,336.0","6,762,061.0","6,792,610.0","6,882,369.0","6,913,149.0","7,008,228.0","7,072,949.0","7,123,027.0","7,177,125.0","7,185,006.0","7,260,234.0","7,283,768.0","7,275,205.0","7,195,169.0","7,148,576.0","7,196,391.0","7,223,691.0","7,248,602.0","7,331,611.0","7,413,561.0","7,494,647.0","7,579,194.0","7,584,646.0","7,629,547.0","7,665,216.0","7,770,284.0","7,846,523.0","7,957,945.0","8,005,362.0","8,094,782.0","8,105,554.0","8,113,113.0","8,177,727.0","8,229,272.0","8,279,626.0","8,427,847.0","8,496,289.0","8,586,246.0","8,645,561.0","8,774,178.0","8,881,400.0","8,940,316.0","9,016,868.0","9,089,046.0","9,204,698.0","9,364,371.0","9,437,581.0","9,499,491.0","9,614,352.0","9,787,550.0","9,795,568.0","9,988,923.0","9,976,533.0","10,024,124.0","9,968,298.0","10,026,885.0","9,982,199.0","10,010,229.0","10,094,831.0","10,144,648.0","10,190,847.0","10,182,558.0","10,219,444.0","10,303,248.0","10,489,791.0","10,585,292.0","10,657,397.0","10,732,156.0","10,809,553.0","10,902,984.0","11,013,323.0","11,053,555.0","11,134,991.0","11,186,128.0","11,340,813.0","11,371,652.0","11,359,597.0","11,438,956.0","11,450,728.0","11,539,938.0","11,599,671.0","11,680,787.0","11,643,813.0","11,650,236.0","11,501,943.0","11,261,300.0","11,093,310.0","11,068,106.0","11,116,679.0","11,271,194.0","11,384,768.0","11,432,692.0","11,506,058.0","11,598,531.0"
"34","14","  Net domestic income \3\","W256RX1","3,928,980.0","3,952,083.0","3,979,077.0","3,966,872.0","3,929,243.0","3,923,271.0","3,958,264.0","3,912,708.0","3,996,994.0","4,024,896.0","4,059,093.0","4,112,628.0","4,172,438.0","4,230,080.0","4,303,773.0","4,427,073.0","4,510,238.0","4,530,400.0","4,536,820.0","4,587,608.0","4,537,536.0","4,511,069.0","4,484,158.0","4,412,341.0","4,347,568.0","4,387,245.0","4,485,693.0","4,532,248.0","4,633,287.0","4,661,427.0","4,693,677.0","4,706,129.0","4,750,759.0","4,880,466.0","4,981,820.0","5,008,863.0","5,030,617.0","5,197,336.0","5,228,089.0","5,269,415.0","5,311,538.0","5,268,021.0","5,267,490.0","5,300,546.0","5,292,211.0","5,169,004.0","5,193,633.0","5,338,288.0","5,383,955.0","5,374,046.0","5,462,573.0","5,376,537.0","5,321,951.0","5,342,452.0","5,306,403.0","5,270,615.0","5,336,433.0","5,431,716.0","5,512,687.0","5,636,960.0","5,801,950.0","5,917,442.0","5,984,446.0","6,049,898.0","6,093,618.0","6,124,258.0","6,193,327.0","6,225,459.0","6,290,788.0","6,298,566.0","6,331,520.0","6,372,226.0","6,422,400.0","6,525,826.0","6,627,041.0","6,724,538.0","6,803,430.0","6,882,178.0","6,936,025.0","7,032,926.0","7,066,825.0","7,036,583.0","7,061,703.0","7,062,771.0","7,120,143.0","7,166,531.0","7,149,076.0","7,099,878.0","7,075,740.0","7,089,860.0","7,098,318.0","7,117,836.0","7,235,624.0","7,292,978.0","7,312,895.0","7,392,563.0","7,384,004.0","7,467,036.0","7,481,069.0","7,610,542.0","7,699,893.0","7,796,173.0","7,879,319.0","7,974,837.0","8,009,755.0","8,041,160.0","8,134,541.0","8,178,049.0","8,251,039.0","8,383,005.0","8,460,747.0","8,568,697.0","8,656,608.0","8,753,647.0","8,897,774.0","8,999,898.0","9,089,003.0","9,214,351.0","9,346,101.0","9,428,183.0","9,549,537.0","9,600,301.0","9,676,666.0","9,842,787.0","10,048,419.0","10,087,932.0","10,150,163.0","10,108,020.0","10,204,509.0","10,147,692.0","10,081,119.0","10,013,727.0","10,142,214.0","10,194,051.0","10,168,512.0","10,204,593.0","10,227,133.0","10,334,810.0","10,424,681.0","10,541,277.0","10,626,151.0","10,732,244.0","10,849,393.0","10,926,059.0","11,042,621.0","11,121,604.0","11,202,243.0","11,338,794.0","11,529,270.0","11,557,031.0","11,604,044.0","11,675,165.0","11,579,548.0","11,569,108.0","11,489,451.0","11,556,018.0","11,571,403.0","11,475,937.0","11,375,507.0","11,132,513.0","10,965,347.0","10,911,508.0","10,909,309.0","11,112,247.0","11,236,370.0","11,314,909.0","11,341,479.0","....."
"35","15","  Net domestic purchases","W367RX1","4,061,465.0","4,063,719.0","4,089,807.0","4,051,886.0","4,036,499.0","4,033,979.0","4,071,520.0","4,022,837.0","4,138,232.0","4,179,126.0","4,207,063.0","4,220,624.0","4,311,678.0","4,418,294.0","4,449,391.0","4,525,689.0","4,639,704.0","4,666,454.0","4,620,884.0","4,647,369.0","4,575,978.0","4,584,239.0","4,544,066.0","4,503,847.0","4,390,417.0","4,406,059.0","4,524,351.0","4,584,059.0","4,726,141.0","4,775,328.0","4,801,725.0","4,846,031.0","4,932,981.0","5,028,734.0","5,111,717.0","5,124,947.0","5,161,203.0","5,334,323.0","5,386,130.0","5,444,778.0","5,443,684.0","5,442,193.0","5,449,077.0","5,436,810.0","5,432,984.0","5,240,292.0","5,177,383.0","5,315,506.0","5,449,216.0","5,390,081.0","5,462,673.0","5,391,325.0","5,289,512.0","5,301,744.0","5,321,487.0","5,321,517.0","5,396,425.0","5,568,590.0","5,723,093.0","5,867,951.0","6,026,800.0","6,148,326.0","6,210,524.0","6,265,052.0","6,302,310.0","6,384,851.0","6,484,402.0","6,540,624.0","6,583,373.0","6,627,509.0","6,696,088.0","6,707,441.0","6,732,701.0","6,799,018.0","6,845,235.0","6,961,544.0","6,953,976.0","7,015,549.0","7,053,415.0","7,153,079.0","7,201,068.0","7,223,859.0","7,268,461.0","7,280,097.0","7,349,980.0","7,361,474.0","7,343,856.0","7,233,841.0","7,172,370.0","7,206,886.0","7,239,295.0","7,264,314.0","7,338,636.0","7,434,588.0","7,511,183.0","7,612,400.0","7,635,394.0","7,688,749.0","7,739,318.0","7,854,630.0","7,944,923.0","8,063,994.0","8,105,701.0","8,203,872.0","8,220,728.0","8,225,364.0","8,250,667.0","8,301,700.0","8,375,507.0","8,531,912.0","8,629,448.0","8,677,603.0","8,767,044.0","8,892,976.0","9,019,614.0","9,108,269.0","9,227,604.0","9,343,153.0","9,482,437.0","9,644,038.0","9,760,864.0","9,854,554.0","9,992,929.0","10,174,602.0","10,224,202.0","10,432,340.0","10,447,198.0","10,503,362.0","10,438,861.0","10,488,509.0","10,466,141.0","10,507,956.0","10,613,403.0","10,685,519.0","10,750,428.0","10,782,143.0","10,809,637.0","10,920,567.0","11,098,115.0","11,203,325.0","11,292,094.0","11,419,749.0","11,515,514.0","11,629,530.0","11,728,204.0","11,762,881.0","11,856,250.0","11,931,596.0","12,073,435.0","12,104,597.0","12,116,547.0","12,134,235.0","12,147,767.0","12,236,991.0","12,266,933.0","12,239,667.0","12,171,646.0","12,141,649.0","12,016,382.0","11,732,176.0","11,474,656.0","11,403,180.0","11,496,875.0","11,591,961.0","11,714,982.0","11,876,254.0","12,005,436.0","11,984,949.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
