"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"22","3","  Durable goods","DDURRX1","498,482.0","503,551.0","517,766.0","526,759.0","532,479.0","549,419.0","553,309.0","564,115.0","579,399.0","577,529.0","603,280.0","618,674.0","623,858.0","655,668.0","674,597.0","714,640.0","716,407.0","750,861.0","769,145.0","778,710.0","822,514.0","807,711.0","821,678.0","827,720.0","841,751.0","841,332.0","851,518.0","923,052.0","912,481.0","922,077.0","949,075.0","936,563.0","937,463.0","974,111.0","1,013,204.0","1,019,750.0","1,031,036.0","1,038,271.0","1,058,712.0","1,076,082.0","1,083,293.0","1,113,592.0","1,126,681.0","1,098,405.0","1,142,277.0","1,139,363.0","1,152,103.0","1,167,921.0","1,181,156.0","1,194,470.0","1,205,662.0","1,212,910.0","1,178,646.0","1,169,997.0","1,133,162.0","1,063,913.0","1,076,587.0","1,068,226.0","1,118,302.0","1,115,113.0","1,138,938.0","1,157,837.0","1,179,258.0","1,238,477.0"
"23","4","    Motor vehicles and parts","DMOTRX1","251,556.0","251,355.0","257,576.0","261,959.0","264,665.0","268,791.0","268,168.0","270,409.0","282,487.0","272,853.0","290,710.0","298,486.0","289,822.0","312,171.0","316,426.0","345,792.0","329,626.0","353,105.0","354,161.0","343,691.0","372,892.0","346,111.0","352,246.0","353,263.0","363,115.0","356,996.0","361,259.0","415,944.0","386,312.0","388,460.0","412,909.0","388,463.0","388,800.0","405,349.0","417,484.0","409,494.0","409,223.0","407,482.0","412,305.0","416,266.0","408,832.0","423,677.0","427,561.0","378,518.0","393,252.0","393,247.0","400,344.0","399,688.0","401,608.0","407,423.0","404,437.0","401,991.0","383,024.0","362,109.0","339,781.0","307,883.0","317,059.0","313,531.0","342,692.0","322,726.0","320,636.0","326,011.0","330,149.0","362,281.0"
"24","5","    Furnishings and durable household equipment","DFDHRX1","130,801.0","131,964.0","133,899.0","135,471.0","134,376.0","139,208.0","139,282.0","142,326.0","142,803.0","143,356.0","146,549.0","148,492.0","152,416.0","154,810.0","158,382.0","163,520.0","168,283.0","172,269.0","177,958.0","183,558.0","188,171.0","191,791.0","194,335.0","195,478.0","198,400.0","200,181.0","202,107.0","208,226.0","214,816.0","216,659.0","216,344.0","220,055.0","219,031.0","227,063.0","236,217.0","240,197.0","243,389.0","246,708.0","252,300.0","254,841.0","257,001.0","261,003.0","265,377.0","272,188.0","279,286.0","276,175.0","277,555.0","278,776.0","282,369.0","280,023.0","281,334.0","282,131.0","275,709.0","279,128.0","271,437.0","259,135.0","253,585.0","249,287.0","253,534.0","259,285.0","267,866.0","273,721.0","277,506.0","285,116.0"
"25","6","    Recreational goods and vehicles","DREQRX1","71,255.0","73,429.0","77,850.0","79,880.0","81,867.0","86,392.0","88,897.0","92,058.0","94,977.0","98,946.0","103,038.0","106,571.0","111,805.0","117,349.0","124,911.0","130,680.0","136,676.0","143,326.0","150,527.0","157,644.0","167,679.0","170,086.0","174,488.0","178,376.0","181,361.0","186,489.0","190,826.0","200,566.0","207,845.0","211,173.0","214,013.0","218,457.0","221,077.0","230,641.0","244,483.0","251,638.0","258,664.0","264,282.0","273,400.0","281,388.0","291,578.0","299,773.0","305,339.0","316,720.0","334,541.0","336,602.0","342,961.0","358,806.0","366,580.0","374,404.0","387,193.0","396,714.0","391,268.0","402,950.0","398,941.0","381,496.0","389,430.0","387,245.0","402,831.0","417,866.0","430,701.0","440,337.0","453,159.0","470,121.0"
"26","7","    Other durable goods","DODGRX1","69,390.0","70,050.0","70,314.0","71,130.0","72,534.0","74,834.0","75,336.0","76,843.0","77,184.0","77,170.0","79,049.0","81,138.0","82,900.0","85,778.0","87,440.0","89,322.0","93,064.0","94,315.0","97,146.0","102,137.0","102,658.0","105,942.0","106,546.0","105,873.0","104,431.0","101,923.0","101,233.0","104,388.0","107,258.0","109,304.0","110,089.0","112,561.0","111,182.0","113,682.0","117,241.0","119,959.0","120,926.0","120,649.0","121,303.0","123,944.0","125,890.0","129,090.0","128,310.0","131,115.0","135,526.0","133,821.0","131,947.0","132,203.0","132,543.0","134,860.0","135,964.0","136,237.0","133,349.0","132,551.0","130,532.0","123,331.0","125,131.0","126,549.0","128,074.0","127,804.0","133,427.0","132,695.0","134,840.0","136,310.0"
"27","8","  Nondurable goods","DNDGRX1","1,428,144.0","1,435,165.0","1,440,261.0","1,447,690.0","1,457,063.0","1,475,787.0","1,486,286.0","1,498,322.0","1,507,432.0","1,508,261.0","1,532,540.0","1,543,316.0","1,554,719.0","1,573,924.0","1,585,529.0","1,607,217.0","1,636,906.0","1,652,274.0","1,660,134.0","1,694,136.0","1,679,513.0","1,713,067.0","1,724,719.0","1,741,570.0","1,731,414.0","1,739,683.0","1,748,107.0","1,763,233.0","1,770,395.0","1,772,672.0","1,777,696.0","1,800,221.0","1,819,521.0","1,827,959.0","1,863,817.0","1,871,298.0","1,888,935.0","1,893,954.0","1,907,813.0","1,927,578.0","1,949,629.0","1,961,527.0","1,971,843.0","1,990,700.0","2,003,718.0","2,011,559.0","2,024,538.0","2,054,704.0","2,060,218.0","2,058,983.0","2,067,748.0","2,070,345.0","2,054,493.0","2,064,619.0","2,035,625.0","2,010,114.0","2,012,022.0","2,008,290.0","2,016,855.0","2,032,344.0","2,053,486.0","2,063,360.0","2,076,213.0","2,101,665.0"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARX1","549,903.0","547,214.0","547,280.0","549,664.0","552,158.0","554,754.0","553,710.0","555,476.0","559,389.0","556,466.0","559,770.0","559,777.0","559,257.0","563,788.0","567,602.0","571,544.0","578,277.0","584,041.0","589,071.0","598,146.0","592,174.0","600,935.0","601,719.0","607,591.0","605,418.0","609,411.0","607,286.0","608,320.0","605,797.0","606,778.0","609,159.0","614,364.0","622,626.0","617,172.0","626,488.0","623,340.0","634,515.0","635,653.0","639,118.0","647,628.0","656,622.0","658,632.0","669,936.0","674,869.0","676,664.0","684,161.0","686,608.0","697,545.0","697,277.0","693,466.0","696,380.0","702,742.0","700,262.0","699,755.0","691,232.0","675,146.0","675,183.0","681,163.0","687,798.0","696,340.0","702,737.0","697,570.0","703,013.0","711,441.0"
"29","10","    Clothing and footwear","DCLORX1","197,633.0","199,726.0","203,309.0","203,504.0","204,899.0","209,958.0","213,485.0","214,833.0","214,928.0","213,011.0","220,091.0","222,877.0","227,638.0","231,464.0","229,780.0","235,117.0","243,615.0","245,717.0","247,351.0","247,989.0","252,029.0","257,489.0","260,300.0","262,501.0","258,289.0","259,975.0","259,669.0","264,148.0","267,139.0","267,262.0","265,636.0","273,949.0","274,219.0","281,794.0","288,811.0","288,860.0","296,406.0","292,867.0","296,860.0","302,960.0","307,428.0","314,657.0","315,051.0","325,032.0","329,488.0","327,163.0","331,715.0","337,539.0","341,650.0","342,867.0","345,724.0","345,003.0","343,094.0","351,624.0","341,448.0","330,814.0","328,205.0","324,551.0","324,944.0","329,526.0","339,005.0","344,298.0","343,359.0","354,918.0"
"30","11","    Gasoline and other energy goods","DGOERX1","264,068.0","266,206.0","263,230.0","263,802.0","267,371.0","269,082.0","269,164.0","268,408.0","270,173.0","273,937.0","275,142.0","276,449.0","278,797.0","283,252.0","285,925.0","287,099.0","289,031.0","295,483.0","291,922.0","293,390.0","282,878.0","288,297.0","289,538.0","287,789.0","289,056.0","285,392.0","290,727.0","291,617.0","290,597.0","294,052.0","295,722.0","295,562.0","296,103.0","299,370.0","304,944.0","308,198.0","306,857.0","307,539.0","305,594.0","306,119.0","309,849.0","306,406.0","302,697.0","300,343.0","296,425.0","297,229.0","299,991.0","299,866.0","298,367.0","296,372.0","296,123.0","292,774.0","287,179.0","284,008.0","274,737.0","282,206.0","286,954.0","286,473.0","285,092.0","283,472.0","283,958.0","286,091.0","286,125.0","283,857.0"
"31","12","    Other nondurable goods","DONGRX1","437,033.0","442,328.0","444,138.0","448,464.0","451,157.0","459,126.0","465,725.0","474,540.0","478,424.0","482,279.0","492,753.0","498,865.0","502,925.0","509,626.0","517,719.0","527,188.0","537,197.0","540,209.0","542,846.0","564,807.0","558,481.0","572,202.0","578,493.0","587,795.0","584,002.0","588,775.0","595,512.0","603,304.0","609,769.0","608,818.0","611,925.0","619,313.0","628,952.0","632,017.0","645,768.0","653,625.0","652,720.0","659,542.0","667,035.0","671,235.0","676,082.0","681,578.0","683,836.0","690,681.0","701,891.0","703,742.0","706,926.0","721,078.0","724,726.0","728,510.0","732,052.0","732,842.0","727,656.0","735,219.0","736,090.0","726,059.0","725,555.0","719,188.0","721,687.0","726,037.0","731,867.0","739,987.0","748,027.0","757,561.0"
"32","13","Services","DSERRX1","4,159,078.0","4,196,680.0","4,226,589.0","4,250,476.0","4,292,089.0","4,320,635.0","4,343,731.0","4,369,278.0","4,404,824.0","4,434,714.0","4,487,445.0","4,533,125.0","4,583,542.0","4,639,433.0","4,695,808.0","4,728,508.0","4,768,458.0","4,822,355.0","4,880,272.0","4,940,089.0","5,014,818.0","5,073,095.0","5,120,121.0","5,165,054.0","5,189,338.0","5,211,370.0","5,225,401.0","5,248,639.0","5,282,654.0","5,310,536.0","5,329,179.0","5,350,101.0","5,371,800.0","5,398,686.0","5,435,671.0","5,467,466.0","5,518,285.0","5,551,657.0","5,589,600.0","5,650,789.0","5,686,394.0","5,727,869.0","5,767,133.0","5,798,930.0","5,841,003.0","5,884,155.0","5,914,292.0","5,959,424.0","5,994,433.0","6,018,302.0","6,038,655.0","6,061,742.0","6,090,605.0","6,090,165.0","6,069,953.0","6,078,490.0","6,053,575.0","6,027,709.0","6,020,685.0","6,028,663.0","6,029,578.0","6,053,382.0","6,076,854.0","6,101,927.0"
"33","14","  Household consumption expenditures (for services)","DHCERX1","4,021,404.0","4,057,729.0","4,087,029.0","4,108,096.0","4,144,878.0","4,171,621.0","4,193,570.0","4,222,969.0","4,266,660.0","4,297,578.0","4,350,491.0","4,394,203.0","4,440,021.0","4,491,227.0","4,542,026.0","4,569,212.0","4,608,022.0","4,660,761.0","4,717,478.0","4,775,319.0","4,844,563.0","4,902,226.0","4,942,497.0","4,981,966.0","5,005,271.0","5,023,261.0","5,033,927.0","5,052,900.0","5,083,183.0","5,106,094.0","5,116,358.0","5,131,755.0","5,154,058.0","5,178,049.0","5,215,609.0","5,248,249.0","5,298,271.0","5,333,604.0","5,372,649.0","5,432,666.0","5,472,950.0","5,514,202.0","5,554,371.0","5,582,499.0","5,618,225.0","5,652,112.0","5,671,356.0","5,716,036.0","5,753,672.0","5,780,794.0","5,792,388.0","5,805,887.0","5,830,237.0","5,828,546.0","5,802,073.0","5,803,619.0","5,793,526.0","5,778,438.0","5,766,451.0","5,769,694.0","5,769,918.0","5,791,660.0","5,814,416.0","5,838,610.0"
"34","15","    Housing and utilities","DHUTRX1","1,217,392.0","1,232,075.0","1,244,330.0","1,245,685.0","1,258,351.0","1,260,797.0","1,258,171.0","1,269,436.0","1,273,687.0","1,284,918.0","1,292,791.0","1,310,215.0","1,312,299.0","1,328,557.0","1,339,298.0","1,338,877.0","1,354,235.0","1,368,196.0","1,382,573.0","1,382,096.0","1,388,134.0","1,406,273.0","1,418,621.0","1,441,671.0","1,449,479.0","1,448,343.0","1,454,553.0","1,453,623.0","1,453,722.0","1,460,036.0","1,462,640.0","1,471,609.0","1,475,503.0","1,478,436.0","1,478,498.0","1,488,364.0","1,496,417.0","1,504,493.0","1,512,700.0","1,537,448.0","1,556,600.0","1,577,724.0","1,594,259.0","1,602,782.0","1,598,937.0","1,617,838.0","1,627,553.0","1,622,547.0","1,625,786.0","1,624,797.0","1,628,587.0","1,626,248.0","1,636,329.0","1,637,559.0","1,630,855.0","1,649,737.0","1,650,125.0","1,651,961.0","1,659,366.0","1,666,335.0","1,664,307.0","1,668,898.0","1,682,978.0","1,685,579.0"
"35","16","    Health care","DHLCRX1","940,271.0","944,618.0","950,302.0","954,786.0","955,212.0","964,612.0","968,194.0","980,327.0","985,602.0","990,926.0","1,001,207.0","1,010,711.0","1,023,330.0","1,028,197.0","1,032,908.0","1,033,582.0","1,035,805.0","1,039,915.0","1,048,352.0","1,058,277.0","1,064,448.0","1,078,508.0","1,085,846.0","1,097,297.0","1,113,123.0","1,125,738.0","1,142,340.0","1,160,584.0","1,183,462.0","1,200,320.0","1,209,591.0","1,215,908.0","1,221,576.0","1,224,842.0","1,232,232.0","1,239,023.0","1,247,420.0","1,260,890.0","1,277,597.0","1,288,676.0","1,304,449.0","1,311,084.0","1,321,320.0","1,326,953.0","1,337,317.0","1,339,244.0","1,335,776.0","1,347,689.0","1,362,929.0","1,368,234.0","1,372,881.0","1,382,252.0","1,401,504.0","1,411,002.0","1,410,120.0","1,417,435.0","1,430,028.0","1,442,058.0","1,441,585.0","1,447,916.0","1,446,655.0","1,457,627.0","1,461,897.0","1,472,413.0"
"36","17","    Transportation services","DTRSRX1","208,687.0","211,022.0","215,507.0","220,144.0","225,620.0","229,159.0","233,005.0","237,676.0","244,442.0","247,417.0","251,187.0","252,225.0","254,514.0","257,658.0","260,585.0","263,938.0","267,619.0","270,856.0","276,212.0","279,269.0","282,904.0","285,901.0","287,638.0","288,451.0","288,533.0","287,114.0","281,737.0","276,963.0","277,732.0","275,346.0","275,053.0","275,237.0","275,834.0","274,508.0","277,717.0","278,880.0","280,848.0","283,171.0","283,664.0","285,226.0","285,199.0","286,112.0","287,206.0","285,082.0","283,166.0","284,714.0","284,534.0","287,530.0","289,175.0","289,132.0","287,836.0","285,903.0","282,188.0","277,215.0","271,329.0","261,533.0","254,394.0","251,284.0","249,282.0","248,634.0","250,763.0","253,312.0","255,743.0","256,858.0"
"37","18","    Recreation services","DRCARX1","237,769.0","243,976.0","247,685.0","251,581.0","252,259.0","254,920.0","258,825.0","259,351.0","261,870.0","263,727.0","264,792.0","267,518.0","270,809.0","271,050.0","274,425.0","276,869.0","279,325.0","283,815.0","289,996.0","293,350.0","293,193.0","295,784.0","296,280.0","295,639.0","298,020.0","294,980.0","293,392.0","293,181.0","295,163.0","295,631.0","296,420.0","299,747.0","299,053.0","303,158.0","307,649.0","312,039.0","317,279.0","320,556.0","322,197.0","322,811.0","326,015.0","326,176.0","326,516.0","328,440.0","332,410.0","334,043.0","338,117.0","345,239.0","346,854.0","350,231.0","353,926.0","353,965.0","353,667.0","352,559.0","348,532.0","345,404.0","345,838.0","343,338.0","339,477.0","338,583.0","338,500.0","338,217.0","341,786.0","341,289.0"
"38","19","    Food services and accommodations","DFSARX1","415,429.0","416,122.0","416,695.0","415,890.0","415,966.0","418,050.0","418,654.0","422,444.0","426,618.0","426,489.0","431,021.0","428,039.0","432,814.0","438,160.0","439,822.0","445,973.0","444,474.0","447,165.0","448,970.0","459,520.0","467,011.0","471,122.0","472,786.0","471,265.0","474,781.0","470,171.0","467,635.0","466,969.0","473,813.0","477,498.0","478,406.0","479,198.0","482,629.0","489,917.0","499,188.0","502,517.0","506,072.0","506,163.0","508,988.0","513,780.0","516,512.0","524,470.0","527,202.0","533,049.0","544,661.0","538,694.0","538,660.0","544,388.0","544,139.0","549,133.0","553,119.0","558,429.0","550,950.0","552,918.0","548,052.0","538,290.0","532,238.0","527,241.0","525,356.0","526,094.0","534,965.0","538,315.0","541,988.0","547,449.0"
"39","20","    Financial services and insurance","DIFSRX1","482,049.0","487,645.0","492,351.0","495,642.0","503,882.0","508,631.0","506,550.0","511,976.0","517,152.0","518,274.0","531,323.0","534,155.0","540,330.0","553,031.0","564,536.0","576,640.0","582,862.0","597,946.0","610,437.0","631,246.0","662,395.0","664,188.0","666,501.0","668,440.0","659,133.0","658,860.0","656,552.0","668,383.0","662,323.0","657,894.0","659,368.0","653,750.0","647,872.0","653,188.0","660,848.0","669,271.0","683,138.0","686,708.0","690,639.0","706,619.0","703,197.0","710,751.0","717,195.0","719,335.0","726,034.0","731,311.0","735,629.0","748,770.0","755,853.0","765,654.0","769,809.0","774,235.0","774,904.0","772,133.0","772,792.0","763,906.0","753,915.0","746,218.0","739,400.0","732,523.0","727,396.0","729,465.0","720,744.0","725,843.0"
