"","Table 3#4# Personal Current Tax Receipts                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Personal current taxes \1\","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,488,657.0","1,438,202.0","1,140,025.0"
"20","2","Federal","A074RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,234.0","162,153.0","188,947.0","224,634.0","249,964.0","290,550.0","294,963.0","286,220.0","301,389.0","335,979.0","350,012.0","392,458.0","402,844.0","451,456.0","470,149.0","461,314.0","475,226.0","505,466.0","542,514.0","585,789.0","663,282.0","744,153.0","825,206.0","893,040.0","995,551.0","991,814.0","828,617.0","774,178.0","799,242.0","931,859.0","1,049,931.0","1,165,564.0","1,102,773.0","852,741.0"
"21","3","  Income taxes","B231RC1","91,700.0","88,853.0","85,803.0","102,757.0","109,581.0","126,525.0","120,730.0","141,234.0","162,153.0","188,947.0","224,634.0","249,964.0","290,550.0","294,963.0","286,220.0","301,389.0","335,979.0","350,012.0","392,458.0","402,844.0","451,456.0","470,149.0","461,314.0","475,226.0","505,466.0","542,514.0","585,789.0","663,282.0","744,153.0","825,206.0","893,040.0","995,551.0","991,814.0","828,617.0","774,178.0","799,242.0","931,859.0","1,049,931.0","1,165,564.0","1,102,773.0","852,741.0"
"22","4","    Withheld","PTN0181","74,574.0","76,222.0","75,999.0","91,341.0","104,508.0","118,874.0","120,236.0","132,484.0","149,198.0","173,024.0","202,379.0","229,729.0","261,067.0","264,494.0","265,730.0","284,061.0","304,269.0","318,516.0","326,451.0","346,524.0","371,735.0","397,052.0","400,825.0","408,937.0","434,721.0","465,902.0","501,426.0","548,820.0","595,325.0","648,486.0","717,882.0","779,501.0","800,723.0","733,720.0","724,959.0","748,780.0","803,521.0","866,071.0","952,162.0","949,888.0","832,296.0"
"23","5","    Declarations and settlements","PTN1001","27,355.0","25,990.0","24,324.0","25,761.0","27,307.0","31,675.0","34,928.0","36,288.0","42,453.0","48,066.0","56,154.0","63,894.0","77,216.0","85,625.0","81,329.0","82,173.0","98,432.0","103,636.0","138,911.0","128,648.0","149,921.0","146,553.0","140,665.0","146,077.0","146,329.0","153,724.0","170,295.0","203,802.0","242,624.0","276,740.0","300,339.0","350,154.0","339,939.0","276,429.0","228,107.0","237,366.0","308,766.0","380,252.0","420,162.0","439,145.0","296,085.0"
"24","6","    Less: Refunds","PTN2001","10,229.0","13,359.0","14,520.0","14,345.0","22,234.0","24,024.0","34,434.0","27,538.0","29,498.0","32,143.0","33,899.0","43,659.0","47,733.0","55,156.0","60,839.0","64,845.0","66,722.0","72,140.0","72,904.0","72,328.0","70,200.0","73,456.0","80,176.0","79,788.0","75,584.0","77,112.0","85,932.0","89,340.0","93,796.0","100,020.0","125,180.0","134,104.0","148,848.0","181,532.0","178,888.0","186,904.0","180,428.0","196,392.0","206,760.0","286,260.0","275,640.0"
"25","7","  Other taxes \2\","B035RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","State and local","W071RC1","12,806.0","14,217.0","15,902.0","20,883.0","22,826.0","24,523.0","26,877.0","31,074.0","35,366.0","40,450.0","44,032.0","48,891.0","54,615.0","59,147.0","66,105.0","76,023.0","81,360.0","87,205.0","96,600.0","102,094.0","114,639.0","122,559.0","125,311.0","135,305.0","141,067.0","147,990.0","158,109.0","168,673.0","181,998.0","201,221.0","214,486.0","236,708.0","243,018.0","221,801.0","226,169.0","248,579.0","276,730.0","302,471.0","323,093.0","335,429.0","287,284.0"
"27","9","  Income taxes","B245RC1","9,769.0","10,903.0","12,440.0","17,197.0","18,864.0","20,351.0","22,453.0","26,259.0","30,385.0","34,981.0","38,214.0","42,594.0","47,912.0","51,887.0","58,285.0","67,471.0","72,122.0","77,449.0","85,959.0","90,599.0","102,270.0","109,594.0","111,720.0","120,377.0","126,225.0","132,241.0","141,737.0","152,326.0","164,667.0","183,020.0","195,532.0","217,354.0","223,336.0","201,263.0","204,072.0","224,737.0","251,700.0","276,079.0","295,915.0","307,973.0","259,082.0"
"28","10","  Motor vehicle licenses","S210301","1,879.0","2,054.0","2,167.0","2,368.0","2,607.0","2,696.0","2,825.0","3,142.0","3,323.0","3,557.0","3,749.0","3,964.0","4,193.0","4,550.0","4,868.0","5,337.0","5,862.0","6,286.0","6,753.0","7,301.0","7,753.0","8,104.0","8,387.0","9,153.0","8,927.0","9,169.0","9,746.0","9,303.0","9,922.0","10,415.0","10,798.0","11,408.0","11,325.0","11,934.0","12,656.0","13,682.0","14,025.0","14,744.0","15,069.0","15,207.0","15,456.0"
"29","11","  Property taxes","S210401","793.0","837.0","861.0","876.0","889.0","863.0","906.0","914.0","894.0","1,046.0","1,143.0","1,232.0","1,273.0","1,385.0","1,534.0","1,643.0","1,787.0","2,036.0","2,305.0","2,479.0","2,771.0","2,972.0","3,223.0","3,652.0","3,623.0","4,061.0","4,166.0","4,536.0","4,618.0","4,835.0","5,131.0","4,848.0","5,065.0","5,178.0","5,751.0","5,740.0","6,153.0","6,582.0","6,862.0","7,019.0","7,360.0"
"30","12","  Other taxes \3\","S210501","365.0","423.0","434.0","442.0","466.0","613.0","693.0","759.0","764.0","866.0","926.0","1,101.0","1,237.0","1,325.0","1,418.0","1,572.0","1,589.0","1,434.0","1,583.0","1,715.0","1,845.0","1,889.0","1,981.0","2,123.0","2,292.0","2,519.0","2,460.0","2,508.0","2,791.0","2,951.0","3,025.0","3,098.0","3,292.0","3,426.0","3,690.0","4,420.0","4,852.0","5,066.0","5,247.0","5,230.0","5,386.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Consists of the dividends tax in 1933-34 and of the automobile use tax in 1942-46.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
