"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"43","24","Residual","A977RX1","-22,800.0","-20,700.0","-18,800.0","-15,800.0","-13,200.0","-14,700.0","-12,600.0","-14,600.0","-11,100.0","-8,600.0","-6,700.0","-6,400.0","-8,300.0","-8,400.0","-9,500.0","-8,900.0","-6,400.0","-4,100.0","-3,100.0","-2,700.0","1,000.0","3,100.0","5,000.0","5,000.0","3,100.0","400.0","-2,000.0","-2,000.0","-4,000.0","-3,400.0","-2,700.0","-3,200.0","-3,300.0","-1,800.0","-1,300.0","-500.0","-1,000.0","-1,100.0","-300.0","-100.0","-200.0","400.0","100.0","-400.0","0.0","-200.0","-300.0","-400.0","-300.0","-100.0","300.0","900.0","2,200.0","800.0","200.0","2,800.0","7,600.0","8,700.0","7,000.0","7,900.0","5,600.0","1,600.0","1,900.0","2,300.0"
"44","25","    Imports of goods and services","A021RX1","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,192,720.0","2,217,475.0","2,244,568.0","2,182,397.0","2,174,606.0","2,190,400.0","2,189,780.0","2,052,211.0","1,840,835.0","1,789,850.0","1,880,823.0","1,903,558.0","1,954,800.0","2,101,053.0","2,184,296.0","2,106,083.0"
"45","26","Imports of goods \1\","A255RX1","755,326.0","765,745.0","767,386.0","776,021.0","803,637.0","823,850.0","851,771.0","872,474.0","910,027.0","944,640.0","979,034.0","1,001,068.0","1,038,082.0","1,062,418.0","1,074,547.0","1,114,063.0","1,144,435.0","1,184,612.0","1,230,980.0","1,263,895.0","1,312,813.0","1,354,182.0","1,402,021.0","1,402,413.0","1,381,298.0","1,325,983.0","1,300,593.0","1,288,939.0","1,314,328.0","1,370,172.0","1,395,488.0","1,413,492.0","1,397,947.0","1,434,455.0","1,440,265.0","1,490,952.0","1,526,401.0","1,592,919.0","1,618,790.0","1,660,669.0","1,675,033.0","1,694,894.0","1,706,284.0","1,755,709.0","1,782,719.0","1,804,741.0","1,829,253.0","1,818,589.0","1,848,880.0","1,870,545.0","1,893,915.0","1,835,367.0","1,820,144.0","1,840,864.0","1,836,089.0","1,689,327.0","1,493,269.0","1,452,038.0","1,542,717.0","1,566,062.0","1,610,988.0","1,753,929.0","1,825,512.0","1,750,424.0"
"46","27","  Foods, feeds, and beverages","B647RX1","34,599.0","33,991.0","34,539.0","34,885.0","36,575.0","37,188.0","38,811.0","39,230.0","39,821.0","41,147.0","43,212.0","42,994.0","44,448.0","44,597.0","45,040.0","45,333.0","47,162.0","49,063.0","49,580.0","50,258.0","50,665.0","52,012.0","53,394.0","53,406.0","52,651.0","53,715.0","56,953.0","55,745.0","56,046.0","57,381.0","58,624.0","58,566.0","60,212.0","61,367.0","62,693.0","64,223.0","64,814.0","66,269.0","65,434.0","66,329.0","66,020.0","67,305.0","69,152.0","69,900.0","71,961.0","71,394.0","72,186.0","73,337.0","74,362.0","72,864.0","73,321.0","72,018.0","72,711.0","72,136.0","71,501.0","72,338.0","69,097.0","68,404.0","67,992.0","67,557.0","70,404.0","71,340.0","71,231.0","68,306.0"
"47","28","  Industrial supplies and materials, except petroleum and products","A649RX1","152,331.0","153,747.0","147,687.0","148,088.0","152,606.0","156,087.0","161,442.0","165,957.0","165,964.0","170,806.0","173,760.0","178,051.0","185,876.0","192,163.0","192,852.0","193,821.0","191,485.0","197,086.0","202,413.0","210,835.0","213,550.0","213,647.0","215,949.0","212,850.0","214,620.0","204,117.0","204,574.0","203,117.0","205,354.0","210,231.0","214,607.0","219,801.0","210,075.0","213,656.0","219,846.0","219,946.0","228,663.0","247,704.0","259,580.0","261,856.0","264,046.0","263,051.0","261,563.0","275,467.0","277,562.0","277,887.0","282,813.0","271,327.0","264,985.0","272,410.0","272,803.0","255,899.0","251,421.0","250,338.0","253,745.0","230,690.0","196,000.0","173,803.0","184,214.0","192,778.0","205,876.0","220,461.0","220,795.0","210,014.0"
"48","29","    Durable goods","A820RX1","74,441.0","73,295.0","68,631.0","69,478.0","72,854.0","75,319.0","77,847.0","80,109.0","79,509.0","81,499.0","82,466.0","86,167.0","91,077.0","95,222.0","96,268.0","97,922.0","96,046.0","97,308.0","98,061.0","104,461.0","106,858.0","105,750.0","104,738.0","104,639.0","103,774.0","98,207.0","97,924.0","97,519.0","102,608.0","102,826.0","104,833.0","107,868.0","105,200.0","103,166.0","104,180.0","109,883.0","113,746.0","124,155.0","132,400.0","137,916.0","136,412.0","136,109.0","130,843.0","140,697.0","151,644.0","148,747.0","151,131.0","143,383.0","138,717.0","138,305.0","133,719.0","126,324.0","127,186.0","124,805.0","124,262.0","114,634.0","94,430.0","80,707.0","81,526.0","87,212.0","95,425.0","103,699.0","101,464.0","95,154.0"
"49","30","    Nondurable goods","B696RX1","78,162.0","80,945.0","79,717.0","79,196.0","80,227.0","81,164.0","84,005.0","86,257.0","86,936.0","89,851.0","91,930.0","92,278.0","95,042.0","97,021.0","96,545.0","95,668.0","95,307.0","99,909.0","104,830.0","106,467.0","106,592.0","107,987.0","111,543.0","108,533.0","111,119.0","106,178.0","106,992.0","105,953.0","102,646.0","107,615.0","110,048.0","112,211.0","105,215.0","110,645.0","115,827.0","110,153.0","115,089.0","123,740.0","127,212.0","123,644.0","127,732.0","126,992.0","130,703.0","134,637.0","125,893.0","128,813.0","131,109.0","127,562.0","126,177.0","134,632.0","140,440.0","130,668.0","124,991.0","126,317.0","130,380.0","116,843.0","102,333.0","93,943.0","104,169.0","106,784.0","111,414.0","117,529.0","120,583.0","116,331.0"
"50","31","  Petroleum and products","B648RX1","168,724.0","161,327.0","170,674.0","171,792.0","177,092.0","180,659.0","183,672.0","187,821.0","188,419.0","185,971.0","188,584.0","196,455.0","199,959.0","200,719.0","204,428.0","206,667.0","208,755.0","205,078.0","205,714.0","198,766.0","213,728.0","211,630.0","215,955.0","222,334.0","233,708.0","222,121.0","212,008.0","221,257.0","210,428.0","215,282.0","214,812.0","227,705.0","218,382.0","237,294.0","239,841.0","230,694.0","247,720.0","241,209.0","243,267.0","255,351.0","250,575.0","249,075.0","249,014.0","258,759.0","244,119.0","247,101.0","259,753.0","237,499.0","246,466.0","264,094.0","274,090.0","251,426.0","241,421.0","248,351.0","264,682.0","253,756.0","232,518.0","230,994.0","246,283.0","209,748.0","207,963.0","240,400.0","263,152.0","214,073.0"
"51","32","  Capital goods, except automotive","A650RX1","123,779.0","131,725.0","139,489.0","146,330.0","150,356.0","153,762.0","160,891.0","171,116.0","182,955.0","195,644.0","206,719.0","212,992.0","223,005.0","227,949.0","230,088.0","237,073.0","242,582.0","258,446.0","270,576.0","280,881.0","289,788.0","314,147.0","330,035.0","330,153.0","313,763.0","280,645.0","264,775.0","260,985.0","268,259.0","276,900.0","277,586.0","279,313.0","280,615.0","287,420.0","289,523.0","308,107.0","320,731.0","338,837.0","349,770.0","360,320.0","362,835.0","380,456.0","383,642.0","396,024.0","411,075.0","419,843.0","428,861.0","432,432.0","442,839.0","448,998.0","455,645.0","457,856.0","467,638.0","477,223.0","466,109.0","427,997.0","377,309.0","363,381.0","381,061.0","408,631.0","423,608.0","467,992.0","486,140.0","497,395.0"
"52","33","    Civilian aircraft, engines, and parts","B932RX1","14,530.0","14,967.0","13,980.0","14,274.0","14,406.0","16,346.0","16,847.0","17,858.0","17,505.0","19,162.0","23,547.0","22,418.0","22,159.0","27,674.0","27,520.0","29,427.0","27,016.0","27,764.0","30,781.0","28,764.0","27,601.0","29,251.0","30,999.0","35,016.0","35,323.0","34,936.0","34,337.0","36,051.0","31,553.0","27,231.0","24,472.0","28,603.0","25,337.0","25,761.0","24,458.0","27,737.0","22,171.0","25,573.0","24,771.0","28,275.0","25,956.0","28,242.0","23,927.0","24,878.0","27,541.0","26,572.0","26,089.0","29,054.0","30,789.0","32,025.0","31,659.0","31,485.0","32,713.0","33,031.0","29,351.0","27,067.0","24,974.0","25,935.0","24,160.0","25,001.0","24,314.0","24,299.0","25,441.0","24,867.0"
"53","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","35","    Other","B853RX1","101,794.0","107,705.0","113,298.0","116,570.0","119,716.0","120,468.0","126,556.0","135,483.0","143,710.0","151,952.0","157,473.0","163,933.0","169,866.0","168,245.0","169,725.0","169,693.0","172,248.0","182,154.0","190,319.0","200,648.0","211,754.0","229,070.0","238,022.0","237,976.0","225,458.0","195,281.0","181,399.0","174,375.0","178,491.0","190,644.0","193,399.0","191,349.0","193,757.0","198,506.0","199,912.0","209,751.0","224,240.0","233,840.0","240,652.0","244,293.0","248,411.0","261,331.0","264,509.0","272,465.0","279,289.0","285,891.0","291,227.0","290,905.0","290,878.0","298,425.0","305,942.0","306,297.0","309,999.0","314,721.0","312,819.0","293,603.0","250,894.0","229,972.0","238,489.0","248,726.0","261,505.0","291,555.0","314,500.0","324,523.0"
"55","36","  Automotive vehicles, engines, and parts","B651RX1","138,616.0","134,749.0","126,973.0","124,480.0","129,998.0","137,314.0","140,700.0","134,602.0","146,187.0","146,484.0","147,725.0","146,064.0","151,174.0","152,813.0","150,419.0","169,965.0","178,161.0","182,779.0","191,197.0","194,496.0","204,964.0","202,344.0","204,131.0","200,069.0","195,685.0","197,525.0","199,050.0","194,575.0","200,468.0","210,576.0","215,821.0","215,327.0","211,687.0","217,873.0","211,017.0","223,358.0","225,002.0","232,690.0","232,268.0","232,407.0","232,143.0","234,697.0","240,011.0","250,945.0","256,769.0","255,898.0","250,127.0","259,791.0","250,927.0","253,255.0","260,553.0","247,766.0","243,846.0","244,379.0","220,703.0","180,609.0","122,487.0","124,550.0","168,029.0","186,570.0","191,957.0","219,143.0","227,209.0","216,546.0"
"56","37","  Consumer goods, except automotive","A652RX1","153,014.0","153,744.0","154,190.0","150,673.0","157,832.0","160,065.0","167,714.0","172,971.0","177,161.0","185,567.0","192,515.0","199,130.0","206,517.0","213,811.0","217,155.0","218,560.0","227,014.0","232,853.0","245,274.0","255,829.0","266,060.0","280,302.0","287,273.0","295,624.0","292,503.0","288,388.0","285,252.0","281,611.0","292,207.0","312,531.0","324,577.0","328,613.0","334,342.0","335,805.0","342,694.0","357,429.0","362,260.0","383,020.0","380,542.0","396,398.0","408,492.0","412,683.0","409,251.0","415,707.0","430,367.0","437,088.0","447,249.0","463,093.0","476,618.0","467,745.0","463,822.0","472,077.0","472,555.0","475,426.0","475,041.0","436,367.0","409,439.0","406,143.0","412,153.0","430,614.0","438,644.0","464,082.0","483,763.0","483,500.0"
"57","38","    Durable goods","B697RX1","75,383.0","75,442.0","75,374.0","74,518.0","78,433.0","79,744.0","83,897.0","84,662.0","87,275.0","91,015.0","94,152.0","98,162.0","102,869.0","106,804.0","108,468.0","110,755.0","112,759.0","119,680.0","125,832.0","130,683.0","139,587.0","144,487.0","147,468.0","153,091.0","148,766.0","143,933.0","143,544.0","143,341.0","150,727.0","163,198.0","167,204.0","166,815.0","166,188.0","168,477.0","176,737.0","187,320.0","189,405.0","201,953.0","202,843.0","214,432.0","219,704.0","220,786.0","226,985.0","228,580.0","236,799.0","235,469.0","242,384.0","254,597.0","259,785.0","253,548.0","258,135.0","264,686.0","259,555.0","262,067.0","264,141.0","235,626.0","216,880.0","217,198.0","217,072.0","226,618.0","236,421.0","253,076.0","264,456.0","264,860.0"
"58","39","    Nondurable goods","B698RX1","77,962.0","78,678.0","79,235.0","76,443.0","79,650.0","80,549.0","84,011.0","88,753.0","90,265.0","94,995.0","98,850.0","101,386.0","103,978.0","107,319.0","109,002.0","108,003.0","114,627.0","113,265.0","119,555.0","125,300.0","126,394.0","135,902.0","139,933.0","142,569.0","143,945.0","144,830.0","142,009.0","138,480.0","141,604.0","149,367.0","157,514.0","162,032.0","168,508.0","167,623.0","166,100.0","170,170.0","172,934.0","181,130.0","177,728.0","181,949.0","188,783.0","191,895.0","182,272.0","187,128.0","193,572.0","201,635.0","204,871.0","208,467.0","216,813.0","214,177.0","205,681.0","207,399.0","212,979.0","213,357.0","210,923.0","200,680.0","192,403.0","188,846.0","194,903.0","203,806.0","202,173.0","211,056.0","219,390.0","218,756.0"
"59","40","  Other","A653RX1","45,916.0","47,918.0","44,470.0","47,211.0","48,433.0","49,117.0","47,380.0","47,421.0","51,028.0","53,773.0","57,904.0","59,150.0","59,419.0","61,081.0","66,666.0","71,364.0","74,314.0","75,655.0","77,267.0","76,969.0","81,278.0","80,086.0","93,126.0","87,745.0","86,486.0","88,890.0","86,808.0","87,278.0","87,767.0","90,672.0","91,079.0","91,018.0","84,858.0","88,279.0","83,310.0","87,196.0","81,823.0","83,387.0","88,374.0","89,531.0","91,626.0","87,666.0","93,564.0","88,254.0","93,141.0","97,743.0","88,206.0","85,998.0","96,709.0","91,818.0","93,135.0","85,701.0","85,530.0","86,724.0","81,285.0","78,489.0","78,037.0","77,355.0","76,285.0","77,073.0","83,179.0","77,615.0","77,983.0","83,629.0"
"60","41","Imports of services \1\","B656RX1","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","343,824.0","346,901.0","350,647.0","347,108.0","355,010.0","349,558.0","353,817.0","363,710.0","347,384.0","337,505.0","338,727.0","338,271.0","344,646.0","348,324.0","360,109.0","356,682.0"
"61","42","  Direct defense expenditures","B752RX1","14,093.0","12,362.0","12,503.0","13,116.0","14,379.0","14,198.0","14,475.0","14,534.0","15,757.0","15,361.0","17,175.0","18,096.0","17,868.0","17,003.0","18,468.0","17,799.0","18,147.0","19,322.0","20,416.0","18,666.0","19,027.0","20,327.0","21,131.0","19,570.0","20,130.0","20,438.0","21,473.0","25,414.0","26,590.0","27,023.0","27,185.0","27,794.0","28,555.0","30,109.0","31,461.0","33,201.0","32,111.0","33,572.0","32,821.0","30,241.0","29,828.0","30,419.0","29,999.0","30,054.0","30,873.0","29,219.0","29,522.0","28,326.0","24,944.0","24,601.0","23,687.0","22,624.0","22,156.0","21,399.0","22,098.0","25,245.0","26,212.0","25,993.0","25,117.0","24,006.0","24,528.0","26,005.0","27,467.0","25,884.0"
"62","43","  Travel","B768RX1","56,658.0","55,286.0","54,019.0","57,080.0","58,668.0","56,895.0","57,998.0","58,238.0","61,821.0","61,221.0","63,741.0","65,006.0","69,848.0","71,136.0","72,013.0","71,632.0","70,447.0","72,014.0","73,024.0","74,653.0","79,490.0","80,292.0","80,411.0","82,836.0","81,022.0","85,889.0","74,474.0","66,274.0","73,678.0","71,648.0","69,740.0","73,666.0","69,358.0","58,253.0","66,225.0","69,359.0","70,020.0","70,882.0","70,190.0","69,760.0","70,585.0","69,073.0","67,178.0","69,044.0","69,572.0","69,591.0","68,562.0","69,749.0","69,148.0","67,704.0","67,658.0","67,243.0","67,299.0","64,120.0","64,015.0","71,694.0","71,837.0","64,127.0","63,662.0","61,780.0","62,239.0","61,211.0","64,407.0","63,401.0"
"63","44","  Passenger fares","B769RX1","19,583.0","20,639.0","21,297.0","21,648.0","21,608.0","21,946.0","22,644.0","22,307.0","23,251.0","24,382.0","24,794.0","23,349.0","24,214.0","26,121.0","26,911.0","26,881.0","26,756.0","26,662.0","27,007.0","27,826.0","28,628.0","29,699.0","30,232.0","28,011.0","25,776.0","27,094.0","25,689.0","20,866.0","20,897.0","20,514.0","19,617.0","22,484.0","20,646.0","19,834.0","22,287.0","23,235.0","24,576.0","26,638.0","26,228.0","25,548.0","25,203.0","25,871.0","26,971.0","26,550.0","26,106.0","26,490.0","26,038.0","25,627.0","24,277.0","24,924.0","25,605.0","25,725.0","26,600.0","24,722.0","24,400.0","24,462.0","21,398.0","21,060.0","22,873.0","21,060.0","21,073.0","20,709.0","22,339.0","21,667.0"
"64","45","  Other transportation","B770RX1","41,060.0","40,256.0","40,581.0","39,131.0","37,964.0","40,399.0","40,603.0","39,739.0","41,341.0","42,696.0","42,421.0","44,925.0","45,553.0","45,026.0","45,273.0","47,264.0","46,601.0","45,049.0","45,886.0","46,427.0","48,658.0","50,807.0","52,868.0","51,884.0","51,069.0","49,372.0","45,774.0","47,415.0","46,918.0","50,266.0","50,443.0","52,242.0","53,910.0","51,783.0","50,546.0","51,156.0","56,393.0","56,766.0","58,033.0","60,389.0","63,971.0","61,874.0","59,564.0","62,339.0","62,416.0","64,418.0","67,385.0","68,567.0","55,126.0","57,087.0","56,180.0","53,849.0","53,666.0","51,484.0","50,781.0","49,604.0","45,272.0","42,888.0","42,169.0","42,529.0","45,710.0","48,709.0","50,446.0","47,781.0"
"65","46","  Royalties and license fees","B908RX1","7,824.0","8,199.0","8,748.0","9,441.0","8,748.0","8,800.0","11,061.0","9,316.0","10,538.0","10,409.0","11,566.0","11,041.0","12,919.0","12,562.0","13,362.0","14,145.0","14,492.0","15,027.0","15,310.0","16,043.0","17,166.0","17,445.0","20,919.0","19,056.0","18,376.0","18,049.0","18,082.0","18,904.0","21,581.0","20,805.0","21,919.0","20,368.0","19,336.0","19,815.0","21,008.0","21,219.0","22,206.0","23,195.0","25,638.0","25,423.0","23,698.0","24,739.0","25,937.0","24,075.0","23,426.0","21,603.0","21,345.0","24,648.0","24,678.0","23,932.0","23,158.0","22,067.0","24,182.0","22,726.0","25,788.0","21,284.0","21,954.0","23,583.0","22,390.0","24,193.0","27,248.0","25,979.0","26,315.0","26,977.0"
"66","47","  Other private services","B909RX1","36,232.0","36,769.0","38,032.0","38,295.0","39,846.0","40,700.0","40,747.0","42,250.0","42,021.0","42,783.0","44,699.0","45,945.0","46,476.0","48,982.0","49,796.0","50,761.0","55,159.0","56,959.0","58,255.0","58,704.0","61,684.0","62,709.0","64,210.0","66,289.0","67,711.0","70,157.0","70,831.0","70,925.0","73,585.0","71,469.0","74,228.0","78,289.0","78,320.0","77,763.0","79,575.0","85,518.0","87,859.0","88,901.0","88,747.0","97,184.0","92,339.0","95,930.0","99,087.0","103,920.0","115,976.0","118,499.0","118,208.0","122,420.0","134,402.0","137,813.0","143,366.0","144,557.0","150,306.0","154,760.0","156,332.0","159,428.0","148,811.0","147,631.0","150,038.0","152,223.0","152,478.0","154,645.0","157,473.0","159,442.0"
"67","48","  Other","B910RX1","8,427.0","7,866.0","7,971.0","7,906.0","8,071.0","8,111.0","8,312.0","8,288.0","8,314.0","8,481.0","8,706.0","8,561.0","8,678.0","8,597.0","9,131.0","8,968.0","8,742.0","8,646.0","9,123.0","8,852.0","9,087.0","9,288.0","9,483.0","9,461.0","9,579.0","9,654.0","9,695.0","9,714.0","9,784.0","9,585.0","9,515.0","9,578.0","9,627.0","9,507.0","9,646.0","9,846.0","10,190.0","10,357.0","10,465.0","10,350.0","10,466.0","10,107.0","10,213.0","10,207.0","10,109.0","10,111.0","10,137.0","10,131.0","10,276.0","10,167.0","10,272.0","10,135.0","9,891.0","9,630.0","9,645.0","10,575.0","10,692.0","10,534.0","10,517.0","10,847.0","10,192.0","10,207.0","10,518.0","10,368.0"
"68","49","Residual","A978RX1","-77,300.0","-66,200.0","-64,400.0","-60,000.0","-60,800.0","-61,900.0","-60,700.0","-58,800.0","-52,900.0","-46,200.0","-43,500.0","-45,700.0","-43,000.0","-40,800.0","-42,200.0","-37,100.0","-30,400.0","-20,600.0","-16,300.0","-8,600.0","-12,100.0","-5,000.0","-2,300.0","-5,400.0","-14,200.0","-15,300.0","-13,000.0","-19,900.0","-8,300.0","-6,100.0","-3,700.0","-9,300.0","-4,700.0","-9,400.0","-9,800.0","-900.0","-5,000.0","-1,000.0","-700.0","-900.0","-800.0","-100.0","0.0","800.0","-2,200.0","-1,800.0","400.0","-4,700.0","-4,100.0","-800.0","-300.0","-8,100.0","-16,400.0","-15,200.0","1,600.0","9,800.0","8,300.0","5,500.0","800.0","-15,800.0","-20,200.0","-18,800.0","-13,700.0","-32,000.0"
"69",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","50","  Exports of durable goods","A332RX1","346,901.0","355,894.0","371,294.0","380,264.0","387,578.0","397,642.0","407,069.0","429,477.0","450,854.0","476,789.0","494,390.0","492,884.0","497,479.0","483,820.0","486,987.0","508,513.0","500,009.0","504,354.0","523,883.0","542,947.0","559,096.0","582,090.0","602,353.0","594,792.0","584,504.0","549,979.0","513,561.0","495,631.0","492,049.0","512,138.0","516,826.0","501,223.0","498,439.0","503,166.0","512,211.0","544,192.0","556,302.0","568,963.0","577,168.0","581,384.0","596,949.0","618,603.0","627,716.0","656,163.0","678,250.0","688,150.0","688,425.0","712,740.0","727,655.0","744,207.0","767,286.0","785,323.0","795,435.0","828,015.0","820,376.0","740,204.0","645,559.0","626,986.0","659,371.0","708,937.0","735,397.0","775,355.0","787,233.0","797,207.0"
"71","51","  Exports of nondurable goods","A339RX1","214,043.0","213,506.0","219,481.0","217,805.0","223,207.0","218,547.0","220,213.0","231,741.0","232,098.0","237,114.0","239,781.0","242,719.0","239,541.0","236,159.0","233,833.0","240,703.0","234,234.0","238,435.0","242,432.0","248,171.0","248,920.0","250,322.0","266,118.0","260,499.0","259,788.0","257,482.0","250,916.0","252,595.0","256,327.0","261,827.0","260,247.0","257,966.0","264,589.0","258,910.0","264,552.0","267,194.0","267,979.0","268,935.0","271,225.0","280,481.0","282,323.0","289,445.0","277,899.0","275,245.0","292,095.0","299,747.0","299,931.0","306,714.0","322,679.0","325,786.0","335,417.0","343,700.0","358,593.0","366,992.0","361,678.0","350,074.0","334,150.0","342,132.0","352,383.0","375,020.0","384,979.0","378,703.0","383,390.0","400,029.0"
"72","52","  Exports of agricultural goods \3\","B181RX1","60,060.0","59,180.0","60,291.0","56,636.0","59,882.0","55,695.0","55,629.0","59,215.0","57,295.0","57,809.0","59,218.0","61,022.0","60,704.0","57,866.0","55,558.0","61,091.0","55,127.0","58,878.0","62,797.0","60,087.0","62,297.0","62,665.0","67,597.0","63,617.0","64,932.0","66,258.0","65,735.0","67,227.0","66,471.0","66,276.0","63,232.0","61,489.0","64,046.0","64,280.0","67,420.0","65,150.0","61,382.0","58,127.0","60,829.0","66,558.0","64,459.0","65,523.0","63,639.0","65,930.0","69,450.0","71,664.0","70,592.0","69,757.0","69,896.0","72,806.0","78,796.0","79,645.0","82,263.0","80,882.0","78,519.0","79,613.0","75,712.0","76,035.0","74,978.0","84,220.0","87,137.0","79,011.0","81,657.0","89,462.0"
"73","53","  Exports of nonagricultural goods","A182RX1","494,826.0","504,761.0","525,168.0","536,876.0","545,971.0","557,052.0","568,612.0","598,797.0","623,671.0","654,978.0","674,443.0","673,675.0","676,005.0","661,420.0","664,959.0","688,378.0","679,355.0","684,101.0","704,546.0","731,959.0","747,500.0","772,317.0","803,140.0","793,765.0","781,314.0","742,227.0","698,902.0","680,233.0","680,347.0","706,407.0","712,744.0","696,166.0","696,989.0","696,430.0","707,826.0","745,470.0","762,455.0","779,769.0","787,362.0","794,927.0","814,704.0","842,591.0","842,091.0","865,406.0","900,777.0","916,104.0","917,628.0","949,633.0","981,146.0","997,663.0","1,023,793.0","1,049,301.0","1,072,386.0","1,115,152.0","1,104,748.0","1,013,377.0","908,005.0","897,993.0","942,867.0","1,005,029.0","1,038,350.0","1,080,122.0","1,093,606.0","1,112,180.0"
"74","54","  Imports of durable goods","A333RX1","414,851.0","422,899.0","422,828.0","430,836.0","446,963.0","460,534.0","477,522.0","487,489.0","515,660.0","537,603.0","557,466.0","570,735.0","595,471.0","610,474.0","615,627.0","647,395.0","663,263.0","694,133.0","723,264.0","747,811.0","780,687.0","808,327.0","835,485.0","834,853.0","807,061.0","764,621.0","747,445.0","738,691.0","764,300.0","798,064.0","810,020.0","813,430.0","805,430.0","821,134.0","823,366.0","872,560.0","890,002.0","939,207.0","961,119.0","989,518.0","996,708.0","1,015,848.0","1,028,349.0","1,060,519.0","1,103,207.0","1,108,992.0","1,116,798.0","1,132,275.0","1,138,968.0","1,138,141.0","1,151,674.0","1,135,338.0","1,136,736.0","1,146,262.0","1,110,762.0","993,447.0","844,439.0","818,298.0","879,311.0","940,242.0","982,328.0","1,074,538.0","1,108,224.0","1,103,416.0"
"75","55","  Imports of nondurable goods","A340RX1","358,561.0","359,396.0","361,903.0","360,281.0","371,801.0","377,315.0","387,826.0","399,649.0","405,847.0","417,571.0","432,222.0","440,799.0","451,429.0","460,385.0","468,679.0","470,920.0","486,789.0","491,694.0","508,033.0","514,145.0","528,700.0","541,428.0","562,612.0","564,139.0","575,296.0","565,778.0","558,701.0","556,923.0","552,374.0","574,307.0","588,752.0","605,527.0","597,571.0","619,591.0","623,484.0","620,223.0","639,178.0","654,906.0","657,975.0","671,214.0","678,654.0","678,990.0","677,785.0","695,067.0","681,192.0","696,655.0","712,640.0","687,622.0","710,239.0","731,669.0","741,667.0","702,688.0","689,261.0","700,105.0","721,805.0","686,558.0","637,958.0","623,196.0","652,756.0","620,739.0","626,336.0","677,806.0","714,126.0","651,163.0"
