"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Current receipts","W730RC1","62,570.0","70,106.0","79,384.0","96,327.0","104,506.0","113,549.0","127,403.0","143,383.0","159,992.0","179,339.0","197,273.0","218,698.0","239,538.0","247,891.0","272,949.0","308,156.0","333,073.0","359,115.0","380,488.0","408,773.0","441,650.0","476,686.0","512,422.0","559,912.0","594,034.0","630,586.0","663,457.0","696,753.0","731,196.0","777,346.0","828,195.0","884,080.0","922,544.0","940,583.0","991,762.0","1,072,205.0","1,161,794.0","1,220,044.0","1,277,540.0","1,306,890.0","1,331,655.0"
"20","2","Current tax receipts","W731RC1","44,029.0","48,135.0","53,750.0","63,541.0","70,197.0","75,874.0","81,896.0","93,814.0","105,121.0","117,408.0","128,917.0","140,885.0","155,617.0","162,313.0","180,512.0","205,392.0","220,861.0","233,969.0","253,654.0","269,449.0","288,362.0","305,566.0","314,151.0","338,785.0","357,051.0","380,436.0","401,450.0","425,873.0","449,144.0","480,708.0","507,892.0","540,105.0","546,827.0","536,368.0","561,162.0","610,770.0","681,177.0","732,065.0","765,040.0","768,094.0","693,752.0"
"21","3","  Personal current taxes","W732RC1","10,781.0","11,958.0","13,439.0","17,897.0","19,780.0","21,097.0","23,162.0","26,977.0","30,891.0","35,591.0","38,899.0","43,744.0","48,458.0","52,266.0","58,859.0","68,238.0","73,167.0","78,334.0","87,475.0","90,430.0","102,389.0","109,631.0","111,812.0","120,618.0","126,256.0","132,129.0","140,938.0","150,916.0","162,742.0","180,369.0","192,552.0","213,545.0","220,135.0","199,064.0","201,797.0","221,352.0","246,689.0","271,217.0","289,481.0","300,249.0","254,862.0"
"22","4","    Income taxes","W733RC1","8,620.0","9,583.0","10,950.0","15,209.0","16,818.0","18,047.0","19,934.0","23,433.0","27,178.0","31,584.0","34,612.0","39,143.0","43,580.0","46,972.0","53,152.0","61,881.0","66,108.0","70,685.0","79,131.0","81,546.0","92,865.0","99,640.0","101,381.0","109,013.0","114,918.0","120,200.0","128,429.0","138,639.0","149,734.0","166,779.0","178,439.0","199,220.0","205,736.0","184,178.0","185,846.0","204,422.0","229,195.0","252,940.0","270,576.0","281,184.0","235,229.0"
"23","5","    Other","W734RC1","2,161.0","2,375.0","2,489.0","2,688.0","2,962.0","3,050.0","3,228.0","3,544.0","3,713.0","4,007.0","4,287.0","4,601.0","4,878.0","5,294.0","5,707.0","6,357.0","7,059.0","7,649.0","8,344.0","8,884.0","9,524.0","9,991.0","10,431.0","11,605.0","11,338.0","11,929.0","12,509.0","12,277.0","13,008.0","13,590.0","14,113.0","14,325.0","14,399.0","14,886.0","15,951.0","16,930.0","17,494.0","18,277.0","18,905.0","19,065.0","19,633.0"
"24","6","  Taxes on production and imports","W7735C1","29,896.0","32,686.0","36,290.0","40,693.0","44,706.0","48,432.0","51,814.0","57,749.0","63,386.0","70,311.0","77,077.0","83,407.0","92,689.0","96,969.0","106,797.0","119,730.0","128,993.0","134,935.0","144,346.0","155,243.0","163,538.0","175,411.0","180,780.0","195,920.0","206,303.0","220,814.0","231,343.0","245,009.0","255,402.0","268,761.0","283,041.0","294,816.0","300,801.0","309,582.0","328,856.0","352,322.0","385,361.0","408,857.0","424,750.0","425,551.0","396,747.0"
"25","7","    Sales taxes","W736RC1","25,693.0","28,193.0","31,393.0","35,224.0","38,840.0","42,012.0","44,749.0","49,868.0","55,025.0","60,833.0","65,735.0","70,035.0","76,451.0","80,331.0","89,960.0","100,881.0","109,003.0","115,768.0","124,613.0","135,149.0","142,255.0","152,526.0","157,501.0","169,680.0","179,389.0","191,679.0","200,495.0","211,834.0","221,296.0","233,259.0","245,947.0","255,486.0","259,945.0","267,935.0","282,041.0","300,506.0","325,710.0","346,266.0","358,529.0","353,851.0","335,464.0"
"26","8","    Property taxes","W737RC1","864.0","942.0","965.0","1,072.0","1,185.0","1,114.0","1,449.0","1,534.0","1,502.0","1,919.0","2,348.0","2,588.0","2,653.0","2,751.0","2,998.0","3,354.0","3,474.0","3,578.0","3,743.0","3,757.0","4,296.0","4,579.0","4,931.0","6,099.0","5,911.0","6,993.0","7,240.0","8,169.0","8,063.0","8,545.0","9,149.0","7,772.0","8,051.0","7,696.0","9,057.0","8,333.0","9,043.0","9,710.0","9,775.0","9,767.0","10,466.0"
"27","9","    Other","W738RC1","3,339.0","3,551.0","3,932.0","4,397.0","4,681.0","5,306.0","5,616.0","6,347.0","6,859.0","7,559.0","8,994.0","10,784.0","13,585.0","13,887.0","13,839.0","15,495.0","16,516.0","15,589.0","15,990.0","16,337.0","16,987.0","18,306.0","18,348.0","20,141.0","21,003.0","22,142.0","23,608.0","25,006.0","26,043.0","26,957.0","27,945.0","31,558.0","32,805.0","33,951.0","37,758.0","43,483.0","50,608.0","52,881.0","56,446.0","61,933.0","50,817.0"
"28","10","  Taxes on corporate income","W739RC1","3,352.0","3,491.0","4,021.0","4,951.0","5,711.0","6,345.0","6,920.0","9,088.0","10,844.0","11,506.0","12,941.0","13,734.0","14,470.0","13,078.0","14,856.0","17,424.0","18,701.0","20,700.0","21,833.0","23,776.0","22,435.0","20,524.0","21,559.0","22,247.0","24,492.0","27,493.0","29,169.0","29,948.0","31,000.0","31,578.0","32,299.0","31,744.0","25,891.0","27,722.0","30,509.0","37,096.0","49,127.0","51,991.0","50,809.0","42,294.0","42,143.0"
"29","11","Contributions for government social insurance","W740RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,924.0","20,062.0","24,068.0","24,753.0","21,771.0","18,922.0","19,710.0","21,609.0"
"30","12","Income receipts on assets","W741RC1","2,136.0","2,519.0","2,675.0","2,934.0","3,887.0","5,033.0","5,623.0","5,330.0","6,053.0","7,411.0","10,326.0","13,366.0","15,588.0","17,513.0","19,513.0","22,428.0","25,892.0","27,340.0","28,253.0","30,535.0","32,370.0","33,935.0","34,399.0","33,930.0","32,498.0","33,766.0","36,603.0","39,250.0","41,788.0","43,360.0","47,056.0","49,501.0","46,953.0","42,955.0","42,045.0","44,557.0","50,543.0","59,466.0","63,302.0","64,281.0","64,663.0"
"31","13","  Interest receipts","W742RC1","1,794.0","2,173.0","2,303.0","2,514.0","3,348.0","4,427.0","4,956.0","4,658.0","5,432.0","6,740.0","9,187.0","11,227.0","13,239.0","15,295.0","17,174.0","19,783.0","23,107.0","24,467.0","25,489.0","27,662.0","29,775.0","31,355.0","31,459.0","30,755.0","29,431.0","30,499.0","33,082.0","35,217.0","37,535.0","39,332.0","42,924.0","44,544.0","41,868.0","37,740.0","35,920.0","37,487.0","42,499.0","50,746.0","53,483.0","52,873.0","52,132.0"
"32","14","  Dividends","W743RC1","0.0","0.0","0.0","0.0","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","1,991.0","2,062.0","2,329.0","2,396.0","2,525.0","2,714.0"
"33","15","  Rents and royalties","W744RC1","342.0","346.0","372.0","420.0","512.0","574.0","629.0","629.0","575.0","606.0","1,056.0","2,042.0","2,223.0","2,064.0","2,163.0","2,481.0","2,629.0","2,723.0","2,602.0","2,697.0","2,418.0","2,342.0","2,597.0","2,710.0","2,481.0","2,511.0","2,558.0","2,680.0","2,728.0","2,398.0","2,635.0","3,602.0","3,663.0","3,664.0","4,385.0","5,079.0","5,982.0","6,391.0","7,423.0","8,883.0","9,817.0"
"34","16","Current transfer receipts","W745RC1","14,580.0","17,558.0","20,950.0","27,593.0","27,900.0","29,960.0","36,877.0","40,785.0","44,614.0","49,494.0","52,416.0","59,199.0","62,817.0","61,900.0","66,000.0","72,061.0","76,871.0","86,708.0","85,836.0","93,917.0","104,570.0","119,484.0","144,241.0","165,416.0","181,012.0","191,892.0","200,977.0","207,461.0","217,330.0","230,948.0","251,801.0","272,898.0","304,400.0","334,568.0","356,900.0","380,420.0","392,084.0","393,805.0","420,184.0","445,959.0","541,126.0"
"35","17","  Federal grants-in-aid","W746RC1","13,313.0","16,166.0","19,425.0","25,835.0","25,810.0","27,615.0","33,933.0","37,094.0","40,560.0","45,162.0","48,288.0","54,706.0","57,665.0","55,966.0","58,575.0","63,333.0","67,300.0","74,453.0","74,940.0","82,091.0","91,549.0","104,707.0","124,625.0","141,774.0","155,941.0","165,128.0","173,616.0","178,412.0","184,310.0","194,586.0","212,680.0","226,677.0","253,602.0","280,348.0","301,498.0","320,496.0","330,161.0","332,445.0","353,768.0","371,359.0","461,183.0"
"36","18","  Local government grants-in-aid","W747RC1","763.0","864.0","952.0","1,080.0","1,242.0","1,323.0","1,716.0","2,253.0","2,404.0","2,527.0","2,189.0","2,332.0","2,668.0","3,098.0","4,168.0","4,973.0","5,161.0","5,299.0","5,469.0","5,586.0","5,781.0","6,236.0","7,596.0","8,952.0","10,074.0","11,008.0","11,096.0","12,005.0","13,458.0","13,344.0","12,862.0","13,981.0","14,916.0","15,515.0","16,440.0","17,582.0","16,609.0","14,986.0","17,130.0","17,930.0","18,368.0"
"37","19","  From business (net)","W748RC1","115.0","125.0","130.0","151.0","157.0","212.0","238.0","255.0","280.0","322.0","371.0","422.0","469.0","551.0","644.0","769.0","852.0","2,837.0","921.0","1,076.0","1,318.0","1,615.0","2,001.0","2,562.0","2,858.0","3,389.0","4,105.0","4,999.0","6,555.0","9,801.0","11,355.0","15,023.0","16,119.0","17,172.0","16,630.0","17,718.0","18,420.0","18,402.0","19,516.0","22,757.0","24,869.0"
"38","20","  From persons","W749RC1","389.0","403.0","443.0","527.0","691.0","810.0","990.0","1,183.0","1,370.0","1,483.0","1,568.0","1,739.0","2,015.0","2,285.0","2,613.0","2,986.0","3,558.0","4,119.0","4,506.0","5,164.0","5,922.0","6,926.0","10,019.0","12,128.0","12,139.0","12,367.0","12,160.0","12,045.0","13,007.0","13,217.0","14,904.0","17,217.0","19,763.0","21,533.0","22,332.0","24,624.0","26,894.0","27,972.0","29,770.0","33,912.0","36,706.0"
"39","21","Current surplus of government enterprises","W750RC1","799.0","805.0","835.0","939.0","1,030.0","1,017.0","1,164.0","1,267.0","1,429.0","1,616.0","1,734.0","1,676.0","1,656.0","2,122.0","2,784.0","3,598.0","4,563.0","5,140.0","5,538.0","6,496.0","7,374.0","7,666.0","8,013.0","8,658.0","9,345.0","9,976.0","10,828.0","11,716.0","12,111.0","11,979.0","11,693.0","10,755.0","10,673.0","10,768.0","11,592.0","12,390.0","13,237.0","12,937.0","10,092.0","8,846.0","10,505.0"
"40","22","    Current expenditures","W751RC1","61,440.0","71,272.0","81,114.0","90,576.0","101,187.0","114,319.0","132,354.0","145,139.0","157,457.0","171,817.0","191,934.0","216,528.0","238,748.0","255,885.0","273,725.0","297,273.0","323,566.0","343,323.0","372,630.0","402,650.0","436,131.0","478,581.0","528,109.0","569,768.0","603,822.0","640,480.0","674,169.0","701,471.0","731,879.0","775,624.0","844,262.0","903,794.0","985,263.0","1,033,764.0","1,068,145.0","1,117,124.0","1,177,725.0","1,218,889.0","1,303,218.0","1,371,658.0","1,420,609.0"
"41","23","Consumption expenditures","W752RC1","23,204.0","26,665.0","29,831.0","32,551.0","36,498.0","43,633.0","50,977.0","55,600.0","60,561.0","64,702.0","72,005.0","81,244.0","89,796.0","96,644.0","102,607.0","110,232.0","118,804.0","124,371.0","135,633.0","146,926.0","157,915.0","171,466.0","179,626.0","186,354.0","195,721.0","207,756.0","217,065.0","223,634.0","235,268.0","252,007.0","280,541.0","297,857.0","318,967.0","331,952.0","333,497.0","339,526.0","360,676.0","374,405.0","395,555.0","426,710.0","429,825.0"
"42","24","Current transfer payments","W753RC1","36,158.0","42,107.0","48,283.0","54,333.0","60,472.0","65,771.0","75,616.0","83,058.0","89,777.0","99,288.0","110,798.0","125,024.0","137,151.0","145,411.0","154,852.0","168,465.0","185,130.0","200,281.0","215,173.0","232,554.0","253,850.0","280,441.0","319,511.0","354,316.0","379,529.0","403,236.0","426,332.0","444,840.0","461,875.0","487,994.0","526,661.0","567,149.0","617,774.0","659,099.0","692,762.0","734,710.0","771,668.0","794,233.0","846,017.0","883,498.0","930,004.0"
"43","25","  Government social benefit payments to persons","W754RC1","10,798.0","12,883.0","15,286.0","17,479.0","19,380.0","19,889.0","24,204.0","26,861.0","29,068.0","32,029.0","35,414.0","41,257.0","46,731.0","50,953.0","55,899.0","59,761.0","65,172.0","71,427.0","77,369.0","84,449.0","94,391.0","111,033.0","137,612.0","159,487.0","173,563.0","184,350.0","194,782.0","202,478.0","206,776.0","214,646.0","230,292.0","248,431.0","281,043.0","307,199.0","326,092.0","355,178.0","373,902.0","371,187.0","400,149.0","420,088.0","455,465.0"
"44","26","  Grants-in-aid to local governments","W755RC1","25,360.0","29,224.0","32,997.0","36,854.0","41,092.0","45,882.0","51,412.0","56,197.0","60,709.0","67,259.0","75,384.0","83,767.0","90,420.0","94,458.0","98,953.0","108,704.0","119,958.0","128,854.0","137,804.0","148,105.0","159,459.0","169,408.0","181,899.0","194,829.0","205,966.0","218,886.0","231,550.0","242,362.0","255,099.0","273,348.0","296,369.0","318,718.0","336,731.0","351,900.0","366,670.0","379,532.0","397,766.0","423,046.0","445,868.0","463,410.0","474,539.0"
"45","27","Interest payments","W756RC1","1,846.0","2,237.0","2,755.0","3,158.0","3,560.0","4,050.0","4,658.0","5,267.0","5,760.0","6,272.0","7,327.0","8,208.0","9,435.0","11,284.0","13,499.0","15,499.0","16,341.0","15,046.0","17,601.0","18,398.0","19,205.0","21,153.0","23,132.0","23,085.0","22,621.0","23,233.0","24,039.0","25,273.0","26,161.0","26,738.0","27,811.0","29,058.0","31,108.0","31,296.0","31,336.0","32,705.0","34,897.0","38,314.0","41,391.0","44,831.0","45,321.0"
"46","28","Subsidies","W757RC1","232.0","263.0","294.0","491.0","651.0","865.0","1,103.0","1,214.0","1,359.0","1,555.0","1,804.0","2,052.0","2,366.0","2,546.0","2,767.0","3,077.0","3,291.0","3,625.0","4,223.0","4,772.0","5,161.0","5,521.0","5,840.0","6,013.0","5,951.0","6,255.0","6,733.0","7,724.0","8,575.0","8,885.0","9,249.0","9,731.0","17,414.0","11,417.0","10,551.0","10,183.0","10,483.0","11,937.0","20,255.0","16,619.0","15,460.0"
"47","29","Less: Wage accruals less disbursements","W758RC1","0.0","0.0","49.0","-43.0","-6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"48","30","    Net state government saving","W759RC1","1,130.0","-1,166.0","-1,729.0","5,750.0","3,319.0","-770.0","-4,951.0","-1,756.0","2,535.0","7,522.0","5,340.0","2,170.0","790.0","-7,994.0","-776.0","10,883.0","9,507.0","15,792.0","7,858.0","6,124.0","5,519.0","-1,895.0","-15,687.0","-9,856.0","-9,788.0","-9,894.0","-10,712.0","-4,719.0","-683.0","1,722.0","-16,068.0","-19,714.0","-62,718.0","-93,181.0","-76,384.0","-44,919.0","-15,931.0","1,155.0","-25,678.0","-64,768.0","-88,954.0"
"49","31","Social insurance funds","W760RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,517.0","3,391.0","6,908.0","7,408.0","4,670.0","1,853.0","1,719.0","2,615.0"
"50","32","Other","W761RC1","971.0","-1,346.0","-1,957.0","5,490.0","3,012.0","-1,147.0","-5,417.0","-2,361.0","1,549.0","6,035.0","3,568.0","852.0","-514.0","-9,218.0","-1,985.0","9,456.0","8,192.0","13,928.0","5,666.0","3,601.0","3,189.0","-3,872.0","-18,046.0","-12,996.0","-13,980.0","-14,533.0","-14,757.0","-7,536.0","-1,856.0","29.0","-17,775.0","-21,694.0","-65,321.0","-94,698.0","-79,775.0","-51,827.0","-23,339.0","-3,515.0","-27,531.0","-66,487.0","-91,569.0"
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","33","  Total receipts","W762RC1","66,242.0","73,444.0","83,012.0","99,896.0","107,596.0","117,022.0","131,904.0","148,112.0","164,761.0","184,221.0","203,437.0","226,382.0","246,172.0","254,065.0","280,124.0","316,902.0","343,660.0","370,223.0","391,005.0","420,263.0","453,004.0","488,938.0","525,118.0","573,343.0","608,349.0","646,314.0","679,771.0","713,857.0","749,163.0","795,719.0","849,486.0","907,590.0","950,012.0","970,176.0","1,019,692.0","1,099,802.0","1,191,969.0","1,253,218.0","1,309,591.0","1,341,508.0","1,368,118.0"
"53","34","    Current receipts","W730RC1","62,570.0","70,106.0","79,384.0","96,327.0","104,506.0","113,549.0","127,403.0","143,383.0","159,992.0","179,339.0","197,273.0","218,698.0","239,538.0","247,891.0","272,949.0","308,156.0","333,073.0","359,115.0","380,488.0","408,773.0","441,650.0","476,686.0","512,422.0","559,912.0","594,034.0","630,586.0","663,457.0","696,753.0","731,196.0","777,346.0","828,195.0","884,080.0","922,544.0","940,583.0","991,762.0","1,072,205.0","1,161,794.0","1,220,044.0","1,277,540.0","1,306,890.0","1,331,655.0"
"54","35","    Capital transfer receipts","W764RC1","3,672.0","3,338.0","3,628.0","3,569.0","3,090.0","3,473.0","4,501.0","4,729.0","4,769.0","4,882.0","6,164.0","7,684.0","6,634.0","6,174.0","7,175.0","8,746.0","10,587.0","11,108.0","10,517.0","11,490.0","11,354.0","12,251.0","12,696.0","13,432.0","14,314.0","15,729.0","16,314.0","17,104.0","17,968.0","18,374.0","21,292.0","23,510.0","27,468.0","29,593.0","27,930.0","27,597.0","30,175.0","33,174.0","32,051.0","34,618.0","36,463.0"
"55","36","  Total expenditures","W765RC1","69,924.0","80,226.0","90,667.0","100,270.0","110,723.0","123,683.0","141,230.0","153,537.0","164,601.0","180,065.0","202,413.0","227,321.0","247,799.0","262,928.0","281,656.0","309,564.0","339,308.0","360,765.0","391,070.0","423,229.0","457,338.0","502,417.0","552,025.0","594,079.0","628,622.0","667,560.0","701,739.0","727,931.0","761,435.0","806,670.0","879,871.0","943,723.0","1,030,199.0","1,078,519.0","1,111,055.0","1,163,742.0","1,224,749.0","1,261,684.0","1,344,865.0","1,416,356.0","1,467,762.0"
"56","37","    Current expenditures","W751RC1","61,440.0","71,272.0","81,114.0","90,576.0","101,187.0","114,319.0","132,354.0","145,139.0","157,457.0","171,817.0","191,934.0","216,528.0","238,748.0","255,885.0","273,725.0","297,273.0","323,566.0","343,323.0","372,630.0","402,650.0","436,131.0","478,581.0","528,109.0","569,768.0","603,822.0","640,480.0","674,169.0","701,471.0","731,879.0","775,624.0","844,262.0","903,794.0","985,263.0","1,033,764.0","1,068,145.0","1,117,124.0","1,177,725.0","1,218,889.0","1,303,218.0","1,371,658.0","1,420,609.0"
"57","38","    Gross government investment","W767RC1","12,354.0","13,372.0","14,073.0","14,600.0","15,164.0","16,550.0","16,970.0","16,777.0","16,044.0","17,736.0","21,167.0","23,486.0","23,765.0","23,002.0","24,036.0","28,628.0","32,773.0","35,659.0","38,030.0","41,385.0","43,235.0","47,317.0","48,592.0","49,874.0","51,772.0","55,746.0","58,268.0","58,800.0","63,551.0","66,199.0","72,433.0","79,419.0","86,383.0","88,097.0","87,836.0","90,613.0","95,772.0","102,589.0","106,336.0","114,550.0","119,487.0"
"58","39","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0"
"59","40","    Net purchases of nonproduced assets","W768RC1","183.0","237.0","688.0","722.0","668.0","870.0","926.0","823.0","630.0","575.0","502.0","391.0","459.0","682.0","837.0","868.0","1,034.0","1,270.0","1,531.0","1,563.0","1,578.0","1,749.0","1,871.0","1,877.0","1,734.0","1,609.0","1,601.0","1,578.0","1,613.0","2,015.0","2,451.0","2,557.0","2,667.0","3,188.0","3,415.0","3,181.0","1,746.0","2,107.0","3,700.0","3,626.0","3,518.0"
"60","41","    Less: Consumption of fixed capital","W769RC1","4,053.0","4,655.0","5,207.0","5,629.0","6,295.0","8,057.0","9,020.0","9,202.0","9,530.0","10,063.0","11,190.0","13,084.0","15,173.0","16,641.0","16,942.0","17,205.0","18,064.0","19,486.0","21,121.0","22,369.0","23,606.0","25,229.0","26,546.0","27,440.0","28,706.0","30,275.0","32,299.0","33,918.0","35,608.0","37,168.0","39,275.0","42,047.0","44,113.0","46,530.0","48,341.0","51,640.0","56,935.0","61,901.0","68,389.0","73,478.0","75,852.0"
